   [dhana-ṛṇa-ṣaṣ-vidham]	[Dana--RNa--zaz-viDam]
   BG_113c/ jātā evam samatā tayos yadi gatau uḍḍīya-mānam kiyat vidvan ced	Bu-_113c/ jAtAH evam sama-tA tayoH yadi gatO uxxIya--mAnam kiyat vidvan ced-
   su-pariśramas asti gaṇite kṣipram tat ācakṣva me//	su-pariSramaH asti gaNite kzipram tat Acakzva me//
   BG_114a/ pañcadaśa-daśa-kara-ucchrāya-veṇvos ajñāta-madhya-bhūmikayos/	Bu-_114a/ paQcadaSa-daSa-kara-ucCrAya--veNvoH ajQAta--maDya--BUmikayos/
   BG_114c/ itaretara-mūla-agra-ga-sūtra-yutes lamba-mānam ācakṣva//	Bu-_114c/ itaretara--mUla-agra--ga-sUtra--yuteH lamba-mAnam Acakzva//
   [madhyama-āharaṇam]	[maDyam-a-a-AharaNam]
   BG_115a/ avyakta-varga-ādi yadā avaśeṣam pakṣau tadā iṣṭena nihatya	Bu-_115a/ avyakta--varga-Adi yadA avaSezam pakzO tadA izwena nihatya
   kiṃcit/	kiMcid-/
   BG_115c/ kṣepyam tayos yena pada-pradas syāt avyakta-pakṣasya padena	Bu-_115c/ kzepyam tayoH yena pada--pradaH syAt avyakta--pakzasya padena
   bhūyas//	BUyas//
   BG_115e/ vyaktasya pakṣasya sama-kriyā evam avyakta-mānam khalu labhyate	Bu-_115e/ vyaktasya pakzasya sama-kriyA evam avyakta-mAnam Kalu laByate
   tat/	tat/
   BG_115g/ na nirvahas ced ghana-varga-vargeṣu evam tadā jñeyam idam	Bu-_115g/ na nirvahaH ced Gana--varga--vargezu evam tadA jQeyam idam
   sva-buddhyā//	sva-budDyA//
   BG_115i/avyakta-mūla-ṛṇa-ga-rūpatas alpam vyaktasya pakṣasya padam yadi	Bu-_115i/a-vyakta--mUla--RNa--ga-ru-upataH alpam vyaktasya pakzasya padam yadi
   syāt/	syAt-/
   BG_115k/ ṛṇam dhanam tat ca vidhāya sādhyam avyakta-mānam dvi-vidham	Bu-_115k/ RNam Danam tat ca viDAya sADyam avyakta-mAnam dvi-viDam
   kvacit tat//	kvacid tat//
   BG_116a/ catur-āhata-varga-samais rūpais pakṣa-dvayam guṇayet/	Bu-_116a/ catur-Ahata--varga--samEH rUpEH pakza--dvayam guNayet/
   BG_116c/ pūrva-avyaktasya kṛtes sama-rūpāṇi kṣipet tayos eva//	Bu-_116c/ pUrva-avyaktasya kRteH sama--rUpANi kzipet tayoH eva//
   BG_117a/ ali-kula-dala-mūlam mālatīm yātam aṣṭau nikhila-navama-bhāgās	BG_117a/ ali-kula--dala--mUlam mAlatIm yAtam azwO niKila-navama-BAgAH-
   cālinī bhṛṅgam ekam/	cAlinI BRFgam ekam-/
   BG_117c/ niśi parimala-lubdham padma-madhye niruddham pratiraṇati raṇantam	BG_117c/ niSi parimala-lubDam padma--maDye nirudDam pratiraNati raNantam
   brūhi kānte ali-saṃkhyām//	brUhi kAnte ali--saMKyAm//
   BG_118a/ pārthas karṇa-vadhāya mārgaṇa-gaṇam kruddhas raṇe saṃdadhe tasya	Bu-_118a/ pArTaH karNa-vaDAya mArgaNa--gaNam krudDaH raNe saMdaDe tasya
   ardhena nivārya tad-śara-gaṇam mūlais caturbhis hayān/	arDena nivArya tad--Sara--gaNam mUlEH caturBiH hayAn/
   BG_118c/ śalyam ṣaḍbhis atha iṣubhis tribhis api chatram dhvajam kārmukam	Bu-_118c/ Salyam zaxBiH aTa izuBiH triBiH api Catram Dvajam kArmukam
   ciccheda asya śiras śareṇa kati te yān arjunas saṃdadhe//	cicCeda asya SiraH SareNa kati te yAn arjunaH saMdaDe//
   BG_119a/ vi-ekasya gacchasya dalam kila ādis ādes dalam tad-pracayas	Bu-_119a/ vi-ekasya gacCasya dalam kila AdiH AdeH dalam tad--pracayas
   phalam ca/	Palam ca/
   BG_119c/ caya-ādi-gaccha-abhihatis sva-sapta-bhāga-adhikā brūhi	BG_119c/ caya--Adi--gacCa-aBihatiH sva-sapta-BAga--aDikAH brUhi
   caya-ādi-gacchān//	caya--Adi--gacCAn//
   BG_120a/ kas khena vihṛtas rāśis koṭyā yuktas atha vā ūnitas/	Bu-_120a/ kaH Kena vihRtaH rASiH kowyA yuktaH aTa vE Unitas/
   BG_120c/ vargitas sva-padena āḍhyas kha-guṇas navatis bhavet//	Bu-_120c/ vargitaH sva-padena AXyaH Ka-guNaH navatiH Bava-it-//
   BG_121a/ kas sva-ardha-sahitas rāśis kha-guṇas vargitas yutas/	Bu-_121a/ kaH sva--arDa--sahitaH rASiH Ka-guNaH vargitaH yutas/
   BG_121c/ sva-padābhyām sva-bhaktas ca jātas pañcadaśa ucyatām//	Bu-_121c/ sva-padAByAm sva-BaktaH ca jAtaH paQcadaSaH ucya-tAm//
   BG_122a/ rāśis dvādaśa-nighnas rāśi-ghana-āḍhyas ca kas samas yasya/	BG_122a/ rASiH dvAdaSa--niGnaH rASi-Gana-AXyaH ca kaH samaH yasya/
   BG_122c/ rāśi-kṛtis ṣaṣ-guṇitā pañcatriṃśat-yutā vidvan//	BG_122c/ rASi-kRtiH zaz--guNitA paQcatriMSat--yutAH vidvan//
   BG_123a/ kas rāśis dviśatī-kṣuṇṇas rāśi-varga-yutas hatas/	Bu-_123a/ kaH rASiH dviSatI-kzuNNaH rASi-varga---yutaH hata-s/
   BG_123c/ dvābhyām tena ūnitas rāśi-varga-vargas ayutam 10000 bhavet/	Bu-_123c/ dvAByAm tena UnitaH rASi-varga--vargaH ayutam 10000 Bavet-/
   BG_123e/ rūpa-ūnam vada tam rāśim vetsi bīja-kriyām yadi//	Bu-_123e/ rUpa--Unam vada tam rASim vetsi bIja-kriyAm yadi//
   BG_124a/ vana-antarāle plavaga-aṣṭa-bhāgas saṃvargitas valgati jāta-rāgas/	Bu-_124a/ vana-antarAle plavaga--azwa-BAgaH saMvargitaH valgati jAta--rAga-s/
   BG_124c/ brūt-kāra-nāda-pratināda-hṛṣṭās dṛṣṭās girau dvādaśa te	BG_124c/ brUt-kAra-nAda--pratinAda--hRzwAH dRzwAH girO dvAdaSa te
   kiyantas//	kiyanta-s//
   BG_125a/ yūthāt pañca-aṃśakas tri-ūnas vargitas gahvaram gatas/	Bu-_125a/ yUTAt paQca-aMSakaH tri-UnaH vargitaH gahvaram gata-s/
   BG_125c/ dṛṣṭas śākhā-mṛgas śākhām ārūḍhas vada te kati/	Bu-_125c/ dRzwaH SAKA--mRgaH SAKAm ArUXaH vada te kati/
   BG_125e/ karṇasya tri-lavena ūnā dvādaśa-aṅgula-śaṅku-bhā/	Bu-_125e/ karNasya tri-lavena UnA dvAdaSa--aFgula--SaFku-BA/
   BG_125g/ caturdaśa-aṅgulā jātā gaṇaka brūhi tām drutam//	Bu-_125g/ caturdaSa--aFgulA jAtAH gaNaka brUhi tAm drutam//
   BG_126a/ catvāras rāśayas ke te mūla-dās ye dvi-saṃyutās	Bu-_126a/ catvAraH rASayaH ke te mUla-dAH ye dvi--saMyutAH-
   BG_126c/ dvayos dvayos yathā āsanna-ghātās ca aṣṭādaśa-anvitās/	BG_126c/ dvayoH dvayoH yaTA Asanna-GAtAH ca azwAdaSa--anvitAs/
   BG_126e/ mūla-dās sarva-mūla-aikyāt ekādaśa-yutāt padam/	BG_126e/ mUla-dAH sarva--mUla--EkyAt ekAdaSa--yutAt padam/
   BG_126g/ trayodaśa sakhe jātam bīja-jña vada tān mama//	Bu-_126g/ trayodaSa saKe jAtam bIja--jQa vada tAn mama//
   BG_127a/ rāśi-kṣepāt vadha-kṣepas yad-guṇas tat pada-uttaram/	Bu-_127a/ rASi-kzepAt vaDa-kzepaH yat--guNaH tat pada-uttaram/
   BG_127c/ avyakta-rāśayas kalpyās vargitās kṣepa-varjitās//	Bu-_127c/ avyakta--rASayaH kalpyAH vargitAH kzepa--varjita-as//
   BG_128a/ kṣetre tithi-nakhais tulye dos-koṭī tatra kā śrutis/	Bu-_128a/ kzetre tiTi-naKEH tulye dos-kowI tatra kA Sruti-s/
   BG_128c/ upapattis ca rūḍhasya gaṇitasya asya kathyatām//	Bu-_128c/ upapattiH ca rUXasya gaNitasya asya kaTyatAm//
   BG_129a/ dos-koṭi-antara-vargeṇa dvi-ghnas ghātas samanvitas/	Bu-_129a/ dos--kowi-antara--vargeNa dvi-GnaH GAtaH samanvitas/
   BG_129c/ varga-yoga-samas sas syāt dvayos avyaktayos yathā//	Bu-_129c/ varga--yoga--samaH saH syAt dvayoH avyaktayoH yaTA//
   BG_130a/ bhujāt tri-ūnāt padam vi-ekam koṭi-karṇa-antaram sakhe/	Bu-_130a/ BujAt tri-UnAt padam vi-ekam kowi-karNa--antaram saKe/
   BG_130c/ yatra tatra vada kṣetre dos-koṭi-śravaṇān mama//	Bu-_130c/ yatra tatra vada kzetre dos--kowi--SravaNAt mama//
   BG_131a/ varga-yogasya yad-rāśyos yuti-vargasya ca antaram/	Bu-_131a/ varga--yogasya yat--rASyoH yuti-vargasya ca antaram/
   BG_131c/ dvi-ghna-ghāta-samānam syāt dvayos avyaktayos yathā/	Bu-_131c/ dvi-Gna-GAta--samAnam syAt dvayoH avyaktayoH yaTA/
   BG_131e/ catur-guṇasya ghātasya yuti-vargasya ca antaram/	Bu-_131e/ catur-guNasya GAtasya yuti-vargasya ca antaram/
   BG_131g/ rāśi-antara-kṛtes tulyam dvayos avyaktayos yathā//	Bu-_131g/ rASi-antara-kRteH tulyam dvayoH avyaktayoH yaTA//
   BG_132a/ catvāriṃśat yutis yeṣām dos-koṭi-śravasām vada/	Bu-_132a/ catvAriMSat yutiH yezAm dos--kowi-SravasAm vada/
   BG_132c/ bhuja-koṭi-vadhas yeṣu śatam viṃśati-saṃyutam//	Bu-_132c/ Buja--kowi--vaDaH yezu Satam viMSati--saMyutam//
   BG_133a/ yogas dos-koṭi-karṇānām ṣaṭpañcāśat 56 vadhas tathā/	BG_133a/ yogaH dos--kowi--karNAnAm zawpaQcASat 56 vaDaH taTA/
   BG_133c/ ṣaṭśatī saptabhis kṣuṇṇā 4200 yeṣām tān me pṛthak vada//	BG_133c/ zawSatI saptaBiH kzuNNA 4200 yezAm tAn me pRTak vada//
   [aneka-varṇa-samīkaraṇam]	[aneka-varNa--samIkaraNam]
   BG_134a/ ādyam varṇam śodhayet anya-pakṣāt anyān rūpāṇi anyatas ca	Bu-_134a/ Adyam varNam SoDayet anya--pakzAt anyAn rUpANi anyatas ca
   ādya-bhakte/	Adya-Bakte/
   BG_134c/ pakṣe anyasmin ādya-varṇa-unmitis syāt varṇasya ekasya unmitīnām	Bu-_134c/ pakze anyasmin Adya-varNa--unmitiH syAt varNasya ekasya unmitInAm
   bahutve//	bahu-tve//
   BG_134e/ samī-kṛta-cheda-game tu tābhyas tad-anya-varṇa-unmitayas	Bu-_134e/ samI-kRta-Ceda--game tu tAByaH tad--anya-varNa--unmitayaH-
   prasādhyās/	prasADya-As/
   BG_134g/ antya-unmitau kuṭṭaka-vidhes guṇa-āptī te	Bu-_134g/ antya-unmitO kuwwaka-viDeH guNa--AptI te
   bhājya-tad-bhājaka-varna-māne//	BAjya--tad--BAjaka-varna-mAne//
   BG_134i/ anye api bhājye yadi santi varṇās tad-mānam iṣṭam parikalpya	Bu-_134i/ anye api BAjye yadi santi varNAH tat--mAnam izwam parikalpya
   sādhye/	sADye/
   BG_134k/ vilomaka-uttāpana-tas anya-varṇa-mānāni bhinnam yadi mānam evam/	Bu-_134k/ vilomaka--utta-apana-taH anya-varNa--mAnAni Binnam yadi mAnam evam/
   BG_134m/ bhūyas kāryas kuṭṭake atra antya-varṇam tena utthāpya utthāpayet	Bu-_134m/ BUyas kAryaH kuwwake atra antya--varNam tena utTApya utTApayet-
   vyastam ādyāt//	vyastam AdyAt//
   BG_135a/ māṇikya-amala-nīla-mauktika-mitis pañca aṣṭa sapta kramāt ekasya	BG_135a/ mANikya--amala--nIla-mOktika--mitiH paQca azwa sapta kramAt ekasya
   anyatarasya sapta nava ṣaṭ tad-ratna-saṃkhyā sakhe/	anyatarasya sapta nava zaw tad--ratna--saMKyA saKe/
   BG_135c/ rūpāṇām navatis dviṣaṣṭis anayos tau tulya-vittau tathā bīja-jña	BG_135c/ rUpANAm navatiH dvizazwiH anayoH tO tulya-vittO taTA bIja-jQa
   prati-ratna-jāni sumate maulyāni śīghram vada// [śārdūlavikrīḍita]	prati-ratna-jAni sumate mOlyAni SIGram vada// [SArdUla-vikrIxita]
   BG_136a/ ekas bravīti mama dehi śatam dhanena tvattas bhavāmi hi sakhe	Bu-_136a/ ekaH bravIti mama dehi Satam Danena tvattas BavAmi hi saKe
   dvi-guṇas tatas anyas/	dvi-guNaH tatas anyas/
   BG_136c/ brūte daśa arpayasi ced mama ṣaṣ-guṇas aham tvattas tayos vada	BG_136c/ brUte daSa arpayasi ced mama zaz-guNaH aham tvattaH tayoH vada
   dhane mama kim-pramāṇe//	Dane mama kim-pramANe//
   BG_137a/ aśvās pañca-guṇa-aṅga-maṅgala-mitās yeṣām caturṇām dhanāni uṣṭrās	Bu-_137a/ aSvAH paQca-guNa--aFga--maFgala-mitAH yezAm caturNAm DanAni uzwrAH-
   ca dvi-muni-śruti-kṣiti-mitās aṣṭa-dvi-bhū-pāvakās/	ca dvi--muni--Sruti--kziti-mitAH azwa--dvi-BU--pAvakAs/
   BG_137c/ teṣām aśvatarās vṛṣās muni-mahī-netra-indu-saṃkhyās kramāt sarve	Bu-_137c/ tezAm aSvatarAH vRzAH muni--mahI--netra--indu--saMKyAH kramAt sarve
   tulya-dhanās ca te vada sapadi aśva-ādi-maulyāni me//	tulya--DanAH ca te vada sapadi aSva-Adi--mOlyAni me//
   BG_138a/ tribhis pārāvatās pañca pañcabhis sapta sārasās/	Bu-_138a/ triBiH pArAvatAH paQca paQcaBiH sapta sArasAs/
   BG_138c/ saptabhis nava haṃsās ca navabhis barhiṇas trayas//	Bu-_138c/ saptaBiH nava haMsAH ca navaBiH barhiNaH trayas//
   BG_138e/ drammais avāpyate dramma-śatena śatam ānaya/	BG_138e/ drammEH avApyate dramma--Satena Satam Anaya/
   BG_138g/ eṣām pārāvata-ādīnām vinoda-artham mahī-pates//	Bu-_138g/ ezAm pArAvata--AdInAm vinoda--arTam mahI--pates//
   BG_139a/ ṣaṣ-bhaktas pañca-agras pañca-vibhaktas bhavet catuṣka-agras/	BG_139a/ zaz-BaktaH paQca-agraH paQca--viBaktaH Bavet catuzka--agras/
   BG_139c/ catur-uddhṛtas trika-agras dvi-agras tri-samuddhṛtas kas syāt//	BG_139c/ catur-udDRtaH trika-agraH dvi-agraH tri-samudDRtaH kaH syAt//
   BG_140a/ syus pañca-sapta-navabhis kṣuṇṇeṣu hṛteṣu keṣu viṃśatyā/	Bu-_140a/ syuH paQca-sapta-navaBiH kzuNNezu hRtezu kezu viMSatyA/
   BG_140c/ rūpa-uttarāṇi śeṣāṇi avāptayas ca api śeṣa-samās//	Bu-_140c/ rUpa-uttarANi SezANi avAptayaH ca api Seza--samAs//
   BG_141a/ eka-agras dvi-hṛtas kas syāt dvika-agras tri-samuddhṛtas/	Bu-_141a/ eka-agraH dvi-hRtaH kaH syAt dvika--agraH tri-samudDRtas/
   BG_141c/ trika-agras pañcabhis bhaktas tad-vat eva hi labdhayas//	BG_141c/ trika-agraH paQcaBiH BaktaH tad--vat eva hi labDayas//
   BG_142a/ kau rāśī vada pañca-ṣaṭka-vihṛtau eka-dvika-agrau yayos dvi-agram	Bu-_142a/ kO rASI vada paQca---zawka--vihRtO eka-dvika--agrO yayoH dvi--agram
   tri-uddhṛtam antaram nava-hṛtā pañca-agrakā syāt yutis/	tri-udDRtam antaram nava-hRtA paQca-agrakA syAt yuti-s/
   BG_142c/ ghātas sapta-hṛtas ṣaṣ-agras iti tau ṣaṭka-aṣṭakābhyām vinā	Bu-_142c/ GAtaH sapta-hRtaH zaz-agraH iti tO zawka--azwakAByAm vinA
   vidvan kuṭṭaka-vedi-kuñjara-ghaṭā-saṃghaṭṭa-sṃhas asi ced//	vidvan kuwwaka--vedi--kuQjara--GawA--saMGawwa-sMhaH asi ced-//
   BG_143a/ navabhis saptabhis kṣuṇṇas kas rāśis triṃśatā hṛtas/	BG_143a/ navaBiH saptaBiH kzuNNaH kaH rASiH triMSatA hRta-s/
   BG_143c/ yat agra-aikyam phala-aikya-āḍhyam bhavet ṣaḍviṃśates mitam//	Bu-_143c/ yat agra-A-Ekyam Pala-Ekya-AXyam Bavet zaxviMSateH mitam//
   BG_144a/ kas tri-sapta-nava-kṣuṇṇas rāśis triṃśat-vibhājitas/	Bu-_144a/ kaH tri-sapta-nava-kzuNNaH rASiH triMSat--viBAjitas/
   BG_144c/ yat agra-aikyam api triṃśat-hṛtam ekādaśa-agrakam//	Bu-_144c/ yat agra-A-Ekyam api triMSat--hRtam ekAdaSa--agrakam//
   BG_145a/ kas trayoviṃśati-kṣuṇṇas ṣaṣṭyā asītyā hṛtas pṛthak/	Bu-_145a/ kaH trayoviMSati-kzuNNaH zazwyA asItyA hRtaH pRTak-/
   BG_145c/ yat agra-aikyam śatam dṛṣṭam kuṭṭaka-jña vada āśu tam//	Bu-_145c/ yat agra-A-Ekyam Satam dRzwam kuwwaka-jQa vada ASu tam//
   BG_146a/ atra adhikasya varṇasya bhājyasthasya īpsitā mitis/	Bu-_146a/ atra aDikasya varNasya BAjya-sTasya IpsitAH miti-s/
   BG_146c/ bhāga-labdhasya no kalpyā kriyā vyabhicaret tathā//	Bu-_146c/ BAga-labDasya no kalpyA kriyA vyaBicaret taTA//
   BG_147a/ kas pañca-guṇitas rāśis trayodaśa-vibhājitas/	Bu-_147a/ kaH paQca--guNitaH rASiH trayodaSa--viBAjitas/
   BG_147c/ yat labdham rāśinā yuktam triṃśat jātam vada āśu tam//	Bu-_147c/ yat labDam rASinA yuktam triMSat jAtam vada ASu tam//
   BG_148a/ ṣaṣ-aṣṭa-śatakās krītvā sama-ardhena phalāni ye/	Bu-_148a/ zaz-azwa-SatakAH krItvA sama-arDena PalAni ye/
   BG_148c/ vikrīya ca punar śeṣam eka-ekam pañcabhis paṇais/	Bu-_148c/ vikrIya ca punar Sezam eka--ekam paQcaBiH paNEH-/
   BG_148e/ jātās sama-paṇās teṣām kas krayas vikrayas ca kas//	Bu-_148e/ jAtAH sama-paNAH tezAm kaH krayaH vikrayaH ca kas//
   [aneka-varṇa-samī-karaṇa-antar-gatam madhyama-āharaṇam]	[aneka--varNa--samI-karaNa--antar--gatam maDyama-a-AharaNam]
   BG_149a/ varga-ādyam ced tulya-śuddhau kṛtāyām pakṣasya ekasya ukta-vat	Bu-_149a/ varga-Adyam ced tulya--SudDO kRtAyAm pakzasya ekasya ukta--vat-
   varga-mūlam/	varga--mUlam/
   BG_149c/ varga-prakṛtyā para-pakṣa-mūlam tayos samī-kāra-vidhis punar ca/	Bu-_149c/ varga--prakRtyA para-pakza--mUlam tayoH samI-kAra-viDiH punar ca/
   BG_149e/ varga-prakṛtyā viṣayas na ced syāt tadā anya-varṇsya kṛtes samam	Bu-_149e/ varga--prakRtyAH vizayaH na ced syAt tadA anya-varNsya kRteH samam
   tam//	tam//
   BG_149g/ kṛtvā aparam pakṣam atha anya-mānam kṛti-prakṛtyā ādya-mitis	Bu-_149g/ kRtvA aparam pakzam aTa anya-mAnam kRti--prakRtyAH Adi-a-mitis
   tathā ca/	taTA ca/
   BG_149i/ varga-prakṛtyā viṣayas yathā syāt tathā sudhībhis bahudhā	Bu-_149i/ varga--prakRtyA vizayaH yaTA syAt taTA suDIBiH bahuDA
   vicintyam//	vicintyam//
   BG_150a/ bījam matis vividha-varṇa-sahāyinī hi manda-avabodhavidhaye	BG_150a/ bIjam matiH viviDa--varNa--sahAyinI hi manda--avaboDa-viDaye
   vibudhais nija-ādyais/	vibuDEH nija-AdyEH-/
   BG_150c/ vistāritā	BG_150c/ vistAritA
