   Mṛgendratantra, Vidyāpāda, 1	MRgendra-tantra, VidyA-pAda, 1
   * atha caityavandanākhyaṃ karmānyena kṛtam anyasyaiva tatphalena	* aTa cEtya-vandana-AKyam karma-anyena kRtam anyasya-eva tad-Palena
   svargādinā yoga ity akṛtābhyāgamakṛtavipraṇāśaprasaṅgo durnivāraḥ //	svarga-AdinA yogaH iti akRta-aByAgama-kRta-vipraNASa-prasaFgaH durnivAraH //
   MrgTV_1,2.25ab:18	MrgTV_1,2.25ab:18
   * uktaṃ ca śrīmataṅge kṛtam ekena yat karma tadvipākaṃ paraḥ katham //	* uktam ca SrI-mataFge kRtam ekena yat karma tad-vipAkam paraH kaTam //
   MrgTV_1,2.25ab:19	MrgTV_1,2.25ab:19
   * prāpnoti yuktidaurbalyād iti // MrgTV_1,2.25ab:20	* prApnoti yukti-dOrbalyAt iti // MrgTV_1,2.25ab:20
   * nanu nāyaṃ doṣaḥ aihikasya karmaṇo labdhaśarīreṇa jñānasantānena paratra	* nanu na-ayam dozaH Ehikasya karmaNaH labDa-SarIreNa jQAna-santAnena paratra
   bhogopapatteḥ // MrgTV_1,2.25ab:21	Boga-upapatteH // MrgTV_1,2.25ab:21
   * tad ayuktam aśarīrasya jñānasantānasya sadbhāve pramāṇābhāvāt //	* tat ayuktam aSarIrasya jQAna-santAnasya sadBAve pramANa-aBAvAt //
   MrgTV_1,2.25ab:22	MrgTV_1,2.25ab:22
   * karmaphalabhogānyathānupapattyā vijñānasantānasiddhis tatsiddhyā ca	* karma-Pala-BogAnyaTA-anupapattyA vijQAna-santAna-sidDiH tad-sidDyA ca
   karmaphalabhoga ity anupapannam asthairyaṃ saṃvedanasya //	karma-Pala-BogaH iti anupapannam asTEryam saMvedanasya //
   MrgTV_1,2.25ab:23	MrgTV_1,2.25ab:23
   * itaś ca kṣaṇikaṃ saṃvedanam ity asat // MrgTV_1,2.25ab:24	* itas ca kzaNikam saMvedanam iti asat // MrgTV_1,2.25ab:24
   * kuta ity āha atītānubhavasmṛteḥ atītaḥ samatikrānto yasyānubhavas tasya	* kutas iti Aha atIta-anuBava-smRteH atItaH samatikrAntaH yasya-anuBavaH tasya
   smaraṇāt // MrgTV_1,2.25ab:25	smaraNAt // MrgTV_1,2.25ab:25
   * yadā hi sthirasva bhāva ubhayakālānusaṃdhātā ātmābhyupagamyate	* yadA hi sTirasva BAvaH uBaya-kAla-anusaMDAtA Atma-aByupagamyate
   tanubhūtaviṣayāsaṃpramoṣarūpaṃ smaraṇam upapadyate na tu kṣaṇikatve //	tanu-BUta-vizaya-asaMpramoza-rUpam smaraNam upapadyate na tu kzaNika-tve //
   MrgTV_1,2.25ab:26	MrgTV_1,2.25ab:26
   * na hi prāktanakṣaṇānubhūtasukhaduḥkhādisaṃvedanaṃ vartamānena	* na hi prAkta-nakzaNa-anuBUta-suKa-duHKa-Adi-saMvedanam vartamAnena
   kālāntarabhāvinā vā kṣaṇena smartuṃ śakyaṃ tasyānyatvāt yathā na	kAla-antara-BAvinA vA kzaNena smartum Sakyam tasya-anya-tvAt yaTA na
   devadattānubhūtaṃ tatputraḥ smarati // MrgTV_1,2.25ab:27	devadatta-anuBUtam tad-putraH smarati // MrgTV_1,2.25ab:27
   * dṛśyate ca śaiśavādyanubhūtaṃ yauvanasthāvirādyavasthāsu smaryamāṇam //	* dRSyate ca SESava-Adi-anuBUtam yOvana-sTAvira-Adi-avasTAsu smaryamANam //
   MrgTV_1,2.25ab:28	MrgTV_1,2.25ab:28
   * sāceyam atītānubhavasmṛtiḥ kṣaṇikatāṃ vijñānasya nirasyati na tu	* sAceyam atIta-anuBava-smRtiH kzaNika-tAm vijQAnasya nirasyati na tu
   sthirasvabhāvam ātmānam anumāpayati tasya svasaṃvedanasiddhasya	sTira-svaBAvam AtmAnam anumApayati tasya sva-saMvedana-sidDasya
   svānubhūtyekapramāṇatvāt // MrgTV_1,2.25ab:29	sva-anuBUti-eka-pramANa-tvAt // MrgTV_1,2.25ab:29
   * tad evaṃ karmopabhogād atītānubhavasmṛteś ca na kṣaṇikatvam upapadyate	* tat evam karma-upaBogAt atIta-anuBava-smRteH ca na kzaNika-tvam upapadyate
   citaḥ // MrgTV_1,2.25ab:30	citaH // MrgTV_1,2.25ab:30
   * tad āha // MrgTV_1,2.25ab:31	* tat Aha // MrgTV_1,2.25ab:31
   sthitir niranvaye nāśe na smṛter nāpi karmaṇaḥ || MrgT_1,2.25 ||	sTitiH niranvaye nASe na smRteH na-api karmaNaH || MrgT_1,2.25 ||
   * sūcyagranipatatsarṣapavadanavasthāyitvādaviśramyaiva vinaśyatsu	* sUcI-agra-nipatat-sarzapa-vat-anavasTAyi-tvAt-aviSramya-eva vinaSyatsu
   vijñānakṣaṇeṣu proktavan na smṛter avasthiter upapattiḥ kalpyate nāpi	vijQAna-kzaNezu prokta-vat na smRteH avasTiteH upapattiH kalpyate na-api
   karmaṇa ity alam alīkakalpanākulīkṛtasthitinā kṣaṇabhaṅgābhiniveśena //	karmaNaH iti alam alIka-kalpanAkulIkRta-sTitinA kzaNa-BaFga-aBiniveSena //
   MrgTV_1,2.25cd:1	MrgTV_1,2.25cd:1
   vināśalakṣaṇo 'paiti na muktāv apy upaplavaḥ /	vinASa-lakzaNaH apEti na muktO api upaplavaH /
   na cāsty anubhavaḥ kaścid bhavāvasthā varaṃ tataḥ || MrgT_1,2.26 ||	na ca-asti anuBavaH kaScid Bava-avasTA varam tatas || MrgT_1,2.26 ||
   * śuddhacitsaṃtatisamutpādo bhavatāṃ mokṣaḥ syāt yadi vā	* SudDa-cit-saMtati-samutpAdaH BavatAm mokzaH syAt yadi vA
   pradīpanirvāṇarūpaḥ // MrgTV_1,2.26:1	pradIpa-nirvANa-rUpaH // MrgTV_1,2.26:1
   * ādye pakṣe svaparikalpitasya pratikṣaṇavināśitvalakṣaṇasyopaplavasya	* Adye pakze sva-parikalpitasya pratikzaNa-vinASi-tva-lakzaNasya-upaplavasya
   muktāv apy anupaśamaḥ // MrgTV_1,2.26:2	muktO api anupaSamaH // MrgTV_1,2.26:2
   * dvitīye tu pradīpanirvāṇarūpatvāt saṃvedanāsaṃbhavataḥ kaścid apy	* dvitIye tu pradIpa-nirvANa-rUpa-tvAt saMvedana-asaMBavataH kaScid api-
   anubhavo nāstīti tathāvidhāt saṃvedanavināśātmakāt kāṣṭhakuḍyādīnām api	anuBavaH na-asti-iti taTAviDAt saMvedana-vinASa-AtmakAt kAzWa-kuxya-AdInAm api
   sulabhān mokṣāt saṃsārāvasthā varaṃ saugatānām iti kṛtam	sulaBAt mokzAt saMsAra-avasTA varam sOgatAnAm iti kRtam
   evaṃvidhamokṣalipsayā // MrgTV_1,2.26:3	evaMviDa-mokza-lipsayA // MrgTV_1,2.26:3
   * tadiyatā vedāntasāṃkhyasadasatpādārthikādimateṣu asarvadarśipraṇetṛtvād	* tat-iyatA vedAnta-sAMKya-sat-asat-pAdArTikA-Adi-matezu asarva-darSi-praNetR-tvAt-
   vastusaṃgrahasyāsphuṭatvam asaṃbaddhatāṃ codbhāvya darśanāntarāṇām apy	vastu-saMgrahasya-asPuwa-tvam asaMbadDa-tAm ca-udBAvya darSana-antarANAm api-
   eṣaiva vārteti tattadabhiniveśināṃ na niratiśayaniḥśreyasayoga iti vaktum	ezA-eva vArtA-iti tad-tad-aBiniveSinAm na niratiSaya-niHSreyasa-yogaH iti vaktum
   āha // MrgTV_1,2.26:4	Aha // MrgTV_1,2.26:4
   ityādy ajñānamūḍhānāṃ matam āśritya durdhiyaḥ /	ityAdi ajQAna-mUXAnAm matam ASritya durDiyaH /
   apavargam abhīpsanti khadyotāt pāvakārthinaḥ || MrgT_1,2.27 ||	apavargam aBIpsanti KadyotAt pAvaka-arTinaH || MrgT_1,2.27 ||
   * śivaśaktividyeśvarādāv upādeyasatattve malakarmamāyādau ca	* Siva-Sakti-vidyeSvara-AdO upAdeya-sa-tattve mala-karma-mAyA-AdO ca
   heyaparamārthe yeṣāṃ nāsty avabodhaḥ teṣām ajñānamūḍhānāṃ	heya-parama-arTe yezAm na-asti avaboDaH tezAm ajQAna-m-UXAnAm
   darśanāntarapraṇetḥṇāṃ saṃbandhi mataṃ śāstram āśrityākuśalamatayo ye	darSana-antara-praNetHNAm saMbanDi matam SAstram ASritya-akuSala-matayaH ye
   muktim icchanti te khadyotād agnyabhyarthinaḥ kīṭamaṇer vahniṃ lipsavaḥ //	muktim icCanti te KadyotAt agni-aByarTinaH kIwamaNeH vahnim lipsavaH //
   MrgTV_1,2.27:1	MrgTV_1,2.27:1
   * te yathā vyarthaśramās tathā te viphalakleśā bhavantīty arthaḥ //	* te yaTA vyarTa-SramAH taTA te viPala-kleSAH Bavanti-iti arTaH //
   MrgTV_1,2.27:2	MrgTV_1,2.27:2
   * tathā hi // MrgTV_1,2.27:3	* taTA hi // MrgTV_1,2.27:3
   yat kaivalyaṃ puṃsprakṛtyor vivekād yo vā sarvaṃ brahma matvā virāmaḥ /	yat kEvalyam puMsprakRtyoH vivekAt yaH vA sarvam brahma matvA virAmaH /
   yā vā kāścin muktayaḥ pāśajanyās tās tāḥ sarvā bhedam āyānti sṛṣṭau ||	yAH vA kAScid muktayaH pASa-janyAH tAH tAH sarvAH Bedam AyAnti sRzwO ||
   MrgT_1,2.28 ||	MrgT_1,2.28 ||
   * yad etat kapilakalpitaṃ puṃsprakṛtyor vivekāt kaivalyaṃ yā ca sarvaṃ	* yat etat kapila-kalpitam puMsprakRtyoH vivekAt kEvalyam yA ca sarvam
   khalv idaṃ brahmeti matvā dvaitavikalpaprahāṇe sati brahmaprāptiḥ yāś ca	Kalu idam brahma-iti matvA dvEta-vikalpa-prahANe sati brahma-prAptiH yAH ca
   pāśajanyāḥ kāścit pāñcarātrādibhir muktayo 'bhyupagatāḥ // MrgTV_1,2.28:1	pASa-janyAH kAScid pAQcarAtra-AdiBiH muktayaH aByupagatAH // MrgTV_1,2.28:1
   * yathāhuḥ īśās tu te samabhavan prakṛteḥ parasyāḥ	* yaTA-AhuH ISAH tu te samaBavan prakRteH parasyAH
   kṛṣṇāniruddhamakaradhvajarauhiṇeyāḥ iti // MrgTV_1,2.28:2	kRzNA-nirudDa-makara-Dvaja-rOhiNeyAH iti // MrgTV_1,2.28:2
   * yathā vā kālaikavādināṃ kālaḥ sṛjati bhūtāni kālaḥ saṃharati prajāḥ //	* yaTA vA kAla-eka-vAdinAm kAlaH sRjati BUtAni kAlaH saMharati prajAH //
   MrgTV_1,2.28:3	MrgTV_1,2.28:3
   * kālaḥ supteṣu jagarti kālo hi duratikrama iti // MrgTV_1,2.28:4	* kAlaH suptezu jagarti kAlaH hi duratikramaH iti // MrgTV_1,2.28:4
   * yathā vā keṣāṃcit cittam eva hi saṃsāro rāgādikleśadūṣitam //	* yaTA vA kezAMcid cittam eva hi saMsAraH rAga-Adi-kleSa-dUzitam //
   MrgTV_1,2.28:5	MrgTV_1,2.28:5
   * tad eva tadvinirmuktaṃ mokṣa ity abhidhīyata iti // MrgTV_1,2.28:6	* tat eva tad-vinirmuktam mokzaH iti aBiDIyate iti // MrgTV_1,2.28:6
   * etāḥ kila prakṛtikālabuddhyādīnāṃ bandhakatvena pāśarūpatvāt pāśajanyā	* etAH kila prakRti-kAla-budDi-AdInAm banDaka-tvena pASa-rUpa-tvAt pASa-janyA
   muktayaḥ sargārambhe bhedam āyānti vinaśyantīty arthaḥ // MrgTV_1,2.28:7	muktayaH sarga-AramBe Bedam AyAnti vinaSyanti-iti arTaH // MrgTV_1,2.28:7
   * yad uktaṃ śrīmanmataṅge tasmāt pradhānaśabdena tattvam uktam acetanam //	* yat uktam SrImat-mataFge tasmAt praDAna-Sabdena tattvam uktam acetanam //
   MrgTV_1,2.28:8	MrgTV_1,2.28:8
   * tasmāt paraṃ nāsty aparaṃ yeṣāṃ bhāvaḥ pratiṣṭhitaḥ // MrgTV_1,2.28:9	* tasmAt param na-asti aparam yezAm BAvaH pratizWitaH // MrgTV_1,2.28:9
   * na te muktā munivyāghra punar āyānty adhogatim iti // MrgTV_1,2.28:10	* na te muktAH muni-vyAGra punar AyAnti aDogatim iti // MrgTV_1,2.28:10
   * tathā upādāneṣu līnānāṃ punar āvartanaṃ dhruvam iti // MrgTV_1,2.28:11	* taTA upAdAnezu lInAnAm punar Avartanam Druvam iti // MrgTV_1,2.28:11
   * teṣāṃ tu tathāvidhamithyādhyāsabhājāṃ na nirantaram	* tezAm tu taTAviDa-miTyA-aDyAsa-BAjAm na nirantaram
   ajñānadhvāntasantatir antaḥkaraṇam āvṛṇoti api tu te krameṇa	ajQAna-DvAnta-santatiH antaHkaraNam AvRNoti api tu te krameNa
   vivekaprathanāt parameśvarānugrahāspadatāṃ kasmiṃścid api kāle yāsyanti //	viveka-praTanAt parameSvara-anugraha-AspadatAm kasmiMScid api kAle yAsyanti //
   MrgTV_1,2.28:12	MrgTV_1,2.28:12
   * tathā coktaṃ śrīmatpauṣkarapārameśvare na mokṣaṃ yāti puruṣaḥ	* taTA ca-uktam SrImat-pOzkara-pArameSvare na mokzam yAti puruzaH
   svasāmarthyāt kadācana // MrgTV_1,2.28:13	sva-sAmarTyAt kadAcana // MrgTV_1,2.28:13
   * muktvā prasādaṃ devasya śivasyāśivahāriṇa iti // MrgTV_1,2.28:14	* muktvA prasAdam devasya Sivasya-aSiva-hAriNaH iti // MrgTV_1,2.28:14
   * athaivaṃ matāntaroktāyā mukteḥ prāguktavad asatyatve tataḥ kiṃ	* aTa-evam mata-antara-uktAyAH mukteH prAc-ukta-vat asatya-tve tatas kim
   tadvailakṣaṇyamihatyayoḥ siddhimuktyor ity āha // MrgTV_1,2.28:15	tad-vElakzaNyam-ihatyayoH sidDi-muktyoH iti Aha // MrgTV_1,2.28:15
   śaive siddho bhāti mūrdhnītareṣāṃ muktaḥ sṛṣṭau punar abhyeti nādhaḥ /	SEve sidDaH BAti mUrDni-itarezAm muktaH sRzwO punar aByeti na-aDas /
   viśvān arthān svena viṣṭabhya dhāmnā sarveśānānīśitaḥ sarvadāste ||	viSvAn arTAn svena vizwaBya DAmnA sarva-ISAnAnISitaH sarva-dA-Aste ||
   MrgT_1,2.29 ||	MrgT_1,2.29 ||
   * iha śāstre yaḥ siddhaḥ sa	* iha SAstre yaH sidDaH sa
   vividhabhuvanopapannavicitraiśvaryasaṃpāditatattadbhogabhāk	viviDa-Buvana-upapanna-vicitra-ESvarya-saMpAdita-tad-tad-Boga-BAj-
   sarvottkarṣaśālī bhavati // MrgTV_1,2.29:1	sarva-uttkarza-SAlI Bavati // MrgTV_1,2.29:1
   * tathā coktaṃ bṛhaspatipādaiḥ yan māhātmyaṃ bhagavati paramaśive 'nupamam	* taTA ca-uktam bRhaspati-pAdEH yat mAhAtmyam Bagavati paramaSive anupamam
   avyayam acintyam // MrgTV_1,2.29:2	avyayam acintyam // MrgTV_1,2.29:2
   * tan māhātmyaṃ siddhe hatabandhanamaṇḍale bhavatīti // MrgTV_1,2.29:3	* tat mAhAtmyam sidDe hata-banDana-maNxale Bavati-iti // MrgTV_1,2.29:3
   * na ca	* na ca
   darśanāntarapratipannabrahmalayasaṃvidvināśaprakṛtipuruṣavivekādyātmano	darSana-antara-pratipanna-brahma-laya-saMvid-vinASa-prakRti-puruza-viveka-Adi-AtmanaH-
   mokṣasyaivaṃguṇatvam ity uktam // MrgTV_1,2.29:4	mokzasya-evaMguNa-tvam iti uktam // MrgTV_1,2.29:4
   * yas tv asmin darśane muktaḥ sa bandhakāraṇānāṃ	* yaH tu asmin darSane muktaH sa banDa-kAraNAnAm
   malakarmamāyāparameśvaranirodhaśaktīnām uparatādhikāratvāt punaḥ	mala-karma-mAyA-parameSvara-niroDa-SaktInAm uparata-aDikAra-tvAt punar-
   sargaprārambhe nādho 'bhyeti na saṃsārī bhavatīty arthaḥ // MrgTV_1,2.29:5	sarga-prAramBe na-aDas aByeti na saMsArI Bavati-iti arTaH // MrgTV_1,2.29:5
   * kiṃ tarhi sa karotīty āha viśvān arthān iti	* kim tarhi sa karoti-iti Aha viSvAn arTAn iti
   āvirbhūtaniratiśayasarvārthajñatvakartṛtvataḥ śivasamānamahimatvāt	AvirBUta-niratiSaya-sarva-arTa-jQa-tva-kartR-tvataH Siva-samAna-mahima-tvAt
   svatejasā samadhiṣṭhitasarvārtho 'pi san muktātmā na kiṃcit karoti	sva-tejasA samaDizWita-sarva-arTaH api san mukta-AtmA na kiMcid karoti
   karaṇīyābhāvāt // MrgTV_1,2.29:6	karaNIya-aBAvAt // MrgTV_1,2.29:6
   * evaṃ cen mukteḥ pūrvam akiṃcitkaro 'bhūt muktaś ca tadrūpa eveti ko 'sya	* evam ced mukteH pUrvam akiMcitkaraH aBUt muktaH ca tad-rUpaH eva-iti kaH asya
   muktau viśeṣaḥ // MrgTV_1,2.29:7	muktO viSezaH // MrgTV_1,2.29:7
   * ayaṃ viśeṣaḥ yat sarveśānena parameśvareṇānīśitaḥ apreritas tadānīm asau	* ayam viSezaH yat sarva-ISAnena parameSvareNa-anISitaH apreritaH tadAnIm asO
   bhavati // MrgTV_1,2.29:8	Bavati // MrgTV_1,2.29:8
   * kiṃ kiṃcid eva kālam apreryaḥ // MrgTV_1,2.29:9	* kim kiMcid eva kAlam apreryaH // MrgTV_1,2.29:9
   * nety āha sarvadeti sarvakālaṃ taṃ pratyaprerakaḥ śivabhaṭṭārako	* na-iti Aha sarva-dA-iti sarvakAlam tam pratyaprerakaH Siva-BawwArakaH-
   bhavatīty arthaḥ // MrgTV_1,2.29:10	Bavati-iti arTaH // MrgTV_1,2.29:10
   Mṛgendratantra, Vidyāpāda, 3	MRgendra-tantra, VidyA-pAda, 3
   athopalabhya dehādi vastu kāryatvadharmakam /	aTa-upalaBya deha-Adi vastu kAryatva-Darmakam /
   kartāram asya jānīmo viśiṣṭam anumānataḥ || MrgT_1,3.1 ||	kartAram asya jAnImaH viSizwam anumAnataH || MrgT_1,3.1 ||
   * athaśabdo'dhikārārthaḥ // MrgTV_1,3.1:1	* aTa-SabdaH-aDikAra-arTaH // MrgTV_1,3.1:1
   * atra hi patipadārthaparīkṣādhikriyata ityarthaḥ // MrgTV_1,3.1:2	* atra hi pati-padArTa-parIkzA-aDikriyate iti-arTaH // MrgTV_1,3.1:2
   * atra ca tanukaraṇabhuvanādīnāṃ bhāvānāṃ saṃniveśaviśiṣṭatvena kāryatvaṃ	* atra ca tanu-karaNa-Buvana-AdInAm BAvAnAm saMniveSa-viSizwa-tvena kArya-tvam
   buddhvā anumānenaiṣāṃ buddhimatkartṛpūrvakatvaṃ pratīyata iti tātparyam //	budDvA anumAnena-ezAm budDimat-kartR-pUrvaka-tvam pratIyate iti tAtparyam //
   MrgTV_1,3.1:3	MrgTV_1,3.1:3
   * nanu dehasyaiva tāvatkāryatvam asiddhaṃ nahi kvacit kadācid dehaḥ	* nanu dehasya-eva tAvat-kArya-tvam asidDam na-hi kvacid kadAcid dehaH
   kenacit kriyamāṇo dṛṣṭaḥ // MrgTV_1,3.1:4	kenacid kriyamANaH dRzwaH // MrgTV_1,3.1:4
   * satyaṃ kenacit kriyamāṇatvaṃ dehasya na dṛṣṭam iti kartṛdarśanāpahnavo	* satyam kenacid kriyamANa-tvam dehasya na dRzwam iti kartR-darSana-apahnavaH-
   na yuktaḥ tasyānumeyatvena darśanāviṣayatvāt // MrgTV_1,3.1:5	na yuktaH tasya-anumeya-tvena darSana-avizaya-tvAt // MrgTV_1,3.1:5
   * dehasya tu kriyamāṇatvaṃ kathaṃ na dṛṣṭam abhūtvā bhāvitvam eva hi	* dehasya tu kriyamANa-tvam kaTam na dRzwam aBUtvA BAvi-tvam eva hi
   kāryatvaṃ tac ca dehasyopalabhyata eva // MrgTV_1,3.1:6	kAryatvam tat ca dehasya-upalaByate eva // MrgTV_1,3.1:6
   * tathā hi śukraśoṇitakalalādyupādānāt diha upacaye iti dhātvarthagatyā	* taTA hi Sukra-SoNita-kalala-Adi-upAdAnAt dihe upacaye iti DAtu-arTa-gatyA
   pratimāsopacīyamāno garbhastho dehaḥ pratīyate iti katham eṣa kāryatvam	pratimAsa-upacIyamAnaH garBa-sTaH dehaH pratIyate iti kaTam eza kAryatvam
   atikrāmet // MrgTV_1,3.1:7	atikrAmet // MrgTV_1,3.1:7
   * kiṃ ca saṃniveśaviśeṣavattvād vinaśvaratvāc ca dehādeḥ kāryatvam	* kim ca saMniveSa-viSezavat-tvAt vinaSvara-tvAt ca deha-AdeH kAryatvam
   apahnotum aśakyam // MrgTV_1,3.1:8	apahnotum aSakyam // MrgTV_1,3.1:8
   * yad yat saṃniveśaviśeṣavad vinaśvaraṃ tat tat kāryaṃ yathā ghaṭādi //	* yat yat saMniveSa-viSeza-vat vinaSvaram tat tat kAryam yaTA Gawa-Adi //
   MrgTV_1,3.1:9	MrgTV_1,3.1:9
   * tathā caite dehādayaḥ padārthāḥ tasmād ete'pi kāryāḥ // MrgTV_1,3.1:10	* taTA ca-ete deha-AdayaH padArTAH tasmAt ete-api kAryAH // MrgTV_1,3.1:10
   * evaṃ ca sati dehādi vastujātaṃ dharmi buddhimatkartṛpūrvakam iti sādhyo	* evam ca sati deha-Adi vastu-jAtam Darmi budDimat-kartR-pUrvakam iti sADyaH-
   dharmaḥ kāryatvāt // MrgTV_1,3.1:11	DarmaH kAryatvAt // MrgTV_1,3.1:11
   * yad yat kāryaṃ tat tad buddhimatkartṛpūrvakaṃ dṛṣṭaṃ yathā rathādi //	* yat yat kAryam tat tat budDimat-kartR-pUrvakam dRzwam yaTA raTa-Adi //
   MrgTV_1,3.1:12	MrgTV_1,3.1:12
   * yat tu naivaṃvidhaṃ na tat kāryaṃ yathātmādi // MrgTV_1,3.1:13	* yat tu na-evaMviDam na tat kAryam yaTA-AtmA-Adi // MrgTV_1,3.1:13
   * nanu ghuṇākṣare kārye 'pi na buddhimatkartṛpūrvakatvam astīty	* nanu GuNa-akzare kArye api na budDimat-kartR-pUrvakatvam asti-iti-
   anaikāntikaḥ kāryatvahetuḥ // MrgTV_1,3.1:14	anEkAntikaH kAryatva-hetuH // MrgTV_1,3.1:14
   * naivaṃ tatra kāryatāyā evānanvayāt // MrgTV_1,3.1:15	* na-evam tatra kArya-tAyAH eva-ananvayAt // MrgTV_1,3.1:15
   * yatheṣṭasaṃcāramātra eva kila ghuṇasya kartṛtā nanu	* yaTezwa-saMcAra-mAtraH eva kila GuNasya kartR-tA nanu
   viśiṣṭasaṃniveśākṣaranirmitau // MrgTV_1,3.1:16	viSizwa-saMniveSa-akzara-nirmitO // MrgTV_1,3.1:16
   * sa tu saṃniveśas tathā anyathāsya parisarpataḥ svabhāvata evopapadyate	* sa tu saMniveSaH taTA anyaTA-asya parisarpataH svaBAvataH eva-upapadyate
   // MrgTV_1,3.1:17	// MrgTV_1,3.1:17
   * nanu tadbhāve bhāvāt tadabhāve cābhāvāt ghuṇakartṛkam evākṣaram //	* nanu tad-BAve BAvAt tad-aBAve ca-aBAvAt GuNa-kartRkam eva-akzaram //
   MrgTV_1,3.1:18	MrgTV_1,3.1:18
   * yadyevaṃ tat tathācāritve bhāvāt atathācāritve cākṣarasyānabhivyakter	* yadi-evam tat taTA-AcAri-tve BAvAt ataTa-AcAri-tve ca-akzarasya-anaBivyakteH-
   avyavadhānena ghuṇākṣarasya buddhimatkartṛpūrvakatvam astīti kutaḥ	avyavaDAnena GuNAkzarasya budDimat-kartR-pUrvakatvam asti-iti kutas-
   kāryatvahetoranaikāntikatvam // MrgTV_1,3.1:19	kAryatva-hetoH-anEkAntika-tvam // MrgTV_1,3.1:19
   * na cāyam akṛṣṭajātaiḥ śālyādibhir vanadrumādibhir vānaikāntikaḥ teṣu	* na ca-ayam akRzwa-jAtEH SAli-AdiBiH vana-druma-AdiBiH vA-anEkAntikaH tezu
   kartrabhāvasyāniścayāt teṣāṃ ca pakṣībhūtatvāt // MrgTV_1,3.1:20	kartR-aBAvasya-aniScayAt tezAm ca pakzIBUta-tvAt // MrgTV_1,3.1:20
   * nanvasiddhavyāptikasya pakṣīkaraṇamātreṇa yadi hetvābhāsānāṃ	* nanu-asidDa-vyAptikasya pakzIkaraNa-mAtreNa yadi hetvABAsAnAm
   nirāsastarhi na kecana hetavo hetvābhāsāḥ // MrgTV_1,3.1:21	nirAsaH-tarhi na kecana hetavaH hetvABAsAH // MrgTV_1,3.1:21
   * bhaved etad yadyayaṃ kāryatvahetur asiddhavyāptikaḥ syāt //	* Bavet etat yadi-ayam kAryatva-hetuH asidDa-vyAptikaH syAt //
   MrgTV_1,3.1:22	MrgTV_1,3.1:22
   * yāvatā dṛṣṭāntīkṛtadṛṣṭakartṛkaghaṭādivyatiriktās trailokyodaravartinas	* yAvatA dRzwAntI-kRta-dRzwa-kartRka-Gawa-Adi-vyatiriktAH trElokya-udara-vartinas
   tanukaraṇabhuvanādayo bhāvā dharmiṇaḥ kartṛpūrvakāḥ kāryatvād	tanu-karaNa-Buvana-AdayaH BAvAH DarmiNaH kartR-pUrvakAH kAryatvAt-
   upalabhyamānakartṛkaghaṭādivad ityanumāne kriyamāṇe kim anyad avaśiṣyate	upalaByamAna-kartRka-Gawa-Adi-vat iti-anumAne kriyamANe kim anyat avaSizyate
   yatra kāryatvasya vyāptirna siddhā syāt // MrgTV_1,3.1:23	yatra kAryatvasya vyAptiH-na sidDA syAt // MrgTV_1,3.1:23
   * nanu cātrānumāne ya eva ghaṭādir dṛṣṭānte dharmī sa dṛṣṭakartṛkatvān na	* nanu ca-atra-anumAne yaH eva Gawa-AdiH dRzwAnte DarmI sa dRzwa-kartRka-tvAt na
   tāvat siṣādhīyaṣiteśvaranirvartyaḥ tasya tu	tAvat sizA-aDIyaziteSvara-nirvartyaH tasya tu
   kumbhakārakāryatveneśasyāsarvakartṛtvam atheśvarakartṛtvaṃ	kumBakAra-kArya-tvena-ISasyA-sarva-kartR-tvam aTa-ISvara-kartR-tvam
   dṛṣṭāntadharmiṇo ghaṭāderiṣṭaṃ tatsādhyabhraṣṭo dṛṣṭāntaḥ pratītibādhaśca	dRzwAnta-DarmiNaH Gawa-AdeH-izwam tad-sADya-BrazwaH dRzwAntaH pratIti-bADaH-ca
   // MrgTV_1,3.1:24	// MrgTV_1,3.1:24
   * na hi ghaṭādikam arthaṃ kulālādyanvayavyatirekānuvidhāyinam	* na hi Gawa-Adikam arTam kulAla-Adi-anvaya-vyatireka-anuviDAyinam
   īśvarakartṛkatvena kaścid apyavaiti // MrgTV_1,3.1:25	ISvara-kartRka-tvena kaScid api-avEti // MrgTV_1,3.1:25
   * viruddhaścāyaṃ hetuḥ yādṛśo hi ghaṭādeḥ kartā kulālādiḥ kleśādibhāg	* virudDaH-ca-ayam hetuH yAdRSaH hi Gawa-AdeH kartA kulAla-AdiH kleSa-Adi-BAg
   anīśo vinaśvaraśca tādṛk jagato'pi kartā prāpnoti // MrgTV_1,3.1:26	anISaH vinaSvaraH-ca tAdRS jagataH-api kartA prApnoti // MrgTV_1,3.1:26
   * tad uktaṃ jaiminīyaiḥ /	* tat uktam jEminIyEH /
   * kumbhakārādyadhiṣṭhānaṃ ghaṭādau yadi ceṣyate /	* kumBakAra-Adi-aDizWAnam Gawa-AdO yadi ca-izyate /
   * neśvarādhiṣṭhitatvaṃ syād asti cet sādhyahīnatā // MrgTV_1,3.1:27	* na-ISvara-aDizWita-tvam syAt asti ced sADya-hIna-tA // MrgTV_1,3.1:27
   * tathā siddhe ca dṛṣṭānte bhaveddhetor viruddhatā /	* taTA sidDe ca dRzwAnte Bavet-hetoH virudDa-tA /
   * anīśvaravināśyādikartṛkatvaṃ prasajyate // MrgTV_1,3.1:28	* anISvara-vinASi-Adi-kartRka-tvam prasajyate // MrgTV_1,3.1:28
