   Adhyaya 3, Pada 1	ADyayaH 3, Pada 1
   nirnibandhanamāpadyetetyavakṣyat /	nirnibanDanam Apadyeta iti avakzyat /
   etadeva prapañcayati  vyāpāra iti //	etat eva prapaQcayati vyApAraH iti //
   vyāpāro nahi śabdasya paraḥ svārthaprakāśanāt /	vyApAraH na hi Sabdasya paraH sva arTa prakASanAt /
   pumānapyekavāroktayā kṛtakṛtyo yadā bhavet // MAnuv_3,2.186 //	pumAn api eka vAra uktayA kRtakRtyaH yadA Bavet // Ma anuv_3,2.186 //
   anvayasya kathaṃ jñānaṃ śabdārthatvaṃ yadāsya na // MAnuv_3,2.187ab //	anvayasya kaTam jQAnam Sabda arTa tvam yadA asya na // Ma anuv_3,2.187aB //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   yadā yadyasyānvayasya śabdārthatvaṃ padābhidheyatvaṃ na syāttarhyanvayasya	yadA yadi asya anvayasya Sabda arTa tvam pada aBiDeya tvam na syAt tarhi anvayasya
   jñānaṃ kathaṃ na kathañcit /	jQAnam kaTam na kaTaQcid /
   upāyāntarābhāvāt /	upAya antara aBAvAt /
   tathāhi anvayajñānātpūrvabhāvitvena vādibhiraṅgīkṛtatvena vā prasaktāni	taTA hi anvaya jQAnAt pUrva BAvi tvena vAdiBiH aFgIkRta tvena vA prasaktAni
   tāvadetāni padāni vā vaktā vā padairabhihitāḥ padārthā vā vākyaṃ vā	tAvat etAni padAni vA vaktA vA padEH aBihitAH padArTAH vA vAkyam vA
   vākyāntyavarṇo vā varṇamālā vā sphoṭo vā śrotā veti /	vAkya antya varNaH vA varNa mAlA vA sPowaH vA SrotA vA iti /
   tatra tāvadanvitābhidhānānaṅgīkāre padānāmupāyatvaṃ nopapadyata	tatra tAvat anvita aBiDAna anaFgIkAre padAnAm upAya tvam na upapadyata
   ityetadvayāpāro na hītyardhenāha /	iti etat vayA pAraH na hi iti arDena Aha /
   śabdasya padasya, svārthaprakāśanādanyo vyāpāro nāstīti tāvatsuprasiddham	Sabdasya padasya, sva arTa prakASanAt anyaH vyApAraH na asti iti tAvat suprasidDam
   anvayaśca na padābhidheyaḥ /	anvayaH ca na pada aBiDeyaH /
   tatkathaṃ padasya tajjñānopāyatvam /	tat kaTam padasya tat jQAna upAya tvam /
   vakturapi tannāstītyāha  pumānapīti //	vaktuH api tat na asti iti Aha pumAn api iti //
   yadā yasmāttasmātso 'pi nopāya iti śeṣaḥ /	yadA yasmAt tasmAt saH api na upAyaH iti SezaH /
   ekavāragrahaṇaṃ tasyātyantavyavahitatvadyotanārtham /	eka vAra grahaNam tasya atyanta vyavahita tvad yotana arTam /
   sakṛduccāraṇa eva tasyopakṣīṇatvāditi /	sakRt uccAraNaH eva tasya upakzINa tvAt iti /
   padābhihitānāṃ padārthānāmanvayabodhakatvapakṣe doṣamāha  yadaiveti //	pada aBihitAnAm padArTAnAm anvaya boDaka tva pakze doza m Aha yadA eva iti //
   yadaivānanvitārthasya vacanaṃ taiḥ padaibharvet // MAnuv_3,2.187cd //	yadA eva ananvita arTasya vacanam tEH padA EBarvet // Ma anuv_3,2.187cd //
   ananvitaḥ syācchabdārtho ... // MAnuv_3,2.188a //	ananvitaH syAt Sabda arTaH ... // Ma anuv_3,2.188aH //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   ananvitārthasyaiveti sambandhaḥ /	ananvita arTasya eva iti sambanDaH /
   jātāvekavacanam /	jAtO= eka vacanam /
   tairvākyasthaiḥ /	tEH vAkya sTEH /
   yadi padānyananvitāneva svārthānpratipādya nivartante /	yadi padAni ananvitAn eva sva arTAn pratipAdya nivartante /
   tataḥ padārthā evākāṅkṣādimanto 'nvayaṃ bodhayanti /	tatas padArTAH eva AkAFkza AdimantaH anvayam boDayanti /
   tarhyananvita eva śabdārthaḥ syāt /	tarhi ananvitaH eva Sabda arTaH syAt /
   anvayasya śābdatvaṃ na syāditi yāvat /	anvayasya SAbda tvam na syAt iti yAvat /
   padārthākhyaṃ pramāṇāntaraṃ cāpa(dyeta)dyate /	padArTa AKyam pramANa antaram ca apa(dyeta)dyate /
   bhavedetat /	Bavet etat /
   yadi padārthānāmevānvayabodhakatvaṃ brūmaḥ /	yadi padArTAnAm eva anvaya boDaka tvam brUmaH /
   na caivam /	na ca evam /
   kinnāma padairabhihitānām /	kinnAma padEH aBihitAnAm /
   tatkathamanvayasyāśābdatvamityata āha  neti //	tat kaTam anvayasya aSAbda tvam iti atas Aha na iti //
   ... na tadartho hi so 'nvayaḥ // MAnuv_3,2.188b //	... na tad arTaH hi saH anvayaH // Ma anuv_3,2.188B //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   sa padārthaiḥ pratipādito 'nvayasteṣāṃ padānāmartho na hītyarthaḥ /	sa padArTEH pratipAditaH anvayaH tezAm padAnAm arTaH na hi iti arTaH /
   tathā sati pratyakṣāvagatadhūmapratipāditasyāgneḥ pratyakṣaprameyatvaṃ	taTA sati pratyakza avagata DUma pratipAditasya agneH pratyakza prameya tvam
   syāditi bhāvaḥ /	syAt iti BAvaH /
   astu tarhi vākyasyānvayabodhakatvamiti pakṣa ityata āha  nirākāṅkṣeti //	astu tarhi vAkyasya anvaya boDaka tvam iti pakzaH iti atas Aha nirAkAFkza iti //
   nirākāṅkṣapadānyeva vākyamityucyate budhaiḥ // MAnuv_3,2.188cd //	nirAkAFkza padAni eva vAkyam iti ucyate buDEH // MA anuv_3,2.188cd //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   padānāmanvitābhidhānasāmathyarmanaṅgīkurvatā	padAnAm anvita aBiDAna sAmaTya rmanaFgIkurvatA
   vākyasyānvayabodhakatvamaṅgīkartumaśakyam /	vAkyasya anvaya boDaka tvam aFgIkartum aSakyam /
   yataḥ padānyeva vākyamiti budhairucyate /	yatas padAni eva vAkyam iti buDEH ucyate /
   padavyatiriktasya vākyasyābhāvādityarthaḥ /	pada vyatiriktasya vAkyasya aBAvAt iti arTaH /
   kecitpadātiriktameva vākyaṃ pratipannāstadūvyudāsāya budhairityuktam /	kecid padAtiriktam eva vAkyam pratipannAH tadU vyudAsAya buDEH iti uktam /
   tacca nirākariṣyate /	tat ca nirAkarizyate /
   gauraśvaḥ puruṣo hastītyādipadānāṃ vākyatvaṃ mā bhūditi nirākāṅkṣetyuktam	gOH aSvaH puruzaH hastI ityAdi padAnAm vAkya tvam mA BUt iti nirAkAFkza iti uktam
   sannidhānābhāve nirākāṅkṣatvameva na nirvahatīti nirākāṅkṣatvenaiva	sanniDAna aBAve nirAkAFkza tvam eva na nirvahati iti nirAkAFkza tvena eva
   sannidhānasya labdhatvānna pṛ(tatpṛ)thaguktam /	sanniDAnasya labDa tvAt na pR(tat pR)Taguktam /
   agninā siñcedityādau yogyatābhāve 'pyanvayapratīteḥ	agninA siQcet ityAdO yogyatA aBAve api anvaya pratIteH
   prakṛtānupayogādyogyatāpi noktā /	prakRta anupayogAt yogya tA api na uktA /
   nanvevaṃ vadatā bhavataiva padavyatiriktaṃ vākyamaṅgīkṛtam /	nanu evam vadatA BavatA eva pada vyatiriktam vAkyam aFgIkRtam /
   yathā khalu tantūnāṃ vikriyāviśeṣaḥ paṭo na tantumātram /	yaTA Kalu tantUnAm vikriyA viSezaH pawaH na tantu mAtram /
   tathā padānāṃ yo nirākāṅkṣatālakṣaṇo vikriyāviśeṣaḥ sa śakyaṃ,	taTA padAnAm yaH nirAkAFkzatA lakzaNaH vikriyA viSezaH sa SakyaM,
   padātiriktamevetyata āha  tattaditi //	padAtiriktam eva iti atas Aha tat tat iti //
   tattadarthābhidhānena syānnirākāṅkṣatā ca sā // MAnuv_3,2.189 //	tat tad arTa aBiDAnena syAt nirAkAFkza tA ca sA // Ma anuv_3,2.189 //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   na tantūnāṃ paṭa iva padānāṃ nirākāṅkṣatā vikriyā /	na tantUnAm pawaH iva padAnAm nirAkAFkzatA vikriyA /
   yena padātiriktaṃ vākyaṃ syāt /	yena padAtiriktam vAkyam syAt /
   kinnāma śrotṛpuruṣadharma eva /	kinnAma SrotR puruza DarmaH eva /
   jijñāsā khalvākāṅkṣā /	jijQAsA Kalu AkAFkzAH /
   nirākāṅkṣatā ca nivṛttajijñāsatvam /	nirAkAFkza tA ca nivRtta jijQAsa tvam /
   sā ca nirākāṅkṣatā padaiḥ syāditi padāni nirākāṅkṣāṇītyucyante /	sA ca nirAkAFkzatA padEH syAt iti padAni nirAkAFkzANi iti ucyante /
   nirākāṅkṣatākāritvaṃ ca na padānāṃ vikriyāviśeṣaḥ /	nirAkAFkzata AkAri tvam ca na padAnAm vikriyA viSezaH /
   jijñāsitārthābhidhānamātreṇa taddhetutvāt /	jijQAsita arTa aBiDAna mAtreNa tad hetu tvAt /
   tasya ca svabhāvatvāt /	tasya ca svaBAva tvAt /
   tathāca jijñāsitārthānabhidadhati jijñāsāṃ nivartayanti padāni	taTA ca jijQAsita arTAn aBidaDati jijQAsAm nivartayanti padAni
   nirākāṅkṣāṇītyuktaṃ bhavati /	nirAkAFkzANi iti uktam Bavati /
   jijñāsitārthābhidhānenaiva śroturnirākāṅkṣatā syādityetadupapādayati 	jijQAsita arTa aBiDAnena eva SrotuH nirAkAFkzatA syAt iti etat upapAdayati 
   apūrteriti //	apUrteH iti //
   apūrtestāvadarthānāmākāṅkṣā pūrvamiṣyate // MAnuv_3,2.190ab //	apUrteH tAvat arTAnAm AkAFkzA pUrvam izyate // Ma anuv_3,2.190aB //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   ānayetyevokte gavādipadaprayogātpūrvaṃ, yā kimi(tyādi)tijijñāsā (vartate)	Anaya iti eva ukte gavA Adi pada prayogAt pUrvan, yA kim i(tyAdi )tijijQAsA (vartate)
   sā tāvatāṃ jijñāsitānāmarthānāṃ	sA tAvatAm jijQAsitAnAm arTAnAm
   karmādīnāmāpūrtergavādipadairanabhidhānāditi yāvat /	karma AdInAm ApUrteH gavAdi padEH anaBiDAnAt iti yAvat /
   etaduktaṃ bhavati /	etat uktam Bavati /
   śābdī jijñāsā yāvatpadāni jijñāsitā(nar)thānnābhidadhati tāvanna nivartate	SAbdI jijQAsA yAvat padAni jijQAsitA( nar)TAn na aBidaDati tAvat na nivartate
   nivartate ca padaisteṣvabhihiteṣvityato 'nvayavyatirekābhyāṃ vijñāyate	nivartate ca padEH tezu aBihitezu iti atas anvaya vyatirekAByAm vijQAyate
   tattadarthābhidhānenaiva nirākāṅkṣatā syāditi /	tad tad arTa aBiDAnena eva nirAkAFkzatA syAt iti /
   vākyāntyavarṇo varṇamāleti pakṣadvayamatimandamiti na dūṣitam /	vAkya antya varNaH varNa mAlA iti pakza dvayam ati mandam iti na dUzitam /
   tathācoktaṃ purastāt /	taTA ca uktam purastAt /
   astu tarhi nirastavarṇapadavibhāgaṃ sphoṭākhyaṃ vākyamevānvayasya	astu tarhi nirasta varNa pada viBAgam sPowa AKyam vAkyam eva anvayasya
   pratipādakam /	pratipAdakam /
   padāni tu tadabhivyañjakatayopayujyanta iti pakṣa ityata āha  karmeti //	padAni tu tad aBivyaQjaka tayA upayujyante iti pakzaH iti atas Aha karma iti //
   karmakartṛkriyāṇāṃ tu pūrtau ko 'nyo 'nvayo bhavet // MAnuv_3,2.190cd //	karma kartR kriyANAm tu pUrtO kaH anyaH anvayaH Bavet // MA anuv_3,2.190cd //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   atra karmādigrahaṇamupalakṣaṇam /	atra karma Adi grahaNam upalakzaNam /
   jijñāsitānāṃ padārthānāmityarthaḥ /	jijQAsitAnAm padArTAnAm iti arTaH /
   anyonyasaṃsṛṣṭānāmiti śeṣaḥ /	anyonya saMsRzwAnAm iti SezaH /
   pūrtāvabhidhāne sati padairiti śeṣaḥ /	pUrtO= aBiDAne sati padEH iti SezaH /
   anvayo bhavetpratipādanīya iti śeṣaḥ /	anvayaH Bavet pratipAdanIyaH iti SezaH /
   etaduktaṃ bhavati /	etat uktam Bavati /
   sphoṭamanvayasya pratipādakaṃ vadatā tatsadbhāve pramāṇaṃ vācyam /	sPowam anvayasya pratipAdakam vadatA tad sadBAve pramANam vAcyam /
   anvayapratītyanyathānupapattiriti cenna /	anvaya pratIti anyaTA anupapattiH iti ced na /
   padānāmeva saṃsṛṣṭārthapratipādakatvasambhavāt /	padAnAm eva saMsRzwa arTa pratipAdaka tva samBavAt /
   naca tadatirikto 'nvayo nāmāsti pratipādanīyo yadarthaṃ sphoṭānveṣaṇamiti	na ca tad atiriktaH anvayaH nAma asti pratipAdanIyaH yad arTam sPowa anvezaNam iti
   evamanaṅgīkāre bādhakamāha  apūrtiriti //	evam anaFgIkAre bADaka mAha apUrtiH iti //
   apūrtiścet padairuktaiḥ kiṃ nṛśṛṅgeṇa pūryate // MAnuv_3,2.191ab //	apUrtiH ced padEH uktEH kim nRSRFgeNa pUryate // Ma anuv_3,2.191aB //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   anvayasyāpūrtiranabhidhānam /	anvayasya ApUrtiH anaBiDAnam /
   uktairiti padānāṃ pramitatvamabhipraiti /	uktEH iti padAnAm pramita tvam aBiprEti /
   nṛśṛṅgeṇa sphoṭeneti tasyāprāmāṇikatvam /	nR SRFgeNa sPowena iti tasya aprAmANika tvam /
   nṛśṛṅgatulyeneti pūryate 'bhidhīyate 'nvaya iti śeṣaḥ /	nRSRFga tulyena iti pUryate aBiDIyate anvayaH iti SezaH /
   idamuktaṃ bhavati /	idam uktam Bavati /
   padavādinaḥ kalpanālāghavaṃ pramitānāṃ padānāmanvitār(thā)bhidhānasya	pada vAdinaH kalpanA lAGavam pramitAnAm padAnAm anvitAr(TA)BiDAnasya
   kalpanāt /	kalpanAt /
   sphoṭavādinastu gauravam /	sPowa vAdinaH tu gOravam /
   yato niṣpramāṇakaḥ sphoṭastasyānvayapratipādakatvaṃ ceti dvayaṃ	yatas nizpramANakaH sPowaH tasya anvaya pratipAdaka tvam ca iti dvayam
   kalpanīyamiti /	kalpanIyam iti /
   astu tarhi navīnābhihitānvayapakṣaḥ /	astu tarhi navInA aBihita anvaya pakzaH /
   yadi hi padāni padārthānpratipādyaiva nivartante padārthā evānvayaṃ	yadi hi padAni padArTAn pratipAdya eva nivartante padArTAH eva anvayam
   bodhayantīti mataṃ tadā syādevoktadoṣaḥ /	boDayanti iti matam tadA syAt eva ukta dozaH /
   nacaivam /	naca evam /
   kintu padānyeva padārthapratipādanāvāntaravyāpārāṇyanvayaṃ bodhayantīti /	kintu padAni eva padArTa pratipAdana avAntara vyApArANi anvayam boDayanti iti /
   maivam /	mA evam /
   tathā sati padānāṃ viramyavyāpāraprasaṅgāt /	taTA sati padAnAm viramya vyApAra prasaFgAt /
   tataḥ ko doṣa ityata āha  vyāpāraścediti //	tatas kaH dozaH iti atas Aha vyApAraH ced iti //
   vyāpāraścet punasteṣāmanuktāvapi kiṃ na saḥ // MAnuv_3,2.191cd //	vyApAraH ced punar tezAm anuktO= api kim na saH // Ma anuv_3,2.191cd //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   acetanānāmapi padānāṃ yadi punarvyāpāro viramyavyāpāro 'ṅgīkriyate tadā	acetanAnAm api padAnAm yadi punar vyApAraH viramya vyApAraH aFgIkriyate tadA
   pṛcchāmo 'nuktānāmapi padānāṃ padārthādipratipādane vyāpāraḥ kuto na	pRcCAmaH anuktAnAm api padAnAm padArTa Adi pratipAdane vyApAraH kutas na
   bhavatīti /	Bavati iti /
   uttaramāśaṅkate  ukta iti //	uttaram ASaFkate uktaH iti //
   ukte buddhisthatāhetoryadi vyāpāra iṣyate // MAnuv_3,2.192ab //	ukte budDi sTatA hetoH yadi vyApAraH izyate // Ma anuv_3,2.192aB //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   bhāve ktapratyayaḥ /	BAve kta pratyayaH /
   buddhisthatā buddhiviṣayatā /	budDi sTatA budDi vizaya tA /
   padāni hi jñātakaraṇāni na tu cakṣurādivatsattāmātreṇa /	padAni hi jQAta karaNAni na tu cakzuH Adi vat sattA mAtreNa /
   uktistu(śca tajjñā)jñānopāvaya ityato 'nuktau jñātatvābhāvānna vyāpāra	uktiH tu(H ca tad jQA) jQAna upAvayaH iti atas anuktO jQAta tva aBAvAt na vyApAra
   ityāśayaḥ /	iti ASayaH /
   iti yadīṣyata iti sambandhaḥ /	iti yadi izyate iti sambanDaH /
   punaḥ siddhāntī pṛcchati  buddhisthatvāyeti //	punar sidDAntI pRcCati budDi sTa tvAya iti //
   buddhisthatvāya yatnaṃ na kathaṃ kuryuḥ puraiva ca // MAnuv_3,2.192cd //	budDi sTa tvAya yatnam na kaTam kuryuH purA eva ca // MA anuv_3,2.192cd //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   padārthabodhanādivyāpārāya yatpadānāṃ jñātatvamāvaśyakam, tadarthaṃ tāni	padArTa boDana Adi vyApArAya yat padAnAm jQAta tvam AvaSya kam, tad arTam tAni
   padānyukteḥ prāgeva yatnaṃ kathaṃ na kuryuriti ca tvāṃ pṛcchāmaḥ /	padAni ukteH prAk eva yatnam kaTam na kuryuH iti ca tvAm pRcCAmaH /
   uktiṃ vināpi buddhiviṣayatāyai kuto yatnaṃ na kuryuriti praśnārthaḥ /	uktim vinA api budDi vizaya tAyE kutas yatnam na kuryuH iti praSna arTaH /
   yadvā buddhiviṣayatvāya yaduccāraṇaṃ tadarthaṃ tūṣṇīṃ sthitaṃ kuto na	yat vA budDi vizaya tvAya yat uccAraNam tad arTam tUzNIm sTitam kutas na
   prerayantīti /	prerayanti iti /
   uttaraṃ śaṅkate  puruṣeti //	uttaram SaFkate puruza iti //
   puruṣādhīnatā teṣāṃ yadi ... // MAnuv_3,2.192e //	puruza aDIna tA tezAm yadi ... // Ma anuv_3,2.192e //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   syādetadyadi padāni cetanāni syuḥ /	syAt etat yadi padAni cetanAni syuH /
   nacaivam /	naca evam /
   ato vaktṛpuruṣāyattānyeva /	atas vaktR puruza AyattAni eva /
   sa yadoccāraṇena vyanakti tadā śrotṛbuddhisthāni bhūtvā	sa yadA uccAraNena vyanakti tadA SrotR budDi sTAni BUtvA
   padārthapratipādanādivyāpāravanti bhavanti /	padArTa pratipAdana Adi vyApAravanti Bavanti /
   natu svayaṃ kimapi kurvantīti /	na tu svayam kim api kurvanti iti /
   evaṃ tarhyanvayabodhanarūpo 'pi viramyavyāpāro na teṣāmupapadyata ityāha 	evam tarhi anvaya boDana rUpaH api viramya vyApAraH na tezAm upapadyate iti Aha 
   paścācceti //	paScAt ca iti //
   ... paścācca sā samā // MAnuv_3,2.192f //	... paScAt ca sA samAH // Ma anuv_3,2.192f //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   paścādanvayabodhane sā puruṣādhīnatā /	paScAt anvaya boDane sA puruza aDIna tA /
   etaduktaṃ bhavati /	etat uktam Bavati /
   caitanye hi padānāmanvayabodhanāya samabhivyāhṛtānāmasmākaṃ na	cEtanye hi padAnAm anvaya boDanAya samaBivyAhRtAnAm asmAkam na
   padārthapratipādanamātreṇa kṛtārthatā /	padArTa pratipAdana mAtreNa kRtArTa tA /
   ato 'nvayo 'pyasmābhiḥ pratipādanīya iti vimṛśya viramyavyāpāro yujyate /	atas anvayaH api asmABiH pratipAdanIyaH iti vimRSya viramya vyApAraH yujyate /
   na caivam /	na ca evam /
   anyathokta evātiprasaṅga iti /	anyaTA uktaH eva atiprasaFgaH iti /
   śrotānvayajñāne kāraṇamiti tu syāt /	Srota anvaya jQAne kAraNam iti tu syAt /
   kintu kartaiva /	kintu kartA eva /
   tasya kāraṇaṃ tu vicāryate /	tasya kAraNam tu vicAryate /
   ananvitābhidhāyīni padānyeva karaṇīkṛtya śrotā	ananvita aBiDAyIni padAni eva karaNIkRtya SrotA
   tatsmāritānāmarthānāmanvayajñānāya yatata iti cettatrāha  pumāneveti //	tad smAritAnAm arTAnAm anvaya jQAnAya yatate iti ced tatra aha pumAn eva iti //
   pumānevānvayāyaiṣāṃ paścād yadi viceṣyate /	pumAn eva anvayAya ezAm paScAt yadi vicezyate /
   ananvitābhidhānānāṃ sa evārthāntaroktiṣu /	ananvita aBiDAnAnAm saH eva arTa antara uktizu /
   yatatāṃ ... // MAnuv_3,2.193a e //	yatatAm ... // Ma anuv_3,2.193a e //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   anvayaśabdena tajjñānamupalakṣyate /	anvaya Sabdena tat jQAnam upalakzyate /
   paścāt padaiḥ padārthasmaraṇānantaram /	paScAt padEH padArTa smaraNa anantaram /
   ananvitābhidhānānāṃ sāhāyyeneti śeṣaḥ /	ananvita aBiDAnAnAm sAhAyyena iti SezaH /
   saḥ pumāneva /	saH pumAn eva /
   uktiśabdastatkāryajñānopalakṣaṇaḥ /	ukti SabdaH tad kArya jQAna upalakzaNaH /
   anvayānabhidhāyibhirapi padairyadyanvayaṃ pratipadyate, tadā	anvayAn aBiDAyiBiH api padEH yadi anu ayam pratipadyate, tadA
   gavādipadairaśvādikamapi pratipadyetetyarthaḥ /	gavA Adi padEH aSva Adikam api pratipadyeta iti arTaH /
   śaṅkate  śabdeti //	SaFkate Sabda iti //
   ... śabdaśaktiścet tatra naiva ... // MAnuv_3,2.193ef //	... Sabda SaktiH ced tatra na eva ... // Ma anuv_3,2.193ef //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   gavādipadānāmaśvādau śaktireva nāsti tatkathaṃ taistatpratipadyatām /	gavA Adi padAnAm aSva AdO SaktiH eva na asti tat kaTam tEH tad pratipadyatAm /
   na (hi) cakṣuṣā śabdaṃ pratipādyata iti cedityarthaḥ /	na (hi) cakzuzA Sabdam pratipAdyate iti ced iti arTaH /
   tarhi samaṃ prakṛte 'pītyāha  anvaye kathamiti //	tarhi samam prakRte api iti Aha anvaye kaTam iti //
   ... anvaye katham // MAnuv_3,2.193f //	... anvaye kaTam // Ma anuv_3,2.193f //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   anvaye śaktirahitaistaiḥ kathamanvayajñānāya yatetetyarthaḥ /	anvaye Sakti rahitEH tEH kaTam anvaya jQAnAya yateta iti arTaH /
   yadyananvitamityādinoktamarthamupasaṃharati  taditi //	yadi ananvitam ityAdinA uktam arTam upasaMharati tat iti //
   tatkalpanāgurutvādidoṣeto 'bhihitānvayaḥ /	tad kalpanA guru tva Adi doza itaH aBihita anvayaH /
   anubhūtiviruddhaśca tyājya eva manīṣibhiḥ // MAnuv_3,2.194 //	anuBUti virudDaH ca tyAjyaH eva manIziBiH // Ma anuv_3,2.194 //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   tat tasmāt /	tat tasmAt /
   tasyaiva vivaraṇaṃ kalpanetyādi /	tasya eva vivaraNam kalpanA ityAdi /
   kalpanāgauravaṃ prathamasūtreṇa vyutpāditam /	kalpanA gOravam praTama sUtreNa vyutpAditam /
   abhihitānvaya ityuktasamastapakṣopalakṣaṇam /	aBihita anvayaH iti ukta samasta pakza upalakzaNam /
   kathamanubhūtivirodha ityata āha  kartṛśabde hīti /	kaTam anuBUti viroDaH iti atas Aha kartR Sabde hi iti /
   kartṛśabde hyabhihite dharmasāmānyavedanāt /	kartR Sabde hi aBihite Darma sAmAnya vedanAt /
   viśeṣadharmamanvicchan kimityeva hi pṛcchati // MAnuv_3,2.195 //	viSeza Darmam anvicCan kim iti eva hi pRcCati // Ma anuv_3,2.195 //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   kartṛgrahaṇaṃ sambandhimātropalakṣaṇam /	kartR grahaNam sambanDi mAtra upalakzaNam /
   viśeṣadharmamiti tajjñānam /	viSeza Darmam iti tat jQAnam /
   devadatteneti kartṛvācini śabde prayukte śrotā kimiti pṛcchatīti	devadattena iti kartR vAcini Sabde prayukte SrotA kim iti pRcCati iti
   tāvadavivādam /	tAvat avivAdam /
   sa ca pacanādidharmaviśeṣajñānami(manvi)cchanneva pṛcchati /	sa ca pacana Adi Darma viSeza jQAnam i(man vi)cCan= eva pRcCati /
   viśeṣajijñāsā ca dharmasāmānyajñānādeva /	viSeza jijQAsA ca Darma sAmAnya jQAnAt eva /
   naca tadā tasya dharmasāmānyajñānopāyo 'styanyaḥ padāt /	na ca tadA tasya Darma sAmAnya jQAna upAyaH asti anyaH padAt /
   ataḥ padena dharmasāmānyānvitaṃ vastu pratipāditamiti jñāyate /	atas padena Darma sAmAnya anvitam vastu pratipAditam iti jQAyate /
   kimiti praśno viśeṣajijñāsayetyetatkuta ityata āha  guṇeti //	kim iti praSnaH viSeza jijQAsayA iti etat kutas iti atas Aha guNa iti //
   guṇakriyādidharmāṇāṃ viśeṣe kathite punaḥ /	guNa kriyA Adi DarmANAm viSeze kaTite punar /
   nirākāṅkṣo bhavedyasmāc ... // MAnuv_3,2.196a c //	nirAkAFkzaH Bavet yasmAt ... // Ma anuv_3,2.196a t //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   nirākāṅkṣo nivṛttajijñāsaḥ /	nirAkAFkzaH nivRtta jijQAsaH /
   tasmādviśeṣadharmamanvicchaktimityeva hi pṛcchatīti sambandhaḥ /	tasmAt viSeza Darmam anvicCaktim iti eva hi pRcCati iti sambanDaH /
   etaduktaṃ bhavati /	etat uktam Bavati /
   kartrādipadaśravaṇānantarabhāvī kimityādipraśno jijñāsāmūlaḥ /	kartR Adi pada SravaNa anantara BAvI kim iti Adi praSnaH jijQAsA mUlaH /
   praśnatvātsaṃmatavat /	praSna tvAt saMmata vat /
   sā ca jijñāsā dharmaviśeṣaviṣayā /	sA ca jijQAsA Darma viSeza vizayAH /
   taduktyā nivartamānatvā(tsamatmata)tsampratipannavat /	tad uktyA nivartamAna tvA(tsamatmata)t sampratipanna vat /
   viśeṣajijñāsā ca dharmasāmānyajñānapūvirkā viśeṣajijñāsātvātsaṃmatavat /	viSeza jijQAsA ca Darma sAmAnya jQAna pUvirkA viSeza jijQAsA tvAt saMmata vat /
   sāmānyajñānaṃ cedametatpadajanyaṃ tadanantarabhāvitvātsaṃmatavaditi /	sAmAnya jQAnam ca idam etat pada janyam tad anantara BAvi tvAt saMmata vat iti /
   padena padārthamātre 'bhihite avinābhāvabalena dharmasāmānyajñānamiti	padena padArTa mAtre aBihite avinA aBAva balena Darma sAmAnya jQAnam iti
   cenna /	ced na /
   dṛṣṭapadaparityāgenādṛṣṭānumānakalpanānupapatteriti /	dRzwa pada parityAgena adRzwa anumAna kalpanA anupapatteH iti /
   etena viśeṣānvitābhidhānapakṣo 'pi parāstaḥ /	etena viSeza anvita aBiDAna pakzaH api parAstaH /
   abhihitānvayādipakṣāṇāṃ tyājyatve prakṛte kimāyātamityata āha  śabdā iti	aBihita anvaya Adi pakzANAm tyAjya tve prakRte kim AyAtam iti atas Aha SabdAH iti
   ... chabdā anvitavācakāḥ // MAnuv_3,2.196d //	... CabdAH anvita vAcakAH // MA anuv_3,2.196d //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   sarve 'pi śabdāḥ sāmānyenānvita(sva)svārthavācakā ityeṣa eva pakṣā grāhya	sarve api SabdAH sAmAnyena anvita( sva) sva arTa vAcakAH iti ezaH eva pakzAH grAhya
   ityarthaḥ /	iti arTaH /
   adhikaraṇasya sākṣātpratipādyamartamupasaṃharati  ata iti //	aDikaraNasya sAkzAt pratipAdya martam upasaMharati atas iti //
   ato 'nantaguṇātmaiko bhagavān ... // MAnuv_3,2.197ab //	atas ananta guNa AtmA ekaH BagavAn ... // Ma anuv_3,2.197aB //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
