   Svayambhu Purāṇa	SvayamBu PurANa
   tatastaṃ yatimāhuya sāyaṃ sa halavāhakaḥ /	tatas-tam yatim-Ahuya sAyam sa halavAhakaH /
   tatra praviśya dharmaśrīmitra saṃprati vismitaḥ // SvayambhuP_6.68 //	tatra praviSya DarmaSrI-mitra saMprati vismitaH // SvayamBuj-_6.68 //
   tato mūlaphala skandha patrādi bhogamādarāt /	tatas mUlaPala skanDa patra-Adi Bogam-AdarAt /
   datvā tasmai svayaṃ bhuktvā tasthau sa halavāhakaḥ // SvayambhuP_6.69 //	datvA tasmE svayam BuktvA tasTO sa halavAhakaH // SvayamBuj-_6.69 //
   tataḥ sa vividhāṃ dharmmaśrīmitrorajanī kathāṃ /	tatas sa viviDAm Darmma-SrI-mitraH-rajanI kaTAm /
   bhāṣitvā taṃ mahābhijñaṃ kṛṣikaraṃ vyanodayan // SvayambhuP_6.70 //	BAzitvA tam mahA-aBijQam kRzi-karam vyanodayan // SvayamBuj-_6.70 //
   tataḥ sa mañjudevastaṃ yati chātrālaye niśi /	tatas sa maQjudevaH-tam yati CAtra-Alaye niSi /
   preṣayitvā svayaṃ gahvāgāre śayyāṃ samāśrayat // SvayambhuP_6.71 //	prezayitvA svayam gahvAgAre SayyAm samASrayat // SvayamBuj-_6.71 //
   tatra praviśya dharmmaśrī mitra saṃprati vismitaḥ /	tatra praviSya DarmmaSrI mitra saMprati vismitaH /
   suptvākṣaṇaṃ samutthāya manasaivaṃ vyacintayat // SvayambhuP_6.72 //	suptvA-akzaNam samutTAya manasA-evam vyacintayat // SvayamBuj-_6.72 //
   nādyātra śayanīyaṃ yadayaṃpumānmaharddhikaḥ /	na-adya-atra SayanIyam yat-ayaMpumAn-mahardDikaH /
   bhāryāyā sahasākathyaṃ kiṃkiṃ kuryād vinodayaṃ // SvayambhuP_6.73 //	BAryAyAH sahasA-akaTyam kiMkim kuryAt vinA-udayam // SvayamBuj-_6.73 //
   iti dhyātvā sadharmmaśrīmitra yatirutthitaḥ /	iti DyAtvA saDarmma-SrI-mitra yatiH-utTitaH /
   saṃvara nibhṛtaṃ tasya dvāramūlamupāśrayet // SvayambhuP_6.74 //	saMvara niBRtam tasya dvAra-mUlam-upASrayet // SvayamBuj-_6.74 //
   tatkṣaṇe mañjudevaṃ taṃ keśinī supriyā satī /	tad-kzaNe maQjudevam tam keSinI supriyA satI /
   śayāsanasamāsīnā bharktāramevamavravīt // SvayambhuP_6.75 //	Saya-Asana-samAsInA BarktAram-evam-avravIt // SvayamBuj-_6.75 //
   svāminko 'yaṃ yati rdhīmānkimarthamasmadāśrame /	svAmin-kaH ayam yati rDImAn-kimarTam-asmad-ASrame /
   iha kutaḥ samāyāta statsamādeṣdumarhati // SvayambhuP_6.76 //	iha kutas samAyAta stat-samAdezdum-arhati // SvayamBuj-_6.76 //
   iti saṃprārthitaṃ devyā mañjudevo niśamya saḥ /	iti saMprArTitam devyAH maQjudevaH niSamya saH /
   keśinīṃ tāṃ priyāṃ bhāryāṃ sampaśyannevamavravīt // SvayambhuP_6.77 //	keSinIm tAm priyAm BAryAm sampaSyan=-evam-avravIt // SvayamBuj-_6.77 //
   sādhu śṛṇu priye devī yadartha yamimihāgataḥ /	sADu SRNu priye devI yad-arTa yamim-iha-AgataH /
   tadartha hi mahaddhetuṃ vakṣyāmi te vicārayat // SvayambhuP_6.78 //	tad-arTa hi mahat-hetum vakzyAmi te vicArayat // SvayamBuj-_6.78 //
   ayaṃ bhikṣu mahābhijño bodhisattvo mahāmatiḥ /	ayam Bikzu mahA-aBijQaH boDisattvaH mahAmatiH /
   vikhyāto yo mahādharmmaśrīmitrobhidho yati // SvayambhuP_6.79 //	viKyAtaH yaH mahA-Darmma-SrImitra-uBiDaH yati // SvayamBuj-_6.79 //
   vikramaśīla ākhyāte vihāre sa nivāsakaḥ /	vikrama-SIlaH AKyAte vihAre sa nivAsakaH /
   nāmasaṃgīti vyākhyānaṃ śikṣebhyo vistaraṃ vyadhāt // SvayambhuP_6.80 //	nAma-saMgI-iti vyAKyAnam SikzeByaH vistaram vyaDAt // SvayamBuj-_6.80 //
   dvādaśākṣara guhyārtha viśuddhi jñāna vistaraṃ /	dvAdaSa-akzara guhya-arTa viSudDi jQAna vistaram /
   nāma samyagupākhyātuṃ śaknoti na sudhīrapi // SvayambhuP_6.81 //	nAma samyak-upAKyAtum Saknoti na suDIH-api // SvayamBuj-_6.81 //
   tadāyaṃ ca viṣaṇṇātmāḥ dhyānāgāre samāśritaḥ /	tadA-ayam ca vizaNNa-AtmAH DyAna-AgAre samASritaH /
   dhyātvā lokeṣu sarvatra vilokyaivaṃ vyacintayan // SvayambhuP_6.82 //	DyAtvA lokezu sarvatra vilokya-evam vyacintayan // SvayamBuj-_6.82 //
   mañjuśrī reva jānīyātsarva guhya viśuddhivit /	maQjuSrI reva jAnIyAt-sarva guhya viSudDi-vid /
   dvādaśākṣara guhyārtha viśuddhiṃ samupādiśat // SvayambhuP_6.83 //	dvAdaSa-akzara guhya-arTa viSudDim samupAdiSat // SvayamBuj-_6.83 //
   iti dhyātvā samutthāya sarvān śiṣyānsa sāṃghikān /	iti DyAtvA samutTAya sarvAn SizyAn-sa sAMGikAn /
   bodhayitvā mahotsāhaḥ vīryeṇa pracāraktataḥ // SvayambhuP_6.84 //	boDayitvA mahA-utsAhaH vIryeNa pracArak-tataH // SvayamBuj-_6.84 //
   uktarasyāṃ mahācīne pañcaśīrṣesmadāśrame /	uktarasyAm mahA-cIne paQca-SIrzesmad-ASrame /
   gantumanena mārggeṇa carannīha samāgataḥ // SvayambhuP_6.85 //	gantum-anena mArggeNa caran-ni-iha samAgataH // SvayamBuj-_6.85 //
   tamiha samayāyātaṃ dṛṣṭvā samṛddhibhāvataḥ /	tam-iha samayA-AyAtam dRzwvA samRdDi-BAvataH /
   bodhayitvaivamāhuyoḥ nayāmi svāśrame 'dhunā // SvayambhuP_6.86 //	boDayitvA-evam-AhuyoH nayAmi sva-ASrame aDunA // SvayamBuj-_6.86 //
   iti bhaktā samādiṣṭaṃ śrutvā sā keśinī priyā /	iti BaktA samAdizwam SrutvA sA keSinI priyA /
   svāminaṃ taṃ samālokya papracchaivaṃ samādarāt // SvayambhuP_6.87 //	svAminam tam samAlokya papracCa-evam samAdarAt // SvayamBuj-_6.87 //
   svāminahaṃ na jānāmi śṛṇomi na kadācana /	svAminaham na jAnAmi SRNomi na kadAcana /
   kathametadviśuddhyarthaṃ samupādiśa me 'dhunā // SvayambhuP_6.88 //	kaTam-etat-viSudDi-arTam samupAdiSa me aDunA // SvayamBuj-_6.88 //
   iti saṃprāthitaṃ devyā mañjudevo niśamya saḥ /	iti saMprATitam devyAH maQjudevaH niSamya saH /
   keśinīṃ tāṃ priyāṃ bhāryā sampaśyannevamavravīt // SvayambhuP_6.89 //	keSinIm tAm priyAm BAryA sampaSyan=-evam-avravIt // SvayamBuj-_6.89 //
   sādhu devī tava prītyā sāmpratamupadiśyate /	sADu devI tava prItyA sAmpratam-upadiSyate /
   etadartha mahāguhyaṃ gopanīyaṃ prayatnataḥ // SvayambhuP_6.90 //	etad-arTa mahA-guhyam gopanIyam prayatnataH // SvayamBuj-_6.90 //
   ityuktvā mañjudevo 'sau tasyai devyai yathāvidhiḥ /	iti-uktvA maQjudevaH asO tasyE devyE yaTAviDiH /
   dvādaśākṣara guhyārthaṃ viśuddhi samupādiśat // SvayambhuP_6.91 //	dvAdaSa-akzara guhya-arTam viSudDi samupAdiSat // SvayamBuj-_6.91 //
   etatsarva samākhyātaṃ vistaraṃ sa mahāmatiḥ /	etat-sarva samAKyAtam vistaram sa mahAmatiH /
   dharmaśrīmitra ākarṇya prātyananda pravodhitaḥ // SvayambhuP_6.92 //	Darma-SrI-mitraH AkarNya prAtyananda pravoDitaH // SvayamBuj-_6.92 //
   tata samudito dharmmaśrī mitra utthite mudā /	tata samuditaH DarmmaSrI mitraH utTite mudA /
   mañjuśrīrayameveti niścayaṃ samupāyayau // SvayambhuP_6.93 //	maQjuSrIH-ayam-eva-iti niScayam samupAyayO // SvayamBuj-_6.93 //
   tataḥ sasuprasannātmā dvāramūle kṛtāñjaliḥ /	tatas sa-su-prasanna-AtmA dvAra-mUle kRtAQjaliH /
   aṣṭāṃga praṇatiṃ kṛtvā tasthau tadgata mānasaḥ // SvayambhuP_6.94 //	azwAMga praNatim kRtvA tasTO tadgata mAnasaH // SvayamBuj-_6.94 //
   tataḥ prātaḥ samutthāya keśinī mokṣadāyanī /	tatas prAtar samutTAya keSinI mokza-dAyanI /
   dvārakapāramudadhāṭayaḥ vahirgantumupākramat // SvayambhuP_6.95 //	dvAraka-pAram-udaDa-AwayaH vahiH-gantum-upAkramat // SvayamBuj-_6.95 //
   tatra taṃ yatimālokya dvāramūle vyavasthitaṃ /	tatra tam yatim-Alokya dvAra-mUle vyavasTitam /
   bhītā sā keśinī devī drutamupācaratprabhoḥ // SvayambhuP_6.96 //	BItA sA keSinI devI drutam-upAcarat-praBoH // SvayamBuj-_6.96 //
   tāṃ pratyāgatāṃ dṛṣṭvā mañjudevaḥ sa sarvavit /	tAm pratyAgatAm dRzwvA maQjudevaH sa sarva-vid /
   vibhinnāsyāṃ samālokya papracchaivaṃ adhīravat // SvayambhuP_6.97 //	viBinna-asyAm samAlokya papracCa-evam aDIra-vat // SvayamBuj-_6.97 //
   devī kiṃdvāramudhyāṭya sattvaraṃ tvamupāgatāḥ /	devI kiMdvAram-uDyAwya sat-tvaram tvam-upAgatAH /
   dṛṣṭvā kiṃ tatra bhītāsi tatsatyaṃ vada me puraḥ // SvayambhuP_6.98 //	dRzwvA kim tatra BItA-asi tat-satyam vada me puras // SvayamBuj-_6.98 //
   iti pṛṣṭe jagacchāstā bharktā sā keśinī virāt /	iti pRzwe jagat-SAstA BarktA sA keSinI virAt /
   svāminaṃ taṃ samālokya śanairevaṃnyavedayet // SvayambhuP_6.99 //	svAminam tam samAlokya SanEs-evaMni-avedayet // SvayamBuj-_6.99 //
   svāminyati namaskṛtvā dvāramūle nipātitaḥ /	svAminyati namaskRtvA dvAra-mUle nipAtitaH /
   jīvito vā mṛtau vāsau mayā na jñāyate khalu // SvayambhuP_6.100 //	jIvitaH vA mRtO vA-asO mayA na jQAyate Kalu // SvayamBuj-_6.100 //
   ityuktaṃ bhāryayā śrutvā mañjudevaḥ sa utthitaḥ /	iti-uktam BAryayA SrutvA maQjudevaH saH utTitaH /
   upetya dvāramūle taṃ saṃdadarśa nipātitaṃ // SvayambhuP_6.101 //	upetya dvAra-mUle tam saMdadarSa nipAtitam // SvayamBuj-_6.101 //
   dṛṣṭvā sa mañjudevastaṃ yatiṃ dhyātvā jitendriyaṃ /	dRzwvA sa maQjudevaH-tam yatim DyAtvA jita-indriyam /
   hastaṃ dhṛtvā samutthāya saṃpaśyannevavravīt // SvayambhuP_6.102 //	hastam DRtvA samutTAya saMpaSyan=-eva-vravIt // SvayamBuj-_6.102 //
   yate kimarthamatraivaṃ dvāraṃ dhyātvāvatiṣṭhasi /	yate kimarTam-atra-evam dvAram DyAtvA-avatizWasi /
   tatmamapurataḥ sabhyaṃ vadaya te samāhitaṃ // SvayambhuP_6.103 //	tatmama-puratas saByam vadaya te samAhitam // SvayamBuj-_6.103 //
   ityuktvā mañjudeveṃna dharmaśrīmitra unmanāḥ /	iti-uktvA maQjudeveMna Darma-SrI-mitraH unmanAH /
   mañjuśriyantamaṣṭāṃgainatvaivaṃ prārthayanmudā // SvayambhuP_6.104 //	maQju-Sriyantam-azwa-aMga-enatva-evam prArTayat-mudA // SvayamBuj-_6.104 //
   bhagavannātha sarvajña sarvavidyādhipa prabho /	Bagavat-nATa sarvajQa sarva-vidyA-aDipa praBo /
   bhavatpādāmbuje bhaktyā śaraṇe samupāśraye // SvayambhuP_6.105 //	Bavat-pAda-ambuje BaktyA SaraNe samupASraye // SvayamBuj-_6.105 //
   bhavāneva jagacchāstā mañjuśrīrbhagavānapi /	BavAn-eva jagat-SAstAH maQjuSrIH-BagavAn-api /
   jñāyate dṛśyate hyatra jñānaratnanidhi rmayā // SvayambhuP_6.106 //	jQAyate dRSyate hi-atra jQAna-ratna-niDi rmayA // SvayamBuj-_6.106 //
   tad bhavāhni vijānīte yadarthehamihā vraja /	tat Bava-ahni vijAnIte yat-arTa-Iham-ihAH vraja /
   tatmebhivāṃcchitaṃ śāstāḥ saṃpūrayitumarhati // SvayambhuP_6.107 //	tatmeBivAn=-Citam SAstAH saMpUrayitum-arhati // SvayamBuj-_6.107 //
   iti saṃprārthitaṃ tena mañjudeva niśamya sa /	iti saMprArTitam tena maQjudeva niSamya sa /
   vijñāya taṃ mahābhijñaṃ saṃpaśyannevamavravīt // SvayambhuP_6.108 //	vijQAya tam mahA-aBijQam saMpaSyan=-evam-avravIt // SvayamBuj-_6.108 //
   kathaṃ vinā abhiṣekaṃ te mantrārthamupadeśyate // SvayambhuP_6.109 //	kaTam vinA aBizekam te mantra-arTam-upadeSyate // SvayamBuj-_6.109 //
   tāvadatrabhiṣeka tvaṃ gṛhvāṇhedaṃ yadīcchasi /	tAvat-atraBizeka tvam gRhvAN-ha-idam yadi-icCasi /
   ityuktaṃ mañjudevena niśamya sa yatiḥ sudhīḥ // SvayambhuP_6.110 //	iti-uktam maQjudevena niSamya sa yatiH suDIH // SvayamBuj-_6.110 //
   mañjudevaṃ namostasya sāñjalirevamavravīt /	maQjudevam namoH-tasya sa-aQjaliH-evam-avravIt /
   sarvajña bhagavāñchāstā nirdhano 'hamakiṃcanaḥ // SvayambhuP_6.111 //	sarvajQa BagavAn-SAstAH nirDanaH aham-akiMcanaH // SvayamBuj-_6.111 //
   kiṃ dāsye bhavataṃ śāstre dakṣiṇāṃ guru bhaktimān /	kim dAsye Bavatam SAstre dakziNAm guru BaktimAn /
   iti tenoditaṃ śrutvāḥ mañjudevaḥ sasanmatiḥ // SvayambhuP_6.112 //	iti tena-uditam SrutvAH maQjudevaH sa-sanmatiH // SvayamBuj-_6.112 //
   saṃpaśyansteyatī dharmaśrīmitramevamavravīt /	saMpaSyan-steyatI DarmaSrI-mitram-evam-avravIt /
   yataḥ kiṃ dhanasaṃpatyā śraddhā te yadi vidyate // SvayambhuP_6.113 //	yatas kim Dana-saMpatyA SradDA te yadi vidyate // SvayamBuj-_6.113 //
   tuṣyante guruvo bhaktimātreṇātra dhanenatu /	tuzyante guruvaH Bakti-mAtreNa-atra Danena-tu /
   ityuktvā mañjudevena dharmaśrīmitra unmatāḥ // SvayambhuP_6.114 //	iti-uktvA maQjudevena Darma-SrI-mitraH unmatAH // SvayamBuj-_6.114 //
   aṣṭāṃgestaṃ guruṃ natvā prārthayadevamādarāt /	azwAMgeH-tam gurum natvA prArTayat-evam-AdarAt /
   bhagavanyadi bhaktyaiva tuṣyate 'tra bhavān mama // SvayambhuP_6.115 //	Bagavan-yadi BaktyA-eva tuzyate atra BavAn mama // SvayamBuj-_6.115 //
   bhavatāṃ suśrūṣāmeṣa karomi bhaktimānahaṃ /	BavatAm suSrUzAm-eza karomi BaktimAn-aham /
   iti me kṛpayā śāsta abhiṣeka yathāvidhiḥ // SvayambhuP_6.116 //	iti me kRpayA SAsta aBizeka yaTAviDiH // SvayamBuj-_6.116 //
   datvā dvādaśa mantrārthaṃ viśuddhi dātumarhasi /	datvA dvAdaSa mantra-arTam viSudDi dAtum-arhasi /
   iti saṃprārthitaṃ tena mañjudevaṃ sa sarvavit // SvayambhuP_6.117 //	iti saMprArTitam tena maQjudevam sa sarva-vid // SvayamBuj-_6.117 //
   bhaktimanta tamālokya paṇyamevamabhāṣata /	Baktimanta tam-Alokya paNyam-evam-aBAzata /
   dāsyāmi te mahābhāga bhakti śraddhāsti te yadi // SvayambhuP_6.118 //	dAsyAmi te mahABAga Bakti SradDA-asti te yadi // SvayamBuj-_6.118 //
   abhiṣeka prasannātmā samādatsva samāhitaḥ /	aBizeka prasanna-AtmA samAdatsva samAhitaH /
   tataḥsa mañjudevaḥ śrī vajrācārya yathāvidhi // SvayambhuP_6.119 //	tatas-sa maQjudevaH SrI vajra-AcArya yaTAviDi // SvayamBuj-_6.119 //
   saṃsthāpya maṇḍalaṃ dharmadhātuvāgīśvarābhidhaṃ /	saMsTApya maNxalam DarmaDAtu-vAgISvara-aBiDam /
   tanmaṇḍalaṃ samārādhya samabhyarcya yathāvidhiṃ // SvayambhuP_6.120 //	tat-maNxalam samArADya samaByarcya yaTAviDim // SvayamBuj-_6.120 //
   abhiṣekaṃ prasannāya tasmai dadau sa vajradhṛk /	aBizekam prasannAya tasmE dadO sa vajraDRk /
   tatastān maṇḍale devān saṃdarśayaṃ yathākramāt // SvayambhuP_6.121 //	tatas-tAn maNxale devAn saMdarSayam yaTAkramAt // SvayamBuj-_6.121 //
   pūjayitvā yathāśakti śaraṇe samayojayet /	pUjayitvA yaTASakti SaraNe samayojayet /
   tatastasmai prasannāya mañjudevo yathāvidhi // SvayambhuP_6.122 //	tatas-tasmE prasannAya maQjudevaH yaTAviDi // SvayamBuj-_6.122 //
   dvādaśākṣara guhyārtha viśuddhisamupādiśat /	dvAdaSa-akzara guhya-arTa viSudDi-samupAdiSat /
   tato labdhābhiṣeko 'sau dharmaśrīmitra utmanā // SvayambhuP_6.123 //	tatas labDa-aBizekaH asO DarmaSrI-mitraH utmanAH // SvayamBuj-_6.123 //
   dvādaśabhūmi guhyārtha viśuddhijñānamāptavān /	dvAdaSa-BUmi guhya-arTa viSudDi-jQAnam-AptavAn /
   tasmai śāstre sabhāryāya svamātmānaṃ sa dakṣiṇāṃ // SvayambhuP_6.124 //	tasmE SAstre sa-BAryAya svam-AtmAnam sa dakziNAm // SvayamBuj-_6.124 //
   saṃkalpya śraddhayā bhaktyā natvaivaṃ prārthayan mudā /	saMkalpya SradDayA BaktyA natvA-evam prArTayat mudA /
   bhagavan nātha sarvajña bhavat kṛpā prasādataḥ // SvayambhuP_6.125 //	Bagavat nATa sarvajQa Bavat kRpA prasAdataH // SvayamBuj-_6.125 //
   saṃprāptapūrṇa saṃkalpo bhavāmi śrīguṇārthabhṛt /	saMprApta-pUrNa saMkalpaH BavAmi SrI-guNa-arTa-BRt /
   tat sadāhaṃ bhavatpādaśaraṇe samupāśritaḥ // SvayambhuP_6.126 //	tat sa-dA-aham Bavat-pAda-SaraNe samupASritaH // SvayamBuj-_6.126 //
   yathātra bhavādiṣṭaṃ tathaiva saṃcare bhave /	yaTA-atra Bava-Adizwam taTA-eva saMcare Bave /
   tat me 'nujñādi datvātra saṃbodhijñānasādhanaṃ // SvayambhuP_6.127 //	tat me anujQAdi datvA-atra saMboDi-jQAna-sADanam // SvayamBuj-_6.127 //
   sarvasattva hitārthena careyaṃ bodhisaṃvaraṃ /	sarva-sattva hita-arTena careyam boDi-saMvaram /
   iti saṃprārthya dharmaśrī mitra sa samupāśritaḥ // SvayambhuP_6.128 //	iti saMprArTya DarmaSrI mitra sa samupASritaH // SvayamBuj-_6.128 //
   śraddhābhakti prasannātmā gurusevā paro 'bhavat /	SradDA-ABakti prasanna-AtmA guru-sevA paraH aBavat /
   tataḥ sa mañjudevastaṃ mahāsattvaṃ vicakṣaṇaṃ // SvayambhuP_6.129 //	tatas sa maQjudevaH-tam mahAsattvam vicakzaNam // SvayamBuj-_6.129 //
   matvā saṃbodhi caryāyāṃ niyoktuṃ saṃvyanodayan /	matvA saMboDi caryAyAm niyoktum saMvyanodayan /
   sādhu sādhu mahābhāgaḥ saṃcaratvaṃ jagaddhite // SvayambhuP_6.130 //	sADu sADu mahABAgaH saMcara-tvam jagat-hite // SvayamBuj-_6.130 //
   saṃbodhi sādhanaṃ bodhicaryā vrata sadā bhava /	saMboDi sADanam boDi-caryA vrata sadA Bava /
   etatpuṇyābhi liptātmā pariśuddha trimaṇḍalāḥ // SvayambhuP_6.131 //	etat-puNya-aBi lipta-AtmA pariSudDa tri-maNxalAH // SvayamBuj-_6.131 //
   bodhisattvā mahābhijñā bhaveḥ śrī sadguṇāśrayāḥ /	boDisattvAH mahA-aBijQA BaveH SrI sat-guNa-ASrayAH /
   tatastvaṃ bodhisaṃbhāraṃ pūrayitvā yathākramaṃ // SvayambhuP_6.132 //	tatas-tvam boDi-saMBAram pUrayitvA yaTAkramam // SvayamBuj-_6.132 //
   niḥkleśo bodhiprāpto 'haṃ sambuddhapadamāpnuyāḥ /	niHkleSaH boDi-prAptaH aham sambudDa-padam-ApnuyAH /
   iti me śāsanaṃ dhṛtvā smṛtvā dhyātvā samāhitaḥ // SvayambhuP_6.133 //	iti me SAsanam DRtvA smRtvA DyAtvA samAhitaH // SvayamBuj-_6.133 //
   triratnaṃ samupāśritya saṃcarasva jagaddhite /	tri-ratnam samupASritya saMcarasva jagat-hite /
   yadi jagaddhitaṃ kartuṃ saṃbodhiṃ prāpnumicchasi // SvayambhuP_6.134 //	yadi jagat-hitam kartum saMboDim prApnum-icCasi // SvayamBuj-_6.134 //
   saddharmaṃ samupādiśya sarvān lokān pravodhaya //	sadDarmam samupAdiSya sarvAn lokAn pravoDaya //
   tatastān bodhitān sarvān kamena bodhisādhanaṃ // SvayambhuP_6.135 //	tatas-tAn boDitAn sarvAn kamena boDi-sADanam // SvayamBuj-_6.135 //
   bodhimārge pratiṣṭhāpya cārayasva jagaddhite /	boDi-mArge pratizWApya cArayasva jagat-hite /
   tatasteṣāṃ samālokya cittaṃ saṃbodhi niścitaṃ // SvayambhuP_6.136 //	tatas-tezAm samAlokya cittam saMboDi niScitam // SvayamBuj-_6.136 //
   triyānaṃ samupādiśya paramārthe niyojaye /	tri-yAnam samupAdiSya parama-arTe niyojaye /
   evaṃ kṛtvā mahaddharmamāśu sambodhisādhanaṃ // SvayambhuP_6.137 //	evam kRtvA mahat-Darmam-ASu samboDi-sADanam // SvayamBuj-_6.137 //
   bhadraśrī sadguṇāpannāṃ samāpnuyā jagacchubhe /	BadraSrI sat-guNa-ApannAm samApnuyA jagat-SuBe /
   tenāśuḥ pariśuddhātmā sambuddhapadamāptavān // SvayambhuP_6.138 //	tena-ASuH pariSudDa-AtmA sambudDa-padam-AptavAn // SvayamBuj-_6.138 //
   jagaddharmmamayaṃ kṛtvā jinālayaṃ samāpnuyāḥ /	jagat-Darmma-mayam kRtvA jina-Alayam samApnuyAH /
   iti bhadravrataṃ dhṛtvā gatvā tvaṃ svāśrame punaḥ // SvayambhuP_6.139 //	iti Badravratam DRtvA gatvA tvam sva-ASrame punar // SvayamBuj-_6.139 //
   vyākhyāya nāma saṃgītiṃ saddharmmaṃ saṃpracāraye /	vyAKyAya nAma saMgItim sat-Darmmam saMpracAraye /
   ahamapi mahāsattva śrotuṃ tvad dharmmadeśanāṃ // SvayambhuP_6.140 //	aham-api mahA-sattva Srotum tvat Darmma-deSanAm // SvayamBuj-_6.140 //
   sāṃghikāṃścāpi tāndruṣṭumāyāsyāmi tavāśrame /	sAMGikAn=-ca-api tAn-druzwum-AyAsyAmi tava-ASrame /
   iti śāstā samādiṣṭaṃ niśaṃmya sa mahāmatiḥ // SvayambhuP_6.141 //	iti SAstA samAdizwam niSaMmya sa mahAmatiH // SvayamBuj-_6.141 //
   dharmaśrī mitra ālokyaḥ taṃ gurumevamavravīt /	DarmaSrI mitraH AlokyaH tam gurum-evam-avravIt /
   maharddhiko bhagavāñchāsta vijñāsya te kathaṃ mayā // SvayambhuP_6.142 //	mahardDikaH BagavAn-SAsta vijQAsya te kaTam mayA // SvayamBuj-_6.142 //
   iti cihnaṃ samādhāya tatrāgantuṃ samarhati /	iti cihnam samADAya tatra-Agantum samarhati /
   iti tenoditaṃ śrutvā mañjudevaḥ sa sanmati // SvayambhuP_6.143 //	iti tena-uditam SrutvA maQjudevaH sa sat-mati // SvayamBuj-_6.143 //
   dharmaśrī mitramālokyaḥ punarevamabhāṣata /	Darma-SrI mitram-AlokyaH punar-evam-aBAzata /
   vatsāhamutpalaṃ dhṛtvā samāyāsyāmi te sabhāṃ // SvayambhuP_6.144 //	vatsa-aham-utpalam DRtvA samAyAsyAmi te saBAm // SvayamBuj-_6.144 //
   tena cihnena māṃ yāta saṃjānīṣva samāgataṃ /	tena cihnena mAm yAta saMjAnIzva samAgatam /
   iti satyaṃ samādhāya dhṛtvānuśāsanaṃ mama // SvayambhuP_6.145 //	iti satyam samADAya DRtvA-anuSAsanam mama // SvayamBuj-_6.145 //
   saddharmma samupādeṣṭuṃ pravāhi testu maṃgalaṃ /	sadDarmma samupAdezwum pravAhi teH-tu maMgalam /
   iti śāstā samādiṣṭaṃ śrutvā sa yatirutsukaḥ // SvayambhuP_6.146 //	iti SAstA samAdizwam SrutvA sa yatiH-utsukaH // SvayamBuj-_6.146 //
   śāstāraṃ taṃ samālokya praṇatvaivamabhāṣataḥ /	SAstAram tam samAlokya praNatvA-evam-aBAzataH /
   prasīdatu bhagavāñchāstāḥ kṣantumarhati cāgasaṃ // SvayambhuP_6.147 //	prasIdatu BagavAn-SAstAH kzantum-arhati ca-Agasam // SvayamBuj-_6.147 //
   bhavatprasādataḥ sarve sidhyate me samīhitaṃ /	Bavat-prasAdataH sarve siDyate me samIhitam /
   tadanuśāsanaṃ dhṛtvā bhavatāṃ tatra jagaddhite // SvayambhuP_6.148 //	tad-anuSAsanam DRtvA BavatAm tatra jagat-hite // SvayamBuj-_6.148 //
   vyākhyātuṃ nāmasaṃgīti saṃcare sāmprataṃ guroḥ /	vyAKyAtum nAma-saMgI-iti saMcare sAmpratam guroH /
   iti saṃprārthya dharmmaśrī mitra saḥ saṃprāsāditaḥ // SvayambhuP_6.149 //	iti saMprArTya Darmma-SrI mitra saH saMprAsAditaH // SvayamBuj-_6.149 //
   śāstustasya padāmbhojaṃ natvā saṃprasthito tataḥ /	SAstuH-tasya pada-amBojam natvA saMprasTitaH tatas /
   mātrorācārya yāścāpi mokṣadā varadākhyayoḥ // SvayambhuP_6.150 //	mAtroH-AcArya yAH-ca-api mokza-dA varada-AKyayoH // SvayamBuj-_6.150 //
   pādāmvujeṣu saṃnatvā saṃprasthitaḥ pramoditaḥ /	pAdAmvujezu saMnatvA saMprasTitaH pramoditaH /
   tataḥ sa sanmati dharmmaśrīmitraḥ sahasāvrajan // SvayambhuP_6.151 //	tatas sa sat-mati Darmma-SrI-mitraH sahasA-avrajan // SvayamBuj-_6.151 //
   āśu svāśramamāsādya vihāraṃ samupāviśat /	ASu sva-ASramam-AsAdya vihAram samupAviSat /
   tatra taṃ yatimāyātaṃ dṛṣṭvā sarve 'pi sāṃghikāḥ // SvayambhuP_6.152 //	tatra tam yatim-AyAtam dRzwvA sarve api sAMGikAH // SvayamBuj-_6.152 //
   praṇatvā kuśalaṃ pṛṣṭavā praveśayan nijālaye /	praNatvA kuSalam pRzwavA praveSayan nija-Alaye /
   tataḥ paredyurāmantraya sarvānsaṃghānsa sanmatiḥ // SvayambhuP_6.153 //	tatas paredyus-Amantraya sarvAn-saMGAn-sa sat-matiH // SvayamBuj-_6.153 //
   vyākhyātuṃ nāmasaṃgīti sabhāsanaṃ samāśrayat /	vyAKyAtum nAma-saMgI-iti saBAsanam samASrayat /
   taṃ sabhāsanamāsīnaṃ dṛṣṭvā sarve 'pi sāṃdhikāḥ // SvayambhuP_6.154 //	tam saBAsanam-AsInam dRzwvA sarve api sAMDikAH // SvayamBuj-_6.154 //
   divja bhūpādayaścāpi sarve lokāḥ samāgatāḥ /	divja BUpa-AdayaH-ca-api sarve lokAH samAgatAH /
   tatra sarve 'pi te lokāḥ praṇatvā taṃ yati kramāt // SvayambhuP_6.155 //	tatra sarve api te lokAH praNatvA tam yati kramAt // SvayamBuj-_6.155 //
   parivṛtya puraskṛtya samantata upāśrayat /	parivRtya puraskRtya samantataH upASrayat /
