   // atha prathama ullāsaḥ //	// aTa praTamaH ullAsaH //
   (19) bhagnaḥ prakramaḥ prastāvaḥ, yatra /	(19) BagnaH prakramaH prastAvaH, yatra /
   yathā nāthe niśāyā niyaterniyogādastaṃ gate hanta niśāpi yātā /	yaTA nATe niSAyAH niyateH-niyogAt-astam gate hanta niSA-api yAtA /
   kulāṅganānāṃ hi daśānurūpaṃ nātaḥ paraṃ bhadrataraṃ samasti // 243 //	kula-aFganAnAm hi daSa-anurUpam na-atas param Badrataram samasti // 243 //
   atra "gate'; iti prakrānte "yātā'; iti prakṛteḥ /	atra "gate-a; iti prakrAnte "yAtA-a; iti prakRteH /
   "gatā niśāpi'; iti tu yuktam /	"gatA niSApi-a; iti tu yuktam /
   nanu "naikaṃ padaṃ dviḥ prayojyaṃ prāyeṇa'; ityanyatra kathitapadaṃ	nanu "na-ekam padam dvis prayojyam prAyeNa-a; iti-anyatra kaTita-padam
   duṣṭamiti cehaivoktam /	duzwam-iti ca-iha-eva-uktam /
   tatkathamekasya padasya dviḥprayogaḥ, /	tat-kaTam-ekasya padasya dvis-prayogaH, /
   ucyate /	ucyate /
   uddeśyapratinirdeśyavyatirikto viṣaya ekapadaprayoganiṣedhasya tadvati	uddeSya-pratinirdeSya-vyatiriktaH vizayaH eka-pada-prayoga-nizeDasya tadvati
   viṣaye pratyuta tasyaiva padasya sarvanāmno vā prayogaṃ vinā doṣaḥ /	vizaye pratyuta tasya-eva padasya sarva-nAmnaH vA prayogam vinA dozaH /
   tathāhi--udeti savitā tāmrastāmra evāstameti ca /	taTA-ahi--udeti savitA tAmraH-tAmraH eva-astam-eti ca /
   saṃpattau ca vipattau ca mahatāmekarūpatā // 244 //	saMpattO ca vipattO ca mahatAm-eka-rUpa-tA // 244 //
   atra rakta evāstametīti yadi kriyeta tadā padāntarapratipāditaḥ sa evārtho	atra raktaH eva-astam-eti-iti yadi kriyeta tadA pada-antara-pratipAditaH saH eva-arTaH-
   'rthāntaratayeva pratibhāsamānaḥ pratītiṃ sthagayati //	arTa-antara-tayA-iva pratiBAsamAnaH pratItim sTagayati //
   yathā vā yaśo 'dhigantuṃ sukhalipsayā vā manuṣyasaṃkhyāmativartituṃ vā /	yaTA vA yaSaH aDigantum suKa-lipsayA vA manuzya-saMKyAm-ativartitum vA /
   nirutsukānāmabhiyogabhājāṃ samutsukevāṅkamupaiti siddhiḥ // 245 //	nirutsukAnAm-aBiyoga-BAjAm samutsukA-iva-aFkam-upEti sidDiH // 245 //
   atra pratyayasya /	atra pratyayasya /
   "sukhamīhituṃ vā'; iti yuktaḥ pāṭhaḥ /	"suKam-Ihitum vA-a; iti yuktaH pAWaH /
   te himālayamāmantrya punaḥ prekṣya ca śūlinam /	te himAlayam-Amantrya punar prekzya ca SUlinam /
   siddhaṃ cāsmai nivedyārthaṃ tadvisṛṣṭāḥ khamudyayuḥ // 246 //	sidDam ca-asmE nivedya-arTam tad-visRzwAH Kam-udyayuH // 246 //
   atra sarvanāmnaḥ /	atra sarva-nAmnaH /
   "anena visṛṣṭāḥ'; iti tu vācyam /	"anena visRzwAH-a; iti tu vAcyam /
   mahībhṛtaḥ putravato 'pi dṛṣṭistasminnapabatye na jagāma tṛptim /	mahIBRtaH putravataH api dRzwiH-tasmin=-apabatye na jagAma tRptim /
   anantapuṣpasya madhorhi cūte dvirephamālā saviśeṣasaṅgā // 247 //	anantapuzpasya maDoH-hi cUte dvirePa-mAlA sa-viSeza-saFgAH // 247 //
   atra paryāyasya /	atra paryAyasya /
   "mahībhṛto 'patyavato 'pi'; iti yuktam /	"mahIBRtaH apatyavataH api-a; iti yuktam /
   "atra satyapi putre kanyārūpe 'pyapatye sneho 'bhūt'; iti	"atra sati-api putre kanyA-rUpe api-apatye snehaH aBUt-a; iti
   kecitsamarthayante /	kecid-samarTayante /
   vipado 'bhibhavantyavikramaṃ rahayatyāpadupetamāyatiḥ /	vipadaH aBiBavanti-avikramam rahayati-Apad-upetam-AyatiH /
   niyatā laghutā nirāyateragarīyānna padaṃ nṛpaśriyaḥ // 248 //	niyatA laGu-tA nirAyateH-agarIyAt-na padam nRpa-SriyaH // 248 //
   atropasargasya paryayasya ca /	atra-upasargasya paryayasya ca /
   "tadabhibhavaḥ kurute nirāyatim /	"tad-aBiBavaH kurute nirAyatim /
   laghutāṃ bhajate nirāyatirlaghutāvānna padaṃ nṛpaśriyaḥ //	laGu-tAm Bajate nirAyatiH-laGutAvAt-na padam nRpa-SriyaH //
   '; iti yuktam /	a; iti yuktam /
   kācitkīrṇā rajobhirdivamanuvidadhau mandavaktrendulakṣmī- raśrīkāḥ	kAcid-kIrNA rajoBiH-divam-anuvidaDO manda-vaktra-indu-lakzmI raSrIkAH
   kāśvidantardiśa iva dadhire dāhamudbhrāntasacvāḥ /	kA-aSvid-antardiSaH iva daDire dAham-udBrAnta-sacvAH /
   bhremurvātyā ivānyāḥ pratipadamaparā bhūmivatkampamānāḥ prasthāne	BremuH-vAtyAH iva-anyAH pratipadam-aparAH BUmi-vat-kampamAnAH prasTAne
   pārthivānāmaśivamiti puro bhāvi nāryaḥ śaśaṃsaḥ // 249 //	pArTivAnAm-aSivam-iti puras BAvi nAryaH SaSaMsaH // 249 //
   atra vacanasya /	atra vacanasya /
   "kāśvitkīrṇā rajobhirdivamanuvidadhurmandavaktrenaduśobhā niḥśrīkāḥ'; iti	"kASvit-kIrNA rajoBiH-divam-anuvidaDuH-manda-vaktrenaduSoBA niHSrIkAH-a; iti
   "kampamānāḥ'; ityatra "kampamāpuḥ'; iti ca paṭhanīyam /	"kampamAnAH-a; iti-atra "kampam-ApuH-a; iti ca paWanIyam /
   gāhantāṃ mahiṣā nipānasalilaṃ śṛṅgairmuhustāḍitaṃ chāyābaddhakadambakaṃ	gAhantAm mahizAH nipAna-salilam SRFgEH-muhur-tAxitam CAyA-badDa-kadambakam
   mṛgakulaṃ romanthamabhyasyatām /	mRga-kulam romanTam-aByasyatAm /
   viśrabdhaiḥ kriyatāṃ varāhapatibhirmustākṣatiḥ palvale vikṣāntiṃ	viSrabDEH kriyatAm varAha-patiBiH-mustA-kzatiH palvale vikza-antim
   labhatāmidaṃ ca śithilajhyābandhamasmaddhanuḥ // 250 //	laBatAm-idam ca SiTila-JyAbanDam-asmad-DanuH // 250 //
   atra kārakasya /	atra kArakasya /
   " viśrabdhā racayantu sūkaravarā mustākṣatim'; ityaduṣṭam /	" viSrabDAH racayantu sUkara-varAH mustA-kzatim-a; iti-aduzwam /
   akalitatapastejovīryaprathimni yaśonidhā- vavitathamadādhmāte	akalita-tapaH-tejaH-vIrya-praTimni yaSaH-niDA vavitaTa-mada-ADmAte
   roṣānmunāvabhigacchati /	rozAt-munO=-aBigacCati /
   aminavadhanurvidyādarpakṣamāya ca karmaṇe sphurati rabhasātpāṇiḥ	aminava-DanuH-vidyA-darpa-kzamAya ca karmaNe sPurati raBasAt-pANiH
   pādopasaṃgrahaṇāya ca // 251 //	pAda-upasaMgrahaNAya ca // 251 //
   atra kramasya /	atra kramasya /
   pādopasaṃgrahaṇāyeti pūrvaṃ vācyam /	pAda-upasaMgrahaNAya-iti pUrvam vAcyam /
   evamanyadapyanusartavyam //	evam-anyat-api-anusartavyam //
   (20) avidyamānaḥ kramo yatra /	(20) avidyamAnaH kramaH yatra /
   yathā dvayaṃ gataṃ saṃprati śocanīyatāṃ samāgamaprārthanayā kapālinaḥ /	yaTA dvayam gatam saMprati SocanIya-tAm samAgama-prArTanayA kapAlinaH /
   kalā ca sā kāntimatī kalāvataḥ tavmasya lokasya ca netrakaumudū // 252 //	kalA ca sA kAntimatI kalAvataH tavmasya lokasya ca netra-kOmudU // 252 //
   atra tvaṃśabdānantaraṃ cakāro yuktaḥ /	atra tvaMSabda-anantaram cakAraH yuktaH /
   yathā vā śaktirnistriśajeyaṃ tava bhujayugale nātha doṣākaraśrī- rvaktre	yaTA vA SaktiH-nistriSajeyam tava Buja-yugale nATa doza-Akara-SrI rvaktre
   pārśve tathaiṣā prativasati mahākuṭṭanī khahgayaṣṭiḥ /	pArSve taTA-ezA prativasati mahAkuwwanI Kahga-yazwiH /
   ājñeyaṃ sarvagā te vilasati ca puraḥ kiṃ mayā vṛddhayā te procyevetthaṃ	AjQeyam sarvagA te vilasati ca puras kim mayA vRdDayA te procya-iva-itTam
   prakopācchaśikarasitayā yasya kīrtyā prayātam // 253 //	prakopAt-SaSika-rasitayA yasya kIrtyA prayAtam // 253 //
   atra "itthaṃ procyeva'; iti nyāyyam /	atra "itTam procya-Iva-a; iti nyAyyam /
   tathā "lagnaṃ rāgāvṛtāhgyā- //	taTA "lagnam rAga-AvRta-AhgyA //
   '; 253 (ka) //	a; 253 (ka) //
   ityādau "iti śrīniyogāt'; iti vācyam //	ityAdO "iti SrI-niyogAt-a; iti vAcyam //
   (21) amataḥ prakṛtaviruddhaḥ parārtho yatra /	(21) amataH prakRta-virudDaH para-arTaH yatra /
   yathā rāmamanmathaśareṇa tāḍitā duḥsahena hṛdaye niśācarī /	yaTA rAma-manmaTa-SareNa tAxitAH duHsahena hRdaye niSAcarI /
   gandhavadrudhiracandanokṣitā jīviteśavasatiṃ jagāma sā // 254 //	ganDavat-ruDira-candana-ukzitA jIvita-ISava-satim jagAma sA // 254 //
   atra prakṛte rase valiruddhasya śṛṅgārasya vyajjako 'paro 'rthaḥ /	atra prakRte rase vali-rudDasya SRFgArasya vyajjakaH aparaH arTaH /
   arthadoṣānāha (sū- 76)	arTa-dozAn-Aha (sU 76)
   artho 'puṣṭaḥ kaṣṭo vyāhatapunaruktaduṣkramagrāmyāḥ //55//	arTaH apuzwaH kazwaH vyAhata-punarukta-duzkrama-grAmyAH //55//
   saṃdigdho nirhetuḥ prasiddhividyāviruddhaśva /	saMdigDaH nirhetuH prasidDi-vidyA-virudDa-Sva /
   anavīkṛtaḥ saniyamāniyamaviśeṣāviśeṣaparivṛttāḥ //56//	anavIkRtaH sa-niyama-aniyama-viSezA-viSeza-parivRttAH //56//
   sākāhkṣo 'padayuktaḥ sahacarabhinnaḥ prakāśitavirudvaḥ /	sAkAhkzaH apada-yuktaH sahacara-BinnaH prakASita-virudvaH /
   vidhyanuvādāyuktastyaktapunaḥ svīkṛto 'ślīlaḥ //57//	viDi-anuvAda-ayuktaH-tyakta-punar svIkRtaH aSlIlaH //57//
   duṣṭa iti saṃbadhyate /	duzwaH iti saMbaDyate /
   krameṇodāharaṇam-- (1)	krameNa-udAharaNam- (1)
   ativitatagaganasaraṇiprasaraṇaparimuktavikṣamānandaḥ /	ati-vitata-gagana-saraNi-prasaraNa-parimukta-vikzama-AnandaH /
   marudullāsitasaurabhakamalākarahāsakṛdravirjayati // 255 //	marut-ullAsita-sOraBa-kamala-Akara-hAsa-kRt-raviH-jayati // 255 //
   atrātivitatatvādayo 'nupādāne 'pi pratipādyamānamarthaṃ na bādhanta	atra-ativitata-tva-AdayaH anupAdAne api pratipAdyamAnam-arTam na bADanta
   ityapuṣṭāḥ, na tvasaṃgatāḥ punaruktā vā //	iti-apuzwAH, na tu-asaMgatAH punaruktAH vA //
   (2) sadā madhye yāsāmiyamamṛtanisyandasurasā sarasvatyuddāmā vahati	(2) sadA maDye yAsAm-iyam-amRta-nisyanda-surasA sarasvatI-uddAmA vahati
   bahumārgā parimalam /	bahu-mArgA parimalam /
   prasādaṃ tā etā ghanaparicitāḥ kena mahatāṃ mahākāvyavyomni	prasAdam tAH etAH Gana-paricitAH kena mahatAm mahAkAvya-vyomni
   sphuritamadhurā yāntu rucayaḥ // 256 //	sPurita-maDurAH yAntu rucayaH // 256 //
   atra yāsāṃ kavirucīnāṃ madhye sukumāravicitramadhyamātmakatrimārgā bhāratī	atra yAsAm kavi-rucInAm maDye sukumAra-vicitra-maDyama-Atmaka-tri-mArgA BAratI
   camatkāraṃ vahati tāḥ, gambhīrakāvyaparicitāḥ kathamitarakāvyavat prasannā	camatkAram vahati tAH, gamBIra-kAvya-paricitAH kaTam-itaraka-avya-vat prasannA
   bhavantu /	Bavantu /
   yāsāmādityaprabhāṇāṃ madhye tripathagā vahatitāḥ, meghaparicitāḥ kathaṃ	yAsAm-Aditya-praBANAm maDye tripaTagAH vahatitAH, meGa-paricitAH kaTam
   prasannā bhavantīti saṃkṣepārthaḥ //	prasannAH Bavanti-iti saMkzepa-arTaH //
   (3) jagati jayinaste te bhāvā navendukalādayaḥ prakṛtimadhurāḥ santyevānye	(3) jagati jayinaH-te te BAvAH nava-indu-kalA-AdayaH prakRti-maDurAH santi-eva-anye
   mano madayanti ye /	manaH madayanti ye /
   mama tu yadiyaṃ yātā loke vilocanacandrikā nayanaviṣayaṃ janmanyekaḥ sa	mama tu yat-iyam yAtA loke vilocana-candrikA nayana-vizayam janmani-ekaH sa
   eva mahotsavaḥ // 257 //	eva mahA-utsavaH // 257 //
   atrendukalādayo yaṃ prati paspaśaprāyāḥ sa eva	atra-indu-kala-AdayaH yam prati paspaSa-prAyAH saH eva
   candrikātvamutkarṣārthamāropayatīti vyāhatatvam //	candrikA-tvam-utkarza-arTam-Aropayati-iti vyAhata-tvam //
   (4) kṛtamanumatamityādi // 258 //	(4) kRtam-anumatam-ityAdi // 258 //
   atrārjunārjuneti bhavadbhiriti cokte sabhīmakirīṭināmiti kirīṭipadārthaḥ	atra-arjuna-arjuna-iti BavadBiH-iti ca-ukte sa-BIma-kirIwinAm-iti kirIwi-padArTaH
   punaruktaḥ /	punaruktaH /
   yathā vā astrajvālāvalīḍhapratibalajaladherantaraurvāyamāṇe senānāthe	yaTA vA astra-jvAlA-avalIXa-pratibala-jalaDeH-antarOrvAyamANe senA-nATe
   sthite 'sminmama pitari gurau sarvadhanvīśvarāṇām /	sTite asmin-mama pitari gurO sarva-Danvi-ISvarANAm /
   karṇālaṃ kaṃbhrameṇa vraja kṛpa samaraṃ muñca hārdikya śaṅkāṃ tāte	karNAlam kaMBrameNa vraja kRpa samaram muQca hArdikya SaFkAm tAte
   cāpadvitīye vahati raṇadhuraṃ ko bhayasyāvakāśaḥ // 259 //	cApa-dvitIye vahati raNa-Duram kaH Bayasya-avakASaH // 259 //
   atra caturthapādavākyārthaḥ punaruktaḥ //	atra caturTa-pAda-vAkya-arTaH punar-uktaH //
   (5) bhūpālaratna nirdainyapradānaprathitotsava /	(5) BUpAla-ratna nirdEnya-pradAna-praTita-utsava /
   viśrāṇaya turaṅgaṃ me mātaṅgaṃ vā madālasam // 260 //	viSrANaya turaFgam me mAtaFgam vA mada-alasam // 260 //
   atra mātahgasya prāṅnirdeśo yuktaḥ /	atra mAtahgasya prAk-nirdeSaH yuktaH /
   (6) svapiti yāvadayaṃ nikaṭe janaḥ svapimi tāvadahaṃ kimapaiti te /	(6) svapiti yAvat-ayam nikawe janaH svapimi tAvat-aham kim-apEti te /
   tadayi sāṃpratamāhara kūrparaṃ tvaritamūrumudañcaya kuñcitam // 261 //	tat-ayi sAMpratam-Ahara kUrparam tvaritam-Urum-udaQcaya kuQcitam // 261 //
   eṣo 'vidagdhaḥ //	ezaH avidagDaH //
   (7) mātsaryamutsāryetyādi // 262 //	(7) mAtsaryam-utsArya-ityAdi // 262 //
   atra prakaraṇādyabhāve saṃdehaḥ śāntaśṛṅgāryanyatarābhidhāne tu niśvayaḥ	atra prakaraNa-Adi-aBAve saMdehaH SAnta-SRFgAri-anyatara-aBiDAne tu niSvayaH
   (8) gṛhītaṃ yenāsīḥ paribhavabhayānnocitamapi prabhāvādyasyābhūnna khalu	(8) gRhItam yena-AsIH pariBava-BayAt-na-ucitam-api praBAvAt-yasya-aBUt-na Kalu
   tava kaśvinna viṣayaḥ /	tava kaSvin-na vizayaH /
   parityaktaṃ tena tvamasi sutaśokānna tu bhayā- dvimokṣye śastra	parityaktam tena tvam-asi suta-SokAt-na tu BayA dvi-mokzye Sastra
   tvāmahamapi yataḥ svasti bhavate // 263 //	tvAm-aham-api yatas svasti Bavate // 263 //
   atra śastramocane heturnopāttaḥ //	atra Sastra-mocane hetuH-na-upAttaH //
   (9) idaṃ te kenoktaṃ kathaya kamalātaṅkavadane yadetasmin hemnaḥ	(9) idam te kena-uktam kaTaya kamala-AtaFka-vadane yat-etasmin hemnaH
   kaṭakamiti dhatse khalu dhiyam /	kawakam-iti Datse Kalu Diyam /
   idaṃ tadduḥsādhākramaṇaparamāstraṃ smṛtibhuvā tava prītyā cakraṃ	idam tad-duHsADa-AkramaNa-parama-astram smRtiBuvA tava prItyA cakram
   karakamalamūle vinihitam // 264 //	kara-kamala-mUle vinihitam // 264 //
   atra kāmasya cakra loke 'prasiddham /	atra kAmasya cakra loke aprasidDam /
   yathā vā (9 a) upaparisaraṃ godāvaryāḥ parityajatādhvagāḥ saraṇimaparo	yaTA vA (9 a) upaparisaram godAvaryAH parityajata-aDvagAH saraNima-paraH-
   mārgastāvadbhavādbhirihekṣyatām /	mArgaH-tAvat-Bava-adBiriha-IkzyatAm /
   iha hi vihito raktāśokaḥ kayāpi hatāśayā	iha hi vihitaH rakta-aSokaH kayA-api hata-ASayA
   caraṇanalinanyāsodañcannavāṅkurakañcukaḥ // 265 //	caraNa-nalina-nyAsa-udaQcannava-aFkura-kaQcukaH // 265 //
   atra pādāghātenāśokasya puṣpodghamaḥ kaviṣu prasiddho na punaraṅkurodgamaḥ	atra pAda-AGAtena-aSokasya puzpa-udGamaH kavizu prasidDaH na punar-aFkura-udgamaH
   (susitavasanālaṃkārāyāṃ kadāyana kaumudī- mahasi sudṛśi svairaṃ yāntyāṃ	(susita-vasana-alaMkArAyAm kadAyana kOmudI mahasi su-dRSi svEram yAntyAm
   gato 'stamabhūdvidhuḥ /	gataH astam-aBUt-viDuH /
   tadanu bhavataḥ kīrtiḥ kenāpyagīyata yena sā priyagṛhamagānmuktāśaṅkā kva	tadanu BavataH kIrtiH kena-api-agIyata yena sA priya-gRham-agAt-muktA-SaFkA kva
   nāsi śubhapradaḥ // 266 //	na-asi SuBa-pradaH // 266 //
   atrāmūrtāpi kīrtiḥ jyotsnāvatprakāśarūpā kathiteti lokaviruddhamapi	atra-amUrtA-api kIrtiH jyotsnA-vat-prakASa-rUpA kaTitA-iti loka-virudDam-api
   kaviprasiddherna dupṭam //)//	kavi-prasidDeH-na dupwam //)//
   (10) sadā snātvā niśīthinyāṃ sakalaṃ vāsaraṃ budhaḥ /	(10) sadA snAtvA niSITinyAm sakalam vAsaram buDaH /
   nānāvidhāni śāstrāṇi vyācaṣṭe ca śṛṇoti ca // 267 //	nAnAviDAni SAstrANi vyAcazwe ca SRNoti ca // 267 //
   grahoparāgādikaṃ vinā rātrau snānaṃ dharmaśāstreṇa viruddham /	graha-uparAga-Adikam vinA rAtrO snAnam Darma-SAstreNa virudDam /
   (10 a) ananyasadṛśaṃ yasya balaṃ bāhvoḥ samīkṣyate /	(10 a) ananya-sadRSam yasya balam bAhvoH samIkzyate /
   ṣāḍguṇyānusṛtistasya satyaṃ sā niṣprayojanā // 268 //	zAxguNyA-anusRtiH-tasya satyam sA nizprayojanAH // 268 //
   etat arthaśāstreṇa /	etat arTaSAstreNa /
   (10 ā) vidhāya dūre keyūramanaṅgāṅgaṇamahganā /	(10 A) viDAya dUre keyUram-anaFga-aFgaNa-mahganAH /
   babhāra kāntena kṛtāṃ karajollekhamālikām // 269 //	baBAra kAntena kRtAm karaja-ulleKa-mAlikAm // 269 //
   atra keyūrapade nakhakṣataṃ na vihitamiti, etatkāmaśāstreṇa /	atra keyUra-pade naKa-kzatam na vihita-miti, etad-kAmaSAstreNa /
   (10 i) aṣṭāṅgayogapariśīlanakīlanena duḥsādhasiddhisavidhaṃ vidadhadvidūre	(10 i) azwAFga-yoga-pariSIlana-kIlanena duHsADa-sidDi-saviDam vidaDat-vidUre
   āsādayannabhimatāmadhunā vivekakhyātiṃ samādhidhanamaulimaṇirvimuktaḥ //	AsAdayan=-aBimatAm-aDunA viveka-KyAtim samADi-Dana-mOli-maNiH-vimuktaH //
   atra vivekakhyātistataḥ saṃprajñātasamādhiḥ paśvādasaṃprajñātastato	atra viveka-KyAtiH-tatas saMprajQAta-samADiH paSu-Ada-saMprajQAtaH-tatas-
   muktirna tu vivekakhyātau etat yogaśāstreṇa /	muktiH-na tu viveka-KyAtO etat yoga-SAstreNa /
   evaṃ vidyāntarairapi viruddhamudāhāryam //	evam vidyA-antarEH-api virudDam-udAhAryam //
   (11) prāptāḥ śriyaḥ sakalakāmadughāstataḥ kiṃ dattaṃ padaṃ śirasi	(11) prAptAH SriyaH sakala-kAma-duGAH-tatas kim dattam padam Sirasi
   vidviṣatāṃ tataḥ kim /	vidvizatAm tatas kim /
   saṃtarpitāḥ praṇayino vibhavaistataḥ kiṃ kalpaṃ sthitaṃ tanubhṛtāṃ	saMtarpitAH praNayinaH viBavEH-tatas kim kalpam sTitam tanuBRtAm
   tanubhistataḥ kim // 271 //	tanuBiH-tatas kim // 271 //
   atra tataḥ kimiti na navīkṛtam /	atra tatas kim-iti na navIkRtam /
   (tattu yathā yadi dahatyanalo 'tra kimadbhutaṃ yadi ca gauravamadriṣu kiṃ	(tat-tu yaTA yadi dahati-analaH atra kim-adButam yadi ca gOravam-adrizu kim
   tataḥ /	tatas /
   lavaṇamambu sadaiva mahodadheḥ prakṛtireva satāmaviṣāditā // 272 //)//	lavaNam-ambu sadA-eva mahA-udaDeH prakRtiH-eva satAm-avizAditA // 272 //)//
   (12) yatrānullikhitārthameva nikhilaṃ nirmāṇametadvidhe-	(12) yatra-anulliKita-arTam-eva niKilam nirmANam-etat-viDe-
   rutkarṣapratiyogikalpanamapi nyakkārakoṭiḥ parā /	rud-karza-pratiyogi-kalpanam-api nyakkAra-kowiH parA /
   yātāḥ prāṇabhṛtāṃ manorathagatīrullahghya yatsaṃpada-	yAtAH prANaBRtAm manoraTa-gatIrut-lahGya yat-saMpada-
   stasyābhāsamaṇīkṛtāśmasu maṇeraśmatvamevocitam // 273 //	stasya-ABAsa-maNIkRta-aSmasu maNeH-aSma-tvam-eva-ucitam // 273 //
   atra "chāyāmātramaṇīkṛtāśmasu maṇestasyāśmataivocitā'; iti saniyamatvaṃ	atra "CAyA-mAtra-maNIkRta-aSmasu maNeH-tasya-aSmatA-eva-ucitA-a; iti sa-niyama-tvam
   vācyam //	vAcyam //
   (13) vaktrāmbhojaṃ sarasvatya dhivasati sadā śoṇa evādharaste bāhuḥ	(13) vaktra-amBojam sarasvatya Divasati sadA SoNaH eva-aDaraH-te bAhuH
   kākutsthavīryasmṛtikaraṇapaṭurdakṣiṇaste samudraḥ /	kAkutsTa-vIrya-smRti-karaNa-pawuH-dakziNaH-te samudraH /
   vāhinyaḥ pārśvametāḥ kṣaṇamapi bhavato naiva muñcantyabhīkṣṇaṃ svacche	vAhinyaH pArSvam-etAH kzaNam-api BavataH na-eva muQcanti-aBIkzNam svacCe
   'ntarmānase 'smin kathamavanipate te 'mbupānābhilāṣaḥ // 274 //	antar-mAnase asmin kaTam-avanipate te ambu-pAna-aBilAzaH // 274 //
   atra "śoṇa eva'; iti niyamo na vācyaḥ //	atra "SoNaH eva-a; iti niyamaH na vAcyaH //
   (14) śyāmāṃ śyāmalimānamānayata bhoḥ sāndrairmaṣīkūrcakair- mantraṃ	(14) SyAmAm SyAmalimAnam-Anayata BoH sAndrEH-mazI-kUrcakEr mantram
   tantramatha prayujya harata śvetotpalānāṃ śriyam /	tantram-aTa prayujya harata Sveta-utpalAnAm Sriyam /
   candraṃ cūrṇayata śraṇācca kaṇaśaḥ kṛtvā śilāpaṭṭake yena draṣṭumahaṃ	candram cUrNayata SraNAt-ca kaNaSas kRtvA SilA-pawwake yena drazwu-m-aham
   kṣame daśa diśastadvakrmudrāṅkitāḥ // 275 //	kzame daSa diSaH-tad-vakrmudra-aFkitAH // 275 //
   atra "jyautsnīm'; iti śyāmāviśeṣo vācyaḥ //	atra "jyOtsnIm-a; iti SyAmA-viSezaH vAcyaH //
   (15) klalolavellitadṛṣatparuṣaprahārai ratnānyamūni makarālaya	(15) klalola-vellita-dRzat-paruza-prahArEH ratnAni-amUni makara-Alaya
   māvamaṃsthāḥ /	mA-avamaMsTAH /
   kiṃ kaustubhena vihito bhavato na nāma yācñāprasāritakaraḥ puruṣottamo 'pi	kim kOstuBena vihitaH BavataH na nAma yAcQA-prasArita-karaH puruzottamaH api
   atra "ekena kiṃ na vihito bhavataḥ sa nāma'; iti sāmānyaṃ vācyam /	atra "ekena kim na vihitaH BavataH sa nAma-a; iti sAmAnyam vAcyam /
   (16) arthitve prakaṭīkṛte 'pi na phalaprāptiḥ prabhoḥ pratyuta druhyan	(16) arTi-tve prakawIkRte api na Pala-prAptiH praBoH pratyuta druhyan
   dāśarathirviruddhacarito yuktastayā kanyayā /	dASaraTiH-virudDa-caritaH yuktaH-tayA kanyayA /
   utkarphaṃ ca parasya mānayaśasorvisraṃsanaṃ cātmanaḥ strīratnaṃ ca	utkarPam ca parasya mAna-yaSasoH-visraMsanam ca-AtmanaH strI-ratnam ca
   jagatpatirdaśamukho devaḥ kathaṃ mṛṣyate // 277 //	jagatpatiH-daSamuKaH devaH kaTam mRzyate // 277 //
   atra strīratnam "upekṣitum'; ityākāṅkṣati /	atra strI-ratnam "upekzitum-a; iti-AkAFkzati /
   nahi parasyetyanena saṃbandho yogyaḥ //	na-hi parasya-iti-anena saMbanDaH yogyaH //
   (17) ājñā śakraśikhāmaṇipraṇayinī śāsrāṇi cakṣurnavaṃ bhaktirbhūtapatau	(17) AjQA Sakra-SiKA-maNi-praNayinI SAsrANi cakzuH-navam BaktiH-BUtapatO
   pinākini padaṃ laṅketi divyā purī /	pinAkini padam laFkA-iti divyA purI /
   utpattirdruhiṇānvaye ca tadaho nedṛgvaro labhyate syāccedeṣa na rāvaṇaḥ	utpattiH-druhiNA-anvaye ca tat-aho na-IdRgvaraH laByate syAt-ced-eza na rAvaNaH
   kva nu punaḥ sarvatra sarve guṇāḥ // 278 //	kva nu punar sarvatra sarve guNAH // 278 //
   atra "syāccedeṣa na rāvaṇaḥ'; ityatra, eva samāpyam /	atra "syAt-ced-eza na rAvaNaH-a; iti-atra, eva samApyam /
   (18) śrutena buddhirvyasanena mūrkhatā madena nārī salilena nimnagā /	(18) Srutena budDiH-vyasanena mUrKa-tA madena nArI salilena nimnagA /
   niśā śaśāṅkena dhṛtiḥ samādhinā nayena cālaṃkriyate narendratā // 279 //	niSA SaSAFkena DRtiH samADinA nayena ca-alaMkriyate narendra-tA // 279 //
   atra śrutādibhirutkṛṣṭaiḥ	atra Sruta-AdiBiH-utkRzwEH
   sahacaritairvyasanamūrkhatayornikṛṣṭayorbhinnatvam /	sahacaritEH-vyasana-mUrKa-tayoH-nikRzwayoH-Binna-tvam /
   (19) lagnaṃ rāgāvṛtāṅgyā- // 280 //	(19) lagnam rAga-AvRta-aFgyA // 280 //
   ityatra viditaṃ te 'stvityanena śrīstasmādapasaratīti viruddhaṃ prakāśyate	iti-atra viditam te astu-iti-anena SrIH-tasmAt-apasarati-iti virudDam prakASyate
   (20) prayatnaparibodhitaḥ stutibhiradya śeṣe niśā- makeśavamapāṇḍavaṃ	(20) prayatna-pariboDitaH stutiBiH-adya Seze niSA makeSa-vama-pANxavam
   bhubanamadya niḥsomakam /	Bubanam-adya niHsomakam /
   iyaṃ parisamāpyate raṇakathādya do 'śālinā- mapaitu ripukānanātigururadya	iyam parisamApyate raNa-kaTA-adya daH aSAlinA mapa-etu ripu-kAnana-ati-guruH-adya
   bhāro bhuvaḥ // 281 //	BAraH BuvaH // 281 //
   atra "śayitaḥ prayatnena bodhyase'; iti vidheyam /	atra "SayitaH prayatnena boDyase-a; iti viDeyam /
