   īśvarasiddhiḥ /	ISvara-sidDiH /
   karmadhārayavṛttam / ārambhakasaṃyoge 'vayavasamavete dṛḍhe sati	karma-DAraya-vRttam / AramBaka-saMyoge avayava-samavete dRXe sati
   svāvayavasamavetatvalakṣaṇāvayavinaḥ sthitiḥ śarīrasya nirābādhā	sva-avayava-samaveta-tva-lakzaNa-avayavinaH sTitiH SarIrasya nirAbADA
   ghaṭāderiva prasidhyatyeveti	Gawa-AdeH-iva prasiDyati-eva-iti
   naivaṃvidhasthiteścetanāpekṣatā / prāṇavṛttyadhīnāśaithilyāvasthānalakṣaṇā	na-evaMviDa-sTiteH-cetanA-apekzatA / prANa-vRtti-aDInA-SETilya-avasTAna-lakzaNA
   śarīradhṛtiḥ paraṃ jīvanayoniyatnahetukatvādbhavennāma cetanāpekṣā	SarIra-DRtiH param jIvana-yoni-yatna-hetuka-tvAt-Bavet-nAma cetana-apekzA
   dṛṣṭānte vyāpakatvena sādhanasya gṛhītaivaṃvidhā sthitistu na pakṣe	dRzwAnte vyApaka-tvena sADanasya gRhItA-evaMviDA sTitiH-tu na pakze
   mahyādau / tathāca kāryatvāvacchedena	mahyAdO / taTA-ca kAryatva-avacCedena
   evaṃvidhaikacetanādhīnāsthitikatvasādhaneṃ'śato bādha iti bhāvaḥ / tṛtīye	evaMviDa-eka-cetanA-aDInA-sTitika-tva-sADaneM-aSataH bADaH iti BAvaH / tRtIye
   kalpe ekacetanāyattapravṛttikatve 'naikānyamāha 'eke' ti /	kalpe eka-cetanA-Ayatta-pravRttika-tve anEka-anyam-Aha aeke-a ti /
   sarabhasaprayatnaḥ-tīvraprayatnaḥ / bahujanaikasādhyacalanapravṛttimati	saraBasa-prayatnaH-tIvra-prayatnaH / bahu-jana-eka-sADi-a-calana-pravRttimati
   mahopalādau sādhyaśūnye sattvādanekāntatā hetorityarthaḥ /	mahA-upala-AdO sADya-SUnye sattvAt-anekAnta-tA hetoH-iti-arTaH /
   hetorvyarthaviśeṣaṇatvaṃ cāha 'ārabdhatvādeve' ti / janyatvasyaiva hetutve	hetoH-vyarTa-viSezaNa-tvam ca-Aha aArabDa-tvAt-eve-a ti / janya-tvasya-eva hetu-tve
   vyabhicārāprasakteracetanopādānanirūpitatvasya tadviśeṣaṇasya vaiyarthyam	vyaBicAra-aprasakteH-acetana-upAdAna-nirUpita-tvasya tad-viSezaNasya vEyarTyam
   / tathā ca vyāpyatvāsiddhiḥ / adhikaṃ nāma nigrahasthānaṃ ca prayuñjata	/ taTA ca vyApya-tva-asidDiH / aDikam nAma nigraha-sTAnam ca prayuQjata
   iti bhāvaḥ / yadyapi samavetadravyatvarūpe phalite hetau na vaiyarthya	iti BAvaH / yadi-api samaveta-dravya-tva-rUpe Palite hetO na vEyarTya
   prasaktiḥ / athāpi yathāśrutahetvabhiprāyeṇa vyarthaviśeṣaṇatvābidhanam /	prasaktiH / aTa-api yaTA-Sruta-hetu-aBiprAyeNa vyarTa-viSezaNa-tva-abiDanam /
   phalite 'pi hetāvanaikānyaṃ tu durvārameveti dik /	Palite api hetO=-ana-eka-anyam tu durvAram-eva-iti diS /
   nanvanaikāntyaprasaṅgādekatvaviśeṣaṇaṃ tyajyate / cetanādhīnatvameva tu	nanu-anEkAntya-prasaFgAt-eka-tva-viSezaNam tyajyate / cetana-aDIna-tvam-eva tu
   sādhyata iti cettatrāha 'cetana' ti / yadyapyuktahānyādyevaṃ vadataḥ	sADyate iti ced-tatra-Aha acetana-a ti / yadi-api-ukta-hAni-Adi-evam vadataH
   prasajyata eva / athāpi tasyaktidoṣatvattadupekṣyārthadūṣaṇamevātrocyate /	prasajyate eva / aTa-api tasyakti-doza-tvat-tad-upekzya-arTa-dUzaNam-eva-atra-ucyate /
   'hī' ti prasiddhau / asmākamapi kāryasāmānyasya jīvādṛṣṭahetukatvena	ahI-a ti prasidDO / asmAkam-api kArya-sAmAnyasya jIva-adRzwa-hetuka-tvena
   cetanādhīnatvasya sampratipatteḥ cetanādhīnatvamātrasādhane jīvaiḥ	cetana-aDIna-tvasya sampratipatteH cetana-aDIna-tva-mAtra-sADane jIvEH
   sdidhasādhanam / bhavataścārthāntaramiti bhāvaḥ // 7//	sdiDa-sADanam / BavataH-ca-arTa-antaram-iti BAvaH // 7//
   upādānaṃ pṛthivyādi yāgadānādi sādhanam /	upAdAnam pRTivI-Adi yAga-dAna-Adi sADanam /
   sākṣātkartuṃ kṣamante yatsarva eva ca cetanāḥ // 8 //	sAkzAtkartum kzamante yat-sarve eva ca cetanAH // 8 //
   adyavadeva viśvambharādayaḥ karmaprāptāgantukopacayāpacayaikadeśaśālino na	adyavat-eva viSvamBara-AdayaH karma-prApta-Agantu-kopacaya-apacaya-eka-deSa-SAlinaH na
   yugapadeva niravaśeṣavilayajananabhāgina ityantimaparamāṇusākṣātkāro na	yugapad-eva niravaSeza-vilaya-janana-BAginaH iti-antim-aparamANu-sAkzAtkAraH na
   kartṛbhāvopayogī /	kartR-BAva-upayogI /
   nanvadṛṣṭadvārā cenaprayojyatvamātraṃ na sādhyate/ kiṃ tu	nanu-adRzwa-dvArA cena-prayojya-tva-mAtram na sADyate/ kim tu
   cetanakartṛkatvam / kartṛtvaṃ ca kṣityādau jīvānāṃ nasaṃbhavatīti cet ;	cetana-kartRka-tvam / kartR-tvam ca kziti-AdO jIvAnAm na-saMBavati-iti ced ;
   evaṃ sati dvitīyānumāna eva viśrāntiḥ / tatrāpi	evam sati dvitIya-anumAnaH eva viSrAntiH / tatra-api
   siddhasādhanamevetyāha'yukta'miti / lāghavapakṣapātitvādanumānasya	sidDa-sADanam-eva-iti-Aha-ayukta-am-iti / lAGava-pakza-pAti-tvAt-anumAnasya
   sakartṛkatvānumānasyāpi saṃpratipannajīva mātraviśrāntiriti bhāvaḥ / nanu	sa-kartRkatva-anumAnasya-api saMpratipad-na-jIva mAtra-viSrAntiH-iti BAvaH / nanu
   jīvasya jagatkartṛtvamanupannam / anupapanne cārthe lāghavamakiñcitkaram /	jIvasya jagat-kartR-tvam-anupannam / anupapanne ca-arTe lAGavam-akiQcitkaram /
   tadīśvarasiddhirapratyūheti śaṅkāṃ pratikṣipati 'na copādāne'ti /	tad-ISvara-sidDiH-apratyUha-iti SaFkAm pratikzipati ana ca-upAdAne-ati /
   jīvasyāpyupādānādisākṣātkāra upapanna evetyāha 'upadāna'miti /	jIvasya-api-upAdAna-Adi-sAkzAtkAraH upapannaH eva-iti-Aha aupadAna-am-iti /
   ayamāśayaḥ-tattadvaidikakarmaṇo 'tiśayitatattatphalasādhanatvamavagatya	ayam-ASayaH--tad-tad-vEdika-karmaNaH atiSayita-tad-tad-Pala-sADana-tvam-avagatya
   vedādvaidikānāṃ vacanācca tadanugrahata evānuṣṭhāya tattatkarma yathāvidhi	vedAt-vEdikAnAm vacanAt-ca tad-anugrahataH eva-anuzWAya tat-tat-karma yaTAviDi
   samadhigatasāmarthyaviśeṣā jīvaviśeṣā eva pṛthivyādibhūtacatuṣṭayaṃ	samaDigata-sAmarTya-viSezAH jIva-viSezAH eva pRTivI-Adi-BUta-catuzwayam
   bhautikakāryavargopādānabhūtaṃ sahakārivargaṃ ca sākṣātkṛtyopādāya ca	BOtika-kArya-varga-upAdAna-BUtam sahakAri-vargam ca sAkzAtkRtya-upAdAya ca
   jagatsṛjeyuriti na kartrantarakalpanāvakāśa iti / yat yasmāt, kṣamante,	jagat-sRjeyuH-iti na kartR-antara-kalpanA-avakASaH iti / yat yasmAt, kzamante,
   atona tatpratikṣepa ityanvayaḥ pūrveṇa // 8 //	atas-na tad-pratikzepaH iti-anvayaH pUrveNa // 8 //
   karmaṇaḥ śaktirūpaṃ yadapūrvādipadāspadam /	karmaNaH Sakti-rUpam yat-apUrva-Adi-pad-a-Aspadam /
   mā bhūtpratyakṣatā tasya śaktimaddhyakṣagocaraḥ // 9 //	mA BUt-pratyakza-tA tasya Sakti-mat-hyakza-gocaraH // 9 //
   na khalu kulālādayaḥ kumbhādikāryamārabhamāṇāstadupādānopakaraṇa-	na Kalu kulAla-AdayaH kumBa-Adi-kAryam-AraBamANAH-tad-upAdAna-upakaraNa-
   bhūtamṛddaṇḍacakrādikāryotpādanaśaktiṃ sākṣātkṛtya tattadārabhante / yadi	BUta-mRd-daNxa-cakra-Adi-kArya-utpAdana-Saktim sAkzAtkRtya tat-tad-AraBante / yadi
   paraṃ śaktimaviduṣāmabhilaṣitasādhane tadupādānādivyavahāro 'nupapannaḥ,	param Saktim-aviduzAm-aBilazita-sADane tad-upAdAna-Adi-vyavahAraH anupapannaH,
   iha tu-	iha tu-
   nanu pralaye pṛthvyāderādyadvyaṇukaṃ vināśājjīvānāṃ ca tadā karaṇakale	nanu pralaye pRTvI-AdeH-At-yat-vi-aNukam vinASAt-jIvAnAm ca tadA karaNa-kale
   varavidhuratvena jñānopādānasāmarthyavirahānna teṣāṃ	vara-viDura-tvena jQAna-upAdAna-sAmarTya-virahAt-na tezAm
   sargādyajagatsṛṣṭikartṛtvaṃ saṃbhavatatyatrāha 'adyava' diti/ na	sargAt-yajagat-sRzwi-kartR-tvam saMBavatati-atra-Aha aadyava-a diti/ na
   pṛthivyādīnāṃ sarvāśena pralayotpādau / kintu vartamāna iva kāle	pRTivI-AdInAm sarva-ASena pralaya-utpAdO / kintu vartamAnaH iva kAle
   bhāgabhedenaiva tau kramaśaḥ / āgantukaikadeśavṛddhihrāsalakṣaṇau /	BAga-Bedena-eva tO kramaSas / Agantuka-eka-deSa-vRdDi-hrAsa-lakzaNO /
   tathāca jīveṣveva keṣāñcitsādhanaviśeṣasamāsāditajñānaśaktyatiśayānāṃ	taTA-ca jIvezu-eva kezAQcid-sADana-viSeza-samAsAdita-jQAna-Sakti-atiSayAnAm
   hīnāṃśaprapūraṇātmakaṃ sarjanaṃ pṛthivyādyupādānasākṣātkārāditaḥ	hIna-aMSa-prapUraNa-Atmakam sarjanam pRTivI-Adi-upAdAna-sAkzAtkAra-AditaH
   saṃbhavedeva viśvāmitrādīnāmivetyarthaḥ / niravaśeṣapralaye na punaḥsargaḥ	saMBavet-eva viSvAmitra-AdInAm-iva-iti-arTaH / niravaSeza-pralaye na punar-sargaH
   / sāvaśeṣalaye tu jīvaviśeṣāṇāṃ tattadbhāgabhedakartṛtvaṃ saṃbhaviṣyatīti	/ sO=-aSeza-laye tu jIva-viSezANAm tad-tad-BAga-Beda-kartR-tvam saMBavizyati-iti
   neśvarakalpanāvasara iti bhāvaḥ/	na-ISvara-kalpanA-avasaraH iti BAvaH/
   nanvadṛṣṭamapyasti sahakāri puṇyapāparūpam / tatsākṣātākaramanrā ca na	nanu-adRzwam-api-asti sahakAri puNya-pApa-rUpam / tad-sAkzAta-akara-manrA ca na
   tadanuguṇakāryasarjanaṃ saṃbhavet / tatsākṣātkāro na ca jīvānāṃ ghaṭata	tad-anuguNa-kArya-sarjanam saMBavet / tad-sAkzAtkAraH na ca jIvAnAm Gawata
   ityatrāha 'karmaṇaḥ' iti / anyakartṛkayāgādidharmāṇāṃ cauryādyadharmāṇāṃ	iti-atra-Aha akarmaNaHa iti / anya-kartRka-yAga-Adi-DarmANAm cOrya-Adi-a-DarmANAm
   ca sākṣātkāre	ca sAkzAtkAre
   kṣamā eva sākṣibhūtājīvaviśeṣāḥ / śāsrataśca tattatkarmaṇaḥ	kzamAH eva sAkzi-BUtAjIva-viSezAH / SAsrataH-ca tad-tad-karmaNaH
   phalaviśeṣajanana sāmarthyamadhigatavantaste / tathāca tattadanuguṇaṃ	Pala-viSeza-janana sAmarTyam-aDigatavantaH-te / taTA-ca tad-tad-anuguNam
   sṛjeyurnāma/ śaktimataḥ sākṣātkāraḥ śakterjñānamātraṃ ca kartṛtvopayogi,	sRjeyuH-nAma/ SaktimataH sAkzAtkAraH SakteH-jQAna-mAtram ca kartR-tva-upayogi,
   natu śakterapi sākṣātkaraṇam / svasya punaḥ / karaṇasāmarthyaṃ cāpekṣitam	na-tu SakteH-api sAkzAtkaraNam / svasya punar / karaNa-sAmarTyam ca-apekzitam
   / tathāca puṇyapāpaśabditakarmaśaktyasākṣātkāre 'pi noparodhaḥ	/ taTA-ca puNya-pApa-Sabdita-karma-Sakti-asAkzAtkAre api na-uparoDaH
   kartabhāvasyeti bhāvaḥ // 9 //	karta-BAvasya-iti BAvaH // 9 //
   āgamādavagamyante vicitrāḥ karmaśaktayaḥ /	AgamAt-avagamyante vicitrAH karma-SaktayaH /
   tena karmabhirātmānāḥ svaṃ nirmimatāṃ pṛthak // 10 //	tena karmaBiH-AtmAnAH svam nirmimatAm pRTak // 10 //
   api ca tadeva cetanakartṛkaṃ jagati paridṛśyate, yadeva śakyakriyaṃ	api ca tat-eva cetana-kartRkam jagati paridRSyate, yat-eva Sakya-kriyam
   śakyajñānopādānādi ca / na ca tathā mahīmahīdharamahārṇavādīti kathamiva	Sakya-jQAna-upAdAna-Adi ca / na ca taTA mahI-mahIDara-mahA-arNava-Adi-iti kaTam-iva
   tattatkāryatvam ? kathantarāṃ ca tadupādānopakaraṇādeḥ sākṣātkāragocaratā	tad-tad-kArya-tvam ? kaTantarAm ca tad-upAdAna-upakaraNa-AdeH sAkzAtkAra-gocara-tA
   ? yādṛśaṃ hi kāryamupādānādyabhijñapūrvakamavagataṃ ghaṭamaṇikādi,	? yAdRSam hi kAryam-upAdAna-Adi-aBijQa-pUrvakam-avagatam Gawa-maNika-Adi,
   tādṛśameva hi tathāvidhabuddhimaddhetukatvānumānāya prabhavati /	tAdRSam-eva hi taTAviDa-budDimat-hetukatva-anumAnAya praBavati /
   api cānīśvareṇa parimitaśaktijñānena vigrahavatānavāptakāmena	api ca-anISvareNa parimita-Sakti-jQAnena vigrahavatAn-avApta-kAmena
   kṛtamavagataṃ ghaṭādikāryamiti tathāvidhaṃ boddhāramupasthāpayan	kRtam-avagatam Gawa-Adi-kAryam-iti taTAviDam bodDAram-upasTApayan
   heturabhimatapuruṣa sārvajñyasarvaiśvaryādiviparyayasādhānādviruddhaḥ syāt	hetuH-aBimata-puruza sArvajQya-sarva-ESvarya-Adi-viparyaya-sADAnAt-virudDaH syAt-
   / na caivaṃ sati sarvānumānavyavahārocchedaprasaṅga śaṅkitavyaḥ /	/ na ca-evam sati sarva-anumAna-vyavahAra-ucCeda-prasaFga SaFkitavyaH /
   pramāṇāntaragocare hi liṅgini liṅgabalādāpatato	pramANa-antara-gocare hi liFgini liFga-balAt-ApatataH-
   viparītaviśeṣāṃstatpramāṇameva pratiruṇāddhi / iha	viparIta-viSezAn=-tad-pramANam-eva pratiruNAt-hi / iha
   punaratipatitasakalamānāntarakarmabhāve sarvanirmāṇanipuṇe siṣādhayiṣite	punar-ati-patita-sakala-mAna-antara-karma-BAve sarva-nirmANa-nipuNe sizA-Dayizite
   yāvanto	yAvantaH-
   'nvayavyatirekāvadhāritāvinābhāvabhājodharmāstānapyaviśeṣeṇopasthāpa yati	anvaya-vyatireka-avaDAritA-vinABAva-BAjaH-DarmAH-tAn-api-aviSezeNa-upasTApa yati
   upapādayatyetadeva nidarśanataḥ 'ne' ti / tuśabdārthe 'yaṃ prayukto 'yaṃ /	upapAdayati-etat-eva nidarSanataH ane-a ti / tuSabda-arTe ayam prayuktaH ayam /
   yadvā ihetyataḥ pūrvaṃiti, satyam,iti yojyam / 'āgamā' diti/	yat-vA iha-iti-atas pUrvaMiti, satyam-,iti yojyam / aAgamA-a diti/
   tena-karmaniṣṭhaśaktīnāṃ śāsrato 'vagamena,	tena-karma-nizWa-SaktInAm SAsrataH avagamena,
   karmabhiḥ-nānājīvīyakarmahetutaḥ, karmānuguṇamiti yāvat,	karmaBiH-nAnA-jIvIya-karma-hetutaH, karma-anuguNam-iti yAvat-,
   ātmānaḥ-śaktimanto jīvāḥ, pṛthak-vibhāgena, tattadekeśabhedeneti yāvat,	AtmAnaH-SaktimantaH jIvAH, pRTak--viBAgena, tat-tad-ekeSa-Bedena-iti yAvat-,
   sarvaṃ jagatkāryadravyajātam, nirmimatām-sṛjantu ityarthaḥ // 10 //	sarvam jagat-kArya-dravya-jAtam, nirmimatAm--sRjantu iti-arTaH // 10 //
   api ca-svārthakāruṇyabhāvena vyāptāḥ prekṣāvataḥ kriyāḥ /	api ca--sva-arTa-kAruNya-BAvena vyAptAH prekzAvataH kriyAH /
   īśvarasyobhayābhāvājjagsargo na yujyate // 11 //	ISvarasya-uBaya-aBAvAt-jagsargaH na yujyate // 11 //
   avāptakāmatvānna tāvadātmārthe sṛjati ; pralayasamaye	avApta-kAma-tvAt-na tAvat-Atma-arTe sRjati ; pralaya-samaye
   pralīnasakalakaraṇakalevarādibhogopakaraṇatayā ca cetanānāṃ duḥkhābhāvāt	pralIna-sakala-karaNa-kalevara-Adi-Boga-upakaraNa-tayA ca cetanAnAm duHKa-aBAvAt
   duḥkhidarśanajanitakṛpāprayuktirapi nāstīti vyāpakabhūtasvārthakāruṇya	duHKi-darSana-janita-kRpA-prayuktiH-api na-asti-iti vyApaka-BUta-sva-arTa-kAruNya
   nivṛttervyāpyabhūtayā prekṣāvatpravṛttyāpi nivartitavyam/	nivRtteH-vyApyaBUtayA prekzAvat-pravRttyA-api nivartitavyam/
   atha kāryatvahetau doṣānāha 'apice' tyādinā / tatrādau	aTa kAryatva-hetO dozAn-Aha aapice-a tyAdinA / tatra-AdO
   svarūpāsiddhirupādhimukhena vyāpyatvāsiddhiśca kīrtyete / śakyā	svarUpa-asidDiH-upADi-muKena vyApya-tva-asidDiH-ca kIrti-ete / SakyA
   kriyā-karaṇaṃ yasya tacchakyakrayam / kartṛṃ śakyamiti yāvat / śakyaṃ	kriyA-karaNam yasya tat-Sakya-krayam / kartRm Sakyam-iti yAvat / Sakyam
   jñānaṃ yasya tacchakyajñānam, śakyajñānāmupādānādi yasya kāryasya	jQAnam yasya tat-Sakya-jQAnam, Sakya-jQAnAm-upAdAna-Adi yasya kAryasya
   tacchakyajñānopādānādi / evaṃbhūtameva kāryaṃ sakartṛkaṃ	tad-Sakya-jQAna-upAdAna-Adi / evaMBUtam-eva kAryam sa-kartRkam
   bhavitumarhatītyarthaḥ / cetanakartṛkatvarahitaṃ kāryaṃ nāstīti	Bavitum-arhati-iti-arTaH / cetana-kartRka-tva-rahitam kAryam na-asti-iti
   cānusandhem / 'na ce' ti / tattatkāryatvam-tasya tasya kāryatvaṃ	ca-anusanDem / ana ce-a ti / tad-tad-kArya-tvam-tasya tasya kArya-tvam
   kṣityāderaśakyakriyasyetyarthaḥ / anena svarūpāsiddhirbhāgāsiddhirvāktā /	kziti-AdeH-aSakya-kriyasya-iti-arTaH / anena svarUpa-asidDiH-BAga-asidDiH-vA-aktA /
   'kathantarā' miti /	akaTantarAa miti /
   upādānopakaraṇaparamāṇvadṛṣṭādeḥsākṣātkartumaśakyatayopādānādisākṣātkāracikīrṣākṛtimatpuruṣapūrvakatvaṃ	upAdAna-upakaraNa-paramANu-adRzwa-AdeH-sAkzAt-kartum-aSakyatayA-upAdAna-Adi-sAkzAtkAra-cikIrzA-AkRtimat-puruza-pUrvaka-tvam
   kathantarāṃ ghaṭate kṣitidvyaṇukāderityarthaḥ / kṣityādeḥ kāryatve	kaTantarAm Gawate kzitidvi-aNuka-AdeH-iti-arTaH / kziti-AdeH kAryatve
   cedāgrahaḥ , iṣyatām / sakartṛkatvaṃ tu upapannameveti(?) bhāvaḥ /	ced-AgrahaH , izyatAm / sa-kartRka-tvam tu upapannam-eva-iti(?) BAvaH /
   sopādhikatvamāha 'yādṛśam' iti / yādṛśaṃ-kṛtisādhyatvārhaṃ	sa-upADika-tvam-Aha ayAdRSam-a iti / yAdRSan-kRti-sADya-tva-arham
   jñeyatvārhepādānādikaṃ ca / anena śakyakriyatvaṃ śakyajñānopādānadikatvaṃ	jQeya-tva-arha-IpAdAna-Adikam ca / anena Sakya-kriya-tvam Sakya-jQAna-upAdAna-dika-tvam
   copādhirityuktaṃ bhavati / asya vyabhicāronnāyakatvaṃ	ca-upADiH-iti-uktam Bavati / asya vyaBicAra-unnAyaka-tvam
   satpratipakṣonnāyakatvaṃ vā bodhyam /	sat-pratipakza-unnAyaka-tvam vA boDyam /
   evaṃ	evam
   kāryatvahetorabhimatakartṛpūrvakatvāsādhakatvamuktvānabhimatāpādakatvaṃ	kAryatva-hetoH-aBimata-kartR-pUrvaka-tva-asADaka-tvam-uktvA-anaBimata-ApAdaka-tvam
   cāha 'api ce 'ti / sapakṣe hi ghaṭādau	ca-Aha aapi ce ati / sa-pakze hi Gawa-AdO
   vigrahavattvasvārthāpekṣatvānīśvaratvādiviśiṣṭakartṛpūrvakatvena	vigrahavat-tva-sva-arTa-apekza-tvAnISvara-tva-Adi-viSizwa-kartR-pUrvaka-tvena
   kāryatvasya vyāptirgṛhītā / viśiṣṭasādhyena gṛhītavyāptikaṃ ca śarīrādi	kAryatvasya vyAptiH-gRhItA / viSizwa-sADyena gRhIta-vyAptikam ca SarIra-Adi
   viśiṣṭameva kartāraṃ sādhayet pakṣe /te cākārā abhimataviparītā iti	viSizwam-eva kartAram sADayet pakze /te ca-AkArAH aBimata-viparItAH iti
   viruddhavyāpyatvāddhetorviruddhatvamiti bhāvaḥ / nanvevaṃ sapakṣe	virudDa-vyApya-tvAt-hetoH-virudDa-tvam-iti BAvaH / nanu-evam sa-pakze
   mahānasādau kārīṣatvādimatā vahninā gṛhītavyāptinā dhūmena pakṣe parvate	mahAnasa-AdO kArIza-tva-AdimatA vahninA gRhIta-vyAptinA DUmena pakze parvate
   kārīṣādivahnereva sādhanaṃ syāt / sa ca tatra nāstīti aprāmāṇyaprasaṅgo	kArIza-Adi-vahneH-eva sADanam syAt / sa ca tatra na-asti-iti aprAmANya-prasaFgaH-
   'numānamātrasyetyatrāha 'nacaivam' iti / 'pramāṇāntare'ti / sādhyasya	anumAna-mAtrasya-iti-atra-Aha anacA-evam-a iti / apramANa-antare-ati / sADyasya
   pramāṇāntaragrahyatve liṅgabalātprasaktānāṃ viruddhaviśeṣāṇāṃ	pramANa-antara-grahya-tve liFga-balAt-prasaktAnAm virudDa-viSezANAm
   pratyakṣādināpavadanāt vahnimātre prāmāṇyamanumānasyavyavasthāpyaṃ	pratyakza-AdinA-apavadanAt vahni-mAtre prAmANyam-anumAnasya-vyavasTApyam
   bhavennāma / pramāṇāntarāgocare tu sādhye liṅgabalaprasaktānāṃ	Bavet-nAma / pramANa-antara-agocare tu sADye liFga-bala-prasaktAnAm
   viparītaviśeṣāṇāmapavādakābhāvāttathaivāvasthānaṃ syādityāśayaḥ /	viparIta-viSezANAm-apavAdaka-aBAvAt-taTA-eva-avasTAnam syAt-iti-ASayaH /
   anvayavyatirekasahacāragrahādyadyaddharmāvacchinnakartṛpūrvatvena	anvaya-vyatireka-sahacAra-grahAt-yat-yat-Darma-avacCinna-kartR-pUrva-tvena
   kāryatvasya vyāptirgṛhītā, te kulālādyanugatā anīśvatvasaṃsāritvādayo	kAryatvasya vyAptiH-gRhItA, te kulAla-Adi-anugatA anISvatva-saMsAri-tvAt-ayaH-
   bhavanti vyāpakatāvacchedakatvena gṛhītāḥ /	Bavanti vyApaka-tAvacCedaka-tvena gRhItAH /
   vyāpakatāvacchedakadharmaprakāreṇa sādhyānumāpakatvasvābhāvyācca	vyApaka-tAvacCedaka-Darma-prakAreNa sADya-anumApaka-tva-svABAvyAt-ca
   liṅgasyānīśvarasaṃsārikartṛmātraparyavasāyitvaṃ	liFgasya-anISvara-saMsAri-kartR-mAtra-paryavasAyi-tvam
   kāryatvahetukasakartṛkatvānumānasyeti 'yāvanta' ityādinā vivakṣitam /	kAryatva-hetuka-sa-kartRkatva-anumAnasya-iti ayAvanta-a ityAdinA vivakzitam /
   īśvarasya jatkartṛtvāsaṃbhavādapi niruktānumānamanīśvara eva	ISvarasya jatkartR-tva-asaMBavAt-api niruktA-anumAnam-anISvaraH eva
   viśrāmyatītyabhiprayannāha 'apace' ti / svārthaḥ-svaprayojanam /	viSrAmyati-iti-aBiprayan=-Aha aapace-a ti / sva-arTaH-sva-prayojanam /
   kāruṇyam-paraprayojanasampādanopayogiguṇaviśeṣaḥ parārthaparyayavannaḥ /	kAruNyam--para-prayojana-sampAdana-upayogi-guNa-viSezaH para-arTa-paryaya-vat-naH /
   svārthecchāyāḥ kāruṇyasya vā sattayā vyāpyaṃ buddimatpravṛttisāmānyamiti	sva-arTa-icCAyAH kAruNyasya vA sat-tayA vyApyam buddimat-pravRtti-sAmAnyam-iti
   pūrvārdhasyārthaḥ / siṣādhayiṣitasyeśvarasya tvavāptakāmatvānna svārthaḥ	pUrva-arDasya-arTaH / sizADayizitasya-ISvarasya tu-avApta-kAma-tvAt-na sva-arTaH
   sādhanīyaḥ kaścana sambhavati sṛṣṭihetuḥ,na vā kāruṇyam,	sADanIyaH kaScana samBavati sRzwi-hetuH,na vA kAruNyam-,
   paraduḥkhadarśanādhīnoddhodhatvāttasya pralaye ca pareṣāṃ	para-duHKa-darSana-aDIna-udDoDa-tvAt-tasya pralaye ca parezAm
   duḥkhasyaivābhāvāt /	duHKasya-eva-aBAvAt /
   ataḥsvārthābhisandhisamudbuddhakāruṇyānyatararūpavyāpakanivṛttyā	atas-sva-arTa-aBisanDi-samudbudDaka-aruNyA-anyatara-rUpa-vyApaka-nivRttyA
   jagatkaraṇarūpapravṛtternivṛttirityuttarārdhasyārthaḥ // 11 //	jagat-karaNa-rUpa-pravRtteH-nivRttiH-iti-uttara-arDasya-arTaH // 11 //
   sukhaikatānaṃ janayejjagatakaruṇayā sṛjan /	suKa-eka-tAnam janayet-jagata-karuNayA sRjan /
   tatkarmānuvidhāyitve hīyetāsya svatantratā // 12 //	tad-karma-anuviDAyi-tve hIyeta-asya svatantra-tA // 12 //
   na copādānādisākṣātkāriṇa eva kartṛtvamityapi niyamaḥ ; upīdānamupakaraṇaṃ	na ca-upAdAna-Adi-sAkzAtkAriNaH eva kartR-tvam-iti-api niyamaH ; upIdAnam-upakaraNam
   cāviduṣa evātmano jñanādiṣu kartṛtvāt /	ca-aviduzaH eva-AtmanaH jQana-Adizu kartR-tvAt /
   kārikārthameva prapañcayati 'avāpte' tyādinā / prakārāntareṇa	kArikA-arTam-eva prapaQcayati aavApte-a tyAdinA / prakAra-antareNa
   kāruṇyasyāsaṃmbhavamāha 'sukhaike' ti ślokārdhena / pratyutaḥ duḥkhālayaṃ	kAruNyasya-asaMmBavam-Aha asuKa-eke-a ti Sloka-arDena / pratyutaH duHKa-Alayam
   jagatsṛjato na kāruṇyaleśo 'pi ghaṭata iti bhāvaḥ / nanvīśvaraḥ	jagat-sRjataH na kAruNya-leSaH api GawataH iti BAvaH / nanu-ISvaraH
   kāruṇyenaiva sraṣṭuṃ pravṛttaṃ / athāpi sṛjyakarmāpekṣayā sarjanānna	kAruNyena-eva srazwum pravRttam / aTa-api sRjya-karma-apekzayA sarjanAt-na
   nairghṛṇyādiprasaṅga ityatrāha 'tatkarme' ti / tathā sati	nErGRNya-Adi-prasaFgaH iti-atra-Aha atat-karme-a ti / taTA sati
   karmapāratantryaprasaṅgādīśvaratvaṃ bhajyeteti bhāvaḥ / ūśāvaro yadi	karma-pAratantrya-prasaFgAt-ISvara-tvam Bajyeta-iti BAvaH / USAvaraH yadi
   jagatkartā syādanavāptakāmatvādimān syāditi pratitarko 'trānusandheyaḥ /	jagat-kartA syAt-anavApta-kAma-tva-AdimAn syAt-iti pratitarkaH atra-anusanDeyaH /
   pratiprayogastvagre vakṣyata eva // 12 //	pratiprayogaH-tu-agre vakzyate eva // 12 //
   ataḥ - asiddhatvādviruddhatvādanaikāntyācca varṇitāt /	atas  asidDa-tvAt-virudDa-tvAt-anEkAntyAt-ca varNitAt /
