   Abhidharmasamuccaya	ABiDarma-samuccaya
   tīrthyā anyo 'nyaṃ na vivadanti / dhārmikaiḥ sārdhamanyo 'nyaṃ vivadanti	tIrTyAH anyaH anyam na vivadanti / DArmikEH sArDam-anyaH anyam vivadanti
   // evaṃ ca vivādamūle 'bhiniveśāt	// evam ca vivAda-mUle aBiniveSAt-
   paunarbhavikaduḥkhavipākopādānākṣepāccopādānānyucyante /	pOnarBavika-duHKa-vipAka-upAdAna-AkzepAt-ca-upAdAnAni-ucyante /
   granthāścatvāraḥ / abhidhyākāyagranthaḥ vyāpādakāyagranthaḥ śīlavrata	granTAH-catvAraH / aBiDyAkAya-granTaH vyApAda-kAya-granTaH SIla-vrata
   parāmarśakāyagranthaḥ tatsatyābhiniveśopādānakāyagranthaśca /	parAmarSa-kAya-granTaH tad-satya-aBiniveSa-upAdAna-kAya-granTaH-ca /
   samāhitamanaḥsvabhāvasya kāyasya parigranthārthena grantho veditavyaḥ /	samAhita-manaH-svaBAvasya kAyasya parigranTa-arTena granTaH veditavyaH /
   tena kiṃ bhavati / caturvidhaṃ cittaṃ vikṣipyate / vittādiṣu anunayahetoḥ	tena kim Bavati / caturviDam cittam vikzipyate / vitta-Adizu anunaya-hetoH
   cittaṃ vikṣipyate / vivādastuṣu apratipattihetoḥ cittaṃ vikṣipyate /	cittam vikzipyate / vivAdaH-tuzu apratipatti-hetoH cittam vikzipyate /
   duṣkaraśīlavrataduḥkhahetoḥ cittaṃ vikṣipyate / ayoniśo jñeya	duzkara-SIla-vrata-duHKa-hetoH cittam vikzipyate / ayoniSaH jQeya
   santīraṇahetoḥ cittaṃ vikṣipyatee //	santi-IraNa-hetoH cittam vikzipyatee //
   nivaraṇāni pañca / kāmacchandanivaraṇam vyāpādanivaraṇam	nivaraNAni paQca / kAma=-Canda-nivaraNam vyApAda-nivaraNam
   styānamiddhanivaraṇam auddhatyakaukṛtyanivaraṇam vicikitsānivaraṇaṃ ca /	styAnam-idDa-nivaraNam OdDatya-kOkRtya-nivaraNam vicikitsA-nivaraNam ca /
   kuśalapakṣasyāsaṃprakhyānaṃ nivaraṇaṃ draṣṭavyam / tacca	kuSala-pakzasya-asaMpraKyAnam nivaraNam drazwavyam / tat-ca
   pravrajyāyāmabhiratau codanāyāṃ pratipattau śamathe pragrahe upekṣāyāṃ ca	pravrajyAyAm-aBiratO codanAyAm pratipattO SamaTe pragrahe upekzAyAm ca
   khilastrividhaḥ / rāgakhilo dveṣakhilo mohakhilaśca /	KilaH-triviDaH / rAgaKilaH dvezaKilaH mohaKilaH-ca /
   rāgadveṣamohānniśritya pūrvābhyāsena rāgādicaryāpariniṣpādanam /	rAga-dveza-mohAn-niSritya pUrva-aByAsena rAga-Adi-caryA-parinizpAdanam /
   cittasyādāntatayā akarmaṇyatayā durvimokṣatayā ca sattvaistasyāścaryāyā	cittasya-adAnta-tayA akarmaNi-atayA durvimokza-tayA ca sattvEH-tasyAH-caryAyAH-
   durbhedyatvāt khila ityucyate //	durBedya-tvAt KilaH iti-ucyate //
   malāstrayaḥ / rāgamalo dveṣamalo mohamalaśca / tacca	malAH-trayaH / rAgamalaH dveza-malaH moha-malaH-ca / tat-ca
   rāgadveṣamohānniśritya (Abhidh-s 49) dauśīlam / tat saṃprajānabdiḥ	rAga-dveza-mohAt-niSritya (a-aBiD-H 49) dOSIlam / tat saMprajA-anabdiH
   sabrahmacāribhirgrāme vā araṇye vā tathā kurvantaṃ paśyadbhirucyate ayaṃ	sabrahmacAriBiH-grAme vE araNye vA taTA kurvantam paSyadBiH-ucyate ayam
   khalvāyuṣmān karotyevaṃ kṛtyaṃ caratyevamācaritaṃ grāmakaṇṭaka āmiṣo	Kalu-AyuzmAn karoti-evam kRtyam carati-evam-Acaritam grAmakaNwakaH AmizaH-
   'śuciḥ / ato malā nāma //	aSuciH / atas malAH nAma //
   nighāstrayaḥ / rāganigho dveṣanigho mohanighaśca / rāgadveṣamohānniśritya	niGAH-trayaH / rAganiGaH dveza-niGaH moha-niGaH-ca / rAga-dveza-mohAt-niSritya
   dīrghakālaṃ punaḥ punarjātimaraṇeṣu vilaśyante ityucyante nighāḥ //	dIrGa-kAlam punar punar-jAti-maraNezu vilaSyante iti-ucyante niGAH //
   śalyāstrayaḥ / rāgaśalyo dveṣaśalyo mohaśalyaśca / rāgadveṣamohānniśritya	SalyAH-trayaH / rAga-SalyaH dveza-SalyaH moha-SalyaH-ca / rAga-dveza-mohAt-niSritya
   bhave bhavopakaraṇeṣu vā adhyeṣaṇāsamutpādena prabandhānupacchedena buddhe	Bave Bava-upakaraNezu vA aDyezaNA-samutpAdena prabanDAn-upacCedena budDe
   dharme saṃghe duḥkhasamudayanirodhamārgeṣu vā vicikitsāsamutpādena vā	Darme saMGe duHKa-samudaya-niroDa-mArgezu vA vicikitsA-samutpAdena vA
   śalyā nāma //	SalyAH nAma //
   kiṃcanāstrayaḥ / rāgakiṃcano dveṣakiṃcano mohakiṃcanaśca /	kiMcanAH-trayaH / rAgakiMcanaH dveza-kiMcanaH mohakiMcanaH-ca /
   rāgadveṣamohānniśritya vittasaṃcayeṣu sabhayāḥ savairā bhūyo	rAga-dveza-mohAn-niSritya vitta-saMcayezu sa-BayAH sa-vErAH BUyo
   vihāravikṣepāḥ kiṃcanā nāma /	vihAra-vikzepAH kiMcanAH nAma /
   duścaritāni trīṇi / rāgaduścaritaṃ dveṣaduścaritaṃ mohaduścaritaṃ ca /	duScaritAni trINi / rAga-duScaritam dveza-duScaritam moha-duScaritam ca /
   rāgadveṣamohānniśritya kāyavāṅmanoduścaritāni carantīti	rAga-dveza-mohAn-niSritya kAya-vAc-manaH-duScaritAni caranti-iti
   duścaritānītyucyate / punaḥ rāgadveṣamohānniśrityotpannānāṃ	duScaritAni-iti-ucyate / punar rAga-dveza-mohAt-niSritya-utpannAnAm
   bahūnāmakuśaladuścaritānāmakuśalamūlatvena tribhirvyavasthānam / tat	bahUnAm-akuSala-duScaritAnAm-akuSala-mUla-tvena triBiH-vyavasTAnam / tat-
   katham / sattvā loke āmiṣakiṃcitkahato caranti / loke 'pakāra	kaTam / sattvAH loke Amiza-kiMcid-kahataH caranti / loke apakAra
   nimittaparikalpahatoḥ duścaritaṃ caranti / loke mithyādharmābhiniveśahetoḥ	nimitta-parikalpa-hatoH duScaritam caranti / loke miTyA-Darma-aBiniveSa-hetoH
   duścaritaṃ caranti / iti te rāgadveṣamohā duścaritāni akuśalamūlāni /	duScaritam caranti / iti te rAga-dveza-mohAH duScaritAni akuSala-mUlAni /
   āsravāsrayaḥ / kāmāsravo bhavāsravo 'vidyāsravaśca / cittāvesāraṃ strataṃ	Asrava-asrayaH / kAma-AsravaH Bava-AsravaH avidyA-sravaH-ca / cittOvesAram stratam
   kurvantī tyāsravāḥ ityucyante / te punaḥ katham / bahirdhā visāraṃ	kurvantI tyAsravAH iti-ucyante / te punar kaTam / bahirDA visAram
   niśritya kāmāsravaḥ / antardhāvisāraṃ niśritya bhavāsravaḥ /	niSritya kAma-AsravaH / antarDA-visAram niSritya Bava-AsravaH /
   tadubhayāśrayavisāraṃ niśritya avidyāsravaḥ //	tad-uBaya-ASraya-visAram niSritya avidyA-sravaH //
   (Abhidh-s 50)	(a-aBiD-H 50)
   vighātāstrayaḥ / rāgavighāto dveṣavighāto mohavighātaśca /	viGAtAH-trayaH / rAga-viGAtaH dveza-viGAtaH moha-viGAtaH-ca /
   rāgadveṣamohānniśritya bhave pariṣkareṣu vā eṣaṇā / abhāve vighāte sarvadā	rAga-dveza-mohAt-niSritya Bave parizkarezu vE ezaNAH / aBAve viGAte sarvadA
   dāridya duḥkhādibhiḥ kliṣṭā bhavantīti vighātāḥ /	dAridya duHKa-AdiBiH klizwAH Bavanti-iti viGAtAH /
   paridāhāstrayaḥ / rāgaparidāho dveṣaparidāho mohaparidāhaśca /	paridAhAH-trayaH / rAga-paridAhaH dveza-paridAhaH moha-paridAhaH-ca /
   rāgadveṣamohasanniśrayeṇa ayoniśo nimittābhiniveśo 'nuvyañjanābhiniveśaśca	rAga-dveza-moha-sanniSrayeNa ayoniSaH nimitta-aBiniveSaH anuvyaQjana-aBiniveSaH-ca
   / tena nimittānuvyañjanābhiniveśena kāyaṃ cittaṃ ca paridahantīti	/ tena nimitta-anuvyaQjana-aBiniveSena kAyam cittam ca paridahanti-iti
   paridāhāḥ //	paridAhAH //
   upāyāsāstrayaḥ / rāgopāyāso dveṣopāyāso mohopāyasaśca /	upAyAsAH-trayaH / rAga-upAyAsaH dveza-upAyAsaH moha-upAyasaH-ca /
   rāgadveṣamohasanniśrayeṇa tatra tatra ratiradhyavasānaṃ ca / tadvipariṇāme	rAga-dveza-moha-sanniSrayeNa tatra tatra ratiH-aDyavasAnam ca / tad-vipariNAme
   śokaparidevanāduḥkhadaurmanasyopāyasaiḥ spṛṣṭā bhavantītyu pāyāsāḥ //	Soka-paridevanA-duHKa-dOrmanasya-upAyasEH spRzwAH Bavanti-ityu pAyAsAH //
   raṇāstrayaḥ / rāgaraṇo dveṣaraṇo moharaṇaśca / rāgadveṣamohasanniśrayeṇa	raNAH-trayaH / rAgaraNaH dveza-raNaH moha-raNaH-ca / rAga-dveza-moha-sanniSrayeNa
   śastrādānadaṇḍādibhiḥ raṇayanti nānāvidhaṃ bhaṇḍanaṃ kalahaṃ kurvantīti	Sastra-AdAna-daNxa-AdiBiH raNayanti nAnAviDam BaNxanam kalaham kurvanti-iti
   rāgādayo raṇā ucyante //	rAga-AdayaH raNAH ucyante //
   jvarāstrayaḥ / rāgajvaro dveṣajvaro moha jvaraśca /	jvarAH-trayaH / rAga-jvaraH dveza-jvaraH moha jvaraH-ca /
   rāgadveṣamohasanniśrayeṇa adharmarāgeṇa mahādahanena paridahanti	rAga-dveza-moha-sanniSrayeNa aDarma-rAgeNa mahA-dahanena paridahanti
   viṣamalobhena mahādahanena paridahanti mithyādharmeṇa mahādahanena	vizama-loBena mahA-dahanena paridahanti miTyA-DarmeNa mahA-dahanena
   paridahantīti jvarā nāma //	paridahanti-iti jvarAH nAma //
   vanasāstrayaḥ / rāgavanaso dveṣavanaso mohavanasaśca /	vanasAH-trayaH / rAga-vanasaH dveza-vanasaH moha-vanasaH-ca /
   rāgadveṣamohasanniśrayeṇa jātimaraṇamūleṣu saṃskāreṣu saṃyojayanti	rAga-dveza-moha-sanniSrayeNa jAti-maraNa-mUlezu saMskArezu saMyojayanti
   saṃjanayanti sattvān nānāvidhakāyeṣu pañcagatisaṃsāreṣu	saMjanayanti sattvAt nAnAviDa-kAyezu paQcagati-saMsArezu
   abhinirvarttayantīti rāgādayo vanasā ityucyante //	aBinirvarttayanti-iti rAga-AdayaH vanasA iti-ucyante //
   vibandhāstrayaḥ / rāgavibandho dveṣavibandho mohavibandhaśca /	vibanDAH-trayaH / rAga-vibanDaH dveza-vibanDaH moha-vibanDaH-ca /
   rāgadveṣamohasanniśrayeṇa kāyasāpekṣatā vittasāpekṣatā bodhyabhāvaḥ	rAga-dveza-moha-sanniSrayeNa kAya-sa-apekzatA vitta-sa-apekzatA boDya-BAvaH
   kolāhalaratiḥ parittakuśaladharmalābhe 'pi santoṣaḥ / taiḥ kuśaladharmānna	kolAhala-ratiH paritta-kuSala-Darma-lABe api santozaH / tEH kuSala-DarmAn-na
   bhāvayantīti vibandhāḥ ucyante / evamādayaḥ kleśārthānāṃ paryāyā apramāṇāḥ	BAvayanti-iti vibanDAH ucyante / evamAdayaH kleSa-arTAnAm paryAyAH apramANAH
   vipratipattiḥ katamā / rāgaḥ pratighaśca dvau kleśau viṣaye dṛṣṭau ca	vipratipattiH katamA / rAgaH pratiGaH-ca dvO kleSO vizaye dRzwO ca
   vipratipannau / (Abhidh-s 51) mānaḥ sattveṣu dṛṣṭau ca vipratipannaḥ /	vipratipannO / (a-aBiD-H 51) mAnaH sattvezu dRzwO ca vipratipannaH /
   satkāyāntagrāhamithyādṛṣṭayo jñeye vipratipannāḥ /	sat-kAya-anta-grAha-miTyA-dRzwayaH jQeye vipratipannAH /
   dṛṣṭiparāmarśaśīlavrataparāmarśau dṛṣṭau vipratipannau / vicikitsā	dRzwi-parAmarSa-SIla-vrata-parAmarSO dRzwO vipratipannO / vicikitsA
   pratipakṣe vipratipannā / avidyā sarvatra vipratipannā / daśa kleśā duḥkhe	pratipakze vipratipannAH / avidyA sarvatra vipratipannAH / daSa kleSAH duHKe
   samudaye ca vipratipannāḥ / tannidānapadasthānataḥ / punaḥ daśa kleśā	samudaye ca vipratipannAH / tad-nidAna-pada-sTAnataH / punar daSa kleSA
   nirodhe mārge ca vipratipannāḥ / taistatrotrāsasaṃjananataḥ //	niroDe mArge ca vipratipannAH / tEH-tatra-utrAsa-saMjana-nataH //
   dhātu katamaḥ / pratighaṃ sthāpayitvā tadanye sarve	DAtu katamaH / pratiGam sTApayitvA tad-anye sarve
   traidhātukapratisaṃyuktāḥ / pratighastu kāmadhātupratisaṃyuktaḥ / api	trEDAtuka-pratisaMyuktAH / pratiGaH-tu kAmaDAtu-pratisaMyuktaH / api
   khalu rāgaḥ kāmadhātau sukhasaumanasyopekṣābhi saṃprayujyate / yathā	Kalu rAgaH kAmaDAtO suKa-sOmanasya-upekzA-aBi saMprayujyate / yaTA
   kāmadhātau tathā prathamadvitīyadhyānayoḥ / tṛtīyadhyāne sukhopekṣābhyāṃ	kAmaDAtO taTA praTama-dvitIya-DyAnayoH / tRtIya-DyAne suKa-upekzAByAm
   saṃprayujyate / tadūrdhvamupekṣayā saṃprayujyate // pratigho	saMprayujyate / tad-UrDvam-upekzayA saMprayujyate // pratiGaH-
   duḥkhadaurmanasyosukhopekṣābhiḥ saṃprayujyate // mānaḥ kāmadhātau	duHKa-dOrmanasya-usuKa-upekzABiH saMprayujyate // mAnaH kAmaDAtO
   saumanasyopekṣābhiḥ saṃprayujyate / prathamadvitīyadhyānayo	sOmanasya-upekzABiH saMprayujyate / praTama-dvitIya-DyAna-yo
   sukhasaumanasyopekṣābhiḥ saṃprayujyate / tṛtīyadhyāne sukhopekṣābhyāṃ	suKa-sOmanasya-upekzABiH saMprayujyate / tRtIya-DyAne suKa-upekzAByAm
   saṃprayujyate / tadūrdhvamupekṣayaiva saṃprayujyate // yathā mānastathā	saMprayujyate / tad-UrDvam-upekzayA-eva saMprayujyate // yaTA mAnaH-taTA
   satkāyadṛṣṭiḥ antagrāhadṛṣṭiḥ dṛṣṭiparāmarśaḥ śīlavrataparāmarśaśca //	sat-kAya-dRzwiH anta-grAha-dRzwiH dRzwi-parAmarSaH SIla-vrata-parAmarSaH-ca //
   mithyādṛṣṭiḥ kāmadhātau daurmanasyasaumanasyopekṣābhiḥ saṃprayujyate /	miTyAdRzwiH kAmaDAtO dOrmanasya-sOmanasya-upekzABiH saMprayujyate /
   rūpadhātāvārupyadhātau ca yathāveditaṃ saṃprayujyate // vicikitsā	rUpa-DAtA-vArupya-DAtO ca yaTA-veditam saMprayujyate // vicikitsA
   kāmadhātau dauramanasyopekṣābhyāṃ saṃprayujyate / rūpadhātāvārūpyadhātau	kAmaDAtO dOra-manasya-upekzAByAm saMprayujyate / rUpa-DAtO=-ArUpya-DAtO
   ca yathāveditaṃ saṃprayujyate // avidyā dvividhā / saṃprayuktā asāmānyā ca	ca yaTA-veditam saMprayujyate // avidyA dviviDA / saMprayuktA asAmAnyA ca
   / sarvakleśasaṃprayogataḥ saṃprayuktā avidyā yathāveditaṃ saṃprayujyate /	/ sarva-kleSa-saMprayogataH saMprayuktAH avidyA yaTA-veditam saMprayujyate /
   āsāmānyā avidyā kāmadhātau daurmanasyopekṣābhyāṃ saṃprayujyate /	AsAmAnyA avidyA kAmaDAtO dOrmanasya-upekzAByAm saMprayujyate /
   tadūrdhvadhātau yathāveditaṃ saṃprayujyate // kathaṃ sarvakleśā upekṣayā	tad-UrDva-DAtO yaTA-veditam saMprayujyate // kaTam sarva-kleSAH upekzayA
   saṃprayujyante / sarvakleśānāmaudāsīnyamāgamyāstagamanatāmupādāya // api	saMprayujyante / sarva-kleSAnAm-OdAsInyam-Agamya-asta-gamana-tAm-upAdAya // api
   khalu rāgaḥ kāmadhātau ṣaḍvijñānakāyikaḥ // yathā rāgastathā pratigho	Kalu rAgaH kAmaDAtO zaz-vijQAna-kAyikaH // yaTA rAgaH-taTA pratiGaH-
   'vidyā ca // rāgo rūpadhātau caturvijñānakāyikāḥ / ārūpyadhātau	avidyA ca // rAgaH rUpa-DAtO catur-vijQAna-kAyikAH / ArUpya-DAtO
   manovijñānakāyikaḥ // yathā rāgastathā avidyā // māno dṛṣṭirvicikitsā ca	manaH-vijQAna-kAyikaH // yaTA rAgaH-taTA avidyA // mAnaH dRzwiH-vicikitsA ca
   sarvatra manovijñānakāyikāḥ // api khalu rāgaḥ pratigho mānaśca kāmadhātau	sarvatra manaH-vijQAna-kAyikAH // api Kalu rAgaH pratiGaH mAnaH-ca kAmaDAtO
   vastvekadeśapravṛttikāḥ / kāmadhātuvad rūpadhātāvārūpyadhātāvapi śiṣṭāḥ	vastu-eka-deSa-pravRttikAH / kAmaDAtu-vat rUpa-DAtO=-ArUpya-DAtO=-api SizwAH
   kleśāḥ sarvatra sarvavastu pravṛttikāḥ //	kleSAH sarvatra sarva-vastu pravRttikAH //
   (Abhidh-s 52)	(a-aBiD-H 52)
   nikāyaḥ katamaḥ / dvau kleśanikāyau / darśanaprahātavyanikāyo	nikAyaH katamaH / dvO kleSa-nikAyO / darSana-prahAta-vyanikAyaH-
   bhāvanāprahātavyanikāyaśca / darśanaprahātavyanikāyaḥ punaścaturvidhaḥ /	BAvanA-prahAta-vyanikAyaH-ca / darSana-prahAtavya-nikAyaH punar-caturviDaH /
   duḥkhadarśanaprahātavyanikāyaḥ samudayadarśanaprahātavyanikāyaḥ /	duHKa-darSana-prahAta-vya-nikAyaH samudaya-darSana-prahAtavya-nikAyaH /
   nirodhadarśanaprahātavyanikāyaḥ mārgadarśanaprahātavyanikāyaśca /	niroDa-darSana-prahAta-vya-nikAyaH mArga-darSana-prahAta-vyanikAyaH-ca /
   kāmadhātau duḥkhadarśanaprahātavyā daśa kleśāḥ /	kAmaDAtO duHKa-darSana-prahAtavyAH daSa kleSAH /
   duḥkhadarśanaprahātavyavat samudayadarśanaprahātavyāḥ	duHKa-darSana-prahAtavyavat samudaya-darSana-prahAtavyAH
   nirodhadarśanaprahātavyā mārgadarśanaprahātavyāśca / rūpadhātau	niroDa-darSana-prahAtavyAH mArga-darSana-prahAtavyAH-ca / rUpa-DAtO
   duḥkhādicaturvidhadarśanaprahātavyāḥ pratyekaṃ navakleśāḥ sthāpayitvā	duHKa-Adi-caturviDa-darSana-prahAtavyAH pratyekam nava-kleSAH sTApayitvA
   pratigham / rūpadhātuvadārūpyadhātāvapi / evaṃ ca	pratiGam / rUpa-DAtu-vat-ArUpya-DAtO=-api / evam ca
   darśanaprahātavyakleśanikāyā dvādaśādhikaṃ śataṃ kleśāḥ // kāmadhātau	darSana-prahAta-vya-kleSa-nikAyAH dvAdaSa-aDikam Satam kleSAH // kAmaDAtO
   bhāvanā prahātavyāḥ ṣaṭkleśāḥ / sahajā satkāyadṛṣṭiḥ antaprāhadṛṣṭiḥ rāgaḥ	BAvanA prahAtavyAH zaz-kleSAH / sahajA sat-kAya-dRzwiH anta-prAha-dRzwiH rAgaH
   pratigho māno 'vidyā ca / rūpadhātau bhāvanāprahātavyāḥ pañca kleśāḥ	pratiGaH mAnaH avidyA ca / rUpa-DAtO BAvanA-prahAtavyAH paQca kleSAH
   sthāpayitvā pratigham / rūpadhātuvadārūpyadhātāvapi / evaṃ ca	sTApayitvA pratiGam / rUpa-DAtu-vat-ArUpya-DAtO=-api / evam ca
   bhāvanāprahātavyanikāyāḥ ṣaṣṭiḥ kleśāḥ //	BAvanA-prahAta-vyanikAyAH zazwiH kleSAH //
   prahāṇaṃ katamat / tathā paryāyaprahāṇaṃ tena manaskāreṇa prahāṇam /	prahANam katamat / taTA paryAya-prahANam tena manaskAreNa prahANam /
   tasmāt pratilambhāt prahāṇam / tathā paryāyaprahāṇaṃ katamat /	tasmAt pratilamBAt prahANam / taTA paryAya-prahANam katamat /
   parijñānataḥ parivarjanataḥ pratipakṣalābhataśca / parijñānaṃ katamat /	parijQAnataH parivarjanataH pratipakza-lABataH-ca / parijQAnam katamat /
   tannidānavastuparijñānam svabhāvaparijñānam ādīnavaparijñānaṃ ca /	tad-nidAna-vastu-parijQAnam svaBAva-parijQAnam AdInava-parijQAnam ca /
   parivarjanaṃ katamat / tatkālotpannasyānādānam / pratipakṣalābhaḥ katamaḥ	parivarjanam katamat / tad-kAla-utpannasya-anAdAnam / pratipakza-lABaH katamaH
   / anutpannasyānutpādata utpannasya varjanato vā pratipakṣa lābhamārgaḥ //	/ anutpannasya-anutpAdataH utpannasya varjanataH vA pratipakza lABa-mArgaH //
   tena manaskāreṇa prahāṇam / kīdṛśena manaskāreṇa kiṃ prajahāti /	tena manaskAreNa prahANam / kIdRSena manaskAreNa kim prajahAti /
   asaṃbhinnālambanena manaskāreṇa sarvadharmā anātmāna iti paśyati /	asaMBinna-Alambanena manaskAreNa sarva-DarmAH anAtmAnaH iti paSyati /
   anityākārā iti kleśān prajahāti / anityākāra parikarmataḥ // tasmāt	anitya-AkArAH iti kleSAn prajahAti / anitya-AkAra parikarmataH // tasmAt-
   pratilambhāt prahāṇam / kasmāt pratilambhāt prajahāti / nātītāt	pratilamBAt prahANam / kasmAt pratilamBAt prajahAti / na-atItAt
   niruddhataḥ / nānāgatāt anutpannataḥ / na pratyutpannāt asahabhāvataḥ /	nirudDataH / nAnAgatAt anutpannataH / na pratyutpannAt asahaBAvataH /
   kevalaṃ kleśadauṣṭhulyapratilambhāt prajahātīti prahāṇam / yathā yathā	kevalam kleSa-dOzWulya-pratilamBAt prajahAti-iti prahANam / yaTA yaTA
   dauṣṭhulyamutpadyate tathā tathā pratipakṣa utpadyate yathā yathā	dOzWulyam-utpadyate taTA taTA pratipakzaH utpadyate yaTA yaTA
   pratipakṣa utpadyate tathā tathā dauṣṭhulyanirodhaḥ / samaṃ samam / yathā	pratipakzaH utpadyate taTA taTA dOzWulya-niroDaH / samam samam / yaTA
   (Abhidh-s 53) loke jyotirutpadyate tamaśca nirudhyate / tadvisaṃyogato	(a-aBiD-H 53) loke jyotiH-utpadyate tamaH-ca niruDyate / tad-visaMyogataH-
   yadānāgatakleśo 'nutpannadhamaṣu avatiṣṭhate tat prahāṇamucyate //	yadA-anAgata-kleSaH anutpanna-Damazu avatizWate tat prahANam-ucyate //
   kleśādhipateyaṃ karma katamat / cetanā karma cetayitvā karma ca / sarvaṃ	kleSa-ADipatA-iyam karma katamat / cetanA karma cetayitvA karma ca / sarvam
   karmalakṣaṇaṃ nāma // punaḥ karma pañcavidham / upalabdhikarma	karmalakzaNam nAma // punar karma paQcaviDam / upalabDi-karma
   kāritrakarma vyavasāyakarma pariṇatikarma prāptikarma ca / asmiṃstvarthe	kAritra-karma vyavasAya-karma pariNati-karma prApti-karma ca / asmin=-tu-arTe
   yad bhūyasā vyavasāyakarmābhipretam // cetanākarma katamat / puṇyakarma	yat BUyasA vyavasAya-karma-aBipretam // cetanA-akarma katamat / puNya-karma
   apuṇyakarma āniṃjyakarma ca // cetayitvā karma katamat / kāyakarma	apuNya-karma AniMjya-karma ca // cetayitvA karma katamat / kAya-karma
   vākkarma manaskarma ca / tāni trīṇi kāyavāṅmanaskarmāṇi akuśalāni kuśalāni	vAkkarma manaskarma ca / tAni trINi kAya-vAc-manaskarmANi akuSalAni kuSalAni
   ca / akuśalāni katamāni daśākuśalakarmapathāḥ / prāṇātipātaḥ adattādānam	ca / akuSalAni katamAni daSa-akuSala-karma-paTAH / prANa-atipAtaH adatta-AdAnam
   kāmamithyācāraḥ mṛṣāvādaḥ piśunavāk paruṣavāk saṃbhinnapralāpaḥ abhidyā	kAma-miTyA-AcAraH mRzAvAdaH piSuna-vAc paruza-vAc saMBinna-pralApaH aBidyA
   vyāpādaḥ mithyādṛṣṭiśca / kuśalāni katamāni / daśa kuśalakarmāpathāḥ /	vyApAdaH miTyAdRzwiH-ca / kuSalAni katamAni / daSa kuSala-karma-apaTAH /
   prāṇātipātād viratiḥ adattādānādviratiḥ kāmamithyācārādviratiḥ	prANa-atipAtAt viratiH adatta-AdAnAt-viratiH kAma-miTyA-AcArAt-viratiH
   mṛṣāvādādviratiḥ piśunavāco viratiḥ paruṣavāco viratiḥ	mRzA-vAdAt-viratiH piSuna-vAcaH viratiH paruza-vAcaH viratiH
   saṃbhinnapralāpādviratiḥ anabhidhyā avyāpādaḥ samyagdṛṣṭiśca // apica	saMBinna-pralApAt-viratiH anaBiDyA avyApAdaH samyak-dRzwiH-ca // apica
   prāṇātipātādīnāṃ yathāyogaṃ pañca lakṣaṇaprabhedāḥ / vastutaḥ āśayataḥ	prANa-atipAta-AdInAm yaTAyogam paQca lakzaNa-praBedAH / vastutas ASayataH
   prayogataḥ kleśataḥ niṣṭhāgamanataśca //	prayogataH kleSataH nizWA-gama-nataH-ca //
   yaduktaṃ sūtre cetanākarma / katamāni cetanākarmāṇi	yat-uktam sUtre cetanA-akarma / katamAni cetanA-karmANi
   parājñaptisaṃcetanīyatākarma paramasaṃjñaptisaṃcetatīyatākarma	parAjQapti-saMcetanIya-tA-akarma parama-saMjQapti-saMcetatIyatA-karma
   avijñāyasaṃcetanīyatākarma mūlābhiniveśasacetanīyatākarma	avijQAya-saMcetanIya-tA-akarma mUla-aBiniveSa-sa-cetanIya-tA-karma
   viparyāsasaṃcetanīyatākarma ca / teṣu mūlābhiniveśasaṃcetanīyatākarma	viparyAsa-saMcetanIya-tA-akarma ca / tezu mUla-aBiniveSa-saMcetanIya-tA-karma
   viparyāsaṃcetana yatā karma ca / teṣu mūlābhiniveśasaṃcetanīyatā	viparyA-saMcetana yatA karma ca / tezu mUla-aBiniveSa-saMcetanIya-tA
   karmaviparyāsasaṃcetanīyatākarmabhyāṃ yadi kṛtaṃ bhavatyupacitaṃ ca na	karma-viparyAsa-saMceta-nIya-tA-karmaByAm yadi kRtam Bavati-upacitam ca na
   nāsya vipākaḥ pratisaṃvedyate / kṛtaṃ samudācārasamutthāpitam / upacitaṃ	na-asya vipAkaH pratisaMvedyate / kRtam samudAcAra-samutTApitam / upacitam
   ca vāsanā samupacitam //	ca vAsanA samupacitam //
   (Abhidh-s 54)	(a-aBiD-H 54)
   yadūktaṃ sūtre niyatavedanīyaṃ karma iti / katame niyaptāḥ	yadu-uktam sUtre niyata-vedanIyam karma iti / katame niyaptAH
   karmakiyāniyamaḥ vipākapatisaṃvedanāniyamaḥ avasthāniyamaśca //	karma-kiyA-niyamaH vipAka-pati-saMvedanA-niyamaH avasTA-niyamaH-ca //
   tanna daśānāmakuśalānāṃ karmapathānāṃ vipākaphalaṃ triṣu apāyeṣu /	tat-na daSAnAm-akuSalAnAm karma-paTAnAm vipAka-Palam trizu apAyezu /
   mṛdūmadhyādhimātrāṇāṃ tiryakpretanarakeṣu vipākaḥ / nipyandaphalaṃ	mRdU-maDya-aDimAtrANAm tiryak-preta-narakezu vipAkaH / nipyanda-Palam
   pratyekaṃ tadānurūpyeṇa manuṣyeṣūpanannānā mātmabhāvaparigrahayorvipattiḥ	pratyekam tad-AnurUpyeNa manuzyezu-upanannAnA mA-Atma-BAva-parigrahayoH-vipattiH
   / adhipatiphalaṃ pratyekaṃ tadānurūpyeṇaiva vāhyānāṃ bhāvānāṃ vipattiḥ /	/ aDipati-Palam pratyekam tad-AnurUpyeNa-eva vAhyAnAm BAvAnAm vipattiH /
