   bhadracaryāvidhiḥ ṣoḍaśaḥ paricchedaḥ ||	BadracaryA-viDiH zoxaSaH paricCedaH ||
   saṃsārâṭavīkāntāramārgaprapannā vatême satvā nirayatiryagyoniyamalokapra-	saMsArâ-wavI-kAntAra-mArga-prapannA vatême satvAH niraya-tiryagyoni-yama-loka-pra-
   [ Bendall ed p289 ---> ]	[ Bet-dalt ed p289 ---> ]
   pātâbhimukhāḥ kudṛṣṭiviṣamajālânuprāptāḥ mohagahanasaṃchannā	pAtâBimuKAH kudRzwi-vizama-jAlânu-prAptAH moha-gahana-saMCannA
   mithyāmārgavitathaprayātā |	miTyA-mArga-vitaTa-prayAtAH |
   andhībhūtāḥ pariṇāyakavikalāḥ ||	anDIBUtAH pariNAyaka-vikalAH ||
   pe ||	pe ||
   saṃsāraśrotânuvāhinaḥ tṛṣṇānadīprapannāḥ |	saMsAra-SrotânuvAhinaH tRzNA-nadI-prapannAH |
   mahāvegagrastā |	mahA-vega-grastA |
   avalokanâsamarthāḥ [[DOUBT]] kāmavyāpādavicikitsāvihiṃsāvi-	avalokanâ-samarTAH [[DOUBT]] kAma-vyApAt-avicikitsA-vihiMsA-vi-
   [ Cambridge MS f127b ---> ]	[ Cambridge M f127B ---> ]
   tarkaprapātânucaritāḥ |	tarka-prapAtânucaritAH |
   svakāyadṛṣṭyudakarākṣasagṛhītāḥ |	sva-kAya-dRzwi-udaka-rAkzasa-gRhItAH |
   kāmagahanâvarttânupraviṣṭāḥ nandīrāgamadhyasaṃsaktāḥ |	kAma-gahanâ-varttânu-pravizwAH nandI-rAga-maDya-saMsaktAH |
   asmimānasthalôcchannāḥ |	asmimAn-asTalô=-CannAH |
   aparāyaṇāḥ |	aparAyaNAH |
   āyatanagrāmânucchalitāḥ |	Ayatana-grAmâ-nud-CalitAH |
   kuśalasaṃbhārakavirahitāḥ |	kuSala-saMBAraka-virahitAH |
   te 'smābhir mahākuśalamūlabalenôddhṛtya nirupadrave 'rajasi	te asmABiH mahA-kuSala-mUla-balenôdDRtya nirupadrave arajasi
   śivasarvajñatāratnadvīpe pratiṣṭhāpayitavyā |	Siva-sarvajQa-tA-ratna-dvIpe pratizWApayitavyA |
   ruddhā vatême satvā	rudDA vatême satvA
   bahuduṣkhadaurmanasyôpāyāsabahulânunayapratighapriyâpriyavinibandhane	bahu-duzKa-dOrmanasi-ôpAyAsa-bahulânunaya-pratiGa-priyâ-priya-vinibanDane
   saśokaparidevânucarite tṛṣṇānigaḍabandhane māyāśāṭhyâvidyāgahanasaṃchanne	sa-Soka-paridevânucarite tRzNA-nigaxa-banDane mAyA-SAWyâ-vidyA-gahana-saMCanne
   traidhātukacārake |	trEDAtuka-cArake |
   te 'smābhiḥ sarvatraidhātukaviveke 'bhayapure sarvaduṣkhôpaśame [[DOUBT]]	te asmABiH sarva-trEDAtuka-viveke aBaya-pure sarva-duzKôpaSame [[DOUBT]]
   anāvaraṇanirvāṇe pratiṣṭhāpayitavyêty ādi ||evam ebhiḥ	anAvaraNa-nirvANe pratizWApayitavyêti Adi ||evam eBiH
   parasparadṛḍhīkṛtyair vyavasāyâśayakāruṇyaiḥ puṇyavṛddhim ārabhet |	paraspara-dRXIkRtyEH vyavasAyâSaya-kAruNyEH puNya-vRdDim AraBet |
   tatra tāvad bhadrâcāryāvidhiḥ kāryā vandanâdiḥ sadādarāt ||	tatra tAvat BadrâcAryA-viDiH kAryA vandanâdiH sat-AdarAt ||
   [ Bendall ed p290 ---> ]	[ Bet-dalt ed p290 ---> ]
   āryôgradattaparipṛcchāyāṃ hi trirātre trir divasasya ca śuceḥ	Ari-ôgra-datta-paripRcCAyAm hi tri-rAtre tris divasasya ca SuceH
   śucivastraprāvṛtasya ca triskandhakapravartanam uktaṃ ||	Suci-vastra-prAvRtasya ca tri-skanDaka-pravartanam uktam ||
   tatra trayaḥ skandhāḥ pāpadeśanāpuṇyânumodanābuddhâdhyeṣaṇâ-	tatra trayaH skanDAH pApa-deSanA-puNyânumodanA-budDâ-DyezaNâ-
   [ Cambridge MS f128a ---> ]	[ Cambridge M f128aH ---> ]
   khyāḥ puṇyarāśitvāt |	KyAH puNya-rASi-tvAt |
   tatra vandanā pāpadeśanāyām antarbhavati |	tatra vandanA pApa-deSanAyAm antarBavati |
   buddhān namaskṛtyôpāliparipṛcchāyāṃ deśanêti kṛtvā |	budDAt namaskRtyôpAli-paripRcCAyAm deSanêti kRtvA |
   yācanam adhyeṣaṇāyāṃ ekârthatvāt |	yAcanam aDyezaNAyAm ekârTa-tvAt |
   pūjā tu vibhavâbhāvād anityêti nôktā |	pUjA tu viBavâ-BAvAt anityêti nôktA |
   mānasī vācasī ca sūtrântaraprasiddhatvān nôktāḥ |	mAnasI vAcasI ca sUtrântara-prasidDa-tvAt nôktAH |
   trayāṇāṃ tu vacanāt prādhānyaṃ gamyate |	trayANAm tu vacanAt prADAnyam gamyate |
   tatra vandanā |	tatra vandanA |
   sarvabuddhān namasyāmîti ||	sarva-budDAt namasyAmîti ||
   āryâkṣayamatisūtre tv ātmaparapāpadeśanā puṇyasaṃbhāre paṭhyate ||	Aryâ-kzayam-ati-sUtre tu Atma-para-pApa-deSanA puNya-saMBAre paWyate ||
   gāthācatuṣṭayena ca yathāgītaiś ca stotraiḥ |	gATA-catuzwayena ca yaTAgItEH ca stotrEH |
   āryabhadracaryâdigāthābhir vā pūjanā ca ||	Arya-Badra-caryâ-digATABiH vA pUjanA ca ||
   āryaratnameghe yathôktaṃ |	Arya-ratna-meGe yaTôktam |
   iha bodhisatvo yānîmāni bhavanti puṣpajātāni vā phalajātāni vâmamāny	iha boDisatvaH yAn-îmAni Bavanti puzpa-jAtAni vA Pala-jAtAni vâmamAny
   aparigrahāṇi |	aparigrahANi |
   tāni triṣkṛtvā rātrau triṣkṛtvā divase buddhabodhisatvebhyo niryātayati ||	tAni trizkRtvA rAtrO trizkRtvA divase budDa-boDisatveByaH niryAtayati ||
   pe ||	pe ||
   sayathîme [[DOUBT]] dhūpavṛkṣā vā gandhavṛkṣā vā ratnavṛkṣā vā kalpavṛkṣā	sa-yaTîme [[DOUBT]] DUpa-vRkzAH vA ganDa-vRkzAH vA ratna-vRkzAH vA kalpavRkzA
   vâmamâparigrahās tān api triṣkṛtvā rātrau triṣkṛtvā divase	vâmamâ-parigrahAH tAn api trizkRtvA rAtrO trizkRtvA divase
   buddhabodhisatvebhyo niryātayatîti ||āryatrisamayarāje 'pi sthalajā	budDa-boDisatveByaH niryAtayatîti ||Arya-tri-samaya-rAje api sTala-jA
   ratnaparvatāḥ |	ratna-parvatAH |
   jalajā ratnaparvatā sthalajalajāni ratnāni daśadigavasthitāni |	jalajA ratna-parvatA sTala-jala-jAni ratnAni daSa-diS-avasTitAni |
   amamāny aparigrahāṇi deyānîty uktaṃ ||	amamAni aparigrahANi deyAn-îti uktam ||
   anayā ca diśā sarvabhaiṣajyā-	anayA ca diSA sarva-BEzajyA-
   [ Bendall ed p291 ---> ]	[ Bet-dalt ed p291 ---> ]
   ni sarvarasāyanāni sarvasalilāni a-	ni sarva-rasAyanAni sarva-salilAni a-
   [ Cambridge MS f128b ---> ]	[ Cambridge M f128B ---> ]
   navadyāni apmaṇḍalāni |	navadyAni ap-maNxalAni |
   sarvakāñcanamaṇḍalāni |	sarva-kAQcana-maNxalAni |
   vivṛtteṣu vā lokadhātuṣu ye paramarasasparśasaṃpannā bhūparpaṭakāḥ |	vivRttezu vA lokaDAtuzu ye parama-rasa-sparSa-saMpannAH BU-parpawakAH |
   amṛtalatā |	amRta-latA |
   akṛṣṭôptā vā śālayaḥ |	akRzwôptA vA SAlayaH |
   sarvôttarakurudvīpeṣu |	sarvôttara-kuru-dvIpezu |
   pariśuddheṣu ca lokadhātuṣu ye ramaṇīyatarāḥ paribhogāḥ ||	pariSudDezu ca lokaDAtuzu ye ramaNIyatarAH pariBogAH ||
   yathā câryaratnameghe evâha |	yaTA cârya-ratna-meGe evâha |
   sa yānîmāni sūtrânteṣûdārôdārāṇi tathāgatapūjôpasthānāni śṛṇoti |	sa yAn-îmAni sUtrântezû-dArô-dArANi taTAgata-pUjôpa-sTAnAni SRNoti |
   tāny āśayatas tīvreṇâdhyāśayena buddhabodhisatvebhyaḥ pariṇāmayatîti |	tAni ASayataH tIvreNâDi-ASayena budDa-boDisatveByaH pariNAmayatîti |
   tathā |	taTA |
   sa vividhāni pūjôpasthānāni anuvicintayatîti ||	sa viviDAni pUjôpa-sTAnAni anuvicintayatîti ||
   deśanā pūrvôktêva |	deSanA pUrvôktêva |
   āryâkṣayamatisūtre tv ātmaparapāpadeśanā puṇyasaṃbhāre paṭhyate |	Aryâ-kzayam-ati-sUtre tu Atma-para-pApa-deSanA puNya-saMBAre paWyate |
   anumodanā bhadracaryāgāthayā |	anumodanA BadracaryA-gATayA |
   candrapradīpânumodanāparivartena vā |	candra-pradIpânumodanA-parivartena vA |
   adhyeṣaṇā bhadracaryayâiva |	aDyezaNAH Badra-carya-yâivaH |
   pariṇāmanā tu sakalasamāptâryabhadracaryayâiva |	pariNAmanA tu sakala-samAptârya-Badra-carya-yâivaH |
   vajradhvajapariṇāmanāṃ vā paśyet ||athavā daśabhūmakôktāni	vajra-Dvaja-pariNAmanAm vA paSyet ||aTavA daSa-BUma-kôktAni
   mahāpraṇidhānāni |	mahA-praNiDAnAni |
   yathâha |	yaTâha |
   yad utâśeṣaniḥśeṣânavaśeṣasarvabuddhapūjôpasthāpanāya |	yat utâ-Seza-niHSezâ-nava-Seza-sarva-budDa-pUjôpa-sTApanAya |
   sarvâkāravarôpetam udārâdhimuktiviśuddhaṃ dharmadhātuvipulam	sarvâkAra-varô-petam udArâDi-mukti-viSudDam DarmaDAtu-vipulam
   ākāśadhātuparyavasānam aparântakoṭīniṣṭhaṃ	AkASa-DAtu-paryavasAnam aparânta-kowI-nizWam
   sarvakalpasaṃkhyābuddhôtpādasaṃkhyāpratiprasrabdhaṃ |	sarva-kalpa-saMKyA-budDôt-pAda-saMKyA-pratiprasrabDam |
   mahāpūjôpasthā-	mahA-pUjôpasTA-
   [ Bendall ed p292 ---> ]	[ Bet-dalt ed p292 ---> ]
   nāya	na-aya
   [ Cambridge MS f129a ---> ]	[ Cambridge M f129aH ---> ]
   prathamaṃ mahāpraṇidhānam abhinirharati || yad uta	praTamam mahA-praNiDAnam aBinirharati || yat uta
   sarvatathāgatabhāṣitadharmanetrīsaṃdhāraṇāya	sarva-taTAgata-BAzita-Darma-netrI-saMDAraNAya
   sarvabuddhabodhisatvaparigrahāya |	sarva-budDa-boDisatva-parigrahAya |
   sarvasamyaksaṃbuddhaśāsanaparirakṣaṇāya |	sarva-samyaksaMbudDa-SAsana-parirakzaNAya |
   dharmadhātuvipulam ākāśadhātuparyavasānam aparântakoṭīniṣṭhaṃ |	DarmaDAtu-vipulam AkASa-DAtu-paryavasAnam aparânta-kowI-nizWam |
   sarvasaṃkalpasaṃkhyābuddhôtpādasaṃkhyāpratiprasrabdhaṃ |	sarva-saMkalpa-saMKyA-budDôt-pAda-saMKyA-pratiprasrabDam |
   saddharmaparigrahāya |	sat-Darma-parigrahAya |
   dvitīyaṃ mahāpraṇidhānam abhinirharati ||	dvitIyam mahA-praNiDAnam aBinirharati ||
   yad uta sarvabuddhôtpādaniravaśeṣasarvalokadhātuprasareṣu |	yat uta sarva-budDôtpAda-niravaSeza-sarva-loka-DAtu-prasarezu |
   tuṣitabhavanavāsam ādiṃ kṛtvā	tuzita-Bavana-vAsam Adim kRtvA
   cyavanâcaṅkramaṇagarbhasthitijanmakumārakrīḍântaḥpuravāsâbhiniṣkramaṇaduṣkaracaryābodhimaṇḍôpasaṃkramaṇamāradharṣaṇâbhisaṃbodhyadhyeṣaṇamahādharmacakrapravartanamahāparinirvāṇôpasaṃkramaṇāya	cyavanâ-caFkramaNa-garBa-sTiti-janma-kumAra-krIxântaHpura-vAsâBi-nizkramaNa-duzkara-caryA-boDi-maNxôpa-saMkramaNa-mAra-DarzaNâBisaMboDi-aDyezaN
   pūjādharmasaṃgrahaprayogapūrvaṃgamaṃ kṛtvā sarvatraikālavivartanāya |	pUjA-Darma-saMgraha-prayoga-pUrvaMgamam kRtvA sarvatra-ekAla-vivartanAya |
   dharmadhātuvipulam ākāśadhātuparyavasānam aparântakoṭīniṣṭhaṃ	DarmaDAtu-vipulam AkASa-DAtu-paryavasAnam aparânta-kowI-nizWam
   sarvakalpasaṃkhyābuddhôtpādasaṃkhyāpratiprasrabdhaṃ yāvan	sarva-kalpa-saMKyA-budDôt-pAda-saMKyA-pratiprasrabDam yAvat-
   mahāparinirvāṇôpasaṃkramaṇāya |	mahA-parinirvANôpa-saMkramaNAya |
   tṛtīyaṃ mahāpraṇidhānam abhinirharati ||	tRtIyam mahA-praNiDAnam aBinirharati ||
   yad uta	yat uta
   sarvabodhisatvacaryāvipulamahadgatâpramāṇâsaṃbhinnasarvapāramitāsusaṃgrahītaḥ	sarva-boDisatva-caryA-vipula-mahat-gatâ-pramANâ-saMBinna-sarva-pAramitA-su-saMgrahItaH
   sarvabhūmipariśodhanaṃ sâṅgôpāṅganirhāraṃ yāvat sala-	sarva-BUmi-pariSoDanam sâFgôpAFga-nirhAram yAvat sala-
   [ Cambridge MS f129b ---> ]	[ Cambridge M f129B ---> ]
   kṣaṇavilakṣaṇasaṃvartavivartasarvabodhi satvacaryābhūtayathāvad	kzaNa-vilakzaNa-saMvarta-vivarta-sarva-boDi satva-caryA-BUta-yaTAvat-
   bhūmipathôpadeśapāramitāparikarmâvavādânuśāsany-anupradānôpasta-	BUmi-paTô-padeSa-pAramitA-parikarmâvavAt-ânuSAsanI--anupradAnôpasta-
   [ Bendall ed p293 ---> ]	[ Bet-dalt ed p293 ---> ]
   mbhacittôtpādâbhinirhārāya |	mBa-cittôt-pAdâBinirhArAya |
   dharmadha-tuvipulam ākāśadhātuparyavasānam aparântakoṭīniṣṭhaṃ	Darma-Da-tu-vipulam AkASa-DAtu-paryavasAnam aparânta-kowI-nizWam
   sarvakalpasaṃkhyācaryāsaṃkhyāpratiprasrabdhaṃ cittôtpādâbhinirhārāya |	sarva-kalpa-saMKyA-caryA-saMKyA-pratiprasrabDam cittôt-pAdâBinirhArAya |
   caturthaṃ mahāpraṇidhānam abhinirharati || yad uta	caturTam mahA-praNiDAnam aBinirharati || yat uta
   niravaśeṣasarvasatvadhāturūpyarūpisaṃjñāsaṃjñi nâiva saṃjñi nâsaṃjñy	niravaSeza-sarva-satva-DAtu-rUpya-rUpi-saMjQA-saMjQi nâiva saMjQi nâsaMjQy
   aṇḍajajarāyujasaṃsvedajâupapādukatraidhātukaparyāpannaṣaḍgatisamavasṛtasarvôpapattiparyāpannanāmarūpasaṃgṛhītâśeṣasarvasatvadhātuparipācanāya	aNxa-ja-jarAyu-ja-saMsveda-jâupapAduka-trEDAtuka-paryApanna-zaxgati-samavasRta-sarvôpapatti-paryApanna-nAma-rUpa-saMgRhItâ-Seza-sarva-satva-DAtu-p
   sarvabuddhadharmâvatāraṇāya |	sarva-budDa-DarmâvatAraNAya |
   sarvagatisaṃkhyāvyavacchedanāya |	sarva-gati-saMKyA-vyavacCedanAya |
   sarvajñajñānapratiṣṭhāpanāya |	sarvajQa-jQAna-pratizWApanAya |
   dharmadhātu-	DarmaDAtu-
   [ Cambridge MS f130a ---> ]	[ Cambridge M f130aH ---> ]
   vipulam ākāśadhātuparyavasānam aparântakoṭīniṣṭhaṃ	vipulam AkASa-DAtu-paryavasAnam aparânta-kowI-nizWam
   sarvakalpasaṃkhyāsatvadhātusaṃkhyāpratiprasrabdhaṃ	sarva-kalpa-saMKyA-satva-DAtu-saMKyA-pratiprasrabDam
   |sarvasatvadhātuparipācanāya |	|sarva-satva-DAtu-paripAcanAya |
   pañcamaṃ mahāpraṇidhānam abhinirharati ||	paQcamam mahA-praNiDAnam aBinirharati ||
   yad uta	yat uta
   niravaśeṣasarvalokadhātuvipulasaṃkṣiptamahadgatâpramāṇasūkṣmâudārikavyatyastâvamūrddhasamatalapraveśasamavasaraṇânugatêndrajālavibhāgadaśadigaśeṣavaimātryapraveśavibhāgajñānânugamapratyakṣatāyai	niravaSeza-sarva-loka-DAtu-vipula-saMkzipta-mahat-gatâ-pramANa-sUkzmâ-udArikavyati-astâvamUrdDa-sama-tala-praveSa-samavasaraNâ-nugatêndra-jAlavi
   dharmadhātuvipulam ākāśadhātuparyavasānam aparântakoṭīniṣṭhaṃ	DarmaDAtu-vipulam AkASa-DAtu-paryavasAnam aparânta-kowI-nizWam
   sarvakalpasaṃkhyālokadhātusaṃkhyāpratiprasrabdhaṃ	sarva-kalpa-saMKyA-loka-DAtu-saMKyA-pratiprasrabDam
   lokadhātuvaimātryâvatāraṇāya |	lokaDAtu-vEmAtri-âvatAraNAya |
   ṣaṣṭhaṃ mahāpraṇidhānam abhinirharati ||	zazWam mahA-praNiDAnam aBinirharati ||
   yad uta sarvakṣetrâikakṣetrâikakṣetra sarvakṣetraisamavaśaraṇapariśodhanaṃ	yat uta sarva-kzetrâika-kzetrâika-kzetra sarva-kzetrEsamavaSaraNa-pariSoDanam
   [[DOUBT]] |	[[DOUBT]] |
   apramāṇabuddhakṣetra prabhāvyūhâlaṃkārapratimaṇḍitaṃ |	apramANa-budDa-kzetra praBA-vyUhâ-laMkAra-pratimaNxitam |
   sarvakleśâpanayanapariśuddhipathôpetaṃ |	sarva-kleSâpanayana-pariSudDi-paTô-petam |
   apramāṇajñānâkārasatvaparipūrṇam udārabuddhaviṣayasamavasaraṇaṃ |	apramANa-jQAnâkAra-satva-paripUrNam udAra-budDa-vizaya-samavasaraNam |
   yathâśayasarvasatvasaṃdarśanasaṃtoṣaṇāya |	yaTâSaya-sarva-satva-saMdarSana-saMtozaNAya |
   dharmadhātuvi-	DarmaDAtuvi-
   [ Bendall ed p294 ---> ]	[ Bet-dalt ed p294 ---> ]
   pulam ākāśadhātuparyavasānam aparântakoṭīniṣṭhaṃ	pulam AkASa-DAtu-paryavasAnam aparânta-kowI-nizWam
   |sarvakalpasaṃkhyābuddhakṣetrasaṃkhyāpratiprasrabdhaṃ	|sarva-kalpa-saMKyA-budDa-kzetra-saMKyA-pratiprasrabDam
   |sarvabuddhakṣetrapariśodhanāya |saptamaṃ mahāpraṇidhānam abhinirharati	|sarva-budDa-kzetra-pariSoDanAya |saptamam mahA-praNiDAnam aBinirharati
   ||yad uta sarvabodhisatvâikâśayaprayogatāyai |	||yat uta sarva-boDisatvâikâ-Saya-prayoga-tAyE |
   niḥsapatnakuśalamūlôpacayāya |	niHsapatna-kuSala-mUlô-pacayAya |
   ekârambaṇasarvabodhisatvasamatāyai |	ekârambaNa-sarva-boDisatva-samatAyE |
   avirahitasatatasamitabuddhabodhisatvasamavadhānāya |	avirahita-satata-samita-budDa-boDisatva-samavaDAnAya |
   yathêṣṭabuddhôtpādasaṃdarśanāya |	yaTêzwa-budDôt-pAda-saMdarSanAya |
   svacittôtpādatathāgataprabhāvajñānânugamāya |	sva-cittôt-pAda-taTA-gata-praBAva-jQAn-ânugamAya |
   acyutânugāminy-abhijñāpratilambhāya |	acyutânugAminI--aBijQA-pratilamBAya |
   sarvalokadhātvanuvicaraṇāya sarvaparṣanmaṇḍalapratibhāsaprāptaye |	sarva-loka-DAtu-anuvicaraNAya sarva-parzad-maNxala-pratiBAsa-prAptaye |
   sarvôpapattisvaśarīrânugamāya |	sarvôpapatti-sva-SarIrânugamAya |
   acintyamahāyānôpetatāyai |	acintya-mahAyAnôpetatAyE |
   [ Cambridge MS f130b ---> ]	[ Cambridge M f130B ---> ]
   bodhisatvacaryācaraṇâvyavacchedāya |	boDisatva-caryA-caraNâ-vyavacCedAya |
   dharmadhātuvipulam ākāśadhātuparyavasānam aparântakoṭīniṣṭhaṃ |	DarmaDAtu-vipulam AkASa-DAtu-paryavasAnam aparânta-kowI-nizWam |
   sarvakalpasaṃkhyācaryāsaṃkhyāpratiprasrabdhaṃ |	sarva-kalpa-saMKyA-caryA-saMKyA-pratiprasrabDam |
   mahāyānâvatāraṇāya |	mahAyAnâvatAraNAya |
   aṣṭamaṃ mahāpraṇidhānam abhinirharati ||yad	azwamam mahA-praNiDAnam aBinirharati ||yat-
   utâvivartyacakrasamārūḍhabodhisatvacaryācaraṇāya |	utâ-vivarti-acakra-samArUXa-boDisatva-caryA-caraNAya |
   amoghakāyavāṅmanaskareṇa |	amoGa-kAya-vAc-manaskareNa |
   sahadarśananiyatasarvabuddhadharmapratilambhāya |	saha-darSana-niyata-sarva-budDa-Darma-pratilamBAya |
   sahaghoṣôdāhārajñānâ-	sahaGozôda-AhAra-jQAnâ-
   [ Bendall ed p295 ---> ]	[ Bet-dalt ed p295 ---> ]
   nugamāya |	nugamAya |
   sahaprasādakleśavivartanāya |	saha-prasAda-kleSa-vivartanAya |
   mahābhaiṣajyarājôpamâśrayapratilambhāya |	mahA-BEzajya-rAjô-pamâSraya-pratilamBAya |
   cintāmaṇivat kāyapratilambhāya |	cintAmaNi-vat kAya-pratilamBAya |
   sarvabodhisatvacaryācaraṇāya |	sarva-boDisatva-caryA-caraNAya |
   dharmadhātuvipulam ākāśadhātuparyavasānam aparântakoṭīniṣṭhaṃ |	DarmaDAtu-vipulam AkASa-DAtu-paryavasAnam aparânta-kowI-nizWam |
   sarvakalpasaṃkhyācaryāsaṃkhyāpratiprasrabdhaṃ |amoghaghoṣatāyai |	sarva-kalpa-saMKyA-caryA-saMKyA-pratiprasrabDam |amoGa-Goza-tAyE |
   navamaṃ mahāpraṇidhānam abhinirharati ||	navamam mahA-praNiDAnam aBinirharati ||
   yad uta sarvalokadhātuṣv anuttarasamyaksaṃbodhyabhisaṃbodhanāya |	yat uta sarva-loka-DAtuzu anuttara-samyaksaMboDi-aBisaMboDanAya |
   ekavālapathâvyativṛttasarvabālapṛthagjanajanmôpapattyabhiniṣkramaṇavikurvaṇa	eka-vAla-paTâ-vyativRtta-sarva-bAla-pRTagjana-janmôpapatti-aBinizkramaNa-vikurvaNa
   bodhimaṇḍadharmacakrapravartanamahāparinirvāṇôpadarśanāya |	boDimaNxa-Darma-cakra-pravartana-mahA-parinirvANô-padarSanAya |
   mahābuddhaviṣayaprabhāvajñānânugamāya |	mahAbudDa-vizaya-praBAva-jQAn-ânugamAya |
   sarvasatvadhātuyathâśayabuddhôtpādakṣaṇakṣaṇâvabodhapraśamaprāpaṇasaṃdarśanāya	sarva-satva-DAtu-yaTâ-Saya-budDôtpAda-kzaNa-kzaNâ-vaboDa-praSama-prApaNa-saMdarSanAya
   e-	e-
   [ Cambridge MS f131a ---> ]	[ Cambridge M f131aH ---> ]
   kâbhisaṃbodhisarvadharmadhātunirmāṇaspharaṇāya |	kâBi-saMboDi-sarva-Darma-DAtu-nirmANa-sParaNAya |
   ekaghoṣôdāhārasarvasatvacittâśayasaṃtoṣaṇāya |	eka-GozôdAhAra-sarva-satva-cittâ-Saya-saMtozaNAya |
   mahāparinirvāṇôpadarśanacaryābalâvyupacchedāya |	mahA-parinirvANô-padarSana-caryA-balâ-vyupacCedAya |
   mahājñānabhūmisarvadharmavyutthāpanasaṃdarśanāya |	mahA-jQAna-BUmi-sarva-Darma-vyutTApana-saMdarSanAya |
   dharmajñānaṛddhimāyâbhijñāsarvalokadhātuspharaṇāya |	Darma-jQAna-RdDi-mAyâBijQA-sarva-loka-DAtu-sParaNAya |
   dharmadhātuvipulam ākāśadhātuparyavasānam aparântakoṭīniṣṭhaṃ |	DarmaDAtu-vipulam AkASa-DAtu-paryavasAnam aparânta-kowI-nizWam |
   sarvakalpasaṃkhyâbhisaṃbodhisaṃkhyāpratiprasrabdhaṃ |	sarva-kalpa-saMKyâBisaMboDi-saMKyA-pratiprasrabDam |
   mahāyānâbhinirhārāya |	mahAyA-anâBinirhArAya |
   daśamaṃ mahāpraṇidhānam abhinirharatîti ||	daSamam mahA-praNiDAnam aBinirharatîti ||
   [ Bendall ed p296 ---> ]	[ Bet-dalt ed p296 ---> ]
   etac ca bhāvayan sarvatra pariṇāmayāmîti yojyaṃ ||	etat ca BAvayan sarvatra pariNAmayAmîti yojyam ||
   āryâvalokiteśvaravimokṣe ca yad uktaṃ tad apy evaṃ yojyaṃ |	Aryâvalokita-ISvara-vimokze ca yat uktam tat api evam yojyam |
   etat kuśalamūlaṃ sarvasatvaprapātabhayavigamāya pariṇāmayāmi |	etat kuSala-mUlam sarva-satva-prapAta-Baya-vigamAya pariNAmayAmi |
   sarvasatvān sāntānikabhayapraśamanāya |	sarva-satvAn sAntAnika-Baya-praSamanAya |
   sarvasatvasaṃmohabhayavinivartanāya pariṇāmayāmi |	sarva-satva-saMmoha-Baya-vinivartanAya pariNAmayAmi |
   sarvasatvabandhanabhayasamucchedāya |	sarva-satva-banDana-Baya-samucCedAya |
   sarvasatvajīvitôparodhôpakramabhayavyāvartanāya |	sarva-satva-jIvitô-paroDô-pakrama-Baya-vyAvartanAya |
   sarvasatvôpakaraṇavaikalyabhayâpanayanāya |	sarva-satvôpakaraNa-vEkalya-Bayâ-panayanAya |
   sarvasatvâjīvikābhayavyupaśamanāya |	sarva-satvâ-jIvikA-Baya-vyupaSamanAya |
   sarvasatvâślokabhayasamatikramaṇāya pariṇāmayāmi |	sarva-satvâ-Sloka-Baya-samatikramaNAya pariNAmayAmi |
   sarvasatvasāṃsārikabhayôpaśamanāya |	sarva-satva-sAMsArika-Bayô-paSamanAya |
   sarvasatvaparṣacchāradyabhayavigamāya |	sarva-satva-parza=-SAradya-Baya-vigamAya |
   sarvasatvamaraṇa-	sarva-satva-maraNa-
   [ Cambridge MS f131b ---> ]	[ Cambridge M f131B ---> ]
   bhayavyatikramāya |	Baya-vyatikramAya |
   sarvasatvadurgatibhayavinivartanāya |	sarva-satva-durgati-Baya-vinivartanAya |
   sarvasatvatamoandhakāraviṣamagatyapratyudāvartanâvabhāsakaraṇāya	sarva-satva-tamaH-anDa-kAra-vizama-gati-apratyudAvartanâvaBAsa-karaNAya
   pariṇāmayāmi |	pariNAmayAmi |
   sarvasatvānāṃ visabhāgasamavadhānabhayâbhyantavigamāya |	sarva-satvAnAm visaBAga-samavaDAn-aBayâByanta-vigamAya |
   sarvasatvapriyaviprayogabhayanirodhāya |	sarva-satva-priya-viprayoga-Baya-niroDAya |
   sarvasatvâpriyasaṃvāsabhayâpanayanāya |	sarva-satvâ-priya-saMvAsa-BayâpanayanAya |
   sarvasatvakāyaparipīḍābhayavisaṃyogāya |	sarva-satva-kAya-paripIxA-Baya-visaMyogAya |
   sarvasatvacittaparipīḍanabhayanirmokṣaṇāya |	sarva-satva-citta-paripIxana-Baya-nirmokzaNAya |
   sarvasatvaduṣkhadaurmanasyôpāyāsasamatikramaṇāya pariṇāmayāmîti ||	sarva-satva-duzKa-dOrmanasyôpAyAsa-samatikramaNAya pariNAmayAmîti ||
   [ Bendall ed p297 ---> ]	[ Bet-dalt ed p297 ---> ]
   saṃkṣepataḥ punar iyam anuttarā pariṇāmanā yêyam āryabhadracaryāgāthāyāṃ |	saMkzepataH punar iyam anuttarA pariNAmanAH yêyam Arya-Badra-caryA-gATAyAm |
   mañjuśirī yatha jānati śūraḥ so ca samantata bhadra tathâiva |	maQju-SirI yaTa jAnati SUraH saH ca samantata Badra taTâiva |
   teṣu ahaṃ anuśikṣayamāṇo nāmayamī kuśalaṃ imu sarvaṃ ||	tezu aham anuSikzayamANaH na-AmayamI kuSalam imu sarvam ||
   sarvatriyadhva gatebhi jinebhir yā pariṇāmana varṇitâgrā |	sarvatriyaDva gateBi jineBiH yA pariNAmana varNitâgrAH |
   tāyâhaṃ kuśalaṃ imu sarvaṃ nāmayamī varabhadracarīye |	tAyâham kuSalam imu sarvam nAmayamI vara-Badra-carIye |
   iti ||	iti ||
