   1. Vairagyaprakarana	1. VEragya prakarana
   #16 °kal(p)a°	#16 °kal(p)a°
   #17 °l<a>[ā]vān	#17 °l<a >[A]vAn
        yaḥ samastārthajāteṣu vyavahāry api śītalaḥ /	yaH samasta arTa jAtezu vyavahAri api SItalaH /
        parārtheṣv iva pūrṇātmā sa jīvanmukta ucyate // Mo_3,9.15 //	para arTezu iva pUrNa AtmA sa jIvanmuktaH ucyate // MaH _3,9.15 //
   "pūrṇātmā" nirapekṣaśāntacinmātratvena tṛptātmā | "yaḥ samastārthajāteṣu"	"pUrNa AtmA" nirapekza SAnta cit mAtra tvena tRpta AtmA | "yaH samasta arTa jAtezu"
   pravāhāgateṣu sakaleṣu prayojanasamūheṣu | "śītalaḥ" kim ayaṃ sidhyati na	pravAha Agatezu sakalezu prayojana samUhezu | "SItalaH" kim ayam siDyati na
   veti santāparahitaḥ bhavati | keṣv "iva" | "parārtheṣv iva" | yathā	vA iti santApa rahitaH Bavati | kezu "iva" | "para arTezu iva" | yaTA
   laukikaḥ "parārtheṣu śītalaḥ" bhavati | tathety arthaḥ | paṇḍitaiḥ "sa	lOkikaH "para arTezu SItalaH" Bavati | taTA iti arTaH | paNxitEH "sa
   jīvanmuktaḥ ucyate" || MoT_3,9.15 ||	jIvanmuktaH ucyate" || MoT_3,9.15 ||
   jīvanmuktim uktvā kramaprāptāṃ {#18} videhamuktiṃ kathayati	jIvanmuktim uktvA krama prAptAm {#18} videha muktim kaTayati
        jīvanmuktapadaṃ tyaktvā dehe {#19} kālavaśāt kṣate /	jIvanmukta padam tyaktvA dehe {#19} kAla vaSAt kzate /
        cid yāty adehamuktatvaṃ pavanaḥ spandanām iva // Mo_3,9.16 //	cit yAti adeha m ukta tvam pavanaH spandanAm iva // MaH _3,9.16 //
   "cit" lakṣaṇayā cidbhāvatāgataḥ jīvanmuktaḥ | "dehe" śarīre | "kālavaśāt"	"cit" lakzaNayA cit BAvatA gataH jIvanmuktaH | "dehe" SarIre | "kAla vaSAt"
   niyativaśena | "kṣate" naṣṭe sati | "jīvanmuktapadam" jīvanmuktatāṃ |	niyati vaSena | "kzate" nazwe sati | "jIvanmukta padam" jIvanmukta tAm |
   "tyaktvā" | "adehamuktatvaṃ" videhamuktabhāvaṃ | "yāti" | ka "iva" kāṃ	"tyaktvA" | "adeha m ukta tvaM" videha mukta BAvam | "yAti" | kaH "iva" kAm
   "tyaktvā" | "pavana iva spandanām" | yathā "pavanaḥ spandanām"	"tyaktvA" | "pavanaH iva spanda nAm" | yaTA "pavanaH spandanAm"
   ceṣṭākaraṇam | tyajati | tathety arthaḥ | "pavanaḥ spandatām ive"ti vā	cezwA karaNam | tyajati | taTA iti arTaH | "pavanaH spandatAm iva i"ti vA
   pāṭhaḥ || MoT_3,9.16 ||	pAWaH || MoT_3,9.16 ||
   ***NOTES:	***NOTa ES:
   #18 °ma<ḥ>prā°	#18 °ma<H>prA°
   #19 °h(o)e	#19 °h(o)e
   jīvanmuktavat tasyāpi lakṣaṇāni leśataḥ kathayati	jIvanmukta vat tasya api lakzaNAni leSataH kaTayati
        videhamukto nodeti nāstam eti na śāmyati /	videha muktaH na udeti na astam eti na SAmyati /
        na san nāsan na dūrasthaṃ na cāhaṃ na ca vetarat // Mo_3,9.17 //	na san na Asat na dUra sTam na ca aham na ca vA itarat // MaH _3,9.17 //
   "videhamuktaḥ" anahambhāvena gṛhītasya dehasyāpy abhāvena videhamuktiṃ	"videha muktaH" anahamBAvena gRhItasya dehasya api aBAvena videha muktim
   gataḥ puruṣaḥ | "na udeti" sadoditacinmātrabhāvena avasthānāt | tathā	gataH puruzaH | "naH udeti" sadA udita cit mAtra BAvena avasTAnAt | taTA
   "astam na eti" | yathā tathā kalpitasya tadastasya tataḥ evotthānāt |	"astam na eti" | yaTA taTA kalpitasya tat aH tasya tatas eva utTAnAt |
   anyathāsambhavāt | tathā "na śāmyati" saṃsārabhānābhāvaprasaṅgāt | "na	anyaTA samBavAt | taTA "na SAmyati" saMsAra BAnA BAva prasaFgAt | "na
   sat" bhavati | bāhyāntarakaraṇāgocaratvāt | tathā "asat na" bhavati |	sat" Bavati | bAhya antara karaNa agocara tvAt | taTA "asat na" Bavati |
   etādṛkprapañcabhāvena bhānābhāvaprasaṅgāt | na hi śaśaśṛṅgaṃ kenāpi rūpeṇa	etAdRS prapaQca BAvena BAna aBAva prasaFgAt | na hi SaSa SRFgam kena api rUpeNa
   bhātuṃ {#20} śaknoti | tathā "dūrasthaṃ na" bhavati | sarveṣām	BAtum {#20} Saknoti | taTA "dUra sTam na" Bavati | sarvezAm
   ahantāsāratvena sthitatvāt | tathā "ahaṃ na" bhavati | paricchinnaḥ	ahanta AsAra tvena sTita tvAt | taTA "aham na" Bavati | paricCinnaH
   pramātā na bhavati | aparimitapramātṛtvena sthitatvāt | tathā "itarat"	pramAtA na Bavati | aparimita pramAtR tvena sTita tvAt | taTA "ita rat"
   parimitaṃ prameyaṃ | "na" bhavati | aparimitaprameyabhāvena sthitatvāt	parimitam prameyam | "na" Bavati | aparimita prameya BAvena sTita tvAt 
   || MoT_3,9.17 ||	|| MoT_3,9.17 ||
   ***NOTES:	***NOTa ES:
   #20 °t<a>[u]ṃ	#20 °t<a>[u]m
   viśvottīrṇatām uktvā viśvamayatāṃ leśataḥ kathayati	viSva uttIrNa tAm uktvA viSva maya tAm leSataH kaTayati
        sūryo bhūtvā pratapati viṣṇuḥ pāti jagattrayam /	sUryaH BUtvA pratapati vizNuH pAti jagattrayam /
        rudraḥ sarvān saṃharati sarvān sṛjati padmajaḥ // Mo_3,9.18 //	rudraH sarvAn saMharati sarvAn sRjati padma jaH // MaH _3,9.18 //
   asau śuddhacinmātratāṃ yātaḥ videhamuktaḥ "sūryo bhūtvā" sūryabhāvam	asO SudDa cit mAtra tAm yAtaH videha muktaH "sUryaH BUtvA" sUrya BAvam
   āsādya | "pratapati" tāpakriyākartṛtvaṃ bhajati | tathā "viṣṇuḥ bhūtvā	AsAdya | "pratapati" tApa kriyA kartR tvam Bajati | taTA "vizNuH BUtvA
   jagattrayaṃ pāti" rakṣati | evaṃ sarvatra yojyam | eṣāṃ sūryādīnāṃ ca	jagattrayam pAti" rakzati | evam sarvatra yojyam | ezAm sUrya AdInAm ca
   bāhyāntaratvena dvaividhyaṃ jñeyam | bāhye hi "sūryaḥ" yaḥ vyomni dṛśyate	bAhya antara tvena dvEviDyam jQeyam | bAhye hi "sUryaH" yaH vyomni dRSyate
   | āntaras tu prāṇaḥ | sūryavat śarīrapākakāritvāt | tathā "viṣṇuḥ" buddhiḥ	| AntaraH tu prANaH | sUrya vat SarIra pAka kAri tvAt | taTA "vizNuH" budDiH
   | tadvat saṅkalpasthitikāritvāt | tathā "rudraḥ" ahaṅkāraḥ | tadvat	| tadvat saFkalpa sTiti kAri tvAt | taTA "rudraH" ahaFkAraH | tadvat 
   sarvasaṅkalpānāṃ svasmin layīkaraṇāt | tathā "padmajaḥ" manaḥ | tadvat	sarva saFkalpAnAm svasmin layIkaraNAt | taTA "padmajaH" manaH | tadvat 
   saṅkalpotpādakatvāt | evaṃ yathāsambhavaṃ sarvatra yojyam | nanu kathaṃ	saFkalpa utpAdaka tvAt | evam yaTAsamBavam sarvatra yojyam | nanu kaTam
   videhamuktaḥ sūryādicarācarapadārthabhāvam āgatya tadgatāḥ sarvāḥ kriyāḥ	videha muktaH sUryAdi carAcara padArTa BAvam Agatya tad gatAH sarvAH kriyAH
   {#21} karotīti cet | satyam | tatra carāḥ tāvat sphuṭam eva	{#21} karoti iti ced | satyam | tatra carAH tAvat sPuwam eva
   antaryāmiśuddhacittattvādhiṣṭhitāḥ {#22} lakṣyante | anyathā maraṇāvasthāṃ	antaryAmi SudDa cit tattva aDizWitAH {#22} lakzyante | anyaTA maraNa avasTAm
   gateṣv api teṣu prāgvat kriyādhāratvaprasaṅgāt | nanu tatkriyāyāṃ prāṇa	gatezu api tezu prAgvat kriyADAra tva prasaFgAt | nanu tad kriyAyAm prANa
   eva prerakaḥ dṛśyate | niṣprāṇānām acaraśarīrāṇāṃ {#23}	eva prerakaH dRSyate | nizprANAnAm acara SarIrANAm {#23}
   niṣkriyatvadarśanāt | asad etat | na hi prāṇo nāmātra prerakatve samarthaḥ	nizkriya tva darSanAt | asat etat | na hi prANaH nAma atra preraka tve samarTaH
   {#24} kaścic cetana iva lakṣyate | kiṃ tv anyasya kasyāpi svatantrasya	{#24} kaScid cetanaH iva lakzyate | kim tu anyasya kasya api svatantrasya
   cetanasya preraṇayā | devadattapreryamāṇakandukavat {#25}	cetanasya preraNayA | devadatta preryamANa kanduka vat {#25}
   nirgamapraveśakārīva dṛśyate iti śuddhasya cinmātrasyaiva	nirgama praveSa kArI iva dRSyate iti SudDasya cit mAtrasya eva
   carāntaryāmitvena caragatakriyākartṛtvaṃ jñāyate | acareṣv api dṛśyamāṇā	cara antaryAmi tvena cara gata kriyA kartR tvam jQAyate | acarezu api dRSyamANA
   avasthitikriyā kriyātvāt caragatakriyāvat tatkṛtā eva jñeyā | yataḥ yatra	avasTiti kriyA kriyA tvAt cara gata kriyAvat tad kRtAH eva jQeyA | yatas yatra
   sākṣāc cetanatayā bhāsamānānāṃ carāṇāṃ svakriyāyām asāmarthyam asti tatra	sAkzAt cetana tayA BAsamAnAnAm carANAm sva kriyAyAm asAmarTyam asti tatra
   sākṣāj jaḍatvena bhāsamānānāṃ acarāṇāṃ kā kathā kriyākāritve | tena yathā	sAkzAt jaxa tvena BAsamAnAnAm acarANAm kA kaTA kriyA kAritve | tena yaTA
   adhiṣṭhātṛbhūtena devadattena kvacit sthāpitāḥ stambhādayaḥ tiṣṭhanti	aDizWAtR BUtena devadattena kvacid sTApitAH stamBa AdayaH tizWanti
   {#26} tathā svāntargatena kenāpi tattvena sthāpitāḥ acarāḥ tiṣṭhantīti	{#26} taTA sva antargatena kena api tattvena sTApitAH acarAH tizWanti iti
   jñeyam | tatra devadattasya tebhyaḥ bahiḥsthatā {#27} pratyakṣam eva {#28}	jQeyam | tatra devadattasya teByaH bahis sTatA {#27} pratyakzam eva {#28}
   dṛśyate iti na tatra tasya tadantargatatvaṃ kalpyate | atra tu bahiḥ	dRSyate iti na tatra tasya tad antargata tvam kalpyate | atra tu bahis 
   sthūlasya kasyāpy adarśanāt tadantargatatvaṃ kalpyate | bahirgatatvam api	sTUlasya kasya api adarSanAt tad antargata tvam kalpyate | bahis gata tvam api
   tasya na virudhyate ity āstām etat | evaṃ ca śuddhacinmātre paryavasitaṃ	tasya na viruDyate iti AstAm etat | evam ca SudDa cit mAtre paryavasitam
   sarvakriyākartṛtvaṃ tanmayatāgate tasminn api siddham eva | samudre	sarva kriyA kartR tvam tad maya tA gate tasmin api sidDam eva | samudre
   līnasya jalabindoḥ iva samudraguṇaviśiṣṭatvam | avaśiṣṭaṃ mṛtaśarīram api	lInasya jalabindoH iva samudra guNa viSizwa tvam | avaSizwam mRta SarIram api
   pakṣākṣiptam {#29} eva jñeyam | nanu tathāpi videhamuktaḥ sarvāḥ kriyāḥ	pakza Akziptam {#29} eva jQeyam | nanu taTA api videha muktaH sarvAH kriyAH
   karotīty etāvanmātram eva siddham | na tu sarvaṃ bhūtvety etat siddham |	karoti iti etAvat mAtram eva sidDam | na tu sarvam BUtvA iti etat sidDam |
   tatra kā vārteti cet | satyam | tatreyaṃ vārtā | carācarāḥ bhāvāḥ kimmayāḥ	tatra kA vArtA iti ced | satyam | tatra iyam vArtA | cara acarAH BAvAH kim mayAH
   iti vicāryamāṇe tatsvarūpaṃ hastagrāhābhāvāt anirvācyatāyām eva viśrāmyati	iti vicAryamANe tad svarUpam hasta grAha aBAvAt anirvAcya tAyAm eva viSrAmyati
   | anirvācyatā eva ca śuddhacittattvasya svarūpam iti śuddhacidrūpatāṃ	| anirvAcya tA eva ca SudDa cit tattvasya svarUpam iti SudDa cit rUpa tAm
   gatasya videhamuktasya sarvabhāvo yukta eveti na ko 'pi virodhaḥ | etac ca	gatasya videha muktasya sarva BAvaH yuktaH eva iti na kaH api viroDaH | etat ca
   śuddhacittattvasvarūpam anubhavatsu pratyakṣasiddham eva | tadavidvadarthe	SudDa cit tattva svarUpam anuBavatsu pratyakza sidDam eva | tad avidvat arTe
   tu ayaṃ prayatnaḥ kṛta ity alaṃ prapañcena || MoT_3,9.18 ||	tu ayam prayatnaH kRtaH iti alam prapaQcena || MoT_3,9.18 ||
   ***NOTES:	***NOTa ES:
   #21 °yā[ḥ]	#21 °yA[H]
   #22 °citta[t]tvā°	#22 °citta[t] tvA°
   #23 °nā<ṃ>*m a*cara°	#23 °nA<M>*m a*cara°
   #24 °rth(ā)aḥ	#24 °rT(A)aH
   #25 °māṇa<ḥ>ka°	#25 °mANa<H>ka°
   #26 °ṣṭha[n]ti	#26 °zWa[n]ti
   #27 °hi[ḥ]stha°	#27 °hi[H]sTa°
   #28 °ṣa<s>[m] eva	#28 °za< s>[m] eva
   #29 (ācāra)pa°	#29 (a AcAra)pa°
        khaṃ bhūtvā pavanaskandhān dhatte sarkṣasurāsurān /	Kam BUtvA pavana skanDAn Datte sa Rkza sura asurAn /
        kulācalagaṇo bhūtvā lokapālapurāspadam // Mo_3,9.19 //	kula acala gaNaH BUtvA lokapAla pura Aspadam // MaH _3,9.19 //
   "sarkṣasurāsurān" nakṣatradevāsurasahitān | "kulācalagaṇaḥ bhūtvā	"sa Rkza sura asurAn" nakzatra deva asura sahitAn | "kula acala gaNaH BUtvA
   lokapālapurāspadaṃ" bhavatīti sambandhaḥ || MoT_3,9.19 ||	lokapAla pura Aspadan" Bavati iti sambanDaH || MoT_3,9.19 ||
        bhūmir bhūtvā bibhartīmāṃ lokasthitim akhaṇḍitām /	BUmiH BUtvA biBarti imAm loka sTitim aKaNxitAm /
        tṛṇagulmalatā bhūtvā dadāti phalasantatim // Mo_3,9.20 //	tRNa gulma latA BUtvA dadAti Pala santatim // MaH _3,9.20 //
   spaṣṭam || MoT_3,9.20 ||	spazwam || MoT_3,9.20 ||
        bibhraj jalānalākāraṃ jvalati bhavati drutaḥ /	biBrat jala anala AkAram jvalati Bavati drutaH /
        candro 'mṛtaṃ prasravati mṛtiṃ hālāhalaṃ viṣam // Mo_3,9.21 //	candraH amRtam prasravati mRtim hAlAhalam vizam // MaH _3,9.21 //
   "jalākāraṃ bibhrad drutaḥ" dravaguṇayuktaḥ | "bhavati" | "analākāraṃ	"jala AkAram biBrat drutaH" drava guNa yuktaH | "Bavati" | "anala AkAram
   bibhrat jvalatī"ty yojyam | "candro" bhūtvā "hālāhalaṃ" {#30} bhūtveti	biBrat jvalatI"ti yojyam | "candro" BUtvA "hAlAhalan" {#30} BUtvA iti
   sambandhanīyam || MoT_3,9.21 ||	sambanDanIyam || MoT_3,9.21 ||
   ***NOTES:	***NOTa ES:
   #30 °lāh(ā)alaṃ	#30 °lAh(A)alam
        tejaḥ prakaṭayaty āśās tanoty āndhyaṃ tamo bhavat /	tejaH prakawayati ASAH tanoti AnDyam tamaH Bavat /
        śūnyaṃ sad vyomatām eti giriḥ san rodhayaty alam // Mo_3,9.22 //	SUnyam sat vyoma tAm eti giriH san roDayati alam // MaH _3,9.22 //
   "rodhayati" rodhanaṃ karoti || MoT_3,9.22 ||	"roDayati" roDanam karoti || MoT_3,9.22 ||
        karoti jaṅgamaṃ cittve sthāvaraṃ sthāvarākṛtiḥ /	karoti jaFgamam cit tve sTAvaram sTAvara AkRtiH /
        bhūtvārṇavo valayati bhūstriyaṃ valayo yathā // Mo_3,9.23 //	BUtvA arNavaH valayati BU striyam valayaH yaTA // MaH _3,9.23 //
   "cittve" cidbhāve sthitvā | cidbhāvayukto bhūtveti yāvat | "jaṅgamaṃ	"cit tve" cit BAve sTitvA | cit BAva yuktaH BUtvA iti yAvat | "jaFgamam
   karoti" "sthāvarākṛtiḥ" san {#31} "sthāvaraṃ karoti" | "arṇavaḥ bhūtvā	karoti" "sTAvara AkRtiH" san {#31} "sTAvaram karoti" | "arNavaH BUtvA
   bhūstriyaṃ" bhūr eva strī | tām "valayati" samantāt paryanteṣu āvṛṇoti |	BUstriyan" BUH eva strI | tAm "valayati" samantAt paryantezu AvRNoti |
   ko "yathā" | "valayo yathā" | "yathā valayaḥ striyaṃ" | arthāt strībhujaṃ	kaH "yaTA" | "valayaH yaTA" | "yaTA valayaH striyan" | arTAt strI Bujam
   | "valayati" | tathety arthaḥ || MoT_3,9.23 ||	| "valayati" | taTA iti arTaH || MoT_3,9.23 ||
   ***NOTES:	***NOTa ES:
   #31 san <sthāvarākṛtiḥ san>	#31 san <sTAvara AkRtiH san>
        paramārkavapur bhūtvā prakāśe 'ntar visārayan /	parama arka vapuH BUtvA prakASe antar visArayan /
        trijagattrasareṇvoghaṃ śāntam evāvatiṣṭhati // Mo_3,9.24 //	trijagattra sareNu oGam SAntam eva avatizWati // MaH _3,9.24 //
   "paramārkavapuḥ" citsūryavapuḥ | "bhūtvā" | "prakāśe" prakāśarūpāyāṃ	"parama arka vapuH" cit sUrya vapuH | "BU tvA" | "prakASe" prakASa rUpAyAm
   svabhittau | "trijagattrasareṇvoghaṃ" trijagadākhyaṃ paramāṇusamūhaṃ |	sva BittO | "trijagattrasa reNu aH GaM" trijagat AKyam paramANu samUham |
   "visārayan" vistārayan | "śāntam eva" sākṣibhāvena sthitatvāt	"visArayan" vistArayan | "SAntam eva" sAkzi BAvena sTita tvAt 
   tatkṛtakṣobharahitam ev"āvatiṣṭhati" | yuktaṃ cārkasya prakāśe	tad kRta kzoBa rahitam ev"A avatizWati" | yuktam ca arkasya prakASe
   trasareṇvoghavisāraṇaṃ śāntam avasthānaṃ ca || MoT_3,9.24 ||	trasareNu oGa visAraNam SAntam avasTAnam ca || MoT_3,9.24 ||
   viśeṣakalanām aśakyāṃ jñātvā sāmānyena kathayati	viSeza kalanAm aSakyAm jQAtvA sAmAnyena kaTayati
        yat kiñcid idam ābhāti bhātaṃ vā bhām upaiṣyati /	yat kiQcid idam ABAti BAtam vA BAm upEzyati /
        kālatrayagataṃ dṛśyaṃ tad asau sarvam eva vā // Mo_3,9.25 //	kAla traya gatam dRSyam tat asO sarvam eva vA // MaH _3,9.25 //
   "vā" pakṣāntare | "yat kiñcit idaṃ" jagat | "bhātam" pūrvaṃ sphuritaṃ |	"vA" pakza antare | "yat kiQcid idaM" jagat | "BAtam" pUrvam sPuritam |
   tathā "ābhāti" adya sphurati | tathā "bhām" sphuraṇam | "upaiṣyati" agre	taTA "a ABAti" adya sPurati | taTA "BAm" sPuraNam | "upEzyati" agre
   āgamiṣyati | "tat kālatrayagatam sarvaṃ dṛśyam asau" uktaḥ videhamuktaḥ |	Agamizyati | "tat kAla traya gatam sarvam dRSyam asO" uktaH videha muktaH |
   bhavati || MoT_3,9.25 ||	Bavati || MoT_3,9.25 ||
   atra śrīrāmaḥ pṛcchati	atra SrI rAmaH pRcCati
        katham evaṃ vada brahman bhūyate viṣamā hi me /	kaTam evam vada brahman BUyate vizamA hi me /
        dṛṣṭir eṣā tu duṣprāpā durākramyeti {#32} niścayaḥ // Mo_3,9.26 //	dRzwiH ezA tu duzprApA durAkramya iti {#32} niScayaH // MaH _3,9.26 //
   he "brahman" | tvaṃ "vada" kathaya | puruṣeṇa "evam" etādṛgguṇayuktena	he "brahman" | tvam "vada" kaTaya | puruzeNa "evam" etAdRS guNa yuktena
   videhamuktena | "katham bhūyate" kathaṃ sampadyate | "hi" yasmāt kāraṇāt |	videha muktena | "kaTam BUyate" kaTam sampadyate | "hi" yasmAt kAraNAt |
   "me niścayaḥ" | "iti" evaṃ | bhavati | "iti" kim | "iti viṣamā" kaṭhinā |	"me niScayaH" | "iti" evam | Bavati | "iti" kim | "iti vizamA" kaWinA |
   "eṣā" pūrvoktā | "dṛṣṭiḥ" videhamuktirūpā dṛṣṭiḥ | "duṣprāpā durākramyā"	"ezA" pUrva uktA | "dRzwiH" videha mukti rUpA dRzwiH | "duzprApAH durAkramyA"
   ca bhavati || MoT_3,9.26 ||	ca Bavati || MoT_3,9.26 ||
   ***NOTES:	***NOTa ES:
   #32 °ākra(ś)[m]y<a>[e]ti	#32 °Akra(S)[m]y<a>[e]ti
   śrīvasiṣṭha uttaraṃ kathayati	SrI vasizWaH uttaram kaTayati
        muktir eṣocyate rāma brahmaitat samudāhṛtam /	muktiH ezA ucyate rAma brahma etat samudAhRtam /
        nirvāṇam etat kathitaṃ śṛṇu samprāpyate katham // Mo_3,9.27 //	nirvANam etat kaTitam SRNu samprApyate kaTam // MaH _3,9.27 //
   he "rāma" | paṇḍitaiḥ "eṣā" etat videhamuktatvaṃ | "muktiḥ ucyate" |	he "rAma" | paNxitEH "ezA" etat videha mukta tvam | "muktiH ucyate" |
   jīvanmuktatvasya sattvarūpacittāśrayatvenāmuktikalpatvāt | paṇḍitaiḥ	jIvanmukta tvasya sattva rUpa citta ASraya tvena amukti kalpa tvAt | paNxitEH
   "etat" "brahma samudāhṛtam" kathitam | sarvapadārthabhāvena	"etat" "brahma samudAhRtam" kaTitam | sarva padArTa BAvena
   bṛṃhaṇābhāktvāt | paṇḍitaiḥ "etat nirvāṇaṃ kathitam" sarvathā	bRMhaNa aBAktvAt | paNxitEH "etat nirvANam kaTitam" sarvaTA
   parimitāhantāyāḥ layībhāvāt | tvaṃ "śṛṇu etat" puruṣeṇa "kathaṃ	parimita AhantAyAH layIBAvAt | tvam "SRNu etat" puruzeNa "kaTam
   prāpyate" || MoT_3,9.27 ||	prApyate" || MoT_3,9.27 ||
        yad idaṃ dṛśyate dṛśyam ahaṃtvattādisaṃyutam /	yat idam dRSyate dRSyam ahaMtvatta Adi saMyutam /
        sato 'py asyāpy anutpattyā buddhyā vaitad avāpyate // Mo_3,9.28 //	sataH api asya api anutpattyA budDyA vA etat avApyate // MaH _3,9.28 //
   asmābhiḥ | "ahaṃtvattādisaṃyutaṃ yad idam dṛśyaṃ" jagat | "dṛśyate"	asmABiH | "ahaMtvatta Adi saMyutam yat idam dRSyan" jagat | "dRSyate"
   anubhūyate | "sataḥ api" evam eva sthitasyāpi | "asya" jagataḥ |	anuBUyate | "sataH api" evam eva sTitasya api | "asya" jagataH |
   "anutpattyāḥ buddhyā" anutpannam evedam ity evaṃrūpasya abhāvasya	"anutpattyAH budDyA" anutpannam eva idam iti evaMrUpasya aBAvasya
   jñānenaiva | tajjagadviṣayānutpannatvajñāneneti yāvat | "etat" uktaguṇaṃ	jQAnena eva | tat jagat vizayAn utpanna tva jQAnena iti yAvat | "etat" ukta guNam
   videhamuktatvam | "avāpyate" prāpyate | "apivā"śabdau evaśabdārthe | etena	videha mukta tvam | "avApyate" prApyate | "apivA" SabdO eva Sabda arTe | etena
   dṛśyātyantābhāvasya videhamuktiṃ prati kāraṇatvam uktam || MoT_3,9.28 ||	dRSya atyanta aBAvasya videha muktim prati kAraNa tvam uktam || MoT_3,9.28 ||
   śrīrāmaḥ punaḥ pṛcchati	SrI rAmaH punar pRcCati
        videhamuktās trailokyaṃ sampadyante yadā tadā /	videha muktAH trElokyam sampadyante yadA tadA /
        manye te sargatām eva gatā vedyavidāṃ vara // Mo_3,9.29 //	manye te sarga tAm eva gatAH vedya vidAm varaH // MaH _3,9.29 //
   "videhamuktāḥ yadā" yadi | "trailokyaṃ sampadyante" | he "vedyavidāṃ vara"	"videha muktAH yadA" yadi | "trElokyam sampadyante" | he "vedya vidAm vara"
   | ahaṃ "manye" | "tadā te sargatām eva gatāḥ" sargabhāvam eva gatāḥ	| aham "manye" | "tadA te sarga tAm eva gatAH" sarga BAvam eva gatAH
   bhavanti | sargāntargatapadārthabhāvenaiva sphuraṇāt || MoT_3,9.29 ||	Bavanti | sarga antargata padArTa BAvena eva sPuraNAt || MoT_3,9.29 ||
   śrīvasiṣṭha uttaraṃ kathayati	SrI vasizWaH uttaram kaTayati
        vidyate cet tribhuvanaṃ tat tattāṃ samprayāntu te /	vidyate ced triBuvanam tat tat tAm samprayAntu te /
        yatra trailokyaśabdārtho na sambhavati kaścana // Mo_3,9.30 //	yatra trElokya Sabda arTaH na samBavati kaScana // MaH _3,9.30 //
        tatra trilokatāṃ yātaṃ brahmety uktyarthadhīḥ kutaḥ |	tatra triloka tAm yAtam brahma iti ukti arTa DIH kutas |
        tasmān no sambhavaty anyā jagacchabdārthakalpanā || MoT_3,9.31 ||	tasmAt no samBavati anyA jagat Sabda arTa kalpanA || MoT_3,9.31 ||
   "tribhuvanaṃ" sargaḥ |"ced" {#33} yadi | "vidyate" satyaṃ bhavati | "tat"	"triBuvanaM" sargaH |"ced" {#33} yadi | "vidyate" satyam Bavati | "tat"
   tadā | "te" videhamuktāḥ | "tattām" tribhuvanatāṃ | "samprayāntu" samyak	tadA | "te" videha muktAH | "tat tAm" triBuvana tAm | "samprayAntu" samyak 
   gacchantu | "yatra" yasmin sthāne | "kaścana trailokyaśabdārthaḥ"	gacCantu | "yatra" yasmin sTAne | "kaScana trElokya Sabda arTaH"
   trailokyaśabdayuktaḥ arthaḥ | "trailokyaśabdārthaḥ" trailokyākhyaḥ śabdaḥ	trElokya Sabda yuktaH arTaH | "trElokya Sabda arTaH" trElokya AKyaH SabdaH
   tadarthaś ceti yāvat | "na sambhavati" | "tatra" tasmin sthāne | "ity	tad arTaH ca iti yAvat | "na samBavati" | "tatra" tasmin sTAne | "ity
   uktyarthadhīḥ" evaṃrūpoktyarthākārā dhīḥ | evaṃrūpā uktiḥ evaṃrūpaḥ arthaś	ukti arTa DIH" evaMrUpa ukti arTa AkArA DIH | evaMrUpA uktiH evaMrUpaH arTaH 
   ceti yāvat | "kutaḥ" bhavati | trailokyaśabdārthayor asambhavāt | na	ca iti yAvat | "kutaH" Bavati | trElokya Sabda arTayoH asamBavAt | na
   sambhavatīty arthaḥ | "iti" kim | "iti" "brahma" lakṣaṇayā videhamuktaḥ |	samBavati iti arTaH | "iti" kim | "iti" "brahma" lakzaNayA videha muktaH |
   "trilokatāṃ" sargatāṃ | "yātaṃ" bhavati | upasaṃhāraṃ karoti "tasmād" iti	"tri lokatAM" sarga tAm | "yAtaM" Bavati | upasaMhAram karoti "tasmAd" iti
   | "tasmāt" tato hetoḥ | "anyā" brahmaṇaḥ anyā | "jagacchabdārthakalpanā"	| "tasmAt" tatas hetoH | "anyA" brahmaNaH anyA | "jagat Sabda arTa kalpanA"
   jagacchabdārtharūpā kalpanā | "na" bhavati || MoT_3,9.30 31 ||	jagat Sabda arTa rUpA kalpanA | "na" Bavati || MoT_3,9.30 31 ||
   ***NOTES:	***NOTa ES:
   #33 ce[d]	#33 ce[d]
   anena prasaṅgena jagadbrahmaṇoḥ aikyam eva punaḥ punaḥ kathayati	anena prasaFgena jagat brahmaNoH Ekyam eva punar punar kaTayati
        ananyac chāntam ābhāsamātram ākāśanirmalam /	ananyat SAntam ABAsa mAtram AkASa nirmalam /
        brahmaiva jagad ity eva satyaṃ satyāvabodhinaḥ // Mo_3,9.32 //	brahma eva jagat iti eva satyam satya avaboDinaH // MaH _3,9.32 //
   "jagat" kartṛ | "ananyat" sarvarūpatvena sthitatvāt	"jagat" kartR | "ananyat" sarva rUpa tvena sTita tvAt 
   svavyatiriktavasturahitaṃ | "śāntaṃ" svarūpe viśrāntam | "ābhāsamātrakam"	sva vyatirikta vastu rahitam | "SAntaM" svarUpe viSrAntam | "a ABAsa mAtrakam"
   ābhāsamātrasvarūpam | "ākāśanirmalam" ākāśavat svaccham | "brahma eva"	ABAsa mAtra svarUpam | "a AkASa nirmalam" AkASa vat svacCam | "brahma eva"
   bhavati | "ity eva" etad eva | "satyāvabodhinaḥ" satyajñānayuktasya |	Bavati | "itI eva" etat eva | "satya avaboDinaH" satya jQAna yuktasya |
