   1. Gaurava Vilasa	1. GOrava  Vilasa
   sa karpūreṇa rājendra kṛṣṇa tulyā bhavanti te // Hbhv_8.16 //	sa karpUreNa rAja indra kRzNa tulyAH Bavanti te // HBu _8.16 //
   sājyena vai guggulunā su dhūpena janārdanam |	sa Ajyena vE guggulunA su DUpena janArdanam |
   dhūpayitvā naro yāti padaṃ tasya sadā śivaṃ // Hbhv_8.17 //	DUpayitvA naraH yAti padam tasya sadA Sivam // HBu _8.17 //
   aguruṃ tu sa karpūra divya candana saurabham |	agurum tu sa karpUra divya  candana  sOraBam |
   dattvā nityaṃ harer bhaktyā kulānāṃ tārayec chatam // Hbhv_8.18 //	dattvA nityam hareH BaktyA kulAnAm tArayet Satam // HBu _8.18 //
   viṣṇu dharmottara trtiya khaṇḍe  	vizNu  Darma uttara trtiya  KaNxe  
   dhūpanam uttamaṃ tadvat sarva kama phala pradam |	DUpanam uttamam tadvat sarva kama  Pala  pradam |
   dhūpaṃ turuṣkakaṃ dattvā vahnistoma phalaṃ labhet // Hbhv_8.19 //	DUpam turuzkakam dattvA vahni stoma  Palam laBet // HBu _8.19 //
   dattvā tu kṛtrimaṃ mukhyaṃ sarva kāmān avāpnuyāt |	dattvA tu kRtrimam muKyam sarva kAmAn avApnuyAt |
   gandha yukta kṛtaṃ dattvā yajña gosavaṃ āpnuyāt // Hbhv_8.20 //	ganDa  yukta kRtam dattvA yajQa  gosavam ApnuyAt // HBu _8.20 //
   dattvā karpūra niryāsaṃ vājimedha phalaṃ labhet |	dattvA karpUra niryAsam vAjimeDa  Palam laBet |
   vasante guggulaṃ dattvā vahnistomaṃ avāpnuyāt // Hbhv_8.21 //	vasante guggulam dattvA vahni stomam avApnuyAt // HBu _8.21 //
   grīṣme candana sāreṇa rājasūya phalaṃ labhet |	grIzme candana  sAreNa rAjasUya  Palam laBet |
   turuṣkasya pradānena pravṛṣy uttamatāṃ labhet // Hbhv_8.22 //	turuzkasya pradAnena pravRzi uttamatAm laBet // HBu _8.22 //
   karpūra dānāc charadi rājasūyaṃ avāpnuyāt // Hbhv_8.23 //	karpUra dAnAt Saradi rAjasUyam avApnuyAt // HBu _8.23 //
   hemante mrga darpeṇa vājimedha phalaṃ labhet |	hemante mrga darpeNa vAjimeDa  Palam laBet |
   śiśire 'guru sarena sarva medha phalaṃ labhet // Hbhv_8.24 //	SiSire aguru sarena sarva meDa  Palam laBet // HBu _8.24 //
   padam uttamaṃ āpnoti dhūpa daḥ puṣṭim aśnute |	padam uttamam Apnoti DUpa daH puzwim aSnute |
   dhūpa lekha yathāivordhvam nityaṃ eva prasarpati |	DUpa leKa yaTA aiva UrDvam nityam eva prasarpati |
   tathāivordhva gato nityaṃ dhūpa dānād bhaven naraḥ // Hbhv_8.25 //	taTA aiva UrDva  gataH nityam DUpa dAnAt Bavet naraH // HBu _8.25 //
   prahlāda saṃhitāyāṃ ca	prahlAda  saMhitAyAm ca
   yo dadāti harer dhūpam tulasī kāṣṭha vahninā |	yaH dadAti hareH DUpam tulasI kAzWa  vahninA |
   śata kratu samaṃ puṇyaṃ go 'yutaṃ labhate phalaṃ // Hbhv_8.26 //	Sata kratu  samam puNyam gaH ayutam laBate Palam // HBu _8.26 //
   iti |	iti |
   dhūpayec ca tathā samyak śrīmad bhagavad ālayaṃ |	DUpayet ca taTA samyak SrI mat  Bagavat  Alayam |
   dhūpa śeṣaṃ tato bhaktyā svayaṃ seveta vaiṣṇavaḥ // Hbhv_8.27 //	DUpa Sezam tatas BaktyA svayam seveta vEzNavaH // HBu _8.27 //
   tathā ca brāhme ambarisaṃ prati gautama praśne   	taTA ca brAhme ambarisam prati gOtama  praSne   
   dhūpa śeṣaṃ tu kṛṣṇasya bhaktyā bhajasi bhūpate |	DUpa  Sezam tu kRzNasya BaktyA Bajasi BUpate |
   kṛtvā cārātrikaṃ viṣṇoḥ sva mūrdhnā vandase nṛpa // Hbhv_8.28 //	kRtvA ca ArAtrikam vizNoH sva mUrDnA vandase nRpa // HBu _8.28 //
   atha śrī bhagavad alaya dhūpana māhātmyaṃ	aTa SrI  Bagavat  alaya  DUpana  mAhAtmyam
   kṛṣṇāguru samutthena dhūpena śrīdharālayam |	kRzNa aguru  samutTena DUpena SrIDara Alayam |
   dhūpayed vaiṣṇavo yas tu sa mukto narakārṇavat // Hbhv_8.29 //	DUpayet vEzNavaH yaH tu sa muktaH naraka arNavat // HBu _8.29 //
   dhūpa śeṣa sevana māhātmyam	DUpa  Seza  sevana  mAhAtmyam
   pādme śrī gautamāmbarīṣa saṃvāde  	pAdme SrI  gOtama ambarIza  saMvAde  
   tīrtha koṭi śatair dhauto yathā bhavati nirmalaḥ |	tIrTa  kowi  SatEH DOtaH yaTA Bavati nirmalaH |
   karoti nirmalaṃ dehaṃ dhūpa śeṣas tathā hareḥ // Hbhv_8.30 //	karoti nirmalam deham DUpa SezaH taTA hareH // HBu _8.30 //
   na bhayaṃ vidyate tasya bhaumaṃ divyaṃ rāsātalam |	na Bayam vidyate tasya BOmam divyam rAsAtalam |
   kṛṣṇa dhūpāvaśeṣena yasyāṅgaṃ parivāsitam // Hbhv_8.31 //	kRzNa DUpa avaSezena yasya aFgam parivAsitam // HBu _8.31 //
   nāpado vipadas tasya bhavanti khalu dehinaḥ |	na ApadaH vipadaH tasya Bavanti Kalu dehinaH |
   harer dattāvaśeṣena dhūpayed yas tanuṃ sadā // Hbhv_8.32 //	hareH datta avaSezena DUpayet yaH tanum sadA // HBu _8.32 //
   nāsaukhyaṃ na bhayaṃ duḥkhaṃ nādhijaṃ naiva rogajam |	na asOKyam na Bayam duHKam na aDijam na eva roga jam |
   yaḥ sevayed dhūpa śeṣaṃ viṣṇor adbhuta karmaṇaḥ // Hbhv_8.33 //	yaH sevayet DUpa  Sezam vizNoH adButa karmaNaH // HBu _8.33 //
   krūra sattva bhayaṃ naiva na ca caura bhayaṃ kvacit |	krUra  sattva Bayam na eva na ca cOra Bayam kvacid |
   sevayitvā harer dhūpaṃ nirmālyaṃ padayor jalam // Hbhv_8.34 //	sevayitvA hareH DUpam nirmAlyam padayoH jalam // HBu _8.34 //
   hari bhakti sudhodaye ca 	hari  Bakti suDA udaye ca 
   āghrāṇaṃ yad dharer dattaṃ dhūpocchiṣṭasya sarvataḥ |	AGrANam yat DareH dattam DUpa ucCizwasya sarvatas |
   tad bhava vyāla daṣṭānāṃ bhavet karma viṣāpahaṃ // Hbhv_8.35 //	tad  Bava  vyAla  dazwAnAm Bavet karma  viza apaham // HBu _8.35 //
   iti |	iti |
   darśanād api dhūpasya dhūpa dānādi jaṃ phalam |	darSanAt api DUpasya DUpa dAna Adi  jam Palam |
   sarvaṃ anye'pi vindanti tac cāgre vyatiṃ eṣyati // Hbhv_8.36 //	sarvam anye api vindanti tat ca agre vyatim ezyati // HBu _8.36 //
   atha dīpanaṃ	aTa dIpanam
   tathaiṭa dīpam utsṛjya prāgvad ghaṇṭaṃ ca vādayan |	taTA ewa dIpam utsRjya prAgvat GaNwam ca vAdayan |
   padābjād adṛg abjāntaṃ mudrayoccaiḥ pradīpayet // Hbhv_8.37 //	pada abjAt adRS  abja antam mudraya uccEs pradIpayet // HBu _8.37 //
   tatra mantraḥ	tatra mantraH
   gautamīye 	gOtamIye 
   su prakāśo mahā tejah sarvatas timirāpahaḥ |	su prakASaH mahA tejam sarvatas timira apahaH |
   sa bāhyābhyantara jyotir dīpo 'yaṃ pratigṛhyatām // Hbhv_8.38 //	sa bAhya aByantara  jyotiH dIpaH ayam pratigRhyatAm // HBu _8.38 //
   atha dīpaḥ	aTa dIpaH
   dīpaṃ prajvalayet śaktau karpūrena ghṛtena vā |	dIpam prajvalayet SaktO karpUrena GRtena vA |
   gavyena tatrāsāmārthye tailenāpi su gandhinā // Hbhv_8.39 //	gavyena tatra AsAmArTye tElena api su ganDinA // HBu _8.39 //
   tathā ca nāradīya kalpe 	taTA ca nAradIya kalpe 
   sa ghṛtaṃ guggulaṃ dhūpaṃ dīpaṃ go ghṛta dīpitam |	sa  GRtam guggulam DUpam dIpam go GRta dIpitam |
   samasta parivārāya haraye śraddhayārpayet // Hbhv_8.40 //	samasta parivArAya haraye SradDayA arpayet // HBu _8.40 //
   bhaviṣyottare 	Bavizyottare 
   ghṛtena dīpo dātavyo rājan tailena vā punaḥ // Hbhv_8.41 //	GRtena dIpaH dAtavyaH rAjan tElena vA punar // HBu _8.41 //
   mahābhārate ca 	mahABArate ca 
   haviṣā prathamaḥ kalpo dvitīyaś cauṣadhorasaiḥ // Hbhv_8.42 //	havizA praTamaH kalpaH dvitIyaH ca OzaDa urasEH // HBu _8.42 //
   atha dīpe niṣiddhaṃ	aTa dIpe nizidDam
   bhaviṣyottare 	Bavizyottare 
   vasā majjādibhir dīpo na tu deyaḥ kadācana // Hbhv_8.43 //	vasA majja AdiBiH dIpaH na tu deyaH kadAcana // HBu _8.43 //
   mahābhārate 	mahABArate 
   vasā majjāsthi niryāsair na kāryaḥ puṣṭiṃ icchata // Hbhv_8.44 //	vasA  majja asTi  niryAsEH na kAryaH puzwim icCata // HBu _8.44 //
   viṣṇu dharmottare tṛtīya khaṇḍe 	vizNu  Darma uttare tRtIya   KaNxe 
   nīla rakta daśaṃ dīpaṃ prayatnena vivarjayet // Hbhv_8.45 //	nIla rakta daSam dIpam prayatnena vivarjayet // HBu _8.45 //
   kālikā purāṇe 	kAlikA purANe 
   dīpa vṛkṣaś ca kartavyas taijāsādyaiś ca bhairava |	dIpa vRkzaH ca kartavyaH tEjAsa AdyEH ca BErava |
   vṛkṣeṣu dīpo dātavyo na tu bhūmau kadācana // Hbhv_8.46 //	vRkzezu dIpaH dAtavyaH na tu BUmO kadAcana // HBu _8.46 //
   atha dīpa māhātmyaṃ	aTa dIpa mAhAtmyam
   skānde brahma nārada saṃvāde 	skAnde brahma nArada  saMvAde 
   prajvālya deva devasya karpūrena ca dīpakam |	prajvAlya deva devasya karpUrena ca dIpakam |
   aśvamedhaṃ avāpnoti kulaṃ caiva samuddharet // Hbhv_8.47 //	aSvameDam avApnoti kulam ca eva samudDaret // HBu _8.47 //
   atraivānyatra ca 	atra eva anyatra ca 
   yo dadāti mahī pāla kṛṣṇasyāgre tu dīpakam |	yaH dadAti mahI  pAla kRzNasya agre tu dIpakam |
   pātakaṃ tu samutsṛjya jyotī rūpaṃ labhet phalam // Hbhv_8.48 //	pAtakam tu samutsRjya jyotI  rUpam laBet Palam // HBu _8.48 //
   vārāhe 	vArAhe 
   dīpaṃ dadāti yo devi mad bhaktyā tu vyavasthitaḥ |	dIpam dadAti yaH devi mad  BaktyA tu vyavasTitaH |
   nātrāndhatvaṃ bhavet tasya sapta janmani sundari // Hbhv_8.49 //	na atra anDa tvam Bavet tasya sapta  janmani sundari // HBu _8.49 //
   yas tu dadyāt pradīpaṃ me sarvataḥ sraddhayānvitaḥ |	yaH tu dadyAt pradIpam me sarvatas sradDayA anvitaH |
   svayam prabheṣu deśeṣu tasyotpattir vidhīyate // Hbhv_8.50 //	svayam  praBezu deSezu tasya utpattiH viDIyate // HBu _8.50 //
   hari bhakti sudhodaye 	hari  Bakti suDA udaye 
   dattaṃ sva jyotiṣe jyotir yad vistārayati prabhām |	dattam sva  jyotize jyotiH yat vistArayati praBAm |
   tadvad dharyati saj jyotir dātuḥ pāpatamo 'pahaṃ // Hbhv_8.51 //	tadvat Daryati saj jyotiH dAtuH pApatamaH apaham // HBu _8.51 //
   nārasiṃhe 	nArasiMhe 
   ghṛtena vātha tailena dīpaṃ prajvalayen naraḥ |	GRtena vA aTa tElena dIpam prajvalayet naraH |
   viṣṇave vidhivad bhaktyā tasya puṇya phalaṃ śṛṇu // Hbhv_8.52 //	vizNave viDivat BaktyA tasya puNya Palam SRNu // HBu _8.52 //
   vihāya pāpaṃ sakalaṃ sahasrāditya sa prabhaḥ |	vihAya pApam sakalam sahasrAt iti a  sa praBaH |
   jyotiṣmatā vimānena viṣṇu loke mahīyate // Hbhv_8.53 //	jyotizmatA vimAnena vizNu  loke mahIyate // HBu _8.53 //
   prahlāda saṃhitāyāṃ	prahlAda  saMhitAyAm
   ca tulasī pavakenaiva dīpaṃ yaḥ kurute hareḥ |	ca tulasI  pavakena eva dIpam yaH kurute hareH |
   dīpa lakṣa sahasrāṇāṃ puṇyaṃ bhavati daityaja // Hbhv_8.54 //	dIpa lakza  sahasrANAm puNyam Bavati dEtya jaH // HBu _8.54 //
   iti |	iti |
   paścād dīpaṃ ca taṃ bhaktyā mūrdhnā vandeta vaiṣṇavaḥ |	paScAt dIpam ca tam BaktyA mUrDnA vandeta vEzNavaH |
   dhūpasyevekṣaṇāt tasya labhante'nye'pi tat phalam // Hbhv_8.55 //	DUpasya Iva IkzaNAt tasya laBante anye api tat Palam // HBu _8.55 //
   kecic cānena dīpena śrī mūrter mūrdhni vaiṣṇavaḥ |	kecid ca anena dIpena SrI mUrteH mUrDni vEzNavaH |
   nīrājanaṃ ihecchanti mahā nīrājane yathā // Hbhv_8.56 //	nIrAjanam iha icCanti mahA  nIrAjane yaTA // HBu _8.56 //
   tathā ca rāmārcana candrikāyāṃ dhūpānantaraṃ dīpa prasaṅge 	taTA ca rAma arcana  candrikAyAm DUpa anantaram dIpa  prasaFge 
   ārātrikaṃ tu viṣama bahu varti samanvitam |	ArAtrikam tu vizama  bahu varti  samanvitam |
   abhyarcya rāmacandrāya vāma madhyam athārpayet // Hbhv_8.57 //	aByarcya rAmacandrAya vAma  maDyam aTa arpayet // HBu _8.57 //
   namo dīpeśvarāyeti dadyāt puṣpāñjaliṃ tataḥ |	namaH dIpeSvarAya iti dadyAt puzpa aQjalim tatas |
   avadhūpyābhyarcya vādyair mūrdhni nīrājayet prabhum // Hbhv_8.58 //	avaDUpya aByarcya vAdyEH mUrDni nIrAjayet praBum // HBu _8.58 //
   iti |	iti |
   ata eveṣyate tasya karābhyāṃ vandanaṃ ca taiḥ |	atas eva izyate tasya karAByAm vandanam ca tEH |
   nāma cārātrikety ādi vartyo 'pi bahulāḥ samāḥ // Hbhv_8.59 //	nAma ca arAtrikA iti Adi vartyaH api bahulAH samAH // HBu _8.59 //
   prasaṅgāl likhyate'traiva śrīmad bhagavad ālaye |	prasaFgAt liKyate atra eva SrI mat  Bagavat  Alaye |
   dīpa dānasya māhātmyaṃ kārttikīyaṃ ca tad vinā // Hbhv_8.60 //	dIpa  dAnasya mAhAtmyam kArttikIyam ca tat vinA // HBu _8.60 //
   atha śrī bhagavad ālaye dīpa pradāna māhātmyam	aTa SrI  Bagavat  Alaye dIpa  pradAna  mAhAtmyam
   viṣṇu dharmottare prathama kāṇḍe [1.166.17ff, mixed up] 	vizNu  Darma uttare praTama kANxe [1.166.17ff, mixet up] 
   dīpa dānāt paraṃ dānaṃ na bhūtaṃ na bhaviṣyati |	dIpa dAnAt param dAnam na BUtam na Bavizyati |
   keśavāyatane kṛtvā dīpa vṛkṣā manoharam |	keSava Ayatane kRtvA dIpa vRkzA  manoharam |
   atīva bhrājate lakṣmyā divam āsādya sarvataḥ // Hbhv_8.61 //	atIva BrAjate lakzmyA divam AsAdya sarvatas // HBu _8.61 //
   dīpa mālāṃ prayacchanti ye narāḥ śārṅgiṇo gṛhe |	dIpa mAlAm prayacCanti ye narAH SArFgiNaH gRhe |
   bhavanti te candra samāḥ svargam āsādya mānavāḥ // Hbhv_8.62 //	Bavanti te candra  samAH svargam AsAdya mAnavAH // HBu _8.62 //
   dīpāgāraṃ naraḥ kṛtvā kūtāgāra nibhaṃ śubham |	dIpa AgAram naraH kRtvA kUta AgAra  niBam SuBam |
   keśavālayam āsādya loke bhāti sa śakravat // Hbhv_8.63 //	keSava Alayam AsAdya loke BAti sa Sakra vat // HBu _8.63 //
   yathojjvalo bhaved dīpaḥ sampradātāpi yādava |	yaTA ujjvalaH Bavet dIpaH sampradAtA api yAdava |
   tathā nityojjvalo loke nākapṛṣṭhe virājate // Hbhv_8.64 //	taTA nitya ujjvalaH loke nAka pRzWe virAjate // HBu _8.64 //
   sa dīpe ca yathā dese cakṣūṃsi phalavanti ca |	sa dIpe ca yaTA dese cakzUMsi Palavanti ca |
   tathā dīpasya dataro bhavanti sa phalekṣanaḥ // Hbhv_8.65 //	taTA dIpasya dataraH Bavanti sa Pala IkzanaH // HBu _8.65 //
   ekādaśyāṃ ca dvādaśyāṃ prati pakṣaṃ tu yo naraḥ |	ekAdaSyAm ca dvAdaSyAm prati pakzam tu yaH naraH |
   dīpaṃ dadāti kṛṣṇāya tasya puṇya phalaṃ śṛṇu // Hbhv_8.66 //	dIpam dadAti kRzNAya tasya puNya Palam SRNu // HBu _8.66 //
   suvarṇa maṇi muktāḍhyam manojñam ati sundaram |	suvarNa maNi  muktA AXyam manojQam ati sundaram |
   dīpa mālā kulaṃ divyaṃ vimānam adhirohati // Hbhv_8.67 //	dIpa mAlA kulam divyam vimAnam aDirohati // HBu _8.67 //
   padma sutrodbhavaṃ vartti gandha tailena dīpakān |	padma  sutra udBavam vartti ganDa tElena dIpakAn |
   virogaḥ subhagaś caiva dattvā bhavati mānavaḥ // Hbhv_8.68 //	virogaH suBagaH ca eva dattvA Bavati mAnavaH // HBu _8.68 //
   dīpa danaṃ mahā puṇyam anya deveṣv api dhruvam |	dIpa danam mahA  puNyam anya devezu api Druvam |
   kiṃ punar vāsudevasyānantasya tu mahātmanaḥ // Hbhv_8.69 //	kim punar vAsudevasya anantasya tu mahAtmanaH // HBu _8.69 //
   tatraiva tṛtīya khaṇḍe 	tatra eva tRtIya   KaNxe 
   dīpaṃ cakṣuḥ pradaṃ dadyāt tathaivordhva gati pradam |	dIpam cakzuH  pradam dadyAt taTA eva UrDva  gati  pradam |
   ūrdhvaṃ yathā dīpa śikhā dātā cordhva gatis tathā // Hbhv_8.70 //	UrDvam yaTA dIpa SiKA dAtA ca UrDva  gatiH taTA // HBu _8.70 //
   yāvad akṣi nimeṣāṇi dīpo devālaye jvalet |	yAvat akzi  nimezANi dIpaH devAlaye jvalet |
   tāvad varṣa sahasrāṇi nāka pṛṣṭhe mahīyate // Hbhv_8.71 //	tAvat varza  sahasrANi nAka  pRzWe mahIyate // HBu _8.71 //
   brhan nāradīye vitihotraṃ prati yajñadhvajasya pūrva janma vṛtta kathane 	brhan  nAradIye vitihotram prati yajQaDvajasya pUrva janma  vRtta  kaTane 
   pradīpaḥ sthāpitas tatra suratārthaṃ dvijottama |	pradIpaH sTApitaH tatra surata arTam dvijottamaH |
   tenāpi mama duṣkarma nihśeṣaṃ kṣayam agatam // Hbhv_8.72 //	tena api mama duzkarma nihSezam kzayam agatam // HBu _8.72 //
   viṣṇu dharme ca 	vizNu  Darme ca 
   vilīyate sva haste tu sva tantre sati dīpakaḥ |	vilIyate sva  haste tu sva tantre sati dIpakaH |
   mahā phalo viṣṇu gṛhe na datto narakāya saḥ // Hbhv_8.73 //	mahA PalaH vizNu  gRhe na dattaH narakAya saH // HBu _8.73 //
   nāradīye mohinīṃ prati śrī rukmāṅgadoktau 	nAradIye mohinIm prati SrI rukma aFgada uktO 
   tiṣṭhantu bahu vittāni dānārthaṃ vara varṇini |	tizWantu bahu vittAni dAna arTam vara varNini |
   hṛdayāyāsa kartṛṇi dīpa dānād divaṃ vrajet // Hbhv_8.74 //	hRdaya AyAsa kartRNi dIpa  dAnAt divam vrajet // HBu _8.74 //
   tasyāpy abhāve subhage para dīpa prabodhanam |	tasya api aBAve suBage para dIpa  praboDanam |
   kartavyaṃ bhakti bhāvena sarva dānādhikaś ca yat // Hbhv_8.75 //	kartavyam Bakti BAvena sarva dAna aDikaH ca yat // HBu _8.75 //
   iti |	iti |
   sada kala viśeṣe'pi bhaktyā bhagavad ālaye |	sada kala  viSeze api BaktyA Bagavat  Alaye |
   mahā dīpa pradānasya mahimāpy atra likhyāte // Hbhv_8.76 //	mahA dIpa  pradAnasya mahimA api atra liKyAte // HBu _8.76 //
   atha mahādīpa māhātmyam	aTa mahA dIpa  mAhAtmyam
   viṣṇu dharmottare prathama khaṇḍe 	vizNu  Darma uttare praTama  KaNxe 
   mahāvarttiḥ sadā deyā bhūmi pāla mahā phalā |	mahAvarttiH sadA deyA BUmi pAla mahA PalA |
   kṛṣṇa pakṣe viśeṣeṇa tatrāpi sa viśeṣataḥ // Hbhv_8.77 //	kRzNa  pakze viSezeNa tatra api sa viSezataH // HBu _8.77 //
   amāvasyā ca nirdiṣṭā dvādaśī ca mahāphalā |	amAvasyA ca nirdizwA dvAdaSI ca mahA PalA |
   aśva yujyām atītāyāṃ kṛṣṇa pakṣaś ca yo bhavet // Hbhv_8.78 //	aSva yujyAm atItAyAm kRzNa pakzaH ca yaH Bavet // HBu _8.78 //
   amāvasyā tadā puṇyā dvādaśī ca viśeṣataḥ |	amAvasyA tadA puNyA dvAdaSI ca viSezataH |
   devasya dakṣiṇe pārśve deyā taila tulā nṛpa // Hbhv_8.79 //	devasya dakziNe pArSve deyA tEla tulA nRpa // HBu _8.79 //
   palāṣṭaka yutāṃ rājan vartti tatra ca dāpayet |	pala azwaka  yutAm rAjan vartti tatra ca dApayet |
   vāsasā tu samagreṇa sopavāso jitendriyaḥ // Hbhv_8.80 //	vAsasA tu samagreNa sa upavAsaH jita indriyaH // HBu _8.80 //
   mahāvartti dvayam idaṃ sakṛd dattvā mahāmate |	mahAvartti  dvayam idam sakRt dattvA mahAmate |
   svar lokaṃ su ciraṃ bhuktvā jāyate bhū tale yadā // Hbhv_8.81 //	svar  lokam su ciram BuktvA jAyate BU  tale yadA // HBu _8.81 //
   tadā bhavati lakṣmīvān jaya draviṇa samyutaḥ |	tadA Bavati lakzmIvAn jaya  draviNa  samyutaH |
   rāṣṭre ca jāyate svasmin deśe ca nagare tathā // Hbhv_8.82 //	rAzwre ca jAyate svasmin deSe ca nagare taTA // HBu _8.82 //
   kule ca rāja śārdūla tatra syād dīpavat prabhaḥ |	kule ca rAja  SArdUla tatra syAt dIpavat  praBaH |
   pratyujjvalaś ca bhavati yuddheṣu kalaheṣu ca // Hbhv_8.83 //	pratyujjvalaH ca Bavati yudDezu kalahezu ca // HBu _8.83 //
   khyātiṃ yāti tathā loke sad guṇānāṃ ca sad guṇaiḥ |	KyAtim yAti taTA loke sat  guNAnAm ca sat  guNEH |
   ekam apy atha yo dadyād abhīṣṭatamayor dvayoḥ // Hbhv_8.84 //	ekam api aTa yaH dadyAt aBIzwa tamayoH dvayoH // HBu _8.84 //
   manuṣye sarvam āpnoti yad uktaṃ te mahānagha |	manuzye sarvam Apnoti yat uktam te mahA an aGa |
   svarge tathātvam āpnoti bhoga kāle tu yādava // Hbhv_8.85 //	svarge taTAtvam Apnoti Boga  kAle tu yAdava // HBu _8.85 //
   samānyasya tu dīpasya rājan dānaṃ mahāphalam |	samAnyasya tu dIpasya rAjan dAnam mahA Palam |
   kiṃ punar mahato dīpasyātreyatta na vidyate // Hbhv_8.86 //	kim punar mahataH dIpasya atreyatta na vidyate // HBu _8.86 //
   atha sona malinadi vastra varttya dīpa dana nisedhaḥ	aTa sona malina di vastra varttya dIpa  dana  niseDaH
   śoṇaṃ vādarakaṃ vastraṃ jīrṇaṃ malinam eva ca |	SoNam vA Adarakam vastram jIrNam malinam eva ca |
   upabhuktaṃ na vā dadyāt varttikārthaṃ kadācana // Hbhv_8.87 //	upaBuktam na vA dadyAt varttikA arTam kadAcana // HBu _8.87 //
   iti |	iti |
   svayam anyena vā dattaṃ dīpān na śrī harer haret |	svayam anyena vA dattam dIpAn na SrI  hareH haret |
   nirvāpayen na hiṃsāc ca śubhaṃ icchan kadācana // Hbhv_8.88 //	nirvApayet na hiMsAt ca SuBam icCan kadAcana // HBu _8.88 //
   atha dīpa nirvāpanādi doṣaḥ	aTa dIpa  nirvApana Adi dozaH
   viṣṇu dharmottare prathama khaṇḍe 	vizNu  Darma uttare praTama  KaNxe 
   dattvā dīpo na hartavyas tena karma vijānatā |	dattvA dIpaH na hartavyaH tena karma vijAnatA |
   nirvāpanaṃ ca dīpasya hiṃsanaṃ ca vigarhitam // Hbhv_8.89 //	nirvApanam ca dIpasya hiMsanam ca vigarhitam // HBu _8.89 //
   yaḥ kuryād dhiṃsanaṃ tena karmaṇā puṣpitekṣaṇaḥ |	yaH kuryAt DiMsanam tena karmaNA puzpita IkzaNaH |
   dīpa hartā bhaved andhaḥ kaṇo nirvāṇa kṛd bhavet // Hbhv_8.90 //	dIpa hartA Bavet anDaH kaNaH nirvANa  kRt Bavet // HBu _8.90 //
   viṣṇu dharme ca nārakān prati śrī dharmarājoktau 	vizNu  Darme ca nArakAn prati SrI  DarmarAja uktO 
   yuṣmābhir yauvanonmādam uditair avivekibhiḥ |	yuzmABiH yOvana unmAdam uditEH avivekiBiH |
   dyutodyotaya govinda gehād dīpaḥ purā hṛtaḥ // Hbhv_8.91 //	dyuta udyotaya govinda  gehAt dIpaH purA hRtaH // HBu _8.91 //
   tenādya narake ghore kṣut tṛṣṇā paripīḍitāḥ |	tena adya narake Gore kzut  tRzNA  paripIxitAH |
   bhavanti patitās tīvre śīta vāta vidāritāḥ // Hbhv_8.92 //	Bavanti patitAH tIvre SIta vAta  vidAritAH // HBu _8.92 //
   tatraiva śrī pulastyoktau ca 	tatra eva SrI  pulastya uktO ca 
   tasmād āyātane viṣṇor dadyād dīpān dvijottama |	tasmAt AyAtane vizNoH dadyAt dIpAn dvijottamaH |
   tāmś ca dattvā na hiṃseta na ca taila viyojitān // Hbhv_8.93 //	tAmH ca dattvA na hiMseta na ca tEla  viyojitAn // HBu _8.93 //
   kurvīta dīpa hantā ca mūko 'ndho jāyate mṛtaḥ |	kurvIta dIpa hantA ca mUkaH anDaH jAyate mRtaH |
   andhe tamasi duṣpare narake pacyate kila // Hbhv_8.94 //	anDe tamasi duzpare narake pacyate kila // HBu _8.94 //
   bhūmau dīpa dana nisedhaḥ	BUmO dIpa  dana  niseDaH
   kālikā purāṇe 	kAlikA purANe 
   dīpa vṛkṣaś ca kartavyas taijāsādyaiś ca bhairava |	dIpa vRkzaH ca kartavyaH tEjAsa AdyEH ca BErava |
   vṛkṣeṣu dīpo dātavyo na tu bhūmau kadācana // Hbhv_8.95 //	vRkzezu dIpaH dAtavyaH na tu BUmO kadAcana // HBu _8.95 //
   atha naivedyaṃ	aTa nEvedyam
   dattvā puṣpāñjaliṃ pīṭhaṃ padyam ācamanaṃ tathā |	dattvA puzpa aQjalim pIWam padyam Acamanam taTA |
   kṛtvā pātreṣu kṛṣṇāyārpayed bhojyaṃ yathā vidhi // Hbhv_8.96 //	kRtvA pAtrezu kRzNAya arpayet Bojyam yaTA viDi // HBu _8.96 //
   atha naivedyarpana vidhiḥ	aTa nEvedyarpana viDiH
   astraṃ japtvāmbunā prokṣya naivedyaṃ cakra mudrayā |	astram japtvA ambunA prokzya nEvedyam cakra mudrayA |
   saṃrakṣya prokṣayed vāyu bīja japta jalena ca // Hbhv_8.97 //	saMrakzya prokzayet vAyu  bIja  japta  jalena ca // HBu _8.97 //
   tena saṃśoṣya tad doṣam agni bījaṃ ca dakṣiṇe |	tena saMSozya tad  dozam agni bIjam ca dakziNe |
   dhyātvā kara tale'nyat tat pṛṣṭhe saṃyojya darśyate // Hbhv_8.98 //	DyAtvA kara tale anyat tat pRzWe saMyojya darSyate // HBu _8.98 //
   tad uttha vahninā tasya śuṣka doṣaṃ hṛdā dahet |	tad  utTa  vahninA tasya Suzka dozam hRdA dahet |
   tataḥ kara tale savye'mṛta bījaṃ vicintayet // Hbhv_8.99 //	tatas kara tale savye amRta bIjam vicintayet // HBu _8.99 //
   tat pṛṣṭhe dakṣiṇaṃ pani talaṃ saṃyojya darśayet |	tat  pRzWe dakziNam pani talam saMyojya darSayet |
