   Kṣaṇabhaṅgasiddhiḥ /	KzaNa BaFga sidDiH /
   prathamakāryyotpādanakāle hṛttarakāryyotpādanasvabhāvaḥ / ataḥ	praTama kAryya utpAdana kAle hRttara kAryya utpAdana svaBAvaH / atas 
   prathamakāla evāśeṣāṇi kāryyāṇi kuryyāditi / tadidaṃ mātā me	praTama kAle eva aSezANi kAryyANi kuryyAt iti / tat idam mAtA me
   vandhyetyādivat svavacananirodhādayuktaṃ, yo hṛttarakāryyajananasvabhāvaḥ	vanDyA ityAdi vat sva vacana niroDAt ayuktan, yaH hRttara kAryI ajanana svaBAvaH
   sa kathamādau kāryyaṃ kuryyāt / na tarhi tatkāryyakaraṇasvabhāvaḥ na hi	sa kaTam AdO kAryyam kuryyAt / na tarhi tad kAryya karaNa svaBAvaH na hi
   nīlotpādanasvabhāvaḥ pītādikamapi karotīti /	nIla utpAdana svaBAvaH pIta Adikam api karoti iti /
   atrocyate / sthirasvabhāvatve hi bhāvasya uttarakālamevedaṃ kāryyaṃ na	atra ucyate / sTira svaBAva tve hi BAvasya uttara kAlam eva idam kAryyam na
   pūrvvakālamiti kuta etat / tadabhāvācca kāraṇamapi	pUrvvakAlam iti kutas etat / tad aBAvAt ca kAraNam api
   uttarakāryyakaraṇasvabhāvamityapi kutaḥ / kiṃ kurmmaḥ uttarakālameva tasya	uttara kAryya karaNa svaBAvam iti api kutas / kim kurmmaH uttara kAlam eva tasya
   janmeti cet; astu sthiratve tadanupapadyamānamasthiratāmādiśatu;	janma iti cet; astu sTira tve tad anupapadyamAnam asTira tAm AdiSatu;
   sthiṣtvepyeṣa eva svabhāvastasya yaduttarakṣaṇa eva karotīti cet /	sTiztvA ipi ezaH eva svaBAvaH tasya yat uttarakzaNaH eva karoti iti ced /
   utedānīṃ pramāṇapratyāśā / dhūmādagnirityatrāpi svabhāva evāsya	uta idAnIm pramANa pratyASA / DUmAt agniH iti atra api svaBAvaH eva asya
   yadidānīmatra niragnirapi dhūma iti vaktuṃ śakyatvāt / tasmāt pramāṇasidve	yat idAnIm atra niragniH api DUmaH iti vaktum Sakya tvAt / tasmAt pramANa sidve
   svabhāvāvalambanaṃ, na tu svabhāvāvalambanena pramāṇavyālopaḥ / tasmād	svaBAva avalambanaM, na tu svaBAva avalambanena pramANa vyAlopaH / tasmAt 
   yadi kāraṇasyottarakāryyakārakatvamabhyupagamya kāryyasya	yadi kAraNasya uttara kAryya kAraka tvam aByupagamya kAryyasya
   prathamakṣaṇabhāvitvamāsajyate, syāt svavacanavirodhaḥ / yadā tu kāraṇasya	praTama kzaNa BAvi tvam Asa jyate, syAt sva vacana viroDaH / yadA tu kAraNasya
   sthiratve kāryyasyottarakālatvamevāsaṅgatam / ataḥ	sTira tve kAryyasya uttara kAla tvam eva asaFgatam / atas 
   kāraṇasyāpyuttarakāryyajanakatvaṃ vastuto 'sambhavi tadā	kAraNasya api uttara kAryya janaka tvam vastutas asamBavi tadA
   prasaṅgasādhanamidaṃ / jananavyavahāragocaratvaṃ hi jananena vyāptamiti	prasaFga sADanam idam / janana vyavahAra gocara tvam hi jananena vyAptam iti
   prasādhitaṃ / uttarakāryyajananavyavahāragocaratvañca tvadabhyupagamāt	prasADitam / uttara kAryI ajanana vyavahAra gocara tvaQca tvad aByupagamAt
   prathamakāryyakaraṇakāla eva ghaṭe dharmmiṇi sidvaṃ /	praTama kAryya karaNa kAle eva Gawe DarmmiNi sidvam /
   atastanmātrānubandhina uttarābhimatasya kāryyasya prathame kṣaṇe	atas tanmAtra anubanDinaH uttara aBimatasya kAryyasya praTame kzaNe
   'sambhavādeva prasaṅgaḥ kriyate / na hi nīlakārake 'pi pītakārakatvārope	asamBavAt eva prasaFgaH kriyate / na hi nIlakArake api pIta kAraka tva Arope
   pītasambhavaprasaṅgaḥ svavacanavirodhonāma / tadevaṃ śaktaḥ	pIta samBava prasaFgaH sva vacana viroDaH nAma / tat evam SaktaH
   sahakāryyanapekṣitatvāt jananena vyāptaḥ / ajanayaṃśca	saha kAryi anapekzita tvAt jananena vyAptaH / ajanayan= ca
   śaktāśaktatvavirudvadharmmādhyāsādbhinna eva / nanu bhavatu	Sakta aSakta tva virudva Darmma aDyAsAt BinnaH eva / nanu Bavatu
   prasaṅgaviparyyayabalādekakāryyaṃ	prasaFga viparyyaya balAt eka kAryyam
   pratiśaktāśaktatvalakṣaṇavirudvadharmmādhyāsaḥ / tathāpi na tato medaḥ	pratiSakta aSakta tva lakzaNa virudva Darmma aDyAsaH / taTA api na tatas medaH
   sidhyati; tathāhi bījamaṅkurādikaṃ kurvvad yadi yenaiva svabhāvenāṅkuraṃ	siDyati; taTA hi bIjam aFkura Adikam kurvvat yadi yena eva svaBAvena aFkuram
   karoti tenaiva kṣityādikantadākṣityādīnāmapyaṅkurasvābhāvyāpattiḥ /	karoti tena eva kziti Adi kantat Akziti AdInAm api aFkura svABAvya ApattiH /
   nānāsvabhāvatvena tu kārakatve svabhāvānāmanyonyābhāvāvyabhicāritvādekatra	nAnA svaBAva tvena tu kAraka tve svaBAvAnAm anyonya aBAva avyaBicAri tvAt ekatra
   bhāvābhāvau parasparavirudvau syātāmityekamapi bījaṃ bhidyeta / evaṃ	BAva aBAvO paraspara virudvO syAtAm iti ekam api bIjam Bidyeta / evam
   pradīpo 'pi tailakṣayavarttidāhādikaṃ; tathā	pradIpaH api tEla kzaya vartti dAha AdikaM; taTA
   pūrvvarūpamapyuttararūparasagandhādikamanekaiḥ svabhāvaiḥ parikaritaṃ	pUrvva rUpam api uttara rUpa rasa ganDa Adikam anekEH svaBAvEH parikaritam
   karoti / teṣāñca svabhāvānāmanyonyābhāvāvyabhicārādvirudvānāṃ yoge	karoti / tezAn ca svaBAvAnAm anyonya aBAva avyaBicArAt virudvAnAm yoge
   pradīpādikaṃ bhidyeta / na ca bhidyate / tanna ! virudvadharmmādhyāso	pradIpa Adikam Bidyeta / na ca Bidyate / tat naH ! virudva Darmma aDyAsaH 
   bhedakaḥ, tathā bījasyāṅkuraṃ prati kārakatvaṃ garddabhādikaṃ	BedakaH, taTA bIjasya aFkuram prati kAraka tvam garddaBa Adikam
   pratyakārakatvamiti kārakatvākārakatve api virudvau dharmau / na ca	pratyakAraka tvam iti kAraka tva AkAraka tve api virudvO DarmO / na ca
   tadyoge 'pi bījabhedaḥ / tadevamekatra bīje pradīpe rūpe ca vipakṣe	tad yoge api bIja BedaH / tat evam ekatra bIje pradIpe rUpe ca vipakze
   paridṛśyamānaḥ śaktāśaktatvādirvirudvadharmmādhyāso na ghaṭāderbhedaka iti	paridRSyamAnaH Sakta aSakta tva AdiH virudva Darmma aDyAsaH na Gawa AdeH BedakaH iti
   atra brūmaḥ / bhavatu	atra brUmaH / Bavatu
   tāvadvījādīnāmanekakāryyakāritvādvarmmabhūtānekasvabhāvabhedastathāpi kaḥ	tAvat vIja AdInAm aneka kAryya kAri tvAt varmma BUta aneka svaBAva BedaH taTA api kaH
   prastāvovirudvadharmmādhyāsasya / svabhāvānāṃ hyanyonyābhāvāvyabhicāre	prastAvaH virudva Darmma aDyAsasya / svaBAvAnAm hi anyonya aBAva avyaBicAre
   bhedaḥ prāptāvasaro na virodhaḥ / virodhastu yadvidhāne yanniṣedho	BedaH prApta avasaraH na viroDaH / viroDaH tu yat viDAne yat nizeDaH 
   yanniṣedhe yadvidhānaṃ tayorekatradharmmiṇi parasparaparihārasthitatayā	yat nizeDe yat viDAnam tayoH ekatra DarmmiNi paraspara parihAra sTita tayA
   syāt / tadatraikaḥ svbhāvaḥ svābhāvena virudvo yukto bhāvābhāvavat / na tu	syAt / tat atra ekaH svBAvaH svABAvena virudvaH yuktaH BAva aBAva vat / na tu
   svabhāvāntareṇa / ghaṭatvavastutvavat / evamaṅkurādikāritvaṃ tadakāritvena	svaBAva antareNa / Gawa tva vastu tva vat / evam aFkura Adi kAri tvam tat akAri tvena
   virudvaṃ na punarvastvantarakāritvena / pratyakṣavyāpāraścātra yathā	virudvam na punarvastu antara kAri tvena / pratyakza vyApAraH ca atra yaTA
   nānādharmmairadhyāsitaṃ bhāvamabhinnaṃ vyavasthāpayati / tathā	nAnA DarmmEH aDyAsitam BAvam aBinnam vyavasTApayati / taTA
   tatkāryyakāriṇaṃ kāryyāntarākāriṇañca / tadyadi	tad kAryya kAriNam kAryya antarA kAriNaQca / tat yadi
   pratiyogitvābhāvādanyonyābhāvāvyabhicāri ṇāvapi svabhāvāvavirudvo	pratiyogi tva aBAvAt anyonya aBAva avyaBicAri NO= api svaBAvO= avirudvaH 
   tatkārakatvānyākārakatve vā viṣayabhedādavirudve, tat	tad kAraka tvAni AkAraka tve vA vizaya BedAt avirudve, tat 
   kimāyātamekakāryyamprati śaktāśaktatvayoḥ	kim AyAtam eka kAryyam prati Sakta aSakta tvayoH
   parasparapratiyoginīrvirudvayordharmmayoḥ / etayorapi punaravirodhe	paraspara pratiyoginIrvirudvayoH DarmmayoH / etayoH api punar aviroDe
   virodho nāma dattajalāñjaliḥ / bhavatu tarhyekakāryyāpekṣayaiva	viroDaH nAma datta jala aQjaliH / Bavatu tarhi eka kAryya apekzayA eva
   sāmarthyāsāmarthyayorvirodhaḥ / kevalaṃ yathā tadeva kāryyaṃ prati	sAmarTya asAmarTyayoH viroDaH / kevalam yaTA tat eva kAryyam prati
   kvaciddeśe śaktirdeśāntare cāśaktiriti deśabhedādavirudve śaktayaśaktī	kvacid deSe SaktiH deSa antare ca aSaktiH iti deSa BedAt avirudve Saktaya SaktI
   tathaikatraiva kāryye kālabhedādapyavirudve / yathāpūrvvaṃ nniḥkriyaḥ	taTA ekatra eva kAryye kAla BedAt api avirudve / yaTApUrvvam nniHkriyaH
   sphaṭikaḥ sa eva paścāt sakriya iti cet /	sPawikaH saH eva paScAt sa kriyaH iti ced /
   ucyate / na hi vayaṃ paribhāṣāmātrādekatra kāryye deśabhedādavirudve	ucyate / na hi vayam pariBAzA mAtrAt ekatra kAryye deSa BedAt avirudve
   śaktyaśaktī brūmaḥ / kintu virodhābhāvāt / taddeśakāryya kāritvaṃ hi	Sakti aSaktI brUmaH / kintu viroDa aBAvAt / tad deSa kAryya kAri tvam hi
   taddeśakāryyākāritvena virudvaṃ / na punardeśāntare	tad deSa kAryya AkAri tvena virudvam / na punar deSa antare
   tatkāryyākāritvenānyakāryyakāritvena vā / yadyevantatkālakāryyakāritvaṃ	tad kAryya akAri tvena anya kAryya kAri tvena vA / yadi evantad kAla kAryya kAri tvam
   tatkālakāryyākāritvena virudvaṃ / na punaḥ kālāntare	tad kAla kAryya AkAri tvena virudvam / na punar kAla antare
   tatkāryyākāritvenānyakāryyakāritvena vā / tatkathaṃ kālabhede 'pi virodha	tad kAryya akAri tvena anya kAryya kAri tvena vA / tat kaTam kAla Bede api viroDa
   iti cet / ucyate / dvayorhi dharmmayorekatradharmmiṇyanavasthitiniyamaḥ	iti ced / ucyate / dvayoH hi DarmmayoH ekatra DarmmiNi anavasTiti niyamaH
   parasparaparihārasthitilakṣaṇo virodhaḥ / sa ca	paraspara parihAra sTiti lakzaNaH viroDaH / sa ca
   sākṣātparasparapratyanīkatayā bhāvābhāvavadvā bhavet / ekasya vā niyamena	sAkzAt paraspara pratyanIka tayA BAva aBAva vat vA Bavet / ekasya vA niyamena
   pramāṇāntareṇa bādhanānnityatvasattvavadvā bhavediti na kaścidarthabhedaḥ	pramANa antareNa bADanAt nitya tva sattva vat vA Bavet iti na kaScid arTa BedaH
   / tadatraikadharmmiṇi tat kālakāryyakāritvādhāre kālāntare	/ tad atra eka DarmmiNi tat kAla kAryya kAri tva ADAre kAla antare
   tatkāryyākāritvasyānyakāryyakāritvasya vā niyamena pramāṇāntareṇa	tad kAryya akAri tvasya anya kAryya kAri tvasya vA niyamena pramANa antareNa
   bādhanādvirodhaḥ / tathā hi yatraiva dharmmiṇi	bADanAt viroDaH / taTA hi yatra eva DarmmiNi
   tatkālakāryyakāritvamupalabdhanna tatraiva kālāntare tat	tad kAla kAryya kAri tvam upalabDan na tatra eva kAla antare tat 
   kāryyākāritvamanyakāryyakāritvaṃ vā brahmaṇāpyupasaṃharttuṃ śakyate,	kAryya akAri tvam anya kAryya kAri tvam vA brahmaNA api upasaMharttum Sakyate,
   yenānayoravirodhaḥ syāt / kṣaṇāntare kathita	yena anayoH aviroDaH syAt / kzaNa antare kaTita
   prasaṅgaviparyyayahetubhyāmavaśyambhāvena dharmmibhedaprasādhanāt / na ca	prasaFga viparyyaya hetuByAm avaSyam BAvena Darmmi Beda prasADanAt / na ca
   pratyabhijñānādekatvasidviḥ / tat pauruṣasya nirmmūlitatvāt / ata eva	pratyaBijQAnAt eka tva sidviH / tat pOruzasya nirmmUlita tvAt / atas eva
   vajro 'pi pakṣakūkṣau nikṣiptaḥ kathamasau sphaṭiko varākaḥ	vajraH api pakza kUkzO nikziptaH kaTam asO sPawikaH varAkaH
   kālabhedenābhedāsādhanāya dṛṣṭāntībhavitumarhati / na caivaṃ	kAla Bedena aBeda asADanAya dRzwAntI Bavitum arhati / na ca evam
   samānakālakāryyāṇāṃ deśabhede 'pi dharmmibhedo yukto	samAna kAla kAryyANAm deSa Bede api Darmmi BedaH yuktaH 
   bhedasādhakapramāṇābhāvādindriyapratyakṣeṇa	Beda sADaka pramANa aBAvAt indriya pratyakzeNa
   nirastavibhramāśaṅkenābhedaprasādhanācca / iti na kālabhede 'pi	nirasta viBrama ASaFkena aBeda prasADanAt ca / iti na kAla Bede api
   śaktyaśaktyorvirodhaḥ svasamayamātrādapahastayituṃ śakyaḥ /	Sakti aSaktyoH viroDaH sva samaya mAtrAt apahastayitum SakyaH /
   samayapramāṇayorapravṛtteriti /	samaya pramANayoH apravRtteH iti /
   tasmāt sarvvatra virudvadharmmādhyāsasidvireva bhedasidviḥ / vipratipannaṃ	tasmAt sarvu atra virudva Darmma aDyAsa sidvis eva Beda sidvis / vipratipannam
   prati tu virudvadharmmādhyāsādbhedavyavahāraḥ sādhyate / nanu tathāpi	prati tu virudva Darmma aDyAsAt Beda vyavahAraH sADyate / nanu taTA api
   sattvamidamanaikāntikamevāsādhāraṇatvāt sandigdhavyatirekatvādvā / yathā	sattvam idam anEkAntikam eva asADAraNa tvAt sandigDa vyatireka tvAt vA / yaTA
   hīdaṃ kramākramanivṛtto akṣaṇikānnivṛttaṃ, tathā	hi idam krama Akrama nivRttaH akzaNikAt nivRttaM, taTA
   sāpekṣatvānāpekṣatvayorekatvānekatvayorapi vyāpakayornivṛttau kṣaṇikādapi	sa apekza tvAnApekza tvayoH ekatva aneka tvayoH api vyApakayoH nivRttO kzaNikAt api
   / tathāhyupasapaṇapratyayena devadattakarapallavādinā sahacaro vījakṣaṇaḥ	/ taTA hi upasapaNa pratyayena deva datta kara pallava AdinA sahacaraH vIjakzaNaH
   pūrvvasmādeva puñjāt samarthojāto 'napekṣa ādyātiśayasya janaka iṣyate /	pUrvvasmAt eva puQjAt samarTaH jAtaH anapekzaH Adya atiSayasya janakaH izyate /
   tatra ca samānakuśūlajanmasu bahuṣu vijasantāneṣu kasmāt kiñcideva vījaṃ	tatra ca samAna kuSUla janmasu bahuzu vijasantAnezu kasmAt kiQcid eva vIjam
   paramparayāṅkurotpādānuguṇamupajanayati bījakṣaṇānnānye vījakṣaṇā	paramparayA aFkura utpAda anuguNam upajanayati bIja kzaNAt na anye vIjakzaNA
   bhinnasantānāntaḥpātinaḥ / nahyupasarpaṇapratyayāt prāgeva teṣāṃ	Binna santAna antaHpAtinaH / nahi upasarpaNa pratyayAt prAk eva tezAm
   samānāsamānasantānavarttināṃ vījakṣaṇānāṃ kaścit paramparātiśayaḥ /	samAna asamAna santAna varttinAm vIjakzaNAnAm kaScid paramparA atiSayaH /
   athopasarpaṇāt prāṅna tat santāna varttino 'pi janayanti	aTa upasarpaNAt prAk na tat santAna varttinaH api janayanti
   paramparayāpyaṅkurotpādānuguṇaṃ vījakṣaṇaṃ vījamātrajananātteṣāṃ /	paramparayA api aFkura utpAda anuguNam vIjakzaNam vIja mAtra jananAt tezAm /
   kasyacideva vījakṣaṇasyopasarpaṇapratyayasahabhuva ādyātiśayotpādaḥ /	kasyacid eva vIjakzaNasya upasarpaNa pratyaya sahaBuvaH Adya atiSaya utpAdaH /
   hanta tarhi yadabhāve satyutpannopi na janayedeva / tathā kevalānāṃ	hanta tarhi yad aBAve sati utpannopi na janayet eva / taTA kevalAnAm
   vyabhicārasambhavādādyātiśayotpādamaṅkuraṃ vā prati kṣityādīnāṃ	vyaBicAra samBavAt Adya atiSaya utpAdam aFkuram vA prati kziti AdInAm
   parasparāpekṣāṇāmevotpādakatvamakāmakenāpi svīkarttavyaṃ / ato na	paraspara apekzANAm eva utpAdaka tvam akAmakena api svIkarttavyam / atas na
   tāvadanapekṣā kṣaṇikasya sambhavinī / nāpya pekṣā yujyate /	tAvat anapekzA kzaNikasya samBavinI / na apya pekzA yujyate /
   samasamayakṣaṇayoḥ savyetaragoviṣāṇayorivopakāryyopakārakabhāvāyogāditi	sama sama ya kzaNayoH savya itara go vizANayoH iva upakAryya upakAraka BAvA yogAt iti
   nāsidvaḥ prathamo vyāpakābhāvaḥ / api cāntyo vījakṣaṇo 'napekṣo	na asidvaH praTamaH vyApaka aBAvaH / api ca antyaH vIjakzaNaH anapekzaH 
   'ṅkurādikaṃ kurvvan yadi yenaiva rūpeṇāṅkuraṃ karoti tenaiva kṣityādikaṃ /	aFkura Adikam kurvvan yadi yena eva rUpeNa aFkuram karoti tena eva kziti Adikam /
   tadā kṣityādīnāmapi aṅkurasvābhāvyāpattirabhinnakāraṇātvāditi na	tadA kziti AdInAm api aFkura svABAvya ApattiH aBinna kAraNA tvAt iti na
   tāvadekatvasambhavaḥ /	tAvat ekatva samBavaH /
   nanu rūpāntareṇa karoti / tathā hi vījasyāṅkuraṃ pratyupādānatvaṃ	nanu rUpa antareNa karoti / taTA hi vIjasya aFkuram pratyupAdAna tvam
   kṣityādikaṃ tu prati sahakāritvaṃ / yadyevaṃ sahakāritvopādānatve	kziti Adikam tu prati sahakAri tvam / yadi evam sahakAri tva upAdAna tve
   kimekantatvaṃ nānā vā / ekañceta kathaṃ rūpāntareṇa janakaṃ / nānātve	kim ekanta tvam nAnA vA / ekaQceta kaTam rUpa antareNa janakam / nAnAtve
   tvanayorvījādbhedo 'bhedo vā / bhede kathaṃ vījasya janakatvaṃ	tu anayA uH vIjAt BedaH aBedaH vA / Bede kaTam vIjasya janaka tvam
   tābhyāmevāṅkurādīnāmutpatteḥ / abhede vā kathaṃ vījasya na nānātvaṃ	tAByAm eva aFkura AdInAm utpatteH / aBede vA kaTam vIjasya na nAnA tvam
   bhinnatādātmyāt / etayorvā ekatvamekatādātmyāt / yadyucyeta / kśityādau	Binna tAdAtmyAt / etayoH vA eka tvam eka tAdAtmyAt / yadyucyeta / kSiti AdO
   janayitavye tadupādānam purvvameva kṣityādivījasya rūpāntaramiti / na	janayitavye tad upAdAnam purvvam eva kziti Adi vIjasya rUpa antaram iti / na
   tarhi vījantadanapekṣaṃ kṣityādīnāṃ janakaṃ / tadanapekṣatve	tarhi vIjantat anapekzam kziti AdInAm janakam / tad anapekza tve
   teṣāmaṅkurodbhedānupapatteḥ / na cānupakārakāṇyapekṣanta iti tvayaivoktaṃ	tezAm aFkura udBeda anupapatteH / na ca anupakArakANi apekzante iti tvayA eva uktam
   / na ca kṣaṇasyopakārasambhavo 'nyatra jananāt	/ na ca kzaNasya upakAra samBavaH anyatra jananAt 
   tasyābhedyatvādityanekatvamapi nāstīti dvitīyo 'pi vyāpakābhāvo na sidvaḥ	tasya aBedya tvAt iti aneka tvam api na asti iti dvitIyaH api vyApaka aBAvaH na sidvaH
   / tasmādasādhāraṇānaikāntikatvaṃ gandhavattvavaditi / yadi	/ tasmAt asADAraNa anEkAntika tvam ganDavat tva vat iti / yadi
   manyetānupakārakā api bhavanti sahakāriṇo 'pekṣaṇīyāśca	manyetAn upakArakAH api Bavanti sahakAriNaH apekzaNIyAH ca
   kāryyeṇānuvihitabhāvābhāvāt sahakaraṇācca / nanvanena krameṇākṣaṇikopi	kAryyeNa anuvihita BAva aBAvAt saha karaNAt ca / nanu anena krameNa akzaNikopi
   bhāvo 'nupakārakānapi sahakāriṇaḥ kramavataḥ	BAvaH anupakArakAn api sahakAriNaH kramavataH
   kramavatkāryyeṇānukṛtānvayavyatirekānapekṣiṣyate / kariṣyate ca kramavat	kramavat kAryyeNa anukRta anvaya vyatirekAn apekzizyate / karizyate ca krama vat 
   sahakārivaśaḥ krameṇa kāryyāṇīti vyāpakānupalabdherasidveḥ /	sahakAri vaSaH krameNa kAryyANi iti vyApaka anupalabDeH asi dveH /
   sandigdhavyatirekamanaikāntikaṃ sattvaṃ kṣaṇikatvasidvāviti //	sandigDa vyatirekam anEkAntikam sattvam kzaNika tvasi dvO= iti //
   atra brūmaḥ / kīdṛśaṃ punarapekṣārthamādāya	atra brUmaH / kIdRSam punar apekzA arTam AdAya
   kṣaṇikesāpekṣānapekṣatvanivṛttirūcyate / kiṃ sahakāriṇamapekṣata iti	kzaNikesa apekzA anapekza tva nivRttiH Ucyate / kim sahakAriNam apekzate iti
   sahakāriṇāsyopakāraḥ karttavyaḥ /	sahakAriNA asya upakAraH karttavyaH /
   atha pūrvvāvasthitasyaiva vījādeḥ sahakāriṇā saha sambhūyakaraṇaṃ / yadvā	aTa pUrvva avasTitasya eva vIja AdeH sahakAriNA saha samBUya karaNam / yat vA
   purvvāvasthitasyetyanapekṣamilitāvasthasya karaṇamātramapekṣārthaḥ / atra	purvvA avasTitasya iti anapekza milita avasTasya karaNa mAtram apekzA arTaH / atra
   prathamapakṣasyāsambhavādanapekṣaiva kṣaṇikasya kathamubhayavyāvṛttiḥ /	praTama pakzasya asamBavAt anapekzA eva kzaNikasya kaTam uBaya vyAvRttiH /
   yadyanapekṣaḥ kṣaṇikaḥ, kimityupasarpaṇapratyayābhāve 'pi na karoti /	yadi anapekzaH kzaNikaH, kim iti upasarpaNa pratyaya aBAve api na karoti /
   karotyeva yadi syāt / svayamasambhavī tu kathaṃ karotu / atha tadvā	karoti eva yadi syAt / svayam asamBavI tu kaTam karotu / aTa tat vA
   tādṛgvā āsīditi na kaścidviśeṣaḥ / tatastādṛksvabhāvasambhavepyakaraṇaṃ	tAdRS vA AsIt iti na kaScid viSezaH / tatas tAdRS svaBAva samBavepya karaNam
   sahakāriṇi nirapekṣatāṃ na kṣamata iti cet / asambadvametat /	sahakAriNi nirapekzatAm na kzamate iti ced / asamba dvam etat /
   varṇasaṃsthānasāmyepyakarttustatsvabhāvatāyā virahāt / sa	varNa saMsTAna sAmya Ipi akarttuH tad svaBAvatAyAH virahAt / sa
   cādyātiśayajanakatvalakṣaṇaḥ svabhāvaviśeṣo na samānāsamānasantānavarttiṣu	ca adya atiSaya janakatva lakzaNaH svaBAva viSezaH na samAna asamAna santAna varttizu
   vījakṣaṇeṣu sarvveṣveva sambhavī kintu keṣucideva karmmakarakara	vIjakzaNezu sarvu ezu eva samBavI kintu kezucid eva karmmakara kara
   pallavasahacareṣu / nanvekatra kṣetre niṣpattilabanādipūrvvakamānīyaikatra	pallava sahacarezu / nanu ekatra kzetre nizpatti labana Adi pUrvvakam AnIya ekatra
   kuśūle kṣiptāni sarvvāṇyeva vījāni sādhāraṇarūpāṇyeva pratīyante, tat	kuSUle kziptAni sarvvANi eva vIjAni sADAraNa rUpANi eva pratIyante, tat 
   kutastyo 'yamekavījasambhavī viśeṣonyeṣāmiti cet /	kutastyaH ayam ekavIja samBavI viSeza unyezAm iti ced /
   ucyate / kāraṇaṃ khalu sarvvatra kāryye dvividhaṃ dṛṣṭamadṛṣṭañca	ucyate / kAraNam Kalu sarvu atra kAryye dviviDam dRzwam adRzwaQca
   sarvvāstikaprasidvametat / tataḥ	sarvvAstika prasidvam etat / tatas 
   pratyakṣaparokṣasahakāripratyayasākalyamasarvvavidā pratyakṣato na śakyaṃ	pratyakza parokza sahakAri pratyaya sAkalyam asarvu avidA pratyakzataH na Sakyam
   pratipattuṃ / tato bhavedapi kāraṇasāmagrīśaktibhedāttādṛśaḥ	pratipattum / tatas Bavet api kAraNa sAmagrI Sakti BedAt tAdRSaH
   svabhāvabhedaḥ keṣāñcideva vījakṣaṇānāṃ yena taeva vījakṣaṇā	svaBAva BedaH kezAQcid eva vIjakzaNAnAm yena taA iva vIjakzaNA
   ādyātiśayamaṅkurambā paramparayā janayeyu rnānye vījakṣaṇāḥ / nanu	Adya atiSayam aFkurambA paramparayA janayeyu rna anye vIjakzaNAH / nanu
   yeṣūpasarpaṇapratyayasahacareṣu	yezu upasarpaNa pratyaya sahacarezu
   svakāraṇaśaktibhedādādyātiśayajanakatvalakṣaṇo viśeṣaḥ sambhāvyate, sa	sva kAraNa Sakti BedAt Adya atiSaya janakatva lakzaNaH viSezaH samBAvyate, sa
   tatrāvaśyamastīti kuto labhyamiti cet /	tatra avaSyam asti iti kutas laByam iti ced /
   aṅkurotpādādanumitādādyātiśayalakṣaṇāt kāryyāditi brūmaḥ /	aFkura utpAdAt anumitAt Adya atiSaya lakzaNAt kAryyAt iti brUmaH /
   kāraṇānupalabdhestarhi tadabhāva eva bhaviṣyatīti cet / na	kAraNa anupalabDeH tarhi tad aBAvaH eva Bavizyati iti ced / na
   dṛśyādṛśyasamudāyasya kāraṇasyādarśanepyabhāvasidveḥ kāraṇānupalabdheḥ	dRSya adRSya samudAyasya kAraNasya adarSana Ipya BAvasi dveH kAraNa anupalabDeH
   sandigdhāsidvatvāt / tadayamarthaḥ / pāṇisparśavataḥ kṣaṇasya na	sandigDa asi dva tvAt / tat ayam arTaH / pANi sparSavataH kzaNasya na
   bhedabhinnānyakālakṣaṇādbhedo veti matadvaye mitibalaṃ yasyāstyasau	Beda Binna anyakA lakzaNAt BedaH vA iti mata dvaye miti balam yasya asti asO
   jitvaraḥ / tatraikasya balaṃ nimittavirahaḥ kāryyāṅgamanyasya vā / sāmagrī	jitvaraH / tatra ekasya balam nimitta virahaH kAryya aFgam anyasya vA / sAmagrI
   tu na sarvvathekṣaṇasahā kāryyantu mānānugamamiti //	tu na sarvu aTa IkzaNa sahA kAryyantu mAna anugamam iti //
   tadevaṃ nopakāro 'pekṣārtha ityanapekṣyaiva kṣaṇikasya sahakāriṣu	tat evam na upakAraH apekzA arTaH iti anapekzya eva kzaNikasya sahakArizu
   nobhayavyāvṛttiḥ / atha sambhūyakaraṇamapekṣārthaḥ / tadā yadi	na uBaya vyAvRttiH / aTa samBUya karaNam apekzA arTaH / tadA yadi
   pūrvvasthitasyeti viśeṣaṇāpekṣā tadā kṣaṇikasya naivaṃ	pUrvvasTitasya iti viSezaNa apekzA tadA kzaNikasya na evam
   kadācidityanapekṣaivākṣīṇā / atha	kadAcid iti anapekzA eva akzINA / aTa
   pūrvvāsthitasyetyanapekṣyamilitāvasthitasyaiva karaṇamapekṣārthastadā	pUrvvAsTitasya iti anapekzya milita avasTitasya eva karaNam apekzA arTaH tadA
   sāpekṣataiva nānapekṣa / tathā ca nobhayavyāvṛttirityasidvaḥ prathamo	sa apekzatA eva na anapekza / taTA ca na uBaya vyAvRttiH iti asi dvaH praTamaH 
   vyāpakānupalambhaḥ / tathaikatvānekatvayorapi vyāpakayoḥ	vyApaka anupalamBaH / taTA ekatva aneka tvayoH api vyApakayoH
   kṣaṇikādvyāvṛttirasidvā /	kzaNikA dvi AvRttiH asidvA /
   tattadyāvṛttibhedamāśrityopādānatvādikālpanikasvabhāvabhede 'pi	tad tad ya AvRtti Bedam ASritya upAdAna tva Adi ka alpa nika svaBAva Bede api
