   Caryāmelāvaṇapradīpaḥ	CaryAm elAvaNa pradIpaH
   yāvanna khidyate cittaṃ samāhitamanāḥ sudhīḥ //	yAvat na Kidyate cittam samAhita manAH suDIH //
   khinnastu paryaṭet paścādyathārucitaceṣṭitaḥ /	KinnaH tu paryawet paScAt yaTA rucita cezwitaH /
   bhāvayedvipulāṃ bodhimīṣadunmīlitekṣaṇaḥ //	BAvayet vipulAm boDim Izat unmIlita IkzaNaH //
   hasan jalpan kvacittiṣṭhan kvacitkuryāt pravartanam //	hasan jalpan kvacid tizWan kvacid kuryAt pravartanam //
   bhāvanāsaktacittastu yathā khedo na jāyate //	BAvanA sakta cittaH tu yaTA KedaH na jAyate //
   evaṃ samādhiyuktasya nirvikalpasya mantriṇaḥ /	evam samADi yuktasya nirvikalpasya mantriNaH /
   kālāvadhiṃ parityajya siddhyate 'nuttaraṃ padam // iti /	kAla avaDim parityajya sidDyate anuttaram padam // iti /
   sūkṣmarūpaṃ laghusparśaṃ vyāptisaṃprāptimeva ca /	sUkzma rUpam laGu sparSam vyApti saMprAptim eva ca /
   prakāśaṃ caiva sthairyaṃ ca vaśitvaṃ kāmāvasānikam // iti /	prakASam ca eva sTEryam ca vaSitvam kAma avasAnikam // iti /
   bodhijñānāgrasaṃprāptaṃ paśyati buddhasuprabham /	boDi jQAna agra saMprAptam paSyati budDa supraBam /
   buddhasaṃbhogakāyaṃ ca ātmānaṃ laghu paśyati //	budDa saMBoga kAyam ca AtmAnam laGu paSyati //
   traidhātukamahāsattvaiḥ pūjyamānaṃ sa paśyati /	trEDAtuka mahA sattvEH pUjyamAnam sa paSyati /
   buddhaiśca bodhisattvaiśca pañcakāmaguṇairdhruvam //	budDEH ca boDisattvEH ca paQca kAma guNEH Druvam //
   pūjitaṃ paśyate nityaṃ mahajñānā grasambhavam /	pUjitam paSyate nityam maha jQAnAH grasamBavam /
   vajrasattvaṃ mahābimbaṃ vajradharmaṃ mahāyaśam //	vajra sattvam mahA bimbam vajra Darmam mahA yaSam //
   svabimbaṃ paśyate svapne guhyavajramahāyaśāḥ /	sva bimbam paSyate svapne guhya vajra mahA yaSAH /
   praṇamanti mahābuddhā bodhisattvāśca vajriṇaḥ //	praNamanti mahAbudDAH boDisattvAH ca vajriNaH //
   drakṣyanti īdṛśān svapnān kāyavākcittasiddhidān /	drakzyanti IdRSAn svapnAn kAya vAc citta sidDi dAn /
   sarvalaṅkārasampūrṇāṃ surakanyāṃ manoramām //	sarva laFkAra sampUrNAm sura kanyAm manoramAm //
   dārakaṃ dārikāṃ paśyan sa siddhimadhigacchati /	dArakam dArikAm paSyan sa sidDim aDigacCati /
   daśadiksarvabuddhānāṃ kṣetrasthaṃ paśyati dhruvam //	daSa diS sarva budDAnAm kzetra sTam paSyati Druvam //
   dadanti hṛṣṭacittātmā dharmagañjaṃ manoramam /	dadanti hRzwa citta AtmA Darma gaQjam manoramam /
   dharmacakragataṃ kāyaṃ sarvasattvaparivṛtam //	Darma cakra gatam kAyam sarva sattva parivRtam //
   paśyate yogasamaye dhyānavajrapratiṣṭhitaḥ // iti /	paSyate yoga samaye DyAna vajra pratizWitaH // iti /
   nāpaneyamataḥ kiñcit prakṣeptavyaṃ na kiñcan /	na apaneyam atas kiQcid prakzeptavyam na kiQcan /
   draṣṭavyaṃ bhūtato bhūtaṃ bhūtadarśī vimucyate // iti /	drazwavyam BUtataH BUtam BUta darSI vimucyate // iti /
   uktaṃ ca suvarṇaprabhāsasūtre 	uktam ca suvarNa praBAsa sUtre 
   na buddhaḥ parinirvāti na dharmaḥ parihīyate /	na budDaH parinirvAti na DarmaH parihIyate /
   sattvānāṃ paripākāya parinirvāṇaṃ nidarśayet //	sattvAnAm paripAkAya parinirvANam nidarSayet //
   laṅkāvatārasūtre 'pyuktam 	laFkA avatAra sUtre api uktam  
   na hyatrotpadyate kiñcit pratyayairna nirudhyate /	na hi atra utpadyate kiQcid pratyayEH na niruDyate /
   utpadyante nirudhyante pratyayā eva kalpitāḥ //	utpadyante niruDyante pratyayAH eva kalpitAH //
   ata uktam 	atas uktam 
   yena yena hi bhāvena manaḥ saṃyujyate nṛṇām /	yena yena hi BAvena manaH saMyujyate nRNAm /
   tena tanmayatāṃ yāti viśvarūpo maṇiryathā //	tena tad maya tAm yAti viSvarUpaH maNiH yaTA //
   utpattiryat saṃvṛtisatyametad mṛtyurhi nāma paramārthasatyam /	utpattiH yat saMvRti satyam etat mRtyuH hi nAma parama arTa satyam /
   kramadvayasyāsya gurukṛpāto jñātā bhaved yaḥ sa bhaviṣyabuddhaḥ //	krama dvayasya asya guru kRpAtaH jQAtA Bavet yaH sa Bavizya budDaH //
   satyadvayasyādvayavatpraveśo 'nucchedarūpo 'pyaviśeṣa eva /	satya dvayasya advayavat praveSaH anucCeda rUpaH api aviSezaH eva /
   ekatvamevāstyanayordvayoriti vijñāyate yena vimukta eṣaḥ //	eka tvam eva asti anayoH dvayoH iti vijQAyate yena vimuktaH ezaH //
   girīndramūrdhnaḥ prapatet tu kaścid neccheccyutiṃ sa cyavate tathāpi /	giri indra mUrDnaH prapatet tu kaScid na icCet cyutim sa cyavate taTA api /
   guruprasādādvihitopadeśād necchedvimuktiṃ sa tathāpi muktaḥ //	guru prasAdAt vihita upadeSAt na icCet vimuktim sa taTA api muktaH //
   matvā sattveṣu tattvādhigamakṣamatābhāvamālokya loke	matvA sattvezu tattva aDigama kzamata aBAvam Alokya loke
   uttālābdhitaraṅgabhaṅgavikalāddīpasphuliṅgādiva /	uttAla abDi taraFga BaFga vikalAt dIpa sPuliFgAt iva /
   kiñcit kiñcidupetya saṃcitavatā grantho mayāyaṃ kṛto	kiQcid kiQcid upetya saMcitavatA granTaH mayA ayam kRtaH 
   ye vai saṃvṛtisatyabhītasubhagāsteṣāmalāto bhavet //	ye vE saMvRti satyaBIta suBagAH tezAm alAtaH Bavet //
   atyantaniṣprapañcacaryāmelāvaṇasaṃśayapariccheda ekādaśaḥ //	atyanta nizprapaQca caryAm elAvaNa saMSaya paricCedaH ekAdaSaH //
   samāpto 'yaṃ caryāmelāvaṇapradīpaḥ //	samAptaH ayam caryAm elAvaNa pradIpaH //
   kṛtirīyaṃ mahācārya āryadevapādānām //	kRtirIyam mahA cArya  Arya deva pAdAnAm //
