   pañcatantram	paQcatantram
   kaścid etat sthānaṃ samāśrayiṣyati | naitad yujyate kartum | uktaṃ ca 	kaScid etat sTAnam samASrayizyati | na etat yujyate kartum | uktam ca 
   yo dhruvāṇi parityajyādhruvāṇi niṣevate |	yaH DruvANi parityajya aDruvANi nizevate |
   dhruvāṇi tasya naśyanti adhruvaṃ naṣṭam eva ca ||Panc_2.142||	DruvANi tasya naSyanti aDruvam nazwam eva ca ||Pan= _2.142||
   śṛgāly āha bhoḥ kāpuruṣas tvaṃ yat kiṃcit prāptaṃ tenāpi santoṣaṃ karoṣi |	SRgAlI Aha BoH kApuruzaH tvam yat kiMcid prAptam tena api santozam karozi |
   uktaṃ ca 	uktam ca 
   supūrā syāt kunadikā supūro mūṣikāñjaliḥ |	supUrA syAt kunadikA supUraH mUzikAQjaliH |
   susantuṣṭaḥ kāpuruṣaḥ svalpakenāpi tuṣyati ||Panc_2.143||	su santuzwaH kApuruzaH su alpakena api tuzyati ||Pan= _2.143||
   tasmāt puruṣeṇa sadaivotsāhavatā bhāvyam | uktaṃ ca 	tasmAt puruzeNa sadA eva utsAhavatA BAvyam | uktam ca 
   yatrotsāha samārambho yatrālasya vinigrahaḥ |	yatra utsAha  samAramBaH yatra Alasya  vinigrahaH |
   naya vikrama saṃyogas tatra śrīr acalā dhruvaṃ ||Panc_2.144||	naya  vikrama  saMyogaH tatra SrIH acalAH Druvam ||Pan= _2.144||
   tad daivam iti sañcintya tyajen nodyogam ātmanaḥ |	tat dEvam iti saQcintya tyajet na udyogam AtmanaH |
   anuyogaṃ vinā tailaṃ tilānāṃ nopajāyate ||Panc_2.145||	anuyogam vinA tElam tilAnAm na upajAyate ||Pan= _2.145||
   anyac ca 	anyat ca 
   yaḥ stokenāpi santoṣaṃ kurute mandadhīr janaḥ |	yaH stokena api santozam kurute manda DIH janaH |
   tasya bhāgya vihīnasya dattā śrīr api mārjyate ||Panc_2.146||	tasya BAgya  vihInasya dattA SrIH api mArjyate ||Pan= _2.146||
   yac ca tvaṃ vadasi | etau patiṣyato na veti | tad apy ayuktam | uktaṃ ca 	yat ca tvam vadasi | etO patizyataH na vA iti | tat api ayuktam | uktam ca 
   kṛta niścayino vandyās tuṅgimā nopabhujyate |	kRta niScayinaH vandyAH tuFgimA na upaBujyate |
   cātakaḥ ko varāko 'yaṃ yasyendro vārivāhakaḥ ||Panc_2.147||	cAtakaH kaH varAkaH ayam yasya indraH vArivAhakaH ||Pan= _2.147||
   aparaṃ mūṣaka māṃsasya nirviṇṇāham | etau ca māṃsa piṇḍau patana prāyau	aparam mUzaka  mAMsasya nirviNNA aham | etO ca mAMsa piNxO patana  prAyO
   dṛśyete | tat sarvathā nānyathā kartavyam iti | athāsau tad ākarṇya	dRSyete | tat sarvaTA na anyaTA kartavyam iti | aTa asO tat AkarNya
   mūṣaka prāpti sthānaṃ parityajya tīkṣṇaviṣāṇasya pṛṣṭham anvagacchat |	mUzaka  prApti sTAnam parityajya tIkzNa vizANasya pRzWam anvagacCat |
   atha vā sādhv idam ucyate 	aTa vA sADu idam ucyate 
   tāvat syāt sarva kṛtyeṣu puruṣo 'tra svayaṃ prabhuḥ |	tAvat syAt sarva kRtyezu puruzaH atra svayam praBuH |
   strī vākyāṅkuśa vikṣuṇṇo yāvan no dhriyate balāt ||Panc_2.148||	strI vAkya aFkuSa vikzuNNaH yAvat naH Driyate balAt ||Pan= _2.148||
   akṛtyaṃ manyate kṛtyaṃ agamyaṃ manyate sugam |	akRtyam manyate kRtyam agamyam manyate sugam |
   abhakṣyaṃ manyate bhakṣyaṃ strī vākya prerito naraḥ ||Panc_2.149||	aBakzyam manyate Bakzyam strI vAkya  preritaH naraH ||Pan= _2.149||
   evaṃ sa tasya pṛṣṭhataḥ sa bhāryaḥ paribhramaṃś cira kālam anayat | na ca	evam sa tasya pRzWatas sa BAryaH pariBraman cira  kAlam anayat | na ca
   tayoḥ patanam abhūt | tataś ca nirvedāt pañcadaśe varṣe śṛgālaḥ svabhāryām	tayoH patanam aBUt | tatas ca nirvedAt paQcadaSe varze SRgAlaH sva BAryAm
   āha śithilau ca subaddhau ca (141) ityādi |	Aha  SiTilO ca su badDO ca (141) ityAdi |
   tayos tat paścād api pāto na bhaviṣyati | tat tad eva sva sthānaṃ	tayoH tat paScAt api pAtaH na Bavizyati | tat tat eva sva  sTAnam
   gacchāvaḥ | ato 'haṃ bravīmi śithilau ca subaddhau ca (141) iti |	gacCAvaH | atas aham bravImi  SiTilO ca su badDO ca (141) iti |
   puruṣa āha yady evaṃ tad gaccha bhūyo 'pi vardhamāna puram | tatra dvau	puruzaH Aha yadi evam tat gacCa BUyas api varDamAna  puram | tatra dvO
   vaṇik putrau vasataḥ | eko gupta dhanaḥ | dvitīya upabhukta dhanaḥ | tatas	vaNik putrO vasataH | ekaH gupta DanaH | dvitIyaH upaBukta  DanaH | tatas 
   tayoḥ svarūpaṃ buddhvaikasya varaḥ prārthanīyaḥ | yadi te dhanena	tayoH svarUpam budDvA ekasya varaH prArTanIyaH | yadi te Danena
   prayojanam abhakṣitena tatas tvām api gupta dhanaṃ karomi | athavā	prayojanam aBakzitena tatas tvAm api gupta Danam karomi | aTavA
   datta bhogyena dhanena te prayojanaṃ tad upabhukta dhanaṃ karomīti | evam	datta Bogyena Danena te prayojanam tat upaBukta Danam karomi iti | evam
   uktvādarśanaṃ gataḥ |	uktvA adarSanam gataH |
   somilako 'pi vismita manā bhūyo 'pi vardhamāna puraṃ gataḥ | atha	somilakaH api vismita manAH BUyas api varDamAna  puram gataH | aTa
   sandhyā samaye śrāntaḥ katham api tat puraṃ prāpto guptadhana gṛhaṃ	sanDyA a  samaye SrAntaH kaTam api tat  puram prAptaH gupta Dana  gRham
   pṛcchan kṛcchrāl labdhvāstamita sūrye praviṣṭaḥ | athāsau	pRcCan kRcCrAt labDvA astam ita  sUrye pravizwaH | aTa asO
   bhāryā putra sametena guptadhanena nirbhartsyamāno haṭhād gṛhaṃ	BAryA putra  sametena gupta Danena nirBartsyamAnaH haWAt gRham
   praviśyopaviṣṭaḥ | tataś ca bhojana velāyāṃ tasyāpi bhakti varjitaṃ kiṃcid	praviSya upavizwaH | tatas ca Bojana  velAyAm tasya api Bakti  varjitam kiMcid 
   aśanaṃ dattam | tataś ca bhuktvā tatraiva yāvat supto niśīthe paśyati	aSanam dattam | tatas ca BuktvA tatra eva yAvat suptaH niSITe paSyati
   tāvat tāv api dvau puruṣau parasparaṃ mantrayataḥ | tatraika āha bhoḥ	tAvat tO api dvO puruzO parasparam mantrayataH | tatra ekaH Aha BoH
   kartaḥ ! kiṃ tvayāsya guptadhanasyānyo 'dhiko vyayo nirmito yat	kartar ! kim tvayA asya gupta Danasya anyaH aDikaH vyayaH nirmitaH yat 
   somilakasyānena bhojanaṃ dattam | tad ayuktaṃ tvayā kṛtam |	somilakasya anena Bojanam dattam | tat ayuktam tvayA kRtam |
   sa āha bhoḥ karman ! na mamātra doṣaḥ | mayā puruṣasya lābha prāptir	saH Aha BoH karman ! na mama atra dozaH | mayA puruzasya lABa prAptiH 
   dātavyā | tat pariṇatiḥ punas tvad āyatteti | athāsau yāvad uttiṣṭhati	dAtavyA | tat pariNatiH punar tu ad  AyattA iti | aTa asO yAvat uttizWati
   tāvad guptadhano visūcikayā khidyamāno rujābhibhūtaḥ kṣaṇaṃ tiṣṭhati |	tAvat gupta DanaH visUcikayA KidyamAnaH rujA aBiBUtaH kzaNam tizWati |
   tato dvitīye'hni tad doṣeṇa kṛtopavāsaḥ sañjātaḥ |	tatas dvitIye ahni tad  dozeNa kRta upavAsaH san jAtaH |
   somilako 'pi prabhāte tad gṛhān niṣkramya upabhuktadhana gṛhaṃ gataḥ |	somilakaH api praBAte tad  gRhAt nizkramya upaBukta Dana  gRham gataH |
   tenāpi cābhyutthādinā sat kṛto vihita bhojanācchādana saṃmānas tasyaiva	tena api ca aByutTAdinA sat kRtaH vihita  Bojana AcCAdana  saMmAnaH tasya eva
   gṛhe bhavya śayyām āruhya suṣvāpa | tataś ca niśīthe yāvat paśyati tāvat	gRhe Bavya  SayyAm Aruhya suzvApa | tatas ca niSITe yAvat paSyati tAvat 
   tāv eva dvau puruṣau mitho mantrayataḥ | atra tayor eka āha bhoḥ kartaḥ !	tO eva dvO puruzO miTas mantrayataH | atra tayoH ekaH Aha BoH kartar !
   anena somilakasyopakāraṃ kurvatā prabhūto vyayaḥ kṛtaḥ | tat kathaya	anena somilakasya upakAram kurvatA praBUtaH vyayaH kRtaH | tat kaTaya
   katham asyoddhāraka vidhir bhaviṣyati | anena sarvam etad	kaTam asya udDAraka viDiH Bavizyati | anena sarvam etat 
   vyavahāraka gṛhāt samānītam |	vyavahAraka gRhAt samAnItam |
   sa āha bhoḥ karman ! mama kṛtyam etat | pariṇatis tvad āyatteti | atha	saH Aha BoH karman ! mama kRtyam etat | pariNatiH tu ad  AyattA iti | aTa
   prabhāta samaye rāja puruṣo rāja prasādajaṃ vittam ādāya samāyāta	praBAta  samaye rAja  puruzaH rAja  prasAda jam vittam AdAya samAyAta
   upabhukta dhanāya samarpayām āsa |	upaBukta  DanAya samarpayAm Asa |
   tad dṛṣṭvā somilakaś cintayāmāsa | sañcaya rahito 'pi varam eṣa	tat dRzwvA somilakaH cintayAmAsa | saQcaya  rahitaH api varam eza
   upabhuktadhano nāsau kadaryo guptadhanaḥ | uktaṃ ca 	upaBukta DanaH na asO kadaryaH gupta DanaH | uktam ca 
   agnihotra phalā vedāḥ śīla vṛtta phalaṃ śrutam |	agnihotra  PalAH vedAH SIla vRtta  Palam Srutam |
   rati putra phalā dārā datta bhukta phalaṃ dhanam ||Panc_2.150||	rati putra PalA dArAH datta Bukta  Palam Danam ||Pan= _2.150||
   tad vidhātā māṃ datta bhukta dhanaṃ karotu | na kāryaṃ me guptadhanena |	tat viDAtA mAm datta Bukta  Danam karotu | na kAryam me gupta Danena |
   tataḥ somilako dattabhuktadhanaḥ saṃjātaḥ | ato 'haṃ	tatas somilakaH datta Bukta DanaH saMjAtaH | atas aham
   bravīmi arthasyopārjanaṃ kṛtvā iti |	bravImi arTasya upArjanam kRtvA iti |
   gṛha madhya nikhātena dhanena dhanino yadi |	gRha  maDya  niKAtena Danena DaninaH yadi |
   bhavāmaḥ kiṃ na tenaiva dhanena dhanino vayaṃ ||Panc_2.151||	BavAmaH kim na tena eva Danena DaninaH vayam ||Pan= _2.151||
   tad bhadra ! hiraṇyakaivaṃ jñātvā dhana viṣaye santāpo na kāryaḥ | atha	tat Badra ! hiraNyaka evam jQAtvA Dana  vizaye santApaH na kAryaH | aTa
   vidyamānam api dhanaṃ bhojya bandhyatayā tad avidyamānaṃ mantavyam | uktaṃ	vidyamAnam api Danam Bojya  banDya tayA tat  avidyamAnam mantavyam | uktam
   ca 	ca 
   upārjitānām arthānāṃ tyāga eva hi rakṣaṇam |	upArjitAnAm arTAnAm tyAgaH eva hi rakzaNam |
   taḍāgodara saṃsthānāṃ parīvāha ivāmbhasām ||Panc_2.152||	taxAga udara  saMsTAnAm parIvAhaH iva amBasAm ||Pan= _2.152||
   tathā ca 	taTA ca 
   upārjitānām arthānāṃ tyāga eva hi rakṣaṇam |	upArjitAnAm arTAnAm tyAgaH eva hi rakzaNam |
   taḍāgodara saṃsthānāṃ parivāha ivāmbhasām ||Panc_2.153||	taxAga udara  saMsTAnAm parivAhaH iva amBasAm ||Pan= _2.153||
   anyac ca 	anyat ca 
   dānaṃ bhogo nāśas tisro gatayo bhavanti vittasya | yo na dadāti na bhuṅkte	dAnam BogaH nASaH tisraH gatayaH Bavanti vittasya | yaH na dadAti na BuFkte
   tasya tṛtīyā gatir bhavati ||Panc_2.154||	tasya tRtIyA gatiH Bavati ||Pan= _2.154||
   evaṃ jñātvā vivekinā na sthity arthaṃ vittopārjanaṃ kartavyaṃ yato	evam jQAtvA vivekinA na sTiti  arTam vitta upArjanam kartavyam yatas 
   duḥkhāya tat | uktaṃ ca 	duHKAya tat | uktam ca 
   dhanādikeṣu vidyante ye'tra mūrkhāḥ sukhāśayāḥ |	Dana Adikezu vidyante ye atra mUrKAH suKa ASayAH |
   tapta grīṣmeṇa sevante śaityārthaṃ te hutāśanam ||Panc_2.155||	tapta  grIzmeNa sevante SEtya arTam te hutASanam ||Pan= _2.155||
   sarpāḥ pibanti pavanaṃ na ca durbalās te	sarpAH pibanti pavanam na ca durbalAH te
   śuṣkais tṛṇair vana gajā balino bhavanti |	SuzkEH tRNEH vana  gajAH balinaH Bavanti |
   kandaiḥ phalair muni varā gamayanti kālaṃ	kandEH PalEH muni varAH gamayanti kAlam
   santoṣa eva puruṣasya paraṃ nidhānam ||Panc_2.156||	santozaH eva puruzasya param niDAnam ||Pan= _2.156||
   santoṣāmṛta tṛptānāṃ yat sukhaṃ śānta cetasām |	santoza amRta  tRptAnAm yat suKam SAnta  cetasAm |
   kutas tad dhana lubdhānām itaś cetaś ca dhāvatām ||Panc_2.157||	kutas tad  Dana  lubDAnAm itas ca itas ca DAvatAm ||Pan= _2.157||
   pīyūṣam iva saṃtoṣaṃ pibatāṃ nirvṛtiḥ parā |	pIyUzam iva saMtozam pibatAm nirvRtiH parA |
   duḥkhaṃ nirantaraṃ puṃsām asaṃtoṣavatāṃ punaḥ ||Panc_2.158||	duHKam nirantaram puMsAm asaMtozavatAm punar ||Pan= _2.158||
   nirodhāc cetaso 'kṣāṇi niruddhāny akhilāny api |	niroDAt cetasaH akzANi nirudDAni aKilAni api |
   ācchādite ravau meghaiḥ sañchannāḥ syur gabhastayaḥ ||Panc_2.159||	AcCAdite ravO meGEH saQCannAH syuH gaBastayaH ||Pan= _2.159||
   vāñchā vicchedanaṃ prāhuḥ svāsthyaṃ śāntā maha rṣayaḥ |	vAQCA  vicCedanam prAhuH svAsTyam SAntAH maha RzayaH |
   vāñchā nivartate nārthaiḥ pipāsevāgni sevanaiḥ ||Panc_2.160|| anindyam api	vAQCA nivartate na arTEH pipAsA iva agni sevanEH ||Pan= _2.160|| anindyam api
   nindanti stuvanty astutyam uccakaiḥ |	nindanti stuvanti astutyam uccakEs |
   svāpateya kṛte martyāḥ kiṃ kiṃ nāma na kurvate ||Panc_2.161||	svApateya kRte martyAH kim kim nAma na kurvate ||Pan= _2.161||
   dharmārthaṃ yasya vittehā tasyāpi na śubhāvahā |	Darma arTam yasya vittehA tasya api na SuBa AvahA |
   prakṣālanādd hi paṅkasya dūrād asparśanaṃ varam ||Panc_2.162||	prakzAlanAdt hi paFkasya dUrAt asparSanam varam ||Pan= _2.162||
   dānena tulyo nidhir asti nānyo	dAnena tulyaH niDiH asti na anyaH 
   lobhāc ca nānyo 'sti paraḥ pṛthivyām |	loBAt ca na anyaH asti paraH pRTivyAm |
   vibhūṣaṇaṃ śīla samaṃ na cānyat	viBUzaNam SIla  samam na ca anyat 
   santoṣa tulyaṃ dhanam asti nānyat ||Panc_2.163||	santoza  tulyam Danam asti na anyat ||Pan= _2.163||
   dāridryasya parā mūrtir yan māna draviṇālpatā |	dAridryasya parA mUrtiH yat mAna  draviNa alpa tA |
   jarad gava dhanaḥ śarvas tathāpi parameśvaraḥ ||Panc_2.164||	jarad gava DanaH SarvaH taTA api parameSvaraH ||Pan= _2.164||
   evaṃ jñātvā bhadra tvayā santoṣaḥ kārya iti | mantharakavacanam ākarṇya	evam jQAtvA Badra tvayA santozaH kAryaH iti | manTaraka vacanam AkarNya
   vāyasa āha bhadra mantharako yad evaṃ vadati tat tvayā citte kartavyam |	vAyasaH Aha Badra manTarakaH yat evam vadati tat tvayA citte kartavyam |
   athavā sādhv idam ucyate 	aTavA sADu idam ucyate 
   sulabhāḥ puruṣā rājan satataṃ priya vādinaḥ |	sulaBAH puruzAH rAjan satatam priya vAdinaH |
   apriyasya ca pathyasya vaktā śrotā ca durlabhaḥ ||Panc_2.166||	apriyasya ca paTyasya vaktA SrotA ca durlaBaH ||Pan= _2.166||
   apriyāṇy api pathyāni ye vadanti nṛṇām iha |	apriyANi api paTyAni ye vadanti nRNAm iha |
   ta eva suhṛdaḥ proktā anye syur nāma dhārakāḥ ||Panc_2.167||	te eva suhRdaH proktAH anye syuH nAma  DArakAH ||Pan= _2.167||
   athaivaṃ jalpatāṃ teṣāṃ citrāṅgo nāma hariṇo lubdhaka trāsitas tasminn eva	aTa evam jalpatAm tezAm citrAFgaH nAma hariNaH lubDaka trAsitaH tasmin eva
   sarasi praviṣṭaḥ | athāyāntaṃ sa sambhramam avalokya laghupatanako vṛkṣam	sarasi pravizwaH | aTa AyAntam sa  samBramam avalokya laGupatanakaH vRkzam
   ārūḍhaḥ | hiraṇyakaḥ śarastambaṃ praviṣṭaḥ | mantharakaḥ salilāśayam	ArUXaH | hiraNyakaH Sara stambam pravizwaH | manTarakaH salilASayam
   āsthitaḥ | atha laghupatanako mṛgaṃ samyak parijñāya mantharakam uvāca ehy	AsTitaH | aTa laGupatanakaH mRgam samyak parijQAya manTarakam uvAca ehi 
   ehi sakhe mantharaka ! mṛgo 'yaṃ tṛṣārto 'tra samāyātaḥ sarasi praviṣṭaḥ |	ehi saKe manTarakaH ! mRgaH ayam tRzA ArtaH atra samAyAtaH sarasi pravizwaH |
   tasya śabdo 'yaṃ na mānuṣa sambhava iti |	tasya SabdaH ayam na mAnuza  samBavaH iti |
   tac chrutvā mantharako deśa kālocitam āha bho laghupatanaka ! yathāyaṃ	tat SrutvA manTarakaH deSa  kAla ucitam Aha BaH laGupatanakaH ! yaTA ayam
   mṛgo dṛśyate prabhūtam ucchvāsam udvahann udbhrānta dṛṣṭyā pṛṣṭhato	mRgaH dRSyate praBUtam ucCvAsam udvahan udBrAnta  dRzwyA pRzWato
   'valokayati tan na tṛṣārta eṣa nūnaṃ lubdhaka trāsitaḥ | taj jñāyatām asya	avalokayati tat na tRzA ArtaH eza nUnam lubDaka trAsitaH | tat jQAyatAm asya
   pṛṣṭhe lubdhakā āgacchanti na veti | uktaṃ ca 	pRzWe lubDakAH AgacCanti na vA iti | uktam ca 
   bhaya trasto naraḥ śvāsaṃ prabhūtaṃ kurute muhuḥ |	Baya trastaH naraH SvAsam praBUtam kurute muhur |
   diśo 'valokayaty eva na svāsthyaṃ vrajati kvacit ||Panc_2.168||	diSaH avalokayati eva na svAsTyam vrajati kvacid ||Pan= _2.168||
   tac chrutvā citrāṅga āha bho mantharaka ! jñātaṃ tvayā samyaṅ me	tat SrutvA citrAFgaH Aha BaH manTarakaH ! jQAtam tvayA samyak me
   trāsa kāraṇam | ahaṃ lubdhaka śara prahārād uddhāritaḥ kṛcchreṇātra	trAsa  kAraNam | aham lubDaka Sara  prahArAt udDAritaH kRcCreNa atra
   samāyātaḥ | mama yūthaṃ tair lubdhakair vyāpāditaṃ bhaviṣyati | tac	samAyAtaH | mama yUTam tEH lubDakEH vyApAditam Bavizyati | tat 
   charaṇāgatasya me darśaya kiṃcid agamyaṃ sthānaṃ lubdhakānām |	CaraNa Agatasya me darSaya kiMcid agamyam sTAnam lubDakAnAm |
   tad ākarṇya mantharaka āha bhoś citrāṅga ! śrūyatāṃ nīti śāstram |	tat AkarNya manTarakaH Aha BoH citrAFgaH ! SrUyatAm nIti SAstram |
   dvāv upāyāv iha proktau vimuktau śatru darśane |	dvO upAyO iha proktO vimuktO Satru  darSane |
   hastayoś cālanād eko dvitīyaḥ pāda vega jaḥ ||Panc_2.169||	hastayoH cAlanAt ekaH dvitIyaH pAda vega jaH ||Pan= _2.169||
   tad gamyatāṃ śīghraṃ ghanaṃ vanaṃ yāvad adyāpi nāgacchanti te durātmāno	tat gamyatAm SIGram Ganam vanam yAvat adya api na AgacCanti te durAtmAnaH 
   lubdhakāḥ |	lubDakAH |
   atrāntare laghupatanakaḥ satvaram abhyupetyovāca bho mantharaka ! gatās te	atra antare laGupatanakaH sa tvaram aByupetya uvAca  BaH manTarakaH ! gatAH te
   lubdhakāḥ sva gṛhonmukhāḥ pracura māṃsa piṇḍa dhāriṇaḥ | tac citrāṅga !	lubDakAH sva gRha unmuKAH pracura  mAMsa  piNxa  DAriNaH | tat citrAFga !
   tvaṃ viśrabdho jalād bahir bhava |	tvam viSrabDaH jalAt bahis Bava |
   tatas te catvāro 'pi mitra bhāvam āśritās tasmin sarasi madhyāhna samaye	tatas te catvAraH api mitra BAvam ASritAH tasmin sarasi maDyAhna  samaye
   vṛkṣa cchāyādhastāt subhāṣita goṣṭhī sukham anubhavantaḥ sukhena kālaṃ	vRkza  = CAyA aDastAt su BAzita  gozWI  suKam anuBavantaH suKena kAlam
   nayanti | athavā yuktam etad ucyate 	nayanti | aTavA yuktam etat ucyate 
   subhāṣita rasāsvāda baddha romāñca kañcukaṃ |	su BAzita rasa AsvAda  badDa   romAQca  kaQcukam |
   vināpi saṃgamaṃ strīṇāṃ kavīnāṃ sukham edhate ||Panc_2.170||	vinA api saMgamam strINAm kavInAm suKam eDate ||Pan= _2.170||
   subhāṣita maya dravya saṅgrahaṃ na karoti yaḥ |	su BAzita maya  dravya  saFgraham na karoti yaH |
   sa tu prastāva yajñeṣu kāṃ pradāsyati dakṣiṇām ||Panc_2.171||	sa tu prastAva  yajQezu kAm pradAsyati dakziNAm ||Pan= _2.171||
   tathā ca 	taTA ca 
   sakṛd uktaṃ na gṛhṇāti svayaṃ vā na karoti yaḥ |	sakRt uktam na gRhNAti svayam vA na karoti yaH |
   yasya saṃpuṭikā nāsti kutas tasya subhāṣitam ||Panc_2.172||	yasya saMpuwikA na asti kutas tasya su BAzitam ||Pan= _2.172||
   athaikasminn ahani goṣṭhī samaye mṛgo nāyātaḥ | atha te vyākulībhūtāḥ	aTa ekasmin ahani gozWI samaye mRgaH na AyAtaH | aTa te vyAkulIBUtAH
   parasparaṃ jalpitum ārabdhāḥ | aho kim adya suhṛn na samāyātaḥ | kiṃ	parasparam jalpitum ArabDAH | aho kim adya suhRd na samAyAtaH | kim
   siṃhādibhiḥ kvacid vyāpādita uta lubdhakair atha vānale prapatito	siMha AdiBiH kvacid vyApAditaH uta lubDakEH aTa vA anale prapatitaH 
   gartā viṣame vā nava tṛṇa laulyād iti | athavā sādhv idam ucyate 	gartA  vizame vA nava tRNa  lOlyAt iti | aTavA sADu idam ucyate 
   sva gṛhodyāna gate'pi snigdhaiḥ pāpaṃ viśaṅkyate mohāt |	sva  gRha udyAna  gate api snigDEH pApam viSaFkyate mohAt |
   kim u dṛṣṭa bahv apāya pratibhaya kāntāra madhya sthe ||Panc_2.173||	kim u dRzwa  bahu  apAya  pratiBaya  kAntAra  maDya  sTe ||Pan= _2.173||
   atha mantharako vāyasam āha bho laghupatanakāhaṃ hiraṇyakaś ca tāvad dvāv	aTa manTarakaH vAyasam Aha BaH laGupatanakAham hiraNyakaH ca tAvat dvO= 
   apy aśaktau tasyānveṣaṇaṃ kartuṃ mandagatitvāt | tad gatvā tvam araṇyaṃ	api aSaktO tasya anvezaNam kartum manda gati tvAt | tat gatvA tvam araNyam
   śodhaya yadi kutracit taṃ jīvantaṃ paśyasīti |	SoDaya yadi kutracid tam jIvantam paSyasi iti |
   tad ākarṇya laghupatanako nātidūre yāvad gacchati tāvat palvala tīre	tat AkarNya laGupatanakaH na ati dUre yAvat gacCati tAvat palvala  tIre
   citrāṅgaḥ kūṭa pāśa niyantritas tiṣṭhati | taṃ dṛṣṭvā śoka vyākulita manās	citrAFgaH kUwa pASa  niyantritaH tizWati | tam dRzwvA Soka vyAkulita  manAH 
   tam avocat | bhadra kim idam ? citrāṅgo 'pi vāyasam avalokya viśeṣeṇa	tam avocat | Badra kim idam ? citrAFgaH api vAyasam avalokya viSezeNa
   duḥkhita manā babhūva | athavā yuktam etat 	duHKita manAH baBUva | aTavA yuktam etat  
   api mandatvam āpanno naṣṭo vāpīṣṭa darśanāt |	api manda tvam ApannaH nazwaH vA api izwa  darSanAt |
   prāyeṇa prāṇināṃ bhūyo duḥkhāvego 'dhiko bhavet ||Panc_2.174||	prAyeNa prANinAm BUyas duHKa AvegaH aDikaH Bavet ||Pan= _2.174||
   tataś ca vāṣpāvasāne citrāṅgo laghupatanakam āha bho mitra saṃjāto 'yaṃ	tatas ca vA azpa avasAne citrAFgaH laGupatanakam Aha BaH mitra saMjAtaH ayam
   tāvan mama mṛtyuḥ | tad yuktaṃ sampannaṃ yad bhavatā saha me darśanaṃ	tAvat mama mRtyuH | tat yuktam sampannam yat BavatA saha me darSanam
   sañjātam | uktaṃ ca 	san jAtam | uktam ca 
   prāṇātyaye samutpanne yadi syān mitra darśanaṃ |	prANa atyaye samutpanne yadi syAt mitra  darSanam |
   tad dvābhyāṃ sukha daṃ paścāj jīvato 'pi mṛtasya ca ||Panc_2.175||	tat dvAByAm suKa  dam paScAt jIvataH api mRtasya ca ||Pan= _2.175||
   tat kṣantavyaṃ yan mayā praṇayāt subhāṣita goṣṭhīṣv abhihitaṃ | tathā	tat kzantavyam yat mayA praNayAt su BAzita  gozWIzu aBihitam | taTA
   hiraṇyaka mantharakau mama vākyād vācyau |	hiraNyaka manTarakO mama vAkyAt vAcyO |
   ajñānāj jñānato vāpi duruktaṃ yad udāhṛtam |	ajQAnAt jQAnataH vA api duruktam yat udAhRtam |
   mayā tat kṣamyatām adya dvābhyām api prasādataḥ ||Panc_2.176||	mayA tat kzamyatAm adya dvAByAm api prasAdataH ||Pan= _2.176||
   tac chrutvā laghupatanaka āha bhadra na bhetavyam asmad vidhair mitrair	tat SrutvA laGupatanakaH Aha Badra na Betavyam asmad  viDEH mitrEH 
   vidyamānaiḥ | yāvad ahaṃ drutataraṃ hiraṇyakaṃ gṛhītvāgacchāmi | aparaṃ ye	vidyamAnEH | yAvat aham drutataram hiraNyakam gRhItvA AgacCAmi | aparam ye
   sat puruṣā bhavanti te vyasane na vyākulatvam upayānti | uktaṃ ca 	sat  puruzAH Bavanti te vyasane na vyAkula tvam upayAnti | uktam ca 
   sampadi yasya na harṣo vipadi viṣādo raṇe na bhīrutvaṃ | taṃ	sampadi yasya na harzaH vipadi vizAdaH raNe na BIru tvam | tam
   bhuvana traya tilakaṃ janayati jananī sutaṃ viralaṃ ||Panc_2.177||	Buvana traya tilakam janayati jananI sutam viralam ||Pan= _2.177||
   evam uktvā laghupatanakaś citrāṅgam āśvāsya yatra hiraṇyaka mantharakau	evam uktvA laGupatanakaH citrAFgam ASvAsya yatra hiraNyaka manTarakO
   tiṣṭhatas tatra gatvā sarvaṃ citrāṅga pāśa patanaṃ kathitavān | hiraṇyakaṃ	tizWataH tatra gatvA sarvam citrAFga pASa patanam kaTitavAn | hiraNyakam
   ca citrāṅga pāśa mokṣaṇaṃ prati kṛta niścayaṃ pṛṣṭham āropya bhūyo 'pi	ca citra aFga pASa mokzaNam prati kRta  niScayam pRzWam Aropya BUyas api
   satvaraṃ citrāṅga samīpe gataḥ | so 'pi mūṣakam avalokya kiṃcij jīvitāśayā	sa tvaram citrAFga  samIpe gataH | saH api mUzakam avalokya kiMcid jIvita ASayA
   saṃśliṣṭa āha 	saMSlizwaH Aha 
   āpan nāśāya vibudhaiḥ kartavyāḥ suhṛdo 'malāḥ |	Apan nASAya vibuDEH kartavyAH suhRdaH amalAH |
   na taraty āpadaṃ kaścid yo 'tra mitra vivarjitaḥ ||Panc_2.178||	na tarati Apadam kaScid yaH atra mitra  vivarjitaH ||Pan= _2.178||
   hiraṇyaka āha bhadra tvaṃ tāvan nīti śāstra jño dakṣa iti | tat katham	hiraNyakaH Aha Badra tvam tAvat nIti  SAstra jQaH dakzaH iti | tat kaTam
   atra kūṭa pāśe patitaḥ ?	atra kUwa pASe patitaH ?
   sa āha bho na kālo 'yaṃ vivādasya | tan na yāvat sa pāpātmā lubdhakaḥ	saH Aha BaH na kAlaH ayam vivAdasya | tat na yAvat sa pApa AtmA lubDakaH
