   aṣṭama ucchvāsaḥ	azwamaH ucCvAsaH
   kṛtavānmanasi--kathamiva mahānubhāvāmenāmāmantraye /	kRtavAn-manasi---kaTam-iva mahA-anuBA=-a-AmenAm-Amantraye /
   "vatse' ityatipraṇayaḥ, "mātaḥ' iti cāṭu, "bhagini' ityātmasaṃbhāvanā,	"vatse-a iti-ati-praNayaH, "mAtaH-a iti cAwu, "Bagini-a iti-Atma-saMBAvanA,
   "devi' iti parijanālāpaḥ, "rājaputri' ityasphuṭam, "upāsike' iti	"devi-a iti parijana-AlApaH, "rAja-putri-a iti-asPuwam, "upAsike-a iti
   manorathaḥ, "svāmini' iti bhṛtyabhāvābhyupagamaḥ, "bhadre'	manoraTaH, "svAmini-a iti BRtya-BAva-aByupagamaH, "Badre-a
   itītarastrīsamucitam, "āyuṣmati' ityavasthāyāmapriyam, "kalyāṇini' iti	iti-itara-strI-samucitam, "a-Ayuzmati-a iti-avasTAyAm-apriyam, "kalyANini-a iti
   daśāyāṃ viruddham, "candramukhi' ityamunimatam, "bāle' ityagauravopetam,	daSAyAm virudDam, "candra-muKi-a iti-amuni-matam, "bAle-a iti-agOrava-upetam,
   "ārye' iti jarāropaṇam "puṇyavati' iti phalaviparītam, "bhavati' iti	"Arye-a iti jarA-AropaNam "puNyavati-a iti Pala-viparItam, "Bavati-a iti
   sarvasādhāraṇam /	sarva-sADAraNam /
   api ca "kāsi' ityanabhijātam, kimarthaṃ rodiṣi' iti	api ca "kA-asi-a iti-anaBijAtam, kim-arTam rodizi-a iti
   duḥkhakāraṇasmaraṇakāri, "mā rodīḥ' iti śokahetumanapanīya na śobhate,	duHKa-kAraNa-smaraNa-kAri, "mA rodIHa iti Soka-hetum-anapanIya na SoBate,
   "samāsvasihi' iti kimāśritya, "svāgatam' iti yātayāmam, "sukhamāsyate' iti	"samAsvasihi-a iti kim-ASritya, "svAgatam-a iti yAtayAmam, "suKam-Asyate-a iti
   mityā /	mityA /
   ityevaṃ cintayatyeva mayi tasmātstraiṇādutthāyānyatarā yoṣidāryarūpeva	iti-evam cintayati-eva mayi tasmAt-strENAt-utTAya-anyatarA yozit-Arya-rUpA-iva
   śokaviklavā samupasṛtya katipayapalitaśāraṃ śiro nītvā	Soka-viklavA samupasRtya katipaya-palita-SAram SiraH nItvA
   mahītalamatulahṛdayasaṃtāpasūcakairaśrubindubhiscaraṇayugalaṃ dahantī	mahI-talam-atula-hRdaya-saMtApa-sUcakEH-aSru-binduBiH-caraNa-yugalam dahantI
   mamātikṛpaṇairakṣaraiśca hṛdayamabhihitavatī--"bhagavan!	mama-ati-kRpaNEH-akzarEH-ca hRdayam-aBihitavatI--"Bagavan!
   sarvasattvānukampinī prāyaḥ pravrajyā /	sarva-sattva-anukampinI prAyas pravrajyA /
   pratipannaduḥkhakṣapaṇadīkṣādakṣāśca bhavanti saugatāḥ /	pratipanna-duHKa-kzapaNa-dIkzA-dakzAH-ca Bavanti sOgatAH /
   karuṇākulagṛhaṃ ca bhagavataḥ śākyamuneḥ śāsanam /	karuNA-Akula-gRham ca BagavataH SAkya-muneH SAsanam /
   sakalajanopakārasajjā sajjanatā jainī /	sakala-jana-upakAra-sajjA sajjanatA jEnI /
   paralokasādhanaṃ ca dharmo munīnām /	para-loka-sADanam ca DarmaH munInAm /
   prāṇarakṣaṇācca na paraṃ puṇyajātaṃ jagati gīyate janena /	prANa-rakzaNAt-ca na param puNya-jAtam jagati gIyate janena /
   anukampābhūmayaḥ prakṛtyaiva yuvatayaḥ kiṃ punarvipadabhibhūtāḥ?	anukampA-BU-mayaH prakRtyA-eva yuvatayaH kim punar-vipad-aBiBUtAH?
   sādhujanaśca siddhakṣetramārtavacasām /	sADu-janaH-ca sidDa-kzetram-Arta-vacasAm /
   yata iyaṃ naḥ svāminī maraṇena piturabhāvena bhartṛḥ pravāsena ca bhrātuḥ	yatas iyam naH svAminI maraNena pituH-aBAvena BartRH pravAsena ca BrAtuH
   bhraṃśena ca śeṣasya bāndhavavargasyātimṛduhṛdayatayānapatyatayā ca	BraMSena ca Sezasya bAnDava-vargasya-ati-mRdu-hRdaya-tayA-anapatya-tayA ca
   niravalambanā, paribhavena ca nīcārātikṛtena, prakṛtimanasvinī amunā ca	niravalambanA, pariBavena ca nIcAra-atikRtena, prakRti-manasvinI amunA ca
   mahāṭavīparyaṭanavaleśena kadarthitasaukumāryā,	mahA-awavI-paryawana-valeSena kadarTita-sOkumAryA,
   dagdhadaivadattairevaṃvidhairbahubhiruparyupari	dagDa-dEva-dattEH-evaMviDEH-bahuBiH-upari-upari
   vyasanaivivalavīkṛtahṛdayā, dāruṇaṃ duḥkhamapārayantī soḍhuṃ	vyasana-eviva-lavIkRta-hRdayA, dAruNam duHKam-apArayantI soXum
   nivārayantamānākrāntapūrvaṃ svapne 'pyavagaṇayya	nivArayantamAnAkrAnta-pUrvam svapne api-avagaNayya
   gurujanamanunayantīrakhaṇḍitapraṇayā narmasvapi samavadhīrya	guru-janam-anunayan-tIra-KaNxita-praNayAH narmasu-api samavaDIrya
   priyasakhīrvijñāpayantamaśaraṇamanāthamaśruvyākulanayanamaparibhūtapūrvaṃ	priya-saKIH-vijQApayantam-aSaraNam-anATam-aSru-vyAkula-nayanam-apariBUta-pUrvam
   manasāpi paribhūya bhṛtyavargamagniṃ praviśati /	manasA-api pariBUya BRtya-vargam-agnim praviSati /
   paritrāyatām /	paritrAyatAm /
   āryo 'pi tāvadasaṅyaśokāpanayanopāyopaderśānapuṇāṃ vyāpārayatu vāṇīmasyām'	AryaH api tAvat-asaFya-Soka-apanayana-upAya-upadeH-SA-napuNAm vyApArayatu vANIm-asyAm-a
   iti cātikṛpaṇaṃ vyāharantīmahamutthāpyodvignataraḥ	iti ca-ati-kRpaNam vyAharantIm-aham-utTApya-udvignataraH
   śanairabhihitavān--"ārye! yathā kathayasi tathā /	SanEs-aBihitavAn---"Arye! yaTA kaTayasi taTA /
   asmadgirāmagocaro 'yamasyāḥ puṇyāśayāyāḥ śokaḥ /	asmad-girAm-agocaraH ayam-asyAH puNya-ASayAyAH SokaH /
   śakyate cenmuhūrtamātramapi trātumupariṣṭānna vyartheyamabhyarthanā	Sakyate ced-muhUrta-mAtram-api trAtum-uparizwAt-na vyarTeyam-aByarTanA
   bhaviṣyatīti /	Bavizyati-iti /
   mama hi gururapara iva bhagavānsugataḥ samīpagata eva /	mama hi guruH-aparaH iva BagavAn-sugataH samIpa-gataH eva /
   kathite mayāsmannudante niyatamāgamiṣyati paramadayāluḥ /	kaTite mayA-asman-=-udante niyatam-Agamizyati parama-dayAluH /
   duḥkhāndhakārapaṭalabhiduraiśca saugataiḥ subhāṣitaiḥ svakīyaiśca	duHKa-anDakAra-pawala-BidurEH-ca sOgatEH su-BAzitEH svakIyEH-ca
   darśitanidarśanairnānāgamagurubhirgirāṃ kauśalaiḥ kuśalaśīlāmenāṃ	darSita-nidarSanEH-nAnA-Agama-guruBiH-girAm kOSalEH kuSala-SIlAm-enAm
   prabodhapadavīmāropayiṣṭati' iti /	praboDa-padavI-mAra-upayizwati-a iti /
   tacca śrutvā "tvaratāmāryaḥ' ityabhidadhānā sā punarapi pādayoḥ patitavatī	tat-ca SrutvA "tvara-tAm-AryaH-a iti-aBidaDAnA sA punar-api pAdayoH patitavatI
   so 'hamupagatya tvaramāṇo	saH aham-upagatya tvaramANaH-
   vyatikaramimamadhṛtikaramaśaraṇakṛpaṇabahuyuvatimaraṇamatikaruṇamatrabhavate	vyatikaramimam-aDRti-karamaSaraNa-kRpaNa-bahu-yuvati-maraNam-atikaruNam-atraBavate
   gurave niveditavān' iti /	gurave niveditavAn-a iti /
   atha bhūbhṛdbhaikṣavaṃ samavadhārya tadbhāṣitamaśrumiśritamaśrute 'pi	aTa BUBRt-BEkzavam samavaDArya tat-BAzitam-aSru-miSritam-aSrute api
   svasurnāmni niṃmnīkṛtamanā manyunā sarvākārasaṃvādinyā daśayaiva	svasuH-nAmni niMmnIkRta-manAH manyunA sarva-AkAra-saMvAdinyAH daSayA-eva
   dūrīkṛtasaṃdeho dagdha iva sodaryāvasthāśravaṇena śravaṇayoḥ	dUrIkRta-saMdehaH dagDaH iva sodarya-avasTA-SravaNena SravaNayoH
   śramaṇācāryamuvāca--"ārya! niyataṃ saiveyamanāryasyāsya	SramaNa-AcAryam-uvAca--"Arya! niyatam sA-eva-iyam-anAryasya-asya
   janasyātikaṭhinahṛdayasyātinṛśaṃsasya mandabhāgyasyabhaginī	janasya-ati-kaWina-hRdayasya-ati-nRSaMsasya mandaBAgyasya-BaginI
   bhāgadheyairetāmavasthāṃ nītā niṣkāraṇavairibhirvarākī vidīryamāṇaṃ me	BAgaDeyEH-etAm-avasTAm nItA nizkAraNa-vEriBiH-varAkI vidIryamANam me
   hṛdayamevaṃ nivedayati' ityuktvā tamapi śramaṇamabyadhāt--"ārya! uttiṣṭa /	hRdayam-evam nivedayati-a iti-uktvA tam-api SramaNam-abya-DAt--"Arya! uttizwa /
   darśaya vkāsau /	darSaya vkAsO /
   yatasva prabhūtaprāṇaparitrāṇapuṇyopārjanāya yāmaḥ, yadi kathañcijjīvantīṃ	yatasva praBUta-prANa-paritrANa-puNya-upArjanAya yAmaH, yadi kaTaQcid-jIvantIm
   saṃbhāvayāmaḥ' iti bhāṣamāṇa evottasthau /	saMBAvayAmaHa iti BAzamANaH eva-uttasTO /
   atha samagraśiṣyavarghānugatenācāryeṇa turagebhyaścāvatīrya samastena	aTa samagra-Sizya-varGa-anugatena-AcAryeNa turageByaH-ca-avatIrya samastena
   sāmantalokena paścādākṛṣyamāṇāśvīyenānugamyamānaḥ purastācca tena	sAmanta-lokena paScAt-AkRzyamANa-ASvIyena-anugamyamAnaH purastAt-ca tena
   śākyaputrīyeṇa pradiśyamānavartmā padbhyāmeva taṃ pradeśamaviralaiḥ padaiḥ	SAkya-putrIyeNa pradiSyamAna-vartmA padByAm-eva tam pradeSam-aviralEH padEH
   pibannivaprāvartata /	piban=-ivaprAvartata /
   krameṇa ca samīpamupagataḥ śuśrāva latāvanāntaritasya mumūrṣormahataḥ	krameNa ca samIpam-upagataH SuSrAva latA-vana-antaritasya mumUrzoH-mahataH
   straiṇasya tatkālocitānanekaprakārānālāpān--"bhagavandharma! dhāva śīghram	strENasya tad-kAla-ucitAn-aneka-prakAra-anAlApAn---"Baga-van-Darma! DAva SIGram
   bkāsi kuladevate /	bkA-asi kula-devate /
   devi dharaṇi, dhīrayasi na dukhitāṃ duhitaram /	devi DaraNi, DIrayasi na duKitAm duhitaram /
   vka nu khalu proṣitā puṣpabhūtikuṭumbinī lakṣmīḥ /	vka nu Kalu prozitA puzpa-BUti-kuwumbinI lakzmIH /
   anāthāṃ nātha mukharavaśyavividhādhividhurāṃ vadhūṃ vidhavāṃ vibodhayasi	anATAm nATa muKara-vaSya-viviDa-aDiviDurAm vaDUm viDavAm viboDayasi
   kimiti nemām /	kim-iti na-imAm /
   bhagavan, bhaktajane saṃjvariṇi sugata supto 'si /	Bagavan, Bakta-jane saMjvariNi sugata suptaH asi /
   rājadharmapuṣpabhūtibhavanapakṣapātin, udāsīnībhūto 'si katham /	rAja-Darma-puzpa-BUti-Bavana-pakza-pAtin, udAsInIBUtaH asi kaTam /
   tvayyapi vipadbāndhava vindhya, vandhyo 'yamañjalibandhaḥ /	tvayi-api vipad-bAnDava vinDya, vanDyaH ayam-aQjalibanDaH /
   mātarmahāṭavi, raṭantīṃ, naśṛṇoṣīmāmāpatpatitām /	mAtar-mahA-awavi, rawantIM, naSRNozImAm-Apad-patitAm /
   pataṅga, prasīda pāhi pativratāmaśaraṇam /	pataFga, prasIda pAhi pativratAm-aSaraNam /
   prayatnarakṣita kṛtaghna cāritracaṇḍāla, na rakṣasi rājaputrīm /	prayatna-rakzita kRtaGna cAritra-caNxAla, na rakzasi rAja-putrIm /
   kimavadhṛtaṃ lakṣaṇaiḥ /	kim-avaDRtam lakzaNEH /
   hā devi duhitṛsnehamayi yaśomati, maṣitāsi dagdhadhavadasyunā /	hA devi duhitR-sneha-mayi yaSomati, mazitA-asi dagDa-Dava-dasyunA /
   deva, duhitari dahyamānāyāṃ nāpatasi /	deva, duhitari dahyamAnAyAm na-apatasi /
   pratāpaśīla, śithilībhūtamapatyapreṇa /	pratApa-SIla, SiTilIBUtam-apatya-preNa /
   mahārāja rājyavardhana, na dhāvasi mandībhūtā bhaginīprītiḥ /	mahA-rAja rAjya-varDana, na DAvasi mandIBUtA BaginI-prItiH /
   aho niṣṭhuraḥ pretabāvaḥ /	aho nizWuraH preta-bAvaH /
   vyapehi pāpa pāvaka strīghātanirghṛṇa, jvalanna lajjase /	vyapehi pApa pAvaka strI-GAta-nirGRNa, jvalan-na lajjase /
   brātarvāta, dāsī tavāsmi /	brAtar-vAta, dAsI tava-asmi /
   saṃvādaya drutaṃ devīdāhaṃ devāya duḥkhitajanātiharāya harṣāya /	saMvAdaya drutam devI-dAham devAya duHKita-jana-ati-harAya harzAya /
   nitāntaniḥśūka śokaśvapāka, sakāmo 'si /	nitAnta-niHSUka Soka-Sva-pAka, sa-kAmaH asi /
   duḥkhadāyinviyogarākṣasa, saṃtuṣṭī'si /	duHKa-dAyin-viyoga-rAkzasa, saMtuzwI-asi /
   vijane vane kamākrandāmi kasmai kathayāmi, kamupayāmi śaraṇam, kāṃ diśaṃ	vijane vane kam-AkrandAmi kasmE kaTayAmi, kam-upayAmi SaraNam, kAm diSam
   pratipadye, karomi kimabhāgadheyā /	pratipadye, karomi kim-aBAgaDeyAH /
   gāndhārike, gṛhīto 'yaṃ latāpāśaḥ /	gAnDArike, gRhItaH ayam latA-pASaH /
   piśāci mocanike, muñca śākhāgrahaṇakalaham /	piSAci mocanike, muQca SAKA-grahaNa-kalaham /
   kalahaṃsi haṃsi, kimataḥparamuttamāṅgam /	kalahaMsi haMsi, kim-atas-param-uttamAFgam /
   maṅgalike muktagalaṃ kimadyāpi rudyate /	maFgalike mukta-galam kim-adya-api rudyate /
   sundari, dūrībhavati sakhīsārthaḥ /	sundari, dUrIBavati saKI-sArTaH /
   sthāsyasi kathamivāśive śavaśibire śabarike sutanu tanūnapāti patiṣyasi	sTAsyasi kaTam-iva-aSive Sava-Sibire Sabarike su-tanu tanUnapAti patizyasi
   tvamapi /	tvam-api /
   mṛṇālakomale mālāvati, malānāsi /	mRNAla-komale mAlAvati, malAnAsi /
   mātarmātaṅgike, aṅgīkṛtastvayāpi mṛtyuḥ /	mAtar-mAtaFgike, aFgIkRtaH-tvayA-api mRtyuH /
   vatse vatsike, vatsyasi kathamanabhiprete pretanagare /	vatse vatsike, vatsyasi kaTam-anaBiprete preta-nagare /
   nāgarike, garimāṇamāgatāsyanayā svāmibhaktyā /	nAgarike, garimANam-AgatA-asi-anayA svAmi-BaktyA /
   virājike, virājitāsi rājaputrīvipadi jīvitavyayavyavasāyena /	virAjike, virAjitA-asi rAja-putrI-vipadi jIvita-vyaya-vyavasAyena /
   bhṛgupatanābhyudyamabāgābhijñe bhṛṅgāradhāriṇi, dhanyāsi /	BRgu-patana-aByudyama-bAga-aBijQe BRFgAra-DAriNi, DanyA-asi /
   ketaki, kutaḥ punarīdṛśī svapne 'pi susvāminī /	ketaki, kutas punar-IdRSI svapne api su-svAminI /
   menake, janmani janmani devīdāsyameva dadātu devo devaṃ dahandahanaḥ /	menake, janmani janmani devI-dAsyam-eva dadAtu devaH devam dahan-dahanaH /
   vijaye, vījaya kṛśānum /	vijaye, vIjaya kRSAnum /
   sānumati, namatīndīvarikā divaṃ gantukāmā /	sa-anumati, namati-indIvarikA divam gantu-kAmA /
   kāmadāsi, dehi dahanapradakṣiṇāvakāśam /	kAma-dAsi, dehi dahana-pradakziNa-avakASam /
   vicārike, viracaya vahnim /	vicArike, viracaya vahnim /
   vikira kirātike, kusumaprakaram /	vikira kirAtike, kusuma-prakaram /
   kurarike, kuru kurubakakorakācitāṃ citām /	kurarike, kuru kuru-baka-koraka-AcitAm citAm /
   cāmaraṃ cāmaragrāhiṇi, gṛhāṇa /	cAmaram cAmara-grAhiNi, gRhANa /
   punarapi kaṇṭhe marṣayitavyāninarmade narmanirmitāni nirmaryādahasitāni /	punar-api kaNWe marzayita-vyAni-narmade narma-nirmitAni nirmaryAda-hasitAni /
   bhadre subhadre, bhadramastu te paralokagamanam /	Badre suBadre, Badram-astu te para-loka-gamanam /
   agrāmīṇaguṇānurāgiṇi grāmeyike, gaccha sugatim /	agrAmINa-guNa-anurAgiNi grAmeyike, gacCa sugatim /
   vasantike, antaraṃ prayaccha /	vasantike, antaram prayacCa /
   āpṛcchate chatradhārī devi, dehi dṛṣṭim /	ApRcCate Catra-DArI devi, dehi dRzwim /
   iṣṭā tava jahāti jīvitaṃ vijayasenā /	izwA tava jahAti jIvitam vijaya-senA /
   seyaṃ muktikā muktakaṇṭhamāraṭati nikaṭe nāṭakasūtradhārī /	sA-iyam muktikA mukta-kaNWam-Arawati nikawe nAwaka-sUtra-DArI /
   pādayoḥ patati te tāmbūlavāhinī bahumatā rājaputri, patralatā /	pAdayoH patati te tAmbUla-vAhinI bahu-matA rAja-putri, patra-latA /
   kaliṅgasene, ayaṃ paścimaḥ pariṣvaṅgaḥ /	kaliFgasene, ayam paScimaH parizvaFgaH /
   pīḍaya nirbharamurasā mām /	pIxaya nirBaram-urasA mAm /
   asavaḥ pravasanti vasantasene /	asavaH pravasanti vasantasene /
   mañjulike, mārjayasi katikṛtvaḥ suduḥsahaduḥkhasahasrāsradigdhaṃ	maQjulike, mArjayasi katikRtvas su-duHsaha-duHKa-sahasra-asra-digDam
   cakṣuridaṃ, rodiṣi kiyadāśliṣya ca mām /	cakzuH-idaM, rodizi kiyat-ASlizya ca mAm /
   nirmāṇamīdṛśaṃ prāyaśo yaśodhane /	nirmANam-IdRSam prAyaSas yaSaH-Dane /
   dhīrayasyadyāpi kiṃ māṃ mādhavike /	DIrayasi-adya-api kim mAm mADavike /
   kveyamavasthā saṃsthāpanānām /	kva-iyam-avasTA saMsTApanAnAm /
   gataḥ kālaḥ kālindi, sakhījanānunayāñjalīnām /	gataH kAlaH kAlindi, saKI-jana-anunaya-aQjalInAm /
   unmattike mattapālike, kṛtāḥ pṛṣṭataḥ praṇayinīpraṇipātānurodhāḥ /	unmattike matta-pAlike, kRtAH pRzwataH praNayinI-praNipAta-anuroDAH /
   śithilayacakoravati, caraṇagrahaṇaṃ grahiṇi /	SiTilayacaka-uravati, caraNa-grahaNam grahiNi /
   kamalini, kimanena punaḥ punardaivopālambhena /	kamalini, kim-anena punar punar-dEva-upAlamBena /
   na prāptaṃ ciraṃ sakhījanasaṃgamasukham /	na prAptam ciram saKI-jana-saMgama-suKam /
   ārye mahattarike taraḍgasene, namaskāraḥ /	Arye mahattarike taraxgasene, namaskAraH /
   sakhi saudāmini, dṛṣṭāsi /	saKi sOdAmini, dRzwA-asi /
   samupanaya havyavāhanācanakusumāni kamudike /	samupanaya havyavAha-nAcana-kusumAni kamudike /
   dehi citārohaṇāya rohiṇi, hastāvalambanam /	dehi citA-ArohaNAya rohiNi, hasta-avalambanam /
   amva, dhātri, dhīrā bhava /	amva, DAtri, DIrAH Bava /
   bhavantyevaṃvidhā eva karmaṇāṃ vipākāḥ pāpakāriṇīnām /	Bavanti-evaMviDAH eva karmaNAm vipAkAH pApa-kAriNInAm /
   āryacaraṇānāmayamañjaliḥ /	Arya-caraNa-anAm-ayam-aQjaliH /
   paraḥ paralokaprayāṇapraṇāmo 'yaṃ mātaḥ /	paraH para-loka-prayANa-praNAmaH ayam mAtar /
   maraṇasamaye kasmāllavalike, halahalako balīyānānandamayo hṛdayasya me /	maraNa-samaye kasmAt-lavalike, halahalakaH balIyAn-Ananda-mayaH hRdayasya me /
   hṛṣyantyuccaromāñcamuñci kimaṅgīkṛtyāṅgāni /	hRzyanti-ucca-romAQca-muQci kim-aFgIkRtya-aFgAni /
   vāmanike, vāmena me sphuritamakṣṇā /	vAmanike, vAmena me sPuritam-akzNA /
   vṛthā virasasi vayasya vāyasa, vṛkṣe kṣīriṇi kṣaṇe kṣaṇe kṣīṇapuṇyāyāḥ	vRTA virasasi vayasya vAyasa, vRkze kzIriNi kzaNe kzaNe kzINa-puNyAyAH
   puraḥ /	puras /
   hariṇi, heṣitamiva hayānāmuttarataḥ /	hariNi, hezitam-iva hayAnAm-uttaratas /
   kasyedamātapatramuccamatra pādapāntareṇa prabhāvati, vibhāvyate /	kasya-idam-Ata-patram-uccam-atra pAdapa-antareNa praBAvati, viBAvyate /
   kuraṅgike, kena sugṛhītanāmno nāma gṛhītamamṛtamayamāryasya /	kuraFgike, kena su-gRhIta-nAmnaH nAma gRhItam-amRtam-ayam-Aryasya /
   devi, diṣṭyā vardhase devasya harṣasyāgamanamahotsavena' /	devi, dizwyA varDase devasya harzasya-Agamana-mahA-utsavena-a /
   ityetacca śrutvā satvaramupasasarpa /	iti-etat-ca SrutvA sa-tvaram-upasasarpa /
   dadarśa ca muhyantīmagnipraveśāyodyatāṃ rājā rājyaśriyam /	dadarSa ca muhyantIm-agnipraveSAya-udyatAm rAjA rAjya-Sriyam /
   ālalambe ca mūrcchāmīlitalocanāyā lalāṭaṃ hastena tasyāḥ sasaṃbhramam /	Alalambe ca mUrcCA-mIlita-locanAyAH lalAwam hastena tasyAH sa-saMBramam /
   atha tena bhrātuḥ preyasaḥ prakoṣṭhabaddhānāmoṣadhīnāṃ rasavirasamiva	aTa tena BrAtuH preyasaH prakozWa-badDAnAm-ozaDInAm rasa-virasam-iva
   pratyujjīvanakṣamaṃ kṣaratā vamateva pārihāryamaṇīnāmacintyaṃ	pratyujjIvana-kzamam kzaratA vamatA-iva pArihArya-maNInAm-acintyam
   prabāvamamṛtamiva nakhacandraraśmibhirudgiratā badhnateva	prabAvam-amRtam-iva naKa-candra-raSmiBiH-udgira-tA baDnatA-iva
   candrodayacyutaśiśiraśīkaraṃ candrakāntacūḍāmaṇiṃ mūrdhani	candra-udaya-cyuta-SiSira-SIkaram candrakAnta-cUxAmaNim mUrDani
   mṛṇālamayāṅgulinevātiśītalena nirvāpayatā dahyamāma hṛdayapratyānayateva	mRNAla-maya-aFgulinA-iva-ati-SItalena nirvApayatA dahyam-Ama hRdaya-pratyAnayatA-iva
   kuto 'pi jīvitamāhlādakena hastasaṃsparśena sahasaiva samunmimīla	kutas api jIvitam-AhlAdakena hasta-saMsparSena sahasA-eva samunmimIla
   rājyaśrīḥ /	rAjya-SrIH /
   tathā cāsaṃbhāvitāgamanasyācintitadarśanasya sahasā prāptasya bhrātuḥ	taTA ca-asaMBAvita-Agamanasya-acintita-darSanasya sahasA prAptasya BrAtuH
   svapnadṛṣṭadarśanasyeva kaṇṭhe samāśliṣya	svapna-dRzwa-darSanasya-iva kaNWe samASlizya
   tatkālāvirbhāvanirbhareṇābhibhūtasarvātmanā duḥkhasaṃbhāreṇa nirdayaṃ	tad-kAla-AvirBAva-nirBareNa-aBiBUta-sarva-AtmanA duHKa-saMBAreNa nirdayam
   nadīmukhapraṇālābyāmivamuktābhyāṃ sthūlapravāhamutsṛjantī bāṣpavāri	nadI-muKa-praNAlAbyAm-ivam-uktAByAm sTUlapravAham-utsRjantI bAzpa-vAri
   vilocanābhyām "hā tāta, hā amba hā sakhyaḥ' iti vyāharantī,	vilocanAByAm "hA tAta, hA amba hA saKyaHa iti vyAharantI,
   muhurmuhuruccaistarāṃ ca samudbhūtabhaginīsnehasadbhāvabhārabhāvitamanyunā	muhur-muhur-uccEstarAm ca samudBUta-BaginI-sneha-sadBAva-BAra-BAvita-manyunA
   muktakaṇṭhamaticiraṃ vikruśya "vatse, sthirā bhava tvam' iti bhrātrā	mukta-kaNWam-ati-ciram vikruSya "vatse, sTirA Bava tvam-a iti BrAtrA
   karasthagitamukhī samāśvāsyamānāpi, "kalyāṇini, kuru vacanamagrajasya	kara-sTagita-muKI samASvAsyamAnA-api, "kalyANini, kuru vacanam-agrajasya
   guroḥ' ityācāryeṇa yācyamānāpi, devi, na paśyasi devasyāvasthām /	guroHa iti-AcAryeNa yAcyamAnA-api, devi, na paSyasi devasya-avasTAm /
   alamatiruditena' iti rājalokenābyarthyamānāpi, "svāmini,	alam-ati-ruditena-a iti rAja-lokena-AbyarTyamAnA-api, "svAmini,
   bhrātaramavekṣasva' iti parijanena vijñāpyamānāpi, "duhitaḥ, viśramya	BrAtaram-avekzasva-a iti parijanena vijQApyamAnA-api, "duhitaH, viSramya
   punarāraṭitavyam' iti nivāryamāṇāpi bāndhavavṛddhābhiḥ, "priyasakhi,	punar-Arawitavyam-a iti nivAryamANA-api bAnDava-vRdDABiH, "priya-saKi,
   kiyadrodiṣi, tūṣṇīmāssva /	kiyat-rodizi, tUzNIm-Assva /
   dṛḍhaṃ dūyate deva' iti sakhībhiranunīyamānāpi, cira	dRXam dUyate deva-a iti saKIBiH-anunIyamAnA-api, cira
   saṃbhāvitānekaduḥsahaduḥkhanivahanirbavaṇabāṣpotpīḍapīḍyamānakaṇṭhabhāgā,	saMBAvita-aneka-duHsaha-duHKa-nivaha-nirbavaNa-bAzpa-utpIxa-pIxyamAna-kaNWa-BAgA,
   prabhūtamanyubhārabharitāntaḥkaraṇā karuṇaṃ kāhalena svareṇa	praBUta-manyu-BAra-Barita-antaHkaraNA karuNam kAhalena svareNa
   katicitkālamatidīrghaṃ ruroda /	katicid-kAlam-ati-dIrGam ruroda /
   vigate ca manyuvege vahneḥ samīpādākṣipya bhrātā nītā nikaṭavartini	vigate ca manyu-vege vahneH samIpAt-Akzipya BrAtA nItA nikawa-vartini
   tarutale niṣasāda /	taru-tale nizasAda /
   śanairācāryastu tathā harṣa iti vijñāya vivardhitādaraḥ sutarāṃ	SanEs-AcAryaH-tu taTA harzaH iti vijQAya vivarDita-AdaraH sutarAm
   muhūrtamivātivāhya nibhṛtasaṃjñājñāpitena śiṣyeṇopanītaṃ nalinīdalaiḥ	muhUrtam-iva-ativAhya niBRta-saMjQA-jQApitena SizyeNa-upanItam nalinI-dalEH
   svayamevādāya namro mukhaprakṣālanāyodakamupaninye /	svayam-eva-AdAya namraH muKa-prakzAlanAya-udakam-upaninye /
   narendro 'pi sādaraṃ gṛhītvā prathamamanavaratarodanātāmraṃ	narendraH api sAdaram gRhItvA praTama-mana-varatarodanA-tAmram
   cirapravṛttāśrujalajālaṃ raktapaṅgajamiva	cira-pravRtta-aSru-jala-jAlam rakta-paFgajam-iva
   svasuścakṣurakṣālayatpaścādātmanaḥ /	svasuH-cakzuH-akzAlayat-paScAt-AtmanaH /
   prakṣālitamukhaśaśini ca mahīpāle sarvato niḥśabdaḥ saṃbabhūvasakalo	prakzAlita-muKa-SaSini ca mahIpAle sarvatas niHSabdaH saMbaBUva-sakalaH-
   likhita iva lokaḥ /	liKitaH iva lokaH /
   tato narendro mandamandamabravītsvasāram--"vatse! vandasvātrabhavantaṃ	tatas narendraH manda-mandam-abravIt-svasAram---"vatse! vanda-sva-atra-Bavantam
   bhadantam /	Badantam /
   eṣa te bharturhṛdayaṃ dvitīyamasmākaṃ ca guruḥ' iti /	eza te BartuH-hRdayam dvitIyam-asmAkam ca guruHa iti /
   rājavacanāttu rājaduhitari patiparicayaśravaṇodghātena	rAja-vacanAt-tu rAja-duhitari pati-paricaya-SravaNa-udGAtena
   punarānītanetrāmbhasi namantyāmācāryaḥ	punar-AnIta-netra-amBasi namantyAm-AcAryaH
   prayatnarakṣitāgamāgatabāṣpāmbhaḥsaṃbhārabhajyamānadhairyārdralocanaḥ	prayatna-rakzita-Agama-Agata-bAzpa-amBaH-saMBAra-BajyamAna-DErya-Ardra-locanaH
   kiñcitparāvṛttanayano dīrghaṃ niḥśaśvāsa /	kiQcid-parAvRtta-nayanaH dIrGam niHSaSvAsa /
