   akathyaṃ sukham uttamam GK_3.47b	akaTyam suKam uttamam GK_3.47b
   bhogārthaṃ sṛṣtir ity anye GK_1.9a	Boga-arTam sRztiH iti anye GK_1.9a
   bhojyam iti ca tadvidaḥ GK_2.22d	Bojyam iti ca tad-vidaH GK_2.22d
   makārabhāve prājñasya GK_1.21a	makAra-BAve prAjQasya GK_1.21a
   makāraś ca punaḥ prājñaṃ GK_1.23c	makAraH ca punar prAjQam GK_1.23c
   matvā dhīro na śocati GK_1.28d	matvA DIraH na Socati GK_1.28d
   madhyam antas tathaiva ca GK_1.27b	maDyam antar taTA-eva ca GK_1.27b
   madhyamotkṛṣṭadṛṣṭayaḥ GK_3.16b	maDyama-utkRzwa-dRzwayaH GK_3.16b
   mana iti manovido GK_2.25a	manaH iti manaH-vidaH GK_2.25a
   manaso nigrahas tadvad GK_3.41c	manasaH nigrahaH tadvat GK_3.41c
   manaso nigrahāyattam GK_3.40a	manasaH nigraha-Ayattam GK_3.40a
   manaso hy amanībhāve GK_3.31c	manasaH hi amanIBAve GK_3.31c
   manasy antas tu taijasaḥ GK_1.2b	manasi antar tu tEjasaH GK_1.2b
   manaḥ svapne na saṃśayaḥ GK_3.30b	manaH svapne na saMSayaH GK_3.30b
   manodṛśyam idaṃ dvaitaṃ GK_3.31a	manaH-dRSyam idam dvEtam GK_3.31a
   manyante kālacintakāḥ GK_1.8d	manyante kAla-cintakAH GK_1.8d
   manyante sṛṣṭicintakāḥ GK_1.7b	manyante sRzwi-cintakAH GK_1.7b
   maraṇe saṃbhave caiva GK_3.9a	maraNe saMBave ca-eva GK_3.9a
   martyatām amṛtaṃ vrajet GK_3.19d	martyatAm amRtam vrajet GK_3.19d
   martyatāṃ katham eṣyati GK_3.20d	martyatAm kaTam ezyati GK_3.20d
   martyatāṃ katham eṣyati GK_4.6d	martyatAm kaTam ezyati GK_4.6d
   mātrāsaṃpratipattau tu GK_1.21c	mAtrA-saMpratipattO tu GK_1.21c
   mātrāsaṃpratipattau syād GK_1.19c	mAtrA-saMpratipattO syAt GK_1.19c
   mātrāsaṃpratipattau syād GK_1.20c	mAtrA-saMpratipattO syAt GK_1.20c
   mānasāmānyam utkaṭam GK_1.21b	mAna-sAmAnyam utkawam GK_1.21b
   māyayā jāyate tu saḥ GK_3.24d	mAyayA jAyate tu saH GK_3.24d
   māyayā bhidyate hy etan GK_3.19a	mAyayA Bidyate hi etat GK_3.19a
   māyayā vāpi jāyate GK_3.28d	mAyayA vA-api jAyate GK_3.28d
   māyāmātram idaṃ dvaitam GK_1.17c	mAyA-mAtram idam dvEtam GK_1.17c
   māyāhastī yathocyate GK_4.44b	mAyA-hastI yaTA-ucyate GK_4.44b
   māyaiṣā tasya devasya GK_2.19c	mAyA-ezA tasya devasya GK_2.19c
   mitrādyaiḥ saha saṃmantrya GK_4.35a	mitra-AdyEH saha saMmantrya GK_4.35a
   mithyaiva khalu te smṛtāḥ GK_2.7d	miTyA-eva Kalu te smRtAH GK_2.7d
   mithyaiva khalu te smṛtāḥ GK_4.32d	miTyA-eva Kalu te smRtAH GK_4.32d
   mukhyatvaṃ hi na yujyate GK_3.14d	muKya-tvam hi na yujyate GK_3.14d
   munibhir vedapāragaiḥ GK_2.35b	muniBiH vedapAragEH GK_2.35b
   mūrta iti mūrtavido GK_2.23c	mUrtaH iti mUrta-vidaH GK_2.23c
   mṛllohavisphuliṅgādyaiḥ GK_3.15a	mRd-loha-visPuliFga-AdyEH GK_3.15a
   mokṣasya na bhaviṣyati GK_4.30d	mokzasya na Bavizyati GK_4.30d
   yajñā iti ca tadvidaḥ GK_2.22b	yajQAH iti ca tad-vidaH GK_2.22b
   yatir yādṛcchiko bhavet GK_2.37d	yatiH yAdRcCikaH Bavet GK_2.37d
   yato 'cintyāḥ sadaiva te GK_4.52d	yatas acintyAH sadA-eva te GK_4.52d
   yato na kramate jñānam GK_4.96c	yatas na kramate jQAnam GK_4.96c
   yat kiṃcit sacarācaram GK_3.31b	yat kiMcid sacarAcaram GK_3.31b
   yat tad bhavati netarat GK_3.23d	yat tat Bavati na-itarat GK_3.23d
   yatra kiṃcin na jāyate GK_3.48d	yatra kiMcid na jAyate GK_3.48d
   yatra kiṃcin na jāyate GK_4.71d	yatra kiMcid na jAyate GK_4.71d
   yatra varṇā na vartante GK_4.60c	yatra varNAH na vartante GK_4.60c
   yathā kāmo layas tathā GK_3.42d	yaTA kAmaH layaH taTA GK_3.42d
   yathā kāyas tathā sarvaṃ GK_4.36c	yaTA kAyaH taTA sarvam GK_4.36c
   yathākāśaḥ prakāśitaḥ GK_3.12d	yaTA-AkASaH prakASitaH GK_3.12d
   yathā tatra tathā svapne GK_2.4c	yaTA tatra taTA svapne GK_2.4c
   yathā na jāyate kiṃcij GK_3.2c	yaTA na jAyate kiMcid GK_3.2c
   yathā nirmitako jīvo GK_4.70a	yaTA nirmitakaH jIvaH GK_4.70a
   yathā bhavati bālānāṃ GK_3.8a	yaTA Bavati bAlAnAm GK_3.8a
   yathā māyāmayād bījāj GK_4.59a	yaTA mAyA-mayAt bIjAt GK_4.59a
   yathā māyāmayo jīvo GK_4.69a	yaTA mAyA-mayaH jIvaH GK_4.69a
   yathāvidyas tathāsmṛtiḥ GK_2.16d	yaTA-vidyaH taTA-asmRtiH GK_2.16d
   yathā svapnamayo jīvo GK_4.68a	yaTA svapna-mayaH jIvaH GK_4.68a
   yathā svapne dvayābhāsaṃ GK_3.29a	yaTA svapne dvaya-ABAsam GK_3.29a
   yathā svapne dvayābhāsaṃ GK_4.61a	yaTA svapne dvaya-ABAsam GK_4.61a
   yathā svarganivāsinām GK_2.8b	yaTA svarga-nivAsinAm GK_2.8b
   yathaikasmin ghaṭākāśe GK_3.5a	yaTA-ekasmin Gawa-AkASe GK_3.5a
   yathaiveha suśikṣitaḥ GK_2.8d	yaTA-eva-iha su-SikzitaH GK_2.8d
   yadā jīvaḥ prabudhyate GK_1.16b	yadA jIvaH prabuDyate GK_1.16b
   yadā na labhate hetūn GK_4.76a	yadA na laBate hetUn GK_4.76a
   yadā na līyate cittaṃ GK_3.46a	yadA na lIyate cittam GK_3.46a
   yadi hetoḥ phalāt siddhiḥ GK_4.18a	yadi hetoH PalAt sidDiH GK_4.18a
   yayā saṃmohitaḥ svayam GK_2.19d	yayA saMmohitaH svayam GK_2.19d
   yasya kasya ca dharmasya GK_4.82c	yasya kasya ca Darmasya GK_4.82c
   yasya siddhir apekṣayā GK_4.18d	yasya sidDiH apekzayA GK_4.18d
   yasyaivaṃ bhavati kṣāntiḥ GK_4.92c	yasya-evam Bavati kzAntiH GK_4.92c
   yaṃ bhāvaṃ darśayed yasya GK_2.29a	yam BAvam darSayet yasya GK_2.29a
   yānutpattiḥ samādvayā GK_4.77b	yA-an-utpattiH samA-dvayA GK_4.77b
   yāvad dhetuphalāveśas GK_4.55a	yAvat Detu-Pala-AveSaH GK_4.55a
   yāvad dhetuphalāveśaḥ GK_4.56a	yAvat Detu-Pala-AveSaH GK_4.56a
   yuktaṃ vaitathyam etayoḥ GK_2.10d	yuktam vEtaTyam etayoH GK_2.10d
   yugapat saṃbhave yasmād GK_4.16c	yugapad saMBave yasmAt GK_4.16c
   yujyate na tu tattvataḥ GK_3.27b	yujyate na tu tattvataH GK_3.27b
   yuñjīta praṇave cetaḥ GK_1.25a	yuQjIta praNave cetaH GK_1.25a
   yena dṛṣṭaḥ sa sarvadṛk GK_4.84d	yena dRzwaH sa sarva-dRS GK_4.84d
   yogino bibhyati hy asmād GK_3.39c	yoginaH biByati hi asmAt GK_3.39c
   yo 'sti kalpitasaṃvṛtyā GK_4.73a	yaH asti kalpita-saMvRtyA GK_4.73a
   rajodhūmādibhir yute GK_3.5b	rajaH-DUma-AdiBiH yute GK_3.5b
   rajjur eveti cādvaitaṃ GK_2.18c	rajjuH eva-iti ca-advEtam GK_2.18c
   rasādayo hi ye kośā GK_3.11a	rasa-AdayaH hi ye koSA GK_3.11a
   rūpakāryasamākhyāś ca GK_3.6a	rUpa-kArya-samAKyAH ca GK_3.6a
   lakṣaṇāśūnyam ubhayaṃ GK_4.67c	lakzaNa-aSUnyam uBayam GK_4.67c
   laya iti ca tadvidaḥ GK_2.28b	layaH iti ca tad-vidaH GK_2.28b
   layasāmānyam eva ca GK_1.21d	laya-sAmAnyam eva ca GK_1.21d
   laye saṃbodhayec cittaṃ GK_3.44a	laye saMboDayet cittam GK_3.44a
   līyate hi suṣupte tan GK_3.35a	lIyate hi suzupte tan GK_3.35a
   lokā iti lokavido GK_2.21c	lokAH iti loka-vidaH GK_2.21c
   lokāṃl lokavidaḥ prāhur GK_2.27a	lokAn loka-vidaH prAhuH GK_2.27a
   lokottaram iti smṛtam GK_4.88b	loka-uttaram iti smRtam GK_4.88b
   vandyaś caiva mahāmuniḥ GK_1.22d	vandyaH ca-eva mahA-muniH GK_1.22d
   vandhyāputro na tattvena GK_3.28c	vanDyA-putraH na tattvena GK_3.28c
   vartamāne 'pi tat tathā GK_2.6b	vartamAne api tat taTA GK_2.6b
   vartamāne 'pi tat tathā GK_4.31b	vartamAne api tat taTA GK_4.31b
   vastvabhāvaṃ sa buddhvaiva GK_4.79c	vastu-aBAvam sa budDvA-eva GK_4.79c
   vastvābhāsaṃ tathaiva ca GK_4.45b	vastu-ABAsam taTA-eva ca GK_4.45b
   vādā iti vādavido GK_2.24c	vAdAH iti vAda-vidaH GK_2.24c
   vādinaḥ kecid eva hi GK_4.3b	vAdinaH kecid eva hi GK_4.3b
   vikaroty aparān bhāvān GK_2.13a	vikaroti aparAn BAvAn GK_2.13a
   vikalpo vinivartate GK_2.18b	vikalpaH vinivartate GK_2.18b
   vikalpo vinivarteta GK_1.18a	vikalpaH vinivarteta GK_1.18a
   vikārāvayavau tathā GK_3.7d	vikAra-avayavO taTA GK_3.7d
   vikārāvayavau yathā GK_3.7b	vikAra-avayavO yaTA GK_3.7b
   vikṣiptaṃ kāmabhogayoḥ GK_3.42b	vikziptam kAma-BogayoH GK_3.42b
   vikṣiptaṃ śamayet punaḥ GK_3.44b	vikziptam Samayet punar GK_3.44b
   vijñānaspanditaṃ tathā GK_4.47d	vijQAna-spanditam taTA GK_4.47d
   vijñānaṃ śāntam advayam GK_4.45d	vijQAnam SAntam advayam GK_4.45d
   vijñāne 'pi tathaiva syur GK_4.50c	vijQAne api taTA-eva syuH GK_4.50c
   vijñāne spandamāne vai GK_4.51a	vijQAne spandamAne vE GK_4.51a
   vijñeyāny agrayāṇataḥ GK_4.90b	vijQeyAni agrayANataH GK_4.90b
   vitathaiḥ sadṛśāḥ santo GK_2.6c	vitaTEH sadRSAH santaH GK_2.6c
   vitathaiḥ sadṛśāḥ santo GK_4.31c	vitaTEH sadRSAH santaH GK_4.31c
   vidyate na hi nānātvaṃ GK_4.91c	vidyate na hi nAnAtvam GK_4.91c
   viparyāsād yathā jāgrad GK_4.41a	viparyAsAt yaTA jAgrat GK_4.41a
   viparyāse tayoḥ kṣīṇe GK_1.15c	viparyAse tayoH kzINe GK_1.15c
   viprāṇāṃ vinayo hy eṣa GK_4.86a	viprANAm vinayaH hi eza GK_4.86a
   vibhūtiṃ prasavaṃ tv anye GK_1.7a	viBUtim prasavam tu anye GK_1.7a
   vivadantaḥ parasparam GK_4.3d	vivadantaH parasparam GK_4.3d
   vivadanto dvayā hy evam GK_4.4c	vivadantaH dvayAH hi evam GK_4.4c
   vivadāmo na taiḥ sārdham GK_4.5c	vivadAmaH na tEH sArDam GK_4.5c
   vivekas tatra nocyate GK_4.60d	vivekaH tatra na-ucyate GK_4.60d
   viśeṣas tv indriyāntare GK_2.15d	viSezaH tu indriya-antare GK_2.15d
   viśeṣo nānyahetukaḥ GK_2.14d	viSezaH na-anya-hetukaH GK_2.14d
   viśvasyātvavivakṣāyām GK_1.19a	viSvasya-Atu-a-vivakzAyAm GK_1.19a
   viśvo hi sthūlabhuṅ nityaṃ GK_1.3a	viSvaH hi sTUla-Buj nityam GK_1.3a
   viṣayaḥ sa hi buddhānāṃ GK_4.80c	vizayaH sa hi budDAnAm GK_4.80c
   viṣayā iti tadvidaḥ GK_2.21b	vizayAH iti tad-vidaH GK_2.21b
   vītarāgabhayakrodhair GK_2.35a	vIta-rAga-Baya-kroDEH GK_2.35a
   vītaśokaṃ tathākāmam GK_4.78c	vIta-Sokam taTAkAmam GK_4.78c
   vedā iti vedavido GK_2.22a	vedAH iti veda-vidaH GK_2.22a
   vedānteṣu vicakṣaṇaiḥ GK_2.31d	vedAntezu vicakzaNEH GK_2.31d
   vedaitad ubhayaṃ yas tu GK_1.5c	veda-etat uBayam yaH tu GK_1.5c
   vaitathyaṃ tena vai prāptaṃ GK_2.3c	vEtaTyam tena vE prAptam GK_2.3c
   vaitathyaṃ sarvabhāvānāṃ GK_2.1a	vEtaTyam sarva-BAvAnAm GK_2.1a
   vaiśāradyaṃ tu vai nāsti GK_4.94a	vESAradyam tu vE na-asti GK_4.94a
   vyaśnute tad anantaram GK_1.27d	vyaSnute tat anantaram GK_1.27d
   vyākhyātaṃ nihnute yataḥ GK_3.26b	vyAKyAtam nihnute yatas GK_3.26b
   vyākhyātās taittirīyake GK_3.11b	vyAKyAtAH tEttirIyake GK_3.11b
   śamaḥ prākṛta ucyate GK_4.86b	SamaH prAkRtaH ucyate GK_4.86b
   śāśvataṃ nāsti tena vai GK_4.57b	SASvatam na-asti tena vE GK_4.57b
   śāśvatāśāśvatābhidhā GK_4.60b	SASvata-aSASvatA-aBiDA GK_4.60b
   śuddhaṃ laukikam iṣyate GK_4.87d	SudDam lOkikam izyate GK_4.87d
   śrūyate nyāyapūrvakam GK_2.3b	SrUyate nyAya-pUrvakam GK_2.3b
   ṣaḍviṃśa iti cāpare GK_2.26b	zaxviMSaH iti ca-apare GK_2.26b
   sa eva budhyate bhedān GK_2.12c	saH eva buDyate BedAn GK_2.12c
   sa eṣa neti netīti GK_3.26a	saH eza na-iti na-iti-iti GK_3.26a
   sakaṣāyaṃ vijānīyāt GK_3.44c	sa-kazAyam vijAnIyAt GK_3.44c
   sakṛdvibhātaṃ sarvajñaṃ GK_3.36c	sakRt-viBAtam sarvajQam GK_3.36c
   sakṛdvibhāto hy evaiṣa GK_4.81c	sakRt-viBAtaH hi eva-eza GK_4.81c
   sac ca saddhetukaṃ nāsti GK_4.40c	sat ca sat-hetukam na-asti GK_4.40c
   saj jāgaritam iṣyate GK_4.37d	sat jAgaritam izyate GK_4.37d
   satām iti viniścayaḥ GK_1.6b	satAm iti viniScayaH GK_1.6b
   sato hi māyayā janma GK_3.27a	sataH hi mAyayA janma GK_3.27a
   sad asat sadasad vāpi GK_4.22c	sat asat sat-asat vA-api GK_4.22c
   sad asaddhetukaṃ tathā GK_4.40b	sat asat-hetukam taTA GK_4.40b
   sadā buddhaiḥ prakīrtitam GK_4.88d	sadA budDEH prakIrtitam GK_4.88d
   sadā sādhyasamo hi saḥ GK_4.20b	sadA sADya-samaH hi saH GK_4.20b
   sadṛśe tat pravartate GK_4.79b	sadRSe tat pravartate GK_4.79b
   saddhetukam asat kutaḥ GK_4.40d	sat-hetukam asat kutas GK_4.40d
   sadbhāvena hy ajaṃ sarvam GK_4.57c	sadBAvena hi ajam sarvam GK_4.57c
   sa pūjyaḥ sarvabhūtānāṃ GK_1.22c	sa pUjyaH sarva-BUtAnAm GK_1.22c
   saprayojanatā teṣāṃ GK_2.7a	sa-prayojana-tA tezAm GK_2.7a
   saprayojanatā teṣāṃ GK_4.32a	sa-prayojana-tA tezAm GK_4.32a
   sa bhuñjāno na lipyate GK_1.5d	sa BuQjAnaH na lipyate GK_1.5d
   samaprāptaṃ na cālayet GK_3.44d	sama-prAptam na cAlayet GK_3.44d
   samādhir acalo 'bhayaḥ GK_3.37d	samADiH acalaH aBayaH GK_3.37d
   sa munir netaro janaḥ GK_1.29d	sa muniH na-itaraH janaH GK_1.29d
   sarpadhārādibhir bhāvais GK_2.17c	sarpa-DArA-AdiBiH BAvEH GK_2.17c
   sarvacintāsamutthitaḥ GK_3.37b	sarva-cintA-samutTitaH GK_3.37b
   sarvajñatā hi sarvatra GK_4.89c	sarvajQa-tA hi sarvatra GK_4.89c
   sarvajñaṃ paricakṣate GK_3.47d	sarvajQam paricakzate GK_3.47d
   sarvam agrāhyabhāvena GK_3.26c	sarvam agrAhya-BAvena GK_3.26c
   sarvavyāpinam oṃkāraṃ GK_1.28c	sarva-vyApinam oMkAram GK_1.28c
   sarvasattvasukho hitaḥ GK_4.2b	sarva-sattva-suKaH hitaH GK_4.2b
   sarvasya praṇavo hy ādir GK_1.27a	sarvasya praNavaH hi AdiH GK_1.27a
   sarvasya hṛdi saṃsthitam GK_1.28b	sarvasya hRdi saMsTitam GK_1.28b
   sarvaṃ janayati prāṇaś GK_1.6c	sarvam janayati prANaH GK_1.6c
   sarvābhilāpavigataḥ GK_3.37a	sarva-aBilApa-vigataH GK_3.37a
   sarve ceha tu sarvadā GK_2.28d	sarve ca-iha tu sarvadA GK_2.28d
   sarve dharmā anādayaḥ GK_4.91b	sarve DarmAH anAdayaH GK_4.91b
   sarve dharmā mṛṣā svapne GK_4.33a	sarve DarmAH mRzA svapne GK_4.33a
   sarve dharmās tathā jñānaṃ GK_4.99c	sarve DarmAH taTA jQAnam GK_4.99c
   sarve dharmāḥ samābhinnā GK_4.93c	sarve DarmAH samABinnA GK_4.93c
   sarve dharmāḥ suniścitāḥ GK_4.92b	sarve DarmAH su-niScitAH GK_4.92b
   sarve dharmāḥ svabhāvataḥ GK_4.10b	sarve DarmAH svaBAvataH GK_4.10b
   savastu sopalambhaṃ ca GK_4.87a	sa-vastu sa-upalamBam ca GK_4.87a
   sahajā akṛtā ca yā GK_4.9b	sahajAH akRtA ca yA GK_4.9b
   saṃkleśasyopalabdheś ca GK_4.24c	saMkleSasya-upalabDeH ca GK_4.24c
   saṃghātāḥ svapnavat sarve GK_3.10a	saMGAtAH svapna-vat sarve GK_3.10a
   saṃbuddho na prapadyate GK_4.35b	saMbudDaH na prapadyate GK_4.35b
   saṃbhavaḥ pratiṣidhyate GK_3.25b	saMBavaH pratiziDyate GK_3.25b
   saṃbhave hetuphalayor GK_4.16a	saMBave hetu-PalayoH GK_4.16a
   saṃbhavo 'sti kathaṃcana GK_4.38d	saMBavaH asti kaTaMcana GK_4.38d
   saṃbhavo 'sya na vidyate GK_3.48b	saMBavaH asya na vidyate GK_3.48b
   saṃbhavo 'sya na vidyate GK_4.71b	saMBavaH asya na vidyate GK_4.71b
   saṃbhūter apavādāc ca GK_3.25a	saMBUteH apavAdAt ca GK_3.25a
   saṃvṛtatvena bhidyate GK_2.4d	saMvRta-tvena Bidyate GK_2.4d
   saṃvṛtatvena hetunā GK_2.1d	saMvRta-tvena hetunA GK_2.1d
   saṃvṛte 'smin pradeśe vai GK_4.33c	saMvRte asmin pradeSe vE GK_4.33c
   saṃvṛtyā jāyate tu saḥ GK_4.74d	saMvRtyA jAyate tu saH GK_4.74d
   saṃvṛtyā jāyate sarvaṃ GK_4.57a	saMvRtyA jAyate sarvam GK_4.57a
   saṃsāras tāvad āyataḥ GK_4.56b	saMsAraH tAvat AyataH GK_4.56b
   saṃsārasya na setsyate GK_4.30b	saMsArasya na setsyate GK_4.30b
   saṃsāraṃ na prapadyate GK_4.56d	saMsAram na prapadyate GK_4.56d
   saṃspṛśaty adhvasu triṣu GK_4.27b	saMspRSati aDvasu trizu GK_4.27b
   sā ca turye na vidyate GK_1.13d	sA ca turye na vidyate GK_1.13d
   sā ca māyā na vidyate GK_4.58d	sA ca mAyA na vidyate GK_4.58d
   sāmānyaṃ vetti niścitaḥ GK_1.22b	sAmAnyam vetti niScitaH GK_1.22b
   sāṃsiddhikī svābhāvikī GK_4.9a	sAMsidDikI svABAvikI GK_4.9a
   siddhau sādhyasya yujyate GK_4.20d	sidDO sADyasya yujyate GK_4.20d
   sukham āvriyate nityaṃ GK_4.82a	suKam Avriyate nityam GK_4.82a
   supraśāntaḥ sakṛjjyotiḥ GK_3.37c	su-praSAntaH sakRjjyotiH GK_3.37c
   suprasannaṃ laye caiva GK_3.42c	su-prasannam laye ca-eva GK_3.42c
   suṣupte 'nyo na tatsamaḥ GK_3.34d	suzupte anyaH na tad-samaH GK_3.34d
   sūkṣma iti sūkṣmavidaḥ GK_2.23a	sUkzmaH iti sUkzma-vidaH GK_2.23a
   sṛjyamāne samā śrutiḥ GK_3.23b	sRjyamAne samA SrutiH GK_3.23b
   sṛṣṭir anyair vikalpitā GK_1.7d	sRzwiH anyEH vikalpitA GK_1.7d
   sṛṣṭir iti sṛṣṭivido GK_2.28a	sRzwiH iti sRzwi-vidaH GK_2.28a
   sṛṣṭir yā coditānyathā GK_3.15b	sRzwiH yA coditA-anyaTA GK_3.15b
   so 'mṛtatvāya kalpate GK_4.92d	saH amRta-tvAya kalpate GK_4.92d
   strīpuṃnapuṃsakaṃ laiṅgāḥ GK_2.27c	strI-puMnapuMsakam lEFgAH GK_2.27c
   sthitir iti sthitividaḥ GK_2.28c	sTitiH iti sTiti-vidaH GK_2.28c
   sthitau sarvaśarīreṣu GK_3.9c	sTitO sarva-SarIrezu GK_3.9c
   sthūla iti ca tadvidaḥ GK_2.23b	sTUlaH iti ca tad-vidaH GK_2.23b
   sthūlaṃ tarpayate viśvaṃ GK_1.4a	sTUlam tarpayate viSvam GK_1.4a
   spandate māyayā manaḥ GK_3.29b	spandate mAyayA manaH GK_3.29b
   spandate māyayā manaḥ GK_3.29d	spandate mAyayA manaH GK_3.29d
   sphuṭā eva ca ye bahiḥ GK_2.15b	sPuwAH eva ca ye bahis GK_2.15b
   syān nāsti paramārthataḥ GK_4.73d	syAt na-asti paramArTataH GK_4.73d
   svato vā parato vāpi GK_4.22a	svatas vA paratas vA-api GK_4.22a
   svapne āhur manīṣiṇaḥ GK_2.1b	svapne AhuH manIziNaH GK_2.1b
   svapne āhuḥ prakāśitam GK_2.3d	svapne AhuH prakASitam GK_2.3d
   svapnajāgaritasthāne hy GK_2.5a	svapna-jAgarita-sTAne hi GK_2.5a
   svapnadṛkcittadṛśyās te GK_4.64a	svapna-dRS-citta-dRSyAH te GK_4.64a
   svapnadṛkcittam iṣyate GK_4.64d	svapna-dRS-cittam izyate GK_4.64d
   svapnadṛk pracaran svapne GK_4.63a	svapna-dRS pracaran svapne GK_4.63a
   svapnanidrāyutāv ādyau GK_1.14a	svapna-nidrA-yutO AdyO GK_1.14a
   svapnamāyāsarūpeti GK_1.7c	svapnam-AyAsa-rUpA-iti GK_1.7c
   svapnamāye yathā dṛṣṭe GK_2.31a	svapna-mAye yaTA dRzwe GK_2.31a
   svapnavṛttāv api tv antaś GK_2.9a	svapna-vRttO api tu antar GK_2.9a
   svapne cāvastukaḥ kāyaḥ GK_4.36a	svapne ca-avastukaH kAyaH GK_4.36a
   svapne paśyati tanmayaḥ GK_4.39b	svapne paSyati tad-mayaH GK_4.39b
   svapne vipratipadyate GK_2.7b	svapne vipratipadyate GK_2.7b
   svapne vipratipadyate GK_4.32b	svapne vipratipadyate GK_4.32b
   svabhāvaṃ na jahāti yā GK_4.9d	svaBAvam na jahAti yA GK_4.9d
   svabhāvenāmṛto yasya GK_3.22a	svaBAvena-amRtaH yasya GK_3.22a
   svabhāvenāmṛto yasya GK_4.8a	svaBAvena-amRtaH yasya GK_4.8a
   svasiddhāntavyavasthāsu GK_3.17a	sva-sidDAnta-vyavasTAsu GK_3.17a
   svasthaṃ śāntaṃ sanirvāṇam GK_3.47a	svasTam SAntam sa-nirvANam GK_3.47a
   hetunājaṃ prakāśate GK_3.26d	hetunA-Ajam prakASate GK_3.26d
   hetur na jāyate anādeḥ GK_4.23a	hetuH na jAyate anAdeH GK_4.23a
   hetuṃ pṛthag anāpnuvan GK_4.78b	hetum pRTak anApnuvan GK_4.78b
   hetor ādiḥ phalaṃ yeṣām GK_4.14a	hetoH AdiH Palam yezAm GK_4.14a
   hetor ādiḥ phalaṃ yeṣām GK_4.15a	hetoH AdiH Palam yezAm GK_4.15a
   hetoḥ phalasya cānādiḥ GK_4.14c	hetoH Palasya ca-anAdiH GK_4.14c
   hetvabhāve phalaṃ kutaḥ GK_4.76d	hetu-aBAve Palam kutas GK_4.76d
   heyajñeyāpyapākyāni GK_4.90a	heya-jQeyApya-pAkyAni GK_4.90a
