   atha caturtho 'dhyāyaḥ /	aTa caturTaH aDyAyaH /
   niṣkrāmati cakṣuṣo vā mūrdhno vānyebhyo vā śarīradeśebhyaḥ' (bṛ. 4.4.2)	nizkrAmati cakzuzaH vA mUrDnaH vA-anyeByaH vA SarIra-deSeByaH-a (bR. 4.4.2)
   iti /	iti /
   sā kim aniyamena eva vidvat aviduṣoḥ bhavati atha asti kaścit viduṣo	sA kim aniyamena eva vidvat aviduzoH Bavati aTa asti kaScid viduzaH-
   viśeṣaniyama iti vicikitsāyāṃ śruti aviśeṣāt aniyamaprāptau ācaṣṭe - samā	viSeza-niyamaH iti vicikitsAyAm Sruti aviSezAt aniyama-prAptO Acazwe  samA
   api hi vidvat aviduṣoḥ hṛdayāgrapradyotane tat prakāśitadvāratve ca	api hi vidvat aviduzoH hRdaya-agra-pradyotane tat prakASita-dvAra-tve ca
   mūrdhasthānāt eva vidvān niṣkrāmati sthānāntarebhyaḥ tu itare /	mUrDa-sTAnAt eva vidvAn nizkrAmati sTAna-antareByaH tu itare /
   kutaḥ - vidyāsāmarthyāt /	kutas  vidyA-sAmarTyAt /
   yadi vidvān apītaravat yataḥ kutaścit dehadeśāt utkrāmeta na eva utkṛṣṭaṃ	yadi vidvAn api-itara-vat yatas kutaScid deha-deSAt utkrAmeta naH eva utkRzwam
   lokaṃ labheta /	lokam laBeta /
   tatra ānarthikā eva vidyā syāt /	tatra AnarTikAH eva vidyA syAt /
   tat śeṣagati anusmṛtiyogāt ca vidyāśeṣabhūtā ca mūrdhani anāḍīsaṃbaddhā	tat Seza-gati anusmRti-yogAt ca vidyA-Seza-BUtA ca mUrDani anAxI-saMbadDA
   gatiḥ anuśīlayitavyā vidyāviśeṣeṣu vihitā tām abhyasyan tasya eva	gatiH anuSIlayitavyA vidyA-viSezezu vihitA tAm aByasyan tasya eva
   pratiṣṭhita iti yuktam /	pratizWitaH iti yuktam /
   tasmāt hṛdayālayena brahmaṇā su upāsitena anugṛhītaḥ tadbhāvaṃ samāpanno	tasmAt hRdaya-Alayena brahmaNA su upAsitena anugRhItaH tad-BAvam samApannaH-
   vidvān mūrdhanyayā eva śatādhikayā śatāt atiriktayā ekaśatatamyā nāḍyā	vidvAn mUrDanyayAH eva Sata-aDikayA SatAt atiriktayA eka-SatatamyA nAxyA
   niṣkrāmati itarābhiḥ itare /	nizkrAmati itarABiH itare /
   tathā hi hārdavidyāṃ prakṛtya samāmananti - 'śataṃ caikā ca hṛdayasya	taTA hi hArdavidyAm prakRtya samAmananti  aSatam ca-ekA ca hRdayasya
   nāḍyastāsāṃ mūrdhānamabhiniḥsṛtaikā /	nAxyaH-tAsAm mUrDAnam-aBiniHsRtA-ekA /
   tayordhvamāyannamṛtatvameti viṣvaṅṅnyā utkrameṇa bhavanti' (chā. 8.6.6)	tayA-UrDvamAyan=-amRta-tvam-eti vizvaFFnyAH utkrameNa Bavanti-a (CA. 8.6.6)
   iti // 17 //	iti // 17 //
   raśmi adhikaraṇam / sū. 18	raSmi aDikaraNam / sU. 18
   raśmyanusārī | BBs_4,2.18 |	raSmi-anusArI | BBH-_4,2.18 |
   asti hārdavidyā - 'atha yadidamasminbrahmapure daharaṃ puṇḍarīkaṃ veśma'	asti hArdavidyAH  aaTa yat-idam-asmin-brahma-pure daharam puNxarIkam veSma-a
   (chā. 8.1.1) iti upakramya vihitā /	(CA. 8.1.1) iti upakramya vihitA /
   tat prakriyāyām 'atha yā etā hṛdayasya nāḍyaḥ' (chā. 8.6.1) iti upakramya	tat prakriyAyAm aaTa yAH etAH hRdayasya nAxyaH-a (CA. 8.6.1) iti upakramya
   saprapañcaṃ nāḍīraśmisaṃbandham uktvā uktam 'atha	sa-prapaQcam nAxI-raSmi-saMbanDam uktvA uktam aaTa
   yatraitadasmāccharīrādutkrāmatyathaitaireva raśmibhirūrdhvamākramate'	yatra-etat-asmAt-SarIrAt-utkrAmati-aTa-etEH-eva raSmiBiH-UrDvam-Akramate-a
   (chā. 8.6.5) iti /	(CA. 8.6.5) iti /
   punaḥ ca uktam 'tayordhvamāyannamṛtatvameti' (chā. 8.6.6) iti /	punar ca uktam ataya-UrDvamAyan=-amRta-tvam-eti-a (CA. 8.6.6) iti /
   tasmāt śatādhikayā nāḍyā niṣkrāman raśmi anusārī niṣkrāmati iti gamyate /	tasmAt Sata-aDikayA nAxyA nizkrAman raSmi anusArI nizkrAmati iti gamyate /
   tat kiṃm aviśeṣeṇa eva ahani rātrau vā mriyamāṇasya raśmi anusāritvam	tat kiMm aviSezeNa eva ahani rAtrO vA mriyamANasya raSmi anusAri-tvam
   āhosvit ahani eva iti saṃśaye sati aviśeṣaśravaṇāt aviśeṣeṇa eva tāvat	Ahosvit ahani eva iti saMSaye sati aviSeza-SravaNAt aviSezeNa eva tAvat-
   raśmi anusāri iti pratijñāyate // 18 //	raSmi anusAri iti pratijQAyate // 18 //
   niśi neti cen na sambandhasya yāvaddehabhāvitvād darśayati ca | BBs_4,2.19	niSi na-iti ced na sambanDasya yAvat-deha-BAvi-tvAt darSayati ca | BBH-_4,2.19
   asti ahani nāḍīraśmisaṃbandha iti ahani mṛtasya syāt raśmi anusāritvaṃ	asti ahani nAxI-raSmi-saMbanDaH iti ahani mRtasya syAt raSmi anusAri-tvam
   rātrau tu pretasya na syāt /	rAtrO tu pretasya na syAt /
   nāḍīraśmisaṃbandhavicchedāt iti cet /	nAxI-raSmi-saMbanDa-vicCedAt iti ced /
   na /	na /
   nāḍīraśmisaṃbandhasya yāvat dehabhāvitvāt /	nAxI-raSmi-saMbanDasya yAvat deha-BAvi-tvAt /
   yāvat dehabhāvī hi śirākiraṇasaṃparkaḥ /	yAvat deha-BAvI hi SirA-kiraNa-saMparkaH /
   darśayati ca etamarthaṃ śrutiḥ - 'amuṣmādādityātpratāyante tā āsu nāḍīṣu	darSayati ca etam-arTam SrutiH  aamuzmAt-AdityAt-pratAyante tAH Asu nAxIzu
   sṛptā ābhyo nāḍībhyaḥ pratāyante te 'muṣminnāditye sṛptāḥ' (chā. 8.6.2)	sRptAH AByaH nAxIByaH pratAyante te amuzmin=-Aditye sRptAH-a (CA. 8.6.2)
   iti nidāghasamaye ca niśāsu api kiraṇa anuvṛttiḥ upalabhyate	iti nidAGa-samaye ca niSAsu api kiraNa anuvRttiH upalaByate
   pratāpādikāryadarśanāt /	pratApa-Adi-kArya-darSanAt /
   stoka anuvṛtteḥ tu durlakṣyatvam ṛtvantararajanīṣu śaiśireṣu iva durdineṣu	stokaH anuvRtteH tu durlakzya-tvam Rtu-antara-rajanIzu SESirezu iva durdinezu
   'aharevaitadrātrau dadhāti' iti ca etadeva darśayati /	aahar-eva-etat-rAtrO daDAti-a iti ca etat-eva darSayati /
   yadi ca rātrau preto vinā eva raśmi anusāreṇa ūrdhvam ākrameta raśmi	yadi ca rAtrO pretaH vinA eva raSmi anusAreNa UrDvam Akrameta raSmi
   anusāra ānarthakyaṃ bhavet /	anusAraH AnarTakyam Bavet /
   na hi etat viśiṣya adhīyate yo divā praiti sa raśmīn apekṣya ūrdvam	na hi etat viSizya aDIyate yaH divA prEti sa raSmIn apekzya Urdvam
   ākramate yaḥ tu rātrau saḥ anapekṣya eva iti /	Akramate yaH tu rAtrO saH anapekzyaH eva iti /
   atha tu vidvān api rātriprāyaṇa aparādhamātreṇa na ūrdhvam ākrameta	aTa tu vidvAn api rAtri-prAyaNa aparADa-mAtreNa na UrDvam Akrameta
   pākṣikaphalā vidyā iti apravṛttiḥ eva tasyāṃ syāt /	pAkzika-PalAH vidyA iti apravRttiH eva tasyAm syAt /
   mṛtyukālāniyamāt /	mRtyu-kAla-aniyamAt /
   atha api rātrau uparataḥ aharāgamam udīkṣeta /	aTa api rAtrO uparataH aharAgamam udIkzeta /
   aharāgame api asya kadācit araśmisaṃbandhārhaṃ śarīraṃ syāt	ahar-Agame api asya kadAcid araSmi-saMbanDa-arham SarIram syAt-
   pāvakādisaṃparkāt /	pAvaka-Adi-saMparkAt /
   'sa yāvatkṣipyenmanastāvadādityaṃ gacchati' (chā. 8.6.5) iti ca śrutiḥ	asa yAvat-kzipyet-manaH-tAvat-Adityam gacCati-a (CA. 8.6.5) iti ca SrutiH
   anudīkṣāṃ darśayati /	anudIkzAm darSayati /
   tasmāt tat aviśeṣeṇa eva idaṃ rātridivaṃ raśmi anusāritvam // 19 //	tasmAt tat aviSezeNa eva idam rAtri-divam raSmi anusAri-tvam // 19 //
   11 dakṣiṇāyana adhikaraṇam / sū. 20-21	11 dakziNAyana aDikaraNam / sU. 20-21
   ataś cāyane 'pi dakṣiṇe | BBs_4,2.20 |	atas ca-ayane api dakziNe | BBH-_4,2.20 |
   ata eva ca udīkṣā anupapatteḥ apākṣikaphalatvāt ca vidyāyā aniyatakālatvāt	atas eva ca udIkzAH anupapatteH apAkzika-Pala-tvAt ca vidyAyAH aniyata-kAla-tvAt-
   ca mṛtyoḥ dakṣiṇa ayane api mriyamāṇo vidvān prāpnoti eva vidyāphalam /	ca mRtyoH dakziNa ayane api mriyamANaH vidvAn prApnoti eva vidyA-Palam /
   uttarāyaṇa maraṇa prāśasti aprasiddherbhīṣmasya ca pratīkṣādarśanāt	uttarAyaNa maraNa prASasti aprasidDeH-BIzmasya ca pratIkzA-darSanAt-
   'āpūryamāṇapakṣādyānṣaḍudaṅṅeti māsāṃstān' (chā. 4.15.5) iti ca śruteḥ	aApUryamANa-pakza-AdyAn-zaz-udaFFA-iti mAsAn=-tAn-a (CA. 4.15.5) iti ca SruteH
   apekṣitavyam uttarāyaṇam iti imām āśaṅkām anena sūtreṇa apanudati /	apekzitavyam uttarAyaNam iti imAm ASaFkAm anena sUtreNa apanudati /
   prāśastyaprasiddhiḥ avidvat viṣayā /	prASasti-aprasidDiH avidvat vizayAH /
   bhīṣmasya pratipālanam ācārapratipālanārthaṃ	BIzmasya pratipAlanam AcAra-pratipAlana-arTam
   pitṛprasādalabdhasvacchandamṛtyutākhyāpanārthaṃ ca /	pitR-prasAda-labDa-svacCanda-mRtyu-tA-KyApana-arTam ca /
   śruteḥ tu arthaṃ vakṣyati 'ātivāhikāstalliṅgāt' (bra. sū. 4.3.4) iti // 20	SruteH tu arTam vakzyati aAtivAhikAH-tad-liFgAt-a (bra. sU. 4.3.4) iti // 20
   nanu ca - 'yatra kāle tvanāvṛttimāvṛttiṃ caiva yoginaḥ /	nanu ca  ayatra kAle tu-anAvRttim-AvRttim ca-eva yoginaH /
   prayātā yānti taṃ phalaṃ vakṣyāmi bharatarṣabha' (gī. 8.23) iti	prayAtAH yAnti tam Palam vakzyAmi Barata-RzaBa-a (gI. 8.23) iti
   kālaprādhānyena upakramya aharādikālaviśeṣaḥ smṛtau apunarāvṛttaye	kAla-prADAnyena upakramya aharAdi-kAla-viSezaH smRtO apunarAvRttaye
   niyamitaḥ kathaṃ rātrau dakṣiṇāyane vā prayāto anāvṛttiṃ yāyāditi /	niyamitaH kaTam rAtrO dakziNAyane vA prayAtaH anAvRttim yAyAt-iti /
   atra ucyate -	atra ucyate -
   yoginaḥ prati ca smaryete smārte caite | BBs_4,2.21 |	yoginaH prati ca smaryete smArte ca-ete | BBH-_4,2.21 |
   yoginaḥ prati ca ayam aharādikālaviniyogaḥ anāvṛttaye smaryate /	yoginaH prati ca ayam aharAdi-kAla-viniyogaH anAvRttaye smaryate /
   smārte ca ete yogasāṃkhye na śraute /	smArte ca ete yoga-sAMKye na SrOte /
   ato viṣayabhedāt pramāṇāviśeṣāt ca na asya smārtasya kālaviniyogasya	atas vizaya-BedAt pramANa-aviSezAt ca na asya smArtasya kAla-viniyogasya
   śrauteṣu vijñāneṣu avatāraḥ /	SrOtezu vijQAnezu avatAraH /
   nanu - 'agnirjyotirahaḥ śuklaḥ ṣaṇmāsā uttarāyaṇam' /	nanu  aagniH-jyotiH-ahar SuklaH zaz-mAsAH uttarAyaNam-a /
   'dhūmo rātristathā kṛṣṇaḥ ṣaṇmāsā dakṣiṇāyanam' (gī. 8. 24,25) iti ca	aDUmaH rAtriH-taTA kRzNaH zaz-mAsAH dakziNAyanam-a (gI. 8. 24,25) iti ca
   śrautau etau devayānapitṛyāṇau pratyabhijñāyete smṛtau api iti /	SrOtO etO deva-yAna-pitRyANO pratyaBijQAyete smRtO api iti /
   ucyate - 'taṃ kālaṃ vakṣyāmi' (gī. 8.23) iti smṛtau kālapratijñānāt	ucyate  atam kAlam vakzyAmi-a (gI. 8.23) iti smRtO kAla-pratijQAnAt-
   virodham āśaṅkya parihāra uktaḥ /	viroDam ASaFkya parihAraH uktaH /
   yadā punaḥ smṛtau api agnyādyā devatā eva ativāhikyo gṛhyante tadā na	yadA punar smRtO api agni-AdyAH devatAH eva ativAhikyaH gRhyante tadA na
   kaścit virodha iti // 21 //	kaScid viroDaH iti // 21 //
   iti śrīmatparamahaṃsaparivrājakācāryaśrīmacchaṅkarabhagavataḥ kṛtau	iti SrImat-paramahaMsa-parivrAjaka-AcArya-SrImat-SaFkara-BagavataH kRtO
   śārīrakamīmāṃsābhāṣye caturthādhyāyasya dvitīyaḥ pādaḥ // 2 //	SArIrakamI-mAMsa-ABAzye caturTa-aDyAyasya dvitIyaH pAdaH // 2 //
   caturthe 'dhyāye tṛtīyaḥ pādaḥ /	caturTe aDyAye tRtIyaH pAdaH /
   atra pāde saguṇavidyāvato mṛtasya uttaramārga abhidhānam	atra pAde sa-guNa-vidyAvataH mRtasya uttara-mArga aBiDAnam
   1 arcirādi adhikaraṇam / sū. 1	1 arciH-Adi aDikaraNam / sU. 1
   arcirādinā tatprathiteḥ | BBs_4,3.1 |	arciH-AdinA tad-praTiteH | BBH-_4,3.1 |
   āsṛti upakramāt samāna utkrāntiḥ iti uktam /	AsRti upakramAt samAnaH utkrAntiH iti uktam /
   sṛtistu śrutyantareṣu anekadhā śrūyate /	sRtiH-tu Sruti-antarezu anekaDA SrUyate /
   nāḍīraśmisaṃbandhena ekadhā 'athaitaireva raśmibhirūrdhva ākramate' (chā.	nAxI-raSmi-saMbanDena ekaDA aaTa-etEH-eva raSmiBiH-UrDvaH Akramate-a (CA.
   8.6.5) iti /	8.6.5) iti /
   arcirādika ekā 'te 'rciṣamabhisaṃbhavantyarciṣo 'haḥ' (bṛ. 6.2.15) iti /	arciH-AdikaH ekA ate arcizam-aBisaMBavanti-arcizaH ahaH-a (bR. 6.2.15) iti /
   'sa etaṃ devayānaṃ panthānamāsādyāgnilokamāgacchati' (kau. 1.3) iti anyā /	asaH etam deva-yAnam panTAnam-AsAdya-agni-lokam-AgacCati-a (kO. 1.3) iti anyA /
   'yadā vai puruṣo 'smāllokātpraiti sa vāyumāgacchati' (bṛ. 5.10.1) iti	ayadA vE puruzaH asmAt-lokAt-prEti sa vAyum-AgacCati-a (bR. 5.10.1) iti
   aparā /	aparA /
   'sūryadvāreṇa te virajāḥ prayānti' (muṇḍa, 1.2.11) iti ca aparā /	asUrya-dvAreNa te virajAH prayAnti-a (muNxa, 1.2.11) iti ca aparA /
   tatra saṃśayaḥ - kiṃ parasparaṃ bhinnā etāḥ sṛtaya kiṃ va eka eva	tatra saMSayaH  kim parasparam BinnAH etAH sRtaya kim vaH ekaH eva
   anekaviśeṣaṇa iti /	aneka-viSezaNaH iti /
   tatra prāptaṃ tāvat bhinnāḥ etāḥ sṛtaya iti /	tatra prAptam tAvat BinnAH etAH sRtayaH iti /
   bhinnaprakaraṇatvāt /	Binna-prakaraNa-tvAt /
   bhinna upāsanāśeṣatvāt ca /	BinnaH upAsana-aSeza-tvAt ca /
   api ca 'athaitaireva raśmibhiḥ'(chā. 8.6.5) iti avadhāraṇam arcirādi	api ca aaTa-etEH-eva raSmiBiH-a(CA. 8.6.5) iti avaDAraNam arciH-Adi
   apekṣāyām uparudhyeta /	apekzAyAm uparuDyeta /
   tvarāvacanaṃ ca pīḍyeta 'sa yāvatkṣipyenmanastāvadādityaṃ gacchati' (chā.	tvarA-vacanam ca pIxyeta asa yAvat-kzipyet-manaH-tAvat-Adityam gacCati-a (CA.
   8.6.5) iti /	8.6.5) iti /
   tasmāt anyonyabhinnā eva ete panthāna iti /	tasmAt anyonya-BinnAH eva ete panTAnaH iti /
   evaṃ prāpte abhidadhmahe - arcirādina iti - sarvo brahmaprepsuḥ arcirādina	evam prApte aBidaDmahe  arciH-AdinaH iti  sarvaH brahma-prepsuH arciH-Adina
   eva adhvanā raṃhati iti pratijānīmahe /	eva aDvanA raMhati iti pratijAnImahe /
   kutaḥ - tat prathiteḥ /	kutas  tat praTiteH /
   prathito hi eṣa mārgaḥ sarveṣāṃ viduṣām /	praTitaH hi eza mArgaH sarvezAm viduzAm /
   tathā hi pañcāgnividyāprakaraṇe 'ye 'cāmī araṇye śraddhāṃ satyamupāsate'	taTA hi paQca-agni-vidyA-prakaraNe aye acAmI araNye SradDAm satyam-upAsate-a
   (bṛ. 6.2.15) iti vidyāntaraśīlinām api arcirādikā sṛtiḥ śrāvyate /	(bR. 6.2.15) iti vidyA-antara-SIlinAm api arciH-AdikA sRtiH SrAvyate /
   syāt etat /	syAt etat /
   yāsu vidyāsu na kācit gatiḥ ucyate tāsu iyam arcirādika upatiṣṭhatāṃ yāsu	yAsu vidyAsu na kAcid gatiH ucyate tAsu iyam arciH-AdikaH upatizWatAm yAsu
   tu anyā śrāvyate tāsu kim iti arcirādi āśrayaṇam iti /	tu anyA SrAvyate tAsu kim iti arciH-Adi ASrayaNam iti /
   atra ucyate - bhavet etadevaṃ yadi atyantabhinnā eva etāḥ sṛtayaḥ syuḥ /	atra ucyate  Bavet etat-evam yadi atyanta-BinnAH eva etAH sRtayaH syuH /
   eka eva tu eṣā sṛtiḥanekaviśeṣaṇā brahmalokaprapadanī kvacit kenacit	ekaH eva tu ezA sRtiH-aneka-viSezaNA brahma-loka-prapadanI kvacid kenacid-
   viśeṣaṇena upalakṣita iti vadāmaḥ /	viSezaNena upalakzitaH iti vadAmaH /
   sarvatra ekadeśapratyabhijñānāt itaretara viśeṣaṇaviśeṣyabhāva upapatteḥ /	sarvatra eka-deSa-pratyaBijQAnAt itara-itara viSezaNa-viSezya-BAvaH upapatteH /
   prakaraṇabhede api hi vidyā ekatve bhavati itaretara viśeṣaṇa	prakaraNa-Bede api hi vidyA eka-tve Bavati itara-itara viSezaNa
   upasaṃhāravat gativiśeṣaṇānām api upasaṃhāraḥ /	upasaMhAra-vat gati-viSezaNAnAm api upasaMhAraH /
   vidyābhede api tu gati ekadeśapratyabhijñānāt gantavya abhedāt ca gati	vidyA-Bede api tu gati eka-deSa-pratyaBijQAnAt gantavyaH aBedAt ca gati
   abheda eva /	aBedaH eva /
   tathā hi 'te teṣu brahmalokeṣu parāḥ parāvato vasanti' (bṛ. 6.2.15)	taTA hi ate tezu brahma-lokezu parAH parAvataH vasanti-a (bR. 6.2.15)
   'tasminvasanti śāśvatīḥ samāḥ' (bṛ. 5.101) 'sā yā brahmaṇo jitiryā	atasmin-vasanti SASvatIH samAH-a (bR. 5.101) asA yA brahmaNaH jitiH-yA
   vyuṣṭistāṃ jitiṃ jayati tāṃ vyuṣṭiṃ vyaśnute' (kauṣī. 1.4) 'tadya evaitaṃ	vyuzwiH-tAm jitim jayati tAm vyuzwim vyaSnute-a (kOzI. 1.4) atadyaH eva-etam
   brahmalokaṃ brahmacaryeṇānuvindati' (chā. 8.4.3) iti ca tatra tatra tat	brahma-lokam brahmacaryeNa-anuvindati-a (CA. 8.4.3) iti ca tatra tatra tat-
   eva ekaṃ phalaṃ brahmalokaprāptilakṣaṇaṃ pradarśyate /	eva ekam Palam brahma-loka-prApti-lakzaNam pradarSyate /
   yat tu etaiḥ eva iti avadhāraṇam arcirādi āśrayaṇe na syāt iti /	yat tu etEH eva iti avaDAraNam arciH-Adi ASrayaNe na syAt iti /
   na eṣa doṣaḥ /	na eza dozaH /
   raśmiprāptiparatvāt asya /	raSmi-prApti-paratvAt asya /
   na hi eka eva śabdo raśmīn ca prāpayitum arhati arcirādīn ca vyāvartayitum	na hi ekaH eva SabdaH raSmIn ca prApayitum arhati arciH-AdIn ca vyAvartayitum
   tasmāt raśmisaṃbandha eva ayamavadhāryata iti draṣṭavyam /	tasmAt raSmi-saMbanDaH eva ayam-avaDAryate iti drazwavyam /
   tvarāvacanaṃ tu arcirādi apekṣāyām api gantavyāntarāpekṣā śaighryārthatvāt	tvarA-vacanam tu arciH-Adi apekzAyAm api gantavya-antara-apekzA SEGrya-arTa-tvAt
   na uparudhyate /	na uparuDyate /
   yathā nimiṣamātreṇa atra āgamyata iti /	yaTA nimiza-mAtreNa atra Agamyate iti /
   api ca 'athaitayoḥ pathornakatareṇācana' (chā. 5.108) iti	api ca aaTa-etayoH paToH-nakatareNa-Acana-a (CA. 5.108) iti
   mārgadvayabhraṣṭānāṃ kaṣṭaṃ tṛtīyaṃ sthānam ācakṣāṇā pitṛyāṇavyatiriktam	mArga-dvaya-BrazwAnAm kazwam tRtIyam sTAnam AcakzANA pitR-yANa-vyatiriktam
   ekameva devayānam arcirādiparvāṇaṃ panthānaṃ prathayati /	ekam-eva deva-yAnam arciH-Adi-parvANam panTAnam praTayati /
   bhūyāṃsi arcirādisṛtau mārgaparvāṇi alpīyāṃsi tu anyatra /	BUyAMsi arciH-Adi-sRtO mArga-parvANi alpIyAMsi tu anyatra /
   bhūyasāṃ ca anuguṇyena alpīyasāṃ nayanaṃ nyāyyam iti ataḥ api arcirādinā	BUyasAm ca anuguNyena alpIyasAm nayanam nyAyyam iti atas api arciH-AdinA
   tat prathiteḥ iti uktam // 1 //	tat praTiteH iti uktam // 1 //
   2 vāyu adhikaraṇam / sū. 2	2 vAyu aDikaraNam / sU. 2
   vāyum abdād aviśeṣaviśeṣābhyām | BBs_4,3.2 |	vAyum abdAt aviSeza-viSezAByAm | BBH-_4,3.2 |
   kena punaḥ saṃniveśaviśeṣeṇa gativiśeṣāṇānām itaretara	kena punar saMniveSa-viSezeNa gati-viSezANAnAm itaretara
   viśeṣaṇaviśeṣyabhāva iti tat etat suhṛt bhūtvā ācāryo grathayati /	viSezaNa-viSezya-BAvaH iti tat etat suhRd BUtvA AcAryaH graTayati /
   'sa etaṃ devayānaṃ panthānamāpadyāgnilokamāgacchati sa vāyulokaṃ sa	asaH etam deva-yAnam panTAnam-Apadya-agni-lokam-AgacCati sa vAyu-lokam sa
   indralokaṃ sa prajāpatilokaṃ sa brahmalokam'(kau. 1.3) iti kauṣītakīnāṃ	indra-lokam sa prajApati-lokam sa brahma-lokam-a(kO. 1.3) iti kOzItakInAm
   devayānaḥ panthāḥ paṭhyate /	deva-yAnaH panTAH paWyate /
   tatra arciḥ agnilokaśabdau tāvat ekārthau jvalanavacanatvāt iti na atra	tatra arciH agni-loka-SabdO tAvat eka-arTO jvalana-vacana-tvAt iti na atra
   saṃniveśakramaḥ kvacit anveṣyaḥ /	saMniveSa-kramaH kvacid anvezyaH /
   vāyuḥ tu arcirādau vartmani na śrutaḥ katam asmin sthāne niveśayitavya iti	vAyuH tu arciH-AdO vartmani na SrutaH katam asmin sTAne niveSayitavyaH iti
   ucyate - 'te 'rciṣamevābhisaṃbhavantyarciṣo 'harahna	ucyate  ate arcizam-eva-aBisaMBavanti-arcizaH aharahna
   āpūryamāṇapakṣamāpūryamāṇapakṣādyānṣaḍudaṅṅeti māṃsāstān	ApUryamANa-pakzam-ApUryamANa-pakza-AdyAn-zaz-udaFFA-iti mAMsAH-tAn
   māsebhyaḥsaṃvatsaraṃ saṃvatsarādityam' (chā. 5.10.1,2) iti atra	mAseByaH-saMvatsaram saMvatsara-Adityam-a (CA. 5.10.1,2) iti atra
   saṃvatsarāt parāñcam ādityāt arvāñcaṃ vāyum abhisaṃbhavanti /	saMvatsarAt parAQcam AdityAt arvAQcam vAyum aBisaMBavanti /
   kasmāt /	kasmAt /
   aviśeṣaviśeṣābhyām /	aviSeza-viSezAByAm /
   tathā hi - 'sa vāyulokam '(kau. 1.3) iti atrāviśeṣa upadiṣṭasya vāyoḥ	taTA hi  asa vAyu-lokam a(kO. 1.3) iti atra-aviSezaH upadizwasya vAyoH
   śrutyantare viśeṣa upadośo dṛśyate 'yadā vai puruṣo 'smāllokātpraiti sa	Sruti-antare viSezaH upadoSaH dRSyate ayadA vE puruzaH asmAt-lokAt-prEti sa
   vāyumāgacchati tasmai sa tatra vijihīte yathā rathacakrasya khaṃ tena sa	vAyum-AgacCati tasmE sa tatra vijihIte yaTA raTa-cakrasya Kam tena sa
   ūrdhvamākramate sa ādityamāgacchati' (bṛ. 5.101) iti /	UrDvam-Akramate saH Adityam-AgacCati-a (bR. 5.101) iti /
   etasmāt ādityāt vāyoḥ pūrvatvadarśanāt viśeṣāt abda ādityayoḥ antarāle	etasmAt AdityAt vAyoH pUrva-tva-darSanAt viSezAt abdaH AdityayoH antarAle
   vāyuḥ niveśayitavyaḥ /	vAyuH niveSayitavyaH /
   kasmāt punaḥ agneḥ paratvadarśanāt viśeṣāt arciṣaḥ anantaraṃ vāyuḥ na	kasmAt punar agneH paratva-darSanAt viSezAt arcizaH anantaram vAyuH na
   niveśyate /	niveSyate /
   na eṣaḥ asti viśeṣa iti vadāmaḥ /	na ezaH asti viSezaH iti vadAmaH /
   nanu udāhṛtā śrutiḥ - 'sa etaṃ devayānaṃ panthānamāpadyāgnilokamāgacchati	nanu udAhRtA SrutiH  asaH etam deva-yAnam panTAnam-Apadya-agni-lokam-AgacCati
   sa vāyulokaṃ sa varuṇalokam' (kauṣī. 1.3) iti /	sa vAyu-lokam sa varuNa-lokam-a (kOzI. 1.3) iti /
   ucyate - kevala- atra pāṭhaḥ paurvāparyeṇāvasthito na atra kramavacanaḥ /	ucyate  kevala atra pAWaH pOrvAparyeNa-avasTitaH na atra krama-vacanaH /
   kaścit śabdaḥ asti /	kaScid SabdaH asti /
   padārtha upadarśanamātraṃ hi atra kriyate etam etaṃ ca āgacchati iti	padArTaH upadarSana-mAtram hi atra kriyate etam etam ca AgacCati iti
   itaratra punaḥ vāyuprattena rathacakramātreṇa cchidreṇa ūrdhvam ākramya	itaratra punar vAyu-prattena raTa-cakra-mAtreNa cCidreNa UrDvam Akramya
   ādityam āgacchati iti avagamyate kramaḥ /	Adityam AgacCati iti avagamyate kramaH /
   tasmāt sūktam aviśeṣaviśeṣābhyām iti /	tasmAt sUktam aviSeza-viSezAByAm iti /
   vājasaneyinaḥ tu 'māsebhyo devalokaṃ devalokādādityam' (bṛ. 6.2.15) iti	vAjasaneyinaH tu amAseByaH deva-lokam deva-lokAt-Adityam-a (bR. 6.2.15) iti
   samāmananti /	samAmananti /
   tatra ādityān antaryāya devalokāt vāyum abhisaṃbhaveyuḥ /	tatra AdityAn antaryAya deva-lokAt vAyum aBisaMBaveyuH /
   vāyum abdāt iti tu chandogaśruti apekṣayā uktam /	vAyum abdAt iti tu Candoga-Sruti apekzayA uktam /
   chāndogya vājasaneyakayoḥ tu ekatra devaloko na vidyate paratra	CAn-dogya vAjasaneyakayoH tu ekatra deva-lokaH na vidyate paratra
   saṃvatsaraḥ /	saMvatsaraH /
   tatra śrutidvayapratyayāt ubhau api ubhayatra grathayitavyau /	tatra Sruti-dvaya-pratyayAt uBO api uBayatra graTayitavyO /
   tatra api māsasaṃbandhāt saṃvatsaraḥ pūrvaḥ paścimo devaloka iti	tatra api mAsa-saMbanDAt saMvatsaraH pUrvaH paScimaH deva-loke iti
   vivektavyam // 2 //	vivektavyam // 2 //
   3 taḍidadhikaraṇam / sū. 3	3 taxit-aDikaraNam / sU. 3
   taṭito 'dhi varuṇaḥ saṃbandhāt | BBs_4,3.3 |	tawitaH aDi varuNaH saMbanDAt | BBH-_4,3.3 |
