   Maitrāyaṇī Saṃhitā	MEtrAyaNI  SaMhitA
   viṣuptaṃ bodhayiṣyatīti yad yajatā āhutyaivainaṃ vyardhayati gṛhān vā eṣa	vizuptam boDayizyati iti yat yajatAH Ahutya eva enam vyarDayati gRhAn vE eza
   kurute yo 'gniṃ cinute yad vā anyato vindate gṛhāṃs tad āharati ya iṣṭyā	kurute yaH agnim cinute yat vE anyatas vindate gRhAn tat Aharati yaH izwyA
   vā paśunā vā somena vā yajeta yo 'syāgniḥ purā citaḥ syāt tam anvavasāya	vA paSunA vA somena vA yajeta yaH asya agniH purA citaH syAt tam anvavasAya
   yajeta yathā vā idam anyato vittvā gṛhān āharaty evaṃ tat tad āhuḥ punar	yajeta yaTA vE idam anyatas vittvA gRhAn Aharati evam tat tat AhuH punar 
   vā sruvā etad yajñe kriyate yatraiva kva ca yajeta tad etā ekaviṃśatim	vA sruvA etat yajQe kriyate yatra eva kva ca yajeta tat etAH ekaviMSatim
   upadhāya yajeta pratiṣṭhityai pratiṣṭhā hy ekaviṃśa iti //MS_3,4.5//	upaDAya yajeta pratizWityE pratizWA hi ekaviMSaH iti //n= _3,4.5//
   cinvītā : FN ⟨ cinvīta	cinvItAH : FN ⟨ cinvIta
   samās tvāgnā ṛtavo vardhayantv iti samābhiś caivainam ṛtubhiś ca saminddhe	samAH tvAgnAH RtavaH varDayantu iti samABiH ca eva enam RtuBiH ca samindDe
   saṃ divyena dīdihi rocaneneti jyotiṣmantam evainaṃ cinute viśvā ābhāhi	sam divyena dIdihi rocanena iti jyotizmantam eva enam cinute viSvAH ABAhi
   pradiśaś catasrā iti tasmād agniḥ sarvā diśā ābhāty amutrabhūyād adha yad	pradiSaH catasrAH iti tasmAt agniH sarvAH diSA ABAti amutra BUyAt aDa yat 
   yamasya bṛhaspate abhiśaster amuñcā ity āmayāvinaḥ kuryān mṛtyur vai yamo	yamasya bRhaspate aBiSasteH amuQcAH iti AmayAvinaH kuryAt mRtyuH vE yamaH 
   brahma bṛhaspatir yāvad eva brahma tenainaṃ bhiṣajyati pratyūhatām aśvinā	brahma bRhaspatiH yAvat eva brahma tena enam Bizajyati pratyUhatAm aSvinA
   mṛtyum asmād ity aśvinau vai devānāṃ bhiṣajau tā asmān mṛtyuṃ pratyūhata	mRtyum asmAt iti aSvinO vE devAnAm BizajO tAH asmAn mRtyum pratyUhata
   ud vayaṃ tamasas parīti pāpmānam eva tamo 'pahatya svargaṃ lokam	ud vayam tamasaH pari iti pApmAnam eva tamaH apahatya svargam lokam
   abhyārohaty āhṛto vai haitanāmanaḥ sarvater āpāṣṭher agneś cityasya	aByArohati AhRtaH vE ha etanAmanaH sarvateH ApAzWeH agneH cityasya
   hotāsīt tam abruvan yā apsumatīs tā icheti tasmai vā etā gandharvāpsarasaḥ	hotA AsIt tam abruvan yAH apsumatIH tAH iCa iti tasmE vE etAH ganDarva apsarasaH
   prābruvan yad apsumatīḥ sāmidhenīr bhavanti śāntyai caturviṃśatim anvāha	prAbruvan yat apsumatIH sAmiDenIH Bavanti SAntyE caturviMSatim anvAha
   caturviṃśatyakṣarā vai gāyatrī gāyatrī yajñamukhaṃ yajñamukham	caturviMSati akzarA vE gAyatrI gAyatrI yajQa muKam yajQa muKam
   evālabdhātho caturviṃśatir vā ardhamāsāḥ saṃvatsara eṣa vā asthitā śrīr	eva AlabDa aTo caturviMSatiH vE arDa mAsAH saMvatsaraH eza vA asTitA SrIH 
   yat saṃvatsaro na vā eṣa śriyelayati na hāsya śrīr ilayati gāyatrīr anvāha	yat saMvatsaraH na vE eza Sriyelayati na ha asya SrIH ilayati gAyatrIH anvAha
   tejo vai gāyatrī brahmavarcasaṃ teja eva brahmavarcasam avarunddhe	tejaH vE gAyatrI brahmavarcasam tejaH eva brahmavarcasam avarundDe
   triṣṭubho 'nvāhaujo vai vīryaṃ triṣṭubh oja eva vīryam avarunddhe yad	trizwuBaH anvAha ojaH vE vIryam trizwuB ojaH eva vIryam avarundDe yat 
   gāyatryaś ca triṣṭubhaś ca bhavanti tenaiva tad ubhayam avarunddhe yā	gAyatryaH ca trizwuBaH ca Bavanti tena eva tat uBayam avarundDe yA
   āgneyīr aniruktās tāḥ kāryā aniruktam iva hy etad avyāvṛttaṃ vyāvṛtaṃ	AgneyIH aniruktAH tAH kAryA aniruktam iva hi etat avyAvRttam vyAvRtam
   pāpmanā bhrātṛvyeṇa gachati tā agnīṣomīyasya paśoḥ kuryāt ko hi	pApmanA BrAtRvyeNa gaCati tAH agnIzomIyasya paSoH kuryAt kaH hi
   devakṣetraṃ dvir abhyārokṣyatīti tisro rātrīr bhṛtvāgniś cetavyā ity āhus	deva kzetram dvis aByArokzyati iti tisraH rAtrIH BRtvA agniH cetavyAH iti AhuH 
   tripadā virāḍ virājam evāpnoti ṣaḍ rātrīr bhṛtvāgniś cetavyā ity āhuḥ ṣaḍ	tripadA virAj virAjam eva Apnoti zaw rAtrIH BRtvA agniH cetavyAH iti AhuH zaz 
   vā ṛtavaḥ saṃvatsaraḥ saṃvatsaram anu virāḍ āyattā virājam evāpnoti daśa	vE RtavaH saMvatsaraH saMvatsaram anu virAj AyattA virAjam eva Apnoti daSa
   rātrīr bhṛtvāgniś cetavyā ity āhur daśākṣarā virāḍ virājam evāpnoti	rAtrIH BRtvA agniH cetavyAH iti AhuH daSa akzarA virAj virAjam eva Apnoti
   dvādaśa rātrīr bhṛtvāgniś cetavyā ity āhur dvādaśa māsāḥ saṃvatsaraḥ	dvAdaSa rAtrIH BRtvA agniH cetavyAH iti AhuH dvAdaSa mAsAH saMvatsaraH
   saṃvatsaram anu virāḍ āyattā virājam evāpnoti caturviṃśatiṃ rātrīr	saMvatsaram anu virAj AyattA virAjam eva Apnoti caturviMSatim rAtrIH 
   bhṛtvāgniś cetavyā ity āhuś caturviṃśatir vā ardhamāsāḥ saṃvatsaraḥ	BRtvA agniH cetavyAH iti AhuH caturviMSatiH vE arDa mAsAH saMvatsaraH
   saṃvatsaram anu virāḍ āyattā virājam evāpnoti māsaṃ bhṛtvāgniś cetavyā ity	saMvatsaram anu virAj AyattAH virAjam eva Apnoti mAsam BRtvA agniH cetavyAH iti 
   āhur māsaśa eva saṃvatsaram āpnoty aṣṭau vā etan māso vasavo 'bibhrus ta	AhuH mAsaSas eva saMvatsaram Apnoti azwO vE etat mAsaH vasavaH abiBruH ta
   imaṃ lokam ājayan gāyatrīṃ chanda ekādaśa rudrās te 'ntarikṣaṃ lokam	imam lokam Ajayan gAyatrIm CandaH ekAdaSa rudrAH te antarikzam lokam
   ājayaṃs triṣṭubhaṃ chando dvādaśādityās te 'muṃ lokam ājayan jagatīṃ	Ajayan trizwuBam CandaH dvAdaSa AdityAH te amum lokam Ajayan jagatIm
   chandas ta ārdhnuvann ṛdhnoti ya evaṃ vidvānt saṃvatsaram agniṃ bibharti	CandaH te ArDnuvan RDnoti yaH evam vidvAnt saMvatsaram agnim biBarti
   tasmād āhuḥ saṃvatsarabhṛta evāgnir ity athaitā āpriyaḥ prajāpatiḥ prajāḥ	tasmAt AhuH saMvatsara BRtaH eva agniH iti aTa etAH ApriyaH prajApatiH prajAH
   sṛṣṭvā riricāno 'manyata sa etā āprīr apaśyat tābhir ātmānam āprīṇītāgnir	sRzwvA riricAnaH amanyata saH etAH AprIH apaSyat tABiH AtmAnam AprINIta agniH 
   vai prajāpatir yad etā āpriyo bhavanty agnim evaitābhir yajamānā āprīṇīte	vE prajApatiH yat etAH ApriyaH Bavanti agnim eva etABiH yajamAnAH AprINIte
   lomaśaṃ vā etac chandaḥ paśavyam ūnātiriktaṃ prajananāya virājo bhavanti	lomaSam vE etat CandaH paSavyam Una atiriktam prajananAya virAjaH Bavanti
   virāḍ vai sarvāṇi chandāṃsi sarvāṇy evāsya chandāṃsy upahitāni bhavanti tā	virAj vE sarvANi CandAMsi sarvANi eva asya CandAMsi upahitAni Bavanti tA
   viśvacitaḥ kuryāt prāṇā vā etā jyāyasīr iva ca kanīyasīr iva ca bhavanti	viSva citaH kuryAt prANAH vE etAH jyAyasIH iva ca kanIyasIH iva ca Bavanti
   jyāyāṃsa iva ca hīme kanīyāṃsa iva ca prāṇāḥ prāṇān evātman dhatte	jyAyAMsaH iva ca hi ime kanIyAMsaH iva ca prANAH prANAn eva Atman Datte
   //MS_3,4.6//	//n= _3,4.6//
   vā : FN emended. Ed.: ā.	vA : F ema inded. Ed.: A.
   yasyāgnir ukhyo 'nugachati yathā putro jātaḥ pramīyata evaṃ tad yady	yasya agniH uKyaH anugaCati yaTA putraH jAtaH pramIyate evam tat yadi 
   anugachet tām evokhāṃ punaḥ parīndhītaiṣā vā agner yoniḥ svād evaināṃ	anugaCet tAm eva UKAm punar pari inDIta ezA vE agneH yoniH svAt eva enAm
   yoneḥ prajanayatīśvaro vā eṣo prajanitor yo 'gniṃ cinute //	yoneH prajanayati ISvaraH vE ezaH prajanitoH yaH agnim cinute //
        yās te agna ārdrā yonayo yāḥ kulāyinīr ye te agnā indavo yā u	yAH te agne ArdrAH yonayaH yAH kulAyinIH ye te agnAH indavaH yAH u
   nābhayaḥ /	na aBayaH /
        tābhiṣ ṭvam ubhayībhiḥ saṃvidānaḥ prajānaṃs tanveha niṣīda //	tABiH wvam uBayIBiH saMvidAnaH prajAnan tanva iha nizIda //
   iti yad eṣārdrā yonimati śāntyai prajā vai kulāyaṃ paśavaḥ kulāyaṃ yat	iti yat ezA ArdrA yonimati SAntyE prajAH vE kulAyam paSavaH kulAyam yat 
   kulāyinīḥ prajātyai havirbhūto vā eṣa yo 'gniṃ cinute yo 'gniṃ citvān	kulAyinIH prajAtyE haviH BUtaH vE eza yaH agnim cinute yaH agnim citvAn
   yasya striyam upaiti yathā haviḥ skannam evaṃ syād yathā haviṣe skannāya	yasya striyam upEti yaTA haviH skannam evam syAt yaTA havize skannAya
   prāyaścittim ichanty evam asmai prāyaścittim icheyur yady upeyān	prAyaScittim iCanti evam asmE prAyaScittim iCeyuH yadi upeyAn
   maitrāvaruṇyāmikṣayā yajeta maitrāvaruṇatām evopaity ātmano 'skannatvāya	mEtrAvaruNyAm ikzayA yajeta mEtrAvaruNa tAm eva upEti AtmanaH askanna tvAya
   paśur vā agnir yo vai paśuṃ purastād upacarati hinasti vā enaṃ sa tasmāt	paSuH vE agniH yaH vE paSum purastAt upacarati hinasti vE enam sa tasmAt 
   purastāt pratyañcaṃ nākrāmati tasmād u paścāt prāñcam upacaraty ātmano	purastAt pratyaQcam na AkrAmati tasmAt u paScAt prAQcam upacarati AtmanaH 
   'hiṃsāyai yo vai yathāvṛttam agniṃ cinute yathārūpaṃ prajāś ca ṛtavaś ca	ahiMsAyE yaH vE yaTAvRttam agnim cinute yaTArUpam prajAH ca RtavaH ca
   kalpante yā dakṣiṇāvṛtas tā dakṣiṇata upadadhāti yāḥ savyāvṛtas tā	kalpante yA dakziNa AvRtaH tAH dakziNatas upadaDAti yAH sa vyAvRtaH tA
   uttaratas tryālikhitāḥ paścāt prācīr upadadhāti yathāvṛttaṃ vā etad agniṃ	uttaratas tri AliKitAH paScAt prAcIH upadaDAti yaTAvRttam vE etat agnim
   cinute yathārūpaṃ prajāś ca ṛtavaś ca kalpante sasatyo 'gniś cetavyā ity	cinute yaTArUpam prajAH ca RtavaH ca kalpante sasatyaH agniH cetavyAH iti 
   āhuḥ //	AhuH //
   bhūr bhuvaḥ svaḥ // iti purastāt svayamātṛṇṇā yāvad etad vai vācaḥ satyaṃ	BUH BuvaH svar // iti purastAt svayamAtRNNA yAvat etat vE vAcaH satyam
   sasatyam evāgniṃ cinute prāṇo vai svayamātṛṇṇāmṛtaṃ hiraṇyaṃ yad	sa satyam eva agnim cinute prANaH vE svaya mAtRNNA amRtam hiraNyam yat 
   dhiraṇyeṣṭakām upadhāya svayamātṛṇṇām upadadhāty amṛta evāsya prāṇān	DiraNya izwakAm upaDAya svayamAtRNNAm upadaDAti amRtaH eva asya prANAn
   dadhāti tejo 'si tejo me yacheti hiraṇyeṣṭakā upadadhāty etābhir vā ime	daDAti tejaH asi tejaH me yaCA iti hiraNyezwakAH upadaDAti etABiH vE ime
   lokā vidhṛtā atho etābhir evāgniṃ cinuta ime lokāḥ prabhānti devā asurān	lokAH viDRtAH aTo etABiH eva agnim cinutaH ime lokAH praBAnti devAH asurAn
   hatvā mṛtyor abibhayus te chandāṃsy apaśyaṃs tāni prāviśaṃs tebhyo yadyad	hatvA mRtyoH abiBayuH te CandAMsi apaSyan tAni prAviSan teByaH yat yat 
   achadayat tenātmānam achādayanta tac chandasāṃ chandastvaṃ citiṃcitim	aCadayat tena AtmAnam aCAdayanta tat CandasAm CandaH tvam citiMcitim
   upadhāyāgneyyā dhāma chando 'bhimṛśati svām eva devatām upapraviśaty	upaDAya AgneyyA DAma CandaH aBimRSati svAm eva devatAm upapraviSati 
   ātmano 'hiṃsāyai //	AtmanaH ahiMsAyE //
   śyenacitiṃ cinvīta svargakāmaḥ śyeno vai bhūtvā gāyatry amuṃ lokam apatat	Syena citim cinvIta svarga kAmaH SyenaH vE BUtvA gAyatrI amum lokam apatat 
   svargasya lokasya samaṣṭyai rathacakracitiṃ cinvīta bhrātṛvyavān	svargasya lokasya samazwyE raTa cakra citim cinvIta BrAtRvyavAn
   rathacakraṃ vai vajraṃ kṛtvā devā asurebhya upaprāvartayaṃs teṣāṃ	raTa cakram vE vajram kRtvA devAH asureByaH upaprAvartayan tezAm
   śatatarham atṛṃhaṃs tad etām eva vajraṃ kṛtvā yajamāno	Satatarham atRMhan tat etAm eva vajram kRtvA yajamAnaH 
   bhrātṛvyāyopapravartayati śatatarhaṃ ha dṛṃhati praugacitiṃ cinvīta	BrAtRvyAya upapravartayati Satatarham ha dRMhati prOga citim cinvIta
   bhrātṛvyavān ubhayato vai devān asurāḥ parīyattā āsan purastād anye paścād	BrAtRvyavAn uBayatas vE devAn asurAH parIyattAH Asan purastAt anye paScAt 
   anye tān vā etena vyanudanta tad bhrātṛvyasya vā eṣa vinodo droṇacitiṃ	anye tAn vE etena vyanudanta tat BrAtRvyasya vE eza vinodaH droNa citim
   cinvītānnakāmo droṇena vā annam adyate 'nurūpeṇaivānnādyam avarunddhe	cinvIta anna kAmaH droNena vE annam adyate anurUpeNa eva annAdyam avarundDe
   paścāccarur bhavaty anurūpatvāya śmaśānacitiṃ cinvīta yaḥ kāmayetāñjasā	paScAt caruH Bavati anurUpa tvAya SmaSAna citim cinvIta yaH kAmayeta aQjasA
   pitṛlokam upeyām ity añjasā pitṛlokam upaity upa cānyaṃ cinvīta grāmakāmo	pitR lokam upeyAm iti aQjasA pitR lokam upEti upa ca anyam cinvIta grAma kAmaH 
   yathaivaitam upacinoty evam asmai grāmam upacinoti samūhyaṃ cinvīta	yaTA eva etam upacinoti evam asmE grAmam upacinoti samUhyam cinvIta
   paśukāmo yathaivaitaṃ samūhaty evam asmai digbhyaḥ paśūnt samūhati	paSu kAmaH yaTA eva etam samUhati evam asmE digByaH paSUnt samUhati
   //MS_3,4.7//	//n= _3,4.7//
   atṛṃhan : FN Correcturen und Conjecturen zu dem ganzen Werk.	atRMhan : FN Corret turet und Conjet turet zu dem ganzet Werk.
   praugacitiṃ : FN Correcturen und Conjecturen zu dem ganzen Werk.	prOga citim : FN Corret turet und Conjet turet zu dem ganzet Werk.
   prajāpatir vā etam agre 'gnim acinuta ṛtubhiḥ saṃvatsaraṃ vasantena	prajApatiH vE etam agre agnim acinuta RtuBiH saMvatsaram vasantena
   purastād acinuta grīṣmeṇa dakṣiṇaṃ pakṣaṃ varṣābhir uttaraṃ śaradā puchaṃ	purastAt acinuta grIzmeNa dakziNam pakzam varzABiH uttaram SaradA puCam
   hemantena madhyaṃ brahmaṇaiva purastād acinuta kṣatreṇa dakṣiṇaṃ pakṣaṃ	hemantena maDyam brahmaNA eva purastAt acinuta kzatreNa dakziNam pakzam
   viśottaraṃ paśubhiḥ pucham āśayā madhyam etāvad vā asti yāvad evāsti tat	viSottaram paSuBiH puCam ASayA maDyam etAvat vA asti yAvat eva asti tat 
   spṛṇoti tad avarunddhe svargāya vai lokāyāgniś cīyate vajra ekādaśinī yad	spRNoti tat avarundDe svargAya vE lokAya agniH cIyate vajraH ekAdaSinI yat 
   ekādaśinīṃ minuyād vajraḥ purastād avagṛhṇīyād asvargyaḥ syād yan na	ekAdaSinIm minuyAt vajraH purastAt avagRhNIyAt asvargyaH syAt yat na
   minuyād apaśuḥ syād ekayūpa ekādaśa paśavo niyujyās tena paśavyās tena	minuyAt apaSuH syAt eka yUpaH ekAdaSa paSavaH niyujyAH tena paSavyAH tena
   svargo yat pakṣasaṃmitāṃ minuyāt kanīyāṃsaṃ yajñakratum upeyāt kanīyasīṃ	svargaH yat pakza saMmitAm minuyAt kanIyAMsam yajQa kratum upeyAt kanIyasIm
   prajāṃ kanīyasaḥ paśūn kanīyo 'nnādyaṃ pāpīyānt syād atha yad vedisaṃmitāṃ	prajAm kanIyasaH paSUn kanIyaH annAdyam pApIyAnt syAt aTa yat vedi saMmitAm
   minoti jyāyāṃsaṃ cinute jyāyāṃsam eva yajñakratum upaiti bhūyasīṃ prajāṃ	minoti jyAyAMsam cinute jyAyAMsam eva yajQa kratum upEti BUyasIm prajAm
   bhūyasaḥ paśūn bhūyo 'nnādyaṃ vasīyān bhavaty eṣā vā agner uttaravatī nāma	BUyasaH paSUn BUyas annAdyam vasIyAn Bavati ezA vE agneH uttaravatI nAma
   citir uttaramuttaraṃ śvaḥśvaḥ śreyān bhavati ya evaṃ veda dvedhā vā agniṃ	citiH uttaram uttaram SvaHSvaH SreyAn Bavati yaH evam veda dveDA vE agnim
   cikyānasya yaśa indriyaṃ gachaty agniṃ vā gachaty ātmānaṃ vā //	cikyAnasya yaSaH indriyam gaCati agnim vA gaCati AtmAnam vA //
        rucaṃ no dhehi brāhmaṇeṣu rucaṃ rājasu dhāraya /	rucam naH Dehi brAhmaNezu rucam rAjasu DAraya /
        rucaṃ viśyeṣu śūdreṣu mayi dhehi rucā rucam //	rucam viSyezu SUdrezu mayi Dehi rucA rucam //
   iti yaj juhoty ātmānaṃ vā etad agner yaśasārpayatīśvaro vā eṣa duścarmā	iti yat juhoti AtmAnam vE etat agneH yaSasA arpayati ISvaraH vE eza duScarmA
   bhavitor yo 'gnim adhyeti //	BavitoH yaH agnim aDyeti //
        tat tvā yāmi brahmaṇā vandamānas tad āśāste yajamāno havirbhiḥ /	tat tvA yAmi brahmaNA vandamAnaH tat ASAste yajamAnaH havirBiH /
        aheḍamāno varuṇeha bodhy uruśaṃsam ā nā āyuḥ pra moṣīḥ //	ahexamAnaH varuNa iha boDi uru SaMsam A nA AyuH pra mozIH //
   iti yaj juhoti śāntir vā eṣāgner guptir ātmano vayo vā agnis tasmād	iti yat juhoti SAntiH vE eza agneH guptiH AtmanaH vayaH vE agniH tasmAt 
   agnicitā pakṣiṇo nāśitavyaṃ no agnividā yad aśnīyāt tam evāśnīyāt sa enam	agni citA pakziNaH nASitavyam naH agnividA yat aSnIyAt tam eva aSnIyAt saH enam
   ārtiṃ ninayet prajāpatir vā etam agre 'gnim acinuta jyaiṣṭhyakāmaḥ sa	Artim ninayet prajApatiH vE etam agre agnim acinuta jyEzWya kAmaH sa
   jyaiṣṭhyaṃ mahimānam agachad jyaiṣṭhyaṃ mahimānaṃ gachati ya evaṃ vidvān	jyEzWyam mahimAnam agaCat jyEzWyam mahimAnam gaCati yaH evam vidvAn
   agniṃ cinute prajāpatiḥ prajāḥ sṛṣṭvā tā anuprāviśat so 'bravīd yo metaḥ	agnim cinute prajApatiH prajAH sRzwvA tAH anuprAviSat saH abravIt yaH metaH
   saṃcinavadardhnuvat sa iti taṃ devāḥ samacinvaṃs ta ārdhnuvaṃs tac	saMcinavat arDnu vat saH iti tam devAH sama cinvan te ArDnuvan tat 
   cityasya cityatvaṃ tad ya evaṃ vidvān agniṃ cinoti prajāpatim eva	cityasya citya tvam tat yaH evam vidvAn agnim cinoti prajApatim eva
   saṃcinoty ṛdhnoti tasmād āhuḥ prajāpaticita evāgnir iti //MS_3,4.8//	saMcinoti RDnoti tasmAt AhuH prajApati citaH eva agniH iti //n= _3,4.8//
   devebhyo vā agniṃ cikyānebhyo na vyauchat te 'gnā āhutim ajuhavus tubhyam	deveByaH vE agnim cikyAneByaH na vyOCat te agnAH Ahutim ajuhavuH tuByam
   agre vyucha tathāsmabhyaṃ vivatsyatīti tayāgnaye vyauchad vy agnayā auchan	agre vyuCa taTA asmaByam vivatsyati iti tayA agnaye vyOCat vi agnayA OCan
   nāhutyai vyauchat tasyā āhutyai yajñena vyauchad vy āhutyā auchan na	na AhutyE vyOCat tasyAH AhutyE yajQena vyOCat vi AhutyE OCan na
   yajñāya vyauchat tasmai yajñāya dakṣiṇayā vyauchad vi yajñāyauchan na	yajQAya vyOCat tasmE yajQAya dakziNayA vyOCat vi yajQAya OCan na
   dakṣiṇāyai vyauchat tasyai dakṣiṇāyai brāhmaṇena vyauchad vi dakṣiṇāyā	dakziNAyE vyOCat tasyE dakziNAyE brAhmaNena vyOCat vi dakziNAyA
   auchan na brāhmaṇāya vyauchat tasmai brāhmaṇāya brahmaṇā vyauchad vi	OCan na brAhmaNAya vyOCat tasmE brAhmaNAya brahmaNA vyOCat vi
   brāhmaṇāyauchan na brahmaṇe vyauchat tasmai brahmaṇe tapasā vyauchad etā	brAhmaNAya OCat na brahmaNe vyOCat tasmE brahmaNe tapasA vyOCat etA
   vai tapaḥparārdhā vyuṣṭayaḥ śvovasīyasy asmai vyuchati ya evaṃ vidvān	vE tapaH parArDA vyuzwayaH SvovasIyasi asmE vyuCati yaH evam vidvAn
   vyuṣṭīr upadhatte yo vai yathāpūrvaṃ vyuṣṭīr veda yathāpūrvam asmai	vyuzwIH upaDatte yaH vE yaTApUrvam vyuzwIH veda yaTApUrvam asmE
   vyuchaty auṣasī vāva prathamā vyuṣṭir vyavāḍ iti vā āhur yad auṣasy udeti	vyuCati OzasI vAva praTamA vyuzwiH vyavAx iti vE AhuH yat Ozasi udeti
   yad vyuchati yad agnir ādhīyate yat sūrya udeti yad dhastā avanenikte yad	yat vyuCati yat agniH ADIyate yat sUryaH udeti yat DastAH avanenikte yat 
   aśnāti yat pibaty etā vai yathāpūrvaṃ vyuṣṭayo yathāpūrvam asmai vyuchati	aSnAti yat pibati etAH vE yaTApUrvam vyuzwayaH yaTApUrvam asmE vyuCati
   ya evaṃ vidvān vyuṣṭīr upadhatte //MS_3,4.9//	yaH evam vidvAn vyuzwIH upaDatte //n= _3,4.9//
   yo vā agnim ayonim anāyatanaṃ cinute 'yonir anāyatano bhavaty āpo vā agner	yaH vE agnim ayonim anAyatanam cinute ayoniH anAyatanaH Bavati ApaH vE agneH 
   yonir yat kumbheṣṭakā upadadhāti yonimantam evāyatanavantam agniṃ cinute	yoniH yat kumBezwakAH upadaDAti yonimantam eva Ayatanavantam agnim cinute
   yonimān āyatanavān bhavaty adharasapatno 'gniś cetavyā ity āhur āpo vā	yonimAn AyatanavAn Bavati aDara sapatnaH agniH cetavyAH iti AhuH ApaH vA
   agneḥ sapatno yat kumbheṣṭakā upadadhāty adharasapatnam evāgniṃ cinute	agneH sapatnaH yat kumBezwakAH upadaDAti aDara sapatnam eva agnim cinute
   'dharo 'smāt pāpmā bhavaty adharaḥ sapatnaḥ śug vā agnir āpaḥ śāntir yat	aDaraH asmAt pApmA Bavati aDaraH sapatnaH Suc vE agniH ApaH SAntiH yat 
   kumbheṣṭakā upadadhāti śāntyai yat kumbhāś ca kumbhyaś ca tan mithunaṃ yad	kumBezwakAH upadaDAti SAntyE yat kumBAH ca kumByaH ca tat miTunam yat 
   dvandvaṃ prajātyai dvādaśopadadhāti dvādaśa māsāḥ saṃvatsaraḥ saṃvatsaram	dvandvam prajAtyE dvAdaSa upadaDAti dvAdaSa mAsAH saMvatsaraH saMvatsaram
   evāptvāvarunddhe naivāraś carus trayodaśo bhavaty asti māsas trayodaśas	eva Aptva avarundDe na eva araH caruH trayodaSaH Bavati asti mAsaH trayodaSa s
   tam evaitenāptvāvarunddhe payasi bhavati yat payo grāmyaṃ tenānnādyam	tam eva etena AptvA avarundDe payasi Bavati yat payaH grAmyam tena annAdyam
   avarunddhe yan nīvārā āraṇyaṃ tena tenaiva tad ubhayam avarunddhe //	avarundDe yat nIvArAH AraNyam tena tena eva tat uBayam avarundDe //
   ity uparikāṇḍe vasordhārīyaḥ caturthaḥ prapāṭhakaḥ //MS_3,4.10//	iti upari kANxe vasoH DArIyaH caturTaH prapAWakaH //n= _3,4.10//
   [Page III,58]	[Page III,58]
   ā vā eṣa prajāpataye vṛścate yaḥ śira upadadhāti netarāṇy aṅgāny asthicid	A vE eza prajApataye vRScate yaH SiraH upadaDAti na itarANi aFgAni asTi cit 
   asya śmaśānacid bhavati yad etāṃ puruṣacitim upadadhāti na prajāpatayā	asya SmaSAnacid Bavati yat etAm puruza citim upadaDAti na prajApatayA
   āvṛścate 'nasthicid asyāśmaśānacid bhavati ṣaṭtriṃśatam etā upadadhāti	AvRScate anasTi cit asya aSmaSAna cit Bavati zawtriMSatam etAH upadaDAti
   ṣaṭtriṃśadakṣarā bṛhatī bārhatāḥ paśavo bārhataḥ puruṣaḥ puruṣasya	zawtriMSat akzarAH bRhatI bArhatAH paSavaH bArhataH puruzaH puruzasya
   pratimopadhīyate sa hy eṣa dhīyata eṣa ha tv eva yajamāno 'muṃ lokaṃ nāti	pratimA upaDIyate sa hi eza DIyate eza ha tu eva yajamAnaH amum lokam na ati
   pramīyate yasyaitā upadhīyante //MS_3,5.1//	pramIyate yasya etAH upaDIyante //n= _3,5.1//
   athaitāḥ pañcāpañcīnāḥ śithira iva vā agniś cityo yat pañcāpañcīnā	aTa etAH paQcApaQcInAH SiTiraH iva vE agniH cityaH yat paQcApaQcInA
   upadadhāty agner dhṛtyā aśithiratvāya pañcopadadhāti pāṅkto yajño yāvān	upadaDAti agneH DRtyE aSiTira tvAya paQcopadaDAti pAFktaH yajQaH yAvAn
   eva yajñas tam ālabdha bhūyaskṛd asi varivaskṛd asīty agnā eva bhūmānaṃ	eva yajQaH tam AlabDa BUyaskRt asi vari vaskRt asi iti agnAH eva BUmAnam
   dadhāti bhūyān prajayā paśubhir bhavaty apsuṣad asi gṛdhrasad asīti vayo	daDAti BUyAn prajayA paSuBiH Bavati apsuzat asi gRDra sat asi iti vayaH 
   vā agniḥ samikṣyam evainaṃ vayaḥ karoti vayo bhūtvā svargaṃ lokam eti	vE agniH samikzyam eva enam vayaH karoti vayaH BUtvA svargam lokam eti
   yasyaitā upadhīyante //MS_3,5.2//	yasya etAH upaDIyante //n= _3,5.2//
   citaḥ stha paricitaḥ stheti śarkarāḥ pariśrayati yañ śarkarā apariśritya	citaH sTa paricitaH sTA iti SarkarAH pariSrayati yan SarkarA apariSritya
   sikatā nivaped retaḥ siktaṃ parāsicyetātha yañ śarkarā apariśritya sikatā	sikatA nivapet retaH siktam parAsi cyeta aTa yan SarkarA apariSritya sikatA
   nivapati retasaḥ siktasya parigṛhītyai //MS_3,5.3//	nivapati retasaH siktasya parigRhItyE //n= _3,5.3//
   vi vā eṣa yajñaś chidyate yad asaṃsthitaṃ paśum utsṛjanti saṃ ha sma vā	vi vE eza yajQaH Cidyate yat asaMsTitam paSum utsRjanti sam ha sma vA
   etam āśokeyaḥ sthāpayaty ājyena saṃsthāpyaṃ yajñasya saṃtatyā avichedāya	etam ASokeyaH sTApayati Ajyena saMsTApyam yajQasya saMtatyA aviCedAya
   //MS_3,5.4//	//n= _3,5.4//
   [Page III,59]	[Page III,59]
   svargaṃ vā eṣa lokam anvārohati yo 'gniṃ cinute yad anvārohān juhoti	svargam vE eza lokam anvArohati yaH agnim cinute yat anvArohAn juhoti
