   1. prathamaścittotpādaḥ	1. praTamaH citta utpAdaH
   tasmād dānaphalasya apratyakṣatvād dāne praveśo 'pi na saṃbhavaḥ,	tasmAt dAna Palasya apratyakza tvAt dAne praveSaH api na saMBavaH,
   bodhisattvāstu dānasamakālameva arthināmapi paritarpaṇād,	boDisattvAH tu dAna sama kAlam eva arTinAm api paritarpaNAt ,
   abhīṣṭadānaphalasaṃpatparamānandaṃ dhārayantaḥ, tatraiva dānaphalam	aBIzwa dAna Pala saMpad parama Anandam DArayantaH, tatra eva dAna Palam
   upabhuñjanti / ataḥ sarvadā dāne muditā bhaviṣyanti / ato yathoktarītyā 	upaBuQjanti / atas sarvadA dAne muditAH Bavizyanti / atas yaTA ukta rItyA 
   dayādayā bhāvamayā yataśca /	dayA dayAH BAva mayAH yatas ca /
   sarvābhyudayaniḥ śreyasaheturdānam, tato 'sti mūlaṃ khalu dānavārtā //	sarva aByudaya niH Sreyasa hetuH dAnam, tatas asti mUlam Kalu dAnava ArtAH //
   Madhy_1.13 //	MaDi _1.13 //
   yataste sarvadā dānaṃ prati ādareṇa sampadvibhājanadvārā ca	yatas te sarvadA dAnam prati AdareNa sampad viBAjana dvArA ca
   manastarpayanti /	manaH tarpayanti /
   bodhisattveṣu ānandaviśeṣotpādaḥ kīdṛśa iti arthināṃ cet  ucyate 	boDisattvezu Ananda viSeza utpAdaH kIdRSaH iti arTinAm cet ucyate 
   yathā tu dehīti niśamya śabdaṃ sukhodbhavo buddhasute vicintya /	yaTA tu dehi iti niSamya Sabdam suKa udBavaH budDa sute vicintya /
   tathā sukhaṃ śāntigate munau na kimucyatāṃ sarvasamarpaṇeni // Madhy_1.14	taTA suKam SAnti gate munO na kim ucyatAm sarva samarpaNeni // MaDi _1.14
   yāvadarthināṃ dehīti śabdaśrutāveva vicāryamāṇe bodhisattvānām 'ime māṃ	yAvat arTinAm dehi iti Sabda SrutO= eva vicAryamANe boDisattvAnAm aime mAm
   yācanta iti buddhavā vāramvāraṃ yaḥ sukhotpādo nirvāṇasukhādapi	yAcantaH iti budDavA vAram vAram yaH suKa utpAdaH nirvANa suKAt api
   atiricyate, tato bāhyābhyantaravastusamarpaṇena arthinajanatarpaṇasya	atiricyate, tatas bAhya aByantara vastu samarpaNena arTinajana tarpaNasya
   kimucyatām? punaḥ kim tat tathoktabāhyābhyantaravastutyāgināṃ	kim ucyatAm? punar kim tat taTA ukta bAhya aByantara vastu tyAginAm
   bodhisattvānāṃ kāyaduḥkhamapi na bhaviṣyatīti? ucyate  mahātmanāṃ tu	boDisattvAnAm kAya duHKam api na Bavizyati iti? ucyate mahAtmanAm tu
   acetanānāmapacchedavat kāyaduḥkhotpādo 'sambhava eva /	acetanAnAm apacCeda vat kAya duHKa utpAdaH asamBavaH eva /
   āryagaganagañjaparipṛcchāsamādhau yathoktam 	Arya gagana gaQja paripRcCA samADO yaTA uktam 
   "tadyathā mahāsālavṛkṣavanamasti / tatra kaścidāgatya ekaṃ saralaṃ	"tat yaTA mahA sAla vRkza vanam asti / tatra kaScid Agatya ekam saralam
   chinatti / tatrāvaśiṣṭāste sālavṛkṣā ayaṃ tu chinno, vayaṃ na chinnā iti	Cinatti / tatra avaSizwAH te sAla vRkzAH ayam tu Cinno, vayam na CinnAH iti
   na cintayanti / teṣu nānurāgo na vā kopaḥ, na kalpo na vikalpaḥ, tadvat	na cintayanti / tezu na anurAgaH na vA kopaH, na kalpaH na vikalpaH, tadvat 
   bodhisattvasya yā kṣāntiḥ sā pariśuddhāgragaganopametyuktivat /	boDisattvasya yA kzAntiH sA pariSudDa agra gagana upamA iti ukti vat /
   ratnāvalyāmapi evamuktam 	ratna AvalyAm api evam uktam  
   śārīraṃ nāsti vai duḥkhaṃ tatra duḥkhaṃ kva mānasam / loko hi	SArIram na asti vE duHKam tatra duHKam kva mAnasam / lokaH hi
   duḥkhitastena karuṇyāt sthīyate ciram // punaryo 'labdhavirāgāvasthastatra	duHKitaH tena karuNyAt sTIyate ciram // punar yaH alabDa virAga avasTaH tatra
   kāyasthitibādhakaviṣaye samavatīrṇe kāyaduḥkhaṃ niścitam utpadyate, tadā	kAya sTiti bADaka vizaye samavatIrNe kAya duHKam niScitam utpadyate, tadA
   so 'pi sattvārthakṛtyeṣu ativiśiṣṭāvatārahetutvena pratiṣṭhata iti	saH api sattva arTa kRtyezu ati viSizwa avatAra hetu tvena pratizWate iti
   ākhyātam /	AKyAtam /
   pradāya chettuṃ svavapuḥ svaduḥkhāt svasaṃvidā nārakaduḥkhakādi /	pradAya Cettum sva vapuH sva duHKAt sva saMvidA nAraka duHKa ka Adi /
   vilokya tannāśayituṃ pareṣāṃ pariśramaṃ prārabhate sa śīghram //	vilokya tat nASayitum parezAm pariSramam prAraBate sa SIGram //
   Madhy_1.15 //	MaDi _1.15 //
   bodhisattvastu duḥkhamayanarakatiryagyoniyamalokādighoralokāntargataṃ	boDisattvaH tu duHKa maya naraka tiryagyoni yama loka Adi Gora loka antargatam
   nirantaraghoraduḥkhena kāyacchedaṃ, svakāyacchedaduḥkhāt sahastraśo	nirantara Gora duHKena kAya= CedaM, sva kAya= Ceda duHKAt sa hastraSo
   'pyadhikaṃ pravṛddhamasahyaṃ duḥkhaṃ svaduḥkhena tulayitvā paśyati tadā	api aDikam pravRdDam asahyam duHKam sva duHKena tulayitvA paSyati tadA
   svakāyacchedaduḥkhamavigaṇayya sattvānāṃ narakādiduḥkhacchedāya atiśīghraṃ	sva kAya= Ceda duHKam avigaNayya sattvAnAm naraka Adi duHKa= CedAya ati SIGram
   vīryamārabhate / yathoktadānapāramitāprabhedadeśanārtham uktam 	vIryam AraBate / yaTA ukta dAna pAramitA praBeda deSana arTam uktam 
   pradeyasaṅgrāhakadātṛśūnyaṃ vadanti lokottarapāramīti / tatra pāramīti tu	pradeya saFgrAhaka dAtR SUnyam vadanti lokottara pArami iti / tatra pAramIti tu
   yat saṃsārasāgarapāraṃ taṭaṃ, kleśajñeyāvaraṇaniḥśeṣatyāgasvabhāvayukto	yat saMsAra sAgara pAram tawan, kleSa jQeya AvaraNa niHSeza tyAga svaBAva yuktaH 
   buddha eva vā / pāraṃgatastu pāramita ityuktam / aluguttarapade ityanena	budDaH eva vA / pAraMgataH tu pAramitaH iti uktam / aluj uttara pade iti anena
   lakṣaṇena karmavibhaktilopaṃ na kṛtvā rūpaṇam, athavā pṛṣodarāditvād	lakzaNena karma viBakti lopam na kRtvA rUpaNam, aTavA pRzodara Adi tvAt 
   uttarapadayuktatayā vyavasthāpitam / prajñāṃ gṛhītvā viśeṣeṇa vyākhyātam,	uttara pada yukta tayA vyavasTApitam / prajQAm gRhItvA viSezeNa vyAKyAtam,
   dānādayaḥ pāramitātulyatvāt pāramitāḥ santi / pariṇāmanāviśeṣeṇa	dAna AdayaH pAramitA tulya tvAt pAramitAH santi / pariNAmanA viSezeNa
   pāragamanaṃ vyavasthāpya dānaṃ pāramitānāma prāpnot / vakṣyamāṇāḥ śīlādayo	pAra gamanam vyavasTApya dAnam pAramitA nAma prApnot / vakzyamANAH SIla At ayaH 
   'pi tathā vijñeyāḥ / iyaṃ dānapāramitāpi deyaṃ, pratigrāhakaṃ dāyakaṃ ca	api taTA vijQeyAH / iyam dAna pAramitA api deyan, pratigrAhakam dAyakam ca
   anālambya lokottarapāramitā astīti bhagavatīprajñāpāramitāyām uktam /	anAlambya loka uttara pAramitA asti iti BagavatI prajQApAramitAyAm uktam /
   anālambanasya lokottaratvād ālambanaṃ ca	anAlambanasya loka uttara tvAt Alambanam ca
   vyavahārasatyasaṃgrahatvāllaukikameva asti / tattu	vyavahAra satya saMgraha tvAt lOkikam eva asti / tat tu
   aprāptabodhisattvāvasthābhirjñātuṃ na śakyate / api ca 	aprApta boDisattva avasTABiH jQAtum na Sakyate / api ca 
   trayīṣu rāgodbhavataḥ pradiṣṭaṃ tadeva vai laukikapāramīti // Madhy_1.16	trayIzu rAga udBavataH pradizwam tat eva vE lOkika pAramI iti // MaDi _1.16
   tadeva dānaṃ triṣvavalambitaṃ sat laukikapāramitetyuktam / samprati	tat eva dAnam trizu avalambitam sat lOkika pAramitA iti uktam / samprati
   yathokta  bhūmiriti jñānaviśeṣeṇa atiśayaguṇānuvādadvārā	yaTA ukta BUmiH iti jQAna viSezeNa atiSaya guNa anuvAda dvArA
   deśanārthamevamuktam 	deSanA arTam evam uktam 
   tathā pratiṣṭhā jinaputracitte sadāśraye suprabhakāntimāptā /	taTA pratizWA jinaputra citte sat ASraye su praBaka antim AptA /
   ghanaṃ tamisraṃ muditā nirasya jayatyasau candramaṇiryathā vai //	Ganam tamisram muditAH nirasya jayati asO candramaNiH yaTA vE //
   Madhy_1.17 //	MaDi _1.17 //
   tathā śabdo yathoktaprakāradeśanārthaḥ / muditeti bhūmināma samākhyāyate /	taTA SabdaH yaTA ukta prakAra deSana arTaH / muditA iti BUmi nAma samAKyAyate /
   jayatīti tu asapakṣaṃ parājitya avasthānam ityarthaḥ / sā tu jñānasvabhāvā	jayati iti tu asapakzam parAjitya avasTAnam iti arTaH / sA tu jQAna svaBAvA
   satī eva jinaputramanasi sthitatvād uparisthitā / pramuditābhūmistu	satI eva jinaputra manasi sTita tvAt upari sTitA / pramuditA aBUmiH tu
   yathoktarītyā sarvamapi gahanam andhakāraṃ nirākṛtya jayati / yathokta eva	yaTA ukta rItyA sarvam api gahanam anDakAram nirAkRtya jayati / yaTA uktaH eva
   artha udāharaṇena prakāśayitum ākhyātam / candrakāntamaṇivad iti /	arTaH udAharaNena prakASayitum AKyAtam / candrakAnta maNi vat iti /
   madhyamakāvatārabhāṣye pramuditeti prathamaścittotpādaḥ /	maDyamaka avatAra BAzye pramuditA iti praTamaH citta utpAdaH /
   bodhisattvaprathamacittotpādo vyākhyātaḥ /	boDisattva praTama citta utpAdaH vyAKyAtaH /
   2. dvitīyaścittotpādaḥ	2. dvitIyaH citta utpAdaH
   adhunā dvitīyaṃ (cittotpādam) adhikṛtyocyate 	aDunA dvitIyam (citta utpAdam) aDikRtya ucyate 
   sa śīlasampattiguṇānvitattvāt svapne 'pi duḥśīlamalaṃ jahāti / iti /	sa SIla sampatti guNAnvitattvAt svapne api duHSIla malam jahAti / iti /
   bhūmisaṃjñakasarvajñānaviśeṣasya tu ekasvabhāvatvāt tadasatve	BUmi saMjQaka sarva jQAna viSezasya tu eka svaBAva tvAt tat asatve
   'nutpannaguṇabhyaḥ śīlapāramitādiviśiṣṭatābhya eva	anutpanna guNaByaH SIla pAramitA Adi viSizwa tAByaH eva
   dvitīyacittotpādādiviśeṣāḥ darśitāḥ / tatra kleśānadhivāsitvāt,	dvitIya citta utpAda Adi viSezAH darSitAH / tatra kleSAn aDivAsi tvAt,
   pāpānudbhūtatvāt, cittakaukṛtyagniśamanena, śītalatvāt, sukhahetutvena	pApAn udBUta tva at, citta kOkRti agni Samanena, SItala tva at, suKa hetu tvena
   uttamairāśrayaṇīyatvāt śīlamiti / tadapi saptatyāgalakṣaṇam / trayo dharmā	uttamEH ASrayaNIya tvAt SIlam iti / tat api sapta tyAga lakzaNam / trayaH DarmA
   alobho 'dveṣaḥ samyagdṛṣṭiśca te samutthānam / ataḥ samutthānena saha	aloBaH advezaH samyak dRzwiH ca te samutTAnam / atas samutTAnena saha
   śīlam adhikṛtya daśakarmamārgā vyākhyātāḥ śīlasaṃpat tu śīlātiśayaḥ /	SIlam aDikRtya daSa karma mArgAH vyAKyAtAH SIla saMpad tu SIla atiSayaH /
   guṇaviśuddhistu guṇaśuddhiḥ, śīlasaṃpatpariśuddhiriti śabdaḥ prayojyaḥ /	guNa viSudDiH tu guNa SudDiH, SIla saMpad pari SudDiH iti SabdaH prayojyaH /
   svaguṇapariśuddhatvāt śīlatvaṃ viśiṣṭim / tadanvitatvāt sa bodhisattvaḥ	sva guNa pariSudDa tvAt SIla tvam viSizwim / tad anvita tvAt sa boDisattvaH
   svapnāvasthāyāmapi duḥśīlamalairaliptaḥ / atha kathaṃ tasya tādṛk	svapna avasTAyAm api duHSIla malEH aliptaH / aTa kaTam tasya tAdRS 
   śīlasampadā guṇapariśuddhiḥ? etādṛśo 'yaṃ bodhisattvo	SIla sampadA guNa pariSudDiH? etAdRSaH ayam boDisattvaH 
   dvitīyabodhisattvabhūmau prasthitastu 	dvitIya boDisattva BUmO prasTitaH tu 
   sa kāyavākcittaviśuddhacaryo daśaiva satkarmapathāṃścinoti // Madhy_2.1 //	sa kAya vAc citta viSudDa caryaH daSa eva sat karma paTAn= cinoti // MaDi _2.1 //
   yathā dvitiyabodhisattvabhūmau  "tatrabhavanto jinaputrā, vimalāyāṃ	yaTA dvitiya boDisattva BUmO "tatraBavantaH jinaputrA, vimalAyAm
   bodhisattvabhūmau sthito bodhisattvaḥ prakṛtyaiva prāṇātipātātprativirīto	boDisattva BUmO sTitaH boDisattvaH prakRtyA eva prANa atipAtAt prativirItaH 
   bhavati nihatadaṇḍo nihataśastro nihatavairo lajjāvān dayāpannaḥ	Bavati nihata daNxaH nihata SastraH nihata vEraH lajjAvAn dayA ApannaH
   sarvaprāṇibhūteṣu hitasukhānukampī maitracittaḥ / sa saṃkalpairapi	sarva prANi BUtezu hita suKa anukampI mEtra cittaH / sa saMkalpEH api
   prāṇivihiṃsāṃ na karoti, kaḥ punarvādaḥ parasattveṣu sattvasaṃjñinaḥ	prANi vihiMsAm na karoti, kaH punar vAdaH para sattvezu sattva saMjQinaH
   saṃcintyaudārikakāyaviheṭhanayā //	saMcintya OdArika kAya viheWanayA //
   adattādānātprativirataḥ khalu punarbhavati svabhogasaṃtuṣṭaḥ,	adatta AdAnAt prativirataH Kalu punar Bavati sva Boga saMtuzwaH,
   parabhogānabhilāṣī, anukampakaḥ / sa paraparigṛhītebhyo vastubhyaḥ	para Boga anaBilAzI, anukampakaH / sa para parigRhIteByaH vastuByaH
   paraparigṛhītasaṃjñī steyacittamupasthāpya antaśastṛṇaparṇamapi	para parigRhIta saMjQI steya cittam upasTApya antaSas tRNa parNam api
   nādattamādātā bhavati, kaḥ punarvādo 'nyebhyo jīvitopakaraṇebhyaḥ //	na adattam AdAtA Bavati, kaH punar vAdaH anyeByaH jIvita upakaraNeByaH //
   kāmamithyācārātprativirataḥ khalu punarbhavati svadārasaṃtuṣṭaḥ	kAma miTyA AcArAt prativirataH Kalu punar Bavati sva dAra saMtuzwaH
   paradārānabhilāṣī / sa paraparigṛhītāsu strīṣu parabhāryāsu	para dAra anaBilAzI / sa para parigRhItAsu strIzu para BAryAsu
   gotradhvajadharmarakṣitāsu abhidhyāmapi notpādayati, kaḥ punarvādo	gotra Dvaja Darma rakzitAsu aBiDyAm api na utpAdayati, kaH punarvAdaH 
   dvīndriyasamāpatyā vā anaṅgavijñaptyā vā //	dvi indriya samApatyAH vA anaFga vijQaptyA vA //
   anṛtavacanātprativirataḥ khalu punarbhavati satyavādī, bhūtavādī,	anRta vacanAt prativirataH Kalu punar Bavati satya vAdI, BUtavAdI,
   kālavādī, yathāvādī tathākārī / so 'ntaśaḥ svapnāntaragato 'pi vinidhāya	kAla vAdI, yaTAvAdI taTA AkArI / saH antaSas svapna antara gataH api viniDAya
   dṛṣṭiṃ kṣāntiṃ ruciṃ matiṃ prekṣāṃ visaṃvādanābhiprāyo nānṛtāṃ vācaṃ	dRzwim kzAntim rucim matim prekzAm visaMvAdana aBiprAyaH na anRtAm vAcam
   niścārayati, kaḥ punarvādaḥ samanvāhṛtya //	niScArayati, kaH punar vAdaH samanvAhRtya //
   piśunavacanātprativirataḥ khalu punarbhavati abhedāviheṭhāpratipannaḥ	piSuna vacanAt prativirataH Kalu punar Bavati aBeda aviheWA pratipannaH
   sattvānām / sa netaḥ śrutvā amutrākhyātā bhavatyamīṣāṃ bhedāya / na amutaḥ	sattvAnAm / sa na itas SrutvA amutra AKyAtA Bavati amIzAm BedAya / na amutas 
   śrutvā ihākhyātā bhavatyeṣāṃ bhedāya / na saṃhitān bhinatti, na	SrutvA iha AKyAtA Bavati ezAm BedAya / na saMhitAn Binatti, na
   bhinnānāmanupradānaṃ karoti / na vyagrārāmo bhavati na vyagrarato na	BinnAnAm anupradAnam karoti / na vyagra ArAmaH Bavati na vyagra rataH na
   vyagrakaraṇīṃ vācaṃ bhāṣate sadbhūtāmasadbhūtāṃ vā //	vyagra karaNIm vAcam BAzate sadBUtAmasadBUtAm vA //
   paruṣavacanātprativirataḥ khalu punarbhavati / sa yeyaṃ vāgadeśā karkaśā	paruza vacanAt prativirataH Kalu punar Bavati / sa yA iyam vAc adeSA karkaSA
   parakaṭukā parābhisaṃjananī anvakṣānvakṣaprāgbhārā grāmyā pārthagjanakī	para kawukA para aBisaMjananI anvakzAn vakza prAgBArA grAmyA pArTagjanakI
   anelā akarṇasukhā krodharoṣaniścāritā hṛdayaparidahanī manaḥsaṃtāpakarī	anelA akarNa suKA kroDa roza niScAritA hRdaya paridahanI manaH saMtApa karI
   apriyā amanaāpā amanojñā svasaṃtānaparasaṃtānavināśinī, tathārūpāṃ vācaṃ	apriyA amanaApA amanojQA sva saMtAna para saMtAna vinASinI, taTArUpAm vAcam
   prahāya yeyaṃ vāk snigdhā mṛdvī manojñā madhurā priyakaraṇī manaāpakaraṇī	prahAya yA iyam vAc snigDA mRdvI manojQA maDurA priya karaNI manaA apakaraNI
   hitakaraṇī nelā karṇasukhā hṛdayaṃgamā premaṇīyā paurī varṇavispaṣṭā	hita karaNI nelA karNa suKA hRdayaMgamA premaNIyA pOrI varNa vispazwA
   vijñeyā śravaṇīyā niśritā bahujaneṣṭā bahujanakāntā bahujanapriyā	vijQeyA SravaNIyA niSritA bahu janezwA bahu jana kAntA bahu janapriyA
   bahujanamanaāpā vijñāpannā sarvasattvahitasukhāvahā samāhitā manaḥ	bahu janam anaA apA vijQApannA sarva sattva hita suKa AvahA samAhitAH manaH
   prahlādanakarī svasaṃtānaparasaṃtānaprasādanakarī tathārūpāṃ vācaṃ	prahlAdana karI sva saMtAna para saMtAna prasAdana karI taTArUpAm vAcam
   niścārayati //	niScArayati //
   saṃbhinnapralāpātprativirataḥ khalu punarbhavati suparihāryavacanaḥ	saMBinna pralApAt prativirataH Kalu punar Bavati su parihArya vacanaH
   kālavādī bhūtavādī arthavādī dharmavādī nyāyavādī vinayavādī, sa	kAla vAdI BUtavAdI arTa vAdI Darma vAdI nyAya vAdI vinaya vAdI, sa
   nidānavatīṃ vācaṃ bhāṣate kālena sāvadānām / sa cāntaśa itihāsapūrvakamapi	nidAnavatIm vAcam BAzate kAlena sa avadAnAm / sa ca antaSas itihAsa pUrvakam api
   vacanaṃ parihāryaṃ pariharati, kaḥ punarvādo vāgvikṣepeṇa //	vacanam parihAryam pariharati, kaH punar vAdaH vAc vikzepeNa //
   anabhidhyāluḥ khalu punarbhavati parasveṣu parakāmeṣu parabhogeṣu	anaBiDyAluH Kalu punar Bavati para svezu para kAmezu para Bogezu
   paravittopakaraṇeṣu paraparigṛhīteṣu spṛhāmapi notpādayati,	para vitta upakaraNezu para parigRhItezu spRhAm api na utpAdayati,
   kimitiyatpareṣāṃ tannāma syāditi nābhidhyāmutpādayati, na prārthayate, na	kim itiyat parezAm tad nAma syAt iti na aBiDyAm utpAdayati, na prArTayate, na
   praṇidadhāti, na lobhacittamutpādayati //	praNidaDAti, na loBa cittam utpAdayati //
   avyāpannacittaḥ khalu punarbhavati sarvasattveṣu maitracitto hitacitto	avyApanna cittaH Kalu punar Bavati sarva sattvezu mEtra cittaH hita cittaH 
   dayācittaḥ sukhacittaḥ snigdhacittaḥ sarvajagadanugrahacittaḥ	dayA cittaH suKa cittaH snigDa cittaH sarva jagat anugraha cittaH
   sarvabhūtahitānukampācittaḥ / sa yānīmāni	sarva BUta hita anukampA cittaH / sa yAni imAni
   krodhopanāhakhilāmalavyāpādaparidāhasaṃdhukṣitapratighādyāni tāni prahāya	kroDa upanAha Kila amala vyApAda paridAha saMDukzita pratiGa AdyAni tAni prahAya
   yānīmāni hitopasaṃhitāni maitryupasaṃhitāni sarvasattvahitasukhāya	yAni imAni hita upasaMhitAni mEtrI upasaMhitAni sarva sattva hita suKAya
   vitarkitavicāritāni, tānyanuvitarkayitā bhavati //	vitarkita vicAritAni, tAni anuvitarkayitA Bavati //
   samyagdṛṣṭiḥ khalu punarbhavati samyakpathagataḥ	samyak dRzwiH Kalu punar Bavati samyak paTa gataH
   kautukamaṅgalanānāprakārakuśīladṛṣṭivigata ṛjudṛṣṭiraśaṭho 'māyāvī	kOtuka maFgala nAnA prakAra kuSIla dRzwi vigataH Rju dRzwiH aSaWaH amAyAvI
   buddhadharmasaṃghaniyatāśayaḥ / " ityādyuktavat /	budDa Darma saMGa niyata ASayaH / " iti Adi ukta vat /
   tatra prathamatrayakuśalakarmapathāḥ kāyena pratipādyante / madhyamacaturo	tatra praTama traya kuSala karma paTAH kAyena pratipAdyante / maDyama caturaH 
   vācā antyatrayaścittena / evaṃ daśakuśalakarmamārgā api saṃgṛhītāḥ / kim	vAcA antya trayaH cittena / evam daSa kuSala karma mArgAH api saMgRhItAH / kim
   eteṣāṃ karmamārgāṇāṃ cayanaṃ prathamacittotpādabodhisattvā na kurvanti? te	etezAm karma mArgANAm cayanam praTama citta utpAda boDisattvAH na kurvanti? te
   'pi cayanaṃ kurvanti, tathāpi 	api cayanam kurvanti, taTA api 
   daśāpi mārgān kuśalān sametya bhavanti te śuddhatarāstathaiva /	daSA api mArgAn kuSalAn sametya Bavanti te SudDatarAH taTA eva /
   prathamacittotpādabodhisattvā na tathā /	praTama citta utpAda boDisattvAH na taTA /
   sadā viśuddhaḥ khalu śāradenduryathā hi śāntaprabhayātiśete // Madhy_2.2	sadA viSudDaH Kalu SArada induH yaTA hi SAnta praBayA atiSete // MaDi _2.2
   śāntastu saṃvṛtendriyaḥ /	SAntaH tu saMvRta indriyaH /
   prabhāmayo dedīpyamānaśarīraḥ, tathā pariśuddhaśīlaḥ sannapi /	praBA mayaH dedIpyamAna SarIraH, taTA pariSudDa SIlaH san= api /
   sa śuddhaśīlaprakṛtiṃvidaśced bhavenna tenaiva viśuddhaśīlaḥ /	sa SudDa SIla prakRtiMvidaH ced Bavet na tena eva viSudDa SIlaH /
   yathā āryaratnakūṭasūtre  "kāśyapa, e[ka]tyo bhikṣuḥ (śīlavantaḥ)	yaTA a Arya ratna kUwa sUtre "kASyapa, e[ka]tyaH BikzuH (SIlavantaH)
   prātimokṣasaṃvarasaṃvṛto viharati / ācāragocarasampanna aṇumātreṣvavadyeṣu	prAtimokza saMvara saMvRtaH viharati / AcAra gocara sampad na aNu mAtrezu avadyezu
   (api) bhayadarśī samā[dā] ya śikṣate śikṣāpadeṣu	(api) Baya darSI samA[dA] yaH Sikzate SikzA padezu
   pariśuddhakāyakarmavāṅmanaskarmaṇā samanvāgato viharati, pariśuddhājīvaḥ	pariSudDa kAya karma vAc manaskarmaNA samanvAgataH viharati, pariSudDa AjIvaH
   sa ca bha[vati] ātmavādī, ayaṃ kāśyapa prathamo duḥśīlaḥ śīlavaṃtaḥ	sa ca Ba[vati] Atma vAdI, ayam kASyapa praTamaH duHSIlaH SIlavaMtaH
   pratirūpako draṣṭavyaḥ /" ityataḥ "punaraparaṃ kāśyapa! ihe katyo bhikṣuḥ	pratirUpakaH drazwavyaH /" iti atas "punar aparam kASyapa! ihe katyaH BikzuH
   dvādaśādhūtaguṇasa[mādāne 'pi] upalambhadṛṣṭikaśca bhavati,	dvAdaSa aDUta guNa sa[mAdAne api] upalamBa dRzwikaH ca Bavati,
   ahaṃkāra(mamakāra)sthitaḥ ayaṃ kāśyapa caturtho duḥśīlaḥ	ahaMkAra (mamakAra) sTitaH ayam kASyapa caturTaH duHSIlaH
   śīlavantapratirūpakodra[ṣṭavyaḥ]" iti paryantam uktam /	SIlavanta pratirUpa kodra[zwavyaH]" iti paryantam uktam /
   ataḥ sadā sastritaye 'pi buddhidvayapracārāt sutarāṃ nivṛttaḥ // Madhy_2.3	atas sadA saH tritaye api budDi dvaya pracArAt sutarAm nivRttaH // MaDi _2.3
   kasmai prāṇine tyāgaḥ, kiṃ tyaktaṃ, kena tyaktaṃ, tattritaye 'pi	kasmE prANine tyAgaH, kim tyaktaM, kena tyaktaM, tat tritaye api
   bhāvābhāvādibuddhidvayanirvṛto bhavati / evaṃ saṃprati bodhisattvasya	BAva aBAva Adi budDi dvaya nirvRtaH Bavati / evam saMprati boDisattvasya
   śīlasaṃpanmayatvam uktam / tataḥ paścāt sāmānyatayā tadbhinnānāmapi	SIla saMpad maya tvam uktam / tatas paScAt sAmAnyatayA tad BinnAnAm api
   śīlasampatterdānādito 'pi atiśayatvaṃ sarvaguṇasampadāśrayabhūtatvameva	SIla sampatteH dAnAditaH api atiSaya tvam sarva guNa sampad A ASraya BUta tvam eva
   deśanārthayitum uktam 	deSanA arTayitum uktam 
   dānājjanaḥ śīlapadena hīno bhogānavāpyaiṣyati durgatiñca / iti /	dAnAt janaH SIla padena hInaH BogAn avApya ezyati durgatiQcaH / iti /
   taddānata eva sa dānapatiḥ śīlavān bhūto naradevamadhye	tad dAnataH eva sa dAnapatiH SIlavAn BUtaH naradeva maDye
   viśiṣṭabhogasampanmayaḥ san śīlapādanirvṛttau durgatilokapatitaḥ	viSizwa Boga sampad mayaH san SIla pAda nirvRttO durgati loka patitaH
   pratyekanarakaṃ, aśvagajavānaranāgādipretamaharddhikādiṣu utpannaḥ sa	pratyeka narakan, aSva gaja vAnara nAga Adi preta mahA rdDika Adizu utpannaH sa
   vividhabhogasampatsampanna eva bhavati / ataḥ	viviDa Boga sampad sampannaH eva Bavati / atas 
   savyājamūle parikṣīyamāṇe tasmai na bhogāḥ prabhavanti paścāt // Madhy_2.4	sa vya aja mUle parikzIyamANe tasmE na BogAH praBavanti paScAt // MaDi _2.4
   yo 'tyalpabījamuptvā vipulaphalaṃ prāpnuvan punaḥ phalāya tasmādapyadhikaṃ	yaH ati alpa bIjam uptvA vipula Palam prApnuvan punar PalAya tasmAt api aDikam
   bījaṃ vapati, tena mahāphalasambhārasya yathāsamaye upavardhanakramo	bIjam vapati, tena mahA Pala samBArasya yaTA samaye upavarDana kramaH 
   'vicchinnaṃ sambhavati, kṛtapraṇāśasvabhāvaścayo mūrkhatayā	avicCinnam samBavati, kRta praNASa svaBAvaH cayaH mUrKa tayA
   pūrvabījamātramapi upabhuṅkte tasya savyājavastusaṃgrahasyāpi kṣayatvāt	pUrva bIja mAtram api upaBuFkte tasya sa vyAja vastu saMgrahasya api kzaya tvAt 
   kuto bhāviphalasaṃpadutpādaḥ? tathaiva śīlanivṛtteḥ asthāne	kutas BAvi Pala saMpad utpAdaH? taTA eva SIla nivRtteH asTAne
   sampadupabhogakturapi atimūrkhatayā apūrvākṣeparahitatvāt	sampad upaBaH gaktuH api ati mUrKa tayA apUrva Akzepa rahita tvAt 
   pūrvākṣepāśeṣopabhogatvācca paścāt sampadbhāvo 'saṃbhavaḥ /	pUrva Akzepa aSeza upaBoga tvAt ca paScAt sampad BAvaH asaMBavaH /
   śīlapādavihīnasya asya pūrṇasampadbhāvo na kevalaṃ durlabhaḥ,	SIla pAda vihInasya asya pUrNa sampad BAvaH na kevalam durlaBaH,
   durgatigamanena durgatita utthānam api atidurlabham iti deśanāya 	durgati gamanena durgatitaH utTAnam api ati durlaBam iti deSanAya 
   yadā svatantraḥ sthitisāmarūpyam ayaṃ svacintāṃ yadi no karoti /	yadA svatantraH sTiti sAma rUpyam ayam sva cintAm yadi no karoti /
   darīprapāte paratantratāptau ka enamuttthāpayitā hi paścāt // Madhy_2.5 //	darI prapAte paratantra tA AptO kaH enam uttTApayitA hi paScAt // MaDi _2.5 //
