   śrīghanācārasaṃgrahaḥ	SrIGana-AcAra-saMgrahaH
   bāhuvikṣepakaṃ nṛtyaṃ gītamuccaiḥ svareṇa ca |	bAhu-vikzepakam nRtyam gItam-uccEs svareNa ca |
   vīṇāvaṃśamṛdaṃgādivāditraṃ na ca vādayet || Śghs_3,7.1 ||	vINA-vaMSa-mRdaMga-At-i-vAditram na ca vAdayet || ŚGs_3,7.1 ||
   8 gandhamālyavilepanaviratiśikṣāpadaṃ	8 ganDa-mAlya-vilepana-virati-SikzA-padam
   candanādika[gandhaṃ hi dhārayed] vyādhito yatiḥ |	candana-Adika[ganDam hi DArayed] vyADitaH yatiH |
   dattvā [ca] munaye pūrvaṃ bhiṣagādervacanena [saḥ] || Śghs_3,8.1 ||	dattvA [ca] munaye pUrvam Bizaj-AdeH-vacanena [saH] || ŚGs_3,8.1 ||
   na tiṣṭhet prakaṭe deśe kṣālayitvā bahirvrajet |	na tizWet prakawe deSe kzAlayitvA bahis-vrajet |
   anenaiva vidhānena dhārayet kusumasrajaṃ || Śghs_3,8.2 ||	anena-eva viDAnena DArayet kusuma-srajam || ŚGs_3,8.2 ||
   netraduḥkhaśiraḥśūlapūtanāgraharugvataḥ |	netra-duHKa-SiraH-SUla-pUtana-agra-harugvataH |
   mālayā veṣṭayet śīrṣaṃ mekhalāṃ na ca laṃbayet || Śghs_3,8.3 ||	mAlayA vezwayet SIrzam meKalAm na ca laMbayet || ŚGs_3,8.3 ||
   haritālādicūrṇena tailena vā sugandhinā |	haritAla-Adi-cUrNena tElena vA suganDinA |
   na vadanādikaṃ gātraṃ varṇārthaṃ marṣayed yatiḥ || Śghs_3,8.4 ||	na vadana-Adikam gAtram varNa-arTam marzayet yatiH || ŚGs_3,8.4 ||
   yaterapratirūpatvād gandhamālya[vilepanaṃ] |	yateH-apratirUpa-tvAt ganDa-mAlya[-vilepanan] |
   rāgauddhatyakaraṃ yasmāt tasmāttad garhitaṃ jinaiḥ || Śghs_3,8.5 ||	rAga-OdDatya-karam yasmAt tasmAt-tat garhitam jinEH || ŚGs_3,8.5 ||
   na darpaṇe nirīkṣeta mukhaṃ vā tailabhājane |	na darpaNe nirIkzeta muKam vA tEla-BAjane |
   muktvānyenekṣaṇīyaṃ[hi] śirovyathāgadāturaṃ || Śghs_3,8.6 ||	muktvA-anyena-IkzaNIyaM[hi] SiraH-vyaTAgada-Aturam || ŚGs_3,8.6 ||
   vibhūṣaṇāya tailenātmano nābhyaṃjayed mukhaṃ |	viBUzaNAya tElena-AtmanaH na-aByaMjayet muKam |
   sphuṭitāsyaśirorogādanyenābhyaṃjanaṃ na ca || Śghs_3,8.7 ||	sPuwita-Asya-SiraH-rogAt-anyena-aByaMjanam na ca || ŚGs_3,8.7 ||
   na kuṃkumādicūrṇena maṇḍayed vadanaṃ yatiḥ |	na kuMkuma-Adi-cUrNena maNxayet vadanam yatiH |
   piṭakaśamanārthaṃ tu lepa iṣṭastilā[dibhiḥ] || Śghs_3,8.8 ||	piwaka-Samana-arTam tu lepaH izwaH-tila-A[diBiH] || ŚGs_3,8.8 ||
   9 vikālabhojanaviratiśikṣāpadaṃ	9 vikAla-Bojana-virati-SikzA-padam
   rātreranyatra[bhuṃjāne mayi babhūvālparogatā] |	rAtreH-anyatra[BuMjAne mayi baBUva-alpa-roga-tA] |
   tathaiva [khalu] vaḥ kāryaṃ [bhoktavyaṃ dinayevaca] || Śghs_3,9.1 ||	taTA-eva [Kalu] vaH kAryam [Boktavyam dinayevaca] || ŚGs_3,9.1 ||
   viṇmūtragarta[ke] pātaḥ caurāhibhiḥ samāgamaḥ |	viz-mUtra-garta[ke] pAtaH cOra-ahiBiH samAgamaH |
   udarārthaṃ gṛhe no 'ṭantītyavadhyātavān janaḥ || Śghs_3,9.2 ||	udara-arTam gRhe naH awantI-iti-avaDyAtavAn janaH || ŚGs_3,9.2 ||
   sāyaṃ prātaśca piṇḍārthamaṭanti bhuṃjate [tathā] |	sAyam prAtar-ca piNxa-arTam-awanti BuMjate [taTA] |
   sabhācatvaraśrṛṃgāṭamandireṣu gṛheṣu ca || Śghs_3,9.3 ||	saBAca-tvara-SrRMgAwa-mandirezu gRhezu ca || ŚGs_3,9.3 ||
   sugataḥ prāha bhuṃjīta kāle yatiḥ ||	sugataH prAha BuMjIta kAle yatiH ||
   uditādityamadhyāhnakeśamātrānatītake || Śghs_3,9.4 ||	udita-Aditya-maDyAhna-keSa-mAtra-AnatItake || ŚGs_3,9.4 ||
   sakturodanakulmāṣaṃ matsya- māṃsaṃ ca kālikaṃ |	sakturodana-kulmAzam matsya mAMsam ca kAlikam |
   yāvajjīvikatailādipippalīpānavarjitaṃ || Śghs_3,9.5 ||	yAvat-jIvika-tEla-Adi-pippalI-pAna-varjitam || ŚGs_3,9.5 ||
   yatkiṃcidadyate dantairgalake vā praveśyate |	yat-kiMcid-adyate dantEH-galake vA praveSyate |
   kukṣiviṣṭabhmakaṃ kāle tattadadyādyathodite || Śghs_3,9.6 ||	kukzi-vizwaBmakam kAle tat-tat-adyAt-yaTA-udite || ŚGs_3,9.6 ||
   saktvādyāmiṣanirmuktaṃ nīrajaṃ kardamādikaṃ |	saktvA-Adi-a-Amiza-nirmuktam nIrajam kardama-Adikam |
   varṣopalakamaśnīyāt pipāsārtto yatirhimaṃ || Śghs_3,9.7 ||	varzopalakam-aSnIyAt pipAsA-ArttaH yatiH-himam || ŚGs_3,9.7 ||
   kalpyavārigrahe tāvat prakṣālyau na [saśoṇitau] |	kalpya-vAri-grahe tAvat prakzAlyO na [sa-SoNitO] |
   hastau dvau cāṃgulīkṣāle na grāhyaṃ kalpikodakaṃ || Śghs_3,9.8 ||	hastO dvO ca-aMgulI-kzAle na grAhyam kalpikA-udakam || ŚGs_3,9.8 ||
   māyāśāṭhaya[yutaḥ] kuryāt na ca prakṣālanaṃ tayoḥ |	mAyA-SAWaya[-yutaH] kuryAt na ca prakzAlanam tayoH |
   saśabdau [yadi] tau śuddhau vedyau snigdhatvaco yateḥ || Śghs_3,9.9 ||	sa-SabdO [yadi] tO SudDO vedyO snigDa-tvacaH yateH || ŚGs_3,9.9 ||
   na dāsyatha[mahyaṃ] bhoktuṃ kṣuttṛṣṇāpīḍito [mriye] |	na dAsyaTa[-mahyaM] Boktum kzut-tRzNA-pIxitaH [mriye] |
   ityevaṃ [sa] viruktaḥ syāt kṣeptavyo maṇḍakuṇḍa[ke] || Śghs_3,9.10 ||	iti-evam [sa] viruktaH syAt kzeptavyaH maNxa-kuNxa[ke] || ŚGs_3,9.10 ||
   aṣṭāsu dhautadhānyaṃ yat pātre diśedanāmiṣe |	azwAsu DOtaDAnyam yat pAtre diSet-anAmize |
   sphuṭaṃ tu yadi pātuṃ tannaiva glānāya kalpate || Śghs_3,9.11 ||	sPuwam tu yadi pAtum tat-na-eva glAnAya kalpate || ŚGs_3,9.11 ||
   lobhotyāpitavākkāyakarmaṇā samupārjitaṃ |	loBoti-Apita-vAc-kAya-karmaNA samupArjitam |
   vihāracīvarāhāraṃ varjayed viṣabhaktavat || Śghs_3,9.12 ||	vihAra-cIvara-AhAram varjayet viza-Bakta-vat || ŚGs_3,9.12 ||
   madyaśastraviṣaprāṇilākṣavikrayaṇaṃ vratī |	madya-Sastra-viza-prANila-akza-vikrayaNam vratI |
   na kārayet na kuryānna jīvikāṃ tena kalpayet || Śghs_3,9.13 ||	na kArayet na kuryAt-na jIvikAm tena kalpayet || ŚGs_3,9.13 ||
   satkārārthaṃ [ca lābhārtha] kuhanā hyakṣasaṃvaraḥ |	satkAra-arTam [ca lABa-arTa] kuhanA hi-akza-saMvaraH |
   vastrādikasya prāptayarthaṃ lapanā cāṭuvāditā || Śghs_3,9.14 ||	vastra-Adikasya prAptayarTam lapanA cAwu-vAditAH || ŚGs_3,9.14 ||
   naiṣpeṣikatvamannādi-lābhāya parakutsanaṃ |	nEzpezika-tvam-anna-Adi-lABAya para-kutsanam |
   anyadīyasya pātrādernaimittikaṃ [tu] varṇanaṃ || Śghs_3,9.15 ||	anyadIyasya pAtra-AdeH-nEmittikam [tu] varNanam || ŚGs_3,9.15 ||
   lābhena lipsā lābhānāṃ vṛddhiṣaryeṣaṇaṃ ca [yat] |	lABena lipsA lABAnAm vRdDizaryA-IzaNam ca [yat] |
   yatirvivarjayedetān mithyājīvān purīṣavat || Śghs_3,9.16 ||	yatiH-vivarjayet-etAn miTyA-jIvAn purIza-vat || ŚGs_3,9.16 ||
   krīḍāparopaghātaṃ ca kāyavāgucchitaṃ [sadā] |	krIxA-para-upaGAtam ca kAya-vAc-ucCitam [sadA] |
   vratī vivarjayennityaṃ viṭpradigdhamivoragaṃ || Śghs_3,9.17 ||	vratI vivarjayet-nityam viz-pradigDam-iva-uragam || ŚGs_3,9.17 ||
   vipaṇitaragulmādau dyūtabandhagṛhe tathā |	vipaNitara-gulma-AdO dyUta-banDa-gRhe taTA |
   agocaro yadākhyātastiṣṭhettatra na cellakaḥ || Śghs_3,9.18 ||	agocaraH yat-AKyAtaH-tizWet-tatra na cellakaH || ŚGs_3,9.18 ||
   10 jātarūparajatapratigrahaṇaviratiśikṣāpadaṃ	10 jAtarUpa-rajata-pratigrahaNa-virati-SikzA-padam
   kāyena hastapādābhyāṃ vastrachatrādibhirvratī |	kAyena hasta-pAdAByAm vastra-Catra-AdiBiH-vratI |
   rajataṃ jātarūpaṃ ca na spṛśet jvalitāgnivat || Śghs_3,10.1 ||	rajatam jAtarUpam ca na spRSet jvalita-agni-vat || ŚGs_3,10.1 ||
   iti saṃghasenena saṃvihitoddhāre śrīghanācārasaṃgrahe śrāmaṇerabhāvopāyo	iti saMGasenena saMvihita-udDAre SrIGana-AcAra-saMgrahe SrAmaNeH-aBAva-upAyaH-
   nāma tṛtīyo 'dhyāya ||	nAma tRtIyaH aDyAyaH ||
   caturtho 'dhyāyaḥ	caturTaH aDyAyaH
   anye cācārāḥ	anye ca-AcArAH
   campūkalahadantādakāṣṭho vṛddhāntiko yatiḥ |	campUka-laha-dantAt-akAzWaH vRdDAntikaH yatiH |
   snānapānāśanastotravyagro nagnaikavastra[kaḥ] || Śghs_4.1 ||	snAna-pAna-aSana-stotra-vyagraH nagna-eka-vastra[kaH] || ŚGs_4.1 ||
   mṛtkarmavyāpṛtas tūrṇaṃ gacchan [ca] dvitribhūmikaṃ |	mRd-karma-vyApRtaH tUrNam gacCan [ca] dvi-tri-BUmikam |
   āśu vrajan pacan pātraṃ vyagraś cīvarakarmaṇā || Śghs_4.2 ||	ASu vrajan pacan pAtram vyagraH cIvara-karmaNA || ŚGs_4.2 ||
   cūrṇacailakriyāsakto 'ktākṣo[ca] dhūmramāpiban |	cUrNa-cEla-kriyA-saktaH akta-akzo[ca] DUmram-Apiban |
   likhan yo pustakaṃ vāpi yo vācayati so 'pi na || Śghs_4.3 ||	liKan yaH pustakam vA-api yaH vAcayati saH api na || ŚGs_4.3 ||
   viṭprasrāvakuṭīṃ gacchan tiṣṭhan tamasi voddiśan |	viz-prasrAva-kuwIm gacCan tizWan tamasi vA-uddiSan |
   vāsayannatha prāvṛṇvana na vandyo yatinā yatiḥ || Śghs_4.4 ||	vAsayan=-aTa prAvRNvana na vandyaH yatinA yatiH || ŚGs_4.4 ||
   avaguṇṭhitaśīrṣeṇa sopānatkena jānunoḥ |	avaguNWita-SIrzeNa sa-upAnatkena jAnunoH |
   muṇḍasphoṭaṃ hi jaṃghāyāṃ na dadyādavinā yathā || Śghs_4.5 ||	muNxa-sPowam hi jaMGAyAm na dadyAt-avinA yaTA || ŚGs_4.5 ||
   samavasthāniṣaṇṇena vandyamānena padyuge |	samavasTA-nizaNNena vandyamAnena pad-yuge |
   gṛhītvā karkaṭagrāhaṃ vācyamārogyamastviti || Śghs_4.6 ||	gRhItvA karkawa-grAham vAcyam-Arogyam-astu-iti || ŚGs_4.6 ||
   bhikṣuvinayasaṃkṣepādācārāntaramuddhṛtaṃ |	Bikzu-vinaya-saMkzepAt-AcAra-antaram-udDRtam |
   śrotavyo 'nyadupādhyāyād bhāvyaṃ sagauraveṇa ca || Śghs_4.7 ||	SrotavyaH anyat-upADyAyAt BAvyam sa-gOraveNa ca || ŚGs_4.7 ||
   śatadvayena saṃhatya śrīghanācāra saṃgrahaṃ |	Sata-dvayena saMhatya SrIGana-AcAra saMgraham |
   sukṛtaṃ karma yattena jano prāpnotvasaṃskṛtaṃ || Śghs_4.8 ||	sukRtam karma yat-tena janaH prApnotu-asaMskRtam || ŚGs_4.8 ||
   iti saṃghasenena saṃvihitoddhāre śrīghanācārasaṃgrahe	iti saMGasenena saMvihita-udDAre SrIGana-AcAra-saMgrahe
   anye cācārā nāma caturtho 'dhyāyaḥ ||	anye ca-AcArAH nAma caturTaH aDyAyaH ||
   iti śrīghanācārasaṃgrahaḥ ||	iti SrIGana-AcAra-saMgrahaH ||
