   Mahāsannipātaratnaketudhāraṇī sūtraṃ	MahAsannipAta-ratna-ketu-DAraNI sUtram
   nānādyāyudhatīkṣṇatomaraśaraprāsāsikhaḍgāśritaiḥ /	nAnA-Adya-AyuDa-tIkzNa-tomara-Sara-prAsa-asi-Kaxga-ASritEH /
   ākāśād ghanarāvasupraharaṇairmeghāśaniṃ muñcataḥ	AkASAt Gana-rAvasu-praharaNEH-meGa-aSanim muQcataH
   kṣipraṃ sa sabhayaṃ prayāsyati tato bhūkampahetorvaśam // Rkp_3.21 //	kzipram sa sa-Bayam prayAsyati tatas BUkampa-hetoH-vaSam // RkB-_3.21 //
   vistareṇa yathāsau mārāṇāṃ mārabalaviṣayavikurvatāṃ sarve tathaivācakṣuḥ /	vistareNa yaTA-asO mArANAm mAra-bala-vizaya-vikurvatAm sarve taTA-eva-AcakzuH /
   bhagavāṃśca punaḥ sarvāvatīmimāṃ trisāhasramahāsāhasrīṃ lokadhātuṃ	BagavAn=-ca punar sarvAvatIm-imAm tri-sAhasra-mahA-sAhasrIm lokaDAtum
   vajramayīmadhyatiṣṭhat / na ca punarbhūyo mārā rāvāṃścakrurna	vajra-mayIm-aDyatizWat / na ca punar-BUyas mArAH rAvAn=-cakruH-na
   cāturdiśamagniparvatāstasthuḥ / na kṛ[ṣṇā]bhrā nākālavāyavo na ca	cAturdiSam-agni-parvatAH-tasTuH / na kR[zNA]BrAH na-akAla-vAyavaH na ca
   kaścinnāgo 'bhipravarṣati sma antaśaḥ ekabindurapi buddhabalādhiṣṭhānena /	kaScid-nAgaH aBipravarzati sma antaSas eka-binduH-api budDa-bala-aDizWAnena /
   (Dutt 61)	(Dutt 61)
   tena khalu punaḥ samayena catvāro mahāśrāvakāḥ pūrvāṇhe nivāsya	tena Kalu punar samayena catvAraH mahA-SrAvakAH pUrva-aNhe nivAsya
   pātracīvaramādāya rājagṛhaṃ mahānagaraṃ piṇḍāya praviviśuḥ / āyuṣmān	pAtra-cIvaram-AdAya rAja-gRham mahA-nagaram piNxAya praviviSuH / AyuzmAn
   śāriputro dakṣiṇena nagaradvāreṇa rājagṛhaṃ mahānagaraṃ piṇḍāya praviveśa	SAriputraH dakziNena nagara-dvAreNa rAja-gRham mahA-nagaram piNxAya praviveSa
   / tatra ca nagare pañcāśanmārakumārakāḥ paramayauvanasurūpā	/ tatra ca nagare paQcASat-mAra-kumArakAH parama-yOvana-surUpA
   mahatmaveṣasadṛśā nṛtyanto gāyantaḥ saṃceruḥ / te āyuṣmantaṃ	mahatma-veza-sadRSAH nRtyantaH gAyantaH saMceruH / te Ayuzmantam
   śāriputramubhābhyāṃ pāṇibhyāṃ gṛhītvā vīthyāṃ dhāvanti sma nṛtyanto	SAriputram-uBAByAm pANiByAm gRhItvA vITyAm DAvanti sma nRtyantaH-
   gāyantaḥ śāriputramevamāhuḥ / nartasva śramaṇa gāyasva śramaṇa / śāriputra	gAyantaH SAriputram-evam-AhuH / naRtasva SramaNa gAyasva SramaNa / SAriputra
   āha / śṛṇuta yūyaṃ mārṣāḥ svayam / aśrutapūrvāṃ gītikāṃ śrāvayiṣyāmi / te	Aha / SRNuta yUyam mArzAH svayam / aSruta-pUrvAm gItikAm SrAvayizyAmi / te
   ca sava mārakumārakā dhāvanto gītasvareṇa saha śāriputreṇaivamāhuḥ /	ca sava mAra-kumArakAH DAvantaH gIta-svareNa saha SAriputreNa-evam-AhuH /
   alameva hi āyatanehi vañcitā vayamāyatanehi /	alam-eva hi Ayatana-ihi vaQcitAH vayam-Ayatanehi /
   āghatanāni hi āyatanāni antu karomyahu āyatanānām // Rkp_3.22 //	AGatanAni hi AyatanAni antu karomi-ahu AyatanAnAm // RkB-_3.22 //
   (Dutt 62)	(Dutt 62)
   alameva hi skandhakṛtehi vañcitā vayaṃ skandhakṛtehi /	alam-eva hi skanDa-kRtA-ihi vaQcitAH vayam skanDa-kRtA-ihi /
   āghatanāni hi skandhakṛtāni antu karomyahu skandhakṛtānām // Rkp_3.23 //	AGatanAni hi skanDa-kRtAni antu karomi-ahu skanDa-kRtAnAm // RkB-_3.23 //
   tadyathā / vahara vahara / bhāravaha marīcivaha / sadyavaha amavaha /	tat-yaTA / vahara vahara / BAravaha marIci-vaha / sadya-vaha amavaha /
   svāhā //	svAhA //
   sthaviraḥ śāriputro dhāvan gītasvareṇa imā gāthā imāni ca mantrapadāni	sTaviraH SAriputraH DAvan gIta-svareNa imAH gATAH imAni ca mantra-padAni
   bhāṣate sma / atha te pañcāśanmārakumārakāḥ paramahṛṣṭāḥ suprasannamanasa	BAzate sma / aTa te paQcASat-mAra-kumArakAH parama-hRzwAH su-prasanna-manasa
   evamāhuḥ /	evam-AhuH /
   kṣamāpayāmo vayamadya nāthaṃ tvāmeva bandhuṃ jagataḥ sudeśikam /	kzamApayAmaH vayam-adya nATam tvAm-eva banDum jagataH su-deSikam /
   skandhā yathā te sabhayāḥ pradiṣṭāḥ tava vayaṃ sākṣiṇa eṣu nityam //	skanDAH yaTA te sa-BayAH pradizwAH tava vayam sAkziNaH ezu nityam //
   Rkp_3.24 //	RkB-_3.24 //
   sarve ca te śāriputrasya vīthīmadhye pādau śirasābhivandya purato	sarve ca te SAriputrasya vITI-maDye pAdO SirasA-aBivandya puratas-
   niṣedurdharmaśravaṇāya /	nizeduH-Darma-SravaNAya /
   atha khalvāyuṣmān mahāmaudgalyāyanaḥ pūrveṇa nagaradvāreṇa rājagṛhe	aTa Kalu-AyuzmAn mahAmOdgalyAyanaH pUrveNa nagara-dvAreNa rAjagRhe
   mahānagare piṇḍāya prāviśat / tathāpi pañcāśanmārakumārakā yāvad	mahA-nagare piNxAya prAviSat / taTA-api paQcASat-mAra-kumArakAH yAvat-
   gītasvareṇaivāhuḥ /	gIta-svareNa-eva-AhuH /
   alameva hi dhātumayehi vāñcitā vayaṃ dhātumayehi /	alam-eva hi DAtu-mayehi vA-AQcitAH vayam DAtu-maya-ihi /
   āghatanāni hi dhātumayāni antu karomyahu dhātumayānām // Rkp_3.25 //	AGatanAni hi DAtu-mayAni antu karomi-ahu DAtu-mayAnAm // RkB-_3.25 //
   alameva hi vedayitehi vañcitā vayaṃ vedayitehi /	alam-eva hi vedayitA-ihi vaQcitAH vayam vedayitehi /
   āghatanāni hi vedayitāni antu karomyahu vedayitānām // Rkp_3.26 //	AGatanAni hi vedayitAni antu karomi-ahu vedayitAnAm // RkB-_3.26 //
   (Dutt 63)	(Dutt 63)
   alameva hi cetayitehi vañcitā vayaṃ cetayitehi /	alam-eva hi cetayitehi vaQcitAH vayam cetayitehi /
   āghatanāni hi cetayitānām antu karomyahu cetayitānām // Rkp_3.27 //	AGatanAni hi cetayitAnAm antu karomi-ahu cetayitAnAm // RkB-_3.27 //
   alameva hi saṃjñākṛtehi vañcitā vayaṃ saṃjñākṛtehi /	alam-eva hi saMjQA-kRtA-ihi vaQcitAH vayam saMjQA-kRtA-ihi /
   āghatanāni hi saṃjñākṛtāni antu karomyahu saṃjñākṛtānām // Rkp_3.28 //	AGatanAni hi saMjQA-kRtAni antu karomi-ahu saMjQA-kRtAnAm // RkB-_3.28 //
   alameva hi saṃsaritehi vañcitā vayaṃ saṃsaritehi /	alam-eva hi saMsarite-hi vaQcitAH vayam saMsarite-hi /
   āghatanāni hi saṃsaritāni antu karomyahu saṃsaritānām // Rkp_3.29 //	AGatanAni hi saMsaritAni antu karomi-ahu saMsaritAnAm // RkB-_3.29 //
   tad yathā / āmava āmava āmava / āraja raṇajaha / śamyatha śamyatha	tat yaTA / AmavaH AmavaH Amava / Araja raNa-jaha / SamI-aTa SamI-aTa
   śamyatha / gaganapama svāhā //	SamI-aTa / gagana-pama svAhA //
   dhāvan gītasvareṇa āyuṣmān mahāmaudgalyāyano māraputrebhyaḥ imā gāthā	DAvan gIta-svareNa AyuzmAn mahAmOdgalyAyanaH mAra-putreByaH imAH gATA
   imāni ca mantrapadāni bhāṣate sma / atha te pañcāśanmārakumārakāḥ	imAni ca mantra-padAni BAzate sma / aTa te paQcASat-mAra-kumArakAH
   paramahṛṣṭāḥ suprasannamanasaḥ evamāhuḥ /	parama-hRzwAH su-prasanna-manasaH evam-AhuH /
   ṛddhyānviteryāpathaguptamunīndrasūnuḥ saṃsāradoṣasamadarśaka-dharmadīpaḥ /	RdDyA-anviteH-ya-apaTagupta-muni-indra-sUnuH saMsAra-doza-sama-darSa-ka-Darma-dIpaH /
   pāpaṃ prahāya vayamādarabhaktijātā buddhaṃ gatādya śaraṇaṃ	pApam prahAya vayam-Adara-Bakti-jAtA budDam gatA-adya SaraNam
   varadharmasaṃgham // Rkp_3.30 //	vara-Darma-saMGam // RkB-_3.30 //
   sarve te pañcāśānmārakumārakā vīthīmadhye āyuṣmato mahāmaudgalyāyanasya	sarve te paQcASAt-mAra-kumArakAH vITI-maDye AyuzmataH mahAmOdgalyAyanasya
   pādau śirasābhivandya tasyaiva purato niṣedurdharmaśravaṇāya /	pAdO SirasA-aBivandya tasya-eva puratas nizeduH-Darma-SravaNAya /
   athāyuṣmān pūrṇo maitrāyaṇīputraḥ uttareṇa nagaradvāreṇa piṇḍāya prāviśat	aTa-AyuzmAn pUrNaH mEtrAyaNI-putraH uttareNa nagara-dvAreNa piNxAya prAviSat-
   / yāvad vīthyāṃ dhāvamāno gītasvareṇaivamāha /	/ yAvat vITyAm DAvamAnaH gIta-svareNa-evam-Aha /
   (Dutt 64)	(Dutt 64)
   alameva hi sparśakṛtehi vañcitā vayaṃ sparśakṛtehi	alam-eva hi sparSa-kRtA-ihi vaQcitAH vayam sparSa-kRta-Ihi
   āghatanāni hi sparśakṛtāni antu karomyahu sparśakṛtānām // Rkp_3.31 //	AGatanAni hi sparSa-kRtAni antu karomi-ahu sparSa-kRtAnAm // RkB-_3.31 //
   alameva hi āghipatehi vañcitā vayam ādhipatehi	alam-eva hi AGipatehi vaQcitAH vayam ADipata-ihi
   āghatanāni hi ādhipatīni antu karomyahu ādhipatonām // Rkp_3.32 //	AGatanAni hi ADipatIni antu karomi-ahu ADipata-UnAm // RkB-_3.32 //
   alameva hi saṃsaritehi vañcitā vayaṃ saṃsaritehi /	alam-eva hi saMsarite-hi vaQcitAH vayam saMsarite-hi /
   āghatanāni hi saṃsaritāni antu karomyahu saṃsaritānām // Rkp_3.33 //	AGatanAni hi saMsaritAni antu karomi-ahu saMsaritAnAm // RkB-_3.33 //
   alameva hi sarvabhavehi vañcitā vayaṃ sarvabhavehi /	alam-eva hi sarva-Bava-ihi vaQcitAH vayam sarva-Bava-ihi /
   āghatanāni hi sarvabhavāni antu karomyahu sarvabhavānām // Rkp_3.34 //	AGatanAni hi sarva-BavAni antu karomi-ahu sarva-BavAnAm // RkB-_3.34 //
   laghu gacchati āyu mārṣā salilā śīghrajavena veginī /	laGu gacCati Ayu mArzA salilA SIGra-javena veginI /
   na ca jānati bāliśo jano abudho rūpamadena mattakaḥ // Rkp_3.35 //	na ca jAnati bAliSaH janaH abuDaH rUpa-madena mattakaH // RkB-_3.35 //
   peyālām /	peyAlAm /
   abudhaḥ śabdamadena mattakaḥ // Rkp_3.36 //	abuDaH Sabda-madena mattakaH // RkB-_3.36 //
   abudho gandhamadena mattakaḥ // Rkp_3.37 //	abuDaH ganDa-madena mattakaH // RkB-_3.37 //
   abudho rasamadena mattakaḥ // Rkp_3.38 //	abuDaH rasa-madena mattakaH // RkB-_3.38 //
   abudhaḥ sparśamadena mattakaḥ // Rkp_3.39 //	abuDaH sparSa-madena mattakaH // RkB-_3.39 //
   laghu gacchati āyu mārṣāḥ salilā śīghrajavena veginī /	laGu gacCati Ayu mArzAH salilA SIGra-javena veginI /
   (Dutt 65)	(Dutt 65)
   na ca paśyati bāliśo jano abudho dharmamadena mattakaḥ // Rkp_3.40 //	na ca paSyati bAliSaH janaH abuDaH Darma-madena mattakaH // RkB-_3.40 //
   abudhaḥ skandhamadena mattakaḥ // Rkp_3.41 //	abuDaH skanDa-madena mattakaH // RkB-_3.41 //
   abudho dhātumadena mattakaḥ // Rkp_3.42 //	abuDaH DAtu-madena mattakaH // RkB-_3.42 //
   abudho bhogamadena mattakaḥ // Rkp_3.43 //	abuDaH Boga-madena mattakaH // RkB-_3.43 //
   abudhaḥ saukhyamadena mattakaḥ // Rkp_3.44 //	abuDaH sOKya-madena mattakaH // RkB-_3.44 //
   abudho jātimadena mattakaḥ // Rkp_3.45 //	abuDaH jAti-madena mattakaH // RkB-_3.45 //
   abudhaḥ kāmamadena mattakaḥ // Rkp_3.46 //	abuDaH kAma-madena mattakaH // RkB-_3.46 //
   laghu gacchati āyu mārṣāḥ salilā śīghrajavena veginī /	laGu gacCati Ayu mArzAH salilA SIGra-javena veginI /
   na ca jānati bāliśo jano abudhaḥ sarvamadena mattakaḥ // Rkp_3.47 //	na ca jAnati bAliSaH janaH abuDaH sarva-madena mattakaH // RkB-_3.47 //
   tadyathā / khargava khargava khargava / muna vijñāni / āvarta vivarta	tat-yaTA / Kargava Kargava KargavaH / muna vijQAni / Avarta vivarta
   khabarta / brahmārtha jyotivarta svāhā //	Kabarta / brahma-arTa jyotivarta svAhA //
   athāyuṣmān pūrṇo dhāvan gītasvareṇa māraputrebhya imā gāthā imāni ca	aTa-AyuzmAn pUrNaH DAvan gIta-svareNa mAra-putreByaH imAH gATAH imAni ca
   mantrapadāni bhāṣate sma / atha te pañcāśanmārakumārakāḥ paramahṛṣṭāḥ	mantra-padAni BAzate sma / aTa te paQcASat-mAra-kumArakAH parama-hRzwAH
   suprasannamanasaḥ evamāhuḥ /	su-prasanna-manasaH evam-AhuH /
   (Dutt 66)	(Dutt 66)
   tvayopadiṣṭaḥ khalu śāntimārgo māyāmarīcipratimāśca dhātavaḥ /	tvayA-upadizwaH Kalu SAnti-mArgaH mAyA-marIci-pratimAH-ca DAtavaH /
   saṃkalpamātra-janito vata jivaloko ratnatrayaṃ hi śaraṇaṃ varadaṃ vrajāmaḥ	saMkalpa-mAtra--janitaH vata jiva-lokaH ratna-trayam hi SaraNam vara-dam vrajAmaH
   // Rkp_3.48 //	// RkB-_3.48 //
   sarve te pañcāśanmārakumārakā āyuṣmataḥ pūrṇasya pādau śirasābhivandya	sarve te paQcASat-mAra-kumArakAH AyuzmataH pUrNasya pAdO SirasA-aBivandya
   vīthīmadhye tasya purato niṣaṇṇā dharmaśravaṇāya /	vITI-maDye tasya puratas nizaNNAH Darma-SravaNAya /
   tena ca samayena āyuṣmān subhūtiḥ paścimena nagaradvāreṇa rājagṛhaṃ	tena ca samayena AyuzmAn suBUtiH paScimena nagara-dvAreNa rAja-gRham
   mahānagaraṃ piṇḍāya prāviśat / tatra ca nagaradvāre pañcāśanmārakumārakāḥ	mahA-nagaram piNxAya prAviSat / tatra ca nagara-dvAre paQcASat-mAra-kumArakAH
   paramayauvanasurūpā mahātmaputraveṣadhāriṇo nṛtyanto gāyanto viceruḥ / te	parama-yOvana-surUpAH mahAtma-putra-veza-DAriNaH nRtyantaH gAyantaH viceruH / te
   āyuṣmantaṃ subhūtimubhābhyāṃ pāṇibhyāṃ gṛhya vīthyāṃ dhāvantaḥ āyuṣmantaṃ	Ayuzmantam suBUtim-uBAByAm pANiByAm gRhya vITyAm DAvantaH Ayuzmantam
   subhūtimevamāhuḥ / nartasva śramaṇa gāyasva śramaṇa / subhūtirāha / śṛṇuta	suBUtim-evam-AhuH / na-Rtasva SramaNa gAyasva SramaNa / suBUtiH-Aha / SRNuta
   mārṣā yūyam / aśrutapūrvāṃ gītikāṃ śrāvayiṣyāmi / sarve cālpaśabdā abhūvan	mArzAH yUyam / aSruta-pUrvAm gItikAm SrAvayizyAmi / sarve ca-alpa-SabdAH aBUvan
   / dhāvan gītasvareṇa āyuṣmān subhūtirevamāha /	/ DAvan gIta-svareNa AyuzmAn suBUtiH-evam-Aha /
   anitya sarvabhāva māya-budbudopamā	anitya sarva-BAva mAya-budbuda-upamA
   na nityamasti saṃskṛte kvaciccalātmake yathā /	na nityam-asti saMskRte kvacid-cala-Atmake yaTA /
   marīci dṛṣṭameva yathā nāsti tatra śāśvataṃ	marIci dRzwam-eva yaTA na-asti tatra SASvatam
   laghu vyayo hi sarva dharma buddhimān prajānate // Rkp_3.49 //	laGu vyayaH hi sarva Darma budDimAn prajAnate // RkB-_3.49 //
   (Dutt 67)	(Dutt 67)
   sarve sparśaduḥkhabhāravedanā nirātmikā	sarve sparSa-duHKa-BAra-vedanA nirAtmikA
   yatra prasakta sarve bāla duḥkhadharmapiḍitāḥ /	yatra prasakta sarve bAla duHKa-Darma-pixitAH /
   mitraṃ na kaścidasti sarvaduḥkhamocakā	mitram na kaScid-asti sarva-duHKa-mocakA
   yathā hi śraddhā bodhimārga bhāvanā ca sevitā // Rkp_3.50 //	yaTA hi SradDA boDimArga BAvanA ca sevitAH // RkB-_3.50 //
   ekapakṣa sarvadharma saṃjñā varjitā śubhā	eka-pakza sarva-Darma saMjQA varjitA SuBA
   nirātmayoga sarvacarya dravyalakṣaṇātmikā /	nirAtma-yoga sarva-carya dravya-lakzaNa-AtmikA /
   na jīvapoṣapudgalo 'pi kārako na vidyate	na jIva-poza-pudgalaH api kArakaH na vidyate
   vijñātva māyāśāṭhya bodhicitta nāmaya // Rkp_3.51 //	vijQAtva mAyA-SAWya boDi-citta nAmayaH // RkB-_3.51 //
   vijñāna vartatendriyeṣu vidyutā yathā nabhe	vijQAna vartata-indriyezu vidyutA yaTA naBe
   anātmakāśca sarve sparśavedanāpi cetanā /	anAtmakAH-ca sarve sparSa-vedanA-api cetanA /
   yoniśo nirīkṣya kiṃcidasti naiva dravyatā	yoniSas nirIkzya kiMcid-asti na-eva dravya-tA
   saṃmohito hi bālavargo yantravat pravartate // Rkp_3.52 //	saMmohitaH hi bAla-vargaH yantra-vat pravartate // RkB-_3.52 //
   skandha sarve yoniśo vibhāvya kārako na labhyate	skanDa sarve yoniSas viBAvya kArakaH na laByate
   bhūtakoṭi śānta śūnya sarva antavarjitā /	BUtakowi SAnta SUnya sarve anta-varjitA /
   amohadharmataiṣa ukta bodhimārgacārikā-	amoha-Darma-tA-ezaH ukta boDi-mArga-cArikA-
   nayehi nāyakena bodhiprāptatāyinā // Rkp_3.53 //	nayehi nAyakena boDi-prApta-tAyinA // RkB-_3.53 //
   (Dutt 68)	(Dutt 68)
   tadyathā / sumunde vimunde sundajahi / sili sili / sili sili / avahasili	tat-yaTA / su-munde vimunde sunda-jahi / sili sili / sili sili / avahasili
   [avaha]sili / tathātvasili bhūtakoṭisili svāhā //	[avaha]-sili / taTA-tva-sili BUtakowi-sili svAhA //
   athāyuṣmān subhūtirdhāvan gītasvareṇa imā gāthā imāni ca mantrapadāni	aTa-AyuzmAn suBUtiH-DAvan gIta-svareNa imAH gATAH imAni ca mantra-padAni
   bhāṣate sma / atha te pañcāśanmārakumārakāḥ paramahṛṣṭāḥ suprasannasanasaḥ	BAzate sma / aTa te paQcASat-mAra-kumArakAH parama-hRzwAH su-prasanna-sanasaH
   evamāhuḥ /	evam-AhuH /
   aśrutvā hīdṛśān dharmān pāpamitravaśānugaiḥ /	aSrutvA hi-IdRSAn DarmAn pApa-mitra-vaSa-anugEH /
   yat kṛtaṃ pāpakaṃ karma [mohenājñānatastathā] // Rkp_3.54 //	yat kRtam pApakam karma [mohena-ajQAnataH-taTA] // RkB-_3.54 //
   pratideśaya taccaiva vayaṃ sākṣāj jinātmajāḥ	pratideSaya tat-ca-eva vayam sAkzAt jina-AtmajAH
   praṇidhānaṃ śubhaṃ kurmo buddhatvāya jagaddhite // Rkp_3.55 //	praNiDAnam SuBam kurmaH budDa-tvAya jagat-hite // RkB-_3.55 //
   sarva te pañcāśanmārakumārakā āyuṣmataḥ subhūteḥ pādau śirasā vanditvā	sarva te paQcASat-mAra-kumArakAH AyuzmataH suBUteH pAdO SirasA vanditvA
   tasyaiva purato vīthīmadhye niṣedurdharmaśravaṇāya /	tasya-eva puratas vITI-maDye nizeduH-Darma-SravaNAya /
   tena khalu punaḥ samayena sā vīthī buddhānubhāvena	tena Kalu punar samayena sA vITI budDa-anuBAvena
   yojanaśatavistīrṇāvakāśaṃ saṃdṛśyate sma / tatra ca vīthīmadhye sthavira	yojana-Sata-vistIrNa-avakASam saMdRSyate sma / tatra ca vITI-maDye sTavira
   śāriputraḥ uttarāmukho niṣaṇṇaḥ / mahāmaudgalyāyanaḥ pañcimāmukho niṣaṇṇaḥ	SAriputraH uttarAmuKaH nizaNNaH / mahAmOdgalyAyanaH paQcimA-muKaH nizaNNaH
   / pūrṇo dakṣiṇāmukhaḥ / subhūtiḥ pūrvāmukhaḥ /	/ pUrNaH dakziNAmuKaH / suBUtiH pUrvAmuKaH /
   parasparamardhayojanapramāṇena tasthuḥ / teṣāṃ ca caturṇāṃ mahāśrāvakāṇāṃ	parasparam-arDa-yojana-pramANena tasTuH / tezAm ca caturNAm mahA-SrAvakANAm
   madhye pṛthivīpradeśe padmaṃ prādurabhūt pañcāśaddhastavistāraṃ (Dutt 69)	maDye pRTivI-pradeSe padmam prAduraBUt paQcASat-hasta-vistAram (Dutt 69)
   jāmbūnadamayena daṇḍena nīlavaiḍūryamayaiḥ patraiḥ śrīgarbhamayena	jAmbUnada-mayena daNxena nIla-vExUrya-mayEH patrEH SrI-garBa-mayena
   kesareṇa mukhāmayayā karṇīkayā / tataśca padmānmahānavabhāso 'bhavat /	kesareNa muKa-AmayayA karNIkayA / tatas-ca padmAn-mahAnava-BAsaH aBavat /
   tasyāṃ ca vīthyāṃ tatpadmaṃ tripauruṣam uccatvena saṃdṛśyate sma	tasyAm ca vITyAm tat-padmam tri-pOruzam ucca-tvena saMdRSyate sma
   yāvaccāturmahārājakāyikeṣu deveṣu tatpadmaṃ divyāni pañcāśad yojanāni	yAvat-cAturmahA-rAja-kAyikezu devezu tat-padmam divyAni paQcASat yojanAni
   uccatvena saṃdṛśyate sma / trāyastriṃśatsu tatpadmaṃ yojanaśatamuccatvena	ucca-tvena saMdRSyate sma / trAyastriMSatsu tat-padmam yojana-Satam-ucca-tvena
   saṃdṛśyate sma yāvadakaniṣṭheṣu deveṣu tatpadmam ardhayojanamuccatvena	saMdRSyate sma yAvat-akanizWezu devezu tat-padmam arDa-yojanam-ucca-tvena
   saṃdṛśyate sma / tasya ca padmasya patrebhyo nānārthapadāḥ ślokā niśceruḥ	saMdRSyate sma / tasya ca padmasya patreByaH nAnA-arTa-padAH SlokAH niSceruH
   / ye sattvā iha bhūmisthitāste imān ślokān śuśruvaḥ /	/ ye sattvAH iha BUmi-sTitAH-te imAn SlokAn SuSruvaH /
   ekaḥ pudgala utpanno buddhakṣetre ihānaghaḥ /	ekaH pudgalaH utpannaH budDa-kzetre iha-anaGaH /
   nihato māra ekena sasainyabalavāhanaḥ // Rkp_3.56 //	nihataH mAraH ekena sa-sEnya-bala-vAhanaH // RkB-_3.56 //
   ekena buddhavīryeṇa dharmacakraṃ pravartitam /	ekena budDa-vIryeNa Darma-cakram pravartitam /
   ekākīha jagaddhetorāyā[to hi] na saṃśayaḥ // Rkp_3.57 //	ekAkI-iha jagat-hetoH-AyA[taH hi] na saMSayaH // RkB-_3.57 //
   vidvāṃsau bahunītiśastrakuśalau dharmārthamokṣārthikau	vidvAMsO bahunIti-Sastra-kuSalO Darma-arTa-mokza-arTikO
   nītijñau upatiṣyakaulitavarau śāstre vinītāviha /	nIti-jQO upatizya-kOlita-varO SAstre vinItO=-iha /
   vidvān sarvajagaddhitārthakuśalaḥ saddharmavādī mahān	vidvAn sarva-jagat-hita-arTa-kuSalaH sat-Darma-vAdI mahAn
   neṣyatyadya sa sarvalokamahito vādipradhāno muniḥ // Rkp_3.58 //	na-izyati-adya sa sarva-lokam-ahitaH vAdi-praDAnaH muniH // RkB-_3.58 //
   trayadhvajñānasudeśakaḥ śramaṇarāṭ śikṣātrayodbhāvaka-	trayaDva-jQAna-sudeSakaH SramaNa-rAj SikzA-traya-udBAvaka-
   strātā vai sanarāmarasya jagato dharmāprameyārthavit /	strAtA vE sa-nara-amarasya jagataH Darma-aprameya-arTa-vid /
   (Dutt 70)	(Dutt 70)
   lokasyātha hitapracārakuśalo jñānapradīpo mahān	lokasya-aTa hita-pracAra-kuSalaH jQAna-pradIpaH mahAn
   sadvādī trimalaprahīṇa iha so adyaiva saṃgāsyati // Rkp_3.59 //	sat-vAdI tri-mala-prahINaH iha saH adya-eva saMgAsyati // RkB-_3.59 //
   lokārthamabhrāntamatiścacāra duḥkhārditaṃ sarva jagad vimocayan /	loka-arTam-aBra-anta-matiH-cacAra duHKa-arditam sarva jagat vimocayan /
   avidyayā nīvṛtalocanānāṃ saddharmacakṣuḥ pradadau yathāvat // Rkp_3.60 //	avidyayA nIvRta-locanAnAm sadDarmacakzuH pradadO yaTAvat // RkB-_3.60 //
   sarvāvatīyaṃ pariṣat samāgatā na cirādihāyāsyati vādisiṃhaḥ /	sarvAvatIyam parizad samAgatA na cirAt-iha-AyAsyati vAdi-siMhaH /
   paramārthadarśī paramaṃ surūpo balairupeto hi parāparajñaḥ // Rkp_3.61 //	parama-arTa-darSI paramam surUpaH balEH-upetaH hi para-apara-jQaH // RkB-_3.61 //
   dṛṣṭvā jagadduḥkhamahārṇavastham āhantumāyāsyati dharma[bherīm] /	dRzwvA jagat-duHKa-mahA-arNava-sTam Ahantum-AyAsyati Darma[BerIm] /
   ṣaḍiṇdriyairuttamasaṃvarasthaḥ [ṣaḍāśrayaśca ṣaḍa]bhijñakovidaḥ //	zaxiNdriyEH-uttama-saMvara-sTaH [zaz-ASrayaH-ca zaxa]BijQa-kovidaH //
   Rkp_3.62 //	RkB-_3.62 //
   ṣaṭpāradharmottamadeśanāyai ṣaḍbīja āyāsyati vādisiṃhaḥ /	zaz-pAra-Darma-uttama-deSanAyE zaxbIjaH AyAsyati vAdi-siMhaH /
   ṣaḍindriyagrā[maviheṭhanāya] ṣaḍuttamārtha smṛti sārathendraḥ // Rkp_3.63	zaz-indriyagrA[maviheWanAya] zaz-uttama-arTa smRti sAraTa-indraH // RkB-_3.63
   (Dutt 71)	(Dutt 71)
   yāvat ṣaṭsu kāmāvacareṣu deveṣu tataḥ padmādimā gāthā niśceruḥ /	yAvat zawsu kAma-avacarezu devezu tatas padma-At-imA gATAH niSceruH /
   yūyaṃ samagrā ratimadya bhuṃjatha pramattacittā madatṛṣṇa[saṃ]ratāḥ /	yUyam samagrAH ratim-adya BuMjaTa pramatta-cittAH mada-tRzNa[-saM]ratAH /
   sadā vimūḍhā ratipānamattā na pūjayadhvaṃ sugataṃ pramādāt //	sadA vimUXA rati-pAna-mattAH na pUjayaDvam sugatam pramAdAt //
   Rkp_3.64(="63") //	RkB-_3.64(="63") //
   kāmānanityo dakacandrasannibhaḥ saṃsārapāśo 'tidṛḍhaḥ prajāyāḥ /	kAmAn-anityaH daka-candra-sanniBaH saMsAra-pASaH ati-dRXaH prajAyAH /
   aniḥsṛtānāṃ ratiṣu pramādināṃ na nirvṛto vā tu punarbhaviṣyati //	aniHsRtAnAm ratizu pramAdinAm na nirvRtaH vA tu punar-Bavizyati //
   Rkp_3.65(="64") //	RkB-_3.65(="64") //
   sadā pramattā na śamāya yuktā na paśyata prāksukṛtaṃ śubhāśubham /	sadA pramattA na SamAya yuktA na paSyata prAc-sukRtam SuBa-aSuBam /
   jarā-rujā-mṛtyubhayaiḥ parītā apāyabhūmiprasṛtāśca yūyama //	jarA-rujA--mRtyu-BayEH parItAH apAya-BUmi-prasRtAH-ca yUyamaH //
   Rkp_3.66(="65") //	RkB-_3.66(="65") //
   dānaṃ damaṃ saṃyamamapramādaṃ niṣevata prāksukṛtaṃ ca rakṣata /	dAnam damam saMyamam-apramAdam nizevata prAc-sukRtam ca rakzata /
