   akarotkiṃ mahādeva SkP_26.2c	akarot kim mahAdeva SkP_26.2c
   pramathāya vareṇyāya SkP_24.52c	pramaTAya vareNyAya SkP_24.52c
   pramathārtiharāya ca SkP_14.9b	pramaTa Arti harAya ca Sku _14.9b
   pramathāḥ koṭibhistribhiḥ SkP_23.56b	pramaTAH kowiBiH triBiH Sku _23.56b
   prayacchati mahaddhanam SkP_29.166b	prayacCati mahat Danam Sku _29.166b
   prayaccha bhagavanprabho SkP_29.113d	prayacCa Bagavan praBo SkP_29.113d
   prayacchāmi janāvṛtam SkP_25.21d	prayacCAmi jana AvRtam Sku _25.21d
   prayatātmā tathaiva ha SkP_21.6b	prayata AtmA taTA eva ha SkP_21.6b
   prayato vyāsa nityaśaḥ SkP_29.214b	prayataH vyAsa nityaSas Sku _29.214b
   prayatnaṃ mahadāsthitaḥ SkP_17.11b	prayatnam mahat AsTitaH SkP_17.11b
   prayayāvāśramaṃ muniḥ SkP_18.12d	prayayO= ASramam muniH SkP_18.12d
   prayāgaṃ sapṛthūdakam SkP_29.79d	prayAgam sa pRTUdakam SkP_29.79d
   prayāgādapi tīrthāgryād SkP_30.54c	prayAgAt api tIrTa agryAt SkP_30.54c
   prayāge parame puṇye SkP_1.3c	prayAge parame puNye SkP_1.3c
   prayāge yajataśca ha SkP_4.23d	prayAge yajataH ca ha SkP_4.23d
   prayāge vā bhavenmokṣa SkP_30.54a	prayAge vA Bavet mokza Sku _30.54a
   prayāma dātuṃ yakṣāya SkP_31.1c	prayAma dAtum yakzAya Sku _31.1c
   prayāsyāmi mahāvrate SkP_15.14d	prayAsyAmi mahA vrate SkP_15.14d
   prayuktavantau samyaktu SkP_20.49e	prayuktavantO samyak tu Sku _20.49e
   prayuṅkto dharmanityatām SkP_20.47b	prayuFktaH Darma nityatAm SkP_20.47b
   prayunakti mahāmanāḥ SkP_4.29d	prayunakti mahAmanAH SkP_4.29d
   pralayotpattaye caiva SkP_29.163a	pralaya utpattaye ca eva Sku _29.163a
   pralayotpattikāriṇe SkP_14.16d	pralaya utpatti kAriNe SkP_14.16d
   pravartakāya prakṛteḥ SkP_14.22a	pravartakAya prakRteH Sku _14.22a
   pravavau sukhasaṃsparśa SkP_13.67e	pravavO suKa saMsparSa Sku _13.67e
   praviśanti tapodhanāḥ SkP_10.18b	praviSanti tapoDanAH Sku _10.18b
   praviśanti sadābhyetya SkP_29.81e	praviSanti sadA aByetya Sku _29.81e
   praviśeta sa māṃ kṣipram SkP_27.46c	praviSeta sa mAm kzipram Sku _27.46c
   praviṣṭe bhavanaṃ deve SkP_15.1a	pravizwe Bavanam deve Sku _15.1a
   pravṛttā tvaṃ śubhānane SkP_22.18d	pravRttA tvam SuBa Anane SkP_22.18d
   pravṛttā paramāmbhasā SkP_5.15d	pravRttA parama amBasA SkP_5.15d
   pravṛttā brahmalokagā SkP_5.20b	pravRttA brahma loka gA Sku _5.20b
   pravṛttāyāṃ sarasvatyām SkP_8.2c	pravRttAyAm sarasvatyAm SkP_8.2c
   pravṛttā sā mahānadī SkP_22.24b	pravRttA sA mahA nadI Sku _22.24b
   pravṛtte vṛṣṭisarjane SkP_4.23b	pravRtte vRzwi sarjane SkP_4.23b
   pravṛtte srotasī bhṛśam SkP_22.27b	pravRtte srotasI BRSam Sku _22.27b
   praśastāścetare pṛthak SkP_10.27b	praSastAH ca itare pRTak Sku _10.27b
   praśādhi rājyaṃ rājendra SkP_18.19a	praSADi rAjyam rAja indra Sku _18.19a
   prasannasya natasya ca SkP_29.145b	prasannasya natasya ca Sku _29.145b
   prasannaṃ saparicchadam SkP_21.51b	prasannam sa paricCadam Sku _21.51b
   prasannā cedamabravīt SkP_29.146d	prasannA ca idam abravIt SkP_29.146d
   prasanne surabhīrmayi SkP_29.16b	prasanne suraBIH mayi SkP_29.16b
   prasamīkṣya mahāsureśakālaṃ SkP_8.37a	prasamIkzya mahA asura ISa kAlam SkP_8.37a
   prasādamakarottasya SkP_29.146c	prasAdam akarot tasya SkP_29.146c
   prasādayaṃśca taṃ devaṃ SkP_15.6c	prasAdayan= ca tam devam SkP_15.6c
   prasādayāmāsa tadā SkP_18.17c	prasAdayAmAsa tadA SkP_18.17c
   prasādaṃ kartumarhasi SkP_5.53d	prasAdam kartum arhasi SkP_5.53d
   prasādaṃ kuru deveśa SkP_29.13c	prasAdam kuru deveSa SkP_29.13c
   prasādaṃ kuru deveśe SkP_29.145c	prasAdam kuru deveSe SkP_29.145c
   prasādaṃ kuru bālasya SkP_29.139c	prasAdam kuru bAlasya SkP_29.139c
   prasādaṃ paramālambya SkP_20.20c	prasAdam parama Alambya SkP_20.20c
   prasādaṃ manasastathā SkP_12.17d	prasAdam manasaH taTA SkP_12.17d
   prasādaḥ sahasotpanno SkP_13.61a	prasAdaH sahasA utpannaH Sku _13.61a
   prasādāttava deveśa SkP_13.44c	prasAdAt tava deveSa SkP_13.44c
   prasādātpārameśvarāt SkP_1.22b	prasAdAt pArameSvarAt Sku _1.22b
   prasādānmama suvrate SkP_30.69d	prasAdAt mama suvrate SkP_30.69d
   prasthitebhyo namo namaḥ SkP_25.45b	prasTiteByaH namaH namaH Sku _25.45b
   praharṣamatulaṃ gatvā SkP_14.1c	praharzam atulam gatvA SkP_14.1c
   prahasanpravicālayan SkP_23.39d	prahasan pravicAlayan SkP_23.39d
   prahasya ca nirīkṣya ca SkP_16.12b	prahasya ca nirIkzya ca Sku _16.12b
   prahasya vacanaṃ śubham SkP_6.6f	prahasya vacanam SuBam Sku _6.6f
   prahasya vadatāṃ varaḥ SkP_16.8b	prahasya vadatAm varaH Sku _16.8b
   prahṛṣṭanānāvidhapakṣisevitaṃ SkP_30.28c	prahRzwa nAnAviDa pakzi sevitam SkP_30.28c
   prahṛṣṭenāntarātmanā SkP_13.134d	prahRzwena antarAtmanA SkP_13.134d
   prahlādayantī cetāṃsi SkP_13.86c	prahlAdayantI cetAMsi SkP_13.86c
   prahlādavigrahaścaiva SkP_2.28c	prahlAda vigrahaH ca eva SkP_2.28c
   prahvā samavatiṣṭhata SkP_7.6d	prahvA samavatizWata SkP_7.6d
   prākṣipaṃsteṣvathauṣadhīḥ SkP_24.39b	prAkzipan= tezu aTa ozaDIH Sku _24.39b
   prāgeva narapuṃgava SkP_17.8d	prAk eva nara puMgava SkP_17.8d
   prāṅmukhaḥ sa gaṇeśānām SkP_23.4c	prAFmuKaH sa gaNeSAnAm Sku _23.4c
   prājāpatyaṃ tato labdhvā SkP_4.1a	prAjApatyam tatas labDvA Sku _4.1a
   prājāpatyābhiṣekaśca SkP_2.4c	prAjApatya aBizekaH ca SkP_2.4c
   prājāpatye 'bhyaṣecayat SkP_3.28d	prAjApatye aByazecayat SkP_3.28d
   prāñjalirhṛṣitānanaḥ SkP_26.24d	prAQjaliH hRzita AnanaH SkP_26.24d
   prāñjaliḥ prayato bhūtvā SkP_24.58c	prAQjaliH prayataH BUtvA SkP_24.58c
   prāñjaliḥ śirasā natā SkP_22.17b	prAQjaliH SirasA natA Sku _22.17b
   prāṇāniha tu saṃnyasya SkP_29.38e	prANAn iha tu saMnyasya Sku _29.38e
   prāṇāniha narastyaktvā SkP_29.30a	prANAn iha naraH tyaktvA Sku _29.30a
   prāṇānnūnaṃ vihāsyataḥ SkP_12.35d	prANAn nUnam vihAsyataH SkP_12.35d
   prāṇānsamyakparityajet SkP_12.26b	prANAn samyak parityajet SkP_12.26b
   prāṇināṃ jīvadāya ca SkP_21.38b	prANinAm jIva dAya ca Sku _21.38b
   prātaḥ prāñjalirutthitaḥ SkP_28.51d	prAtar prAQjaliH utTitaH SkP_28.51d
   prātaḥ śucirniyamavānpurato dvijānām SkP_20.21b	prAtar SuciH niyamavAn puratas dvijAnAm Sku _20.21b
   prādātparamadeveśaḥ SkP_13.54c	prAdAt parama deveSaH SkP_13.54c
   prādurbabhūvuḥ kusumāvataṃsāḥ SkP_13.101c	prAdurbaBUvuH kusuma avataMsAH SkP_13.101c
   prāptaṃ nidhanamutsukau SkP_12.35b	prAptam niDanam utsukO Sku _12.35b
   prāpte trailokyasaṃkṣaye SkP_28.43d	prApte trElokya saMkzaye SkP_28.43d
   prāpya yajñaphalaṃ mahat SkP_8.22b	prApya yajQa Palam mahat Sku _8.22b
   prāpya yo yokṣyate dvijaḥ SkP_29.118b	prApya yaH yokzyate dvijaH Sku _29.118b
   prāpsyase paramaṃ mahat SkP_29.116d	prApsyase paramam mahat SkP_29.116d
   prāyaścittaṃ caradhvaṃ vaḥ SkP_5.36e	prAyaScittam caraDvam vaH Sku _5.36e
   prāyaḥ soṣṇajalāśayaḥ SkP_13.120b	prAyas sa uzNa jala ASayaH SkP_13.120b
   prārthitaṃ samprasīda naḥ SkP_11.37d	prArTitam samprasIda naH SkP_11.37d
   prāleyacūrṇavarṣibhyāṃ SkP_13.93c	prAleya cUrNa varziByAm SkP_13.93c
   prāleyadhārāḥ śaśipādagaurā SkP_13.98c	prAleya DArAH SaSi pAda gOrA SkP_13.98c
   prāleyapaṭalacchannaiḥ SkP_13.96a	prAleya pawala= CannEH Sku _13.96a
   prāleyādreḥ samantataḥ SkP_13.121d	prAleya adreH samantataH SkP_13.121d
   prāvartata nadī puṇyā SkP_22.28c	prAvartata nadI puNyA SkP_22.28c
   prāvartata mahānadī SkP_22.16f	prAvartata mahA nadI Sku _22.16f
   prāvartayata śobhanām SkP_26.34b	prAvartayata SoBanAm Sku _26.34b
   prāsādaṃ yastu me devi SkP_27.12a	prAsAdam yaH tu me devi Sku _27.12a
   priyaṅgūcūtasaṃkulam SkP_29.6b	priyaFgU cUta saMkulam Sku _29.6b
   priyaṅgūścūtataravaś SkP_13.106a	priyaFgUH cUta taravaH Sku _13.106a
   priyatvaṃ ca kathaṃ gataḥ SkP_30.2b	priya tvam ca kaTam gataH Sku _30.2b
   priyatvaṃ caiva sarvatra SkP_26.30c	priya tvam ca eva sarvatra SkP_26.30c
   priyaputrāvekaputrau SkP_12.35c	priya putrO= eka putrO SkP_12.35c
   priyavāganasūyakaḥ SkP_20.38b	priyavAc anasUyakaH Sku _20.38b
   priyaścāsya bhaviṣyasi SkP_6.12d	priyaH ca asya Bavizyasi SkP_6.12d
   priyaḥ saṃmata eva ca SkP_22.33d	priyaH saMmataH eva ca Sku _22.33d
   priyā eva bhaviṣyanti SkP_29.227c	priyAH eva Bavizyanti SkP_29.227c
   priyāśca sarvalokasya SkP_29.221c	priyAH ca sarva lokasya SkP_29.221c
   priyeṣu mānonnatamānasānāṃ SkP_13.77a	priyezu mAna unnata mAnasAnAm Sku _13.77a
   priyo gauravayuktaśca SkP_24.10c	priyaH gOrava yuktaH ca SkP_24.10c
   priyo 'granāyakaścaiva SkP_24.8c	priyaH agra nAyakaH ca eva SkP_24.8c
   priyo yuṣmākameva ca SkP_25.28d	priyaH yuzmAkam eva ca Sku _25.28d
   prīṇāti ca pitṝnsarvān SkP_27.33c	prINAti ca pitLn sarvAn SkP_27.33c
   prītiyuktā gataklamā SkP_15.12d	prIti yuktA gata klamA SkP_15.12d
   prīto no diśa śakvarīm SkP_3.18f	prItaH naH diSa SakvarIm Sku _3.18f
   prīyamāṇa umāpatiḥ SkP_29.174d	prIyamANaH umApatiH SkP_29.174d
   prīyamāṇastrilocanaḥ SkP_20.25b	prIyamANaH trilocanaH SkP_20.25b
   prīyamāṇo mahātapāḥ SkP_27.6b	prIyamANaH mahA tapAH Sk= _27.6b
   pretādhipataye namaḥ SkP_29.108d	preta aDipataye namaH SkP_29.108d
   premṇā spṛśantī kānteva SkP_13.90c	premNA spRSantI kAntA iva SkP_13.90c
   preritaṃ devadevena SkP_4.14c	preritam devadevena SkP_4.14c
   preṣito gaṇapo rudraḥ SkP_4.15c	prezitaH gaNapaH rudraH SkP_4.15c
   proktaḥ saṃvignacetasā SkP_29.25b	proktaH saMvigna cetasA SkP_29.25b
   proktā girivarātmajā SkP_29.146b	proktA giri vara AtmajA Sku _29.146b
   proktā tyaktāpi vā punaḥ SkP_10.29d	proktA tyaktA api vA punar SkP_10.29d
   procyāgacchadyathāgatam SkP_21.5f	procya AgacCat yaTAgatam Sku _21.5f
   prodbhāsayansarvadiśo vivasvān SkP_13.10b	prodBAsayan sarva diSaH vivasvAn Sku _13.10b
   prodbhinnacūtāṅkurakarṇapūraḥ SkP_13.100b	prodBinna cUta aFkura karNapUraH SkP_13.100b
   provāca bhuvaneśvaraḥ SkP_5.64b	provAca BuvaneSvaraH SkP_5.64b
   provāca vacanaṃ vyāsa SkP_12.60c	provAca vacanam vyAsa SkP_12.60c
   provāca vacanaṃ śubham SkP_1.21d	provAca vacanam SuBam SkP_1.21d
   provāca varadaḥ svayam SkP_4.5f	provAca vara daH svayam Sku _4.5f
   provāca vimanā tadā SkP_26.50b	provAca vimanA tadA Sku _26.50b
   provāca sa gaṇeśvaraḥ SkP_26.48b	provAca sa gaNeSvaraH Sku _26.48b
   provāca himavatputrīṃ SkP_15.13c	provAca himavat putrIm SkP_15.13c
   provācedaṃ munīnsarvān SkP_1.13c	provAca idam munIn sarvAn SkP_1.13c
   plāvayantau gireḥ śilāḥ SkP_13.92b	plAvayantO gireH SilAH Sku _13.92b
   phalasaṃyogadāya ca SkP_14.22d	Pala saMyoga dAya ca Sku _14.22d
   phalaṃ phalavatāṃ śreṣṭhā SkP_9.21e	Palam PalavatAm SrezWA Sku _9.21e
   phalaṃ phalaśatārcitā SkP_28.1d	Palam Pala Sata arcitA SkP_28.1d
   phalaṃ yattadavāpsyati SkP_7.29f	Palam yat tat avApsyati SkP_7.29f
   phalena samayojayat SkP_7.35d	Palena samayojayat SkP_7.35d
   phalaiśca vividhākārair SkP_28.12e	PalEH ca viviDa AkArEH Sk= _28.12e
   phullātimuktakalatāgṛhalīnasiddhaṃ SkP_30.38a	Pulla atimuktaka latA gRha lIna sidDam SkP_30.38a
   phullābjeṣu bhramaravilasitam SkP_30.42d	Pulla abjezu Bramara vilasitam Sku _30.42d
   phullāśokalatāstatra SkP_13.108a	Pulla aSoka latAH tatra Sku _13.108a
   phullāsu śākhāsu nilīnapakṣāḥ SkP_13.104b	PullAsu SAKAsu nilIna pakzAH SkP_13.104b
   phullotpalāgarusahasravitānayuktais SkP_30.33a	Pulla utpala agaru sahasra vitAna yuktEH SkP_30.33a
   phenaṃ mūrdhni samāpatat SkP_29.9d	Penam mUrDni samApatat SkP_29.9d
   bakulāśca nitambeṣu SkP_13.125a	bakulAH ca nitambezu Sku _13.125a
   baddhvendraṃ saha devaiśca SkP_24.4a	badDvA indram saha devEH ca Sku _24.4a
   babhūva puruṣaḥ prabhuḥ SkP_29.65d	baBUva puruzaH praBuH SkP_29.65d
   babhūva sahasā vibhuḥ SkP_13.29d	baBUva sahasA viBuH SkP_13.29d
   babhau kaṇṭhāvasaktayā SkP_22.9b	baBO kaNWa avasaktayA SkP_22.9b
   balavānmatisampannaḥ SkP_2.29c	balavAn mati sampannaH SkP_2.29c
   balavāṃstanmayaṃ jagat SkP_4.33d	balavAn= tad mayam jagat SkP_4.33d
   balasyādhipatitvaṃ ca SkP_4.8c	balasya aDipati tvam ca SkP_4.8c
   balaṃ ca vīryaṃ sthiratāṃ ca saṃyuge SkP_25.52d	balam ca vIryam sTira tAm ca saMyuge SkP_25.52d
   balaṃ tejaśca yogaṃ ca SkP_13.38e	balam tejaH ca yogam ca Sku _13.38e
   balaṃ dadāni te pūrvaṃ SkP_31.6a	balam dadAni te pUrvam Sku _31.6a
   balaṃ paurāṇamastu te SkP_29.131d	balam pOrANam astu te SkP_29.131d
   balaṃ vāyostathānyeṣāṃ SkP_13.38c	balam vAyoH taTA anyezAm SkP_13.38c
   balākābhiśca śobhitā SkP_13.75d	balAkABiH ca SoBitA SkP_13.75d
   balisaṃyamanaṃ caiva SkP_2.16a	bali saMyamanam ca eva Sku _2.16a
   balīyaścāpi sarvataḥ SkP_4.28b	balIyaH ca api sarvatas SkP_4.28b
   bahavaḥ śataśo 'bhyetya SkP_29.63c	bahavaH SataSas aByetya SkP_29.63c
   bahukusumarajobhirutkarāṅgā SkP_13.99a	bahu kusuma rajoBiH utkara aFgA Sku _13.99a
   bahubhiḥ kusumotkaraiḥ SkP_13.121b	bahuBiH kusuma utkarEH Sku _13.121b
   bahurūpāśca tā bhūtvā SkP_29.235c	bahu rUpAH ca tAH BUtvA SkP_29.235c
   bahurūpo 'ntakāntakṛt SkP_28.67d	bahu rUpaH antaka anta kRt SkP_28.67d
   bahuveṣadharaścaiva SkP_23.26a	bahu veza DaraH ca eva Sku _23.26a
   bahūnāṃ caiva tadbhujām SkP_17.9b	bahUnAm ca eva tad BujAm Sku _17.9b
   bahūni vividhākārāṇy SkP_8.5c	bahUni viviDa AkArANi SkP_8.5c
   bahūni vividhāni ca SkP_29.227b	bahUni viviDAni ca Sku _29.227b
   bahūndāsyati rājā ca SkP_26.46a	bahUn dAsyati rAjA ca Sku _26.46a
   bahūnyabdāni dhārayā SkP_6.6b	bahUni abdAni DArayA Sku _6.6b
   bahvarthāṃ śrutisaṃmitām SkP_3.1d	bahu arTAm Sruti saMmitAm SkP_3.1d
   bālakaṃ cārurūpiṇam SkP_12.37b	bAlakam cAru rUpiNam Sku _12.37b
   bālakaṃ hyekaputrakam SkP_12.40b	bAlakam hi eka putrakam SkP_12.40b
   bālaścāyaṃ vimucyatām SkP_12.56d	bAlaH ca ayam vimucyatAm SkP_12.56d
   bālasyārtasya śailajā SkP_12.30b	bAlasya Artasya SElajA Sku _12.30b
   bālaṃ cemaṃ śucismite SkP_12.53b	bAlam ca imam Suci smite Sku _12.53b
   bālaṃ dṛṣṭvā mahāvratā SkP_12.39d	bAlam dRzwvA mahA vratA SkP_12.39d
   bālaṃ muñca mamāgrataḥ SkP_12.50d	bAlam muQca mama agratas SkP_12.50d
   bālānubhāvācaraṇaṃ hi śambhoḥ SkP_12.63b	bAla anuBAva AcaraNam hi SamBoH Sku _12.63b
   bālo 'pi sarasastīre SkP_12.58a	bAlaH api sarasaH tIre Sku _12.58a
   bāhumutkṣipya vṛtrahā SkP_13.33b	bAhum utkzipya vRtrahA Sku _13.33b
   bāhuṃ cālayituṃ na ca SkP_13.34d	bAhum cAlayitum na ca Sku _13.34d
   bāhorvedāṅkurāya ca SkP_14.6b	bAhoH veda aFkurAya ca Sku _14.6b
   bibhartsyati śiraśca te SkP_5.64f	biBartsyati SiraH ca te SkP_5.64f
   bibhracchaṅkhendupāṇḍarāḥ SkP_23.17d	biBrat SaFKa indu pANxarAH SkP_23.17d
   bibhratsamāgātpurataḥ surāṇām SkP_13.9f	biBrat samAgAt puratas surANAm Sku _13.9f
   bibhratsphaṭānāṃ jvalanārkatejāḥ SkP_13.19b	biBrat sPawAnAm jvalana arka tejAH Sk= _13.19b
   bilvapattrasahasre tu SkP_28.35a	bilva pattra sahasre tu Sku _28.35a
   bilvarūpaśca viśrutaḥ SkP_23.58d	bilva rUpaH ca viSrutaH SkP_23.58d
   bilvasya ca bukasya ca SkP_28.31d	bilvasya ca bukasya ca Sku _28.31d
   bilvārjunakadambaiśca SkP_29.6c	bilva arjuna kadambEH ca SkP_29.6c
   bījātmanā na bhavati SkP_16.10c	bIja AtmanA na Bavati SkP_16.10c
   bījātmā ca tathodbhūtaḥ SkP_16.10a	bIja AtmA ca taTA udBUtaH Sku _16.10a
   bukapuṣpasahasrasya SkP_28.36a	buka puzpa sahasrasya Sku _28.36a
   bukapuṣpe tadekasmin SkP_28.35c	bukapuzpe tad ekasmin SkP_28.35c
   buddhiliṅgāya vai namaḥ SkP_15.23b	budDi liFgAya vE namaH Sku _15.23b
   buddhvā sā prakṛtisthitam SkP_29.68b	budDvA sA prakRti sTitam Sku _29.68b
   budhyamānāya buddhāya SkP_21.39a	buDyamAnAya budDAya Sku _21.39a
   budhyasvāstīti kṛtsnaśaḥ SkP_29.88d	buDyasva asti iti kRtsnaSas SkP_29.88d
   bubudhe devadeveśam SkP_13.39e	bubuDe devadeveSam Sku _13.39e
   bubodha devī buddhvā ca SkP_29.135c	buboDa devI budDvA ca SkP_29.135c
   bṛhatskandhaḥ pinākadhṛk SkP_23.12d	bRhat skanDaH pinAkaDRk SkP_23.12d
   bṛhadukṣyai namo namaḥ SkP_29.206b	bRha dukzyE namaH namaH Sku _29.206b
   bravīti nāsti te putro SkP_26.50e	bravIti na asti te putraH Sku _26.50e
   bravīmi tvāṃ mahābhāge SkP_29.143a	bravImi tvAm mahABAge Sku _29.143a
   bravīmi yatkuru tathā SkP_12.47c	bravImi yat kuru taTA SkP_12.47c
   brahmakṛtprakṛteḥ sraṣṭā SkP_13.42c	brahma kRt prakRteH srazwA SkP_13.42c
   brahmacāriṇya eva ca SkP_11.31b	brahmacAriNyaH eva ca Sku _11.31b
   brahmacārī niyamavāñ SkP_9.27a	brahmacArI niyamavAn Sku _9.27a
   brahmacārī śucirbhūtvā SkP_28.39a	brahmacArI SuciH BUtvA Sku _28.39a
   brahma caivākṣayaṃ deva SkP_15.29c	brahma ca eva akzayam deva SkP_15.29c
   brahmaṇaśca śirohartre SkP_21.31c	brahmaNaH ca SiraH hartre Sku _21.31c
   brahmaṇaścāgamastatra SkP_2.6a	brahmaNaH ca AgamaH tatra Sku _2.6a
   brahmaṇaścāpi saṃgṛhya SkP_29.24c	brahmaNaH ca api saMgRhya SkP_29.24c
   brahmaṇaścaiva saṃvādaṃ SkP_5.21c	brahmaNaH ca eva saMvAdam SkP_5.21c
   brahmaṇaḥ pañcamaṃ śiraḥ SkP_5.43d	brahmaNaH paQcamam SiraH SkP_5.43d
   brahmaṇaḥ pataye namaḥ SkP_3.13d	brahmaNaH pataye namaH SkP_3.13d
   brahmaṇaḥ pataye namaḥ SkP_20.10d	brahmaNaH pataye namaH SkP_20.10d
   brahmaṇaḥ parameśvaraḥ SkP_4.5d	brahmaNaH parameSvaraH SkP_4.5d
   brahmaṇaḥ putrasattamaḥ SkP_1.27b	brahmaNaH putra sattamaH Sku _1.27b
   brahmaṇaḥ ṣaṭkulīyāste SkP_4.24a	brahmaNaH zawkulIyAH te SkP_4.24a
   brahmaṇaḥ sutamagrajam SkP_1.17b	brahmaNaH sutam agrajam Sku _1.17b
   brahmaṇā kalpitaṃ puram SkP_13.63b	brahmaNA kalpitam puram Sku _13.63b
   brahmaṇā devasattamaḥ SkP_9.17b	brahmaNA deva sattamaH Sk= _9.17b
   brahmaṇā liṅgamuttamam SkP_29.42b	brahmaNA liFgam uttamam Sku _29.42b
   brahmaṇā vihito nūnaṃ SkP_12.42c	brahmaNA vihitaH nUnam SkP_12.42c
   brahmaṇā sa tato viṣṇuḥ SkP_29.25a	brahmaNA sa tatas vizNuH Sku _29.25a
   brahmaṇo ṛṣibhiśca ha SkP_11.3d	brahmaNaH RziBiH ca ha SkP_11.3d
   brahmaṇo gurave caiva SkP_21.33c	brahmaNaH gurave ca eva SkP_21.33c
   brahmaṇo janakāya ca SkP_21.33d	brahmaNaH janakAya ca Sku _21.33d
   brahmaṇo 'tha varaṃ labdhvā SkP_29.48c	brahmaNaH aTa varam labDvA SkP_29.48c
   brahmaṇo 'numate tadā SkP_18.39d	brahmaNaH anumate tadA SkP_18.39d
   brahmaṇo 'pi tataḥ putrā SkP_4.21a	brahmaNaH api tatas putrAH Sku _4.21a
   brahmaṇo mānameva ca SkP_5.7d	brahmaNaH mAnam eva ca SkP_5.7d
   brahmaṇo munipuṃgavaḥ SkP_1.23b	brahmaNaH muni puMgavaH Sku _1.23b
   brahmaṇo lokavartmani SkP_1.3d	brahmaNaH loka vartmani SkP_1.3d
   brahmaṇo vacanādyasyāṃ SkP_10.7c	brahmaNaH vacanAt yasyAm SkP_10.7c
   brahmaṇyatvaṃ samāhātmyaṃ SkP_1.14c	brahmaNya tvam sa mAhAtmyam SkP_1.14c
   brahmaṇyathaivaṃ stuvati SkP_9.11a	brahmaNi aTa evam stuvati Sku _9.11a
   brahmaṇyāyājitāya ca SkP_14.14d	brahmaNyAya ajitAya ca Sku _14.14d
   brahmaṇyāyātha śuddhāya SkP_21.44a	brahmaNyAya aTa SudDAya Sku _21.44a
   brahmaṇyo 'tha mama priyaḥ SkP_31.12b	brahmaNyaH aTa mama priyaH Sku _31.12b
   brahmaṇyo dhārmikaśca ha SkP_30.4d	brahmaNyaH DArmikaH ca ha SkP_30.4d
   brahmatejomayīṃ śubhām SkP_19.11d	brahma tejaH mayIm SuBAm SkP_19.11d
   brahmatvamatha viṣṇutvam SkP_21.16a	brahma tvam aTa vizNu tvam Sku _21.16a
   brahmatvamapi cakratuḥ SkP_25.8f	brahma tvam api cakratuH Sku _25.8f
   brahmatvenāthavā punaḥ SkP_21.50b	brahmatvena aTavA punar Sku _21.50b
   brahmadattavaraścaiva SkP_7.17c	brahma datta varaH ca eva SkP_7.17c
   brahma dhyeyaṃ tadakṣayam SkP_13.41d	brahma Dyeyam tat akzayam Sku _13.41d
   brahmaliṅgāya vai namaḥ SkP_15.20d	brahma liFgAya vE namaH SkP_15.20d
   brahmalokavibhūṣaṇā SkP_5.18d	brahma loka viBUzaNA SkP_5.18d
   brahmalokaṃ gamiṣyati SkP_12.25f	brahma lokam gamizyati SkP_12.25f
   brahmalokaṃ ca gacchati SkP_29.93d	brahma lokam ca gacCati SkP_29.93d
   brahmalokaṃ tathaiva ca SkP_27.40b	brahma lokam taTA eva ca Sku _27.40b
   brahmalokaṃ samāsādya SkP_7.1a	brahma lokam samAsAdya Sku _7.1a
   brahmalokādihāgatā SkP_5.18b	brahma lokAt iha AgatA Sk= _5.18b
   brahmalokānusāriṇī SkP_8.1b	brahma loka anusAriNI Sku _8.1b
   brahmaloke 'tipāvanam SkP_7.11d	brahma loke ati pAvanam Sku _7.11d
   brahmaloke nivatsyati SkP_9.27f	brahma loke nivatsyati SkP_9.27f
   brahmasattre purā sādho SkP_1.8c	brahma sattre purA sADo SkP_1.8c
   brahmasūnuratha vyāsaṃ SkP_1.21a	brahma sUnuH aTa vyAsam Sku _1.21a
   brahmaṃ ca yo vidadhe putramagre SkP_3.9a	brahmam ca yaH vidaDe putram agre Sku _3.9a
   brahmaṃstava jagadvibho SkP_13.130f	brahman= tava jagat viBo Sku _13.130f
   brahmā ṛṣaya eva ca SkP_28.22b	brahmA RzayaH eva ca Sku _28.22b
   brahmā ca ṛṣayaścaiva SkP_24.34e	brahmA ca RzayaH ca eva SkP_24.34e
   brahmā cakre tadā ceṣṭiṃ SkP_4.11c	brahmA cakre tadA ca izwim SkP_4.11c
   brahmā jñātvātibhāsvarām SkP_10.2b	brahmA jQAtvA ati BAsvarAm Sku _10.2b
   brahmāṇamagrajaṃ putraṃ SkP_3.28c	brahmANam agrajam putram SkP_3.28c
   brahmāṇaṃ kupitānanam SkP_29.26b	brahmANam kupita Ananam Sku _29.26b
   brahmāṇaṃ chādayanniva SkP_4.17d	brahmANam CAdayan= iva SkP_4.17d
   brahmāṇaṃ devi varadam SkP_9.20c	brahmANam devi vara dam SkP_9.20c
   brahmāṇaṃ praṇataṃ tathā SkP_3.19d	brahmANam praNatam taTA SkP_3.19d
   brahmā taṃ pratyaṣedhayat SkP_10.9b	brahmA tam pratyazeDayat SkP_10.9b
   brahmā tāmāha susvaram SkP_12.1b	brahmA tAm Aha su svaram Sku _12.1b
   brahmādayo vijānanti SkP_30.51c	brahma AdayaH vijAnanti SkP_30.51c
   brahmā dīptena tejasā SkP_5.22b	brahmA dIptena tejasA SkP_5.22b
   brahmā devarṣibhiḥ sārdhaṃ SkP_30.62a	brahmA deva RziBiH sArDam Sku _30.62a
   brahmādyā nemire tūrṇaṃ SkP_13.55c	brahma AdyAH nemire tUrNam SkP_13.55c
   brahmādyaiḥ sevyate mama SkP_29.74b	brahma AdyEH sevyate mama Sku _29.74b
