   śrīgaṇeśāya namaḥ	SrI gaNeSAya namaH
   naitāvatkāraṇaṃ cātra kintu khedabhayāturau /	na etAvat kAraNam ca atra kintu Keda Baya AturO /
   lakṣayete khinnasarvāṅgau kampayuktau yatastvimau // BndP_2,34.22 //	lakzayete Kinna sarva aFgO kampa yuktO yatas tu imO // Bndu _2,34.22 //
   evaṃ saṃcintya matimānsa tasthau madhyapuṣkare /	evam saMcintya matimAn sa tasTO maDya puzkare /
   śiṣyeṇa saṃyuto rāmo yāvattau cāpi saṃsthitau // BndP_2,34.23 //	SizyeNa saMyutaH rAmaH yAvat tO ca api saMsTitO // Bndu _2,34.23 //
   pītvā jalaṃ tatastau tu vṛkṣacchāyāsamāśritau /	pItvA jalam tatas tO tu vRkza= CAyA samASritO /
   rāmaṃ dṛṣṭvā mahātmānaṃ kathāṃ tau cakraturmudā // BndP_2,34.24 //	rAmam dRzwvA mahAtmAnam kaTAm tO cakratuH mudA // Bndu _2,34.24 //
   mṛgyuvāca	mRgI uvAca
   kānta cātraiva tiṣṭhāvo yāvadrāmo 'trasaṃsthitaḥ /	kAnta ca atra eva tizWAvaH yAvat rAmaH atra saMsTitaH /
   asya vīrasya sāṃnidhye bhayaṃ naivāvayorbhavet // BndP_2,34.25 //	asya vIrasya sAMniDye Bayam na eva AvayoH Bavet // Bndu _2,34.25 //
   atrāpyāgatya caivdyādhau hyāvayoḥ prahariṣyati /	atra api Agatya ca evdyADO hi AvayoH praharizyati /
   dṛṣṭamātro hi muninā bhasmībhūto bhaviṣyati // BndP_2,34.26 //	dRzwa mAtraH hi muninA BasmIBUtaH Bavizyati // Bndu _2,34.26 //
   ityukte vacane mṛgyā rāmar śanatuṣṭayā /	iti ukte vacane mRgyAH rAmar Sana tuzwayA /
   mṛgaścovāca harṣeṇa samāviṣṭaḥ priyāṃ svakām // BndP_2,34.27 //	mRgaH ca uvAca harzeNa samAvizwaH priyAm svakAm // Bndu _2,34.27 //
   evameva mahābhāge yadvai vadasi bhāmini /	evam eva mahABAge yat vE vadasi BAmini /
   jāne 'hamapi rāmasya prabhāvaṃ sumahātmanaḥ // BndP_2,34.28 //	jAne aham api rAmasya praBAvam su mahAtmanaH // Bndu _2,34.28 //
   yo 'yaṃ saṃdṛśyate cāsya pārśvaṃ śiṣyo 'kṛtavraṇaḥ /	yaH ayam saMdRSyate ca asya pArSvam SizyaH akRtavraNaH /
   sacāne na mahābhāgastrāto vyāghrabhayāturaḥ // BndP_2,34.29 //	sa cAne na mahABAgaH trAtaH vyAGra Baya AturaH // Bndu _2,34.29 //
   ayaṃ rāmo mahābhāge jamadagnisuto 'nujaḥ /	ayam rAmaH mahABAge jamadagni sutaH anujaH /
   pitaraṃ kārttavīryeṇa dṛṣṭvā caiva tiraskṛtam // BndP_2,34.30 //	pitaram kArttavIryeNa dRzwvA ca eva tiraskRtam // Bndu _2,34.30 //
   cakārātitarāṃ kruddhaḥ pratijñāṃ nṛpaghātinīm /	cakAra atitarAm krudDaH pratijQAm nRpa GAtinIm /
   tatpūrtikāmo hyagamadbrahmalokaṃ purā hyayam // BndP_2,34.31 //	tad pUrti kAmaH hi agamat brahma lokam purA hi ayam // Bndu _2,34.31 //
   sa brahmā diṣṭavāṃścainaṃ śivalokaṃ vrajeti ha /	sa brahmA dizwavAn= ca enam Siva lokam vraja iti ha /
   tasya tvājñāṃ samādāya gato 'sau śivasannidhim // BndP_2,34.32 //	tasya tu AjQAm samAdAya gataH asO Siva sanniDim // Bndu _2,34.32 //
   provācākhilavṛttānta rājñaścapyātmanaḥ pituḥ /	provAca aKila vRttAnta rAjQaH capi AtmanaH pituH /
   sa kṛpālurmahādevaḥ sabhājya bhṛgunandanam // BndP_2,34.33 //	sa kRpAluH mahAdevaH saBAjya BRgunandanam // Bndu _2,34.33 //
   dadau kṛṣṇasya sanmantramabhedyaṃ kavacaṃ tathā /	dadO kRzNasya sat mantram aBedyam kavacam taTA /
   svīyaṃ pāśupataṃ cāstramanyāstragrāmameva ca // BndP_2,34.34 //	svIyam pASupatam ca astram anya astra grAmam eva ca // Bndu _2,34.34 //
   visarjayāmāsa mudā dattvā śastrāṇi cādarāt /	visarjayAmAsa mudA dattvA SastrANi ca AdarAt /
   so 'yamatrāgato bhadre metrasādhanatatparaḥ // BndP_2,34.35 //	saH ayam atra AgataH Badre metra sADana tatparaH // Bndu _2,34.35 //
   nityaṃ japati dharmātmā kṛṣṇasya kavacaṃ sudhīḥ /	nityam japati Darma AtmA kRzNasya kavacam suDIH /
   śatavarṣāṇi cāpyasya gatāni sumahātmanaḥ // BndP_2,34.36 //	Sata varzANi ca api asya gatAni su mahAtmanaH // Bndu _2,34.36 //
   mantra sādhayato bhadre na ca tatsiddhireti hi /	mantra sADayataH Badre na ca tad sidDiH eti hi /
   ātrāsti kāraṇaṃ bhaktiḥ sāva vai trividhā matā // BndP_2,34.37 //	AtrA asti kAraNam BaktiH sAva vE triviDA matAH // Bndu _2,34.37 //
   uttamā madhyamā caiva kaniṣṭhā taralekṣaṇe /	uttamA maDyamA ca eva kanizWA tarala IkzaNe /
   śivasya nāradasyāpi śukasya ca mahātmanaḥ // BndP_2,34.38 //	Sivasya nAradasya api Sukasya ca mahAtmanaH // Bndu _2,34.38 //
   aṃbarīṣsya rājarṣe rantidevasya māruteḥ /	aMbarIzsya rAjarze rantidevasya mAruteH /
   balervibhīṣaṇasyāpi prahlādasya mahātmanaḥ // BndP_2,34.39 //	baleH viBIzaNasya api prahlAdasya mahAtmanaH // Bndu _2,34.39 //
   uttamā bhaktirevāsti gopīnāmuddhavasya ca /	uttamA BaktiH eva asti gopInAm udDavasya ca /
   vasiṣṭhādimunīśānāṃ manvādīnāṃ śubhekṣaṇe // BndP_2,34.40 //	vasizWa Adi muni ISAnAm manu AdInAm SuBa IkzaNe // Bndu _2,34.40 //
   madhyā ca bhaktirevāsti prākṛtānyajaneṣu sā /	maDyA ca BaktiH eva asti prAkRtAni ajanezu sA /
   madhyabhaktirayaṃ rāmo nityaṃ yamaparāyaṇaḥ // BndP_2,34.41 //	maDya BaktiH ayam rAmaH nityam yama parAyaNaH // Bndu _2,34.41 //
   sevate gopikādhīśaṃ tena siddhiṃ na cāgataḥ /	sevate gopika aDISam tena sidDim na ca AgataH /
   vasiṣṭha uvāca	vasizWaH uvAca
   ityuktā tvaritaṃ kāntaṃ sā mṛgī hṛṣṭamānasā // BndP_2,34.42 //	iti uktA tvaritam kAntam sA mRgI hRzwa mAnasA // Bndu _2,34.42 //
   punaḥ papraccha bhaktestu lakṣaṇaṃ premadāyakam /	punar papracCa BakteH tu lakzaNam prema dAyakam /
   mṛgyuvāca	mRgI uvAca
   sādhukānta mahābhāga vacaste 'laukikaṃ priya /	sADu kAnta mahABAga vacaH te alOkikam priya /
   rhadṛg jñānaṃ tava kathaṃ saṃjātaṃ tadvadādhunā // BndP_2,34.43 //	rhadRS jQAnam tava kaTam saMjAtam tadvada aDunA // Bndu _2,34.43 //
   mṛga uvāca	mRgaH uvAca
   śṛṇu priye mahābhāge jñānaṃ puṇyena jāyate // BndP_2,34.44 //	SRNu priye mahABAge jQAnam puNyena jAyate // Bndu _2,34.44 //
   tatpuṇyamadya saṃjātaṃ bhārgavasyāsya darśanāt /	tat puNyam adya saMjAtam BArgavasya asya darSanAt /
   puṇyātmā bhārgavaścāyaṃ kṛṣṇābhakto jitendriyaḥ // BndP_2,34.45 //	puNya AtmA BArgavaH ca ayam kRzNA BaktaH jita indriyaH // Bndu _2,34.45 //
   guruśuśrūṣako nityaṃ nityanaimittikādaraḥ /	guru SuSrUzakaH nityam nitya nEmittika AdaraH /
   ato 'sya darśanājjātaṃ jñānaṃ me/dyaiva bhāmini // BndP_2,34.46 //	atas asya darSanAt jAtam jQAnam me/dya eva BAmini // Bndu _2,34.46 //
   trailokyasthitasattvānāṃ śubhāśubhanidarśakam /	trElokya sTita sattvAnAm SuBa aSuBa nidarSakam /
   adyaiva viditaṃ me 'bhūdrāsasyāsya mahātmanaḥ // BndP_2,34.47 //	adya eva viditam me aBUt rAsasya asya mahAtmanaH // Bndu _2,34.47 //
   caritaṃ puṇyadaṃ caiva pāpaghnaṃ śṛṇvatāmidam /	caritam puNya dam ca eva pApa Gnam SRNvatAm idam /
   yadyatkariṣyate caiva tadapi jñānagocaram // BndP_2,34.48 //	yat yat karizyate ca eva tat api jQAna gocaram // Bndu _2,34.48 //
   yottamā bhaktirākhyātā tāṃ vinā naiva siddhyati /	yA uttamA BaktiH AKyAtA tAm vinA na eva sidDyati /
   kavacaṃ mantrasahitaṃ hyapi varṣāyutāyutaiḥ // BndP_2,34.49 //	kavacam mantra sahitam hi api varza ayuta ayutEH // Bndu _2,34.49 //
   yadyayaṃ bhārgavo bhadre hyagastyānugrahaṃ labhet /	yadi ayam BArgavaH Badre hi agastya anugraham laBet /
   kṛṣṇapremāmṛtaṃ nāma stotramuttamabhaktidam // BndP_2,34.50 //	kRzNaprema amRtam nAma stotram uttama Bakti dam // Bndu _2,34.50 //
   jñātvā ca lapsyate siddhiṃ mantrasya kavacasya ca /	jQAtvA ca lapsyate sidDim mantrasya kavacasya ca /
   sa munirjñātatattvārthaḥ sānukaṃpo 'bhayapradaḥ // BndP_2,34.51 //	sa muniH jQAta tattva arTaH sa anukaMpaH aBaya pradaH // Bndu _2,34.51 //
   upadekṣyati caivainaṃ tattvajñānaṃ mudāvaham /	upadekzyati ca eva enam tattva jQAnam mudA Avaham /
   śrīkṛṣṇacāritaṃ sarvaṃ nāmabhirgrathitaṃ yataḥ // BndP_2,34.52 //	SrI kRzNa cAritam sarvam nAmaBiH graTitam yatas // Bndu _2,34.52 //
   kṛṣṇapremāmṛtastotrājjñāsyate 'sya mahāmatiḥ /	kRzNa prema amRta stotrAt jQAsyate asya mahAmatiH /
   tataḥ saṃsiddha kavacau rājanaṃ haihayādhipam // BndP_2,34.53 //	tatas saMsidDa kavacO rAjanam hEhaya aDipam // Bndu _2,34.53 //
   hatvā saputrāmātyaṃ ca sasuhṛdbalavāhanam /	hatvA sa putra amAtyam ca sa suhRd bala vAhanam /
   triḥ saptakṛtvo nirbhūpāṃ kariṣyatyavanīṃ priya // BndP_2,34.54 //	tris sapta kRtvas nirBUpAm karizyati avanIm priya // Bndu _2,34.54 //
   vasiṣṭha uvāca	vasizWaH uvAca
   evamuktvā mṛgo rājanvirarāma mṛgīṃ tataḥ /	evam uktvA mRgaH rAjan virarAma mRgIm tatas /
   ātmano mṛgabhāvasya kāraṇaṃ jñātavāṃśca ha // BndP_2,34.55 //	AtmanaH mRga BAvasya kAraNam jQAtavAn= ca ha // Bndu _2,34.55 //
   iti śrībrahmāṇḍe mahāpurāṇe vāyuprokte madhyabhāge tṛtīya	iti SrI brahmANxe mahApurANe vAyu prokte maDya BAge tRtIya
   upoddhātapāde bhārgavacarite catustriṃśattamo 'dhyāyaḥ // 34//	upodDAta pAde BArgava carite catustriMSattamaH aDyAyaH // 34//
   sagara uvāca	sagaraH uvAca
   mune paramatattvajñadhyānajñānārthakovida /	mune parama tattva jQa DyAna jQAna arTa kovidaH /
   bhagavadbhaktisaṃlīnamānasānugrahaḥ kutaḥ // BndP_2,35.1 //	Bagavat Bakti saMlIna mAnasa anugrahaH kutas // Bndu _2,35.1 //
   tvayāpi hi mahābhāga yataḥ śaṃsasi satkathāḥ /	tvayA api hi mahABAga yatas SaMsasi sat kaTAH /
   śrutvā mṛgamukhātsarvaṃ bhārgavasya viceṣṭitam // BndP_2,35.2 //	SrutvA mRga muKAt sarvam BArgavasya vicezwitam // Bndu _2,35.2 //
   bhūtaṃ bhavadbhaviṣyaṃ ca nārāyaṇakathānvitam /	BUtam Bavat Bavizyam ca nArAyaNa kaTA anvitam /
   punaḥ prapaccha kiṃ nātha tanme vada savistaram // BndP_2,35.3 //	punar prapacCa kim nATa tat me vada sa vistaram // Bndu _2,35.3 //
   vasiṣṭha uvāca	vasizWaH uvAca
   śṛṇu rājanpravakṣyāmi mṛgasya caritaṃ mahat /	SRNu rAjan pravakzyAmi mRgasya caritam mahat /
   yathā pṛṣṭaṃ tayā so 'syai varṇayāmāsa tattvavit // BndP_2,35.4 //	yaTA pRzwam tayA saH asyE varNayAmAsa tattva vid // Bndu _2,35.4 //
   śrutvā tu caritaṃ tasya bhārgavasya mahātmanaḥ /	SrutvA tu caritam tasya BArgavasya mahAtmanaH /
   bhūyaḥ prapaccha taṃ kāntaṃ jñānatattvārthamādarāt // BndP_2,35.5 //	BUyas prapacCa tam kAntam jQAna tattva arTam AdarAt // Bndu _2,35.5 //
   mṛgyuvāca	mRgI uvAca
   sādhusādhu mahābhāga kṛtārthastvaṃ na saṃśayaḥ /	sADu sADu mahABAga kRtArTaH tvam na saMSayaH /
   yadasya darśanātte 'dya jātaṃ jñānamatīdriyam // BndP_2,35.6 //	yat asya darSanAt te adya jAtam jQAnam atIdriyam // Bndu _2,35.6 //
   athātaścātmanaḥ sarvaṃ mamāpi vada kāraṇam /	aTa atas ca AtmanaH sarvam mama api vada kAraNam /
   karmaṇā yena saṃprāptāvāvāṃ tiryagjaniṃ prabho // BndP_2,35.7 //	karmaNA yena saMprAptO= AvAm tiryak janim praBo // Bndu _2,35.7 //
   iti vākyaṃ samākarṇya priyāyāḥ sa mṛgaḥ svayam /	iti vAkyam samAkarNya priyAyAH sa mRgaH svayam /
   varṇayāmāsa caritaṃ mṛgyaścaivātmanastadā // BndP_2,35.8 //	varNayAmAsa caritam mRgyaH ca eva AtmanaH tadA // Bndu _2,35.8 //
   mṛga uvāca	mRgaH uvAca
   śṛṇu priye mahābhāge yathā'vāṃ mṛgatāṃ gatau /	SRNu priye mahABAge yaTA avAm mRga tAm gatO /
   saṃsāre 'sminnamahābhāge bhāvo 'sya bhavakāraṇam // BndP_2,35.9 //	saMsAre asmin= a mahABAge BAvaH asya Bava kAraNam // Bndu _2,35.9 //
   jīvasya sadasabhdyāṃ hi karmabhyāmāgataḥ smṛtim /	jIvasya sat asaBdyAm hi karmaByAm AgataH smRtim /
   purā draviḍadeśe tu nānāṛddhisamākule // BndP_2,35.10 //	purA dravixa deSe tu nAnA RdDi samAkule // Bndu _2,35.10 //
   brāhmaṇānāṃ kule vāhaṃ jātaḥ kauśikagotriṇām /	brAhmaNAnAm kule vA aham jAtaH kOSika gotriNAm /
   pitā me śivadatto 'bhūnnāmnā śāstraviśāradaḥ // BndP_2,35.11 //	pitA me SivadattaH aBUt nAmnA SAstra viSAradaH // Bndu _2,35.11 //
   tasya putrā vayaṃ jātāścatvāro dvijasattamāḥ /	tasya putrAH vayam jAtAH catvAraH dvijasattamAH /
   jyeṣṭho rāmo 'nujastasya dhamastasyānu jaḥ pṛthuḥ // BndP_2,35.12 //	jyezWaH rAmaH anujaH tasya DamaH tasya anu jaH pRTuH // Bndu _2,35.12 //
   caturtho 'haṃ priye jāto sūrirityabhiviśrutaḥ /	caturTaH aham priye jAtaH sUriH iti aBiviSrutaH /
   upanīya kramātsarvāñchivadatto mahāyaśāḥ // BndP_2,35.13 //	upanIya kramAt sarvAn SivadattaH mahA yaSAH // Bndu _2,35.13 //
   vedānadhyāpayāmāsa sāṃgāṃśca sarahasyakān /	vedAn aDyApayAmAsa sAMgAn= ca sa rahasyakAn /
   catvāro 'pi vayaṃ tatra vedādhyayanatatparāḥ // BndP_2,35.14 //	catvAraH api vayam tatra veda aDyayana tatparAH // Bndu _2,35.14 //
   guruśuśrūṣaṇe yuktā jātā jñānaparāyaṇāḥ /	guru SuSrUzaNe yuktAH jAtAH jQAna parAyaNAH /
   gatvāraṇyaṃ phalānyaṃbusamitkuśamṛdo 'nvaham // BndP_2,35.15 //	gatvA araNyam PalAni aMbu samiD kuSa mRdaH anvaham // Bndu _2,35.15 //
   ānīya pitre dattvātha kurmo 'dhyayanameva hi /	AnIya pitre dattvA aTa kurmaH aDyayanam eva hi /
   ekadā tu vayaṃ sarve saṃprāptā parvate vane // BndP_2,35.16 //	ekadA tu vayam sarve saMprAptA parvate vane // Bndu _2,35.16 //
   audbhidaṃ nāma lolakṣi kṛtamālātaṭe sthitam /	OdBidam nAma lolakzi kRta mAlA tawe sTitam /
   sarve snātvā mahānadyāmuṣasi prītamānasāḥ // BndP_2,35.17 //	sarve snAtvA mahAnadyAm uzasi prIta mAnasAH // Bndu _2,35.17 //
   dattārghāḥ kṛtajapyāśca samārūḍhā nāgottamam /	datta arGAH kRta japyAH ca samArUXA nAga uttamam /
   śālastamālaiḥ priyakaiḥ panasaiḥ kovidārakaiḥ // BndP_2,35.18 //	SAlaH tamAlEH priyakEH panasEH kovidArakEH // Bndu _2,35.18 //
   saralārjunapūgaiśca kharjūrairnārikelakaiḥ /	sarala arjuna pUgEH ca KarjUrEH nArikelakEH /
   jaṃbūbhiḥ sahakāraiśca kaṭphalairbṛhatīdrumaiḥ // BndP_2,35.19 //	jaMbUBiH sahakArEH ca kawPalEH bRhatI drumEH // Bndu _2,35.19 //
   anyairnānāvidhairvṛkṣaiḥ parārthapratipādakaiḥ /	anyEH nAnAviDEH vRkzEH para arTa pratipAdakEH /
   snigdhacchāyaiḥ samāhṛṣṭanānāpakṣinināditaiḥ // BndP_2,35.20 //	snigDa= CAyEH samAhRzwa nAnA pakzi ninAditEH // Bndu _2,35.20 //
   śārdūla haribhirbhallairgaṇḍakairmṛganābhibhiḥ /	SArdUla hariBiH BallEH gaNxakEH mRganABiBiH /
   gacaindraiḥ śārabhādyaiśca sevitaṃ kandarāgataiḥ // BndP_2,35.21 //	gaca EndrEH SAraBa AdyEH ca sevitam kandara AgatEH // Bndu _2,35.21 //
   mallikāpāṭalākundakarṇikārakadaṃbakaiḥ /	mallikA pAwalA kunda karNikAraka daMbakEH /
   sugandhibhirvṛtaṃ cānyairvātoddhūtaparagibhiḥ // BndP_2,35.22 //	suganDiBiH vRtam ca anyEH vAta udDUta paragiBiH // Bndu _2,35.22 //
   nānāmaṇigaṇākīrṇairnīlapītasitāruṇaiḥ /	nAnA maNi gaNa AkIrNEH nIla pIta sita aruNEH /
   śṛṅgaiḥ samullikhantaṃ ca vyoma kautukasaṃ yutam // BndP_2,35.23 //	SRFgEH samulliKantam ca vyoma kOtukasam yutam // Bndu _2,35.23 //
   atyuccapātadhvanibhirnirjharaiḥ kandarodgataiḥ /	ati ucca pAta DvaniBiH nirJarEH kandara udgatEH /
   garjjatamiva saṃsaktaṃ vyālādyairmṛgapakṣibhiḥ // BndP_2,35.24 //	garjjatam iva saMsaktam vyAla AdyEH mRga pakziBiH // Bndu _2,35.24 //
   tatrātikautukāhṛṣṭadṛṣṭayobhrātaro vayam /	tatra ati kOtukA hRzwa dRzwayoBrAtaraH vayam /
   nāsmārṣma cātmanātmānaṃ viyuktāśca parasparam // BndP_2,35.25 //	na asmArzma ca AtmanA AtmAnam viyuktAH ca parasparam // Bndu _2,35.25 //
   etasminnantare caikā mṛgī hyagātpipāsitā /	etasmin= antare ca ekA mRgI hi agAt pipAsitAH /
   nirjharāpāta śirasi pātukāmā jalaṃ priye // BndP_2,35.26 //	nirJara ApAta Sirasi pAtu kAmAH jalam priye // Bndu _2,35.26 //
   tasyāḥ pibantyāstu jalaṃ śārdūlo 'tibhayaṅkaraḥ /	tasyAH pibantyAH tu jalam SArdUlaH ati BayaFkaraH /
   tatra prāpto yadṛcchāto jagṛhe tāṃ bhayarditām // BndP_2,35.27 //	tatra prAptaH yadRcCAtaH jagRhe tAm BayarditAm // Bndu _2,35.27 //
   ahaṃ tadgrahaṇaṃ paśyanbhayena prapalāyitaḥ /	aham tat grahaNam paSyan Bayena prapalAyitaH /
   atyuccavattvātpatito mṛtaścaiṇīmanusmaran // BndP_2,35.28 //	ati ucca vat tvAt patitaH mRtaH ca eNIm anusmaran // Bndu _2,35.28 //
   sā mṛtā tvaṃ mṛgī jātā mṛga stvāhamanusmaran /	sA mRtA tvam mRgI jAtAH mRga stvA aham anusmaran /
   jāto bhadre na jāne vai kva gātā bhrātaro 'grajāḥ // BndP_2,35.29 //	jAtaH Badre na jAne vE kva gAtAH BrAtaraH agrajAH // Bndu _2,35.29 //
   etanme smṛtimāpannaṃ caritaṃ tava cātmataḥ /	etat me smRtim Apannam caritam tava ca AtmataH /
   bhūtaṃ bhaviṣyaṃ ca tathā śṛṇu bhadre vadāmyaham // BndP_2,35.30 //	BUtam Bavizyam ca taTA SRNu Badre vadAmi aham // Bndu _2,35.30 //
   yo 'yaṃ vā vṛṣṭhasaṃlagno vyādho dūrasthito 'bhavat /	yaH ayam vA vRzWa saMlagnaH vyADaH dUra sTitaH aBavat /
   rāmasyāsya bhayātso 'pi bhakṣito hariṇā dhunā // BndP_2,35.31 //	rAmasya asya BayAt saH api BakzitaH hariNA DunA // Bndu _2,35.31 //
   prāṇāṃstyaktvā vidhānena svargalokaṃ gamiṣyati /	prANAn= tyaktvA viDAnena svarga lokam gamizyati /
   avābhyāṃ tu jalaṃ pītaṃ madhyame puṣkare tviha // BndP_2,35.32 //	avAByAm tu jalam pItam maDyame puzkare tu iha // Bndu _2,35.32 //
   saṃdṛṣṭo bhārgavaścāyaṃ sākṣādviṣṇusvarūpadhṛk /	saMdRzwaH BArgavaH ca ayam sAkzAt vizNu svarUpa DRk /
   tenānekabhavotpannaṃ pātakaṃ nāśamāgatam // BndP_2,35.33 //	tena aneka Bava utpannam pAtakam nASam Agatam // Bndu _2,35.33 //
   agastyadarśanaṃ labdhvā śrutvā stotraṃ gatipradam /	agastya darSanam labDvA SrutvA stotram gati pradam /
   gamiṣyāvaḥ śubhāṃllokānyeṣu gatvā na śocati // BndP_2,35.34 //	gamizyAvaH SuBAn= loka anyezu gatvA na Socati // Bndu _2,35.34 //
   ityevamuktvā sa mṛgaḥ priyāyai priyadarśanaḥ /	iti evam uktvA sa mRgaH priyAyE priya darSanaH /
   virarāma prasannātmā paśyanrāmamanā turaḥ // BndP_2,35.35 //	virarAma prasanna AtmA paSyan rAma manA turaH // Bndu _2,35.35 //
   bhargavaḥ śrutavāṃścaiva mṛgoktaṃ śiṣyasaṃyutaḥ /	BargavaH SrutavAn= ca eva mRga uktam Sizya saMyutaH /
   vismito 'bhūcca rājendra gantuṃ kṛtamatistathā // BndP_2,35.36 //	vismitaH aBUt ca rAja indra gantum kRtamatiH taTA // Bndu _2,35.36 //
   akṛtavramasaṃyukto hyagastyasyāśramaṃ prati /	akRtavrama saMyuktaH hi agastyasya ASramam prati /
   snātvā nityakriyāṃ kṛtvā pratasthe harṣito bhṛśam // BndP_2,35.37 //	snAtvA nityakriyAm kRtvA pratasTe harzitaH BRSam // Bndu _2,35.37 //
   rāmeṇa gacchatā mārge dṛṣṭo vyādho mṛtastadā /	rAmeNa gacCatA mArge dRzwaH vyADaH mRtaH tadA /
   siṃhasya saṃprahārema vismitena mahātmanā // BndP_2,35.38 //	siMhasya saMprahArema vismitena mahAtmanA // Bndu _2,35.38 //
   adhyarddhayojanaṃ gatvā kaniṣṭhaṃ puṣkaraṃ prati /	aDyardDa yojanam gatvA kanizWam puzkaram prati /
   snātvā mādhyāhnikīṃ sandhyāṃ cakā rātimudānvitaḥ // BndP_2,35.39 //	snAtvA mADyAhnikIm sanDyAm cakAH rAti mudA anvitaH // Bndu _2,35.39 //
   hitaṃ tadātmanaḥ proktaṃ mṛgeṇa sa vicārayan /	hitam tadAtmanaH proktam mRgeNa sa vicArayan /
   tāvattatpṛṣṭhasaṃlagnaṃ mṛgayugmamupāgatam // BndP_2,35.40 //	tAvat tad pRzWa saMlagnam mRga yugmam upAgatam // Bndu _2,35.40 //
   puṣkare tu jalaṃ pītvābhiṣicyātmatanuṃ jalaiḥ /	puzkare tu jalam pItvA aBizicya Atma tanum jalEH /
   paśyato bhārgavasyāgādagastyāśramasaṃmukham // BndP_2,35.41 //	paSyataH BArgavasya agAt agastya ASrama saMmuKam // Bndu _2,35.41 //
   rāmo 'pi sandhyāṃ nirvarttya kuṃbhajasyāśramaṃ yayau /	rAmaH api sanDyAm nirvarttya kuMBajasya ASramam yayO /
   vipadgataṃ puṣkaraṃ tu paśyamāno mahāmanāḥ // BndP_2,35.42 //	vipad gatam puzkaram tu paSyamAnaH mahAmanAH // Bndu _2,35.42 //
   viṣṇoḥ padāni nāgānāṃ kuṇḍaṃ saptarṣisaṃsthitam /	vizNoH padAni nAgAnAm kuNxam saptarzi saMsTitam /
   gatvopaspṛśya śucyaṃbho jagāmāgastyasaṃśrayam // BndP_2,35.43 //	gatvA upaspRSya Suci aMBaH jagAma agastya saMSrayam // Bndu _2,35.43 //
   yacca brahmasutā rājansamāyātā sarasvatī /	yat ca brahma sutA rAjan samAyAtA sarasvatI /
   trīnsaṃpūrayituṃ kuṇḍānagnihotrasya vai vidheḥ // BndP_2,35.44 //	trIn saMpUrayitum kuNxAn agni hotrasya vE viDeH // Bndu _2,35.44 //
   tatra tīre śubhaṃ puṇyaṃ nānāmuniniṣevitam /	tatra tIre SuBam puNyam nAnA muni nizevitam /
   dadarśa mahadāścaryaṃ bhārgavaḥ kuṃbhajāśramam // BndP_2,35.45 //	dadarSa mahat AScaryam BArgavaH kuMBaja ASramam // Bndu _2,35.45 //
   mṛgaiḥ siṃhaiḥ sahagataiḥ sevitaṃ śāntamānasaiḥ /	mRgEH siMhEH saha gatEH sevitam SAnta mAnasEH /
   kuṭarairarjunairniṃbaiḥ pāribhadradhavegudaiḥ // BndP_2,35.46 //	kuwarEH arjunEH niMbEH pAriBadraDavegudEH // Bndu _2,35.46 //
   khadirāsanakharjūraiḥ saṃkulaṃ badarīdrumaiḥ /	Kadira Asana KarjUrEH saMkulam badarI drumEH /
   tatra praviśya vai rāmo hyakṛtavraṇasaṃyutaḥ // BndP_2,35.47 //	tatra praviSya vE rAmaH hi akRta vraNa saMyutaH // Bndu _2,35.47 //
   dadarśa munimāsīnaṃ kumbhajaṃ śāntamānasam /	dadarSa munim AsInam kumBajam SAnta mAnasam /
   stimitodasaraḥ prakhyaṃ dhyāyantaṃ brahma śāśvatam // BndP_2,35.48 //	stimita udasaraH praKyam DyAyantam brahma SASvatam // Bndu _2,35.48 //
   kauśyāṃ vṛṣyāṃ mārgakṛttiṃ vasānaṃ pallavoṭaje /	kOSyAm vRzyAm mArga kRttim vasAnam pallava uwaje /
   nanāma ca mahārāja svābhidhānaṃ samuccaran // BndP_2,35.49 //	nanAma ca mahA rAja sva aBiDAnam samuccaran // Bndu _2,35.49 //
   rāmo 'smi jāmadagnyo 'haṃ bhavantaṃ draṣṭumāgataḥ /	rAmaH asmi jAmadagnyaH aham Bavantam drazwum AgataH /
   tādviddhi praṇipātena namaste lokabhāvana // BndP_2,35.50 //	tAdvidDi praNipAtena namaH te loka BAvanaH // Bndu _2,35.50 //
   ityuktavantaṃ rāmaṃ tu unmīlya nayane śanaiḥ /	iti uktavantam rAmam tu unmIlya nayane SanEs /
   dṛṣṭvā svāgatamuccārya tasmāyāsanamādiśat // BndP_2,35.51 //	dRzwvA svAgatam uccArya tasmAya Asanam AdiSat // Bndu _2,35.51 //
   madhuparkaṃ samānīya śiṣyeṇa munipuṅgavaḥ /	maDuparkam samAnIya SizyeNa muni puFgavaH /
   dadau papraccha kuśalaṃ tapasaśca kulasya ca // BndP_2,35.52 //	dadO papracCa kuSalam tapasaH ca kulasya ca // Bndu _2,35.52 //
   sa pṛṣṭastena vai rāmo ghaṭodbhavamuvāca ha /	sa pRzwaH tena vE rAmaH GawodBavam uvAca ha /
   bhavatsaṃdarśanādīśa kuśalaṃ mama sarvataḥ // BndP_2,35.53 //	Bavat saMdarSanAt ISa kuSalam mama sarvatas // Bndu _2,35.53 //
   kiṃ tvaṅkaṃ saṃśayaṃ jātaṃ chindhi svavacanāmṛtaiḥ /	kim tu aFkam saMSayam jAtam CinDi sva vacana amRtEH /
