   akriyāpi kriyā tathā SRtp_192b	akriyA-api kriyA taTA SRtp_192b
   nivāryamāṇamaṅgaiḥ svair SRtp_222c	nivAryamANam-aFgEH svEH SRtp_222c
   nivṛttirabhidhīyate SRtp_97b	nivRttiH-aBiDIyate SRtp_97b
   nivṛttiśca pratiṣṭhā ca SRtp_86c	nivRttiH-ca pratizWA ca SRtp_86c
   nivṛttau pārthivaṃ tattvaṃ SRtp_91a	nivRttO pArTivam tattvam SRtp_91a
   nivṛttyādikalāśrayāt SRtp_85d	nivRtti-Adi-kalA-ASrayAt SRtp_85d
   nivṛttyādivibhedataḥ SRtp_89d	nivRtti-Adi-viBedataH SRtp_89d
   nivṛttyādyā viśuddhaye SRtp_161b	nivRtti-AdyAH viSudDaye SRtp_161b
   niṣkalaḥ śivasaṃjñitaḥ SRtp_266b	nizkalaH Siva-saMjQitaH SRtp_266b
   niṣṭhā kāṣṭhā parā sūkṣmā SRtp_186a	nizWA kAzWA parA sUkzmA SRtp_186a
   niṣpādane kalādīnāṃ SRtp_43c	nizpAdane kalA-AdInAm SRtp_43c
   nīlāñjanasamadyutiḥ SRtp_108b	nIlAQjana-sama-dyutiH SRtp_108b
   nīlotpaladalāṅkitā SRtp_102b	nIlotpala-dala-aFkitA SRtp_102b
   nutiṃ kurvanti saṃvidaḥ SRtp_225d	nutim kurvanti saMvidaH SRtp_225d
   naikatra sthātumarhataḥ SRtp_216d	na-ekatra sTAtum-arhataH SRtp_216d
   naivamapyavināśi yat SRtp_296d	na-evam-api-avinASi yat SRtp_296d
   naivaṃ vidyeśvaro māyām SRtp_69a	na-evam vidyeSvaraH mAyAm SRtp_69a
   naivaṃ heturadṛṣṭāyāṃ SRtp_224c	na-evam hetuH-adRzwAyAm SRtp_224c
   pañca karmendriyāṇi ca SRtp_98d	paQca karmendriyANi ca SRtp_98d
   pañcadhā bhidyate bhūyaḥ SRtp_86a	paQcaDA Bidyate BUyas SRtp_86a
   pañca pañcasu vartate SRtp_95b	paQca paQcasu vartate SRtp_95b
   pañca buddhīndriyāṇyāsan SRtp_99a	paQca budDIndriyANi-Asan SRtp_99a
   pañcamantratanuḥ śrīmān SRtp_268c	paQca-mantra-tanuH SrImAn SRtp_268c
   pañcamī tu parā kalā SRtp_114d	paQcamI tu parA kalA SRtp_114d
   pañca ṣaḍbindulāñchitā SRtp_111b	paQca zaz-bindu-lAQCitA SRtp_111b
   pañcasrotomukhaḥ śāntaḥ SRtp_280c	paQca-srotaH-muKaH SAntaH SRtp_280c
   pañcādhiṣṭheyagocarā SRtp_270d	paQca-aDizWeya-gocarA SRtp_270d
   pañcānāṃ bindusaṃjñitaḥ SRtp_272b	paQcAnAm bindu-saMjQitaH SRtp_272b
   paṭasyeva kuṭī tataḥ SRtp_68b	pawasya-iva kuwI tatas SRtp_68b
   patikṛtyādhikāriṇaḥ SRtp_29d	pati-kRtya-aDikAriNaH SRtp_29d
   patikṛtyādhikāreṣu SRtp_279c	pati-kRtya-aDikArezu SRtp_279c
   patyurājñānuvartinaḥ SRtp_287b	patyuH-AjQA-anuvartinaH SRtp_287b
   patyurāviṣkarotyuccaiḥ SRtp_267c	pati-uH-Avizkaroti-uccEs SRtp_267c
   padamāsādyate pumbhir SRtp_89a	padam-AsAdyate pumBiH SRtp_89a
   padāni viṃśatirmantrau SRtp_106c	padAni viMSatiH-mantrO SRtp_106c
   padānyekādaśātrāsan SRtp_110c	padAni-ekAdaSa-atra-Asan SRtp_110c
   padārthajātaṃ saṃsarga- SRtp_221a	padArTa-jAtam saMsarga SRtp_221a
   padairatra pratiṣṭhitā SRtp_94b	padEH-atra pratizWitA SRtp_94b
   payaḥ karaṇadoṣataḥ SRtp_235d	payaH karaNa-dozataH SRtp_235d
   paramātmavidhānataḥ SRtp_121d	paramAtma-viDAnataH SRtp_121d
   paramātmaiva vāgātmā SRtp_82a	paramAtmA-eva vAc-AtmA SRtp_82a
   paramātraṃ prakāśeta SRtp_257a	para-mAtram prakASeta SRtp_257a
   paramānandasantatim SRtp_267d	parama-Ananda-santatim SRtp_267d
   paramaiśvaryarūpā ca SRtp_290c	parama-ESvarya-rUpA ca SRtp_290c
   parasaṃvitsvarūpāyāḥ SRtp_256c	para-saMvid-svarUpAyAH SRtp_256c
   parasparavirodhena SRtp_315a	paraspara-viroDena SRtp_315a
   parādhīnamasaṃśayam SRtp_44b	para-aDInam-asaMSayam SRtp_44b
   parānapekṣaṃ rūpaṃ yad SRtp_291c	para-anapekzam rUpam yat SRtp_291c
   parānapekṣānanyātma- SRtp_185a	parAn-apekzA-nanya-Atma SRtp_185a
   parāpekṣānapekṣābhyām SRtp_293a	para-apekzA-anapekzAByAm SRtp_293a
   parāṃ vyāptimakhaṇḍitām SRtp_318b	parAm vyAptim-aKaNxitAm SRtp_318b
   pariṇāmavatī ca yat SRtp_43b	pariNAmavatI ca yat SRtp_43b
   pariṇāmavatī ca yat SRtp_158d	pariNAmavatI ca yat SRtp_158d
   pariṇāmasya kartāyaṃ SRtp_63c	pariNAmasya kartA-ayam SRtp_63c
   pariṇāmāt tatastathā SRtp_49b	pariNAmAt tatas-taTA SRtp_49b
   pariṇāmāparimlānaṃ SRtp_199a	pariNAma-aparimlAnam SRtp_199a
   pariṇāmi ca yadvastu SRtp_136a	pariNAmi ca yat-vastu SRtp_136a
   pariṇāmitayā tathā SRtp_34b	pariNAmitayA taTA SRtp_34b
   pariṇāmitayā svayam SRtp_124d	pariNAmi-tayA svayam SRtp_124d
   pariṇāmiṣvayaṃ dharmo SRtp_65a	pariNAmizu-ayam DarmaH SRtp_65a
   pariṇāmī pradhānavat SRtp_135d	pariNAmI praDAna-vat SRtp_135d
   pariṇāmodayairapi SRtp_42d	pariNAma-udayEH-api SRtp_42d
   pariṇāmo nirākṛtaḥ SRtp_198b	pariNAmaH nirAkRtaH SRtp_198b
   pariṇāmo hi dṛśyate SRtp_198d	pariNAmaH hi dRSyate SRtp_198d
   pariṇāmo hi vastūnāṃ SRtp_35c	pariNAmaH hi vastUnAm SRtp_35c
   pariśeṣeṇa labhyate SRtp_40b	pariSezeNa laByate SRtp_40b
   parīkṣā kriyate tatra SRtp_21c	parIkzA kriyate tatra SRtp_21c
   pare sadāśivasamāḥ SRtp_29c	pare sadASiva-samAH SRtp_29c
   paśupūrvāḥ sadāśivāḥ SRtp_24b	paSu-pUrvAH sadASivAH SRtp_24b
   paśūn vartayate nityaṃ SRtp_168c	paSUn vartayate nityam SRtp_168c
   paścāttakraṃ tathā māyā SRtp_38a	paScAt-takram taTA mAyA SRtp_38a
   paśyantī madhyamotpāda- SRtp_83a	paSyantI maDyama-utpAda SRtp_83a
   paśyantī sūkṣmasaṃjñitā SRtp_72d	paSyantI sUkzma-saMjQitA SRtp_72d
   paśyet śaktyā tayā vinā SRtp_302b	paSyet SaktyA tayA vinA SRtp_302b
   pārthivo 'pi bhavetkumbho SRtp_33c	pArTivaH api Bavet-kumBaH SRtp_33c
   pāśatvena vyavasthitā SRtp_168b	pASa-tvena vyavasTitA SRtp_168b
   pītaiṣā caturaśrā ca SRtp_95c	pItA-ezA caturaSrA ca SRtp_95c
   puṇyāpuṇyākhyakarmaṇām SRtp_314b	puNya-apuNya-AKya-karmaNAm SRtp_314b
   pudgalaścetano nityo SRtp_51c	pudgalaH-cetanaH nityaH SRtp_51c
   pudgalādhiṣṭhitā ca yat SRtp_154d	pudgala-aDizWitA ca yat SRtp_154d
   purabhogādiśobhitam SRtp_30d	pura-Boga-Adi-SoBitam SRtp_30d
   purāṇi daśa pañca ca SRtp_115b	purANi daSa paQca ca SRtp_115b
   purāṇyaṣṭottaraṃ śatam SRtp_91b	purANi-azwa-uttaram Satam SRtp_91b
   purādīni svalīlayā SRtp_319d	purA-AdIni sva-lIlayA SRtp_319d
   puruṣastvadhidevatā SRtp_114b	puruzaH-tu-aDidevatA SRtp_114b
   puruṣaṃ gamayedeva SRtp_44a	puruzam gamayet-eva SRtp_44a
   puruṣe ṣoḍaśakale SRtp_78a	puruze zoxaSa-kale SRtp_78a
   puruṣaiḥ pratihanyate SRtp_13b	puruzEH pratihanyate SRtp_13b
   puruṣo vā kathaṃ buddhiṃ SRtp_302a	puruzaH vA kaTam budDim SRtp_302a
   puṃsāmapratighodāra- SRtp_5a	puMsAm-apratiGodAra SRtp_5a
   puṃsopabhujyate tena SRtp_252c	puMsA-upaBujyate tena SRtp_252c
   pūrvapakṣāstataḥ pare SRtp_11b	pUrva-pakzAH-tatas pare SRtp_11b
   pūrvamevamasāvapi SRtp_309d	pUrvam-evam-asO=-api SRtp_309d
   pūrvaṃ kṣīraṃ tato dadhi SRtp_37d	pUrvam kzIram tatas daDi SRtp_37d
   pūrvāvasthāparicyuteḥ SRtp_35d	pUrva-avasTA-paricyuteH SRtp_35d
   pūrvāvasthe hi te mate SRtp_37b	pUrva-avasTe hi te mate SRtp_37b
   pṛthakkāraṃ pratanvatī SRtp_170d	pRTakkAram pratanvatI SRtp_170d
   pṛthageveśiturmataḥ SRtp_253d	pRTak-eva-ISituH-mataH SRtp_253d
   'pyanyathānavabhāsitaḥ SRtp_240b	api-anyaTA-anava-BAsitaH SRtp_240b
   prakāśyā sarvatomukhī SRtp_185b	prakASyA sarvatomuKI SRtp_185b
   prakṛtiḥ puruṣasya sā SRtp_156b	prakRtiH puruzasya sA SRtp_156b
   pratijñā bhajyate teṣām SRtp_220a	pratijQA Bajyate tezAm SRtp_220a
   pratibhāso 'pi dṛśyate SRtp_207b	pratiBAsaH api dRSyate SRtp_207b
   pratiṣṭhā nāma sā kalā SRtp_103d	pratizWA nAma sA kalA SRtp_103d
   pratiṣṭhāyāṃ tu catvāri SRtp_98a	pratizWAyAm tu catvAri SRtp_98a
   pratiṣṭhā sanivṛttikā SRtp_271b	pratizWA sa-nivRttikA SRtp_271b
   pratiṣṭhito yatastena SRtp_103c	pratizWitaH yatas-tena SRtp_103c
   pratisargapadakramāt SRtp_93d	pratisarga-pada-kramAt SRtp_93d
   pratyakṣa eva tāvarthe SRtp_211c	pratyakzaH eva tO=-arTe SRtp_211c
   pratyakṣamapi gṛhṇāti SRtp_226a	pratyakzam-api gRhNAti SRtp_226a
   pratyakṣasaṃjñaṃ vijñānam SRtp_228a	pratyakza-saMjQam vijQAnam SRtp_228a
   pratyakṣairapi yoginām SRtp_145b	pratyakzEH-api yoginAm SRtp_145b
   pratyayāvavivekataḥ SRtp_236d	pratyayO=-avivekataH SRtp_236d
   pratyayodayahetunā SRtp_169d	pratyaya-udaya-hetunA SRtp_169d
   pratyācaṣṭe kathaṃ sudhīḥ SRtp_145d	pratyAcazwe kaTam suDIH SRtp_145d
   pratyātmaniyatā etā SRtp_81a	pratyAtma-niyatA etA SRtp_81a
   prapañcavilayāya ca SRtp_308b	prapaQca-vilayAya ca SRtp_308b
   prapañcaḥ kiñca māyeyaḥ SRtp_241a	prapaQcaH kiQca mAyeyaH SRtp_241a
   prabhavāḥ karyayonayaḥ SRtp_276d	praBavAH karya-yonayaH SRtp_276d
   prabhā bhānorivāmalā SRtp_305b	praBA BAnoH-iva-amalA SRtp_305b
   prabhāvā śaktisaṃjñitā SRtp_263b	praBAvA Sakti-saMjQitA SRtp_263b
   prabhuśaktisamākrāntas SRtp_310a	praBu-Sakti-samAkrAntaH SRtp_310a
   prabhuḥ śaktiśirāḥ śivaḥ SRtp_280d	praBuH Sakti-SirAH SivaH SRtp_280d
   pramāṇamanumā bhavet SRtp_217b	pramANam-anumA Bavet SRtp_217b
   pramāṇaṃ tadabhāvataḥ SRtp_211b	pramANam tad-aBAvataH SRtp_211b
   pramāṇaireva sādhitaḥ SRtp_241b	pramANEH-eva sADitaH SRtp_241b
   pramāṇairvyāvahārikaiḥ SRtp_214b	pramANEH-vyAvahArikEH SRtp_214b
   prayukto bhedamākhyāti SRtp_218c	prayuktaH Bedam-AKyAti SRtp_218c
   prayoktṝṇāmiyaṃ prāyaḥ SRtp_74a	prayoktLNAm-iyam prAyas SRtp_74a
   prayogaḥ svāṅgasiddhaye SRtp_218d	prayogaH sva-aFga-sidDaye SRtp_218d
   prayojyatvāccharīrādi- SRtp_152c	prayojya-tvAt-SarIra-Adi SRtp_152c
   prayojyaḥ paśubhāvena SRtp_151a	prayojyaH paSu-BAvena SRtp_151a
   pralapanto dayālubhiḥ SRtp_213b	pralapantaH dayAluBiH SRtp_213b
   pravṛttaśceti deśikaiḥ SRtp_265d	pravRttaH-ca-iti deSikEH SRtp_265d
   pravṛttimānayaṃ devaḥ SRtp_282c	pravRttimAn-ayam devaH SRtp_282c
   pravṛttirupabhogāya SRtp_146c	pravRttiH-upaBogAya SRtp_146c
   pravṛttiḥ sarvabhūtānāṃ SRtp_56c	pravRttiH sarva-BUtAnAm SRtp_56c
   praśāntamalakāluṣyam SRtp_316c	praSAnta-mala-kAluzyam SRtp_316c
   prasanne parameśvare SRtp_30b	prasanne parameSvare SRtp_30b
   prasiddhānadhvanaḥ śuddhān SRtp_145c	prasidDAn-aDvanaH SudDAn SRtp_145c
   prasiddhāḥ pṛthagevālaṃ SRtp_215a	prasidDAH pRTak-eva-alam SRtp_215a
   prasiddhoktaviśeṣaṇam SRtp_39b	prasidDa-ukta-viSezaNam SRtp_39b
   prācyādiṣu daśasvāsann SRtp_92a	prAcI-a-Adizu daSasvAsan SRtp_92a
   prāṇavṛttinibandhanā SRtp_74b	prANa-vRtti-nibanDanA SRtp_74b
   prāṇavṛttimatikramya SRtp_75c	prANa-vRttim-atikramya SRtp_75c
   prāpnuvanti mahādhīrā SRtp_318c	prApnuvanti mahADIrA SRtp_318c
   prāpyate cittabhedena SRtp_147c	prApyate citta-Bedena SRtp_147c
   prītilālasacetasaḥ SRtp_171b	prIti-lAlasa-cetasaH SRtp_171b
   bandhakaśca vicārataḥ SRtp_206b	banDakaH-ca vicArataH SRtp_206b
   bandhamokṣakaraḥ śivaḥ SRtp_314d	banDa-mokza-karaH SivaH SRtp_314d
   bandhamokṣau na vastutaḥ SRtp_212d	banDa-mokzO na vastutas SRtp_212d
   bandhavartī vimūḍhātmā SRtp_254a	banDa-vartI vimUXa-AtmA SRtp_254a
   bahudhā yadavasthānaṃ SRtp_53a	bahuDA yat-avasTAnam SRtp_53a
   bahurūpo 'dhidevatā SRtp_107b	bahurUpaH aDidevatA SRtp_107b
   bahulālokaśālinī SRtp_102d	bahula-Aloka-SAlinI SRtp_102d
   bālamūkādivijñāna- SRtp_208c	bAla-mUka-Adi-vijQAna SRtp_208c
   bālo 'haṃ kṛśa ityataḥ SRtp_246d	bAlaH aham kRSaH iti-atas SRtp_246d
   bindave śāśvatāya ca SRtp_1b	bindave SASvatAya ca SRtp_1b
   bindāvānandarūpiṇi SRtp_179d	bindO=-Ananda-rUpiNi SRtp_179d
   bindugarbhabharālasā SRtp_267b	bindu-garBa-Bara-alasA SRtp_267b
   bindunā vyāpyate yo 'sau SRtp_125c	bindunA vyApyate yaH asO SRtp_125c
   bindumīśo 'dhitiṣṭhati SRtp_68d	bindum-ISaH aDitizWati SRtp_68d
   binduranyo na māyordhvam SRtp_140a	binduH-anyaH na mAyA-UrDvam SRtp_140a
   bindurākhyāyate yuktyā SRtp_135c	binduH-AKyAyate yuktyA SRtp_135c
   bindurātmani nādādīn SRtp_123a	binduH-Atmani nAda-AdIn SRtp_123a
   bindurādau nirūpyate SRtp_21d	binduH-AdO nirUpyate SRtp_21d
   bindurāpūrayannādair SRtp_188c	binduH-ApUrayat-nAdEH SRtp_188c
   bindureva pravartate SRtp_308d	binduH-eva pravartate SRtp_308d
   bindureva vikalpākhyāṃ SRtp_58c	binduH-eva vikalpa-AKyAm SRtp_58c
   bindurevaṃ samākhyāto SRtp_71c	binduH-evam samAKyAtaH SRtp_71c
   bindurnādādasāvapi SRtp_172d	binduH-nAdAt-asO=-api SRtp_172d
   binduvyāptipaṭīyasī SRtp_184d	bindu-vyApti-pawIyasI SRtp_184d
   binduśaktiśivākhyāni SRtp_2a	bindu-Sakti-Siva-AKyAni SRtp_2a
   binduśaktiśivāśrayā SRtp_21b	bindu-Sakti-Siva-ASrayA SRtp_21b
   binduśaktiśivāśrayām SRtp_90d	bindu-Sakti-Siva-ASrayAm SRtp_90d
   bindusaṃjñā śiveritā SRtp_271d	bindu-saMjQA Siva-IritA SRtp_271d
   binduḥ pralīnakāryo 'sau SRtp_307c	binduH pralIna-kAryaH asO SRtp_307c
   binduḥ śaktyā śivenaiṣā SRtp_119a	binduH SaktyA Sivena-ezA SRtp_119a
   binduḥ śāntiḥ kalā vidyā SRtp_271a	binduH SAntiH kalA vidyA SRtp_271a
   bindoranāhatādeṣa SRtp_173a	bindoH-anAhatAt-eza SRtp_173a
   bindorviveke sahasā SRtp_175c	bindoH-viveke sahasA SRtp_175c
   bindostadbandhamokṣajā SRtp_260b	bindoH-tat-banDa-mokza-jA SRtp_260b
   bindoḥ kṣobhāya vartate SRtp_177b	bindoH kzoBAya vartate SRtp_177b
   bindvādyāḥ śivaśāsane SRtp_5d	bindu-AdyAH Siva-SAsane SRtp_5d
   buddhayo bhogalampaṭāḥ SRtp_286b	budDayaH Boga-lampawAH SRtp_286b
   buddhitattvāvivekataḥ SRtp_244b	budDi-tattva-avivekatas SRtp_244b
   buddhirna sarvā sarveṣāṃ SRtp_251c	budDiH-na sarvA sarvezAm SRtp_251c
   buddhyavyakteṣvahaṅkṛtau SRtp_100d	budDi-avyaktezu-ahaFkRtO SRtp_100d
   buddhyādibhogyajananī SRtp_156a	budDi-Adi-Bogya-jananI SRtp_156a
   buddhyārūḍhaṃ sukhaṃ duḥkhaṃ SRtp_252a	budDi-ArUXam suKam duHKam SRtp_252a
   baindavaṃ tattvamucyate SRtp_48b	bEndavam tattvam-ucyate SRtp_48b
   bodhaśakterabodhasya SRtp_198c	boDa-SakteH-aboDasya SRtp_198c
   brahma kuṇḍalinī dhruvam SRtp_70d	brahma kuNxalinI Druvam SRtp_70d
   brahmātra kāraṇaṃ mantraḥ SRtp_97c	brahmA-atra kAraNam mantraH SRtp_97c
   bhagnakarmamahārgalāḥ SRtp_23b	Bagna-karma-mahA-argalAH SRtp_23b
   bhadrakālyāśca bhuvane SRtp_93a	BadrakAlyAH-ca Buvane SRtp_93a
   bhavabhītamimaṃ janam SRtp_320b	Bava-BItam-imam janam SRtp_320b
   bhājāṃ bhogādhikārayoḥ SRtp_57d	BAjAm Boga-aDikArayoH SRtp_57d
   bhāva evaṃ ca sādhyate SRtp_230d	BAvaH evam ca sADyate SRtp_230d
   bhāvaḥ syād ghaṭakuḍyavat SRtp_52b	BAvaH syAt Gawa-kuxya-vat SRtp_52b
   bhittvā yaṃ bodhakhaḍgena SRtp_80a	BittvA yam boDa-Kaxgena SRtp_80a
   bhuvanādivibhedataḥ SRtp_141b	Buvana-Adi-viBedataH SRtp_141b
   bhuvanādīnabhivyāpya SRtp_95a	Buvana-AdIn-aBivyApya SRtp_95a
   bhuvanādīnyabhivyāpya SRtp_111a	Buvana-AdIni-aBivyApya SRtp_111a
   bhuvanāni vicitrāṇi SRtp_131c	BuvanAni vicitrANi SRtp_131c
   bhuvanaiḥ saha bhoktṛbhiḥ SRtp_31d	BuvanEH saha BoktRBiH SRtp_31d
   bhūtāni pañca tanmātrāḥ SRtp_98c	BUtAni paQca tanmAtrAH SRtp_98c
   bhūto bhāvi ca tat tadā SRtp_261b	BUtaH BAvi ca tat tadA SRtp_261b
   bhūyobhūyaḥ samīksate SRtp_234d	BUyas-BUyas samIksate SRtp_234d
   bhedayorabhyupaiti cet SRtp_230b	BedayoH-aByupEti ced SRtp_230b
   bhedavādaviśāradāḥ SRtp_62d	Beda-vAda-viSAradAH SRtp_62d
   bhedasaṃśoṣacūrṇānām SRtp_311c	Beda-saMSoza-cUrNAnAm SRtp_311c
   bhedaṃ parebhyo vyāvṛtti- SRtp_226c	Bedam pareByaH vyAvRtti SRtp_226c
   bhedaḥ kāryaviśeṣataḥ SRtp_143d	BedaH kArya-viSezataH SRtp_143d
   bhedaḥ siddhyedathānanya- SRtp_230c	BedaH sidDyet-aTa-ananya SRtp_230c
   bhogamokṣau prayacchati SRtp_169b	Boga-mokzO prayacCati SRtp_169b
   bhogasthānaniviṣṭānāṃ SRtp_274c	Boga-sTAna-nivizwAnAm SRtp_274c
   bhogasthānāni pañcaiṣāṃ SRtp_271c	Boga-sTAnAni paQca-ezAm SRtp_271c
   bhogānapyaparimlānān SRtp_132a	BogAn-api-aparimlAnAn SRtp_132a
   bhrāntipradhānasantāna- SRtp_247c	BrAnti-praDAna-santAna SRtp_247c
   bhrūmadhyakamalodare SRtp_112b	BrU-maDya-kamala-udare SRtp_112b
   makuṭotpādakarmaṇi SRtp_44d	makuwa-utpAda-karmaNi SRtp_44d
   matireṣāmayuktaiva SRtp_300a	matiH-ezAm-ayuktA-eva SRtp_300a
   madhyamā savikalpake SRtp_82d	maDyamA sa-vikalpake SRtp_82d
   madhyāḥ praśāntakaluṣā SRtp_26c	maDyAH praSAnta-kaluzA SRtp_26c
   mananatrāṇadharmiṇī SRtp_269d	manana-trANa-DarmiNI SRtp_269d
   mananāt sarvabhāvānāṃ SRtp_269a	mananAt sarva-BAvAnAm SRtp_269a
   mano'haṅkārabuddhayaḥ SRtp_99b	manaH-ahaFkAra-budDayaH SRtp_99b
   mantavyaṃ copapattibhiḥ SRtp_9b	mantavyam ca-upapattiBiH SRtp_9b
   mantrayonirmahāmāyā SRtp_166c	mantra-yoniH-mahAmAyA SRtp_166c
   mantrayoniḥ parā māyā SRtp_157c	mantra-yoniH parA mAyA SRtp_157c
   mantrarūpā hi tacchaktir SRtp_269c	mantra-rUpA hi tad-SaktiH SRtp_269c
   mantrastatpuruṣāhvayaḥ SRtp_113d	mantraH-tatpuruza-AhvayaH SRtp_113d
   mantrādhvā vyāpakasteṣāṃ SRtp_88a	mantra-aDvA vyApakaH-tezAm SRtp_88a
   mantrāvajātahṛdayau SRtp_94c	mantra-avajAta-hRdayO SRtp_94c
   mantrā vidyāśca nāmataḥ SRtp_24d	mantrAH vidyAH-ca nAmataH SRtp_24d
   mantrau vaktratanucchadau SRtp_110d	mantrO vaktra-tanucCadO SRtp_110d
   mayaivamanukurvatā SRtp_322d	mayA-evam-anukurvatA SRtp_322d
   marīcinicayātmikā SRtp_182d	marIci-nicaya-AtmikA SRtp_182d
   marīcinicayena ca SRtp_5b	marIci-nicayena ca SRtp_5b
   malaḥ karma ca māyā ca SRtp_174a	malaH karma ca mAyA ca SRtp_174a
   maloparuddhadṛkśakter SRtp_233c	mala-uparudDa-dRS-SakteH SRtp_233c
   mahāmāyānuṣaṅgiṇam SRtp_176d	mahAmAyA-anuzaFgiNam SRtp_176d
   mahāmāyā bhavet tredhā SRtp_155c	mahAmAyA Bavet treDA SRtp_155c
   mahāmāyāmayāstathā SRtp_277b	mahAmAyA-mayAH-taTA SRtp_277b
   mahāmāyā samākrāntā SRtp_274a	mahAmAyA samAkrAntA SRtp_274a
   mahāmāyeti deśikaiḥ SRtp_71b	mahAmAyA-iti deSikEH SRtp_71b
   mahimā parameṣṭhinaḥ SRtp_186d	mahimA paramezWinaH SRtp_186d
   mahimā vyāptirūpiṇī SRtp_290d	mahimA vyApti-rUpiNI SRtp_290d
   maheśvaro mahāneṣa SRtp_291a	maheSvaraH mahAn-eza SRtp_291a
   māyā jaḍāntaravyāptā SRtp_43a	mAyA jaxa-antara-vyAptA SRtp_43a
   māyātattvāni tatra tu SRtp_105b	mAyA-tattvAni tatra tu SRtp_105b
   māyāto dvividhā matā SRtp_175b	mAyAtaH dviviDA matA SRtp_175b
   māyādibhuvanānāṃ ca SRtp_105c	mAyA-Adi-BuvanAnAm ca SRtp_105c
   māyādyarthāvalokane SRtp_53d	mAyA-Adi-arTa-avalokane SRtp_53d
   māyāpuruṣaviveke tu SRtp_176a	mAyA-puruza-viveke tu SRtp_176a
   māyāmadhvasvanaśvarīm SRtp_164d	mAyA-maDvasvanaSvarIm SRtp_164d
   māyāmākramya tejasā SRtp_61b	mAyAm-Akramya tejasA SRtp_61b
   māyāmārgatayā tathā SRtp_41d	mAyA-mArga-tayA taTA SRtp_41d
   māyāmāhurvipaścitaḥ SRtp_154b	mAyAm-AhuH-vipaScitaH SRtp_154b
   māyāyāḥ kṣobhako yena SRtp_153a	mAyAyAH kzoBakaH yena SRtp_153a
   māyāyāḥ sā ca vidvadbhir SRtp_48a	mAyAyAH sA ca vidvadBiH SRtp_48a
   māyūrāṇḍarasopamā SRtp_76d	mAyUra-aNxa-rasa-upamA SRtp_76d
   māyeyo 'pi tathā tu syād SRtp_144c	mAyeyaH api taTA tu syAt SRtp_144c
   māyaiva kāraṇaṃ śuddhā- SRtp_174c	mAyA-eva kAraNam SudDA SRtp_174c
   māyopādānakāraṇaḥ SRtp_33d	mAyA-upAdAna-kAraNaH SRtp_33d
   māyordhvamapi sambhavāt SRtp_60d	mAyA-UrDvam-api samBavAt SRtp_60d
   mālāvibhramakāriṇī SRtp_203d	mAlA-viBrama-kAriNI SRtp_203d
   māṃsalā hṛdayāmbuje SRtp_96b	mAMsalA hRdaya-ambuje SRtp_96b
   mithyāpariṇatiryayā SRtp_242b	miTyA-pariNatiH-yayA SRtp_242b
   muktāṇūnāmanāratam SRtp_257b	muktA-aNUnAma-nAratam SRtp_257b
   mukhyamapyapahāyārthaṃ SRtp_225c	muKyam-api-apahAya-arTam SRtp_225c
   mukhyamarthaṃ virodhataḥ SRtp_223b	muKyam-arTam viroDataH SRtp_223b
   mucyate tebhya evāyaṃ SRtp_212c	mucyate teByaH eva-ayam SRtp_212c
   mūrdhani bhrājate prabhuḥ SRtp_280b	mUrDani BrAjate praBuH SRtp_280b
   mūrdhānamadhvanaḥ prāptāḥ SRtp_30a	mUrDAnam-aDvanaH prAptAH SRtp_30a
   mṛdavasthāntarāpattyā SRtp_309c	mRdavasTA-antara-ApattyA SRtp_309c
   mokṣastadbandhamocanam SRtp_254b	mokzaH-tad-banDa-mocanam SRtp_254b
   mokṣākhyāṇorvicārataḥ SRtp_8d	mokza-AKyANoH-vicArataH SRtp_8d
   mokṣāya ca nigadyate SRtp_146d	mokzAya ca nigadyate SRtp_146d
   mokṣo vātha catuṣṭayāt SRtp_147d	mokzaH vA-aTa catuzwayAt SRtp_147d
   mohayedavivecitā SRtp_170b	mohayet-avivecitA SRtp_170b
   yatsiddhau jagataḥ siddhir SRtp_201c	yad-sidDO jagataH sidDiH SRtp_201c
   yathā kṣīraṃ jaḍatve 'sya SRtp_136c	yaTA kzIram jaxa-tve asya SRtp_136c
   yathā taimiriko hetu- SRtp_234a	yaTA tEmirikaH hetu SRtp_234a
   yathāpūrvaṃ guṇādhikāḥ SRtp_28b	yaTApUrvam guNa-aDikAH SRtp_28b
   yathā madhūcchiṣṭamṛdor SRtp_313a	yaTA maDUcCizwa-mRdoH SRtp_313a
   yathā masūrastvaṅguṣṭhān SRtp_304a	yaTA masUraH-tu-aFguzWAn SRtp_304a
   yathā mṛtkalaśādīnāṃ SRtp_150c	yaTA mRd-kalaSa-AdInAm SRtp_150c
   yathā mṛtkalaśādīni SRtp_124a	yaTA mRd-kalaSa-AdIni SRtp_124a
   yathā rajjurahicchidra- SRtp_203c	yaTA rajjuH-ahi=-Cidra SRtp_203c
   yathārko dinaceṣṭānāṃ SRtp_122c	yaTA-arkaH dina-cezwAnAm SRtp_122c
   yathārthasthitiṃ gṛḥnāti SRtp_261c	yaTA-arTa-sTitim gRHnAti SRtp_261c
   yathā vāñjanasaṃyukte SRtp_236a	yaTA vA-aQjana-saMyukte SRtp_236a
   yathā vā pittasanduṣṭa- SRtp_235a	yaTA vA pitta-sanduzwa SRtp_235a
   yathāsvaṃ hetubhiḥ śāstraiḥ SRtp_145a	yaTAsvam hetuBiH SAstrEH SRtp_145a
