   atha dvitīyo 'dhyāyaḥ /	aTa dvitIyaH aDyAyaH /
   bhedagrahasyoktatvāt /	Beda grahasya ukta tvAt /
   api cāgṛhyamāṇe cedbāhye 'bāhyātsvalakṣaṇādbhedāgrahaṇena tadabhimukhī	api ca agRhyamANe ced bAhye abAhyAt sva lakzaNAt Beda agrahaNena tad aBimuKI
   pravṛttiḥ, hanta tarhi trailokyata evānena na bhedo gṛhīta iti yatra	pravRttiH, hanta tarhi trElokyate eva anena na BedaH gRhItaH iti yatra
   kvacana pravartetāviśeṣāt /	kvacana pravarteta aviSezAt /
   etena jñānākārasyaivālokasyāpi bāhyatvasamāropaḥ pratyuktaḥ /	etena jQAna AkArasya eva Alokasya api bAhya tva samAropaH pratyuktaH /
   tasmātsuṣṭhūktaṃ 'tato 'nyaducyamānaṃ bahupralāpitvamātmanaḥ khyāpayet'iti	tasmAt suzWu uktam atatas anyat ucyamAnam bahu pralApi tvam AtmanaH KyApayet aiti
   api ca sādṛśyanibandhanaḥ saṃvyavahārastenedaṃ	api ca sAdRSya nibanDanaH saMvyavahAraH tena idam
   sadṛśamityevamākārabuddhinibandhano bhavenna tu	sadRSam iti evam AkAra budDi nibanDanaH Bavet na tu
   tadevedamityākārabuddhinibandhana ityāha  nacāyaṃ sādṛśyātsaṃvyavahāra iti	tat eva idam iti AkAra budDi nibanDanaH iti Aha   nacA ayam sAdRSyAt saMvyavahAraH iti
   nanu jvālādiṣu sādṛśyādasatyāmapi sādṛśyabuddhau tadbhāvāvagamanibandhanaḥ	nanu jvAlA Adizu sAdRSyAt asatyAm api sAdRSya budDO tad BAva avagama nibanDanaH
   saṃvyahāro dṛśyate yathā tathehāpi	saMvyahAraH dRSyate yaTA taTA iha api
   bhaviṣyatīti pūrvāparitoṣeṇāha  bhavedapi kadacidbāhyavastunīti /	Bavizyati iti pUrva aparitozeNa aha   Bavet api kadacid bAhya vastuni iti /
   tathāhi  vividhajanasaṃkīrṇagopureṇa puraṃ niviśamānaṃ narāntarebhya	taTA hi   viviDa jana saMkIrNa gopureNa puram niviSamAnam nara antareBya
   ātmanirdhāraṇāyāsādhāraṇaṃ cihnaṃ vidadhatamupahasanti pāśupataṃ	Atma nirDAraNa AyAsa ADAraNam cihnam vidaDatam upahasanti pASupatam
   pṛthagjanā iti //25//	pRTagjanAH iti //25//
   START BsVBh_2,2.4.26	START BsVBh_2,2.4.26
   nāsato 'dṛṣṭatvāt | BBs_2,2.26 |	na asataH adRzwa tvAt | BBH _2,2.26 |
   itaścānupapanno vaināśikasamaya iti /	itas ca anupapannaH vEnASika samayaH iti /
   asthirāt kārayotpattimicchanto vaināśikā arthādabhāvādeva bhāvotpattimāhuḥ	asTirAt kAraya utpattim icCantaH vEnASikAH arTAt aBAvAt eva BAva utpattim AhuH
   uktametadadhastāt /	uktam etat aDastAt /
   nirapekṣāt kāryotpattau puruṣakarmavaiyarthyam /	nirapekzAt kArya utpattO puruza karma vEyarTyam /
   sāpekṣatāyāṃ ca kṣaṇasyābhedyatvenopakṛtatvānupapatteḥ, anupakāriṇi	sa apekzatAyAm ca kzaNasya aBedya tvena upakRta tva anupapatteH, anupakAriNi
   cāpekṣābhāvādakṣaṇikatvaprasaṅgaḥ /	ca apekza aBAvAH dakzaNika tva prasaFgaH /
   sāpekṣatvānapekṣatvayoścānyataraniṣedhasyānyataravidhānanāntarīyakatvena	sa apekza tva anapekza tvayoH ca anyatara nizeDasya anyatara viDAnana antarIyaka tvena
   prakārāntarābhāvānnāsthirādbhāvādbhāvotpattiriti	prakAra antara aBAva at na asTirAt BAvAt BAva utpattiH iti
   kṣaṇikapakṣer'thādabhāvādbhāvotpattiriti pariśiṣyata ityarthaḥ /	kzaNika pakzer aTAt aBAvAt BAva utpattiH iti pariSizyate iti arTaH /
   na kevalamarthādāpadyate, darśayanti ca  nānupamṛdya prādurbhāvāditi /	na kevalam arTAt Apadyate, darSayanti ca  na anupamRdya prAdurBAvAt iti /
   etadvibhajate  vinaṣṭāddhikileti /	etat viBajate  vinazwAdhikilA iti /
   kilakāro 'nicchāyām /	kilakAraH anicCAyAm /
   kūṭasthāccetkāraṇāt kāryamutpadyetāpi sarvaṃ sarvata utpadyeta /	kUwasTAt ced kAraNAt kAryam utpadyeta api sarvam sarvatas utpadyeta /
   ayamabhisaṃdhiḥ  kūṭastho hi kāryajananasvabhāvo vā syādatatsvabhāvo vā /	ayam aBisaMDiH  kUwa sTaH hi kArya janana svaBAvaH vA syAt atad svaBAvaH vA /
   sa cetkāryajananasvabhāvastato yāvadanena kāryaṃ kartavyaṃ tāvatsahasaiva	sa ced kArya janana svaBAvaH tatas yAvat anena kAryam kartavyam tAvat sahasA eva
   kuryāt /	kuryAt /
   samarthasya kṣepāyogāt /	samarTasya kzepA yogAt /
   atatsvabhāve tu na kadācidapi kuryāt /	atad svaBAve tu na kadAcid api kuryAt /
   yadyucyeta samartho 'pi kramavatsahakārisacivaḥ krameṇa kāryāṇi karotīti /	yadyucyeta samarTaH api krama vat sahakAri sacivaH krameNa kAryANi karoti iti /
   tadayuktam /	tat ayuktam /
   vikalpāsahatvāt /	vikalpa asaha tvAt /
   kimasya sahakāriṇaḥ kañcidupakāramādadhati na vā /	kim asya sahakAriNaH kaQcid upakAram AdaDati na vA /
   anādhāne 'nupakāritayā sahakāriṇo nāpekṣeran /	anADAne anupakAritayA sahakAriNaH na apekzeran /
   ādhāne 'pi bhinnamabhinnaṃ vopakāramādadhyuḥ /	ADAne api Binnam aBinnam vA upakAram AdaDyuH /
   abhede tadevābhihitamiti kauṭasthyaṃ vyāhanyeta /	aBede tat eva aBihitam iti kOwasTyam vyAhanyeta /
   bhede tūpakārasya tasmin sati kāryasya bhāvādasati cābhāvātsatyapi	Bede tu upakArasya tasmin sati kAryasya BAvAt asati ca aBAvAt sati api
   kūṭasthe kāryānutpādādanvayavyatirekābhyāmupakāra	kUwasTe kArya anutpAdAt anvaya vyatirekAByAm upakAra
   eva kāryakārī na bhāva iti nārthakriyākārī bhāvaḥ /	eva kArya kArI na BAvaH iti na arTa kriyA kArI BAvaH /
   taduktam 'varṣātapābhyāṃ kiṃ vyomnaścarmaṇyasti tayoḥ phalam /	tat uktam  avarza AtapAByAm kim vyomnaH carmaNi asti tayoH Palam /
   carmopamaścetso 'nityaḥ svatulyaścedasatphalaḥ //	carma upamaH ced saH anityaH sva tulyaH ced asat PalaH //
   'iti /	aiti /
   tathā cākiñcitkarādapi cet kūṭasthātkāryaṃ jāyeta, sarvaṃ	taTA ca akiQcitkarAt api ced kUwasTAt kAryam jAyeta, sarvam
   sarvasmājjāyeteti sūktam /	sarvasmAt jAyeta iti sUktam /
   upasaṃharati tasmādabhāvagrastebhya iti /	upasaMharati  tasmAt aBAva grasteByaH iti /
   tatredamucyate /	tatra idam ucyate /
   nāsato 'dṛṣṭatvāditi /	na asataH adRzwa tvAt iti /
   nābhāvāt kāryotpattiḥ /	na aBAvAt kArya utpattiH /
   kasmāt /	kasmAt /
   adṛṣṭatvāt /	adRzwa tvAt /
   nahi śaśaviṣāṇādaṅgurādīnāṃ kāryāṇāmutpattirdṛśyate /	na hi SaSa vizANAt aFgura AdInAm kAryANAm utpattiH dRSyate /
   yadi tvabhāvādbhāvotpattiḥ syāttato 'bhāvatvāviśeṣāt śaśaviṣāṇādibhyo	yadi tu aBAvAt BAva utpattiH syAt tatas aBAva tva aviSezAt SaSa vizANa AdiByaH 
   'pyaṅgurotpattiḥ /	api aFgura utpattiH /
   nahyabhāvo viśiṣyate /	na hi aBAvaH viSizyate /
   viśeṣaṇayoge vā so 'pi bhāvaḥ syānna nirūpākhya ityarthaḥ /	viSezaNa yoge vA saH api BAvaH syAt na nirUpa AKyaH iti arTaH /
   viśeṣaṇayogamabhāvasyābhyupetyāha nāpyabhāvaḥ kasyacidutpattiheturiti /	viSezaNa yogam aBAvasya aByupetya aha  na api aBAvaH kasyacid utpatti hetuH iti /
   api ca yadyenānanvitaṃ na tattasya vikāraḥ, yathā ghaṭaśarāvodañcānādayo	api ca yadi ena ananvitam na tat tasya vikAraH, yaTA Gawa SarAva udaQca AnAdayaH 
   hemnānanvitā na hemavikāraḥ /	hemnAn anvitA na hema vikAraH /
   ananvitāścaite vikārā abhāvena /	ananvitAH ca ete vikArAH aBAvena /
   tasmānnābhāvavikāraḥ /	tasmAt na aBAva vikAraH /
   bhāvavikārastu te, bhāvasya tenānvitatvādityāha abhāvācca bhāvotpattāviti	BAva vikAraH tu te, BAvasya tena anvita tvAt iti Aha a BAvAt ca BAva utpattO= iti
   abhāvakāraṇavādino vacanamanubhāṣya dūṣayati yattūktamiti /	aBAva kAraNa vAdinaH vacanam anuBAzya dUzayati yat tu uktam iti /
   sthiro 'pi bhāvaḥ kramavatsahakārisamavadhānāt krameṇa kāryāṇi karoti /	sTiraH api BAvaH krama vat sahakAri samavaDAnAt krameNa kAryANi karoti /
   na cānupakārakāḥ sahakāriṇaḥ /	na ca anupakArakAH sahakAriNaH /
   sa cāsya sahakāribhirādhīyamānā upakāro na bhinno nāpyabhinnaḥ /	sa ca asya sahakAriBiH ADIyamAnAH upakAraH na BinnaH na api aBinnaH /
   kintvanirvācya eva /	kintva nirvAcyaH eva /
   anirvācyācca kāryamapyanirvācyameva jāyate /	anirvAcyAt ca kAryam api anirvAcyam eva jAyate /
   na caitāvatā sthirasyākāraṇatvaṃ, tadupādānatvātkāryasya,	na ca etAvatA sTirasya akAraNa tvan, tad upAdAna tvAt kAryasya,
   rajjūpādānatvamiva bhujaṅgasyetyuktam /	rajju upAdAna tvam iva BujaFgasya iti uktam /
   tathā ca śrutiḥ 'mṛttiketyeva satyam'iti /	taTA ca SrutiH  amRttikA iti eva satyam aiti /
   apica ye 'pi sarvato vilakṣaṇāni svalakṣaṇāni vastusantyāsthiṣata,	api ca ye api sarvatas vilakzaNAni sva lakzaNAni vastu santyA asTizata,
   teṣāmapi kimiti bījajātīyebhyo 'ṅkurajātīyānyeva jāyante kāryāṇi, natu	tezAm api kim iti bIja jAtIyeByaH aFkura jAtIyAni eva jAyante kAryANi, na tu
   kramelakajātīyāni /	kramelaka jAtIyAni /
   nahi bījādbījāntarasya vā kramelakasya vātyantavailakṣaṇye kaścidviśeṣaḥ /	na hi bIjAt bIja antarasya vA kramelakasya vA atyanta vElakzaNye kaScid viSezaH /
   naca bījāṅguratve sāmānye paramārthasatī, yenaitayorbhāvikaḥ	na ca bIja aFgura tve sAmAnye parama arTa satI, yena etayoH BAvikaH
   kāryakāraṇabhāvo bhavet /	kArya kAraNa BAvaH Bavet /
   tasmātkālpanikādeva	tasmAt kAlpanikAt eva
   svalakṣaṇopādānādbījajātīyāttathāvidhasyaivāṅgurajātīyasyotpattiniyama	sva lakzaNa upAdAnAt bIja jAtIyAt taTAviDasya eva aFgura jAtIyasya utpatti niyama
   āstheyaḥ /	AsTeyaH /
   anyathā	anyaTA
   kāryahetukānumānocchedaprasaṅgaḥ /	kArya hetuka anumAna ucCeda prasaFgaH /
   diṅmātrasya sūcitam /	diS mAtrasya sUcitam /
   prapañcastu brahmatatvasamīkṣānyāyakaṇikayoḥ kṛta iti neha pratanyate	prapaQcaH tu brahma tatva samIkzA nyAya kaNikayoH kRtaH iti na iha pratanyate
   vistarabhayāt //26//	vistara BayAt //26//
   START BsVBh_2,2.5.27	START BsVBh_2,2.5.27
   udāsīnānāmapi caivaṃ siddhiḥ | BBs_2,2.27 |	udAsInAnAm api ca evam sidDiH | BBH _2,2.27 |
   bhāṣyamasya sugamam //27//	BAzyam asya sugamam //27//
   START BsVBh_2,2.5.28	START BsVBh_2,2.5.28
   nābhāva upalabdheḥ | BBs_2,2.28 |	na aBAvaH upalabDeH | BBH _2,2.28 |
   pūrvādhikaraṇasaṃgatimāha  evamiti /	pUrva aDikaraNa saMgati mAha  evam iti /
   bāhyārthavādibhyo vijñānamatravādināṃ sugatābhipretatayā	bAhya arTa vAdiByaH vijQAnam atra vAdinAm sugata aBipreta tayA
   viśeṣamāha keṣāñcitkileti /	viSeza mAha kezAQcitkila iti /
   atha pramātā pramāṇaṃ prameyaṃ pramitiriti hi catasṛṣu vidhāsu	aTa pramAtA pramANam prameyam pramitiH iti hi catasRzu viDAsu
   tatvaparisamāptirāsāmanyatamābhāve 'pi tattvasyāvyavasthānāt /	tatva parisamApti H AsAm anyatama aBAve api tattvasya avyavasTAnAt /
   tasmādanena vijñānaskandhamātraṃ tattvaṃ vyavasthāpayatā catasro vidhā	tasmAt anena vijQAna skanDa mAtram tattvam vyavasTApayatA catasraH viDA
   eṣitavyāḥ, tathāca na vijñānaskandhamātraṃ tattvam /	ezitavyAH, taTA ca na vijQAna skanDa mAtram tattvam /
   nahyasti saṃbhavo vijñānamātraṃ catasro vidhāścetyata āha  tasmiṃśca	na hi asti saMBavaH vijQAna mAtram catasraH viDAH ca iti atas Aha  tasmin= ca
   vijñānavāde buddhyārūḍhena rūpeṇeti /	vijQAna vAde budDi ArUXena rUpeNa iti /
   yadyapyanubhavānnānyo 'nubhāvyo 'nubhavitānubhavanaṃ, tathāpi	yadi api anuBavAn na anyaH anuBAvyaH anuBavita anuBavanaM, taTA api
   buddhyārūḍhena buddhiparikalpitenāntastha evaiṣa	budDi ArUXena budDi parikalpitena antasTaH eva eza
   pramāṇaprameyaphalavyavahāraḥ pramātṛvyavahāraścetyapi draṣṭavyam /	pramANa prameya Pala vyavahAraH pramAtR vyavahAraH ca iti api drazwavyam /
   na pāramārthika ityarthaḥ /	na pAramArTikaH iti arTaH /
   evaṃ ca siddhasādhanam /	evam ca sidDa sADanam /
   na hi brahmavādino nīlādyākārāṃ vittimabhyupagacchanti, kintvanirvacanīyaṃ	na hi brahma vAdinaH nIla Adi AkArAm vittim aByupagacCanti, kintvanirvacanIyam
   nīlādīti /	nIla Adi iti /
   tathāhi svarūpaṃ vijñānasyāsatyākārayuktaṃ prameyaṃ prameyaprakāśanaṃ	taTA hi svarUpam vijQAnasya asati a AkAra yuktam prameyam prameya prakASanam
   pramāṇaphalaṃ, tatprakāśanaśaktiḥ pramāṇam /	pramANa Palan, tad prakASana SaktiH pramANam /
   bāhyavādinorapi vaibhāṣikasautrāntikayoḥ kālpanika eva	bAhya vAdinoH api vEBAzika sOtra antikayoH kAlpanikaH eva
   pramāṇaphalavyavahāro 'bhimata ityāha  satyapi bāhyer'tha iti /	pramANa Pala vyavahAraH aBimataH iti Aha  sati api bAhyer aTa iti /
   bhinnādhikaraṇatve hi pramāṇaphalayostadbhāvo na syāt /	Binna aDikaraNa tve hi pramANa PalayoH tad BAvaH na syAt /
   nahi khadiragocare paraśau palāśe dvaidhībhāvo bhavati /	na hi Kadira gocare paraSO palASe dvEDIBAvaH Bavati /
   tasmādanayoraikādhikaraṇyaṃ vaktavyam /	tasmAt anayoH Eka ADikaraNyam vaktavyam /
   kathaṃ ca tadbhavati /	kaTam ca tat Bavati /
   yadi jñānasthe eva pramāṇaphale bhavataḥ /	yadi jQAna sTe eva pramANa Pale BavataH /
   na ca jñānaṃ svalakṣaṇamanaṃśamaṃśābhyāṃ vastusadbhyāṃ yujyate /	na ca jQAnam sva lakzaNam anaMSam aMSAByAm vastu sadByAm yujyate /
   tadeva jñānamajñānavyāvṛttikalpitajñānatvāṃśaṃ phalam /	tat eva jQAnam ajQAna vyAvRtti kalpita jQAna tva aMSam Palam /
   aśaktivyāvṛttiparikalpitātmānātmaprakāśanaśaktyaṃśaṃ pramāṇam /	aSakti vyAvRtti parikalpita AtmAna Atma prakASana Sakti aMSam pramANam /
   prameyaṃ tvasya bāhyameva /	prameyam tu asya bAhyam eva /
   evaṃ sautrāntikasamaye 'pi /	evam sOtra antika samaye api /
   jñānasyārthasārūpyamanīlākāravyāvṛttyā kalpitanīlākāratvaṃ pramāṇaṃ	jQAnasya arTa sArUpyam anIla AkAra vyAvRttyA kalpita nIla AkAra tvam pramANam
   vyavasthāpanahetutvāt /	vyavasTApana hetu tvAt /
   ajñānavyāvṛttikalpitaṃ ca jñānatvaṃ phalaṃ vyavasthāpyatvāt /	ajQAna vyAvRtti kalpitam ca jQAna tvam Palam vyavasTApya tvAt /
   tathā cāhuḥ  'nahi	taTA ca AhuH   anahi
   vittisattaiva tadvedanā yuktā, tasyāḥ sarvatrāviśeṣāt /	vitti sattA eva tad vedanA yuktA, tasyAH sarvatra aviSezAt /
   tāṃ tu sārūpyamāviśatsarūpayattadghaṭayet'iti /	tAm tu sArUpyam AviSat sarUpayat tat Gawayet aiti /
   praśnapūrvakaṃ bāhyārthābhāva upapattīrāha  kathaṃ punaravamyata iti /	praSna pUrvakam bAhya arTa aBAvaH upapattIrAha   kaTam punar avamyate iti /
   sa hi vijñānālambanatvābhimato bāhyor'thaḥ paramāṇustāvanna saṃbhavati /	sa hi vijQAna Alambanatva aBimataH bAhyor aTaH paramANuH tAvat na saMBavati /
   ekasthūlanīlābhāsaṃ hi jñānaṃ na paramasūkṣmaparamāṇvābhāsam /	eka sTUla nIla ABAsam hi jQAnam na parama sUkzma paramANu ABAsam /
   na cānyābhāsamanyagocaraṃ bhavitumarhati /	na ca anya ABAsamanya gocaram Bavitum arhati /
   atiprasaṅgena sarvagocaratayā sarvasarvajñatvaprasaṅgāt /	atiprasaFgena sarva gocara tayA sarva sarvajQa tva prasaFgAt /
   na ca pratibhāsadharmaḥ sthaulyamiti yuktam /	na ca pratiBAsa DarmaH sTOlyam iti yuktam /
   vikalpāsahatvāt /	vikalpa asaha tvAt /
   kimayaṃ pratibhāsasya jñānasya dharma uta pratibhāsanakāler'thasya dharmaḥ	kim ayam pratiBAsasya jQAnasya DarmaH uta pratiBAsana kAler aTasya DarmaH
   yadi pūrvaḥ kalpaḥ, addhā, tathāsati hi svāṃśālambanameva	yadi pUrvaH kalpaH, adDA, taTA asati hi sva aMSa Alambanam eva
   vijñānamabhyupetaṃ bhavati /	vijQAnam aByupetam Bavati /
   evaṃ ca kaḥ pratikūlībhavatyanukūlamācarati /	evam ca kaH pratikUlIBavati anukUlam Acarati /
   dvitīya iti cet /	dvitIyaH iti ced /
   tathā hi  rūpaparimāṇava eva	taTA hi   rUpa parimANavaH eva
   nirantaramutpannā ekavijñānopārohiṇaḥ sthaulyam /	nirantaram utpannAH eka vijQAna upArohiNaH sTOlyam /
   na cātra kasyacidbhrāntatā /	na ca atra kasyacid BrAnta tA /
   nahi na te rūpaparamāṇavaḥ /	na hi na te rUpa paramANavaH /
   naca na nirantaramutpannāḥ /	na ca na nirantaram utpannAH /
   na caikavijñānānupārohiṇaḥ /	na ca eka vijQAnAnupArohiNaH /
   tena mā bhūnnīlatvādivatparamāṇudharmaḥ, pratyekaṃ paramāṇuṣvabhāvāt /	tena mA BUt nIla tva Adi vat paramANu DarmaH, pratyekam paramANuzu aBAvAt /
   pratibhāsadaśāpannānāṃ tu teṣāṃ bhaviṣyati bahutvādivatsāṃvṛtaṃ sthaulyam	pratiBA sadaSA ApannAnAm tu tezAm Bavizyati bahu tva Adi vat sAMvRtam sTOlyam
   yathāhuḥ  'grahe 'nekasya caikena kiñcidrūpaṃ hi gṛhyate /	yaTA AhuH   agrahe anekasya ca ekena kiQcid rUpam hi gRhyate /
   sāṃvṛtaṃ pratibhāsasthaṃ tadekātmanyasaṃbhavāt //1//	sAMvRtam pratiBAsa sTam tat eka Atmani asaMBavAt //1//
   naca taddarśanaṃ bhrāntaṃ nānāvastugrahādyataḥ /	na ca tad darSanam BrAntam nAnA vastu grahAt yatas /
   sāṃvṛtaṃ grahaṇaṃ nānyanna ca vastugraho bhramaḥ //2//	sAMvRtam grahaNam na anyat na ca vastu grahaH BramaH //2//
   'iti /	aiti /
   tanna /	tat na /
   nairantaryāvabhāsasya bhrāntatvāt /	nErantarya avaBAsasya BrAnta tvAt /
   gandharasasparśaparamāṇvantaritā hi te rūpaparamāṇavo na nirantarāḥ	ganDa rasa sparSa paramANu antaritAH hi te rUpa paramANavaH na nirantarAH
   tasmādārātsāntareṣu vṛkṣeṣvekadhanavanapratyayavadeṣa sthūlapratyayaḥ	tasmAt ArAt sa antarezu vRkzezu eka Dana vana pratyaya vat eza sTUla pratyayaH
   paramāṇuṣu sāntareṣu bhrānta eveti paśyāmaḥ /	paramANuzu sAntarezu BrAntaH eva iti paSyAmaH /
   tasmāt kalpanāṣoḍhatve 'pi bhrāntatvādghaṭādipratyayasya	tasmAt kalpanA zoXa tve api BrAnta tvAt Gawa Adi pratyayasya
   pītaśaṅkhādijñānavanna pratyakṣatā paramāṇugocaratvābhyupagame /	pIta SaFKa Adi jQAna vat na pratyakzatA paramANu gocara tva aByupagame /
   tadidamuktam,na tāvatparamāṇavaḥ	tat idam ukta m,na tAvat paramANavaH
   stambhādipratyayaparicchedyā bhavitumarhanti /	stamBa Adi pratyaya paricCedyAH Bavitum arhanti /
   nāpi tatsamūhā vā stambhādayo 'vayavinaḥ /	na api tad samUhAH vA stamBa AdayaH avayavinaH /
   teṣāmabhede paramāṇubhyaḥ paramāṇava eva /	tezAm aBede paramANuByaH paramANavaH eva /
   tatra coktaṃ dūṣaṇam /	tatra ca uktam dUzaNam /
   bhede tu gavāśvasyevātyantavailakṣaṇyamiti na tādātmyam /	Bede tu gavASvasi A iva atyanta vElakzaNyam iti na tAdAtmyam /
   samavāyaśca nirākṛta iti /	samavAyaH ca nirAkRtaH iti /
   evaṃ bhedābhedavikalpena jātiguṇakarmādīnapi pratyācakṣīta /	evam Beda aBeda vikalpena jAti guNa karma AdIn api pratyAcakzIta /
   tasmādyadyatpratibhāsate tasya sarvasya vicārāsahatvāt,	tasmAt yat yat pratiBAsate tasya sarvasya vicAra asaha tvAt,
   apratibhāsamānasadbhāve ca pramāṇābhāvānna bāhyālambanāḥ pratyayā iti /	apratiBAsamAna sadBAve ca pramANa aBAvAt na bAhya AlambanAH pratyayAH iti /
   api ca na tāvadvijñānamindriyavannilīnamarthaṃ pratyakṣayitumarhati /	api ca na tAvat vijQAnam indriya vat nilInam arTam pratyakzayitum arhati /
   nahi yathendriyamarthaviṣayaṃ jñānaṃ janayatyevaṃ vijñānamaparaṃ vijñānaṃ	na hi yaTA indriyam arTa vizayam jQAnam janayati evam vijQAnam aparam vijQAnam
   janayitumarhati /	janayitum arhati /
   tatrāpi samānatvādanuyogasyānavasthāprasaṅgāt /	tatra api samAna tvAt anuyogasya anavasTA prasaFgAt /
   na cārthādhāraṃ prākaṭyalakṣaṇaṃ phalamādhātumutsahate /	na ca arTa ADAram prAkawya lakzaNam Palam ADAtum utsahate /
   atītānāgateṣu tadasaṃbhavāt /	atIta anAgatezu tad asaMBavAt /
   nahyasti saṃbhavo 'pratyutpanno dharmī dharmāścāsya pratyutpannā iti /	na hi asti saMBavaH apratyutpannaH DarmI DarmAH ca asya pratyutpannAH iti /
   tasmājjñānasvarūpapratyakṣataivārthapratyakṣatābhyupeyā /	tasmAt jQAna svarUpa pratyakzatA eva arTa pratyakza tA aByupeyAH /
   taccānākāraṃ sadājānato bhedābhāvāt kathamarthabhedaṃ vyavasthāpayediti	tat ca anAkAram sat AjAnataH Beda aBAvAt kaTam arTa Bedam vyavasTApayet iti
   tadbhedavyavasthāpanāyākārabhedo 'syaiṣitavyaḥ /	tad Beda vyavasTApanAya AkAra BedaH asya ezitavyaH /
   taduktam  'na hi vittisattaiva tadvedanā yuktā, tasyāḥ sarvatrāviśeṣāt /	tat uktam   ana hi vitti sattA eva tad vedanA yuktA, tasyAH sarvatra aviSezAt /
   tāṃ tu sārūpyamāviśatsarūpayattadghaṭayet'iti /	tAm tu sArUpyam AviSat sarUpayat tat Gawayet aiti /
   ekaścāyamākāro 'nubhūyate /	ekaH ca ayam AkAraH anuBUyate /
   sa cedvijñānasya nārthasadbhāve kiñcana	sa ced vijQAnasya na arTa sadBAve kiQcana
   pramāṇamastītyāha  apicānubhavamātreṇa sādhāraṇātmano jñānasyeti /	pramANam asti iti Aha  a picAnu Bava mAtreNa sADAraNa AtmanaH jQAnasya iti /
   api ca sahopalambhaniyamāditi /	api ca saha upalamBa niyamAt iti /
   yadyena saha niyatasahopalambhanaṃ tattato na bhidyate,	yat yena saha niyata saha upalamBanam tat tatas na Bidyate,
   yathaikasmāccandramaso dvitīyaścandramāḥ /	yaTA ekasmAt candramasaH dvitIyaH candramAH /
   niyatasahopalambhanaścārtho jñāneneti vyāpakaviruddhopalabdhiḥ /	niyata saha upalamBanaH ca arTaH jQAnena iti vyApaka virudDa upalabDiH /
   niṣedhyo hi bhedaḥ sahopalambhāniyamena vyāpto yathā bhinnāvaśvinau	nizeDyaH hi BedaH saha upalamBa aniyamena vyAptaH yaTA BinnO= aSvinO
   nāvaśyaṃ sahopalabhyete kadācidabhrāpidhāne 'nyatarasyaikasyopalabdheḥ /	na avaSyam saha upalaByete kadAcid aBra apiDAne anyatarasya ekasya upalabDeH /
   so 'yamiha bhedavyāpakāniyamavirūddho niyama upalabhyamānastadvyāpyaṃ	saH ayam iha Beda vyApakAn iyama virUdDaH niyamaH upalaByamAnaH tat vyApyam
   bhedaṃ nivartayatīti /	Bedam nivartayati iti /
   taduktam  'sahopalambaniyamādabhedo nīlataddhiyoḥ /	tad uktam   asaha upalamba niyamAt aBedaH nIla tad DiyoH /
   bhedaśca bhrāntivijñānairddṛśyatendāvivādvaye //	BedaH ca BrAnti vijQAnEH ddRSyata indO= iva advaye //
   'iti /	aiti /
   svapnādivaccedaṃ draṣṭavyam /	svapna Adi vat ca idam drazwavyam /
   yo yaḥ pratyayaḥ sa sarvo bāhyānāvambanaḥ, yathā svapnamāyādipratyayaḥ,	yaH yaH pratyayaH sa sarvaH bAhyAnAvambanaH, yaTA svapna mAyA Adi pratyayaH,
   tathā	taTA
   caiṣa vivādādhyāsitaḥ pratyaya iti svabhāvahetuḥ /	ca eza vivAda aDyAsitaH pratyayaH iti svaBAva hetuH /
   bāhyānālambanatā hi pratyayatvamātrānubandhinī vṛkṣateva	bAhya anAlambanatA hi pratyaya tva mAtra anubanDinI vRkzatA iva
   śiṃśapātvamātrānubandhinīti tanmātrānubandhini nirālambanatve sādhye	SiMSapAtu amAtra anubanDinI iti tanmAtra anubanDini nirAlambana tve sADye
   bhavati pratyayatvaṃ svabhāvahetuḥ /	Bavati pratyaya tvam svaBAva hetuH /
   atrāntare sautrāntikaścodayati  kathaṃ punarasati bāhyer'the nīlamidaṃ	atra antare sOtra antikaH codayati   kaTam punar asati bAhyer aTe nIlam idam
   pītamityādipratyayavaicitryamupapadyate /	pItam ityAdi pratyaya vEcitryam upapadyate /
   sa hi mene ye yasmin satyapi kādācitkāste sarve tadatiriktahetusāpekṣāḥ,	sa hi mene ye yasmin sati api kAdAcid kAH te sarve tad atirikta hetu sApekzAH,
   yathāvivakṣatyajigamiṣati mayi vacanagamanapratibhāsāḥ	yaTA avivakzati ajigamizati mayi vacana gamana pratiBAsAH
   pratyayāścetanasaṃtānāntarasāpekṣāḥ /	pratyayAH cetana saMtAna antara sApekzAH /
   tathā ca vivādādhyāsitāḥ satyapyālayavijñānasaṃtāne ṣaḍapi	taTA ca vivAda aDyAsitAH sati api Alaya vijQAna saMtAne zaz api
   pravṛttipratyayā iti svabhāvahetuḥ /	pravRtti pratyayAH iti svaBAva hetuH /
   yaścāsāvālayavijñānasaṃtānātiriktaḥ kādācitkapravṛttijñānabhedahetuḥ sa	yaH ca asO= Alaya vijQAna saMtAna atiriktaH kAdAcid ka pravRtti jQAna Beda hetuH sa
   bāhyor'thaṃ iti /	bAhyor aTam iti /
   vāsanāparipākapratyayakādācitkatvāt kadācidutpāda iti cet /	vAsanA paripAka pratyaya kAdAcitka tvAt kadAcid utpAdaH iti ced /
   nanvekasaṃtatipatitānāmālayavijñānānāṃ	nanu eka saMtati patitAnAm Alaya vijQAnAnAm
