   atha tṛtīyo 'dhyāyaḥ /	aTa tRtIyaH aDyAyaH /
   pūrvadevatābhya iti gamyate taṇḍulāniti tvavivakṣitaṃ havirubhayatvāvat /	pUrva devatAByaH iti gamyate taNxulAn iti tu avivakzitam haviH uBaya tvAvat /
   tathā ca ye madhyamā ityādīni vākyānyapanīte pūrvavat devatāsaṃbandhe	taTA ca ye maDyamA ityAdIni vAkyAni apanIte pUrvavat devatA saMbanDe
   haviṣastasminneva karmaṇyapratyūhaṃ devatāntarasaṃbandhaṃ vidhātuṃ	havizaH tasmin= eva karmaNi apratyUham devatA antara saMbanDam viDAtum
   śaknuvanti /	Saknuvanti /
   tathāca dravyamukhena prakṛtamukhapratyabhijñānāt devatāntarasaṃbandhe 'pi	taTA ca dravya muKena prakRta muKa pratyaBijQAnAt devatA antara saMbanDe api
   na karmāntarakalpanābhavitumarhati /	na karma antara kalpanA Bavitum arhati /
   tataśca samāpte 'pi naimittikādhikārasiddhyarthaṃ tānyeva punaḥ	tatas ca samApte api nEmittika aDikAra sidDi arTam tAni eva punar 
   karmāṇyanuṣṭheyāni /	karmANi anuzWeyAni /
   naca dadhani carumiti carusaptamyarthayorvidhānaṃ tayorapyarthaprāptatvāt	na ca daDani carum iti caru saptamI arTayoH viDAnam tayoH api arTa prApta tvAt 
   prakṛte hi karmaṇi taṇḍulapeṣaṇaprathanaṃ puroḍāśapākādi dadhipayasī ca	prakRte hi karmaNi taNxula pezaNa praTanam puroxASa pAka Adi daDi payasI ca
   prāptāni tatrābhyudayanimitte dadhiyuktānāṃ payoyuktānāṃ ca taṇḍulānāṃ	prAptAni tatra aByudaya nimitte daDi yuktAnAm payaH yuktAnAm ca taNxulAnAm
   vibhajediti vākyena pūrvadevatāpanayaṃ kṛtvā ye madhyamā	viBajet iti vAkyena pUrva devatA apanayam kRtvA ye maDyamA
   ityādibhirvākyairdevatāntarasaṃbandhaḥ kṛtaḥ /	ityAdiBiH vAkyEH devatA antara saMbanDaH kRtaH /
   naca prabhūtadhipayaḥ saṃsaktairalpaistaṇḍulaiḥ puroḍāśakriyā saṃbhavati /	na ca praBUta DipayaH saMsaktEH alpEH taNxulEH puroxASa kriyA saMBavati /
   iti puroḍāśanivṛttau tadarthasya prathanasyāpi nivṛttiranivṛttastu pāko	iti puroxASa ni vRttO tad arTasya praTanasya api nivRttiH anivRttaH tu pAko
   'pavādābhāvāttathā cārthaprāptaścodyate /	apavAda aBAvAt taTA ca arTa prAptaH codyate /
   bhavatu vā anekavākyakalpanam /	Bavatu vE aneka vAkya kalpanam /
   prakṛtādhikārāvagamabalādasyāpi nyāyyatvāditi /	prakRta aDikAra avagama balAt asya api nyAyya tvAt iti /
   tasmāttadevedaṃ karma na tu karmāntaramiti siddham /	tasmAt tat eva idam karma na tu karma antaram iti sidDam /
   paśukāmavākye	paSu kAma vAkye
   tvapūrvakarmavidhirabhyudayavākyasārūpye 'pi /	tu apUrva karma viDiH aByudaya vAkya sArUpye api /
   'yaḥ paśukāmaḥ syātso 'māvāsyāmiṣṭvā vatsānapākuryādye	ayaH paSu kAmaH syAt saH amAvAsyAm izwvA vatsa an apAkurya At ye
   sthaviṣṭhāstānagnaye sanimate 'ṣṭhākapālaṃ nirvapedye madhyamāstān viṣṇave	sTavizWAH tAn agnaye sa nimate azWA kapAlam nirvapedye maDyamAH tAn vizNave
   śipiviṣṭāya śṛte caruṃ ye kṣodiṣṭhāstanindrāya pradātre dadhaṃścarum'iti /	SipivizwAya SRte carum ye kzodizWAH tanindrAya pradAtre daDan= carum aiti /
   atra hi amāvāsyāmiṣṭveti samāpte yāge paśukāmeṣṭividhānaṃ nātra pūrvasya	atra hi amAvAsyAm izwvA iti samApte yAge paSu kAma izwi viDAnam na atra pUrvasya
   karmaṇo 'nanuvṛtteryāgāntaravidhiriti yuktam /	karmaNaH ananu vRtteH yAga antara viDiH iti yuktam /
   parovarīyastvādivat /	paras varIyaH tu Adi vat /
   yathodgīthopāsanāsāmye 'pi	yaTA udgITa upAsanA sAmye api
   ādityagatahiraṇyaśmakṣutvādiguṇaviśiṣṭodgīthopāsanātaḥ	Aditya gata hiraNyaSma kzu tvA Adi guNa viSizwa udgITa upAsanAtaH
   parovarīyastvaguṇaviśiṣṭodgīthopāsanā bhinnā tadvadidamapīti /	paras varIyaH tu aguNa viSizwa udgITa upAsanA BinnA tadvat idam api iti /
   parasmāt paro varācca varīyāniti parovarīyānudgīthaḥ paramātmarūpaḥ	parasmAt paraH varAt ca varIyAn iti paras varIyAn udgITaH paramAtma rUpaH
   saṃpannaḥ /	saMpannaH /
   ata eva anantaḥ /	atas eva anantaH /
   paramātmadṛṣṭimudgīthe bhavayitum 'ākāśo hyevaibhyo bhūtebhyo	paramAtma dRzwi mudgITe Bavayitum aAkASaH hi eva eByaH BUteByaH 
   jyāyān'ityākāśaśabdena paramātmānaṃ nirdiśati //7//	jyAyAn aiti a AkASa Sabdena paramAtmAnam nirdiSati //7//
   START BsVBh_3,3.3.8	START BsVBh_3,3.3.8
   saṃjñātaś cet tad uktam asti tu tad api | BBs_3,3.8 |	saMjQAtaH ced tat uktam asti tu tat api | BBH _3,3.8 |
   sphuṭatare bhedāvagame saṃjñaikatvaṃ nābhedasādhanamatiprasaṅgapātāt /	sPuwatare Beda avagame saMjQA eka tvam nABeda sADanam ati prasaFga pAtAt /
   apica śrutyakṣarālocanayāṃ bhedapratyayo 'ntaraṅgaścānapekṣaśca /	api ca Sruti akzara AlocanayAm Beda pratyayaH antaraFgaH ca anapekzaH ca /
   saṃjñaikatvaṃ tu śrutibāhyatayā bahiraṅgaṃ ca pauruṣeyatayā sāpekṣaṃ ca /	saMjQA eka tvam tu Sruti bAhya tayA bahis aFgam ca pOruzeya tayA sa apekzam ca /
   tasmādurbalaṃ nāmedasādhanāyālamiti //8//	tasmAt urbalam nAma ida sADanAya alam iti //8//
   START BsVBh_3,3.4.9	START BsVBh_3,3.4.9
   vyāpteś ca samañjasam | BBs_3,3.9 |	vyApteH ca samaQjasam | BBH _3,3.9 |
   adhyāso nāmeti /	aDyAsaH nAma iti /
   gauṇī buddhiradhyāsaḥ /	gONI budDiH aDyAsaH /
   yathā māṇavake 'nivṛttāyāmeva māṇavakabuddhivyapadeśavṛttau	yaTA mANavake anivRttAyAm eva mANavaka budDi vyapadeSa vRttO
   siṃhabuddhivyapadeśavṛttiḥ siṃho māṇavaka iti, evaṃ pratimāyāṃ	siMha budDi vyapadeSa vRttiH siMhaH mANavakaH iti, evam pratimAyAm
   vāsudevabuddhirnāmni ca brahmabuddhistathoṅkāra udgīthabuddhivyapadeśāviti	vAsudeva budDiH nAmni ca brahmabudDiH taTA uFkAraH udgITa budDi vyapadeSO= iti
   apavādaikatvaviśeṣaṇāni	apavAda ekatva viSezaNAni
   coktāni /	ca uktAni /
   ekārthe 'pi ca śabdadvayaprayogo dṛśyate /	eka arTe api ca Sabda dvaya prayogaH dRSyate /
   yathā vaiśvadevyāmikṣā vijñānamānandam /	yaTA vESvadevyAm ikzA vijQAnam Anandam /
   vyākhyāyāṃ ca paryāyāṇamapi sahaprayogo yathā sindhuraḥ karī pikaḥ kokila	vyAKyAyAm ca paryAyANam api saha prayogaH yaTA sinDuraH karI pikaH kokila
   iti /	iti /
   vimṛśyānadhyavasāyalakṣaṇaṃ pakṣaṃ gṛhṇāti 	vimRSya anaDyavasAya lakzaNam pakzam gRhNAti 
   tatrānyatama iti /	tatra anyatamaH iti /
   siddhāntamāha idamucyate 	sidDAntam Aha idam ucyate 
   vyāpteśca /	vyApteH ca /
   pratyanuvākaṃ pratyṛcamupakrame ca samāptau cokāraḥ sardavedavyāpīti	pratyanuvAkam pratyRcam upakrame ca samAptO ca ukAraH sarda veda vyApI iti
   kiṅgato 'yamoṅkārastattadāpyādiguṇaviśiṣṭastasmai tasmai	kiFgataH ayam oFkAraH tad tadA api Adi guNa viSizwaH tasmE tasmE
   kāmāvāptyādiphalāyopāsyatvenādhikriyata ityapekṣāyāmudgīthapadeneti	kAma avApti Adi PalAya upAsya tvena aDikriyate iti apekzAyAm udgITa padena iti
   viśiṣyate /	viSizyate /
   udgīthapadenokārādyavayavaghaṭitasāmabhaktibhedābhidhāyinā	udgITa padena ukAra Adi avayava Gawita sAma Bakti Beda aBiDAyinA
   samudāyasyāvayavabhāvānupapattestatsaṃbandhavayava oṅkāro lakṣyate, na	samudAyasya avayava BAva anupapatteH tad saMbanDa vayavaH oFkAraH lakzyate, na
   punaroṅkāreṇāvayavina udgīthasya lakṣaṇā /	punar oFkAreNa avayavinaH udgITasya lakzaNA /
   oṅkārasyaivopariṣṭāttu tattadguṇaviśiṣṭasya tattatphalaviśiṣṭasya	oFkArasya eva uparizwAt tu tad tad guNa viSizwasya tad tad Pala viSizwasya
   copavyākhyāsyamānatvāt /	ca upavyAKyAsyamAna tvAt /
   dṛṣṭaśca samudāyaśabdo 'vayave lakṣaṇayā yathā grāmo dagdhaḥ paṭo dagdha	dRzwaH ca samudAya SabdaH avayave lakzaNayA yaTA grAmaH dagDaH pawaH dagDa
   iti tadekadeśadāhe /	iti tad eka deSa dAhe /
   adhyāse tu lakṣaṇā phalakalpanā ca /	aDyAse tu lakzaNA Pala kalpanA ca /
   tathāhi āptyādiguṇakapraṇavopāsanādidamudgīthatopāsanaṃ praṇavasyānyat /	taTA hi Apti Adi guNaka praNava upAsanAt idamudgITa tA upAsanam praNavasya anyat /
   nacātrāpyādi upāsaneṣviva phalaṃ śrūyate /	na ca atra api Adi upAsanezu iva Palam SrUyate /
   tasmāt kalpanīyam /	tasmAt kalpanIyam /
   udgīthasaṃbandhipraṇavopāsanādhikārapare vākye nāyaṃ doṣaḥ /	udgITa saMbanDi praNava upAsana aDikAra pare vAkye na ayam dozaH /
   apica gauṇyā vṛtterlakṣaṇāvṛttirbalīyasī lāghavāt /	api ca gONyA vRtteH lakzaNAvRttiH balIyasI lAGavAt /
   lakṣaṇāyā hi lakṣaṇīyaparatvaṃ padasya tasyaiva vākyārthāntarbhāvāt /	lakzaNAyAH hi lakzaNIya para tvam padasya tasya eva vAkya arTa antarBAvAt /
   yathā gāṅgāyāṃ ghoṣa iti lakṣyamāṇasya tīrasya vākyārthe 'ntarbhāvo	yaTA gAFgAyAm GozaH iti lakzyamANasya tIrasya vAkya arTe antarBAvaH 
   'dhikaraṇatayā /	aDikaraNa tayA /
   gaurvāhīka ityatra tu gosaṃbandhitīṣṭhanmūtrapurīṣādilakṣaṇayā na	gOH vAhIkaH iti atra tu go saMbanDi tIzWat mUtra purIza Adi lakzaNayA na
   tatparatvaṃ gośabdasya /	tad paratvam go Sabdasya /
   apitu tatkakṣādhyavasitatadguṇayuktavāhīkaparatvamiti gauṇyā	api tu tad kakzA aDya vasita tad guNa yukta vAhIka paratvam iti gONyA
   vṛtterdurbalatvaṃ tadidamuktaṃ lakṣaṇāyāmapi tviti /	vRtteH durbala tvam tat idam uktaM lakzaNAyAm api tu iti /
   gauṇyapi vṛttirlakṣaṇāvayavatvāllakṣaṇoktā /	gONI api vRttiH lakzaNa avayava tvAt lakzaNa uktAH /
   yadyapi	yadi api
   vaiśvadevīpadamāmikṣāyāṃ pravartate tathāpyarthamedaḥ sphuṭataraḥ /	vESvadevI padam AmikzAyAm pravartate taTA api arTa medaH sPuwataraH /
   āmikṣāpadaṃ hi rūpeṇāmikṣāyāṃ pravartate /	AmikzA padam hi rUpeNa AmikzAyAm pravartate /
   vaiśvadevīpadaṃ tu tasyāmeva viśvadevaviśiṣṭāyām /	vESvadevI padam tu tasyAm eva viSvadeva viSizwAyAm /
   evaṃ hi vijñānāndayorapi sphuṭataraḥ pravṛttinimittabhedaḥ satyapi	evam hi vijQAnAn dayoH api sPuwataraH pravRtti nimitta BedaH sati api
   brahmaṇyaikārthye /	brahmaNi A ekArTye /
   naca vyākhyānamubhayorapi prasiddhārthatvādbhinnārthatvācca /	na ca vyAKyAnam uBayoH api prasidDa arTa tvAt Binna arTa tvAt ca /
   śeṣamatirohitārtham //9//	Sezam ati rohita arTam //9//
   START BsVBh_3,3.5.10	START BsVBh_3,3.5.10
   sarvābhedādanyatreme | BBs_3,3.10 |	sarva aBedAt anyatra ime | BBH _3,3.10 |
   sarvābhedādanyatreti /	sarva aBedAt anyatra iti /
   evaṃśabdasya	evaMSabdasya
   sannihitaprakārabhedaparāmarśārthatvātsākṣācchabdopasthāpitasya ca	sannihita prakAra Beda parAmarSa arTa tvAt sAkzAt Sabda upasTApitasya ca
   saṃnidhānācchākhāntaragatasya cānukramatayā(?) saṃnidhānābhāvānna	saMniDAnAt SAKA antara gatasya ca anukrama tayA(?) saMniDAna aBAvAt na
   kauṣītakiprāṇasaṃvādavākye prāṇasya vasiṣṭhatvādibhirguṇairupāsyatvamapi	kOzItaki prANa saMvAda vAkye prANasya vasizWa tva AdiBiH guNEH upAsya tvam api
   tu jyeṣṭhatreṣṭhatvamātreṇeti pūrvaḥ pakṣaḥ /	tu jyezWa trezWatva mAtreNa iti pUrvaH pakzaH /
   siddhāntastu satyaṃ saṃnihitaṃ parāmṛśati evaṅkāro na tu śabdopāttamātraṃ	sidDAntaH tu  satyam saMnihitam parAmRSati evaFkAraH na tu Sabda upAtta mAtram
   saṃnihitam /	saMnihitam /
   kintu yacchabdābhihitārthanāntarīyakatayā prāptaṃ tadapi hi buddhau	kintu yat Sabda aBihita arTanA antarIyaka tayA prAptam tat api hi budDO
   saṃnihitaṃ saṃnihitameva /	saMnihitam saMnihitam eva /
   yathā 'yasya parṇamayī juhūrbhavati'ityavyabhicāritakratusamanvayayā	yaTA ayasya parNa mayI juhUH Bavati aitya vyaBicArita kratu samanvayayA
   juhvopasthāpitaḥ kratuḥ /	juhvA upasTApitaH kratuH /
   tasmādupāsyaphalapratyabhijñānāttadavyabhicāriṇaḥ	tasmAt upAsya Pala pratyaBijQAnAt tat avyaBicAriNaH
   prakārabhedasyehānuktasyāpi buddhau	prakAra Bedasya iha an uktasya api budDO
   saṃnidhānātprakṛtaparāmarśinaivaṅkāreṇa	saMniDAnAt prakRta parAmarSinA evaFkAreNa
   parāmarśo yukta iti siddhaṃ kauṣītakibrāhmaṇagatena tāvadevaṅkāreṇa	parAmarSaH yuktaH iti sidDam kOzItaki brAhmaNa gatena tAvat evaFkAreNa
   śakyate parāmraṣṭum /	Sakyate parAmrazwum /
   tathāpyabhyupetyāpi brūma ityāśayavatā bhāṣyakṛtoktam 	taTA api aByupetya api brUmaH iti ASayavatA BAzya kRta uktam 
   tathāpi tasminneva vijñāne vājasaneyibrāhmaṇagateneti /	taTA api tasmin= eva vijQAne vAjasaneyi brAhmaNa gatena iti /
   śrutahāniriti /	Sruta hAniH iti /
   kevalasya śrutasya hāniritarasahitasya cākṣutasya kalpanā na cetyarthaḥ /	kevalasya Srutasya hAniH itara sahitasya cAkzutasya kalpanA na ca iti arTaH /
   atirohitamanyat //10//	atirohitam anyat //10//
   START BsVBh_3,3.6.11	START BsVBh_3,3.6.11
   ānandādayaḥ pradhānasya | BBs_3,3.11 |	Ananda AdayaH praDAnasya | BBH _3,3.11 |
   guṇavadupāsanāvidhānasya	guNavat upAsanA viDAnasya
   vāstavaguṇavyākhyānādvivekārthamidamadhikaraṇam /	vAstava guNa vyAKyAnAt viveka arTam idam aDikaraNam /
   yathaikasya brahmaṇaḥ /	yaTA ekasya brahmaNaH /
   saṃyadvāmatvādayaḥ satyakāmādayaśca guṇā na saṃkīryeran /	saMyat vAma tva AdayaH satya kAma AdayaH ca guNAH na saMkIryeran /
   evāmānandavijñānatvādayo vibhutvanityatvādibhirguṇaiḥ pradeśāntaroktairna	eva Am Ananda vijQAna tva AdayaH viBu tva nitya tva AdiBiH guNEH pradeSa antara uktEH na
   saṃkīryeran /	saMkIryeran /
   tatsaṃkare vā saṃyadvāmatvādayo 'pi satyakāmādibhiḥ saṃkīryeran /	tad saMkare vA saMyat vAma tva AdayaH api satya kAma AdiBiH saMkIryeran /
   nahi brahmaṇo dharmiṇaḥ sattve kaścidviśeṣa iti pūrvaḥ pakṣaḥ /	na hi brahmaNaH DarmiNaH sattve kaScid viSezaH iti pUrvaH pakzaH /
   rāddhāntastu vāstavavidheyayorvastudharmatayā cānuṣṭheyatayā	rAdDa antaH tu vAstava viDeyayoH vastu Darma tayA ca anuzWeya tayA
   cāvyavasthāvyavasthe vyavatiṣṭhete /	ca avyavasTA vyavasTe vyavatizWete /
   vastudharmo hi yāvadvastu vyavatiṣṭhate /	vastu DarmaH hi yAvat vastu vyavatizWate /
   nāsāvekatrokto 'nyatrānukto nāstīti śakyaṃ vaktum /	na asO= ekatra uktaH anyatra anuktaH na asti iti Sakyam vaktum /
   vidheyastu puruṣaprayatnatantraḥ puruṣaprayatnaśca yatra yāvadguṇaviśiṣṭe	viDeyaH tu puruza prayatna tantraH puruza prayatnaH ca yatra yAvat guNa viSizwe
   brahmaṇi coditaḥ sa tāvatyevāvatiṣṭhate nāvihitamapi guṇaṃ	brahmaNi coditaH sa tAvatI eva avatizWate na avihitam api guNam
   cotarīkartumarhati /	ca utarIkartum arhati /
   tasya vidhitantratvādvidheśca vyavasthānāt /	tasya viDi tantra tvAt viDeH ca vyavasTAnAt /
   tasmādānandavijñānādayo brahmatattvātmatayoktā yatra yatra brahma śrūyate	tasmAt Ananda vijQAna AdayaH brahma tattva Atma tayA uktAH yatra yatra brahma SrUyate
   tatra tatrānuktā api labhyante /	tatra tatra anuktAH api laByante /
   saṃyadvāmādayaścopāsanāprayatnavidhiviṣayā yathāvidhyavatiṣṭhante na tu	saMyat vAma AdayaH ca upAsanA prayatna viDi vizayAH yaTAviDi avatizWante na tu
   yathāvastviti siddham /	yaTAvastu iti sidDam /
   priyaśirastvādīnāṃ tūpāsyatvamāropya nyāyo darśitaḥ /	priya SiraH tu AdInAm tu upAsya tvam Aropya nyAyaH darSitaH /
   tasya (?)tu saṃyadvāmādiruktaḥ /	tasya (?)tu saMyat vAma AdiH uktaH /
   modanamātraṃ modaḥ /	modana mAtram modaH /
   pramodaḥ prakṛṣṭo modastāvimau parasparāpekṣāvupacayāpacayau //11//	pramodaH prakRzwaH modaH tO= imO paraspara apekzO= upacaya apacayO //11//
   START BsVBh_3,3.6.12	START BsVBh_3,3.6.12
   priyaśirastvādyaprāptirupacayāpacayau hi bhede | BBs_3,3.12 |	priya SiraH tu Adya prAptiH upacaya apacayO hi Bede | BBH _3,3.12 |
   START BsVBh_3,3.6.13	START BsVBh_3,3.6.13
   itare tvarthasāmānyāt | BBs_3,3.13 |	itare tu arTa sAmAnyAt | BBH _3,3.13 |
   START BsVBh_3,3.7.14	START BsVBh_3,3.7.14
   ādhyānāya prayojanābhāvāt | BBs_3,3.14 |	ADyAnAya prayojana aBAvAt | BBH _3,3.14 |
   indriyebhyaḥ parā hyarthā iti /	indriyeByaH parAH hi arTAH iti /
   kimatra sarveṣāmevārthādīnāṃ paratvaṃ pratipipādayiṣitam, āho puruṣasyaiva	kim atra sarvezAm eva arTa AdInAm paratvam pratipipAdayizitam, Aho puruzasya eva
   tatpratipādanārthaṃ cetareṣāṃ paratvapratipādanam /	tad pratipAdana arTam ca itarezAm paratva pratipAdanam /
   tatra pratyekamarthādiparatvapratipādanaśruteḥ śrūyamāṇatattatparatve ca	tatra pratyekam arTa Adi paratva pratipAdana SruteH SrUyamANa tad tatparatve ca
   saṃbhavati na tattadatikarme sarveṣāmekaparatvādhyavasānaṃ nyāyyam /	saMBavati na tad tad ati karme sarvezAm eka paratva aDyavasAnam nyAyyam /
   na ca prayojanābhāvādasaṃbhavaḥ /	na ca prayojana aBAvAt asaMBavaH /
   sarveṣāmeva pratyekaṃ paratvābhidhānasyādhyānaprayojanatvāt /	sarvezAm eva pratyekam paratva aBiDAnasya aDyAna prayojana tvAt /
   tattadādhyānānāṃ ca prayojanavattvasmṛteḥ /	tad tad ADyAnAnAm ca prayojanavat tva smRteH /
   tathāhi smṛtiḥ  'daśa manvantarāṇīha tiṣṭhantīndriyacintakāḥ /	taTA hi smRtiH adaSa manvantarANi iha tizWanti indriya cintakAH /
   bhautikāstu śataṃ pūrṇaṃ sahasraṃ tvābhimānikāḥ //	BOtikAH tu Satam pUrNam sahasram tvA aBimAnikAH //
   bauddhā daśa sahasrāṇi tiṣṭhanti vigatajvarāḥ /	bOdDAH daSa sahasrANi tizWanti vigata jvarAH /
   pūrṇaṃ śatasahasraṃ tu tiṣṭhantyavyaktacintakāḥ /	pUrNam Sata sahasram tu tizWanti avyakta cintakAH /
   puruṣaṃ nirguṇaṃ prāpya kālasaṃkhyā na vidyate /	puruzam nirguNam prApya kAla saMKyA na vidyate /
   'iti /	aiti /
   prāmāṇikasya vākyabhedasyābhyupeyatvāt pratyekaṃ teṣāmarthādīnāṃ	prAmANikasya vAkya Bedasya aByupeya tvAt pratyekam tezAm arTa AdInAm
   paratvaparāṇyetāni vākyānīti prāptaya ucyate indriyebhyaḥ parā hyarthā	paratva parANi etAni vAkyAni iti prAptayaH ucyate indriyeByaH parA hi arTA
   ityeṣa tāvatsaṃdarbho vastutattvapratipādanaparaḥ pratīyate	iti eza tAvat saMdarBaH vastu tattva pratipAdana paraH pratIyate
   nādhyānavidhiparaḥ /	na aDyAna viDi paraH /
   tadaśruteḥ /	tad aSruteH /
   tadatra yatpratyasya sākṣātprayojanavattvaṃ dṛśyate tatpratyayaparatvaṃ	tat atra yat pratyasya sAkzAt prayojanavat tvam dRSyate tad pratyaya para tvam
   sarveṣām /	sarvezAm /
   dṛṣṭaṃ ca viṣṇoḥ paramapadajñānasya nikhilānarthasaṃsārakāraṇāvidyopaśamaḥ	dRzwam ca vizNoH parama pada jQAnasya niKila anarTa saMsAra kAraNa avidyA upaSamaH
   tattvajñānodayasya viparyāsopaśamalakṣaṇatveta tatra tatra darśanāt /	tattva jQAna udayasya viparyAsa upaSama lakzaNa tveta tatra tatra darSanAt /
   arthādiparatvapratyayasya tu na dṛṣṭamasti prayojanam /	arTa Adi paratva pratyayasya tu na dRzwam asti prayojanam /
   naca dṛṣṭe saṃbhavati adṛṣṭakalpanā nyāyyā /	na ca dRzwe saMBavati adRzwa kalpanA nyAyyAH /
   naca paramapuruṣārthahetuparatve saṃbhavati avāntarapuruṣārthatocitā /	na ca parama puruza arTa hetu paratve saMBavati avAntara puruza arTatA ucitAH /
   tasmāddṛṣṭaprayojanavattvāt, puruṣaparatvapratipādanārtho 'yaṃ saṃdarbha	tasmAt dRzwa prayojanavat tva at, puruza paratva pratipAdana arTaH ayam saMdarBa
   iti gamyate /	iti gamyate /
   kiñcādarādapyayamevāsyārtha ityāha 	kiQca AdarAt api ayam eva asya arTaH iti Aha 
   apica parapratiṣedheneti /	api ca para pratizeDena iti /
   nanvatrādhyānavidhirnāsti tatkathamucyate ādhyānāyetyata āha 	nanu atra aDyAna viDiH na asti tat kaTam ucyate ADyAnAya iti atas Aha 
   ādhyānāyeti //14//	ADyAnAya iti //14//
   START BsVBh_3,3.7.15	START BsVBh_3,3.7.15
   ātmaśabdāc ca | BBs_3,3.15 |	Atma SabdAt ca | BBH _3,3.15 |
   anadhigatārthapratipādanasvabhāvatvāpramāṇānāṃ viśeṣataścāgamasya,	anaDigata arTa pratipAdana svaBAva tva apramANAnAm viSezataH ca Agamasya,
   puruṣaśabdavācyasya cātmanaḥ svayaṃ śrutyaiva	puruza Sabda vAcyasya ca AtmanaH svayam SrutyA eva
   duradhigamatvāvadhāraṇādvastutaśca duradhigamatvādarthādīnāṃ ca	duraDigamatva avaDAraNAt vastutas ca duraDigama tvAt arTa AdInAm ca
   sugamatvāttatparatvamevārthādiparatvābhidhānasyetyarthaḥ /	sugama tvAt tatpara tvam eva arTa Adi paratva aBiDAnasya iti arTaH /
   śruterāśayātiśaya ivāśayātiśayaḥ /	SruteH ASaya atiSayaH iva ASaya atiSayaH /
   tattātparyateti yāvat /	tat tAt paryata iti yAvat /
   kiñca śrutyantarāpekṣitābhidhānādapyevameva /	kiQca Sruti antara apekzita aBiDAnAt api evam eva /
   arthādiparatve tu svarūpeṇa vivakṣite nāpekṣitaṃ śrutirācaṣṭe ityāha 	arTa Adi paratve tu svarUpeNa vivakzite na apekzitam SrutiH Acazwe iti Aha 
   apica so 'dhvanaḥ pāramāpnotīti //15//	api ca saH aDvanaH pAram Apnoti iti //15//
   START BsVBh_3,3.8.16	START BsVBh_3,3.8.16
   ātmagṛhītir itaravad uttarāt | BBs_3,3.16 |	Atma gRhItiH itara vat uttarAt | BBH _3,3.16 |
   śrutismṛtyorhi lokasṛṣṭiḥ parameśvarādhiṣṭhitā	Sruti smRtyoH hi loka sRzwiH parameSvara aDizWitA
   parameśvarahiraṇyagarbhakartṛkopalabdhā seyamiha	parameSvara hiraNyagarBa kartRkA upalabDA sA iyam iha
   mahābhūtasargamanabhidhāya prāthamikī	mahABUta sargam anaBiDAya prATamikI
   lokasṛṣṭirupalabhyamānāvāntareśvarakāryā prāgutpatterātmaikatvāvadhāraṇaṃ	loka sRzwiH upalaByamAnO= Antara ISvara kAryA prAk utpatteH Atma ekatva avaDAraNam
   cāvāntareśvarasaṃbandhitayā gamayati /	ca ava antara ISvara saMbanDi tayA gamayati /
   pārameśvarasargasya mahābhūtākāśāditvādasya ca tadvaiparītyāt /	pArameSvara sargasya mahABUta AkASa Adi tvAt asya ca tad vEparItyAt /
   asti hi tasyaivaikasya vikārāntarāpekṣayāgnatvamasti cekṣaṇam /	asti hi tasya eva ekasya vikAra antara apekza yAgna tvam asti ca IkzaNam /
   api caitasminnaitareyake pūrvasminprakaraṇe prajāpatikartṛkaiva	api ca etasmin= Etareyake pUrvasmin prakaraNe prajApati kartRkA eva
   lokasṛṣṭiruktā /	loka sRzwiH uktAH /
   tadanusārādapyetadeva vijñāyate /	tad anusArAt api etat eva vijQAyate /
   apica tābhyo gāmānayadityādayaśca vyavahāraḥ śrutyoktā	api ca tAByaH gAm Anayat iti AdayaH ca vyavahAraH SrutyA uktA
   viśeṣavatsvātmaparamātmasu prasiddhāḥ /	viSeza vatsvAtma paramAtmasu prasidDAH /
   tato 'pyavāntareśvara eva vijñāyate /	tatas api avAntara ISvaraH eva vijQAyate /
   ātmaśabdaprayogaścātrāpi dṛṣṭastasmādaparātmābhilāpo 'yamiti prāpta	Atma Sabda prayogaH ca atra api dRzwaH tasmAt apara AtmA aBilApaH ayam iti prApta
   ucyati paramātmano gṛhītiriha yathā itareṣu sṛṣṭiśravaṇeṣu 'etasmādātmana	ucyati paramAtmanaH gRhItiH iha yaTA itarezu sRzwi SravaNezu aetasmAt Atmana
   ākāśaḥ saṃbhūtaḥ'ityādiṣu /	AkASaH saMBUtaH aityAdizu /
   tasmāduttarātsa aikṣatetīkṣaṇapūrvakasraṣṭṛtvaśravaṇādātmetyavadhāraṇācca	tasmAt uttarAt sa Ekzateti IkzaNa pUrvaka srazwR tva SravaNAt AtmA iti avaDAraNAt ca
   etadabhisaṃhitam mukhyaṃ tāvat sargātprākkevalatvamātmapadatvaṃ sraṣṭṛtvaṃ	etat aBisaMhitam  muKyam tAvat sargAt prAk kevala tvam Atma pada tvam srazwR tvam
   ca parameśvarasyātra bhavataḥ /	ca parameSvarasya atra BavataH /
   tadasatyāmanupapattau nānyatra vyākhyātumucitam /	tat asatyAm anupapattO na anyatra vyAKyAtum ucitam /
   naca mahābhūtasṛṣṭyanabhidhānena lokasṛṣṭyabhidhānamanupapattibījam /	na ca mahABUta sRzwi anaBiDAnena loka sRzwi aBiDAnam anupapatti bIjam /
   ākāśapūrvikāyāṃ vastuto brahmaṇaḥ sṛṣṭau yathā	AkASa pUrvikAyAm vastutas brahmaNaH sRzwO yaTA
