   Kātyāyanasmṛtisāroddhāraḥ	KAtyAyana-smRti-sAra-udDAraH
   K.501b/ prayogo yatra ca^evaṃ (syād ādhibhogaḥ sa (ucyate //	K.501b/ prayogaH yatra ca^evam (syAt ADiBogaH saH (ucyate //
   [ākṛtavṛddhiḥ]	[a-akRtavRdDiH]
   K.502a/ yo yācitakam ādāya tam adattvā diśaṃ (vrajet /	K.502a/ yaH yAcitakam AdAya tam adattvA diSam (vrajet /
   K.502b/ ūrdhvaṃ saṃvatsarāt tasya tad.dhanaṃ vṛddhim (āpnuyāt //	K.502b/ UrDvam saMvatsarAt tasya tad-.Danam vRdDim (ApnuyAt //
   K.503a/ kṛtvā^uddhāram adattvā yo yācitas tu diśaṃ (vrajet /	K.503a/ kRtvA^udDAram adattvA yaH yAcitaH tu diSam (vrajet /
   K.503b/ ūrdhvaṃ māsa.trayāt tasya tad.dhanaṃ vṛddhim (āpnuyāt //	K.503b/ UrDvam mAsa.trayAt tasya tad-.Danam vRdDim (ApnuyAt //
   K.504a/ svadeśe^api sthito yas tu na (dadyād yācitaḥ kvacit /	K.504a/ sva-deSe^api sTitaH yaH tu na (dadyAt yAcitaH kvacid /
   K.504b/ taṃ tato^akāritāṃ vṛddhim anicchantaṃ ca (dāpayet //	K.504b/ tam tatas-^akAritAm vRdDim anicCantam ca (dApayet //
   K.505a/ prīti.dattaṃ na (vardheta yāvan na pratiyācitam /	K.505a/ prIti.dattam na (varDeta yAvat na pratiyAcitam /
   K.505b/ yācyamānam adattaṃ ced (vardhate pañcakaṃ śatam //	K.505b/ yAcyamAnam adattam ced (varDate paQcakam Satam //
   K.506a/ nikṣiptaṃ vṛddhi.śeṣaṃ ca kraya.vikrayam eva ca /	K.506a/ nikziptam vRdDi.Sezam ca kraya.-vikrayam eva ca /
   K.506b/ yācyamānam adattaṃ ced (vardhate pañcakaṃ śatam //	K.506b/ yAcyamAnam adattam ced (varDate paQcakam Satam //
   K.507a/ paṇyaṃ gṛhītvā yo mūlyam adattvā^eva diśaṃ (vrajet /	K.507a/ paNyam gRhItvA yaH mUlyam adattvA^eva diSam (vrajet /
   K.507b/ ṛtu.trayasya^apariṣṭāt tad.dhanaṃ vṛddhim (āpnuyāt //	K.507b/ Rtu.-trayasya^aparizwAt tad-.Danam vRdDim (ApnuyAt //
   K.508a/ carmasasya^āsava.dyūte paṇya.mūlye ca sarvadā /	K.508a/ carmasasyaH-^Asava.-dyUte paNya.-mUlye ca sarvadA /
   K.508b/ strī.śulkeṣu na vṛddhiḥ (syāt prātibhāvya.āgateṣu ca //	K.508b/ strI.Sulkezu na vRdDiH (syAt prAtiBAvya.Agatezu ca //
   [vṛddheḥ parimāṇaṃ]	[vRdDeH parimANaM]
   K.509a/ grāhyaṃ (syād dvi.guṇaṃ dravyaṃ prayuktaṃ dhanināṃ sadā /	K.509a/ grAhyam (syAt dvi.guNam dravyam prayuktam DaninAm sadA /
   K.509b/ labhate cen na dvi.guṇaṃ punar vṛddhiṃ (prakalpayet //	K.509b/ laBate ced na dvi.guNam punar vRdDim (prakalpayet //
   K.510a/ maṇi.muktā.pravālānāṃ suvarṇa.rajatasya ca /	K.510a/ maNi.-muktA.-pravAlAnAm suvarNa.-rajatasya ca /
   K.510b/ tiṣṭhati dvi.guṇā vṛddhiḥ phāla.kaiṭa.āvikasya ca /	K.510b/ tizWati dvi.guNA vRdDiH PAla.kEwa.Avikasya ca /
   K.511a/ tailānāṃ ca^eva sarveṣāṃ madyānām atha sarpiṣām /	K.511a/ tElAnAm ca^eva sarvezAm madyAnAm aTa sarpizAm /
   K.511b/ vṛddhir aṣṭa.guṇā jñeyā guḍasya lavaṇasya ca //	K.511b/ vRdDiH azwa.guNA jQeyAH guxasya lavaNasya ca //
   K.512a/ kupyaṃ pañca.guṇaṃ bhūmis tathā^eva^aṣṭa.guṇā matā /	K.512a/ kupyam paQca.guNam BUmiH taTA^eva^azwa.guNA matA /
   K.512b/ sadya eva^iti vacanāt sadya eva (pradīyate //	K.512b/ sadyas eva^iti vacanAt sadyas eva (pradIyate //
   [ṛṇoddharaṇaṃ]	[RNot-haraNaM]
   [anekarṇasamavāye vidhiḥ]	[anekarNa-samavAye viDiH]
   K.513a/ ekāhe likhitaṃ yat tu tat tu (kuryād ṛṇaṃ samam /	K.513a/ eka-ahe liKitam yat tu tat tu (kuryAt RNam samam /
   K.513b/ grahaṇaṃ rakṣaṇaṃ lābham anyathā tu yathā.kramam //	K.513b/ grahaNam rakzaNam lABam anyaTA tu yaTA.kramam //
   K.514a/ nānā.ṛṇa.samavāye tu yad yat pūrva.kṛtaṃ (bhavet /	K.514a/ nAnA-.RNa.-samavAye tu yat yat pUrva.kRtam (Bavet /
   K.514b/ tat tad eva^agrato deyaṃ rājñaḥ (syāc śrotriyād anu //	K.514b/ tat tat eva^agratas deyam rAjQaH (syAt SrotriyAt anu //
   K.515a/ yasya dravyeṇa yat paṇyaṃ sādhitaṃ yo (vibhāvayet /	K.515a/ yasya dravyeNa yat paNyam sADitam yaH (viBAvayet /
   K.515b/ tad dravyam ṛṇikena^eva dātavyaṃ tasya na^anyathā //	K.515b/ tat dravyam RNikena^eva dAtavyam tasya na^anyaTA //
   [ādhiḥ]	[ADiH]
   K.516a/ dravyaṃ gṛhītvā vṛddhi.arthaṃ bhoga.yogyaṃ (dadāti cet /	K.516a/ dravyam gRhItvA vRdDi.arTam Boga.-yogyam (dadAti ced /
   K.516b/ jaṅgamaṃ sthāvaraṃ vā^api bhogya.adhiḥ sa tu (kathyate //	K.516b/ jaFgamam sTAvaram vA^api Bogya-.aDiH sa tu (kaTyate //
   K.516c/ mūlyaṃ tad.ādhikaṃ dattvā sva.kṣetra.ādikam (āpnuyāt //	K.516c/ mUlyam tat-.a-aDikam dattvA sva.kzetra.Adikam (ApnuyAt //
   K.517a/ ādhim ekaṃ dvayor yas tu (kuryāt kā pratipad (bhavet /	K.517a/ ADim ekam dvayoH yaH tu (kuryAt kA pratipad (Bavet /
   K.517b/ tayoḥ pūrva.kṛtaṃ grāhyaṃ tat.kartā cora.daṇḍa.bhāk //	K.517b/ tayoH pUrva.kRtam grAhyam tat.kartA ca-ura.-daNxa.-BAj //
   K.518a/ ādhānaṃ vikrayo dānaṃ lekhya.sākṣya.kṛtaṃ yadā /	K.518a/ ADAnam vikrayaH dAnam leKya.-sAkzya.kRtam yadA /
   K.518b/ eka.kriyā.viruddhaṃ tu lekhyaṃ tatra^apahārakam //	K.518b/ eka.kriyA.-virudDam tu leKyam tatra^apahArakam //
   K.519a/ anirdiṣṭaṃ ca nirdiṣṭam ekatra ca vilekhitam /	K.519a/ anirdizwam ca nirdizwam ekatra ca vileKitam /
   K.519b/ viśeṣa.likhitaṃ jyāya iti kātyāyano^abravīt //	K.519b/ viSeza.liKitam jyAyaH iti kAtyAyanaH-^abravIt //
   K.520a/ yo^avidyamānaṃ prathamam anirdiṣṭa.svarūpakam /	K.520a/ yaH-^avidyamAnam praTamam anirdizwa.-svarUpakam /
   K.520b/ ākāśa.bhūtam ādadhyād anirdiṣṭaṃ ca tad bhavet //	K.520b/ AkASa.BUtam AdaDyAt anirdizwam ca tat Bavet //
   K.520c/ yad yat tadā^asya vidyeta tad ādiṣṭaṃ vinirdiśet //	K.520c/ yat yat tadA^asya vidyeta tat Adizwam vinirdiSet //
   K.521a/ yas tu sarva.svam ādiśya prāk paścān nāma.cihnitam /	K.521a/ yaH tu sarva.svam AdiSya prAk paScAt nAma.-cihnitam /
   K.521b/ ādadhyāt tat kathaṃ na (syāc cihnitaṃ balavattaram //	K.521b/ AdaDyAt tat kaTam na (syAt cihnitam balavattaram //
   K.522a/ maryādā.cihnitaṃ kṣetraṃ grāmaṃ vā^api yadā bhavet /	K.522a/ maryAdA.-cihnitam kzetram grAmam vA^api yadA Bavet /
   K.522b/ grāma.ādayaś ca (likhyante tadā siddhim (avāpnuyāt //	K.522b/ grAma.AdayaH ca (liKyante tadA sidDim (avApnuyAt //
   K.523a/ ādhīkṛtaṃ tu yat kiṃcid vinaṣṭaṃ daiva.rājataḥ /	K.523a/ ADIkRtam tu yat kiMcid vinazwam dEva-.rAjataH /
   K.523b/ tatra ṛṇaṃ sodayaṃ dāpyo dhaninām adhamarṇakaḥ //	K.523b/ tatra RNam sa-udayam dApyaH DaninAm aDamarNakaH //
   K.524a/ na ced dhanika.doṣeṇa (nipated vā (mriyeta vā /	K.524a/ na ced Danika.dozeNa (nipatet vA (mriyeta vA /
   K.524b/ ādhim anyaṃ sa dāpyaḥ (syād ṛṇān (mucyeta narṇikaḥ //	K.524b/ ADim anyam sa dApyaH (syAt RNAn (mucyeta na-RNikaH //
   K.525a/ akāmam ananujñātam adhiṃ yaḥ karma (kārayet /	K.525a/ akAmam ananujQAtam aDim yaH karma (kArayet /
   K.525b/ bhoktā karma.phalaṃ dāpyo vṛddhiṃ vā (labhate na saḥ //	K.525b/ BoktA karma.Palam dApyaH vRdDim vA (laBate na saH //
   K.526a/ yas tv ādhiṃ karma (kurvāṇaṃ vācā daṇḍena karmabhiḥ /	K.526a/ yaH tu ADim karma (kurvANam vAcA daNxena karmaBiH /
   K.526b/ (pīḍayed (bhatsayec ca^eva (prāpnuyāt pūrva.sāhasam //	K.526b/ (pIxayet (Batsayet ca^eva (prApnuyAt pUrva.sAhasam //
   K.527a/ balāda.kāmaṃ yatra^adhim anisṛṣṭaṃ (praveśayet /	K.527a/ balAt-a.-kAmam yatra^aDim anisRzwam (praveSayet /
   K.527b/ prāpnuyāt sāhasaṃ pūrvam ādhātā ca^adhim (āpnuyāt //	K.527b/ prApnuyAt sAhasam pUrvam ADAtA ca^aDim (ApnuyAt //
   K.528a/ ādhiṃ duṣṭena lekhyena bhuṅkte yam ṛṇikād dhanī /	K.528a/ ADim duzwena leKyena BuFkte yam RNikAt DanI /
   K.528b/ nṛpo damaṃ dāpayitvā ādhikekhyaṃ (vināśayet //	K.528b/ nRpaH damam dApayitvA ADikeKyam (vinASayet //
   K.529a/ ādhātā yatra na (syāt tu dhanī bandhaṃ (nivedayet /	K.529a/ ADAtA yatra na (syAt tu DanI banDam (nivedayet /
   K.529b/ rājñas tataḥ sa vikhyāto vikreya iti dhāraṇā //	K.529b/ rAjQaH tatas sa viKyAtaH vikreyaH iti DAraNA //
   K.529c/ savṛddhikaṃ gṛhītvā tu śeṣaṃ rājan yathā^(arpayet //	K.529c/ sa-vRdDikam gRhItvA tu Sezam rAjan yaTA^(arpayet //
   [pratibhūvidhānam]	[pratiBU-viDAnam]
   K.530a/ dāna.upasthāna.vādeṣu viśvāsa.śapathāya ca /	K.530a/ dAna-.upasTAna.vAdezu viSvAsa.-SapaTAya ca /
   K.530b/ lagnakaṃ (kārayed evaṃ yathā^ayogaṃ viparyaye //	K.530b/ lagnakam (kArayet evam yaTA^ayogam viparyaye //
   K.531a/ darśana.pratibhūryas taṃ deśe kāle na (darśayet /	K.531a/ darSana.-pratiBUH-yaH tam deSe kAle na (darSayet /
   K.531b/ nibandham (āvahet tatra daiva.rāja.kṛtād ṛte //	K.531b/ nibanDam (Avahet tatra dEva-.rAja.-kRtAt Rte //
   K.532a/ naṣṭasya^anveṣaṇa.arthaṃ tu deyaṃ pakṣa.trayaṃ param /	K.532a/ nazwasya^anvezaNa-.arTam tu deyam pakza.trayam param /
   K.532b/ yady asau (darśayet tatra moktavyaḥ pratibhūr (bhavet //	K.532b/ yadi asO (darSayet tatra moktavyaH pratiBUH (Bavet //
   K.533a/ kāle vyatīte pratibhūr yadi taṃ na^eva (darśayet /	K.533a/ kAle vyatIte pratiBUH yadi tam na^eva (darSayet /
   K.533b/ sa tam arthaṃ pradāpyaḥ (syāt prete ca^evaṃ (vidhīyate //	K.533b/ sa tam arTam pradApyaH (syAt prete ca^evam (viDIyate //
   K.534a/ gṛhītvā bandhakaṃ yatra darśane^asya sthito (bhavet /	K.534a/ gRhItvA banDakam yatra darSane^asya sTitaH (Bavet /
   K.534b/ vinā pitrā dhanaṃ tasmād dāpyaḥ (syāt tad ṛṇaṃ sutaḥ //	K.534b/ vinA pitrA Danam tasmAt dApyaH (syAt tat RNam sutaH //
   K.535a/ yo yasya pratibhūs (tiṣṭhed darśanāya^iha mānavaḥ /	K.535a/ yaH yasya pratiBUH (tizWet darSanAya^iha mAnavaH /
   K.535b/ adarśayan sa taṃ tasmai (prayacchet sva.dhanād ṛṇam //	K.535b/ adarSayan sa tam tasmE (prayacCet sva.DanAt RNam //
   K.536a/ ādyau tu vitathe dāpyau tat.kālā.veditaṃ dhanam /	K.536a/ AdyO tu vitaTe dApyO tat.kAlA.-veditam Danam /
   K.536b/ uttarau tu visaṃvāde tau vinā tat.sutau tathā //	K.536b/ uttarO tu visaMvAde tO vinA tat.sutO taTA //
   K.537a/ ekacchāyāśrite sarvaṃ (dadyāt tu proṣite sutaḥ /	K.537a/ ekacCAyA-ASrite sarvam (dadyAt tu prozite sutaH /
   K.537b/ mṛte pitari pitṛ.aṃśaṃ pararṇaṃ na bṛhaspatiḥ //	K.537b/ mRte pitari pitR-.aMSam para-RNam na bRhaspatiH //
   K.538a/ ekacchāyā.praviṣṭānāṃ dāpyo tas tatra (dṛśyate /	K.538a/ eka=-CAyA.-pravizwAnAm dApyaH tas tatra (dRSyate /
   K.538b/ proṣite tat.sutaḥ sarvaṃ pitṛ.aṃśaṃ tu mṛte sutaḥ //	K.538b/ prozite tat.sutaH sarvam pitR-.aMSam tu mRte sutaH //
   K.539a/ prātibhāvyaṃ tu yo (dadyāt pīḍitaḥ pratibhāvitaḥ /	K.539a/ prAtiBAvyam tu yaH (dadyAt pIxitaH pratiBAvitaH /
   K.539b/ tri.pakṣāt parataḥ so^arthaṃ dvi.guṇaṃ labdhum (arhati //	K.539b/ tri.pakzAt paratas saH-^arTam dvi.guNam labDum (arhati //
   K.540a/ yasya^arthe yena yad dattaṃ vidhinā^abhyarthitena tu /	K.540a/ yasya^arTe yena yat dattam viDinA^aByarTitena tu /
   K.540b/ sākṣibhir bhāvitena^eva pratibhūs tat (samāpnuyāt //	K.540b/ sAkziBiH BAvitena^eva pratiBUH tat (samApnuyAt //
   K.541a/ satyaṃ.kāra.visaṃvāde dviguṇaṃ (pratidāpayet /	K.541a/ satyaM.kAra.-visaMvAde dviguNam (pratidApayet /
   K.541b/ akurvatas tu tad dhāni satyaṃ.kāra.prayojanam //	K.541b/ akurvataH tu tat DAni satyaM.kAra.-prayojanam //
   [pitrādibhiḥ kṛtam ṛṇaṃ kena pratideyam]	[pitR-AdiBiH kRtam RNam kena pratideyam]
   K.542a/ kuṭumba.artham aśaktena gṛhītaṃ vyādhitena vā /	K.542a/ kuwumba-.arTam aSaktena gRhItam vyADitena vA /
   K.542b/ upaplava.nimitte ca (vidyād āpatkṛte tu tat //	K.542b/ upaplava.-nimitte ca (vidyAt Apad-kRte tu tat //
   K.543a/ kanyā.vaivāhikaṃ ca^eva preta.kārye ca yat.kṛtam /	K.543a/ kanyA.vEvAhikam ca^eva preta.kArye ca yat.kRtam /
   K.543b/ etat sarvaṃ pradātavyaṃ kuṭumbena kṛtaṃ prabhoḥ //	K.543b/ etat sarvam pradAtavyam kuwumbena kRtam praBoH //
   K.544a/ ṛṇaṃ putra.kṛtaṃ pitrā na deyam iti dharmataḥ /	K.544a/ RNam putra.kRtam pitrA na deyam iti DarmataH /
   K.544b/ deyaṃ pratiśrutaṃ yat (syāt yac ca (syād anumoditam //	K.544b/ deyam pratiSrutam yat (syAt yat ca (syAt anumoditam //
   K.545a/ proṣitasya^amatena^api kuṭumba.artham ṛṇaṃ kṛtam /	K.545a/ prozitasya^amatena^api kuwumba-.arTam RNam kRtam /
   K.545b/ dāsa.strī.mātṛ.śiṣyair vā (dadyāt putreṇa vā bhṛguḥ //	K.545b/ dAsa.-strI.-mAtR.SizyEH vA (dadyAt putreNa vA BRguH //
   K.546a/ bhartrā putreṇa vā sārdhaṃ kevalena^ātmanā kṛtam /	K.546a/ BartrA putreNa vA sArDam kevalena^AtmanA kRtam /
   K.546b/ ṛṇam evaṃvidhaṃ deyaṃ na^anyathā tat.kṛtaṃ striyā //	K.546b/ RNam evaMviDam deyam na^anyaTA tat.kRtam striyAH //
   K.547a/ martu.kāmena yā bhartrā proktā deyam ṛṇaṃ tvayā /	K.547a/ martu.-kAmena yA BartrA proktA deyam RNam tvayA /
   K.547b/ aprapannā^api sā dāpyā dhanaṃ yady āśritaṃ striyām //	K.547b/ aprapannAH-^api sA dApyAH Danam yadi ASritam striyAm //
   K.548a/ vidyamāne^api rogārte sva.deśāt proṣite^api vā /	K.548a/ vidyamAne^api roga-Arte sva-.deSAt prozite^api vA /
   K.548b/ viṃśāt saṃvatsarād deyaṃ ṛṇaṃ pitṛ.kṛtaṃ sutaiḥ //	K.548b/ viMSAt saMvatsarAt deyam RNam pitR.kRtam sutEH //
   K.549a/ vyādhita.unmatta.vṛddhānāṃ tathā dīrgha.pravāsinām /	K.549a/ vyADita.-unmatta.-vRdDAnAm taTA dIrGa.-pravAsinAm /
   K.549b/ ṛṇam evaṃvidhaṃ putrāñ jīvatām api (dāpayet //	K.549b/ RNam evaMviDam putrAn jIvatAm api (dApayet //
   K.550a/ sāṃnidhye^api pituḥ putrair ṛṇaṃ deyaṃ vibhāvitam /	K.550a/ sAMniDye^api pituH putrEH RNam deyam viBAvitam /
   K.550b/ jāti.andha.patita.unmatta.kṣaya.śvitra.ādi.rogiṇaḥ //	K.550b/ jAti-.anDa.-patita.unmatta.-kzaya.-Svitra-.Adi-.rogiNaH //
   K.551a/ pitṛṛṇāṃ sūnubhir jātair dānena^eva^adhamād ṛṇāt /	K.551a/ pitRRNAm sUnuBiH jAtEH dAnena^eva^aDamAt RNAt /
   K.551b/ vimokṣas tu yatas tasmād (icchanti pitaraḥ sutān //	K.551b/ vimokzaH tu yatas tasmAt (icCanti pitaraH sutAn //
   K.552a/ na^aprāpta.vyavahāreṇa pitary uparate kvacit /	K.552a/ na^aprApta.-vyavahAreNa pitari uparate kvacid /
   K.552b/ kāle tu vidhinā deyaṃ (vaseyur narake^anyathā //	K.552b/ kAle tu viDinA deyam (vaseyuH narake^anyaTA //
   K.553a/ aprāpta.vyavahāraś cet svatantro^api^iha narṇabhāk /	K.553a/ aprApta.vyavahAraH ced svatantraH-^api^iha na-RNa-BAj /
   K.553b/ svātantryaṃ hi smṛtaṃ jyeṣṭhe jyaiṣṭhe[ṣṭhyaṃ?] guṇa.vayaḥkṛtam //	K.553b/ svAtantryam hi smRtam jyezWe jyEzWe[zWI-aM?] guNa-.vayaH-kRtam //
   K.554a/ yad dṛṣṭaṃ datta.śeṣaṃ vā deyaṃ paitāmahaṃ tu tat /	K.554a/ yat dRzwam datta.-Sezam vA deyam pEtAmaham tu tat /
   K.554b/ sadoṣaṃ vyāhataṃ pitrā na^eva deyam ṛṇaṃ kvacit //	K.554b/ sa-dozam vyAhatam pitrA na^eva deyam RNam kvacid //
   K.555a/ pitrā dṛṣṭam ṛṇaṃ yat tu krama.āyātaṃ pitāmahāt /	K.555a/ pitrA dRzwam RNam yat tu krama.AyAtam pitAmahAt /
   K.555b/ nirdoṣaṃ na^uddhṛtaṃ putrair deyaṃ pautrais tu tad.bhṛguḥ //	K.555b/ nirdozam na^udDRtam putrEH deyam pOtrEH tu tad-.BRguH //
   K.556a/ paitāmahaṃ tu yat putrair na dattaṃ rogibhiḥ sthitaiḥ /	K.556a/ pEtAmaham tu yat putrEH na dattam rogiBiH sTitEH /
   K.556b/ tasmād evaṃvidhaṃ pautrair deyaṃ paitāmahaṃ samam //	K.556b/ tasmAt evaMviDam pOtrEH deyam pEtAmaham samam //
   K.557a/ ṛṇaṃ tu (dāpayet putraṃ yadi (syān nirupadravaḥ /	K.557a/ RNam tu (dApayet putram yadi (syAt nirupadravaH /
   K.557b/ draviṇa.arhaś ca dhuryaś ca na^anyathā (dāpayet sutam //	K.557b/ draviNa.arhaH ca DuryaH ca na^anyaTA (dApayet sutam //
   K.558a/ yad deyaṃ pitṛbhir nityaṃ tad.abhāve tu tad.dhanāt /	K.558a/ yat deyam pitRBiH nityam tad-.aBAve tu tad-.DanAt /
   K.558b/ tad dhanaṃ putra.putrair vā deyaṃ tat.svāmine tadā //	K.558b/ tat Danam putra.putrEH vA deyam tat.svAmine tadA //
   K.559a/ pitra.ṛṇe vidyamāne tu na ca putro dhanaṃ (haret /	K.559a/ pitR-a.RNe vidyamAne tu na ca putraH Danam (haret /
   K.559b/ deyaṃ tad.dhanike dravyaṃ mṛte gṛhṇaṃs tu (dāpyate //	K.559b/ deyam tad-.Danike dravyam mRte gRhNan tu (dApyate //
   K.560a/ putra.abhāve tu dātavyam ṛṇaṃ pautreṇa yatnataḥ /	K.560a/ putra-.aBAve tu dAtavyam RNam pOtreNa yatnatas /
   K.560b/ caturthena na dātavyaṃ tasmāt tad (vinirvartate //	K.560b/ caturTena na dAtavyam tasmAt tat (vinirvartate //
   K.561a/ prātibhāvya.āgataṃ pautrair dātavyaṃ na tu tatkvacit /	K.561a/ prAtiBAvya.a-Agatam pOtrEH dAtavyam na tu tad-kvacid /
   K.561b/ putreṇa^api samaṃ deyam ṛṇaṃ sarvatra paitṛkam //	K.561b/ putreNa^api samam deyam RNam sarvatra pEtRkam //
   K.562a/ rikthahartrā ṛṇaṃ deyaṃ tad.bhāve ca yoṣitaḥ /	K.562a/ rikTa-hartrA RNam deyam tat-.BAve ca yozitaH /
   K.562b/ putraiś ca tad.bhāve^anyai riktha.bhāgbhir yathā.kramam //	K.562b/ putrEH ca tad-.BAve^anyEH rikTa.BAgBiH yaTA.kramam //
   K.563a/ yāvan na paitṛkaṃ dravyaṃ vidyamānaṃ (labhet sutaḥ /	K.563a/ yAvat na pEtRkam dravyam vidyamAnam (laBet sutaH /
   K.563b/ susamṛddo^api dāpyaḥ (syāt tāvan na^eva^adhamarṇikaḥ //	K.563b/ su-samRddaH-^api dApyaH (syAt tAvat naH-^eva^aDamarNikaH //
   K.564a/ likhitaṃ muktakaṃ vā^api deyaṃ yat tu pratiśrutam /	K.564a/ liKitam muktakam vE-^api deyam yat tu pratiSrutam /
   K.564b/ para.pūrva.striyai yat tu (vidyāt kāma.kṛtaṃ nṛṇām //	K.564b/ para.-pUrva.-striyE yat tu (vidyAt kAma-.kRtam nRNAm //
   K.565a/ yatra hiṃsāṃ samutpādya krodhād dravyaṃ vināśya vā /	K.565a/ yatra hiMsAm samutpAdya kroDAt dravyam vinASya vA /
   K.565b/ uktaṃ tuṣṭikaraṃ yat tu (vidyād krodha.kṛtaṃ tu tat //	K.565b/ uktam tuzwi-karam yat tu (vidyAt kroDa.kRtam tu tat //
   K.566a/ svasthena^artena vā deyaṃ bhāvitaṃ dharma.kāraṇāt /	K.566a/ svasTena^artena vA deyam BAvitam Darma-.kAraNAt /
   K.566b/ adattvā tu mṛte dāpyas tat.suto na^atra saṃśayaḥ //	K.566b/ adattvA tu mRte dApyaH tat.-sutaH na^atra saMSayaH //
   K.567a/ nirdhanair anapatyais tu yat kṛtaṃ śauṇḍikādibhiḥ /	K.567a/ nirDanEH anapatyEH tu yat kRtam SONxikA-AdiBiH /
   K.567b/ tat.strīṇām upabhoktā tu (dadyāt tad.ṛṇam eva hi //	K.567b/ tat.strINAm upaBoktA tu (dadyAt tad-.RNam eva hi //
   K.568a/ śauṇḍika.vyādha.janaka.gopa.nāvika.yoṣitām /	K.568a/ SONxika.-vyADa.-jana-ka.ga-upa.nAvika-.yozitAm /
   K.568b/ adhiṣṭhātā ṛṇaṃ dāpyas tāsāṃ bhartṛ.kriyāsu tat //	K.568b/ aDizWAtAH RNam dApyaH tAsAm BartR.kriyAsu tat //
   K.569a/ na ca bhāryā.kṛtam ṛṇaṃ kathaṃcit patyur (ābhavet /	K.569a/ na ca BAryA.kRtam RNam kaTaMcid patyuH (A-Bavet /
   K.569b/ āpatkṛtād ṛte puṃsāṃ kuṭumba.arthe hi vistaraḥ //	K.569b/ Apad-kRtAt Rte puMsAm kuwumba-.arTe hi vistaraH //
   K.570a/ anyatra rajaka.vyādha.gopa.śauṇḍika.yoṣitām /	K.570a/ anyatra rajaka.vyADa.-gopa.SONxika-.yozitAm /
   K.570b/ teṣāṃ tu tat.parā vṛttiḥ kuṭumbaṃ ca tad.āśrayam //	K.570b/ tezAm tu tat.parA vRttiH kuwumbam ca tad-.ASrayam //
   K.571a/ amatena^eva putrasya pradhanā yā^anyam (āśrayet /	K.571a/ amatena^eva putrasya praDanAH yA^anyam (ASrayet /
   K.571b/ putreṇa^eva^apahāryaṃ tad.dhanaṃ duhitṛbhir vinā //	K.571b/ putreNa^eva^apahAryam tat-.Danam duhitRBiH vinA //
   K.572a/ ṛṇa.artham (āharet tantuṃ na sukha.arthaṃ kadācana /	K.572a/ RNa-.arTam (a-Aharet tantum na suKa-.arTam kadAcana /
   K.572b/ ayukte kāraṇe yasmāt pitarau tu na (dāpayet //	K.572b/ ayukte kAraNe yasmAt pitarO tu na (dApayet //
   K.573a/ yā sva.putraṃ tu (jahyāt strī samartham api putriṇī /	K.573a/ yA sva.putram tu (jahyAt strI samarTam api putriNI /
   K.573b/ āhṛtya strī.dhanaṃ tatra pitrya.ṛṇaṃ (śodhayen manuḥ //	K.573b/ AhRtya strI.Danam tatra pitrya-.RNam (SoDayet manuH //
   K.574a/ bāla.putra.adhika.arthā ca bhartāraṃ yā^anyam āśritā /	K.574a/ bAla.putra.aDika-.arTA ca BartAram yA^anyam ASritAH /
   K.574b/ āśritas tad.ṛṇaṃ (dadyād bāla.putrā.vidhiḥ smṛtaḥ //	K.574b/ ASritaH tad-.RNam (dadyAt bAla.putrA.-viDiH smRtaH //
   K.575a/ dīrgha.pravāsi.nirbandhu.jaḍa.unmatta.ārta.liṅginām /	K.575a/ dIrGa.-pravAsi.-nirbanDu.-jaxa-.-unmatta-.Arta.-liFginAm /
   K.575b/ jīvatām api dātavyaṃ tat.strī.dravya.samāśritaiḥ //	K.575b/ jIvatAm api dAtavyam tat-.strI.dravya.-samASritEH //
   K.576a/ vyasana.abhiplute putre bālo vā yatna (dṛśyate /	K.576a/ vyasana-.aBiplute putre bAlaH vA yatnaH (dRSyate /
   K.576b/ dravya.hṛd (dāpyate tatra tasya^abhāve purandhrihṛt //	K.576b/ dravya.hRt (dApyate tatra tasya^aBAve puranDri-hRt //
   K.577a/ pūrvaṃ (dadyād dhana.grāhaḥ putras tasmād anantaram /	K.577a/ pUrvam (dadyAt Dana.grAhaH putraH tasmAt anantaram /
   K.577b/ yoṣid.grāhaḥ sutā.bhāve putro vā^atyanta.nirdhanaḥ //	K.577b/ yozit-.grAhaH sutA.BAve putraH vA^atyanta.-nirDanaH //
   K.578a/ deyaṃ bhāryā.kṛtam ṛṇaṃ bhartrā putreṇa mātṛkam /	K.578a/ deyam BAryA.kRtam RNam BartrA putreNa mAtRkam /
   K.578b/ bhartur arthe kṛtaṃ yat (syād abhidhāya gate diśam //	K.578b/ BartuH arTe kRtam yat (syAt aBiDAya gate diSam //
   K.579a/ deyaṃ putra.kṛtaṃ tat (syād yac ca (syād anuvarṇitam /	K.579a/ deyam putra.kRtam tat (syAt yat ca (syAt anuvarNitam /
   K.579b/ kṛta.asaṃvāditaṃ yac ca śrutvā ca^eva^anucoditam //	K.579b/ kRta.a-saMvAditam yat ca SrutvA ca^eva^anucoditam //
   [adharmaṇikasya^avarodhādinā dhana.uddhāra.vicāra]	[aDarmaNikasya^avaroDa-AdinA Dana-.udDAra.-vicAra]
   K.580a/ dhāryo^avaruddhas tv ṛṇikaḥ prakāśaṃ jana.saṃsadi /	K.580a/ DAryaH-^avarudDaH tu RNikaH prakASam jana.-saMsadi /
