   aṣṭamaḥ paricchedaḥ	azwamaH paricCedaH
        (vi, ba) idānīm uktanāmnāṃ bhinnalakṣaṇānāṃ	(vi, ba) idAnIm ukta-nAmnAm Binna-lakzaNAnAm
   paroktadaśārthaguṇānāmapyanaṅgīkārabījamāha---ojaḥ prasāda ityādi /	para-ukta-daSa-arTa-guNAnAm-api-anaFgIkAra-bIjam-Aha---ojaH prasAdaH ityAdi /
        oja ādi udāhāntāḥ pañcārthaguṇāḥ tadabhāvasya doṣatvādeva svīkṛtā	ojaH Adi udAha-antAH paQcArTa-guNAH tad-aBAvasya doza-tvAt-eva svIkRtA
   ityarthaḥ /	iti-arTaH /
        tathā ca doṣābhāva eva ete pañcaguṇā ityarthaḥ /	taTA ca doza-aBAvaH eva ete paQcaguNAH iti-arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   ojaḥ sābhiprāyatvarūpam /	ojaH sa-aBiprAya-tva-rUpam /
   prasādor'thavaimalyam /	prasAdoH-aTa-vEmalyam /
   mādhuryamuktivaicitryam saukumāryamapāruṣyam /	mADurya-mukti-vEcitryam sOkumAryam-apAruzyam /
   udāratā agramyatvam /	udAra-tA agramya-tvam /
   eṣāṃ pañjānāmapyarthaguṇānāṃ	ezAm paQjAnAm-api-arTa-guNAnAm
   yathākramamapuṣṭārthādhikapadānavīkṛtāmaṅgalarūpāślīlagrāmyāṇāṃnirākaraṇenaivāṅgīkāraḥ	yaTAkramam-apuzwa-arTa-aDika-padAnavIkRta-amaFgala-rUpa-aSlIla-grAmyANAMnirAkaraNena-eva-aFgIkAraH
   spaṣṭānyudāharaṇāni /	spazwAni-udAharaNAni /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, bha) oja ādipañcaguṇānāṃ lakṣaṇānyāha---oja iti /	(vi, Ba) ojaH Adi-paQca-guNAnAm lakzaNAni-Aha----ojaH iti /
        viśeṣyapuṣṭyabhiprāyakaviśeṣaṇatvaṃ sābhiprāyatvam /	viSezya-puzwi-aBiprAyaka-viSezaNa-tvam sa-aBiprAya-tvam /
        taccāpuṣṭārthatvadoṣābhāvatvena svīkṛtam /	tat-ca-apuzwa-arTa-tva-doza-aBAva-tvena svIkRtam /
        arthavaimalyamadhikapadenākaluṣīkaraṇam /	arTa-vEmalyam-aDika-padena-akaluzIkaraNam /
        taccādhikapadatvadoṣābhāvatvena uktivaicitryam	tat-ca-aDika-pada-tva-doza-aBAva-tvena ukti-vEcitryam
   anekavārapratipādanīyasyārthasya bhaṅgyantareṇa kathanam, tacca	aneka-vAra-pratipAdanIyasya-arTasya BaFgi-antareNa kaTanam, tat-ca
   anavīkṛtvādoṣābhāvatvena /	anavIkRtvA-doza-aBAva-tvena /
        apāruṣyamamaṅgalarūpapāruṣyavirahaḥ, /	apAruzyam-amaFgala-rUpa-pAruzya-virahaH, /
        taccāmaṅgalāślīlatvadoṣābhāvatvena,	tat-ca-amaFgala-aSlIlatva-doza-aBAva-tvena,
   agramyatāvaidagdhyapratipādakārthabhinnatvam; tacca	agramyatA-vEdagDya-pratipAdaka-arTa-Binna-tvam; tat-ca
   grāmyatvadoṣābhāvatvena svīkṛtamityarthaḥ /	grAmya-tva-doza-aBAva-tvena svIkRtam-iti-arTaH /
        spaṣṭānīti---etaddoṣapañcakarahitaślokā evetyarthaḥ /	spazwAni-iti---etad-doza-paQcaka-rahita-SlokAH eva-iti-arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   arthavyaktiḥ svabhāvoktyālaṅkāreṇa tathā punaḥ /	arTa-vyaktiH svaBAva-uktyA-alaFkAreNa taTA punar /
   rasadhvaniguṇībhūtavyaṅgyānāṃ kāntināmakaḥ // VisSd_8.15 //	rasa-Dvani-guNIBUta-vyaFgyAnAm kAnti-nAmakaH // VisSd-_8.15 //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ma) rasadhvaniḥ śūnyaṃ vāsagṛhamityādi /	(vi, ma) rasa-DvaniH SUnyam vAsagRham-ityAdi /
        rasaguṇībhūtavyaṅgyaḥ /	rasa-guNIBUta-vyaFgyaH /
        "ayaṃ sa rasanotkarṣo" tyādi aparāṅgam /	"ayam sa rasanA-utkarzo" tyAdi apara-aFgam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   aṅgīkṛta iti sambandhaḥ /	aFgIkRtaH iti sambanDaH /
   arthavyaktirvastusvabhāvasphuṭatvam /	arTa-vyaktiH-vastu-svaBAva-sPuwa-tvam /
   Locanā:	LocanA:
   (lo, u) uddhatārthaḥ prodyaddurddharetyādau /	(lo, u) udData-arTaH prodyat-durdDara-ityAdO /
   arthavyaktiryayo-- lāṅgūlenābhihatya kṣititalamasakṛddārayannagrapadbhyā-	arTa-vyaktiH-yayo- lAFgUlena-aBihatya kziti-talam-asakRt-dArayan=-agrapadByA-
   mātmanyevāvalīya drutamatha gaganaṃ protpatan vikameṇa /	mA-Atmani-eva-AvalIya drutam-aTa gaganam protpatan vikameNa /
   sphūrjatphutkāraghoraḥ pratidiśamakhilān vārayanneṣa jantūn kopāviṣṭaḥ	sPUrjat-PutkAra-GoraH pratidiSam-aKilAn vArayan=-eza jantUn kopa-AvizwaH
   praviṣṭaḥ prativanamarūṇocchūnacakṣustarakṣuḥ //	pravizwaH prativana-m-arUNa-ucCUna-cakzuH-tarakzuH //
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   kāntirdeptarasatvam /	kAntiH-depta-rasa-tvam /
   spaṣṭe udāharaṇe /	spazwe udAharaNe /
   śleṣo vicitratāmātramadoṣaḥ samatā param /	SlezaH vicitra-tA-mAtram-adozaH sama-tA param /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ya) vicitratāmātramiti---tathā ca vaicitryamalaṅkāra	(vi, ya) vicitra-tA-mAtram-iti----taTA ca vEcitryam-alaFkAra
   ityalaṅkārasāmānyalakṣaṇākrāntatvādalaṅkāra evaisau na guṇa ityarthaḥ /	iti-alaFkAra-sAmAnya-lakzaNa-AkrAnta-tvAt-alaFkAraH eva-esO na guNaH iti-arTaH /
        samateti /	samatA-iti /
        samatā paramadoṣo doṣābhāvamātramityarthaḥ /	sama-tA parama-dozaH doza-aBAva-mAtram-iti-arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   śleṣaḥ kramakauṭilyānulvaṇatvopapattiyogarūpaghaṭanātmā /	SlezaH krama-kOwilya-anulvaNa-tva-upapatti-yoga-rUpa-Gawana-AtmA /
   tatra kramaḥ kriyāsantatiḥ, vidagdhaceṣṭitaṃ kauṭilyam,	tatra kramaH kriyA-santatiH, vidagDa-cezwitam kOwilyam,
   aprasiddhavarṇanāviraho 'nulvaṇatvam, upapādakayuktivinyāsa upapattiḥ eṣāṃ	aprasidDa-varNanA-virahaH anulvaNa-tvam, upapAdaka-yukti-vinyAsaH upapattiH ezAm
   yogaḥ sammelanaṃ sa eva rūpaṃ yasyā ghaṭanāyāstadrūpaḥ śleṣo	yogaH sammelanam saH eva rUpam yasyAH GawanAyAH-tad-rUpaH SlezaH-
   vaicitryamātram /	vEcitrya-mAtram /
   ananyasādhāraṇarasopakaritvātiśayavirahāditi bhāvaḥ /	ananya-sADAraNa-rasa-upakaritvA-atiSaya-virahAt-iti BAvaH /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ra) tatra śleṣalakṣaṇamāha---śleṣakrameti /	(vi, ra) tatra Sleza-lakzaNam-Aha---Sleza-krama-iti /
        kramādīn vyācaṣṭe-kramaḥ kriyate---sākāṅkṣākriyābāhulyamityarthaḥ /	krama-AdIn vyAcazwe-kramaH kriyate---sA-kAFkzA-kriyA-bAhulyam-iti-arTaH /
        kramakauṭilyetyādi bahuvrīhisamāsaṃ vivṛṇotisa eva rūpaṃ yasyā iti /	krama-kOwilya-ityAdi bahu-vrIhi-samAsam vivRNotisaH eva rUpam yasyAH iti /
        sa eva eṣāṃ yoga eva ityarthaḥ /	saH eva ezAm yogaH eva iti-arTaH /
        tadrūpa ityatra rūpapadamātmapadārthavivaraṇam /	tad-rUpaH iti-atra rUpa-padam-Atma-padArTa-vivaraNam /
        ananyeti /	ananyA-iti /
        mādhuryyādayastadantarbhūtaṃ guṇāntaraṃ vā yathā	mADuryya-AdayaH-tad-antarBUtam guNa-antaram vA yaTA
   vilakṣaṇarasopakārātiśayaheturasya, tathātvavirahānna guṇatvabhityarthaḥ /	vilakzaNa-rasa-upakAra-atiSaya-heturasya, taTA-tva-virahAt-na guNa-tu-a-Biti-arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   yathā---	yaTA---
   "dṛṣṭvaikānasāṃsthite priyatame-" ityādi /	"dRzwvA-ekAnasAMsTite priyatame-" ityAdi /
   atra darśanādayaḥ kriyāḥ, ubhayasamarthanarūpaṃ kauṭilyam,	atra darSana-AdayaH kriyAH, uBaya-samarTana-rUpam kOwilyam,
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, la) dṛṣṭvaiketi---priyatame priyatamādvayam ekāsanasaṃsthita tad	(vi, la) dRzwvA-eka-iti-----priyatame priyatamA-dvayam eka-Asana-saMsTita tat-
   dvayaṃ dṛṣṭvā dhūrtto nāyakaḥ paścāt pṛṣṭhataḥ upetya	dvayam dRzwvA DUrttaH nAyakaH paScAt pRzWatas upetya
   vihitakrīḍānubandhacchalaḥ san ekasyā nayane nayanadvayaṃ pidhāya	vihita-krIxA-anubanDa=-CalaH san ekasyAH nayane nayana-dvayam piDAya
   īṣadvakritakandharaḥ sapulakaḥ san ādarādaparāṃ cumbati /	Izat-vakrita-kanDaraH sa-pulakaH san AdarAt-aparAm cumbati /
        aparāṃ kīdṛśī, premṇā ullasanmanasām antarhāsena lasatkapole pulako	aparAm kIdRSI, premNA ullasat-manasAm antarhAsena lasat-kapole pulakaH-
   yasyāstādṛśī ca /	yasyAH-tAdRSI ca /
        ubhayasamarthaneti---pihitanayanāyāḥ krodhaḥ, cumbitāyāḥ	uBaya-samarTanA-iti----pihita-nayanAyAH kroDaH, cumbitAyAH
   prītiścetyumayaṃ pṛṣṭato gamanena nayanapidhānena ca	prItiH-ca-iti-u-mayam pRzwataH gamanena nayana-piDAnena ca
   vidagdhaceṣṭitarūpakauṭilyena tatsamarthanaṃ samarthanarūpamityatra karaṇe	vidagDa-cezwita-rUpa-kOwilyena tad-samarTanam samarTana-rUpam-iti-atra karaNe
   lyuṭ /	lyuh /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   lokasaṃvyavahārarupamanulvaṇatvam, ekāsanasaṃsthite, "paścādupetya"	loka-saMvyavahAra-rupam-anulvaNa-tvam, eka-Asana-saMsTite, "paScAt-upetya"
   "nayane pidhāya" "īṣadvaktritakandharaḥ" iti copapādakāni, eṣāṃ yogaḥ /	"nayane piDAya" "Izat-vaktrita-kanDaraH" iti ca-upapAdakAni, ezAm yogaH /
   anena ca vācyopapattigrahaṇavyagratayā rasatvādau vyavahitaprāya	anena ca vAcya-upapatti-grahaNa-vyagra-tayA rasa-tva-AdO vyavahita-prAya
   ityasyāguṇatā /	iti-asya-aguNa-tA /
   samatā ca prakrāntaprakṛtipratyayāviparyāsenārthasya visaṃvāditāvicchedaḥ	sama-tA ca prakrAnta-prakRti-pratyaya-aviparyAsena-arTasya visaMvAditA-vicCedaH
   sa ca prakramabhaṅgarūpaviraha eva /	sa ca prakrama-BaFga-rUpa-virahaH eva /
   spaṣṭamudāharaṇam /	spazwam-udAharaNam /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, va) lokavyavahāreti---anyalokairapyevaṃ karaṇāt /	(vi, va) loka-vyavahAra-iti---anya-lokEH-api-evam karaNAt /
        upapādakānīti---sapatnyādṛśyamānacumbanopapādakānītyarthaḥ /	upapAdakAni-iti---sapatnyA-dRSyamAna-cumbana-upapAdakAni-iti-arTaH /
        asya guṇatvābhāvaṃ darśayati---anena ceti /	asya guNa-tva-aBAvam darSayati---anena ca-iti /
        vācyaṃ yaccumbanaṃ paścādgamanādinā tadupapattergrahaṇaniṣpādane	vAcyam yat-cumbanam paScAt-gamana-AdinA tad-upapatteH-grahaNa-nizpAdane
   dhūrttasya vyagratayā tadvodhāt boddhṝṇāṃ rasāsvādo vyavahitaprāya	DUrttasya vyagra-tayA tad-voDAt bodDLNAm rasa-AsvAdaH vyavahita-prAya
   ityarthaḥ /	iti-arTaH /
        kiñjiddhilambanāditibhāvaḥ /	kiQjit-hi-lambanAt-iti-BAvaH /
        prakrānteti---prakrāntayoḥ prakramyamāṇayoḥ prakṛtipratyayayoḥ	prakrAntA-iti----prakrAntayoH prakramyamANayoH prakRti-pratyayayoH
   sāmyamityarthaḥ /	sAmyam-iti-arTaH /
        spaṣṭamiti /	spazwam-iti /
        prakramabhaṅgadoṣarahitaśloka evetyarthaḥ /	prakrama-BaFga-doza-rahita-Sloke eva-iti-arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   na guṇatvaṃ samādheśca---	na guNa-tvam samADeH-ca---
   samādhiścāyonyanyacchāyāyonirūpadvividhārthadṛṣṭirūpaḥ /	samADiH-ca-ayoni-anyat-CAyA-yonirUpa-dviviDa-arTa-dRzwi-rUpaH /
   tatrāyonirartho yathā---	tatra-ayonirarTaH yaTA---
   "sadyomuṇḍitamattahūṇacibukapraspardhi nāraṅgakam /	"sadyas-muNxita-matta-hUNa-cibuka-prasparDi nAraFgakam /
   anyacchāyāyoniryathā---	anya=-CAyA-yoniH-yaTA---
   "nijanayanaprativimbairambuni bahuśaḥ pratāritā kāpi /	"nija-nayana-prativimbEH-ambuni bahuSas pratAritA kA-api /
   nīlotpale 'pi vimṛśati karamarpayituṃ kusumalāvī" //	nIlotpale api vimRSati karam-arpayitum kusuma-lAvI" //
   atra nīlotpalanayanayoratiprasiddhaṃ sādṛśyaṃ vicchittiviśeṣeṇa nibaddham	atra nIlotpala-nayanayoH-ati-prasidDam sAdRSyam vicCitti-viSezeNa nibadDam
   asya cāsādhāraṇaśobhānādhāyakatvānna guṇatvam, kintu	asya ca-asADAraNa-SoBAnADAyaka-tvAt-na guNa-tvam, kintu
   kāvyaśarīramātranirvartakatvam /	kAvya-SarIra-mAtra-nirvartaka-tvam /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, śa) ayoniranyairavarṇitārthaḥ /	(vi, Sa) ayoniH-anyEH-avarNita-arTaH /
        anyacchāyāyoniranyavarṇitārthānusārī, sadya iti /	anya=-CAyA-yoniranya-varNita-arTa-anusArI, sadyas iti /
        hūṇaḥ pāścātyadeśaviśeṣīyayavanaḥ, sa ca tāmravarṇaḥ /	hUNaH pAScAtya-deSa-viSezIya-yavanaH, sa ca tAmra-varNaH /
        mattatvena cātitāmraḥ , nāraṅgakaṃ nāraṅgaphalam ātitāmram /	matta-tvena ca-ati-tAmraH , nAraFgakam nAraFga-Palam AtitAmram /
        anyairavarṇito 'yamarthaḥ /	anyEH-avarNitaH ayam-arTaH /
        nijanayaneti---kāpi kusumalāvī mālākārapatnī jale	nija-nayanA-iti---kA-api kusuma-lAvI mAlAkAra-patnI jale
   nijanayanapratibimbe nīlotpalabhrameṇa taddharaṇe pravarttya tadaprāptyā	nija-nayana-pratibimbe nIlotpala-BrameNa tad-haraNe pravarttya tad-aprAptyA
   pratāritā vāstavanīlotpale 'pi karamarpāyituṃ tadbhavati na veti	pratAritA vAstava-nIlotpale api karam-arpAyitum tat-Bavati na vA-iti
   vimṛśatītyarthaḥ /	vimRSati-iti-arTaH /
        iyamanyavarṇitārthacchāyā /	iyam-anya-varNita-arTa=-CAyA /
        asya ceti---tanubhrameṇa rasānupakārāditi bhāvaḥ /	asya ca-iti---tanu-BrameNa rasAn-upakArAt-iti BAvaH /
        Locanā:	LocanA:
        (lo, ū) ayoniḥ pūrvakavibhiradṛṣṭor'thaḥ /	(lo, U) ayoniH pUrva-kaviBiH-adRzwor-aTaH /
        kāvyaśarīramātranirvāhakatvametat prakāradvayavyatirekeṇa	kAvya-SarIra-mAtra-nirvAhaka-tvam-etat prakAra-dvaya-vyatirekeNa
   kāvyaśarīrānirvāhāt /	kAvya-SarIra-anirvAhAt /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   kvacit "candram" ityekasmin padārthe vaktavye "atrernayanasamutthaṃ	kvacid "candram" iti-ekasmin padArTe vaktavye "atreH-nayana-samutTam
   jyotiḥ" iti vākyavacanam /	jyotiH" iti vAkya-vacanam /
   Locanā:	LocanA:
   (lo, ṛ) vākyavacanamiti padasamūhābhidhānam /	(lo, R) vAkya-vacanam-iti pada-samUha-aBiDAnam /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   kvacit "nidāghaśītalahimakāloṣṇsukumāraśarīrāvayavā yoṣit" iti vākyārthe	kvacid "nidAGa-SItala-hima-kAla-uzNsu-kumAra-SarIra-avayavAH yozit" iti vAkya-arTe
   vaktavye "varavaṇinī" iti padābhidhānam /	vaktavye "vara-vaNinI" iti pada-aBiDAnam /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ṣa) prauḍhiroja ityaparaḥ parokta ojoguṇaḥ /	(vi, za) prOXiH-ojaH iti-aparaH paroktaH ojaH-guNaH /
        tatra ca padārthe vākyaracanā vākyārthe ca padābhidhā /	tatra ca padArTe vAkya-racanA vAkya-arTe ca pada-aBiDA /
        prādirvyāsasamāsau ca iti caturvidhā prauḍhiḥ parairuktā /	prAdirvyAsa-samAsO ca iti caturviDA prOXiH parEH-uktAH /
        tasya guṇatvaṃ nocitam iti vaktuṃ tadīyaṃ padārthe	tasya guNa-tvam na-ucitam iti vaktum tadIyam padArTe
   vākyaracanetyādikaṃ darśayati---kvaciñcandra itīti /	vAkya-racanA-iti-Adikam darSayati----kvaciQcandraH iti-iti /
        vākyārthe padābhidhānaṃ darśayati---kvacinnidāgheti /	vAkya-arTe pada-aBiDAnam darSayati---kvacid-nidAGa-iti /
        śītakāle bhaveduṣṇā grīṣme ca sukhaśītalā /	SIta-kAle Bavet-uzNA grIzme ca suKa-SItalA /
        sarvāvayavaśobhāḍhyā sā smṛtā varavarṇinī /	sarva-avayava-SoBA-AXyA sA smRtA varavarNinI /
        iti varavarṇinīlakṣaṇaṃ vyāsaṃ darśayadi /	iti varavarNinI-lakzaNam vyAsam darSayadi /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   kvacidekasya vākyārthasya	kvacid-ekasya vAkya-arTasya
   kiñcidviśeṣaniveśādanekairvākyārabhidhānamityevaṃrūpo vyāsaḥ /	kiQcid-viSeza-niveSAt-anekEH-vAkya-AraBiDAnam-iti-evaMrUpaH vyAsaH /
   kvacidvahuvākyapratipādyasyaikavākyenābhidhānamityevaṃrūpaḥ samāsaśca,	kvacid-vahu-vAkya-pratipAdyasya-eka-vAkyena-aBiDAnam-iti-evaMrUpaH samAsaH-ca,
   Locanā:	LocanA:
   (lo, ṝ) vākyārthanyāso yathā--- asau nānākāro bhavati sukhaduḥ	(lo, L) vAkya-arTa-nyAsaH yaTA-- asO nAnA-AkAraH Bavati suKaduH
   khavyatikaraḥ sukhaṃ vā duḥkhaṃ vā prabhavati bhavatyeva bhavataḥ /	Ka-vI-atikaraH suKam vA duHKam vA praBavati Bavati-eva BavataH /
   janastasmādūrddhaṃ bhavati na ca duḥkhaṃ na ca sukham /	janaH-tasmAt-UrdDam Bavati na ca duHKam na ca suKam /
   iti asyaiva samāso yathā--- śrūyatāṃ dharmasarvasvaṃ śrutvā	iti asya-eva samAsaH yaTA-- SrUyatAm Darma-sarva-svam SrutvA
   caivāvadhāryyatām /	ca-eva-avaDAryyatAm /
   ātmanuḥ pratikūlāni pareṣāṃ na samācareti //	AtmanuH pratikUlAni parezAm na samAcara-iti //
   iti	iti
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   ityevamādīnāmanyairuktānāṃ na guṇatvamucitam,	iti-evamAdInAm-anyEH-uktAnAm na guNa-tvam-ucitam,
   Locanā:	LocanA:
   (lo, ḷ) na guṇatvam---ananyasādhāraṇarasopakāritābhāvāditi bhāvaḥ /	(lo, ?) na guNa-tvam----ananya-sADAraNa-rasa-upakArita-aBAvAt-iti BAvaH /
   iti /	iti /
   iti śrīsāhityadarpaṇalocane guṇanirūpaṇo nāmāṣṭamaḥ paricchedaḥ /	iti SrI-sAhitya-darpaNa-locane guNanirUpaNaH nAma-azwamaH paricCedaH /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   api tu vaicitryamātrāvahatvam /	api tu vEcitrya-mAtra-Avaha-tvam /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, sa) kvacidekasyeti---veśeṣāt vicchedaviśeṣāt khaṇḍakhaṇḍavākyena	(vi, sa) kvacid-ekasya-iti---veSezAt vicCeda-viSezAt KaNxa-KaNxa-vAkyena
   kathanādityarthaḥ /	kaTanAt-iti-arTaH /
        yathā nāyaṃ paṇḍita ityekavākyena vaktavye nāyaṃ vyākaraṇaṃ nāyaṃ	yaTA na-ayam paNxitaH iti-eka-vAkyena vaktavye na-ayam vyAkaraNam na-ayam
   tarkaṃ vettītyādikhaṇḍakhaṇḍavākyena samastaśāstrājñānakathanam /	tarkam vetti-iti-Adi-KaNxa-KaNxa-vAkyena samasta-SAstra-ajQAna-kaTanam /
        samāsaṃ darśayati---kvacidūhviti /	samAsam darSayati---kvacidUhu-iti /
        bahupratipādyasya bahuvākyapratipādyasya yathā	bahu-pratipAdyasya bahu-vAkya-pratipAdyasya yaTA
   darśitavyāsaviparyyayaḥ--evamādīnāṃmiti /	darSita-vyAsa-viparyyayaH--evam-AdInAMm-iti /
        aujoguṇatvena anyairuktānāṃ caturvidhaprauḍhīnāmityarthaḥ /	OjaH-guNa-tvena anyEH-uktAnAm caturviDa-prOXInAm-iti-arTaH /
        vaicitryamātreti tathā cālaṅkāra evāyamityarthaḥ /	vEcitrya-mAtrA-iti taTA ca-alaFkAraH eva-ayam-iti-arTaH /
        iti śrīmaheśvaranyāyālaṅkārabhaṭṭācāryyaviracitāyāṃ	iti SrI-maheSvara-nyAya-alaFkAra-Bawwa-AcAryi-aviracitAyAm
   sāhityadarpaṇaṭīkāyāṃ guṇavivecanākhyasyāṣṭamaparicchedasya vivaraṇam	sAhitya-darpaNa-wIkAyAm guNa-vivecana-AKyasya-azwama-paricCedasya vivaraNam
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   ---tena nārthaguṇāḥ pṛthak // VisSd_8.16 //	---tena na-arTa-guNAH pRTak // VisSd-_8.16 //
   tenoktaprakāreṇa /	tena-ukta-prakAreNa /
   arthaguṇa ojaḥ prabhṛtayaḥ proktāḥ /	arTa-guNaH ojaH praBRtayaH proktAH /
   iti sāhityadarpaṇe guṇavivecano nāmāṣṭamaḥ paricchedaḥ /	iti sAhitya-darpaNe guNavivecanaH nAma-azwamaH paricCedaH /
