   1. brahmakāṇḍam	1. brahma-kANxam
   teṣāṃ tadānīṃ bhinnasya % kiṃ padārthasya sattayā // 2.395 //	tezAm tadAnIm Binnasya % kim padArTasya sat-tayA // 2.395 //
   atha tair eva janitaḥ $ so 'rtho bhinneṣu vartate &	aTa tEH eva janitaH $ saH arTaH Binnezu vartate &
   pūrvasyārthasya tena syād % virodhaḥ saha vā sthitiḥ // 2.396 //	pUrvasya-arTasya tena syAt % viroDaH saha vA sTitiH // 2.396 //
   sahasthitau virodhitvaṃ $ syād viśiṣṭāviśiṣṭayoḥ &	saha-sTitO viroDi-tvam $ syAt viSizwa-aviSizwayoH &
   vyabhicārī tu saṃbandhas % tyāge 'rthasya prasajyate // 2.397 //	vyaBicArI tu saMbanDaH % tyAge arTasya prasajyate // 2.397 //
   ekaḥ sādhāraṇo vācyaḥ $ pratiśabdam avasthitaḥ &	ekaH sADAraNaH vAcyaH $ pratiSabdam avasTitaH &
   saṅghe saṅghiṣu cārthātmā % saṃnidhānanideśakaḥ // 2.398 //	saFGe saFGizu ca-arTa-AtmA % saMniDAna-nideSakaH // 2.398 //
   yathā sādhāraṇe svatvaṃ $ tyāgasya ca phalaṃ dhane &	yaTA sADAraNe sva-tvam $ tyAgasya ca Palam Dane &
   prītiś cāvikalā tadvat % saṃbandho 'rthena tadvatām // 2.399 //	prItiH ca-avikalA tadvat % saMbanDaH arTena tadvatAm // 2.399 //
   varṇānām arthavattāyāṃ $ tenaivārthena tadvati &	varNAnAm arTavat-tAyAm $ tena-eva-arTena tadvati &
   samudāye na caikatvaṃ % bhedena vyavatiṣṭhate // 2.400 //	samudAye na ca-eka-tvam % Bedena vyavatizWate // 2.400 //
   ekenaiva pradīpena $ sarve sādhāraṇaṃ dhanam &	ekena-eva pradIpena $ sarve sADAraNam Danam &
   paśyanti tadvad ekena % supā saṃkhyābhidhīyate // 2.401 //	paSyanti tadvat ekena % supA saMKyA-aBiDIyate // 2.401 //
   nārthavattā pade varṇe $ vākye caivaṃ viśiṣyate &	na-arTavattA pade varNe $ vAkye ca-evam viSizyate &
   abhyāsāt prakramo 'nyas tu % viruddha iva dṛśyate // 2.402 //	aByAsAt prakramaH anyaH tu % virudDaH iva dRSyate // 2.402 //
   viniyogād ṛte śabdo $ na svārthasya prakāśakaḥ &	viniyogAt Rte SabdaH $ na sva-arTasya prakASakaH &
   arthābhidhānasaṃbandham % uktidvāraṃ pracakṣate // 2.403 //	arTa-aBiDAna-saMbanDam % ukti-dvAram pracakzate // 2.403 //
   yathā praṇihitaṃ cakṣur $ darśanāyopakalpate &	yaTA praNihitam cakzuH $ darSanAya-upakalpate &
   tathābhisaṃhitaḥ śabdo % bhavaty arthasya vācakaḥ // 2.404 //	taTA-aBisaMhitaH SabdaH % Bavati arTasya vAcakaH // 2.404 //
   kriyāvyavetaḥ saṃbandho $ dṛṣṭaḥ karaṇakarmaṇoḥ &	kriyA-vyavetaH saMbanDaH $ dRzwaH karaNa-karmaNoH &
   abhidhāniyamas tasmād % abhidhānābhidheyayoḥ // 2.405 //	aBiDA-niyamaH tasmAt % aBiDAna-aBiDeyayoH // 2.405 //
   bahuṣv ekābhidhāneṣu $ sarveṣv ekārthakāriṭu &	bahuzu eka-aBiDAnezu $ sarvezu eka-arTa-kAriwu &
   yat prayoktābhisaṃdhatte % śabdas tatrāvatiṣṭhate // 2.406 //	yat prayoktA-aBisaMDatte % SabdaH tatra-avatizWate // 2.406 //
   āmnāyaśabdān abhyāse $ ke cid āhur anarthakān &	AmnAya-SabdAn aByAse $ ke cit AhuH anarTakAn &
   svarūpamātravṛttiṃś ca % pareṣāṃ pratipādane // 2.407 //	sva-rUpa-mAtra-vRttin ca % parezAm pratipAdane // 2.407 //
   abhidhānakriyāyogād $ arthasya pratipādakān &	aBiDAna-kriyA-yogAt $ arTasya pratipAdakAn &
   niyogabhedān manyante % tān evaikatvadarśinaḥ // 2.408 //	niyoga-BedAn manyante % tAn eva-eka-tva-darSinaH // 2.408 //
   teṣām atyantanānātvaṃ $ nānātvavyavahāriṇaḥ &	tezAm atyanta-nAnA-tvam $ nAnA-tva-vyavahAriNaH &
   akṣādīnām iva prāhur % ekajātisamanvayāt // 2.409 //	akza-AdInAm iva prAhuH % eka-jAti-samanvayAt // 2.409 //
   prayogād abhisaṃdhānam $ anyad eṣu na vidyate &	prayogAt aBisaMDAnam $ anyat ezu na vidyate &
   viṣaye yataśaktitvāt % sa tu tatra vyavasthitaḥ // 2.410 //	vizaye yata-Sakti-tvAt % sa tu tatra vyavasTitaH // 2.410 //
   nānātvasyaiva saṃjñānam $ arthaprakaraṇādibhiḥ &	nAnAtvasya-eva saMjQAnam $ arTa-prakaraNa-AdiBiH &
   na jātv arthāntare vṛttir % anyārthānāṃ kathaṃ ca na // 2.411 //	na jAtu arTa-antare vRttiH % anya-arTAnAm kaTam ca na // 2.411 //
   padarūpaṃ ca yad vākyam $ astitvopanibandhanam &	pada-rUpam ca yat vAkyam $ astitva-upanibanDanam &
   kāmaṃ vimarśas tatrāyaṃ % na vākyāvayave pade // 2.412 //	kAmam vimarSaH tatra-ayam % na vAkya-avayave pade // 2.412 //
   yathaivānarthakair varṇair $ viśiṣṭo 'rtho 'bhidhīyate &	yaTA-eva-anarTakEH varNEH $ viSizwaH arTaH aBiDIyate &
   padair anarthakair evaṃ % viśiṭṭo 'rtho 'bhidhīyate // 2.413 //	padEH anarTakEH evam % viSiwwaH arTaH aBiDIyate // 2.413 //
   yad antarāle jñānaṃ tu $ padārtheṣūpajāyate &	yat antarAle jQAnam tu $ padArTezu-upajAyate &
   pratipatter upāyo 'sau % prakramānavadhāraṇāt // 2.414 //	pratipatteH upAyaH asO % prakramAnavaDAraNAt // 2.414 //
   pūrvair arthair anugato $ yathārthātmā paraḥ paraḥ &	pUrvEH arTEH anugataH $ yaTA-arTa-AtmA paraH paraH &
   saṃsarga eva prakrāntas % tathānyeṣv arthavastuṣu // 2.415 //	saMsargaH eva prakrAntaH % taTA-anyezu arTa-vastuzu // 2.415 //
   aṅgīkṛte tu keṣāṃ cit $ sādhyenārthena sādhane &	aFgIkRte tu kezAm cit $ sADyena-arTena sADane &
   ādhāraniyamārthaiva % sādhanānāṃ punaḥ śrutiḥ // 2.416 //	ADAra-niyama-arTa-eva % sADanAnAm punar SrutiH // 2.416 //
   ādhāre niyamābhāvāt $ tadākṣepo na vidyate &	ADAre niyama-aBAvAt $ tad-AkzepaH na vidyate &
   sāmarthyāt saṃbhavas tasya % śrutis tv anyanivṛttaye // 2.417 //	sAmarTyAt saMBavaH tasya % SrutiH tu anya-nivRttaye // 2.417 //
   kriyā kriyāntarād bhinnā $ niyatādhārasādhanā &	kriyA kriyA-antarAt BinnA $ niyata-ADAra-sADanAH &
   prakrāntā pratipattṝṇāṃ % bhedāḥ saṃbodhahetavaḥ // 2.418 //	prakrAntA pratipattLNAm % BedAH saMboDa-hetavaH // 2.418 //
   avibhāgaṃ tu śabdebhyaḥ $ kramavadbhyo 'padakramam &	aviBAgam tu SabdeByaH $ kramavadByaH apadakramam &
   prakāśate tadanyeṣāṃ % vākyaṃ vākyārtha eva ca // 2.419 //	prakASate tad-anyezAm % vAkyam vAkya-arTaH eva ca // 2.419 //
   svarūpaṃ vidyate yasya $ tasyātmā na nirūpyate &	svarUpam vidyate yasya $ tasya-AtmA na nirUpyate &
   nāsti yasya svarūpaṃ tu % tasyaivātmā nirūpyate // 2.420 //	na-asti yasya svarUpam tu % tasya-eva-AtmA nirUpyate // 2.420 //
   aśabdam apare 'rthasya $ rūpanirdhāraṇaṃ viduḥ &	aSabdam apare arTasya $ rUpa-nirDAraNam viduH &
   arthāvabhāsarūpā ca % śabdebhyo jāyate smṛtiḥ // 2.421 //	arTa-avaBAsa-rUpA ca % SabdeByaH jAyate smRtiH // 2.421 //
   anyathaivāgnisaṃbandhād $ dāhaṃ dagdho 'bhimanyate &	anyaTA-eva-agni-saMbanDAt $ dAham dagDaH aBimanyate &
   anyathā dāhaśabdena % dāhārthaḥ saṃpratīyate // 2.422 //	anyaTA dAha-Sabdena % dAha-arTaH saMpratIyate // 2.422 //
   pṛthaṅniviṣṭatattvānāṃ $ pṛthagarthānupātinām &	pRTak-nivizwa-tattvAnAm $ pRTak-arTa-anupAtinAm &
   indriyāṇāṃ yathā kāryam % ṛte dehān na kalpate // 2.423 //	indriyANAm yaTA kAryam % Rte dehAn na kalpate // 2.423 //
   tathā padānāṃ sarveṣāṃ $ pṛthagarthaniveśinām &	taTA padAnAm sarvezAm $ pRTak-arTa-niveSinAm &
   vākyebhyaḥ pravibhaktānām % arthavattā na vidyate // 2.424 //	vAkyeByaH praviBaktAnAm % arTavat-tA na vidyate // 2.424 //
   saṃsargarūpaṃ saṃsṛṣṭeṣv $ arthavastuṣu gṛhyate &	saMsarga-rUpam saMsRzwezu $ arTa-vastuzu gRhyate &
   nātropākhyāyate tattvam % apadārthasya darśanāt // 2.425 //	na-atra-upAKyAyate tattvam % apadArTasya darSanAt // 2.425 //
   darśanasyāpi yat satyaṃ $ na tathā darśanaṃ sthitam &	darSanasya-api yat satyam $ na taTA darSanam sTitam &
   vastu saṃsargarūpeṇa % tad arūpaṃ nirūpyate // 2.426 //	vastu saMsarga-rUpeNa % tat arUpam nirUpyate // 2.426 //
   astitvenānuṣakto vā $ nivṛttyātmani vā sthitaḥ &	astitvena-anuzaktaH vA $ nivRtti-a-Atmani vA sTitaH &
   artho 'bhidhīyate yasmād % ato vākyaṃ prayujyate // 2.427 //	arTaH aBiDIyate yasmAt % atas vAkyam prayujyate // 2.427 //
   kriyānuṣaṅgeṇa vinā $ na padārthaḥ pratīyate &	kriyA-anuzaFgeNa vinA $ na padArTaH pratIyate &
   satyo vā viparīto vā % vyavahāre na so 'sty ataḥ // 2.428 //	satyaH vA viparItaH vA % vyavahAre na saH asti atas // 2.428 //
   sad ity etat tu yad vākyaṃ $ tad abhūd asti neti vā &	sat iti etat tu yat vAkyam $ tat aBUt asti na-iti vA &
   kriyābhidhānasaṃbandham % antareṇa na gamyate // 2.429 //	kriyA-aBiDAna-saMbanDam % antareNa na gamyate // 2.429 //
   ākhyātapadavācye 'rthe $ sādhanopanibandhane &	AKyAta-pada-vAcye arTe $ sADana-upanibanDane &
   vinā sattvābhidhānena % nākāṅkṣā vinivartate // 2.430 //	vinA sattva-aBiDAnena % na-AkAFkzA vinivartate // 2.430 //
   prādhānyāt tu kriyā pūrvam $ arthasya pravibhajyate &	prADAnyAt tu kriyA pUrvam $ arTasya praviBajyate &
   sādhyaprayuktāny aṅgāni % phalaṃ tasya prayojakam // 2.431 //	sADya-prayuktAni aFgAni % Palam tasya prayojakam // 2.431 //
   prayoktaivābhisaṃdhatte $ sādhyasādhanarūpatām &	prayoktA-eva-aBisaMDatte $ sADya-sADana-rUpa-tAm &
   arthasya cābhisaṃbandha- % kalpanāṃ prasamīhate // 2.432 //	arTasya ca-aBisaMbanDa % kalpanAm prasamIhate // 2.432 //
   pacikriyāṃ karotīti $ karmatvenābhidhīyate &	pacikriyAm karoti-iti $ karma-tvena-aBiDIyate &
   paktiḥ karaṇarūpaṃ tu % sādhyatvena pratīyate // 2.433 //	paktiH karaNa-rUpam tu % sADya-tvena pratIyate // 2.433 //
   yo 'ṃśo yenopakāreṇa $ prayoktṝṇāṃ vivakṣitaḥ &	yaH aMSaH yena-upakAreNa $ prayoktLNAm vivakzitaH &
   arthasya sarvaśaktitvāt % sa tathaiva vyavasthitaḥ // 2.434 //	arTasya sarva-Sakti-tvAt % sa taTA-eva vyavasTitaH // 2.434 //
   ārādvṛttiṣu saṃbandhaḥ $ kadā cid abhidhīyate &	ArAt-vRttizu saMbanDaH $ kadA cit aBiDIyate &
   āśliṣṭo yo 'nupaśliṣṭaḥ % sa kadā cit pratīyate // 2.435 //	ASlizwaH yaH anupaSlizwaH % sa kadA cit pratIyate // 2.435 //
   saṃsṛṣṭānāṃ vibhaktatvaṃ $ saṃsargaś ca vivekinām &	saMsRzwAnAm viBakta-tvam $ saMsargaH ca vivekinAm &
   nānātmakānām ekatvaṃ % nānātvaṃ ca viparyaye // 2.436 //	nAnA-AtmakAnAm eka-tvam % nAnAtvam ca viparyaye // 2.436 //
   sarvātmakatvād arthasya $ nairātmyād vā vyavasthitam &	sarva-Atmaka-tvAt arTasya $ nErAtmyAt vA vyavasTitam &
   atyantayataśaktitvāc % chabda eva nibandhanam // 2.437 //	atyantayata-Sakti-tvAt % CabdaH eva nibanDanam // 2.437 //
   vastūpalakṣaṇaḥ śabdo $ nopakārasya vācakaḥ &	vastu-upalakzaNaH SabdaH $ na-upakArasya vAcakaH &
   na svaśaktiḥ padārthānāṃ % saṃspraṣṭuṃ tena śakyate // 2.438 //	na sva-SaktiH padArTAnAm % saMsprazwum tena Sakyate // 2.438 //
   saṃbandhidharmā saṃyogaḥ $ svaśabdenābhidhīyate &	saMbanDi-DarmA saMyogaH $ sva-Sabdena-aBiDIyate &
   saṃbandhaḥ samavāyas tu % saṃbandhitvena gamyate // 2.439 //	saMbanDaH samavAyaH tu % saMbanDi-tvena gamyate // 2.439 //
   lakṣaṇād vyavatiṣṭhante $ padārthā na tu vastutaḥ &	lakzaNAt vyavatizWante $ padArTAH na tu vastutas &
   upakārāt sa evārthaḥ % kathaṃ cid anugamyate // 2.440 //	upakArAt saH eva-arTaH % kaTam cit anugamyate // 2.440 //
   vākyārtho yo 'bhisaṃbandho $ na tasyātmā kva cit sthitaḥ &	vAkya-arTaH yaH aBisaMbanDaH $ na tasya-AtmA kva cit sTitaH &
   vyavahāre padārthānāṃ % tam ātmānaṃ pracakṣate // 2.441 //	vyavahAre padArTAnAm % tam AtmAnam pracakzate // 2.441 //
   padārthe samudāye vā $ samāpto naiva vā kva cit &	padArTe samudAye vA $ samAptaH na-eva vA kva cit &
   padārtharūpabhedena % tasyātmā pravibhajyate // 2.442 //	padArTa-rUpa-Bedena % tasya-AtmA praviBajyate // 2.442 //
   anvākhyānāya yo bhedaḥ $ pratipattinibandhanam &	anvAKyAnAya yaH BedaH $ pratipatti-nibanDanam &
   sākāṅkṣāvayavaṃ bhede % tenānyad upavarṇyate // 2.443 //	sa-AkAFkza-avayavam Bede % tena-anyat upavarNyate // 2.443 //
   anekaśakter ekasya $ pravibhāgo 'nugamyate &	aneka-SakteH ekasya $ praviBAgaH anugamyate &
   ekārthatvaṃ hi vākyasya % mātrayāpi pratīyate // 2.444 //	eka-arTa-tvam hi vAkyasya % mAtrayA-api pratIyate // 2.444 //
   saṃpratyayārthād bāhyo 'rthaḥ $ sann asan vā vibhajyate &	saMpratyaya-arTAt bAhyaH arTaH $ san asan vA viBajyate &
   bāhyīkṛtya vibhāgas tu % śaktyapoddhāralakṣaṇaḥ // 2.445 //	bAhyIkRtya viBAgaH tu % Sakti-apa-udDAra-lakzaNaH // 2.445 //
   pratyayārthātmaniyatāḥ $ śaktayo na vyavasthitāḥ &	pratyaya-arTa-Atma-niyatAH $ SaktayaH na vyavasTitAH &
   anyatra ca tato rūpaṃ % na tāsām upalabhyate // 2.446 //	anyatra ca tatas rUpam % na tAsAm upalaByate // 2.446 //
   bahuṣv api tiṅanteṣu $ sākāṅkṣeṣv ekavākyatā &	bahuzu api tiFantezu $ sa-AkAFkzezu eka-vAkyatA &
   tiṅā tiṅbhyo nighātasya % paryudāsas tathārthavān // 2.447 //	tiFA tiFByaH niGAtasya % paryudAsaH taTA-arTavAn // 2.447 //
   ekatiṅ yasya vākyaṃ tu $ śāstre niyatalakṣaṇam &	ekatiF yasya vAkyam tu $ SAstre niyata-lakzaNam &
   tasyātiṅgrahaṇenārtho % vākyabhedān na vidyate // 2.448 //	tasya-atiFgrahaNena-arTaH % vAkya-BedAt na vidyate // 2.448 //
   tiṅantāntarayukteṣu $ yuktayukteṣu vā punaḥ &	tiFantA-antara-yuktezu $ yukta-yuktezu vA punar &
   mṛgaḥ paśyata yātīti % bhedābhedau na tiṣṭhataḥ // 2.449 //	mRgaH paSyata yAti-iti % Beda-aBedO na tizWataH // 2.449 //
   itikartavyatārthasya $ sāmarthyād yatra kāṅkṣyate &	itikartavya-tA-arTasya $ sAmarTyAt yatra kAFkzyate &
   aśabdalakṣaṇākāṅkṣaṃ % samāptārthaṃ tad ucyate // 2.450 //	aSabda-lakzaNa-AkAFkzam % samApta-arTam tat ucyate // 2.450 //
   tattvānvākhyānamātre tu $ yāvān artho 'nuṣajyate &	tattva-anvAKyAna-mAtre tu $ yAvAn arTaH anuzajyate &
   vināpi tatprayogeṇa % śruter vākyaṃ samāpyate // 2.451 //	vinA-api tad-prayogeNa % SruteH vAkyam samApyate // 2.451 //
   caṅkramyamāṇo 'dhīṣvātra $ japaṃś caṅkramaṇaṃ kuru &	caFkramyamANaH aDIzva-atra $ japan caFkramaNam kuru &
   tādarthyasyāviśeṣe 'pi % śabdādbhedaḥ pratīyate // 2.452 //	tAdarTyasya-aviSeze api % SabdAt-BedaH pratIyate // 2.452 //
   phalavantaḥ kriyābhedāḥ $ kriyāntaranibandhanāḥ &	PalavantaH kriyA-BedAH $ kriyA-antara-nibanDanAH &
   asaṃkhyātāḥ kramoddeśair % ekākhyātanidarśitāḥ // 2.453 //	asaMKyAtAH krama-uddeSEH % eka-AKyAta-nidarSitAH // 2.453 //
   nivṛttabhedā sarvaiva $ kriyākhyāte 'bhidhīyate &	nivRtta-BedA sarvA-eva $ kriyA-AKyAte aBiDIyate &
   śruter aśakyā bhedānāṃ % pravibhāgaprakalpanā // 2.454 //	SruteH aSakyA BedAnAm % praviBAga-prakalpanA // 2.454 //
   aśvamedhena yakṣyante $ rājānaḥ sattram āsate &	aSvameDena yakzyante $ rAjAnaH sattram Asate &
   brāhmaṇā iti nākhyāta- % rūpād bhedaḥ pratīyate // 2.455 //	brAhmaNAH iti na-AKyAta % rUpAt BedaH pratIyate // 2.455 //
   sakṛc chrutā saptadaśasv $ anāvṛttāpi yā kriyā &	sakRt SrutA saptadaSasu $ anAvRttA-api yA kriyA &
   prājāpatyeṣu sāmarthyāt % sā bhedaṃ pratipadyate // 2.456 //	prAjApatyezu sAmarTyAt % sA Bedam pratipadyate // 2.456 //
   devadattādiṣu bhujiḥ $ pratyekam avatiṣṭhate &	devadatta-Adizu BujiH $ pratyekam avatizWate &
   pratisvatantraṃ vākyaṃ vā % bhedena pratipadyate // 2.457 //	pratisvatantram vAkyam vA % Bedena pratipadyate // 2.457 //
   uccāraṇe tu vākyānām $ anyad rūpaṃ na gṛhyate &	uccAraNe tu vAkyAnAm $ anyat rUpam na gRhyate &
   pratipattau tu bhinnānām % anyad rūpaṃ pratīyate // 2.458 //	pratipattO tu BinnAnAm % anyat rUpam pratIyate // 2.458 //
   ekaṃ grahaṇavākyaṃ ca $ sāmānyenābhidhīyate &	ekam grahaNa-vAkyam ca $ sAmAnyena-aBiDIyate &
   kartarīti yathā tac ca % paśvādiṣu vibhajyate // 2.459 //	kartarI-iti yaTA tat ca % paSu-Adizu viBajyate // 2.459 //
   yady ākāṅkṣā nivarteta $ tadbhūtasya sakṛc chrutau &	yadi AkAFkzAH nivarteta $ tad-BUtasya sakRt SrutO &
   naivānyenābhisaṃbandhaṃ % tad upeyāt kathaṃ ca na // 2.460 //	na-eva-anyena-aBisaMbanDam % tat upeyAt kaTam ca na // 2.460 //
   ekarūpam anekārthaṃ $ tasmād upanibandhanam &	eka-rUpam aneka-arTam $ tasmAt upanibanDanam &
   yonir vibhāgavākyānāṃ % tebhyo 'nanyad iva sthitam // 2.461 //	yoniH viBAga-vAkyAnAm % teByaH ananyat iva sTitam // 2.461 //
   kva cit kriyā vyaktibhāgair $ upakāre pravartate &	kva cit kriyA vyakti-BAgEH $ upakAre pravartate &
   sāmānyabhāga evāsyāḥ % kva cid arthasya sādhakaḥ // 2.462 //	sAmAnya-BAgaH eva-asyAH % kva cit arTasya sADakaH // 2.462 //
   kālabhinnāś ca ye bhedā $ ye cāpy uṣṭrāsikādiṣu &	kAla-BinnAH ca ye BedAH $ ye ca-api uzwrAsikA-Adizu &
   prakrame jātibhāgasya % śabdātmā tair na bhidyate // 2.463 //	prakrame jAti-BAgasya % Sabda-AtmA tEH na Bidyate // 2.463 //
   ekasaṃkhyeṣu bhedeṣu $ bhinnā jātyādibhiḥ kriyāḥ &	eka-saMKyezu Bedezu $ BinnAH jAti-AdiBiH kriyAH &
   bhedena viniyujyante % tacchabdasya sakṛc chrutau // 2.464 //	Bedena viniyujyante % tad-Sabdasya sakRt SrutO // 2.464 //
   akṣādiṣu yathā bhinnā $ bhakṣibhañjidivikriyāḥ &	akza-Adizu yaTA BinnAH $ Bakzi-BaQji-divikriyAH &
   prayogakālābhede 'pi % pratibhedaṃ pṛthak sthitāḥ // 2.465 //	prayoga-kAla-aBede api % pratiBedam pRTak sTitAH // 2.465 //
   akṣāṇāṃ tantriṇāṃ tantram $ upāyas tulyarūpatā &	akzANAm tantriNAm tantram $ upAyaH tulya-rUpa-tA &
   eṣāṃ kramo vibhaktānāṃ % tannibaddhā sakṛc chrutiḥ // 2.466 //	ezAm kramaH viBaktAnAm % tat-nibadDA sakRt SrutiH // 2.466 //
   dvāv apy upāyau śabdānāṃ $ prayoge samavasthitau &	dvO api upAyO SabdAnAm $ prayoge samavasTitO &
   kramo vā yaugapadyaṃ vā % yau loko nātivartate // 2.467 //	kramaH vA yOgapadyam vA % yO lokaH na-ativartate // 2.467 //
   krame vibhajyate rūpaṃ $ yaugapadye na bhidyate &	krame viBajyate rUpam $ yOgapadye na Bidyate &
   kriyā tu yaugapadye 'pi % kramarūpānupātinī // 2.468 //	kriyA tu yOgapadye api % krama-rUpa-anupAtinI // 2.468 //
   bhedasaṃsargaśaktī dve $ śabdād bhinne iva sthite &	Beda-saMsarga-SaktI dve $ SabdAt Binne iva sTite &
   yaugapadye 'py anekena % prayoge bhidyate śrutiḥ // 2.469 //	yOgapadye api anekena % prayoge Bidyate SrutiH // 2.469 //
   abhinno rūpabhedena $ ya eko 'rtho vivakṣitaḥ &	aBinnaH rUpa-Bedena $ yaH ekaH arTaH vivakzitaH &
   tasyāvayavadharmeṇa % samudāyo 'nugṛhyate // 2.470 //	tasya-avayava-DarmeNa % samudAyaH anugRhyate // 2.470 //
   bhedanirvacane tv asya $ pratyekaṃ vā samāpyate &	Beda-nirvacane tu asya $ pratyekam vA samApyate &
   śrutir vacanabhinnā vā % vākyabhede 'vatiṣṭhate // 2.471 //	SrutiH vacana-BinnA vA % vAkya-Bede avatizWate // 2.471 //
   tatraikavacanānto vā $ so 'kṣaśabdaḥ prayujyate &	tatra-eka-vacana-antaH vA $ saH akza-SabdaH prayujyate &
   pratyekaṃ vā bahutvena % pravibhāgo yathāśruti // 2.472 //	pratyekam vA bahu-tvena % praviBAgaH yaTASruti // 2.472 //
   dviṣṭhāni yāni vākyāni $ teṣv apy ekatvadarśinām &	dvizWAni yAni vAkyAni $ tezu api ekatva-darSinAm &
   anekaśakter ekasya % svaśaktiḥ pravibhajyate // 2.473 //	aneka-SakteH ekasya % sva-SaktiH praviBajyate // 2.473 //
   atyantabhinnayor vā syāt $ prayoge tantralakṣaṇaḥ &	atyanta-BinnayoH vA syAt $ prayoge tantra-lakzaNaH &
   upāyas tatra saṃsargaḥ % pratipattṛṣu bhidyate // 2.474 //	upAyaH tatra saMsargaH % pratipattRzu Bidyate // 2.474 //
   bhedenādhigatau pūrvaṃ $ śabdau tulyaśrutī punaḥ &	Bedena-aDigatO pUrvam $ SabdO tulya-SrutI punar &
   tantreṇa pratipattāraḥ % prayoktrā pratipāditāḥ // 2.475 //	tantreNa pratipattAraH % prayoktrA pratipAditAH // 2.475 //
   ekasyāpi vivakṣāyām $ anuniṣpadyate paraḥ &	ekasya-api vivakzAyAm $ anunizpadyate paraH &
   vinābhisaṃdhinā śabdaḥ % śaktirūpaḥ prakāśate // 2.476 //	vinA-aBisaMDinA SabdaH % Sakti-rUpaH prakASate // 2.476 //
   anekā śaktir ekasya $ yugapac chrūyate kva cit &	anekA SaktiH ekasya $ yugapad SrUyate kva cit &
   agniḥ prakāśadāhābhyām % ekatrāpi niyujyate // 2.477 //	agniH prakASa-dAhAByAm % ekatra-api niyujyate // 2.477 //
   āvṛttiśaktibhinnārthe $ vākye sakṛd api śrute &	AvRtti-Sakti-Binna-arTe $ vAkye sakRt api Srute &
   liṅgād vā tantradharmād vā % vibhāgo vyavatiṣṭhate // 2.478 //	liFgAt vA tantra-DarmAt vA % viBAgaH vyavatizWate // 2.478 //
   saṃprasāraṇasaṃjñāyāṃ $ liṅgābhyāṃ varṇavākyayoḥ &	saMprasAraNa-saMjQAyAm $ liFgAByAm varNa-vAkyayoH &
   pravibhāgas tathā sūtra % ekasminn eva jāyate // 2.479 //	praviBAgaH taTA sUtra % ekasmin eva jAyate // 2.479 //
   tathā dvirvacane 'cīti $ tantropāyād alakṣaṇaḥ &	taTA dvis-vacane acI-iti $ tantra-upAyAt alakzaNaH &
   ekaśeṣeṇa nirdeśo % bhāṣya eva pradarśitaḥ // 2.480 //	eka-SezeNa nirdeSaH % BAzyaH eva pradarSitaH // 2.480 //
   prāyeṇa saṃkṣeparucīn $ alpavidyāparigrahān &	prAyeNa saMkzepa-rucIn $ alpa-vidyA-parigrahAn &
   saṃprāpya vaiyākaraṇān % saṃgrahe 'stam upāgate // 2.481 //	saMprApya vEyAkaraNAn % saMgrahe astam upAgate // 2.481 //
   kṛte 'tha pātañjalinā $ guruṇā tīrthadarśinā &	kRte aTa pAtaQjalinA $ guruNA tIrTa-darSinA &
   sarveṣāṃ nyāyabījānāṃ % mahābhāṣye nibandhane // 2.482 //	sarvezAm nyAya-bIjAnAm % mahA-BAzye nibanDane // 2.482 //
   alabdhagādhe gāmbhīryād $ uttāna iva sauṣṭhavāt &	alabDa-gADe gAmBIryAt $ uttAnaH iva sOzWavAt &
   tasminn akṛtabuddhīnāṃ % naivāvāsthita niścayaḥ // 2.483 //	tasmin akRtabudDInAm % na-eva-avAsTita niScayaH // 2.483 //
   vaijisaubhavaharyakṣaiḥ $ śuṣkatarkānusāribhiḥ &	vEji-sOBava-harI-akzEH $ Suzka-tarka-anusAriBiH &
   ārṣe viplāvite granthe % saṃgrahapratikañcuke // 2.484 //	Arze viplAvite granTe % saMgraha-pratikaQcuke // 2.484 //
   yaḥ pātañjaliśiṣyebhyo $ bhraṣṭo vyākaraṇāgamaḥ &	yaH pAtaQjali-SizyeByaH $ BrazwaH vyAkaraNa-AgamaH &
   kālena dākṣiṇātyeṣu % granthamātro vyavasthitaḥ // 2.485 //	kAlena dAkziNAtyezu % granTa-mAtraH vyavasTitaH // 2.485 //
   parvatād āgamaṃ labdhvā $ bhāṣyabījānusāribhiḥ &	parvatAt Agamam labDvA $ BAzya-bIja-anusAriBiH &
   sa nīto bahuśākhatvaṃ % cāndrācāryādibhiḥ punaḥ // 2.486 //	sa nItaH bahu-SAKa-tvam % cAndra-AcArya-AdiBiH punar // 2.486 //
   nyāyaprasthānamārgāṃs tān $ abhyasya svaṃ ca darśanam &	nyAya-prasTAna-mArgAn tAn $ aByasya svam ca darSanam &
   praṇīto guruṇāsmākam % ayam āgamasaṃgrahaḥ // 2.487 //	praNItaH guruNA-asmAkam % ayam Agama-saMgrahaH // 2.487 //
   vartmanām atra keṣāṃ cid $ vastumātram udāhṛtam &	vartmanAm atra kezAm cit $ vastu-mAtram udAhRtam &
   kāṇḍe tṛtīye nyakṣeṇa % bhaviṣyati vicāraṇā // 2.488 //	kANxe tRtIye nyakzeNa % Bavizyati vicAraNA // 2.488 //
   prajñā vivekaṃ labhate $ bhinnair āgamadarśanaiḥ &	prajQA vivekam laBate $ BinnEH Agama-darSanEH &
