   Larger Prajñāpāramitā	LargeH PrajQApAramitA
   pūrvayogasahagatāṃ bodhisatvacaryām anusmartukāmena teṣāṃ ca buddhānāṃ	pUrva-yoga-saha-gatAm boDisatva-caryAm anusmartu-kAmena tezAm ca budDAnAm
   bhagavatām anekavidham ṛddhividhivikurvitaṃ saṃdraṣṭukāmena bodhisatvena	BagavatAm anekaviDam RdDi-viDi-vikurvitam saMdrazwu-kAmena boDisatvena
   mahāsatvena prajñāpāramitāyāṃ śikṣitavyam* //	mahAsatvena prajQApAramitAyAm Sikzitavyam* //
   punar aparaṃ śāradvatīputra bodhisatvena mahāsatvena yan te buddhā	punar aparam SAradvatI-putra boDisatvena mahAsatvena yat te budDA
   bhagavantaḥ samantād daśasu dikṣu gaṃgānadīvālukopameṣu lokadhātuṣu	BagavantaH samantAt daSasu dikzu gaMgA-nadI-vAlukA-upamezu lokaDAtuzu
   dharmaṃ bhāṣante taṃ śrutvānācchedyena smṛtibalādhānena sandhārayitukāmena	Darmam BAzante tam SrutvA-anAcCedyena smRti-bala-ADAnena sanDArayitu-kAmena
   yāvad anuttarāṃ samyaksaṃbodhim abhisaṃbuddha etasminn antare sarvam	yAvat anuttarAm samyaksaMboDim aBisaMbudDaH etasmin antare sarvam
   avipraṇāśayitukāmena prajñāpāramitāyāṃ śikṣitavyam* //	avipraNASayitu-kAmena prajQApAramitAyAm Sikzitavyam* //
   punar aparaṃ śāradvatīputra bodhisatvena	punar aparam SAradvatI-putra boDisatvena
   mahāsatvenātītānāgatapratyutpannānāṃ buddhānāṃ bhagavatāṃ buddhakṣetrāṇi	mahAsatvena-atIta-anAgata-pratyutpannAnAm budDAnAm BagavatAm budDa-kzetrANi
   ca buddhakṣetrapariśuddhīś ca pariniṣpādayitukāmena prajñāpāramitāyāṃ	ca budDa-kzetra-pariSudDIH ca parinizpAdayitu-kAmena prajQApAramitAyAm
   śikṣitavyam* //	Sikzitavyam* //
   punar aparaṃ śāradvatīputra yat kiṃcit tathāgatena bhāṣitaṃ sūtraṃ geyaṃ	punar aparam SAradvatI-putra yat kiMcid taTAgatena BAzitam sUtram geyam
   vyākaraṇaṃ gāthodānanidānetyuktakajātakavaipulyāvadānopadeśādbhutadharmā	vyAkaraNam gATA-udAna-nidAna-iti-uktaka-jAtaka-vEpulya-avadAna-upadeSa-adButa-DarmA
   yac chrāvakair na śrutaṃ tat sarvaṃ paryavāptukāmena bodhisatvena	yat SrAvakEH na Srutam tat sarvam paryavAptu-kAmena boDisatvena
   mahāsatvena prajñāpāramitāyāṃ śikṣitavyam* //	mahAsatvena prajQApAramitAyAm Sikzitavyam* //
   punar aparaṃ śāradvatīputra yat kiṃcit pūrvasyān diśi	punar aparam SAradvatI-putra yat kiMcid pUrvasyAn diSi
   gaṃgānadīvālukopameṣu lokadhātuṣu sarvabuddhair bhagavadbhir bhāṣitaṃ	gaMgA-nadI-vAlukA-upamezu lokaDAtuzu sarva-budDEH BagavadBiH BAzitam
   bhāṣyate bhāṣiṣyate evan dakṣiṇasyān diśi paścimāyām uttarasyām adhastād	BAzyate BAzizyate evan dakziNasyAn diSi paScimAyAm uttarasyAm aDastAt-
   upariṣṭād yāvat samantād daśasu dikṣu yat kiṃcit sarvabuddhair	uparizwAt yAvat samantAt daSasu dikzu yat kiMcid sarva-budDEH-
   bhagavadbhir bhāṣitaṃ bhāṣyate bhāṣiṣyate tat sarvaṃ	BagavadBiH BAzitam BAzyate BAzizyate tat sarvam
   śrotukāmenodgrahītukāmena (LPG 14v) dhārayitukāmena paryavāptukāmena	Srotu-kAmena-udgrahItu-kAmena (LPu 14v) DArayitu-kAmena paryavAptu-kAmena
   pareṣāṃ ca vistareṇa saṃprakāśayitukāmena tatra ca tathatvāya	parezAm ca vistareNa saMprakASayitu-kAmena tatra ca taTatvAya
   pratipattukāmena bodhisatvena mahāsatvena prajñāpāramitāyāṃ śikṣitavyam*	pratipattu-kAmena boDisatvena mahAsatvena prajQApAramitAyAm Sikzitavyam*
   punar aparaṃ śāradvatīputra yāḥ pūrvasyān diśi gaṃgānadīvālukopameṣu	punar aparam SAradvatI-putra yAH pUrvasyAn diSi gaMgA-nadI-vAlukA-upamezu
   lokadhātuṣv andhākāratamisrā lokāntarikā aghā aghasphuṭāḥ yatremau	lokaDAtuzu anDa-AkAra-tamisrAH loka-antarikAH aGAH aGa-sPuwAH yatra-imO
   sūryācandramasāv evaṃ maharddhikāv evaṃ maheśākhyāv evaṃ mahānubhāvau na	sUryAcandramasO evam mahA-rdDikO evam maheSa-AKyO evam mahA-anuBAvO na
   bhāsete na tapato na virocete tāḥ sarvāḥ avabhāsayitukāmena	BAsete na tapataH na virocete tAH sarvAH avaBAsayitu-kAmena
   prajñāpāramitāyāṃ śikṣitavyam* // evan dakṣiṇasyāṃ diśi paścimāyām	prajQApAramitAyAm Sikzitavyam* // evan dakziNasyAm diSi paScimAyAm
   uttarasyām adhastād upariṣṭād yāvat samantād daśasu dikṣu yā	uttarasyAm aDastAt uparizwAt yAvat samantAt daSasu dikzu yA
   andhākāratamisrās tāḥ sarvā avabhāsayitukāmena bodhisatvena mahāsatvena	anDa-AkAra-tamisrAH tAH sarvAH avaBAsayitu-kAmena boDisatvena mahAsatvena
   prajñāpāramitāyāṃ śikṣitavyam* //	prajQApAramitAyAm Sikzitavyam* //
   punar aparaṃ śāradvatīputra yāvantaḥ pūrvasyān diśi gaṃgānadīvālukopamā	punar aparam SAradvatI-putra yAvantaH pUrvasyAn diSi gaMgA-nadI-vAlukA-upamA
   lokadhātavo yatra na buddhaśabdo na dharmaśabdo na saṃghaśabdas tatra	lokaDAtavaH yatra na budDa-SabdaH na Darma-SabdaH na saMGa-SabdaH tatra
   lokadhātuṣu tān sarvasatvān buddhadharmasaṃghaśabdāṃc chrāvayitukāmena	lokaDAtuzu tAn sarva-satvAn budDa-Darma-saMGa-SabdAn SrAvayitu-kAmena
   samyagdṛṣṭau pratiṣṭhāpayitukāmena bodhisatvena mahāsatvena	samyak-dRzwO pratizWApayitu-kAmena boDisatvena mahAsatvena
   prajñāpāramitāyāṃ śikṣitavyam* // evaṃ dakṣiṇasyān diśi paścimāyām	prajQApAramitAyAm Sikzitavyam* // evam dakziNasyAn diSi paScimAyAm
   uttarasyām adhastād upariṣṭād yāvat samantād daśasu dikṣu : //	uttarasyAm aDastAt uparizwAt yAvat samantAt daSasu dikzu : //
   punar aparaṃ śāradvatīputra ye pūrvasyān diśi dakṣiṇasyāṃ paścimāyām	punar aparam SAradvatI-putra ye pUrvasyAn diSi dakziNasyAm paScimAyAm
   uttarasyām adhastād upariṣṭād yāvat samantād daśasu dikṣv ekaikasyān diśi	uttarasyAm aDastAt uparizwAt yAvat samantAt daSasu dikzu ekEkasyAn diSi
   gaṅgānadīvālukopameṣu lokadhātuṣv andhāḥ satvās te mamānubhāvena cakṣuṣā	gaFgA-nadI-vAlukA-upamezu lokaDAtuzu anDAH satvAH te mama-anuBAvena cakzuzA
   rūpāṇi drakṣyanti badhirāḥ śrotreṇa śabdāṃ śroṣyanti unmattāḥ smṛtiṃ	rUpANi drakzyanti baDirAH SrotreNa SabdAm Srozyanti unmattAH smRtim
   pratilabhante sma | nagnāś cīvarāṇi pratilapsyante | kṣudhitapipāsitā	pratilaBante sma | nagnAH cIvarANi pratilapsyante | kzuDita-pipAsitA
   annapānaṃ pratilapsyante | glānā vyādhibhyaḥ parimucyante |	anna-pAnam pratilapsyante | glAnAH vyADiByaH parimucyante |
   bandhanāvarodhagatā yathākāmaṃgatā bhaviṣyanti | mama riddhyā	banDana-avaroDa-gatAH yaTAkAmaMgatAH Bavizyanti | mama ridDyA
   mamānubhāveneti | tena bodhisatvena mahāsatvena prajñāpāramitāyāṃ	mama-anuBAvena-iti | tena boDisatvena mahAsatvena prajQApAramitAyAm
   śikṣitavyam* // kim iti (LPG 15r) ye tatra samantād daśasu dikṣv	Sikzitavyam* // kim iti (LPu 15r) ye tatra samantAt daSasu dikzu-
   ekaikasyān diśi gaṃgānadīvālukopameṣu lokadhātuṣv akṣaṇāpāyagatāḥ satvā	ekEkasyAn diSi gaMgA-nadI-vAlukA-upamezu lokaDAtuzu akzaNa-apAya-gatAH satvA
   nairayikā vā tairyagyonikā vā yāmalaukikā vā te mamānubhāvena tataś	nErayikA vA tEryagyonikA vA yAma-lOkikAH vA te mama-anuBAvena tatas-
   cyavitvā mānuṣyakam ātmabhāvaṃ pratilapsyante | sarvāṃś ca tān satvāṃc	cyavitvA mAnuzyakam Atma-BAvam pratilapsyante | sarvAn ca tAn satvAMc
   chīle pratiṣṭhāpayitukāmena samādhau prajñāyāṃ vimuktau	CIle pratizWApayitu-kAmena samADO prajQAyAm vimuktO
   vimuktijñānadarśane pratiṣṭhāpayitukāmena srotaāpattiphale sakṛdāgāmiphale	vimukti-jQAna-darSane pratizWApayitu-kAmena srotaApatti-Pale sakRdAgAmi-Pale
   anāgāmiphale arhatve pratyekabodhau yāvad anuttarāyāṃ samyaksaṃbodhau	anAgAmi-Pale arhatve pratyeka-boDO yAvat anuttarAyAm samyaksaMboDO
   pratiṣṭhāpayitukāmena bodhisatvena mahāsatvena prajñāpāramitāyāṃ	pratizWA-payitu-kAmena boDisatvena mahAsatvena prajQApAramitAyAm
   śikṣitavyam* //	Sikzitavyam* //
   punar aparaṃ śāradvatīputra bodhisatvena mahāsatvena tathāgateryāpathaṃ	punar aparam SAradvatI-putra boDisatvena mahAsatvena taTAgata-IH-yApaTam
   śikṣitukāmena tathāgatacaryācāritraviśuddhiṃ tathāgatasya	Sikzitu-kAmena taTAgata-caryA-cAritra-viSudDim taTAgatasya
   jñānapūrvaṃgamakāyakarmavakkarmamanaskarmapariśuddhiṃ śikṣitukāmena	jQAna-pUrvaMgama-kAya-karma-vakkarma-manaskarma-pariSudDim Sikzitu-kAmena
   prajñāpāramitāyāṃ śikṣitavyam* //	prajQApAramitAyAm Sikzitavyam* //
   punar aparaṃ śāradvatīputra bodhisatvena mahāsatvena prajñāpāramitāyāṃ	punar aparam SAradvatI-putra boDisatvena mahAsatvena prajQApAramitAyAm
   carataivaṃ vyupaparīkṣitavyam* kim ity ahaṃ nāgāvalokitam avalokayeyaṃ kim	carata-evam vyupaparIkzitavyam* kim iti aham nAga-avalokitam avalokayeyam kim
   ity ahaṃ mahāsiṃhavijṛṃbhitena vijṛmbheyaṃ kim ity aham amoghavikrāmitayā	iti aham mahA-siMha-vijRMBitena vijRmBA-iyam kim iti aham amoGa-vikrAmitayA
   vikrāmeyaṃ kim ity ahaṃ caturaṃgulamātreṇa mahāpṛthivīm aspṛśan gaccheyaṃ	vikrAmeyam kim iti aham catur-aMgula-mAtreNa mahA-pRTivIm aspRSan gacCeyam
   | kim ity ahaṃ sahasrapatreṣu pādmeṣu pādatalau nikṣipan gaccheyaṃ	| kim iti aham sahasra-patrezu pAdmezu pAda-talO nikzipan gacCeyam
   pādatalasanniśṛtān prāṇino aviheṭhayan* kim ity ahaṃ	pAda-tala-sanniSRtAn prANinaH aviheWayan* kim iti aham
   sahasrāracakratalābhyāṃ mahāpṛthivīṃ vicitrayan gaccheyam // kim ity ahaṃ	sahasrAra-cakra-talAByAm mahA-pRTivIm vicitrayan gacCeyam // kim iti aham
   samantāc cakrapramāṇamātraṃ mahāpṛthivyāḥ parivartayeyaṃ caṃkrame	samantAt cakra-pramANa-mAtram mahA-pRTivyAH parivartayeyam caMkrame
   caṃkramyeya kim ity ahaṃ sarvāṃ mahāpṛthivīm anucaṃkramyamāṇaḥ	caMkramyeya kim iti aham sarvAm mahA-pRTivIm anucaMkramyamANaH
   pṛthivīrajasā nānulipyeya | kim iti me ekaṃ vā yojanaṃ dve vā trīṇi vā	pRTivI-rajasA na-anulipyeya | kim iti me ekam vA yojanam dve vA trINi vA
   catvāri vā | paṃca vā daśa vā viṃśatir vā tṛṃśad vā catvāriṃśad vā	catvAri vA | paMca vA daSa vA viMSatiH vA tRMSat vA catvAriMSat vA
   paṃcāśad vā yojanaśataṃ vā | yāvad yojanasahasraṃ vā | yojanaśatasahasraṃ	paMcASat vA yojana-Satam vA | yAvat yojana-sahasram vA | yojana-Sata-sahasram
   vā | aprameyāṇi vā asaṃkhyeyāni vā acintyāni vā | atulyāni (LPG 15v) vā |	vA | aprameyANi vA asaMKyeyAni vA acintyAni vA | atulyAni (LPG 15v) vA |
   anaṃtāni vā aparyantāni vā | amāpyāni vā buddhakṣetrāṇy anuvicarato	anaMtAni vA aparyantAni vA | amApyAni vA budDa-kzetrANi anuvicarataH-
   'nucaṃkramyamāṇasya na kāyaklame na cittam iti prajñāpāramitāyāṃ	anucaMkramyamANasya na kAya-klame na cittam iti prajQApAramitAyAm
   śikṣitavyam* // kim ity aham adhastāt kramatalayoḥ sahasrārābhyāṃ	Sikzitavyam* // kim iti aham aDastAt krama-talayoH sahasra-ArAByAm
   cakrabhyāṃ raśmikoṭīniyutaśatasahasrāṇi pramuṃcan* sarvākṣaṇāpāyaduḥkhāni	cakraByAm raSmi-kowI-niyuta-Sata-sahasrANi pramuMcan* sarva-akzaNa-apAya-duHKAni
   praśamayya sarvasatvān sukhitān kuryām iti bodhisatvena mahāsatvena	praSamayya sarva-satvAn suKitAn kuryAm iti boDisatvena mahAsatvena
   prajñāpāramitāyāṃ śikṣitavyam* //	prajQApAramitAyAm Sikzitavyam* //
   punar aparaṃ śāradvatīputra bodhisatvena mahāsatvena prajñāpāramitāyāṃ	punar aparam SAradvatI-putra boDisatvena mahAsatvena prajQApAramitAyAm
   carataivaṃ vyupaparīkṣitavyam* kim ity ahaṃ caturmahārājakāyikair devair	carata-evam vyupaparIkzitavyam* kim iti aham catur-mahA-rAja-kAyikEH devEH-
   yāvad akaniṣṭhair anekair devakoṭīniyutaśatasahasraiḥ parivṛtaḥ puraskṛto	yAvat akanizWEH anekEH deva-kowI-niyuta-Sata-sahasrEH parivRtaH puraskRtaH-
   bodhimaṇḍam upasaṃkrameyam iti prajñāpāramitāyāṃ śikṣitavyam* //	boDimaNxam upasaMkrameyam iti prajQApAramitAyAm Sikzitavyam* //
   punar aparaṃ śāradvatīputra bodhisatvena mahāsatvena prajñāpāramitāyāṃ	punar aparam SAradvatI-putra boDisatvena mahAsatvena prajQApAramitAyAm
   carataivaṃ vyupaparīkṣitavyam* | kim iti me bodhivṛkṣamūle niṣīdataś	carata-evam vyupaparIkzitavyam* | kim iti me boDi-vRkza-mUle nizIdataH-
   cāturmahārājakāyikā devā yāvad aghaniṣṭhā devā duṣyasaṃstaraṃ kuryur iti	cAturmahArAja-kAyikAH devAH yAvat aGa-nizWA devAH duzya-saMstaram kuryuH iti
   prajñāpāramitāyāṃ śikṣitavyam* //	prajQApAramitAyAm Sikzitavyam* //
   punar aparaṃ śāradvatīputra bodhisatvena mahāsatvena prajñāpāramitāyāṃ	punar aparam SAradvatI-putra boDisatvena mahAsatvena prajQApAramitAyAm
   carataivaṃ vyupaparīkṣitavyam* kim iti me 'nuttarāṃ samyaksaṃbodhim	carata-evam vyupaparIkzitavyam* kim iti me anuttarAm samyaksaMboDim
   abhisaṃbuddhasya gacchato niṣaṇṇasya śayānasya sa pṛthivīpradeśo	aBisaMbudDasya gacCataH nizaNNasya SayAnasya sa pRTivI-pradeSaH-
   vajramayaḥ saṃtiṣṭheta | tena prajñāpāramitāyāṃ śikṣitavyam* //	vajra-mayaH saMtizWeta | tena prajQApAramitAyAm Sikzitavyam* //
   punar aparaṃ śāradvatīputra bodhisatvena mahāsatvena prajñāpāramitāyāṃ	punar aparam SAradvatI-putra boDisatvena mahAsatvena prajQApAramitAyAm
   carataivam upaparīkṣitavyam* kim ity ahaṃ yatraiva divase 'bhiniṣkrameyaṃ	caratA-evam upaparIkzitavyam* kim iti aham yatra-eva divase aBinizkrameyam
   tatraiva divase 'nuttarāṃ samyaksaṃbodhim abhisaṃbudhyeyaṃ tatraiva divase	tatra-eva divase anuttarAm samyaksaMboDim aBisaMbuDyeyam tatra-eva divase
   dharmacakraṃ pravartayeyaṃ pravartayataś cāprameyāsaṃkhyeyānāṃ satvānāṃ	Darma-cakram pravartayeyam pravartayataH ca-aprameya-asaMKyeyAnAm satvAnAm
   virajo vigatamalaṃ dharmeṣu dharmacakṣur viśudhyet* aprameyāsaṃkhyeyānāṃm	virajaH vigata-malam Darmezu Darma-cakzuH viSuDyet* aprameya-asaMKyeyAnAMm
   anupādāyāsravebhyaś cittāni vimucyeran* aprameyāsaṃkhyeyāḥ satvā	anupAdAya-AsraveByaH cittAni vimucya-iran* aprameya-asaMKyeyAH satvA
   'vaivartikā (LPG 16r) bhaveyur anuttarāyāṃ samyaksaṃbodhau tena	avEvartikA (LPu 16r) BaveyuH anuttarAyAm samyaksaMboDO tena
   prajñāpāramitāyāṃ śikṣitavyam* //	prajQApAramitAyAm Sikzitavyam* //
   punar aparaṃ śāradvatīputra bodhisatvena mahāsatvena prajñāpāramitāyāṃ	punar aparam SAradvatI-putra boDisatvena mahAsatvena prajQApAramitAyAm
   carataivaṃ cittam utpādayitavyam* kim ity me 'nuttarāṃ samyaksaṃbodhim	carata-evam cittam utpAdayitavyam* kim iti me anuttarAm samyaksaMboDim
   abhisaṃbuddhasyāprameyāsaṃkhyeyaḥ śrāvakasaṃgho bhavet*	aBisaMbudDasya-aprameya-asaMKyeyaH SrAvaka-saMGaH Bavet-*
   ekadharmadeśanayāprameyāsaṃkhyeyā ekāsanikā arhanto bhaveyur bodhisatvā	eka-Darma-deSanayA-aprameya-asaMKyeyAH eka-AsanikAH arhantaH BaveyuH boDisatvA
   mahāsatvā sarve avaivartikā bhaveyur anuttarāyāṃ samyaksaṃbodhau |	mahAsatvA sarve avEvartikA BaveyuH anuttarAyAm samyaksaMboDO |
   aprameyāsaṃkhyeyāparimāṇo bodhisatvasaṃgho bhavet* amitaṃ cāyuṣpramāṇaṃ	aprameya-asaMKyeya-aparimANaH boDisatva-saMGaH Bavet* amitam ca-AyuzpramANam
   bhavet* amitā prabhāsaṃpad bhaved iti prajñāpāmitāyāṃ śikṣitavyam* kim iti	Bavet* amitA praBA-saMpad Bavet iti prajQApAmitAyAm Sikzitavyam* kim iti
   me 'nuttarāṃ samyaksaṃbodhim abhisaṃbuddhasya tatra buddhakṣetre	me anuttarAm samyaksaMboDim aBisaMbudDasya tatra budDa-kzetre
   rāgadveṣamohaśabdo 'pi na bhaved iti prajñāpāramitāyāṃ śikṣitavyam* //	rAga-dveza-moha-SabdaH api na Bavet iti prajQApAramitAyAm Sikzitavyam* //
   sarvasatvā evaṃrūpayā prajñayā samanvāgatā bhaveyuḥ sādhu dānaṃ sādhu	sarva-satvA evaMrUpayA prajQayA samanvAgatAH BaveyuH sADu dAnam sADu
   damaḥ sādhu brahmacaryaṃ sādhv avihiṃsā sarvaprāṇibhūteṣu | kiṃ me	damaH sADu brahmacaryam sADu avihiMsA sarva-prANi-BUtezu | kim me
   parinirvṛtasya saddharmāntardhānaśabdo 'pi na bhavet tena bodhisatvena	parinirvRtasya sat-Darma-antarDAna-SabdaH api na Bavet tena boDisatvena
   mahāsatvena prajñāpāramitāyāṃ śikṣitavyam* // kim iti me saha	mahAsatvena prajQApAramitAyAm Sikzitavyam* // kim iti me saha
   śravaṇamātreṇa nāmadheyasya gaṃgānadīvālukopameṣu lokadhātuṣu satvā niyatā	SravaNa-mAtreNa nAmaDeyasya gaMgA-nadI-vAlukA-upamezu lokaDAtuzu satvA niyatA
   bhaveyur anuttarāyāṃ samyaksaṃbodhau | tena śāradvatīputra bodhisatvena	BaveyuH anuttarAyAm samyaksaMboDO | tena SAradvatI-putra boDisatvena
   mahāsatvena prajñāpāramitāyāṃ śikṣitavyam* // yasmiṃc chāradvatīputra	mahAsatvena prajQApAramitAyAm Sikzitavyam* // yasmin SAradvatI-putra
   samaye bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ carann imān guṇān	samaye boDisatvaH mahAsatvaH prajQApAramitAyAm caran imAn guNAn
   utpādayati | tasmin samaye āttamanaskā bhavaṃti catvāro mahārājā vayam	utpAdayati | tasmin samaye Atta-manaskAH BavaMti catvAraH mahA-rAjAH vayam
   atra catvāri pātrāṇi pratiṣṭhāpayiṣyāmo yāni paurvakair mahārājaiḥ	atra catvAri pAtrANi pratizWApayizyAmaH yAni pOrvakEH mahA-rAjEH
   paurvakeṣu tathāgateṣu pratiṣṭhāpitāni | āttamanaskā bhavanti trāyastriṃśā	pOrvakezu taTAgatezu pratizWApitAni | Atta-manaskAH Bavanti trAyastriMSA
   devā yāmās tuṣitā nirmāṇaratayaḥ āttamanaskā bhavanti	devAH yAmAH tuzitAH nirmANa-ratayaH Atta-manaskAH Bavanti
   paranirmitavaśavartino devā vayam asyopasthānaparicaryāṃ (LPG 16v)	paranirmitavaSavartinaH devAH vayam asya-upasTAna-paricaryAm (LPu 16v)
   kariṣyāma evam āsurāḥ kāyāḥ parihāsyaṃte divyāḥ kāyā abhivardhiṣyante | //	karizyAmaH evam AsurAH kAyAH parihAsyaMte divyAH kAyAH aBivarDizyante | //
   āttamanaskā bhavanti brahmakāyikā devā ābhāsvarā śubhakṛtsnā bṛhatphalā	Atta-manaskAH Bavanti brahmakAyikA devAH ABAsvarA SuBa-kRtsnA bRhatPalA
   avṛhā atapāḥ sudṛśāḥ sudarśanā āttamanaskā bhavanti aghaniṣṭhā devā vayam	avRhAH atapAH sudRSAH sudarSanAH Atta-manaskAH Bavanti aGa-nizWA devAH vayam
   enam adhyeṣiṣyāmahe dharmacakrapravartanāya | yasmin samaye śāradvatīputra	enam aDyezizyAmahe Darma-cakra-pravartanAya | yasmin samaye SAradvatI-putra
   bodhisatvo mahāsatvaḥ prajñāpāramitāyāṃ caran vivardhate ṣaḍbhiḥ	boDisatvaH mahAsatvaH prajQApAramitAyAm caran vivarDate zaxBiH
   pāramitābhir āttamanaskās tasmin* samaye bhavanti kulaputrāḥ kuladuhitaraś	pAramitABiH Atta-manaskAH tasmin* samaye Bavanti kula-putrAH kula-duhitaraH-
   ca vayam asya mahāsatvasya mātāpitarau bhaviṣyāmo //	ca vayam asya mahAsatvasya mAtA-pitarO BavizyAmaH //
   bhrātṛbhaginībhāryāputraduhitṛmitrāmātyajñātisahāyasāṃmodā bhaviṣyāma |	BrAtR-BaginI-BAryA-putra-duhitR-mitra-amAtya-jQAti-sahAya-sAMmodA BavizyAma |
   āttamanaskā bhavanti catvāro mahārājā yāvad aghaniṣṭhā devā	Atta-manaskAH Bavanti catvAraH mahA-rAjA yAvat aGa-nizWA devAH-
   bodhisatvasyāmaithunasaṃyogaprasthānatāyai sa punar brahmacārī bhavati	boDisatvasyA-mETuna-saMyoga-prasTa-Ana-tAyE sa punar brahmacArI Bavati
   satvānāṃ bodhiniyojanatāyai na saṃyojanīyair dharmaiḥ saṃyujyate sa evaṃ	satvAnAm boDi-niyojana-tAyE na saMyojanIyEH DarmEH saMyujyate saH evam
   praṇidadhāti | prathamacittotpādaṃ mayopādāya brahmacāriṇā bhavitavyaṃ	praNidaDAti | praTama-citta-utpAdam mayA-upAdAya brahmacAriNA Bavitavyam
   nābrahmacāriṇā // tat kasya hetoḥ kāmāṃ khalu punaḥ pratiṣevamāṇasya	na-abrahmacAriNA // tat kasya hetoH kAmAm Kalu punar pratizevamANasya
   brahmalokopapattaye-r-antarāyo bhavati | kaḥ punar vādo 'nuttarāyāḥ	brahma-loka-upapattaye-r-antarAyaH Bavati | kaH punar vAdaH anuttarAyAH
   samyaksaṃbodher iti | // tasmāt tarhi bodhisatvena mahāsatvena	samyaksaMboDeH iti | // tasmAt tarhi boDisatvena mahAsatvena
   brahmacāriṇaivābhiniṣkramyānuttarā samyaksaṃbodhir abhisaṃboddhavyā	brahmacAriNA-eva-aBinizkramya-anuttarA samyaksaMboDiH aBisaMbodDavyA
   nābrahmacāriṇā : // evam ukte āyuṣmāṃc chāradvatīputro bhagavantam etad	na-abrahmacAriNA : // evam ukte AyuzmAn SAradvatI-putraH Bagavantam etat-
   avocat* kiṃ punar bodhisatvasya mahāsatvasyāvaśyaṃ bhāryaputraduhitṛbhir	avocat* kim punar boDisatvasya mahAsatvasya-avaSyam BArya-putra-duhitRBiH-
   bhavitavyam* bhagavān āha | keṣāṃcic chāradvatīputra bodhisatvānāṃ	Bavitavyam* BagavAn Aha | kezAMcid SAradvatI-putra boDisatvAnAm
   mahāsatvānām avaśyaṃ mātāpitṛbhir bhavitavyam* na bhāryāputraduhitṛbhiḥ	mahAsatvAnAm avaSyam mAtA-pitRBiH Bavitavyam* na BAryA-putra-duhitRBiH
   keṣāṃcid avaśyaṃ mātāpitṛbhāryāputraduhitribhir bhavitavyam* keṣāṃcic	kezAMcid avaSyam mAtA-pitR-BAryA-putra-duhitriBiH Bavitavyam* kezAMcid-
   chāradvatīputra bodhisatvānāṃ mahāsatvānāṃ prathamacittotpādam upādāya	CAradvatI-putra boDisatvAnAm mahAsatvAnAm praTama-citta-utpAdam upAdAya
   brahmacaryaṃsamādānaṃ bhavati (LPG 17r) te nityaṃ kumārabhūtā eva yāvad	brahmacaryaMsam-AdAnam Bavati (LPu 17r) te nityam kumAra-BUtAH eva yAvat-
   anuttarāṃ samyaksaṃbodhim abhisaṃbudhyante kecit punaḥ bodhisatvā	anuttarAm samyaksaMboDim aBisaMbuDyante kecid punar boDisatvA
   mahāsatvā upāyakauśalyena satvaparipākāya paṃca kāmaguṇān	mahAsatvAH upAya-kOSalyena satva-paripAkAya paMca kAma-guNAn
   paribhuṃjyānuttarāṃ samyaksaṃbodhim abhisaṃbudhyante | kecit punaḥ	pariBuMjya-anuttarAm samyaksaMboDim aBisaMbuDyante | kecid punar-
   śāradvatīputra bodhisatvā mahāsatvā gambhīrā prajñāpāramitāpratilabdhā	SAradvatI-putra boDisatvA mahAsatvA gamBIrA prajQApAramitA-pratilabDA
   apagatakāmakleśās te satvaparipākāya kāmaguṇaparibhogaṃ cotpādayanti na ca	apagata-kAma-kleSAH te satva-paripAkAya kAma-guNa-pariBogam ca-utpAdayanti na ca
   paribhuṃjante | // tadyathāpi nāma śāradvatīputra dakṣo māyākāro	pariBuMjante | // tat-yaTA-api nAma SAradvatI-putra dakzaH mAyA-kAraH-
   māyākārāntevāsī vā suśikṣito māyāvidyāsamyogajñāne sa paṃca kāmaguṇān	mAyA-kAra-antevAsI vA su-SikzitaH mAyA-vidyA-samyoga-jQAne sa paMca kAma-guNAn
   abhinirmāya taiḥ paṃcabhiḥ kāmaguṇai ramamāṇaṃ krīḍantaṃ paricārayaṃtam	aBinirmAya tEH paMcaBiH kAma-guNEH ramamANam krIxantam paricArayaMtam
   ātmānam upadarśayet* tat kiṃ manyase śāradvatīputrāpi nu tena māyākāreṇa	AtmAnam upadarSayet* tat kim manyase SAradvatI-putrA-api nu tena mAyA-kAreNa
   vā māyākārāntevāsinā vā paṃca kāmāmaguṇāḥ paribhuktā bhaveyur āha | no	vA mAyA-kAra-antevAsinA vA paMca kAma-Ama-guNAH pariBuktAH BaveyuH Aha | no
   hīdaṃ bhagavan bhagavān āha | evam eva śāradvatīputra bodhisatvā mahāsatvā	hi-idam Bagavan BagavAn Aha | evam eva SAradvatI-putra boDisatvA mahAsatvA
   mahāyānamāyāsuśikṣitā māyopamadharmatāvihārapratilabdhāḥ sarvakleśavigatā	mahAyAna-mAyA-su-SikzitAH mAyA-upama-Darma-tA-vihAra-pratilabDAH sarva-kleSa-vigatA
   vineyasatvaparipākāya mahākaruṇāvaśena kāmaguṇabhogaṃ copadarśayanti na ca	vineya-satva-paripAkAya mahA-karuNA-vaSena kAma-guNa-Bogam ca-upadarSayanti na ca
   kāmaguṇān paribhuṃjyante | na ca taiḥ sārdhaṃ saṃvasanti na lipyaṃte anena	kAma-guNAn pariBuMjyante | na ca tEH sArDam saMvasanti na lipyaMte anena
