   nyāyakusumāñjaliḥ //	nyAya-kusuma-aQjaliH //
   kiṃ vā na dṛṣṭamindriyaliṅgaśabdavyāpārāḥ prameyoddaśena pravṛttāḥ	kim vA na dRzwam-indriya-liFga-Sabda-vyApArAH prameya-uddaSena pravRttAH
   pramātaryeva kiñcijjanayanti, na prameye iti /	pramAtari-eva kiQcid-janayanti, na prameye iti /
   [ku.1.144] kṛṣicikitse apyevameva syātāmiti cenna- dṛṣṭenaiva pākajarūpādi	[ku.1.144] kRzi-cikitse api-evam-eva syAtAm-iti ced-na dRzwena-eva pAkaja-rUpa-Adi
   (38)pariṇatibhedenopapattāvadṛṣṭakalpanāyāṃ pramāṇābhāvāt /	(38)pariNati-Bedena-upapattO=-adRzwa-kalpanAyAm pramANa-aBAvAt /
   (39)tathā ca lākṣārasāvasekādayo (40)vyākhyātāḥ /	(39)taTA ca lAkzA-rasa-avaseka-AdayaH (40)vyAKyAtAH /
   ata eva bījaviśeṣasya āparamāṇvantabhaṅge 'pi,	atas eva bIja-viSezasya AparamANu-anta-BaFge api,
   paramāṇūnāmavāntarajātyabhāve 'pi, prācīnapākajaviśeṣaireva (41)viśiṣṭāḥ	parama-aNUnAm-avAntara-jAti-aBAve api, prAcInapAka-ja-viSezEH-eva (41)viSizwAH
   paramāṇavastaṃ taṃ kāryaviśeṣamārabhante /	paramANavaH-tam tam kArya-viSezam-AraBante /
   yathā hi kalamabījaṃ yavādeḥ, narabījaṃ vānarādeḥ, gokṣīraṃ mahiṣādeḥ	yaTA hi kalama-bIjam yava-AdeH, narabIjam vAnara-AdeH, go-kzIram mahiza-AdeH
   jātyā vyāvartate; tathā tatparamāṇavo 'pi mūlabhūtāḥ pākajaireva	jAtyA vyAvartate; taTA tad-paramANavaH api mUla-BUtAH pAkajEH-eva
   vyāvartante /	vyAvartante /
   na hyasti sambhavo gokṣīraṃ surabhimadhuraṃ śītam; tatparamāṇavaśca	na hi-asti samBavaH go-kzIram suraBi-maDuram SItam; tad-paramANavaH-ca
   viparītāḥ /	viparItAH /
   (42)tasmāttathābhūtapākajā eva paramāṇavaḥ; yathābhūtairevādyātiśayo	(42)tasmAt-taTA-BUta-pAka-jAH eva paramANavaH; yaTABUtEH-eva-adya-atiSayaH-
   'ntyātiśayo (vā)(43)'ṅkurādirveti kimatra śaktikalpanayā /	antya-atiSayaH (vA)-(43)-aFkurAdiH-vA-iti kim-atra Sakti-kalpanayA /
   [ku.1.145] kalpādāvapyevameva /	[ku.1.145] kalpa-AdO=-api-evam-eva /
   idānīṃ bījādisannaviṣṭānāmasmadādibhirupasampādanam /	idAnIm bIja-Adi-sanna-vizwAnAm-asmad-AdiBiH-upasampAdanam /
   tadānīṃ tu vibhaktānāmadṛṣṭādeva (44)kevalānmithaḥ saṃsarga iti viśeṣaḥ /	tadAnIm tu viBaktAnAm-adRzwAt-eva (44)kevalAt-miTas saMsargaH iti viSezaH /
   na ca vācyamidānīmapi tathaiva kiṃ na syāt; yataḥ kṛṣyādikarmocchede	na ca vAcyam-idAnIm-api taTA-eva kim na syAt; yatas kRzi-Adi-karma-ucCede
   tatsādhyānāṃ bhogānāmucchedaprasaṅgādavyavasthābhayāccādṛṣṭāni	tad-sADyAnAm BogAnAm-ucCeda-prasaFgAt-avyavasTA-BayAt-ca-adRzwAni
   (45)(karmāṇi) dṛṣṭakarmavyavasthayaiva bhogasādhanānītyunnīyate /	(45)(karmANi) dRzwa-karma-vyavasTayA-eva Boga-sADanAni-iti-unnIyate /
   [ku.1.146] tasmātpākajaviśeṣaiḥ saṃsthānaviśeṣaiśca viśiṣṭāḥ paramāṇavaḥ	[ku.1.146] tasmAt-pAkaja-viSezEH saMsTAna-viSezEH-ca viSizwAH paramANavaH
   kāryaviśeṣamārabhante /	kArya-viSezam-AraBante /
   te ca tejo 'nilatoyasaṃsargaviśeṣaiḥ; te ca kriyayā; sā ca	te ca tejaH anila-toya-saMsarga-viSezEH; te ca kriyayA; sA ca
   nodanābhighātagurutvavegadravatvādṛṣṭavadātmasaṃyogebhyo yathāyathamiti na	nodana-aBiGAta-guru-tva-vega-drava-tva-adRzwa-vat-Atma-saMyogeByaH yaTAyaTam-iti na
   kiñcidanupapannam /	kiQcid-anupapannam /
   nimittabhedāśca	nimitta-BedAH-ca
   pāke bhavanti /	pAke Bavanti /
   tadyathā- hārītamāṃsaṃ haridrājalāvasiktaṃ (46)haridrāgnipluṣṭam upayogāt	tat-yaTA hArIta-mAMsam haridrA-jala-avasiktam (46)haridrA-agni-pluzwam upayogAt-
   sadyo vyāpādayati /	sadyas vyApAdayati /
   "daśarātroṣitaṃ kāṃsye ghṛtaṃ cāpi viṣāyate" /	"daSa-rAtra-uzitam kAMsye GRtam ca-api vizAyate" /
   tāmrāpātre paryuṣitaṃ kṣīramapi tiktāyata ityādi /	tAmrA-pAtre paryuzitam kzIram-api tiktAyate ityAdi /
   [ku.1.147] yatra tarhi toye tejasi vāyau vā na pākajo viśeṣaḥ, tatra	[ku.1.147] yatra tarhi toye tejasi vAyO vA na pAka-jaH viSezaH, tatra
   kathamudbhavānudbhavadravatvakaṭhinatvādayo viśeṣāḥ? kathaṃ vā (ca)	kaTam-udBavAn-udBava-drava-tva-kaWina-tva-AdayaH viSezAH? kaTam vA (ca)
   pārthive pratimādau pratiṣṭhādinā saṃskṛte 'pi viśeṣābhāvāt pūjanādinā	pArTive pratimA-AdO pratizWA-AdinA saMskRte api viSeza-aBAvAt pUjana-AdinA
   dharmo vyatikrame tvadharmaḥ apratiṣṭhite tu na kiñcit /	DarmaH vyatikrame tu-aDarmaH apratizWite tu na kiQcid /
   na ca tatra yajamānadharmeṇānyasya sāhāyakamācaraṇīyam; anyadharmasyānyaṃ	na ca tatra yajamAna-DarmeNa-anyasya sAhAyakam-AcaraNIyam; anya-Darmasya-anyam
   pratyanupayogāt upayoge vā sādhāraṇyaprasaṅgāt /	pratyanupayogAt upayoge vA sADAraNya-prasaFgAt /
   atrocyate- nimittabhedasaṃsargādudbhavānudbhavādayaḥ /	atra-ucyate nimitta-Beda-saMsargAt-udBava-an-udBava-AdayaH /
   devatā(47)sannidhānena pratyabhijñānato 'pi vā //12 //	devatA-(47)sanniDAnena pratyaBijQAnataH api vA //12 //
   [ku.1.148] upanāyakādṛṣṭaviśeṣasahāyā hi paramāṇavo dravyaviśeṣamārabhante	[ku.1.148] upanAyaka-adRzwa-viSeza-sahAyAH hi paramANavaH dravya-viSezam-AraBante
   teṣāṃ viśeṣādudbhūtā(48)nudbhūtabhedāḥ prādurbhavanti /	tezAm viSezAt-udBUtA(48)nudBUta-BedAH prAdurBavanti /
   tathā svabhāvadravā apyāpo nimittabhedapratibaddhadravatvāḥ kaṭhinaṃ	taTA svaBAva-dravAH api-ApaH nimitta-Beda-pratibadDa-drava-tvAH kaWinam
   karakādyārabhante ityādi svayamūhanīyam /	karaka-Adi-AraBante ityAdi svayam-UhanIyam /
   pratimādayastu tena tena vidhinā	pratimA-AdayaH-tu tena tena viDinA
   sannidhāpitarudropendramahendrādyabhimānidevatābhedāstatra	sanniDApita-rudra-upendra-mahA-indra-Adi-aBimAni-devatA-BedAH-tatra
   tatrārādhanīyatāmāsādayanti; daṣṭamūrcchitaṃ rājaśarīramiva	tatra-ArADanIyatAm-AsAdayanti; dazwa-mUrcCitam rAja-SarIram-iva
   viṣāpanayanavidhinā'pāditacaitanyam /	viza-apanayana-viDinA-apAdita-cEtanyam /
   sannidhānaṃ ca tatra teṣāmahaṅkāramamakārau, citrādāviva svasādṛśyadarśino	sanniDAnam ca tatra tezAm-ahaFkAra-mamakArO, citra-AdO=-iva sva-sAdRSya-darSino
   rājña iti no darśanam /	rAjQaH iti naH darSanam /
   anyeṣāṃ tu pūrvapūrvapūjitapratyabhijñānaviṣayasya	anyezAm tu pUrva-pUrva-pUjita-pratyaBijQAna-vizayasya
   pratiṣṭhitapratyabhijñānaviṣayasya ca tathātvamavaseyam /	pratizWita-pratyaBijQAna-vizayasya ca taTAtvam-avaseyam /
   etenābhimantritapayaḥpallavādayo vyākhyātāḥ /	etena-aBimantrita-payaH-pallava-AdayaH vyAKyAtAH /
   [ku.1.149] ghaṭādiṣu kā vārtā ? kuśalaiveti cenna- na hi sāmagrīdṛṣṭaṃ	[ku.1.149] Gawa-Adizu kA vArtA ? kuSala-eva-iti ced-na na hi sAmagrI-dRzwam
   vighaṭayati; nāpyadṛṣṭam; jñāpakatvāt /	viGawayati; na-api-adRzwam; jQApaka-tvAt /
   nāpyadṛṣṭamutpādayati; dharmajanane sarvadā vijayaprasaṅgāt; viparyaye	na-api-adRzwam-utpAdayati; Darma-janane sarvadA vijaya-prasaFgAt; viparyaye
   sarvadā bhaṅgaprasaṅgāt- atrocyate-[ku.1.150] jayetaranimittasya	sarvadA BaFga-prasaFgAt atra-ucyate-[ku.1.150] jaya-itara-nimittasya
   vṛttilābhāya kevalam /	vRtti-lABAya kevalam /
   parīkṣya samavetasya parīkṣāvidhayo matāḥ //13 //	parIkzya samavetasya parIkzA-viDayaH matAH //13 //
   yadyapi "dharmādyabhimānidevatāsannidhiratrāpi kriyate; tāśca	yadi-api "Darma-Adi-aBimAni-devatA-sanniDiH-atra-api kriyate; tAH-ca
   karmavibhavānurūpaṃ liṅgamabhivyañjayantī'tyasmākaṃ siddhāntaḥ- tathāpi	karma-viBava-anurUpam liFgam-aBivyaQjayantI-atyasmAkam sidDAntaH taTA-api
   paravipratipatteranyathocyate /	para-vipratipatteH-anyaTA-ucyate /
   tenāpi hi vidhinā tadeva jayasya parājayasya vā nimittamabhivyaktaṃ	tena-api hi viDinA tat-eva jayasya parAjayasya vA nimittam-aBivyaktam
   (49)tadvibhāvakaṃ kāryamunmīlayati /	(49)tad-viBAvakam kAryam-unmIlayati /
   karmaṇaścābhivyaktiḥ sahakārilābha eva /	karmaNaH-ca-aBivyaktiH sahakAri-lABaH eva /
   tacca sahakāri "so 'hamanena vidhinā tulāmadhirūḍhaḥ, yo 'haṃ pāpakārī	tat-ca sahakAri "saH aham-anena viDinA tulAm-aDirUXaH, yaH aham pApa-kArI
   niṣpāpo ve'ti pratyabhijñānam /	nizpApaH ve-ati pratyaBijQAnam /
   yadāhuḥ- "tāṃstu devāḥ prapaśyanti svasyaivāntarapūruṣaḥ" /	yat-AhuH "tAn=-tu devAH prapaSyanti svasya-eva-antara-pUruzaH" /
   atha vā pratijñānurūpāṃ viśuddhimapekṣya tena dharmo janyate, nimittato	aTa vA pratijQA-anurUpAm viSudDim-apekzya tena DarmaH janyate, nimittataH-
   vidhānādvijayaphalaśruteśca /	viDAnAt-vijaya-Pala-SruteH-ca /
   aviśuddhiṃ cāpekṣyādharmaḥ /	aviSudDim ca-apekzya-aDarmaH /
   parājayalakṣaṇānapekṣitaphalopadarśanena phalato (50)niṣedhāt /	parAjaya-lakzaNa-anapekzita-Pala-upadarSanena PalataH (50)nizeDAt /
   [ku.1.151] atha śaktiniṣedhe kiṃ pramāṇam? na kiñcit /	[ku.1.151] aTa Sakti-nizeDe kim pramANam? na kiQcid /
   tatkimastyeva? bāḍham /	tat-kim-asti-eva? bAXam /
   na hi no darśane śaktipadārtha eva nāsti /	na hi naH darSane Sakti-padArTaH eva na-asti /
   ko 'sau tarhi? kāraṇatvam /	kaH asO tarhi? kAraNa-tvam /
   kiṃ tat? pūrvakālaniyatajātīyatvam,	kim tat? pUrva-kAla-niyata-jAtIya-tvam,
   sahakārivaikalyaprayuktakāryābhāvavattvaṃ veti /	sahakAri-vEkalya-prayukta-kArya-aBAvavat-tvam vA-iti /
   tato 'dhikaniṣedhe kā vārtā? na kācit /	tatas aDika-nizeDe kA vArtA? na kAcid /
   tat kiṃ vidhireva? so 'pi (51)nāsti; pramāṇābhāvāt /	tat kim viDiH-eva? saH api (51)nAsti; pramANa-aBAvAt /
   sandehastarhi kathamevaṃ bhaviṣyati; anupalabdhacaratvāt /	sandehaH-tarhi kaTam-evam Bavizyati; anupalabDa-cara-tvAt /
   (52)vivādastarhi, kutra? anugrāhakatvasāmyātsahakāriṣvapi	(52)vivAdaH-tarhi, kutra? anugrAhaka-tva-sAmyAt-sahakArizu-api
   śaktipadaprayogāt sahakāribhede /	Sakti-pada-prayogAt sahakAri-Bede /
   tatrāpi- dahanāderanugrāhako 'dhiko 'styeva, yaḥ pratibandhakairapanīyata	tatra-api dahana-AdeH-anugrAhakaH aDikaH asti-eva, yaH pratibanDakEH-apanIyata
   iti yadi, tadā na vivadāmahe /	iti yadi, tadA na vivadAmahe /
   asmadabhipretasya cābhāvāderanugrāhakatvamaṅgīkṛtya niḥsādhanā mīmāsaṃkā	asmad-aBipretasya ca-aBAva-AdeH-anugrAhaka-tvam-aFgIkRtya niHsADanA mImAsaMkA
   api na vipratipattumarhanti /	api na vipratipattum-arhanti /
   tataḥ- abhāvādiranugrāhaka ityeke, netyapare, iti vivādakāṣṭhāyāṃ	tatas- aBAva-AdiH-anugrAhakaH iti-eke, na-iti-apare, iti vivAda-kAzWAyAm
   vyutpāditaṃ caitasyānugrāhakatvam /	vyutpAditam ca-etasya-anugrAhaka-tvam /
   kimaparamavaśiṣyate, yatra pramāṇamabhidhānīyamityalamativistareṇa /	kim-aparam-avaSizyate, yatra pramANam-aBiDAnIyam-iti-alam-ati-vistareNa /
   [ku.1.152] tathāpi cetana evāyaṃ saṃskriyate, na bhūtānīti kuto nirṇaya	[ku.1.152] taTA-api cetanaH eva-ayam saMskriyate, na BUtAni-iti kutas nirNaya
   iti cet- ucyate /	iti cet ucyate /
   bhoktṛṇāṃ nityavibhūnāṃ sarvadehaprāptāvaviśiṣṭāyāṃ viśiṣṭairapi	BoktRNAm nitya-viBUnAm sarva-deha-prAptO=-aviSizwAyAm viSizwEH-api
   bhūtairniyāmakābhāvātpratiniyatabhagāsiddheḥ /	BUtEH-niyAmaka-aBAvAt-pratiniyata-Baga-asidDeH /
   na hi taccharīraṃ tanmanastānīndriyāṇi viśiṣṭānyapi tasyaiveti	na hi tat-SarIram tad-manaH-tAni-indriyANi viSizwAni-api tasya-eva-iti
   niyamaḥ;niyāmakābhāvāt (viśeṣābhāvāt) /	niyamaH;-niyAmaka-aBAvAt (viSeza-aBAva-at) /
   tathā ca sādhāraṇavigrahavattvaprasaṅgaḥ /	taTA ca sADAraNa-vigrahavat-tva-prasaFgaH /
   na ca bhūtadharma eva (53)kañciccetanaṃ pratyasādhāraṇaḥ;	na ca BUta-DarmaH eva (53)-kaQcit-cetanam pratyasADAraNaH;
   viparyayadarśanāt /	viparyaya-darSanAt /
   dvitvādivaditi cenna- tasyāpi śarīrāditulyatayā pakṣatvāt /	dvi-tva-Adi-vat-iti ced-na tasya-api SarIra-Adi-tulya-tayA pakza-tvAt /
   niyatacetanaguṇopagraheṇaiva tasyāpi niyamaḥ, na tu tajjanyatāmātreṇa;	niyata-cetana-guNa-upagraheNa-eva tasya-api niyamaH, na tu tad-janya-tA-mAtreNa;
   svayamaviśeṣāt /	svayam-aviSezAt /
   [ku.1.153] tathāpi tajjanyatayaiva niyamopapattau vipakṣe bādhakaṃ kimiti	[ku.1.153] taTA-api tad-janya-tayA-eva niyama-upapattO vipakze bADakam kim-iti
   ceta- kāryakāraṇabhāvabhaṅgaprasaṅgaḥ; śarīrādīnāṃ	ceta kArya-kAraNa-BAva-BaFga-prasaFgaH; SarIra-AdInAm
   cetanadharmopagraheṇaiva taddharmajananopalabdheḥ /	cetana-Darma-upagraheNa-eva tad-Darma-janana-upalabDeH /
   tadyathā- icchopagraheṇa prayatnaḥ, jñānopagraheṇecchādayaḥ, tadupagraheṇa	tat-yaTA icCA-upagraheNa prayatnaH, jQAna-upagraheNa-icCA-AdayaH, tad-upagraheNa
   sukhādaya ityādi /	suKa-AdayaH ityAdi /
   prakṛte 'pi cetanagatā eva buddhyādayo niyāmakāḥ syuriti cenna; śarīrādeḥ	prakRte api cetana-gatAH eva budDi-AdayaH niyAmakAH syuH-iti ced-na; SarIra-AdeH
   prāk teṣāmasattvāt /	prAk tezAm-asattvAt /
   tathā ca niratiśayāścetanāḥ sādhāraṇāni	taTA ca niratiSayAH-cetanAH sADAraNAni
   bhūtānīti na bhuktiniyama upapadyate /	BUtAni-iti na Bukti-niyamaH upapadyate /
   [ku.1.154] etena sāṅkhyamatamapāstam /	[ku.1.154] etena sAFKya-matamapAstam /
   evaṃ hi tat /	evam hi tat /
   akāraṇamakāryaḥ kūṭasthacaitanyasvarūpaḥ puruṣaḥ /	akAraNam-akAryaH kUwasTa-cEtanya-svarUpaH puruzaH /
   ādikāraṇaṃ prakṛtiracetanā pariṇāminī /	Adi-kAraNam prakRtiH-acetanA pariNAminI /
   tato mahadādisargaḥ /	tatas mahat-Adi-sargaH /
   na hi citireva viṣayabandhanasvabhāvā; anirmokṣaprasaṅgāt /	na hi citiH-eva vizaya-banDana-svaBAvA; anirmokza-prasaFgAt /
   nāpi prakṛtireva tadīyasvabhāvā; tathāpi nityatvenānirmokṣaprasaṅgāt /	na-api prakRtiH-eva tadIya-svaBAvA; taTA-api nitya-tvena-anirmokza-prasaFgAt /
   nāpi ghaṭādirevāhatya tadīyaḥ; dṛṣṭādṛṣṭatvānupapatteḥ /	na-api Gawa-AdiH-eva-Ahatya tadIyaH; dRzwa-adRzwa-tva-anupapatteH /
   nāpīndriyamātrapraṇāḍikayā; vyāsaṅgāyogāt /	na-api-indriya-mAtra-praNAxikayA; vyAsaFga-ayogAt /
   nāpīndriyamanodvārā; svapnadaśāyāṃ varāhavyāghrādyabhimānino narasyāpi	na-api-indriya-manaH-dvArA; svapna-daSAyAm varAha-vyAGra-Adi-aBimAninaH narasya-api
   naratvenātmo(54)padhānāyogāt /	nara-tvena-Atmo(54)paDAna-ayogAt /
   nāpyahaṅkāraparyantavyāpāreṇa; suṣuptyavasthāyāṃ tadvyāpāravirāme 'pi	na-api-ahaFkAra-paryanta-vyApAreNa; suzupti-avasTAyAm tad-vyApAra-virAme api
   śvāsaprayatnasantānāvasthānāt /	SvAsa-prayatna-santAna-avasTAnAt /
   tad yadetāsvavasthāsu savyāpāramekamanuvartate, yadāśrayā cānubhavavāsanā,	tat yat-etAsu-avasTAsu sa-vyApAram-ekam-anuvartate, yad-ASrayA ca-anuBava-vAsanA,
   tadantaḥkaraṇamupārūḍhor'thaḥ puruṣasyopadhānī bhavati /	tad-antaHkaraNam-upArUXor-aTaH puruzasya-upaDAnI Bavati /
   bhedāgrāhācca niṣkriye 'pi tasmin puruṣe kartṛtvābhimānaḥ, tasminnacetane	Beda-AgrAhAt-ca nizkriye api tasmin puruze kartR-tva-aBimAnaH, tasmin=-acetane
   'pi cetanābhamānaḥ tatraiva karmāvasānā /	api cetanABamAnaH tatra-eva karma-avasAnAH /
   puruṣastu puṣkarapalāśavat (55)sarvathā nirlepaḥ /	puruzaH-tu puzkara-palASa-vat (55)-sarvaTA nirlepaH /
   [ku.1.155] ālocanaṃ vyāpāra indriyāṇām; vikalpastu manasaḥ; abhimāno	[ku.1.155] Alocanam vyApAraH indriyANAm; vikalpaH-tu manasaH; aBimAnaH-
   'haṅkārasya; kṛtyadhyavasāyo buddheḥ /	ahaFkArasya; kRtI-aDyavasAyaH budDeH /
   sā hi buddhiraṃśatrayavatī; puruṣoparāgo viṣayoparāgo	sA hi budDiH-aMSa-trayavatI; puruza-uparAgaH vizaya-uparAgaH-
   vyāpārāveśaścetyaṃśāḥ /	vyApAra-AveSaH-ca-iti-aMSAH /
   bhavati hi mayedaṃ kartavyamiti /	Bavati hi mayA-idam kartavyam-iti /
   tatra mayeti cetanoparāgo darpaṇasyeva mukhoparāgo bhedāgrahādatāttvikaḥ /	tatra mayA-iti cetanA-uparAgaH darpaNasya-iva muKa-uparAgaH Beda-agra-hAda-tAttvikaH /
   idamiti viṣayoparāga indriyapraṇāḍikayā pariṇatibhedo darpaṇasyeva	idam-iti vizaya-uparAgaH indriya-praNAxikayA pariNati-BedaH darpaNasya-iva
   niśvāsābhihatasya malinimā pāramārthikaḥ /	niSvAsa-aBihatasya malinimA pAramArTikaH /
   etadubhayāyatto vyāpāraveśo 'pi /	etat-uBaya-AyattaH vyApAra-veSaH api /
   tatraivaṃrūpavyāpāralakṣaṇāyā buddherviṣayoparāgalakṣaṇaṃ jñānam /	tatra-evaMrUpa-vyApAra-lakzaNAyAH budDeH-vizaya-uparAga-lakzaNam jQAnam /
   tena saha yaḥ puruṣoparāgasyātātvikasya sambandho darpaṇapratibimbitasya	tena saha yaH puruza-uparAgasya-atAtvikasya sambanDaH darpaNa-pratibimbitasya
   mukhasyeva malinimnā, sopalabdhiriti /	muKasya-iva mali-nimnA, sa-upalabDiH-iti /
   tadevamaṣṭāvapi dharmādayo bhāvā buddhereva;	tat-evam-azwO=-api Darma-AdayaH BAvAH budDeH-eva;
   tatsāmānādhikaraṇyenādhyavasīyamānatvāt /	tad-sAmAna-aDikaraNyena-aDyavasIyamAna-tvAt /
   na ca buddhireva svabhāvataścetaneti yuktam- pariṇāmitvāt; puruṣasya tu	na ca budDiH-eva svaBAvataH-cetanA-iti yuktam pariNAmi-tva-at; puruzasya tu
   kūṭasthānityatvāditi /	kUwasTA-nitya-tvAt-iti /
   [ku.1.156] tadetadapi prāgeva nirastam /	[ku.1.156] tat-etat-api prAk-eva nirastam /
   tathā hi- kartṛdharmā niyantāraḥ cetitā ca sa eva naḥ /	taTA hi kartR-DarmA niyantAraH cetitA ca saH eva naH /
   anyathānapavargaḥ syādasaṃsāro 'thavā dhruvaḥ //14 //	anyaTA-anapavargaH syAt-asaMsAraH aTavA DruvaH //14 //
   kṛtisāmānādhikaraṇyavyavasthitāstāvaddharmādayo niyāmakā iti vyavasthitam	kRti-sAmAna-aDikaraNya-vyavasTitAH-tAvat-Darma-AdayaH niyAmakAH iti vyavasTitam
   cetano 'pi kartaiva; kṛticaitanyayoḥ sāmānādhikaraṇyenānubhavāt /	cetanaH api kartA-eva; kRti-cEtanyayoH sAmAnADikaraNyena-anuBavAt /
   na cāyaṃ (nāyaṃ) bhramaḥ; bādhakābhāvāt /	na ca-ayam (nAyaM) BramaH; bADaka-aBAvAt /
   paraṇāmitvādghaṭavaditi bādhakamiti cenna- kartṛtve 'pi samānatvāt /	paraNAmi-tvAt-Gawa-vat-iti bADakam-iti ced-na kartR-tve api samAna-tvAt /
   tathā ca kṛtirapi (56)(svā)bhāvikī mahato na syāt /	taTA ca kRtiH-api (56)(svA)BAvikI mahataH na syAt /
   dṛṣṭatvādayamadoṣa iti cet tulyam /	dRzwa-tvAt-ayam-adozaH iti ced tulyam /
   (57)acetanākāryatvaṃ bādhakam, kāryakāraṇayostādātmyāditi cenna- asiddheḥ	(57)a-cetanA-kArya-tvam bADakam, kArya-kAraNayoH-tAdAtmyAt-iti ca-id-na asidDeH
   na hi kartuḥ kāryatve pramāṇamasti /	na hi kartuH kAryatve pramANam-asti /
   pratyuta "vītarāgajanmādarśanā'(nyā-3.1.25.)diti nyāyādanāditaiva	pratyuta "vIta-rAga-janma-adarSanA-a(nyA-3.1.25.)diti nyAyAt-anAditA-eva
   siddhyati /	sidDyati /
   yadyacca kārye rūpaṃ dṛśyate tasya tasya kāraṇātmakatve rāgādayo 'pi	yat-yat-ca kArye rUpam dRSyate tasya tasya kAraNa-Atmaka-tve rAga-AdayaH api
   prakṛtau svīkartavyāḥ syuḥ /	prakRtO svIkartavyAH syuH /
   tathā ca saiva buddhiḥ, na prakṛtiḥ; bhāvāṣṭakasampannatvāt /	taTA ca sA-eva budDiH, na prakRtiH; BAva-azwaka-sampanna-tvAt /
   sthūlatāmapahāya sūkṣma(rūpa)tayā te tatra santīti cet caitanyamapi tathā	sTUla-tAm-apahAya sUkzma-(rUpa)tayA te tatra santi-iti ced cEtanyam-api taTA
   bhaviṣyati /	Bavizyati /
   tathāpyasiddho hetuḥ /	taTA-api-asidDaH hetuH /
   tathā sati ghaṭādīnāmapi caitanyaprasaṅgaḥ, tādātmyāditi cet-	taTA sati Gawa-AdInAm-api cEtanya-prasaFgaH, tAdAtmyAt-iti ced--
   rāgādimattvaprasaṅgo 'pi durvāraḥ /	rAga-Adimattva-prasaFgaH api durvAraH /
   saukṣmyaṃ ca samānamiti /	sOkzmyam ca samAnam-iti /
   tasmāt yajjātīyāt kāraṇādyajjātīyaṃ kāryaṃ dṛśyate, tathā	tasmAt yat-jAtIyAt kAraNAt-yat-jAtIyam kAryam dRSyate, taTA
   bhūtāttathābhūtamātramanumātavyam; na tu yāvaddharmakaṃ kāraṇaṃ	BUtAt-taTA-BUta-mAtram-anumAtavyam; na tu yAvat-Darmakam kAraNam
   tāvaddharmakaṃ kāryam, vyabhicārāditi kimanenāprastutena /	tAvat-Darmakam kAryam, vyaBicArAt-iti kim-anena-aprastutena /
   [ku.1.157] yadi ca buddhirnityā; anirmokṣaprasaṅgaḥ /	[ku.1.157] yadi ca budDiH-nityA; anirmokza-prasaFgaH /
   puṃsaḥ sarvadā sopādhitve svarūpeṇānavasthānāt /	puMsaH sarvadA sa-upADi-tve sva-rUpeNa-anavasTAnAt /
   atha vilīyate, tato nānādervilaya ityādimattve, tadanutpattidaśāyāṃ ko	aTa vilIyate, tatas nAnA-AdeH-vilayaH iti-Adimat-tve, tad-anutpatti-daSAyAm kaH-
   niyantā? prakṛteḥ sādhāraṇyāt /	niyantA? prakRteH sADAraNyAt /
   tathā cāsaṃsāraḥ /	taTA ca-asaMsAraH /
   pūrvapūrvabuddhivāsanānuvṛtteḥ sādhāraṇye 'pyasādhāraṇīti cet-	pUrva-pUrva-budDi-vAsana-anuvRtteH sADAraNye api-asADAraNI-iti ced--
   buddhinivṛttāvapi taddharmavāsanānuvṛttirityapadarśanam /	budDi-nivRttO=-api tad-Darma-vAsanA-anuvRttiH-iti-apadarSanam /
   saukṣmyānna doṣa iti cet- muktāvapi punaḥpravṛttiprasaṅgaḥ /	sOkzmyAt-na dozaH iti cet muktO=-api punar-pravRtti-prasaFgaH /
   niradhakāratvānnaivamiti cet- tarhi sādhikārā (58)prasuptasvabhāvā	niraDakAra-tvAt-na-evam-iti cet tarhi sADikArA (58)-prasupta-svaBAvA
   buddhireva prakṛtirastu, kṛtamantarā	budDiH-eva prakRtiH-astu, kRtam-antarA
   prakṛtyahaṅkāramanaḥśabdānāmarthāntarakalpanayā /	prakRti-ahaFkAra-manaH-SabdAnAm-arTa-antara-kalpanayA /
   saiva hi tattadvyāpāra(59)yogāttena tena śabdena vyapadiśyate	sA-eva hi tad-tad-vyApAra-(59)yogAt-tena tena Sabdena vyapadiSyate
   śārīravāyuvaditi āgamo 'pi saṅgacchate ityato 'pi heturasiddhaḥ /	SArIra-vAyu-vat-iti AgamaH api saFgacCate iti-atas api hetuH-asidDaH /
   adhikāranivṛttyā buddherapravṛttirapavargaḥ /	aDikAra-nivRttyA budDeH-apravRttiH-apavargaH /
   vāsanāyogaścādhikāraḥ /	vAsanA-yogaH-ca-aDikAraH /
   tataḥ saṃsāraḥ /	tatas saMsAraH /
   [ku.1.158] dharmadharmiṇoratyantabhede ca kauṭasthyāvirodhaḥ /	[ku.1.158] Darma-DarmiNoH-atyanta-Bede ca kOwasTya-aviroDaH /
   bhedaśca viruddhadharmādhyāsalakṣaṇo ghaṭapaṭādivat pratyakṣasiddhaḥ /	BedaH-ca virudDa-Darma-aDyAsa-lakzaNaH Gawa-pawa-Adi-vat pratyakza-sidDaH /
   na ca sāmānādhikaraṇyādabhedo 'pi /	na ca sAmAnADikaraNyAt-aBedaH api /
   taddhi samānaśabdavācyatvam, ekajñānagocaratvam, ekādhikaraṇatvam,	tat-hi samAna-Sabda-vAcya-tvam, eka-jQAna-gocara-tvam, eka-aDikaraNa-tvam,
