   // āyurvedamahodadhiḥ //	// Ayurveda-mahA-udaDiH //
   annapānavidhiḥ	anna-pAna-viDiH
   sarvavyādhiharaṃ śīghraṃ mukhaśodhanam eva ca /	sarva-vyADi-haram SIGram muKa-SoDanam eva ca /
   dhānye śreṣṭhaṃ ṣaṣṭikaṃ rājabhojyaṃ māṃse tv ājaṃ taittirīkaṃ hitaṃ syāt	DAnye SrezWam zazwikam rAja-Bojyam mAMse tu Ajam tEttirIkam hitam syAt-
   pānīyaṃ syāt kṛṣṇamṛtsnāsam etaṃ kṣīrājyādau gavyam ādau praśastam //	pAnIyam syAt kRzNamRd-snAsam etam kzIra-Ajya-AdO gavyam AdO praSastam //
   // iti śālivargaḥ //	// iti SAli-vargaH //
   uṣṇārūkṣava (ta)rāḥ kaṣāyamadhurāḥ pāke laghutvādi (dhi) kāḥ	uzNa-ArUkzavaH (ta)rAH kazAya-maDurAH pAke laGu-tva-Adi (Di) kAH
   śleṣmaghnāḥ pavanādipittajanakāḥ viṣṭambhinaḥ sarvadā /	Slezma-GnAH pavana-Adi-pitta-janakAH vizwamBinaH sarvadA /
   romākādikadhānyalakṣaṇam idaṃ proktaṃ nṛṇām agrataḥ	romAka-Adika-DAnya-lakzaNam idam proktam nRNAm agratas-
   samyak* vai balaśākasadravagullaiḥ paśrātkramaḥ saṃsthitaḥ // (?)	samyak* vE bala-SAka-sa-drava-gullEH paSrAt-kramaH saMsTitaH // (?)
   // iti dhānyavargaḥ //	// iti DAnya-vargaH //
   (Ap 47)	(Ap 47)
   // atha śimbidhānyaguṇāḥ kathyante //	// aTa SimbiDAnya-guNAH kaTyante //
   tatrādā mudgaguṇāḥ /	tatra-AdAH mudga-guNAH /
   mudgaḥ pittakaphāpaho vraṇaharaḥ kaṃvā(ṭhā) mayaghno laghuḥ	mudgaH pitta-kaPa-apahaH vraNa-haraH kaMvA(WA) maya-GnaH laGuH
   pathyo vātaviriktijantuṣu tathā netrāmaye sarvadā /	paTyaH vAta-virikti-jantuzu taTA netra-Amaye sarvadA /
   naivādhmānakaras tathānilaharo mandāni (va) le śasyate	na-eva-ADmAna-karaH taTA-anila-haraH mandAni (va) le Sasyate
   sūpānām api cottamaḥ svarakaro mūtrāmayacchedanaḥ //	sUpAnAm api ca-uttamaH svara-karaH mUtra-Amaya=-CedanaH //
   atha māṣaḥ /	aTa mAzaH /
   māṣaḥ snigdho balamalakaraḥ śoṣaṇaḥ śleṣmakārī	mAzaH snigDaH bala-mala-karaH SozaNaH Slezma-kArI
   vīrye coṣṇo jhaṭiti kurute raktapittaprakopam /	vIrye ca-uzNaH Jawiti kurute raktapitta-prakopam /
   hanyād vātaṃ gurur atiraso rocako bhakṣa (kṣya) māṇaḥ	hanyAt vAtam guruH ati-rasaH rocakaH BakzaH (kzya) mANaH
   svādur nityaṃ śramasukhajuṣāṃ jīvanīyo narāṇām // 1 //	svAduH nityam Srama-suKa-juzAm jIvanIyaH narANAm // 1 //
   {cf. Rājanighaṇṭu 16.81}	{cf. RAjani-GaNwu 16.81}
   māṣo gurur bhinnapurīṣamūtraḥ snigdhoṣṇavīryo madhuro 'nilaghnaḥ /	mAzaH guruH Binna-purIza-mUtraH snigDa-uzNa-vIryaH maDuraH anila-GnaH /
   saṃtarpaṇastanyakaro viśeṣāt (balapradaḥ śukrakaphāvahaś ca)	saMtarpaNa-stanya-karaH viSezAt (bala-pradaH Sukra-kaPa-AvahaH ca)
   kaṣāyabhāvānna purīṣabhedī na mūtralo me (nai)va balāsakartā (?) //	kazAya-BAvAt-na purIza-BedI na mUtralaH me (nE)va balAsa-kartA (?) //
   svādur vipāke madhuro 'tisāndraḥ saṃtarpaṇaḥstanyarucipradaś ca /	svAduH vipAke maDuraH ati-sAndraH saMtarpaNaH-stanya-ruci-pradaH ca /
   māṣaiḥ samānāṃ phalam ātmagutma(pta) mūcuś ca kākāṇḍaphalaṃ tathaiva //	mAzEH samAnAm Palam Atma-gutma-(pta) mUcuH ca kAkANxa-Palam taTA-eva //
   // iti māṣaguṇāḥ //	// iti mAza-guNAH //
   (Ap 48)	(Ap 48)
   atha kulatthaguṇāḥ	aTa kulatTa-guNAH
   (u) kṛṣṇāḥkuluttho rasataḥ kaṣāyaḥ /	(u) kRzNAH-kulutTaH rasataH kazAyaH /
   kaṭur vipāke kaphumārutaghnaḥ //	kawuH vipAke kaPu-mAruta-GnaH //
   śrutā (śukrā)śmarīgulmaniṣūdanaś ca	SrutAH (SukrA)SmarI-gulma-nizUdanaH ca
   saṃgrāhakaḥ pīnasakāsahārī // 1 //	saMgrAhakaH pInasa-kAsa-hArI // 1 //
   ānāhamedogudakīlahikkāśvāsāpahaḥ śoṇitapittakṛc ca /	AnAha-medaH-gudakIla-hikkA-SvAsa-apahaH SoNita-pitta-kRt ca /
   kaphasya hantā nayanāmayaghno viśeṣato vanyakulittha (u)yuktaḥ // 2 //	kaPasya hantA nayana-Amaya-GnaH viSezataH vanya-kulitTa (u)yuktaH // 2 //
   atha rājamāṣaguṇāḥ /	aTa rAjamAza-guNAH /
   rājamāṣaḥ sage rucyaḥ kaphaśukra (krāmla) mapittakṛt /	rAjamAzaH sa-ge rucyaH kaPa-Sukra (kra-amla) mapitta-kRt /
   susvādur vātalo rūkṣaḥ kaṣāyo 'pi mahāguruḥ // 3 //	susvAduH vAtalaH rUkzaH kazAyaH api mahA-guruH // 3 //
   rūkṣaḥ kaṣāyo viṣaśokaśukravalāsadṛṣṭikṣayavṛddhikārī /	rUkzaH kazAyaH viza-Soka-Sukra-valAsa-dRzwi-kzaya-vRdDi-kArI /
   kaṭur vipāke madhuraś ca śimbiḥ pravṛddhaviṇmūtra (mā)rutapittalaś ca // 4	kawuH vipAke maDuraH ca SimbiH pravRdDa-viz-mUtra (mA)ruta-pittalaH ca // 4
   sitāsitaḥ pītakaraktavarṇā bhavanti vai naikavidhās tu śibiṃ(mbyaḥ) : //	sita-asitaH pItaka-rakta-varNAH Bavanti vE na-ekaviDAH tu SibiM(mbyaH) : //
   atha tilaguṇāḥ /	aTa tila-guNAH /
   īṣatkaṣayo madhuraḥ satikto(ktaḥ) saṃgrāhakaḥ pittakaras tathoṣṇaḥ //	Izat-kazayaH maDuraH sa-tikta-u(ktaH) saMgrAhakaH pitta-karaH taTA-uzNaH //
   tilo vipāke madhuro baliṣṭhaḥ snigdho vraṇālepanapathya uktaḥ //	tilaH vipAke maDuraH balizWaH snigDaH vraNa-Alepana-paTyaH uktaH //
   (Ap 49)	(Ap 49)
   dantyo 'gnimedhājanano 'lpamūtraḥ stanyo 'tha keśyo 'nilahā guruś ca /	dantyaH agni-meDA-jananaH alpa-mUtraH stanyaH aTa keSyaH anila-hA guruH ca /
   tileṣu sarpiṣv asita [sarveṣv asitaḥ] pradhāno medhyaḥ sito hīnataras	tilezu sarpizu asitaH [sarvezu asitaH] praDAnaH meDyaH sitaH hInatara-s
   tathānyaḥ //	taTA-anyaH //
   dantyo varṇabalāgni [buddhi] jananaḥ stanyo 'nilaghno guruḥ	dantyaH varNa-bala-agni [budDi] jananaH stanyaH anila-GnaH guruH
   snigdhaḥ pittakaro 'lpamūtrakaraṇaḥ keśyātipathyo vraṇe /	snigDaH pitta-karaH alpa-mUtra-karaNaH keSyA-ati-paTyaH vraNe /
   grāhyuṣṇo dhṛtikṛt kaṣāyamadhuras tikto vipāke kaṭuḥ	grAhi-uzNaH DRti-kRt kazAya-maDuraH tiktaH vipAke kawuH
   kṛṣṇaḥ pathyatamo 'sito 'lparahito [guṇadaḥ] hīnās tathānye tilāḥ // 1 //	kRzNaH paTyatamaH asitaH alpa-rahitaH [guNa-daH] hInAH taTA-anye tilAH // 1 //
   iti tilaḥ //	iti tilaH //
   // atha yavaguṇāḥ kathyante //	// aTa yava-guNAH kaTyante //
   yavaḥ kaṣāyo madhuro himaś ca kaṭur vipāke kaphapittahāraḥ /	yavaH kazAyaH maDuraH himaH ca kawuH vipAke kaPa-pitta-hAraH /
   vraṇeṣu pathyas tilavac ca nityaṃ prabaddhamūtro bahuvātavarśa [rcā]ḥ // 1	vraNezu paTyaH tila-vat ca nityam prabadDa-mUtraH bahu-vAta-varSaH [rcA]H // 1
   sthairyāgnidhātusvaravarṇakṛc ca sapicchalasthūlavilekhanaś ca /	sTErya-agni-DAtu-svara-varNa-kRt ca sa-picCala-sTUla-vileKanaH ca /
   medomaruttṛṭ [ḍ] haraṇo virūkṣaḥ prasādanaḥ śoṇitapittayoś ca // 2 //	medaH-marut-tRz [x] haraNaH virUkzaH prasAdanaH SoNita-pittayoH ca // 2 //
   ebhir guṇair hīnamataś ca nityaṃ vidyād yavebhyo 'nyatha [ya] vānaśeṣaḥ /	eBiH guNEH hInam-atas ca nityam vidyAt yaveByaH anyaTa [ya] vAnaSezaH /
   (Ap 50)	(Ap 50)
   yavaḥ kaṣāyo madhuraḥ saśīto mehe hitaḥ pittakaphāmayaghnaḥ /	yavaH kazAyaH maDuraH sa-SItaH mehe hitaH pitta-kaPa-Amaya-GnaH /
   prasṛṣṭavarco 'nyayavaḥ sabalyo balyaś ca vṛṣyaś ca male hitaś ca // 3 //	prasRzwa-varcaH anya-yavaH sa-balyaH balyaH ca vRzyaH ca male hitaH ca // 3 //
   śītaḥ kaṣāyaḥ surasaś ca rūkṣo mehakrimiśleṣmaviṣāpahaś ca /	SItaH kazAyaH surasaH ca rUkzaH meha-krimi-Slezma-viza-apahaH ca /
   mādhuryayukto balavāṃs tathaiva pittāpaho veṇuyavaḥ pradiṣṭaḥ // 4 //	mADurya-yuktaH balavAn taTA-eva pitta-apahaH veNuyavaH pradizwaH // 4 //
   iti veṇuyavaḥ //	iti veNuyavaH //
   atha godhūmaguṇāḥ /	aTa goDUma-guNAH /
   godhūma ukto madhuro guruś ca balyaḥ sthiraḥ śukrarucipradaś ca	goDUmaH uktaH maDuraH guruH ca balyaH sTiraH Sukra-ruci-pradaH ca
   snigdho '[ti] si śīto 'nilapītahārī [pittahantā] saṃdhānakṛcchrāśmaharaḥ	snigDaH a[ti] si SItaH anila-pIta-hArI [pitta-hantA] saMDAna-kRcCrASma-haraH
   saraś ca // 1 //	saraH ca // 1 //
   snigdhasvāduraso vipākamadhuraḥ prāyeṇa cāmāśrayaḥ	snigDa-svAdu-rasaH vipAka-maDuraH prAyeNa cAm-a-ASrayaH
   balyaḥ śītakaraḥ saro rucikaraḥ saṃdhānakārī guruḥ /	balyaH SItakaraH saraH ruci-karaH saMDAna-kArI guruH /
   śukraśleṣmavivardhano dhṛtikaraḥ pittāniladhvaṃsakṛt	Sukra-Slezma-vivarDanaH DRti-karaH pitta-anila-DvaMsa-kRt
   godhūmas tu manoharaḥ sthirakaraḥ śveto vikārāpahā // 2 //	goDUmaH tu manoharaH sTira-karaH SvetaH vikAra-apahAH // 2 //
   atha kusumbhaguṇāḥ /	aTa kusumBa-guNAH /
   kaṭur vipāke kaṭukaḥ kaphaghno vidāhako vātaharaḥ kusumbhaḥ //	kawuH vipAke kawukaH kaPa-GnaH vidAhakaH vAta-haraH kusumBaH //
   (Ap 51)	(Ap 51)
   atha siddhārthaguṇāḥ /	aTa sidDArTa-guNAH /
   uṣṇas tathā svāduraso 'nilaghnaḥ pittolbaṇaḥ syāt kaṭuko vipāke /	uzNaH taTA svAdu-rasaH anila-GnaH pitta-ulbaNaH syAt kawukaH vipAke /
   pāke rase vāpi kaṭuḥ pradiṣṭaḥ siddhārthakaḥ śoṇitapittakartā // 1 //	pAke rase vA-api kawuH pradizwaH sidDArTakaH SoNita-pitta-kartA // 1 //
   tīkṣṇoṣṇavīryaḥ kaphamārutaghnas tathāvidhaś cāsitasarṣapo 'pi	tIkzNa-uzNa-vIryaH kaPa-mAruta-GnaH taTAviDaH ca-asita-sarzapaH api
   atha āḍhakīguṇāḥ /	aTa AXakI-guNAH /
   [āḍhakyaḥ] kaphamārutapraśamanā vīryeṇa coṣṇās tathā	[a-AXakyaH] kaPa-mAruta-praSamanAH vIryeNa ca-uzNAH taTA
   hṛtpṛṣṭhodaramārutāmapa[ya] rujāmedorujaṃ kurvate /	hRd-pRzWa-udara-mArutAm-apa[ya] rujA-medaH-rujam kurvate /
   kāsaśvāsavamītṛṣājvaraharāḥ pathyāś ca kaṇḍūrujā	kAsa-SvAsa-vamI-tRzA-jvara-harAH paTyAH ca kaNxU-rujA
   yā [pā]mākuṣṭhabhagandareṣu na tathā rucyās tu pathyā bhṛśam // 1 //	yAH [pA]mA-kuzWa-Bagandarezu na taTA rucyAH tu paTyAH BRSam // 1 //
   āḍhakī kaphavātaghnī īṣanmārutakopinī // 2 //	AXakI kaPa-vAta-GnI Izat-mAruta-kopinI // 2 //
   tasyaitad vidaṃ [vidhaṃ] bhojyaṃ svādu viṣṭambhanaṃ guru /	tasya-etat vidam [viDaM] Bojyam svAdu vizwamBanam guru /
   dīpanaṃ kaphapittaghnaṃ sarvamehapraṇāśanam // 3 //	dIpanam kaPa-pitta-Gnam sarva-meha-praNASanam // 3 //
   hṛdyaṃ vāsukhaṃ datvā āḍhakī bhuddhapūṣakaḥ / [?] sūrīcaikaḍhanaṃ // [?]	hRdyam vAsuKam datvA AXakI BudDa-pUzakaH / [?] sUrI-ca-eka-Xanam // [?]
   mudgapū [yū]ṣaguṇāḥ //	mudga-pU [yU]za-guNAH //
   jvaraharaṇabalāḍhyaṃ raktapittapraṇāśaṃ	jvara-haraNa-bala-AXyam rakta-pitta-praNASam
   vidadhati nipuṇās te mudgapū [yū]ṣaṃ praśastam /	vidaDati nipuNAH te mudga-pU [yU]zam praSastam /
   anilam api nihanti snehasaṃskārayuktaṃ	anilam api nihanti sneha-saMskAra-yuktam
   śamayati tanudāhaṃ sarvarogeṣu śastam // 1 //	Samayati tanu-dAham sarva-rogezu Sastam // 1 //
   (Ap 52)	(Ap 52)
   pittajvarātiśamanaṃ laghumudga[yū] pūṣaṃ saṃtāpahāri tad arocakanāśanaṃ ca	pitta-jvara-atiSamanam laGu-mudga[yU] pUzam saMtApa-hAri tat arocaka-nASanam ca
   raktaprasādanam idaṃ yadi saindhavena yuktaṃ tadā bhavati sarvarujāpahāri	rakta-prasAdanam idam yadi sEnDavena yuktam tadA Bavati sarva-rujA-apahAri
   vyapagatamaladoṣāḥ prāṇinaḥ kṣīṇamātrā adhikataratṛṣārtā ye ca	vyapagata-mala-dozAH prANinaH kzINa-mAtrAH aDikatara-tRzA-ArtAH ye ca
   dharmaprataptāḥ /	Darma-prataptAH /
   jvalanamukhavidagdhā ye 'tisārābhibhūtāḥ punar iha manujās te mudupū	jvalana-muKa-vidagDAH ye atisAra-aBiBUtAH punar iha manujAH te mudupU
   [yū]ṣasya yogyāḥ // 3 //	[yU]zasya yogyAH // 3 //
   kulitthapūṣa (yūṣa)guṇāḥ //	kulitTa-pUzaH (yUza)-guNAH //
   vīrye colāḥ [ṣṇāḥ] kulitthāḥ kaphapavanaharāḥ pittaraktapradāś ca	vIrye colAH [zNAH] kulitTAH kaPa-pavana-harAH pitta-rakta-pradAH ca
   pāke 'mlāḥ śvāsakāsodarahṛdayaśirovastiśūlāpahāḥ syuḥ /	pAke amlAH SvAsa-kAsa-udara-hRdaya-SiraH-vasti-SUla-apahAH syuH /
   mūtrāghātapramehāśmaribhṛśadamanāḥ śukravicchedanāś ca	mUtrAGAta-prameha-aSmari-BRSa-damanAH Sukra-vicCedanAH ca
   śreṣṭhā durnāmakuṣṭhaśvayathugudayakṛdgulmatūnīgadeṣu // 1 //	SrezWA durnAma-kuzWa-SvayaTu-gudayakRt-gulma-tUnI-gadezu // 1 //
   masūrapū(yū)ṣaguṇāḥ //	masUra-pU(yU)za-guNAH //
   māsūrā laghavo 'tirūkṣaviśadāś cākṣuṣyamūtrāpahāḥ	mAsUrAH laGavaH ati-rUkza-viSadAH cAkzuzya-mUtra-apahAH
   śleṣmāpani [pitta] nibarhaṇā rucikarā vātāmayān kārakāḥ /	Slezma-apani [pitta] nibarhaNAH ruci-karAH vAta-AmayAn kArakAH /
   viṣṭambhaṃ janayanti koṣṭhadhamane [naṃ] kṛcchrāśmarīchedanaṃ	vizwamBam janayanti kozWa-Damane [naM] kRcCra-aSmarI-Cedanam
   sarve pittavikārajeṣu [vi] hitā hṛdyāś ca māsūryakāḥ // 1 //	sarve pitta-vikAra-jezu [vi] hitAH hRdyAH ca mAsUryakAH // 1 //
   (Ap 53)	(Ap 53)
   atha kalāyaguṇāḥ /	aTa kalAya-guNAH /
   prasū(bhū)tavā (taṃ) kuta (?) kurute 'tirūkṣaḥ	prasU(BU)tavA (taM) kutas (?) kurute ati-rUkzaH
   kaphāpahaḥ pittaharo nitāntam /	kaPa-apahaH pitta-haraH nitAntam /
   ruciprado (daḥ) śūlakaro narāṇāṃ	ruci-pradaH (daH) SUla-karaH narANAm
   āmānubandhī kathitaḥ kalāpa (ya)ḥ // 1 //	Ama-anubanDI kaTitaH kalApaH (ya)H // 1 //
   // atha caṇakaguṇāḥ kathyante //	// aTa caNaka-guNAH kaTyante //
   rūkṣā vātakaraḥ pramehaśamanāḥ kṛcchrāśmarīchedanāḥ	rUkzAH vAta-karaH prameha-SamanAH kRcCra-aSmarI-CedanAH
   viḍbhedaṃ janayanti pittaśamanā ādhmānarogapradāḥ /	vixBedam janayanti pitta-SamanAH ADmAna-roga-pradAH /
   kaṇṭhadhvaṃsaharāḥ subhakṣasukhadāḥ bhuktārucicchedanāḥ	kaNWa-DvaMsa-harAH suBakza-suKa-dAH Bukta-aruci=-CedanAH
   balyā varṇakarā vibhuktacaṇakāḥ puṃsaś ca naite hitāḥ // 1 //	balyAH varNa-karAH viBukta-caNakAH puMsaH ca na-ete hitAH // 1 //
   iti śuṣkacaṇakāḥ //	iti Suzka-caNakAH //
   ārdrā vṛṣyatamā balyāḥ śleṣmalā rucikārakāḥ	ArdrAH vRzyatamAH balyAH SlezmalAH ruci-kArakAH
   vātapittaharāḥ śītā mūtrakṛcchranivāraṇāḥ // 2 //	vAta-pitta-harAH SItAH mUtrakRcCra-nivAraNAH // 2 //
   iti ārdracaṇakāḥ //	iti Ardra-caNakAH //
   laghavo bhṛṣṭacaṇakāḥ ślamaklamakarāḥ parāḥ /	laGavaH BRzwa-caNakAH Slama-klama-karAH parAH /
   chardighnā rocanā nidrāsukhapuṣṭivalapradāḥ // 3 //	Cardi-GnAH rocanAH nidrA-suKa-puzwi-vala-pradAH // 3 //
   iti bhṛṣṭacaṇakāḥ //	iti BRzwa-caNakAH //
   (Ap 54)	(Ap 54)
   āsitacaṇakayūṣo dāhanāśaṃ vidhatte prabalam ahitalabdhaṃ (?)	Asita-caNaka-yUzaH dAha-nASam viDatte prabalam ahita-labDam (?)
   sarvamehapraṇāśam /	sarva-meha-praNASam /
   dahanamaricayogād vātarogāpahārī vidalajalavipakvaḥ sarvadoṣaprayāti	dahana-marica-yogAt vAta-roga-apahArI vidala-jala-vipakvaH sarva-doza-prayAti
   (ṇāśī) // 4 //	(NA-ASI) // 4 //
   iti kṛṣṇacaṇakāḥ //	iti kRzNa-caNakAH //
   pittaghnāś caṇakāḥ śvetāḥ śleṣmavātaprakopa(ṇā) nāḥ /	pitta-GnAH caNakAH SvetAH Slezma-vAta-prakopa(NA) nAH /
   balakṛnmalaviṣṭambhamandāgniś cāpi saṃyutam (?) // 5 //	bala-kRt-mala-vizwamBa-manda-agniH ca-api saMyutam (?) // 5 //
   caṇodakaṃ candramarīciśītalaṃ pramehapittāsrarujāpahāri //	caNa-udakam candra-marIci-SItalam prameha-pitta-asra-rujA-apahAri //
   puṣṭipradaṃ taila (naija) guṇaṃ hi pāke	puzwi-pradam tEla (nEja) guNam hi pAke
   saṃtarpaṇaṃ sādhujanamādhurīyakam (mañjulamādhurīkam) // 6 //	saMtarpaNam sADu-jana-mADurIyakam (maQjula-mADurIkam) // 6 //
   iti śvetacaṇakāḥ //	iti Sveta-caNakAH //
   śyāmākāḥ kodravā ye 'nye ye cānye 'nu ca śimbikāḥ /	SyAmAkAH kodravAH ye anye ye ca-anye anu ca SimbikAH /
   apathyās te na śaṃsanti [śasyante] sukhināṃ nirujāṃ tathā // 1 //	apaTyAH te na SaMsanti [Sasyante] suKinAm nirujAm taTA // 1 //
   yad yaj jīryaty atikṣipraṃ tat tal laghutaraṃ smṛtam /	yat yat jIryati ati-kzipram tat tat laGutaram smRtam /
   yavagodhūmamāṣāś ca tilāś cāpi navā hitāḥ // 2 //	yava-goDUma-mAzAH ca tilAH ca-api navAH hitAH // 2 //
   // iti dhānyavargaḥ //	// iti DAnya-vargaH //
   // śubhaṃ bhavatu lekhakavācakayoḥ // śrīsāmbasadāśivāya namaḥ //	// SuBam Bavatu leKaka-vAcakayoH // SrI-sAmba-sadASivAya namaH //
   // śrīr astu //	// SrIH astu //
   (Ap 55)	(Ap 55)
   atha pakvānnaguṇāḥ //	aTa pakvAnna-guNAH //
   godhūmapheṇikā /	goDUma-PeNikA /
   salaghurucirakāmā pheṇikātipraśastā balayati laghujīrā chardināśaṃ karoti	sa-laGu-rucira-kAmA PeNikA-atipraSastA balayati laGu-jIrA Cardi-nASam karoti
   badalavimukhamardhaṃ [?] cāmlapitte vidāhaṃ jaṭharabharaṇayogyā godhūmaiḥ	badala-vimuKam-arDam [?] ca-amla-pitte vidAham jaWara-BaraNa-yogyA goDUmEH
   saṃprayuktā // 1 //	saMprayuktAH // 1 //
   pheṇiyā //	PeNiyAH //
   guravo bṛṃhaṇāḥ snigdhā balyāḥ śukrakarāḥ parāḥ /	guravaH bRMhaNAH snigDAH balyAH Sukra-karAH parAH /
   strīṣu harṣaṃ prayacchanti māṣapiṣṭikasaṃbhavāḥ // 2 //	strIzu harzam prayacCanti mAza-pizwika-saMBavAH // 2 //
   godhūmāsāṃjīlāhuḥ [ḍuḥ] //	goDUma-asa-aMjIla-AhuH [xuH] //
   toyājyena vimarditaṃ samasitaṃ kṛtvā sutaptaṃ tathā	toya-Ajyena vimarditam samasitam kRtvA su-taptam taTA
   khaṇḍājyena paced dhutāśanamṛdau kṛtvā subandhaṃ tataḥ /	KaNxa-Ajyena pacet Duta-aSana-mRdO kRtvA su-banDam tatas /
   karpūrair maricaiḥ sasaindhavamatho śaśvaccaturjātakaiḥ	karpUrEH maricEH sa-sEnDavam-aTo SaSvat-catur-jAtakEH
   puṣpālambam iti bruvanti munayo nāmnā mahāmodakam // 3 //	puzpa-Alambam iti bruvanti munayaH nAmnA mahAmodakam // 3 //
   vṛṣyās tu kandarpakarā yathāgni saṃvardhitāḥ prītirucipradāyakāḥ /	vRzyAH tu kandarpa-karAH yaTAgni saMvarDitAH prIti-ruci-pradAyakAH /
   vātaṃ sapittaṃ praharanti bhuktāḥ sanmodakā modakarā narāṇām // 4 //	vAtam sa-pittam praharanti BuktAH sat-modakAH moda-karAH narANAm // 4 //
   (Ap 56)	(Ap 56)
   modako gurur atīva vṛṣyakaḥ śleṣmalaś ciravipākatas tathā /	modakaH guruH atIva vRzyakaH SlezmalaH cira-vipAkataH taTA /
   mandam agni janayec ca koṣṭabhṛkha (?) modako 'dhikabalapradaḥ sadā // 5	mandam agni janayet ca kozwa-BRKa (?) modakaH aDika-bala-pradaH sadA // 5
   amṛtaphalam //	amRta-Palam //
   śamayati bahu pittaṃ śleṣmakopaṃ karoti janayati jaṭharāgniṃ vātarogān	Samayati bahu pittam Slezma-kopam karoti janayati jaWara-agnim vAta-rogAn
   nihanti /	nihanti /
   suratajanitakhedaṃ tatkṣaṇād eva hanyād amṛtaphalam udāraṃ cāru śaṃsanti	surata-janita-Kedam tad-kzaNAt eva hanyAt amRta-Palam udAram cAru SaMsanti
   khe (vai)dyāḥ // 6 //	Ke (vE)dyAH // 6 //
   śamayaty arśaḥkṛcchrān harati savātaṃ tathā pittam // 7 //	Samayati arSaH-kRcCrAn harati sa-vAtam taTA pittam // 7 //
   kāpūrapaḍīyā //	kApUra-paxIyAH //
   rucyā balyā balamalakarā hṛdyagandhā sthirā ca	rucyA balyA bala-mala-karA hRdyaganDA sTirA ca
   tejo varṇaṃ vapuṣi kurute śukravṛddhiṃ karoti /	tejaH varNam vapuzi kurute Sukra-vRdDim karoti /
   medovṛddhiṃ janayati tarāṃ pittaroge praśastaṃ	medaH-vRdDim janayati tarAm pitta-roge praSastam
   sarpiḥpakvāgurumadhuyutā elayā saprayuktā // 8 //	sarpiH-pakva-aguru-maDu-yutA elayA sa-prayuktAH // 8 //
   karpūrādyā vidalanakarā rājayakṣmāpahantrī	karpUra-AdyAH vidalana-karA rAjayakzma-apahantrI
   viśvasyaiṣā hitakaratamalkādinī (?) bhakṣaṇīyā //	viSvasya-ezA hita-kara-tamalka-AdinI (?) BakzaNIyAH //
   ghārikiṃḍurikāpūpavaṭikā vaṭakādayaḥ /	GArikiMxurikA-pUpa-vawikA vawaka-AdayaH /
   vṛṣyakā rocakā balyā guravaḥ syuḥ svayonivat // 9 //	vRzyakAH rocakAH balyAH guravaH syuH sva-yoni-vat // 9 //
   indrārikā //	indrArikAH //
   (Ap 57)	(Ap 57)
   indrārikā //	indrArikAH //
   vṛṣyā rocanadīpanī balakarī gurvī abhiṣyandinī	vRzyA rocana-dIpanI bala-karI gurvI aBizyandinI
   prāṇais tarpaṇakāriṇī rasavatī śleṣmāṇamābibhratī /	prANEH tarpaNa-kAriNI rasavatI SlezmANam-AbiBratI /
   sāvā (mā)nāhavibandhagulmaśamanī pittāsravicchedinī /	sAvA (mA)nAha-vibanDa-gulma-SamanI pitta-asra-vicCedinI /
   snehenāpi supūritā ca satataṃ (bhakṣye) kṣa kṣeyam indrārikā //	snehena-api su-pUritA ca satatam (Bakzye) kza kzeyam indrArikAH //
   dhṛtapūram //	DRta-pUram //
   dhṛtapūraṃ balakaraṃ vṛṣyaṃ madhuraśītalam /	DRta-pUram bala-karam vRzyam maDura-SItalam /
   hanti vātaṃ raktapittaṃ śleṣmalaṃ ca viśeṣataḥ //	hanti vAtam raktapittam Slezmalam ca viSezataH //
   sāḍiyā (bhā-) //	sAxiyAH (BA-) //
   kṣārakharjūrikā snigdhā śukramāṃsabalapradā /	kzAraKarjUrikA snigDA Sukra-mAMsa-bala-pradA /
   balyā ratikarā hṛdyā chardyarocakanāśanī //	balyA rati-karA hRdyA Cardi-arocaka-nASanI //
   // kṣīravāṭikā //	// kzIra-vAwikAH //
   susnigdhā vaṭikā ca dugdhamṛditā kāntyai ca saukhyapradā	su-snigDA vawikA ca dugDa-mRditA kAntyE ca sOKya-pradA
   tṛṣṇāśaktikarī śramapraśamanī mandāgnaye durjarā //	tRzNA-Sakti-karI Srama-praSamanI manda-agnaye durjarAH //
   pittāsraṃ ca vināśayet tu satataṃ bhakṣyā supuṣṭipradā	pittAsram ca vinASayet tu satatam BakzyA su-puzwi-pradA
   prokteyaṃ vaṭikā ghṛtaplutakṛtā kāmāgnisaṃdīpanī // 13 //	proktA-iyam vawikA GRta-pluta-kRtA kAma-agni-saMdIpanI // 13 //
   tailapakvakṣīravaṭikā //	tEla-pakva-kzIra-vawikA //
   susnigdhā kṣīravaṭakāḥ kāntisaukhyabalapradāḥ /	su-snigDA kzIra-vawakAH kAnti-sOKya-bala-pradAH /
   vātaghnās tailapakvās te vaṭakā māṃsasaṃbhavāḥ // 14 //	vAta-GnAH tEla-pakvAH te vawakAH mAMsa-saMBavAH // 14 //
   (Ap 58)	(Ap 58)
   mudgavaṭakāḥ / (bhā-)	mudga-vawakAH / (BA-)
   mūdgajātās tu ye kecit laghavo rucikārakāḥ /	mUdga-jAtAH tu ye kecid laGavaH ruci-kArakAH /
   caṇakādikṛtāḥ /	caNaka-Adi-kRtAH /
   durjarā laghavo rūkṣāḥ caṇakādikṛtā matāḥ // 15 //	durjarAH laGavaH rUkzAH caNaka-Adi-kRtAH matAH // 15 //
