   kauthumagṛhyasūtram	kOTum-agRhya-sUtram
   pratipya prātarāhutiṃ hutvā svasūktaṃ gītvā prāṇāyāmaṃ kuryāta svagotre	pratipya prAtarAhutim hutvA sva-sUktam gItvA prANAyAmam kuryAta sva-gotre
   vānyagotre vā svagotre vedaryabhāgaṃ dadyādanyagotre vetyādaṃ vibhasya	vA-anya-gotre vA sva-gotre vedarya-BAgam dadyAt-anya-gotre vA-ityAdam viBasya
   svagotre purastāddeśeda ekadeśe śāudamityuktvā praṇayanaṃ vidus tamagniṃ	sva-gotre purastAt-deSa-idaH eka-deSe SAudam-iti-uktvA praNayanam viduH tam-agnim
   barhiṣi sadyo nidhāya tataḥ samūhanādi prapadāntaṃ kṛtvā idhmāṅgaṃ hutvā	barhizi sadyas niDAya tatas samUhana-Adi prapada-antam kRtvA iDmAFgam hutvA
   tatonvārabdhe vyāhṛtibhistisṛbhiḥ hutvā punaśca samastābhiśca hutvāgne	tatas-nvA-ArabDe vyAhRtiBiH-tisRBiH hutvA punar-ca samastABiH-ca hutvA-agne
   vratapata ityādibhiḥ māṇavako hutvā tatrāgnigurvomadhyanayed tathā matvā	vratapate ityAdiBiH mANavakaH hutvA tatra-agni-gurvom-aDyanayet taTA matvA
   brāhmaṇa ācārya tiṣṭasvaduḥ prāṅmukho bhūtvā prāgagrāndarbhān brāhmaṇaṃ	brAhmaNaH AcArya tizwasvaduH prAFmuKaH BUtvA prAc-agrAn-darBAn brAhmaNam
   sthitvā pūrayitvodakajaśaṃ gṛhṇoyāt śiṣyāñjaliṃ kārayitvā ācārye	sTitvA pUrayitvA-udaka-jaSam gRhNoyAt Sizya-aQjalim kArayitvA AcArye
   paryañjaliṃ brāhmaṇaṃ pūrayitvā mantretyācārye japitvā śiṣyāñjaliṃ	paryaQjalim brAhmaNam pUrayitvA mantra-iti-AcArye japitvA Sizya-aQjalim
   prekṣayet brahmacāryataḥ prāṇāyāmaṃ kṛtvā pariṣicābhyarcya agnaye	prekzayet brahmacArI-atas prANAyAmam kRtvA parizicA-aByarcya agnaye
   samidhamityekāṃ samidhamādadyāt prajāpatiṃ manasā dvitīyena hutvā śraddhā	samiDam-iti-ekAm samiDam-AdadyAt prajApatim manasA dvitIyena hutvA SradDA
   me dhetyagnimuṇsthāyāmātmānamabhivādya triyāyuṣamiti bhasma gṛhītvā	me DA-iti-agni-m-uNsTAyAm-AtmAnam-aBivAdya triyAyuzam-iti Basma gRhItvA
   madhyamelacānāmikāṅguṣṭhena saṃyūya brahmā bindurasīti bhāle āyuḥ	maDyamelacA-nAmikA-aFguzWena saMyUya brahmA binduH-asi-iti BAle AyuH
   bindurasīti śirasi śrīrbindurasīti urasi śraddha bindurasīti gale medhā	binduH-asi-iti Sirasi SrIH-binduH-asi-iti urasi SradDa binduH-asi-iti gale meDA
   bindurasīti nābhau tejo bindurasīti dakṣiṇabāhumūle kāmabindurasīti savye	binduH-asi-iti nABO tejaH binduH-asi-iti dakziNa-bAhu-mUle kAma-binduH-asi-iti savye
   vāsupṛṣṭhe sarvakāmeti sarvāṅge vā tato bhaikṣaṃ yācet tat bhaikṣaṃ	vAsu-pRzWe sarva-kAma-iti sarva-aFge vA tatas BEkzam yAcet tat BEkzam
   brahmaṇe dadyāt ācāryādhīnaḥ tūṣṇīṃ tiṣṭhet tato madhyāṅge	brahmaNe dadyAt AcArya-aDInaH tUzNIm tizWet tatas maDya-aFge
   yathoktamārjanaṃ kuryāt sāyamagnikāryaṃ tato brāhmaṇabhojanaṃ tato	yaTA-ukta-mArjanam kuryAt sAyam-agni-kAryam tatas brAhmaNa-Bojanam tatas-
   brāhmaṇabhojanam // KauthGS_15 //	brAhmaNa-Bojanam // KOTGS_15 //
   KauthGS 16:	KOTG 16:
   atha godānabhṛtyaṃ brūyād ācāryassvasthānamupaviśya tathā	aTa go-dAna-BRtyam brUyAt AcArya-ssva-sTAnam-upaviSya taTA
   brāhmaṇorbrahmāgnyormadhye māṇavakodagreṣu ca darbheṣvācāryānugo bhūtvā	brAhmaNoH-brahma-agnyoH-maDye mANavaka-udagrezu ca darBezu-AcArya-anugaH BUtvA
   dakṣiṇajānvaktamupaviśyācāryo mekhalāṃ trirāvṛttāṃ badhvā māṇavako mantraṃ	dakziNa-jAn-u-aktam-upaviSya-AcAryaH meKalAm tris-AvRttAm baDvA mANavakaH mantram
   vāyacitvā iyaṃ duriktādityācāryaḥ punarācamya tato māṇavakaḥ	vAyacitvA iyam duriktAt-iti-a-AcAryaH punar-Acamya tatas mANavakaH
   suparṇavasubhāsalo bhūtvā śobhane muhūrtenvāvīhanaṃ parasparamupanayana	suparNa-vasu-BAsalaH BUtvA SoBane muhUrtenu-AvIhanam parasparam-upanayana
   ācāryapa asau māṇavako upaviśya tatopariṣṭāddhomaṃ samāpya	AcAryapa asO mANavakaH upaviSya tata-uparizwAt-homam samApya
   tatassāvitropradānaṃ madhyaiḥ praṇavamuñcārya tataḥ pāde pāde 'vasāya	tatassAvitra-upradAnam maDyEH praNavam-uQcArya tatas pAde pAde avasAya
   tathā dvitīye 'vasāya mukhyaṃ tṛtīye tataḥ praṇavapūrvaṃ vyāhṛtīḥ	taTA dvitIye avasAya muKyam tRtIye tatas praNava-pUrvam vyAhRtIH
   pratyekamavadhāpya omityuccaiḥ tataḥ pālāśadaṇḍaṃ dadyāt suśravaḥ	pratyekam-avaDApya om-iti-uccEs tatas pAlASa-daNxam dadyAt suSravaH
   suśravasaṃ metyācāryojapitvā ekamahe suśravaḥ suśravasamiti māṇavakaṃ	suSravasam mA-iti-AcAryaH-japitvA eka-mahe suSravaH suSravasam-iti mANavakam
   pratigrāhya tato dakṣiṇakare dve samidho gṛhṇīyāt dharmā bhavati dharmā	pratigrAhya tatas dakziNa-kare dve samiDaH gRhNIyAt DarmA Bavati DarmA
   bhavati // KauthGS_16 //	Bavati // KOTGS_16 //
   KauthGS 17:	KOTG 17:
   athātaḥ prāyaścittānāṃ gṛhastho brahmacāro surāpānacaṇḍālābhigamanaṃ	aTa-atas prAyaScittAnAm gRhasTaH brahmacAraH surA-pAna-caNxAla-aBigamanam
   gurutalpakabrahmahatyāgovadhaṃ suvarṇasteyaṃ duṣpratigrahaṃ parānnaṃ	guru-talpaka-brahma-hatyA-go-vaDam suvarNa-steyam duzpratigraham para-annam
   vainalaghutvārthe brāhmaṇasya hittīrthaṃ prāyaścittaṃ vakṣyāmīti	vEnalaGutvA-arTe brAhmaNasya hittIrTam prAyaScittam vakzyAmi-iti
   trirātramupavāsaḥ samidhaḥ śrapayitvā tato vapanaṃ kārayitvā	tri-rAtram-upavAsaH samiDaH SrapayitvA tatas vapanam kArayitvA
   kamaṇgalunodakaṃ gṛhītvā saritaḥ snāpayitvā kṛṣṇagomayaṃ gṛhītvā gohṛdaye	kamaNgaluna-udakam gRhItvA saritaH snApayitvA kRzNa-gomayam gRhItvA go-hRdaye
   jāta sthitā bhuvanaṃ pāvanīkṛte tasmātapāvanībhūtaḥ sarvapāpakṣayaṃ	jAta sTitAH Buvanam pAvanIkRte tasmAtapa-avanIBUtaH sarva-pApa-kzayam
   kurvityanena gomayaṃ gṛhītvā adbhiḥ saṃyūya pālāśaparṇaṃ gṛhītvā	kuru-iti-anena gomayam gRhItvA adBiH saMyUya pAlASa-parNam gRhItvA
   dvādaśasagṛhītaṃ pūrayitvā praṇamavaśatenābhimantrya mastake 'nulipya	dvAdaSa-sa-gRhItam pUrayitvA praNama-vaSatena-aBimantrya mastake anulipya
   brahmasāgniparyantaṃ homatrayaṃ sarvatrābhyastatadupahṛtapāvana pūrvavat	brahma-sAgni-paryantam homa-trayam sarvatra-aByasta-tad-upahRta-pAvana pUrvavat-
   punarabhyāsa iti vā brahmacāryamadyapānamadhuprāśanam pratyarātraṃ	punar-aByAsaH iti vA brahmacArya-madya-pAna-maDu-prASanam pratyarAtram
   muktyahīna iti nopavīta digambaraṃ dvārapālanaṃ kramukṣaṇaṃ divāmaithunaṃ	mukti-ahInaH iti na-upavIta digambaram dvArapAlanam kramu-kzaNam divA-mETunam
   divā punarbhojanaṃ caṇḍālasaṃbhāṣaṇamanyatṛtamanyocchiṣṭabhojanaṃ	divA punar-Bojanam caNxAla-saMBAzaNam-anyatRtam-anya-ucCizwa-Bojanam
   pārvaṇaprāśanaṃ sapiṇḍīmahaikoddiṣṭaṃ teṣu punarbrahmacaryaṃ kṛtsnatvāt	pArvaNa-prASanam sapiNxImahA-eka-uddizwam tezu punar-brahmacaryam kRtsna-tvAt-
   pramādālaghutvamiti jñāyate dharmakterna kuryāt tadabhāśvamāśrayaṅgam	pramAda-alaGu-tvam-iti jQAyate DarmakteH-na kuryAt tad-aBASvam-ASrayaFgam
   vitatho bhavati tasmāddharmaparo nityakusumagranthābhyāsam tathā bhūtvā	vitaTaH Bavati tasmAt-Darma-paraH nitya-kusuma-granTa-aByAsam taTA BUtvA
   tayo punarācamayay prapadāntaṃ kṛtvā idhmāṅgaṃ hutvā tato 'nvābdhāyāṃ	tayo punar-Acamayay prapada-antam kRtvA iDmAFgam hutvA tatas anvAbDAyAm
   vyāhṛtibhistisṛbhiḥ hutvāgne vratādi paṃcabhirā cāryo juhuyāt śiṣyo	vyAhRtiBiH-tisRBiH hutvA-agne vrata-Adi paMcaBirA ca-AryaH juhuyAt SizyaH-
   mantraṃ vāyayitvācāryaḥ svasthāne tiṣṭhan yuvā śiṣyaḥ prāṅmukha udbhāvaṃ	mantram vAyayitvA-AcAryaH sva-sTAne tizWan yuvA SizyaH prAFmuKaH udBAvam
   jalaṃ kārayitvā pitāñjaliṃ brahma pūrayitvā ācārya ā gantre mantramutkā	jalam kArayitvA pitA-aQjalim brahma pUrayitvA AcAryaH A gantre mantram-utkA
   śiṣyāḍjaliṃ prekṣet ko nāmetyācāryo manasā pṛcchet śiṣyayo nakṣatrāśrayaṃ	SizyAj-jalim prekzet kaH nAma-iti-AcAryaH manasA pRcCet SizyayaH nakzatra-ASrayam
   nāma ityupāṃśasu tayoḥ svasthānamupaviśya tatopariṣṭāddhomaṃ samāpya	nAma iti-upAMSasu tayoH sva-sTAnam-upaviSya tata-uparizwAt-homam samApya
   sāvitropradānārthe tatsaviturvṛṇīmahe sūryo devasya dhīmahi bhāno so 'haṃ	sAvitra-upradAna-arTe tat-savituH-vRNImahe sUryaH devasya DImahi BAno saH aham
   saṃpracodayāt iti tūṣṇī pālāśadaṇḍaṃ dadyāt tato brāhmaṇabhojanaṃ tato	saMpracodayAt iti tUzNI pAlASa-daNxam dadyAt tatas brAhmaNa-Bojanam tatas-
   brāhmaṇabhojanam // KauthGS_17 //	brAhmaNa-Bojanam // KOTGS_17 //
   KauthGS 18:	KOTG 18:
   abhibhātmānaḥ sarvāṅgaiḥ pratyekasahasraṃ sthaṇḍilamupalipya	aBiBA-AtmAnaH sarva-aFgEH pratyeka-sahasram sTaNxilam-upalipya
   ikṣudaṇjaśakaṃ kṛtvodagagramāstīryopari śiṣyopaveśanam navaśūrpaṃ śirasi	ikzu-daNjaSakam kRtvA-udaga-gramAH-tIrya-upari Sizya-upaveSanam nava-SUrpam Sirasi
   nidhāya kuśaiḥ chādayitvācāryo ghaṭenāñjaliṃ pūrayitvā dakṣiṇapādenākramya	niDAya kuSEH CAdayitvA-AcAryaH Gawena-aQjalim pUrayitvA dakziNa-pAdena-Akramya
   yena deveti namantriya eto nvindretyabhiṣicya punaśca vāsasā paridhāya	yena deva-iti na-mantriyaH etaH nu-indra-iti-aBizicya punar-ca vAsasA pariDAya
   caturasraṃ sthaṇḍilamupalipya pūrvopanayanavat pravaṇaṃ kṛtvā brīhīn vā	catur-asram sTaNxilam-upalipya pUrva-upanayana-vat pravaNam kRtvA brIhIn vA
   yavān vā yathācchakasthaṃḍilaṃ pūrayitvā taṃ śūrpaṃ tadupari nidhāya tathā	yavAn vA yaTAcCaka-sTaMxilam pUrayitvA tam SUrpam tad-upari niDAya taTA
   śiṣyopaveśanaṃ pūrvoktamantreṇa payasādi śiṣyamastake 'bhiṣiñcet	Sizya-upaveSanam pUrva-ukta-mantreNa payasA-Adi Sizya-mastake aBiziQcet-
   caturasraṃ sthaṇḍilamupalipya pūrvopayanavat praṇayanaṃ kṛtvācāryo	catur-asram sTaNxilam-upalipya pUrva-upayana-vat praNayanam kRtvA-AcAryaH-
   mekhalāṃ trirāvṛttāṃ baddhvā tūṣṇīṃ śiṣyo mantraṃ vācayitvā	meKalAm tris-AvRttAm badDvA tUzNIm SizyaH mantram vAcayitvA
   yathoktamantreṇa yajñopavītī śarāvaṃ mārjayitvā śanno devīriti pañcaśataṃ	yaTA-ukta-mantreNa yajQa-upavItI SarAvam mArjayitvA SannaH devIH-iti paQca-Satam
   yaḥ pāvamānīriti triḥ śataṃ eto nvindramaṣṭacatvāri samāṃ yatra śataṃ vā	yaH pAvamAnIH-iti tris Satam etaH nu-indram-azwa-catvAri samAm yatra Satam vA
   śatavāraṇapraṇavaṃ śatamaṣṭottaraṃ ebhirmārjayitvā punaśca	Sata-vAraNa-praNavam Satam-azwa-uttaram eBiH-mArjayitvA punar-ca
   yathoktamārjanaṃ kṛtvā śucau deśe sthaṇḍilaṃ vartayitvā vā kuśagrān	yaTA-ukta-mArjanam kRtvA SucO deSe sTaNxilam vartayitvA vA kuSagrAn
   sahasramādāya dviśatādhikaṃ vā śataṃ vibhajya śatāgraṃ śirasi nidhāya	sahasram-AdAya dvi-Sata-aDikam vA Satam viBajya Sata-agram Sirasi niDAya
   śataṃ pādatale nidhāyākramya pārśvayoḥ śataṃ śataṃ badhnīyāt urasi āpo	Satam pAda-tale niDAya-Akramya pArSvayoH Satam Satam baDnIyAt urasi ApaH-
   hiṣṭheti sahasraṃ japitvā śanno devīriti dviguṇameto nvindraṃ catvāriṃśad	hizWA-iti sahasram japitvA SannaH devIH-iti dviguNam-etaH nu-indram catvAriMSat-
   gāyatraṃ pañcasahasraṃ praṇavamayutaṃ kṛtvā // KauthGS_18 //	gAyatram paQca-sahasram praNavam-ayutam kRtvA // KOTGS_18 //
   KauthGS 19:	KOTG 19:
   atho opāsanavidhiṃ vyākhyāsyāmaḥ /	aTo opAsana-viDim vyAKyAsyAmaH /
   kālo 'nādeśe sāyāmāhutyupakramya prātaḥ praste tejaḥ prāptisāyamāhur yadi	kAlaH anAdeSe sAyAma-Ahuti-upakramya prAtar praste tejaH prApti-sAyam-AhuH yadi
   samasya kṛtatvāt aprāptitvāt prātadāhuḥ so 'yaṃ yāmatrāyadarvāk	samasya kRta-tvAt aprApti-tvAt prAtadAhuH saH ayam yAma-trAya-darvAk-
   yathāprāptiriti tasmātsakālaprāptirbhavati divā yāmādadvāgyathoktamiti	yaTAprAptiH-iti tasmAt-sa-kAla-prAptiH-Bavati divA yAmAdadvAc-I-aTa-uktam-iti
   dātistasmādaprāptirbhavati pralapya māṇavakamantraṃ punargṛhotaṃ	dAtiH-tasmAt-aprAptiH-Bavati pralapya mANavaka-mantram punar-gRhotam
   sakṛtpraṇavenābhimantrya pītvācamyāṅgulamātraṃ jalamavagāhya prāṇāyāmaṃ	sakRt-praNavena-aBimantrya pItvA-Acamya-aFgula-mAtram jalam-avagAhya prANAyAmam
   sahasraṃ kṛtvāpo hi ṣṭheti śataṃ japitvā śanno dīvīriti dviśataṃ yaḥ	sahasram kRtvA-apaH hi zWA-iti Satam japitvA SannaH dIvIH-iti dvi-Satam yaH
   pāvamānīriti triśataṃ eto nvindraṃ caturdaśa gāyatraṃ pañcadaśa	pAvamAnIH-iti tri-Satam etaH nu-indram caturdaSa gAyatram paQcadaSa
   praṇavasahasraṃ ityaṣṭa teṣāṃ sumanaso jatpa punarnābhimātraṃ jale sthitā	praNava-sahasram iti-azwa tezAm sumanasaH jatpa punar-nABi-mAtram jale sTitA
   prāṇayāmaśataṃ kṛtvāpo hiṣṭheti śatam // KauthGS_19 //	prANayAma-Satam kRtvA-apaH hizWA-iti Satam // KOTGS_19 //
   KauthGS 20:	KOTG 20:
   atha punarbrahmacaryavidhiṃ vyākhyāsyāmaḥ /	aTa punarbrahmacarya-viDim vyAKyAsyAmaH /
   ṣaṇmāsān payobhakṣaḥ samudramavahagāhya pūrvavannāndadīmukhaṃ kṛtvā tato	zaz-mAsAn payaH-BakzaH samudram-avahak-Ahya pUrvavat-nAndadI-muKam kRtvA tatas-
   vapanaṃ kārayitvā aṣṭo brahmaṇānniyojya aṣṭo mṛnmayeṣu dadhimadhvājyapayaḥ	vapanam kArayitvA azwaH brahmaNAn-niyojya azwaH mRd-mayezu daDi-maDu-Ajya-payaH
   śarkarīdakaṃ nālikerajalaṃ puroṣaṃ gaṃgātoyaṃ etānpūrayitvāhatena vāsasā	SarkarIdakam nAlikera-jalam purozam gaMgA-toyam etAn-pUrayitvA-hatena vAsasA
   pariveśyā ā pyāyasveti kṣīrapātramabhimantrya dadhikrāviṇeti dadhipātraṃ	pariveSyA A pyAyasva-iti kzIra-pAtram-aBimantrya daDi-krAviNA-iti daDi-pAtram
   śukramasasīti ghṛtapātraṃ madhaduścunnadhanamiti madhupātram āpo hi ṣṭheti	Sukram-asasi-iti GRta-pAtram maDa-duScunna-Danam-iti maDu-pAtram ApaH hi zWA-iti
   śarkarām kayā naścitra iti nālikeram gāyatre gomūtraṃ evaṃ deveti	SarkarAm kayA naH-citraH iti nAlikeram gAyatre go-mUtram evam deva-iti
   ścarṇodapātramiti // KauthGS_20 //	ScarNa-udapAtram-iti // KOTGS_20 //
   KauthGS 21:	KOTG 21:
   ityete vā vāmityuccaiḥ brūyāt pradakṣiṇena jalaṃ	iti-ete vA vAm-iti-uccEs brUyAt pradakziNena jalam
   vīkṣyādityamādityamaśaktascet pratiyāme sakṛt ghaṭikāvasānaṃ vātāstamayād	vIkzya-Adityam-Adityam-aSaktasced pratiyAme sakRt GawikA-avasAnam vAta-astamayAd
   bhavati tataḥ sāya mārjayatvā kamaṇḍalunodakaṃ gṛhītvā maḍhaṃ praviśet /	Bavati tatas sAya mArjayatvA kamaNxalunodakam gRhItvA maXam praviSet /
   prāṅmukhopaviśya tata udakaṃ pītvā netrayīḥ prakṣālyācamya tataḥ	prAFmuKa-upaviSya tatas udakam pItvA netrayIH prakzAlya-Acamya tatas-
   prāṇāpānau dvau tavaśyāvīyau dvau rājanaśāśāhiṇābhyāṃ gavāṃ vrate dve idaṃ	prANa-apAnO dvO tavaSyAvIyO dvO rAjana-SASa-ahiNAByAm gavAm vrate dve idam
   viṣṇuḥ ṣaḍṛcaṃ devavratāni eteṣāṃ punaḥ punarabhyāso na tiṣṭhaṃ vāvasānaṃ	vizNuH zaw-Rcam devavratAni etezAm punar punar-aByAsaH na tizWam vA-avasAnam
   na nidraṃ drācaṃ iti dvādaśarātramupavāso hyāparevādvrataṃ na yācate /	na nidram drAcam iti dvAdaSa-rAtram-upavAsaH hi-AparevAt-vratam na yAcate /
   dvādaśarātra nāśroyāt ityevaṃ dvādaśarātramupavāsaḥ kṛtvātikṛtsna iti	dvAdaSa-rAtra na-ASroyAt iti-evam dvAdaSa-rAtram-upavAsaH kRtvA-atikRtsnaH iti
   smṛtam /	smRtam /
   yāvadbṛhaspatirbrahmā tāvatsvarge loke mahīyate na ca punarāvartate na ca	yAvat-bRhaspatiH-brahmA tAvat-svarge loke mahIyate na ca punar-Avartate na ca
   punarāvartate // KauthGS_21 //	punar-Avartate // KOTGS_21 //
   kauthumagṛhyaṃ samāptam //	kOTum-agRhyam samAptam //
