   Prajñāpāramitopadeśaśāstre	PrajQApAramita upadeSa SAstre
   ityetadaviparītaprayogānumodanāt   sattvārthakaraṇa  	iti etat aviparIta prayoga anumodanAt  sattva arTa karaNa  
   avikalaprajñāpāramitāprāpakā ityetadaviparītaprayogānumodanāt caturdaśa	avikala prajQApAramitA prApakAH iti etat aviparIta prayoga anumodanAt caturdaSa
   guṇā utpadyante prāpyante ca /	guNAH utpadyante prApyante ca /
   4   doṣāḥ	4  dozAH
   tadanantaraṃ ke punaḥ prayogāntarāyakarā doṣāḥ, yeṣāṃ parivarjanena	tad anantaram ke punar prayoga antarAya karAH dozAH, yezAm parivarjanena
   prayogā bhāvayitavyā ityantarāyakarān doṣānāha  	prayogAH BAvayitavyAH iti antarAya karAn dozAn Aha  
   doṣāśca ṣaḍ viboddhavyāścaturbhirdaśakaiḥ saha // Abhis_4.12 //	dozAH ca zaw vibodDavyAH caturBiH daSakEH saha // ABiH _4.12 //
   mahākṛcchraprāptiḥ, atyāśupratibhānatā, kāyadauṣṭhulyam, cittadauṣṭhulyam,	mahA kRcCra prAptiH, atyASu pratiBAna tA, kAya dOzWulyam, citta dOzWulyam,
   ayogavihitasvādhyāyādikam, vaimukhyanimittagrāhitā,	ayoga vihita svADyAya Adikam, vEmuKya nimitta grAhitA,
   hetvabhiniveśabhraṃśaḥ, praṇītāsvādabhraṃśaḥ, sarvathā	hetu aBiniveSa BraMSaH, praNIta AsvAda BraMSaH, sarvaTA
   uttamayānasaṃgrahabhraṃśaḥ, sarvadoddeśabhraṃśa iti prathamaṃ daśakam /	uttama yAna saMgraha BraMSaH, sarva dA uddeSa BraMSaH iti praTamam daSakam /
   hetuphalasambandhabhraṃśaḥ, niruttarabhraṃśaḥ,	hetu Pala sambanDa BraMSaH, niruttara BraMSaH,
   bahuvidhaviṣayavikalpapratibhānotpādaḥ, akṣaralikhanābhiniveśaḥ,	bahuviDa vizaya vikalpa pratiBAna utpAdaH, akzara liKana aBiniveSaH,
   abhāvābhiniveśaḥ, akṣarābhiniveśaḥ, anakṣarābhiniveśaḥ,	aBAva aBiniveSaH, akzara aBiniveSaH, anakzara aBiniveSaH,
   janapadādimanaskāraḥ, lābhasatkāraślokāsvādanam,	janapada Adi manaskAraH, lABa satkAra Sloka AsvAdanam,
   amārgopāyakauśalamārgaṇamiti dvitīyaṃ daśakam /	amArga upAya kOSala mArgaNam iti dvitIyam daSakam /
   yathāsaṃkhyaṃ śrotāvaktroḥ pūrvāparayoḥ kasyacidabhisambandhena	yaTAsaMKyam SrotA vaktroH pUrva aparayoH kasyacid aBisambanDena
   chandakilāsavaidhuryam, chandaviṣayabhedavaidhuryam,	Canda kilAsa vEDuryam, Canda vizaya Beda vEDuH yam,
   alpecchatānalpecchatāvaidhuryam, dhūtaguṇayogāyogau,	alpa icCatA analpet SatA vEDuryam, DUta guNa yoga ayogO,
   kalyāṇākalyāṇadharmatvam, tyāgamātsaryam, dānāgrahaṇam,	kalyANa akalyANa Darma tvam, tyAgamAt saryam, dAna agrahaNam,
   uddhaṭitajñavipañcitajñatvam, sūtrādidharmābhijñānabhijñatvam,	udDawita jQa vipaQcita jQa tvam, sUtra Adi Darma aBijQA anaBijQa tvam,
   ṣaṭpāramitāsamanvāgamāsamanvāgamāviti tṛtīyaṃ daśakam /	zaz pAramitA samanvAgamAsam anvAgamO= iti tRtIyam daSakam /
   tathaiva upāyānupāyakauśale, dhāraṇīpratilambhāpratilambhau,	taTA eva upAya anupAya kOSale, DAraNI pratilamBA pratilamBO,
   likhitukāmatā'likhitukāmate, vigatāvigatakāmacchandatve ceti catvāri;	liKitu kAma tA aliKitukAmate, vigata avigata kAma= Canda tve ca iti catvAri;
   apāyagativaimukhyam, sugatigamanasaumanasyamiti dve; yathāsaṃkhyaṃ	apAya gati vEmuKyam, sugati gamana sOmanasyam iti dve; yaTAsaMKyam
   śrotāvaktroḥ pūrvāparayoḥ kasyacidabhisambandhena ekākiparṣadabhiratiḥ,	SrotAvaktroH pUrva aparayoH kasyacid aBisambanDena ekAki parzad aBi ratiH,
   anubandhakāmānavakāśadānatvam, āmiṣakiñcitkābhilāṣatadadātukāmatā,	anubanDa kAmAnavakASa dAna tvam, Amiza kiQcitka aBilAza tada dAtu kAma tA,
   sadasajjīvitāntarāyadiggamanamiti catvāri ca caturthaṃ daśakam /	sat asat jIvita antarAya diggamanam iti catvAri ca caturTam daSakam /
   tathaiva durbhikṣadiggamanāgamanam, caurādyākulitadiggamanāgamanam,	taTA eva durBikza diggamana Agamanam, cOra Adi Akulita diggamana Agamanam,
   kulāvalokanadaurmanasyamiti trīṇi; mārabhedaprayogaḥ,	kula avalokana dOrmanasyam iti trINi; mAra Beda prayogaH,
   prativarṇikopasaṃhāraḥ, ayathāviṣaya spṛhotpādanamiti aparāṇi trīṇi /	prativarNikA upa saMhAraH, ayaTA vizaya spRhA utpAdanam iti aparANi trINi /
   ityevaṃ ṣaṭcatvāriṃśaddoṣā bhavanti /	iti evam zawcatvAriMSat dozAH Bavanti /
   5   lakṣaṇāni	5  lakzaNAni
   doṣānantaraṃ yathāsaṃkhyaṃ guṇadoṣādānatyāgena prayogā bhāvanīyā	doza anantaram yaTAsaMKyam guNa doza AdAna tyAgena prayogAH BAvanIyA
   lakṣaṇajñāna pūrvakamiti teṣāṃ lakṣaṇamāha  	lakzaNa jQAna pUrvakam iti tezAm lakzaNam Aha  
   lakṣyate yena tajjñeyaṃ lakṣaṇaṃ trividhaṃ ca tat /	lakzyate yena tat jQeyam lakzaNam triviDam ca tat /
   jñānaṃ viśeṣa kāritraṃ svabhāvo yaśca lakṣyate // Abhis_4.13 //	jQAnam viSeza kAritram svaBAvaH yaH ca lakzyate // ABiH _4.13 //
   prayogāṇāṃ lakṣaṇaṃ karaṇasādhanaparigraheṇa jñānaviśeṣakāritrasvarūpam,	prayogANAm lakzaNam karaNa sADana parigraheNa jQAna viSeza kAritra svarUpam,
   karmasādhanaparigraheṇa ca svabhāvātmakamiti lakṣaṇaṃ caturvidhaṃ	karma sADana parigraheNa ca svaBAva Atmakam iti lakzaNam caturviDam
   boddhavyam /	bodDavyam /
   tatra tāvat jñānalakṣaṇaṃ trisarvajñatābhedena bhidyamānaṃ	tatra tAvat jQAna lakzaNam trisarvajQa tA Bedena BidyamAnam
   sarvajñatādvāreṇāha  	sarvajQa tA dvAreNa Aha  
   tathāgatasya nirvṛttau loke cālujyanātmake /	taTAgatasya nirvRttO loke ca Alu jyana Atmake /
   sattvānāṃ cittacaryāsu tatsaṃkṣepe bahirgatau // Abhis_4.14 //	sattvAnAm citta caryAsu tad saMkzepe bahis gatO // ABiH _4.14 //
   akṣayākāratāyāṃ ca sarāgādau pravistṛte /	akzaya AkAra tAyAm ca sa rAga AdO pravistRte /
   mahadgate 'pramāṇe ca vijñāne cānidarśane // Abhis_4.15 //	mahat gate apramANe ca vijQAne ca anidarSane // ABiH _4.15 //
   adṛśyacittajñāne ca tadunmiñjādisaṃjñakam /	adRSya citta jQAne ca tat unmiQja Adi saMjQakam /
   punastathatākāreṇa teṣāṃ jñānamataḥ param // Abhis_4.16 //	punar taTatA AkAreNa tezAm jQAnam atas param // ABiH _4.16 //
   tathatāyāṃ munerbodhatatparākhyānamityayam /	taTatAyAm muneH boDa tatpara AKyAnam iti ayam /
   sarvajñatādhikāreṇa jñānalakṣaṇasaṃgraha // Abhis_4.17 //	sarvajQa tA aDikAreNa jQAna lakzaNa saMgrahaH // ABiH _4.17 //
   tathāgatanirvṛttilokālujyatāsattvacittacaritacittasaṃkṣepacittavikṣepacittākṣayākārasarāgādicittaādiśabdasaṅgṛhītavigatarāgacittavipulacittamahadgatacittaapramāṇacittaanidarśanacittaḥadṛśacittacittonmiñjitādiunmiñjitāditathatākāratathāgatatathatāvabodhatatparasamākhyānaprajñapanañcetyebhiḥ	taTAgata nirvRtti loka Alujya tA sattva citta carita citta saMkzepa citta vikzepa citta akzaya AkAra sa rAga Adi cittaa Adi Sabda saFgRhIta vigata rAga citt
   ṣoḍaśabhiḥ jñānākāraprakāraiḥ yathānayaṃ sarvajñatāprayogāḥ samyag	zoxaSaBiH jQAna AkAra prakArEH yaTA anayam sarvajQa tA prayogAH samyak 
   lakṣyanta iti jñānalakṣaṇaṃ sarvajñatayā saṅgṛhītam /	lakzyante iti jQAna lakzaNam sarvajQa tayA saFgRhItam /
   tadanantaraṃ mārgajñatādhikāreṇāha  	tad anantaram mArga jQa tA aDikAreNa Aha  
   śūnyatve sānimitte ca praṇidhānavivarjite /	SUnya tve sa animitte ca praNiDAna vivarjite /
   anutpādānirodhādau dharmatāyā akopane // Abhis_4.18 //	anutpAda aniroDa AdO DarmatAyAH akopane // ABiH _4.18 //
   asaṃskāre 'vikalpe ca prabhedālakṣaṇatvayoḥ /	asaMskAre avikalpe ca praBeda alakzaNa tvayoH /
   mārgajñatādhikāreṇa jñānalakṣaṇamiṣyate // Abhis_4.19 //	mArga jQa tA aDikAreNa jQAna lakzaNam izyate // ABiH _4.19 //
   śūnyatānimittāpraṇihitānutpādānirodhātmakāni / ādiśabdena	SUnyatA nimitta apraNihita anutpAda ani roDa AtmakAni / Adi Sabdena
   asaṃkleśāvyavadānābhāvasvabhāvāniśritākāśalakṣaṇāni etāni ṣaṭ saṅgṛhītāni	asaMkleSa avyavadAna aBAva svaBAva aniSrita AkASa lakzaNAni etAni zaw saFgRhItAni
   / dharmatā 'vikopanāsaṃskārāvikalpaprabhedālakṣaṇāni cetyebhiḥ ṣoḍaśabhiḥ	/ DarmatA avikopanA saMskAra avikalpa praBeda alakzaNAni ca iti eBiH zoxaSaBiH
   jñānākāraprakāraiḥ yathāvat mārgajñatāprayogā lakṣyanta iti jñānalakṣaṇaṃ	jQAna AkAra prakArEH yaTAvat mArga jQa tA prayogAH lakzyante iti jQAna lakzaNam
   mārgajñatāsaṅgṛhītam /	mArga jQa tA saFgRhItam /
   tadanantaraṃ sarvākārajñatādvāreṇāha  	tad anantaram sarva AkAra jQa tA dvAreNa Aha  
   svadharmamupaniśritya vihāre tasya satkṛtau /	svaDarmam upaniSritya vihAre tasya satkRtO /
   gurutve mānanāyāñca tatpūjā 'kṛtakatvayoḥ // Abhis_4.20 //	guru tve mAnanAyAQca tad pUjA akRtaka tvayoH // ABiH _4.20 //
   sarvatra vṛttimajjñānamadṛṣṭasya ca darśakam /	sarvatra vRttimat jQAnam adRzwasya ca darSakam /
   lokasya śūnyatākārasūcakajñāpakākṣagam // Abhis_4.21 //	lokasya SUnyatA AkAra sUcaka jQApaka akza gam // ABiH _4.21 //
   acintyaśāntatādarśi lokasaṃjñānirodhi ca /	acintya SAnta tA darSi loka saMjQA niroDi ca /
   jñānalakṣaṇamityuktaṃ sarvākārajñatānaye // Abhis_4.22 //	jQAna lakzaNam iti uktam sarva AkAra jQa tA naye // ABiH _4.22 //
   iti /	iti /
   tathāgatasvadharmopaniśrayavihāra satkāra gurukāra mānanā pūjanā akṛta katva sarvatraga adṛṣṭārthadarśaka lokaśūnyatākāra lokaśūnyatāsūcakaḥ lokaśūnyatājñāpaka lokaśūnyatādarśaka acintyatādeśanā śāntatādeśanā lokanirodha saṃjñānirodhākhyaiḥ	taTAgata svaDarma upaniSraya vihAra  satkAra  gurukAra ma AnanA  pUjanA a kRta ka tva  sarvatraga a dRzwa arTa darSa ka loka SUnyatA AkAra  loka SUny
   ebhiḥ ṣoḍaśabhirjñānākāraprakāraiḥ yathāvat sarvākārajñatāprayogā	eBiH zoxaSaBiH jQAna AkAra prakArEH yaTAvat sarva AkAra jQa tA prayogA
   lakṣyanta iti jñānalakṣaṇaṃ sarvākārajñatāsaṃgṛhītaṃ bhavati /	lakzyante iti jQAna lakzaNam sarva AkAra jQa tA saMgRhItam Bavati /
   navabhirantaraślokairevaṃ jñānalakṣaṇamabhidhāya jñānākāreṇa	navaBiH antaraSlokEH evam jQAna lakzaNam aBiDAya jQAna AkAreNa
   paricchinnānāṃ viśeṣo jñeya iti jñānalakṣaṇānantaram antaraślokena	paricCinnAnAm viSezaH jQeyaH iti jQAna lakzaNa anantaram antaraSlokena
   viśeṣalakṣaṇamāha  	viSeza lakzaNam Aha  
   acintyādiviśeṣeṇa viśiṣṭaiḥ satyagocaraiḥ /	acintya Adi viSezeNa viSizwEH satya gocarEH /
   viśeṣalakṣaṇaṃ ṣaḍbhirdaśabhiścoditaṃ kṣaṇaiḥ // Abhis_4.23 //	viSeza lakzaNam zaxBiH daSaBiH ca uditam kzaNEH // ABiH _4.23 //
   iti / acintyātulyādiviśeṣaviśiṣṭairduḥkhādisatyaviṣayaiḥ	iti / acintya atulya Adi viSeza viSizwEH duHKa Adi satya vizayEH
   ṣoḍaśabhirdharmānvayajñānakṣāntijñānakṣaṇairmārgajñatādiprayogā lakṣyanta	zoxaSaBiH Darma anvaya jQAna kzAnti jQA na kzaNEH mArga jQa tA Adi prayogAH lakzyanta
   iti viśeṣalakṣaṇam /	iti viSeza lakzaNam /
   kaḥ punaracintyādiviśeṣa ityantaraślokatrayamāha  	kaH punar acintya Adi viSezaH iti antara Sloka trayam Aha  
   acintyātulyate meyasaṃkhyayoḥ samatikramau /	acintya atulyate meya saMKyayoH samatikramO /
   sarvāryasaṃgraho vijñavedyāsādhāraṇajñate // Abhis_4.24 //	sarva Arya saMgrahaH vijQa vedyAsa ADAraNa jQate // ABiH _4.24 //
   kṣiprajñānyūnapūrṇatve pratipatsamudāgamau /	kzipra jQA nyUna pUrNa tve pratipad samudAgamO /
   ālambanañca sādhāraṃ sākalyaṃ samparigrahaḥ // Abhis_4.25 //	AlambanaQca sa ADAram sAkalyam samparigrahaH // ABiH _4.25 //
   anāsvādaśca vijñeyo viśeṣaḥ ṣoḍaśātmakaḥ /	anAsvAdaH ca vijQeyaH viSezaH zoxaSa AtmakaH /
   viśeṣamārgo mārgebhyo yenānyebhyo viśiṣyate // Abhis_4.26 //	viSeza mArgaH mArgeByaH yena anyeByaH viSizyate // ABiH _4.26 //
   iti / samyaksambuddhādeḥ susaṃgṛhītaprajñābalena acintyatā, atulyatā,	iti / samyaksambudDa AdeH su saMgRhIta prajQA balena acintyatA, atulya tA,
   prameyasamatikramaḥ, saṃkhyeyasamatikramaḥ, sarvāryapudgalasaṃgrahaḥ,	prameya samatikramaH, saMKyeya samatikramaH, sarva Arya pudgala saMgrahaH,
   vijñapuruṣavedanīyatā, śrāvakādyagocaravastuparijñānam,	vijQa puruza vedanIyatA, SrAvaka Adi agocara vastu parijQAnam,
   svamatāpekṣakṣiprābhijñatājñānam,	sva mata apekza kzipra aBijQa tA jQAnam,
   saṃvṛtiparamārthasatyāśritasarvadharmānyūnāpūrṇatā,	saMvRti parama arTa satya ASrita sarva Darma anyUnA pUrNa tA,
   trimaṇḍalaviśuddhadānādiṣaṭpāramitāpratipattiḥ, samyakprayogenānekakalpeṣu	tri maNxala viSudDa dAna Adi zaz pAramitA pratipattiH, samyak prayogena aneka kalpezu
   āsāditapuṇyajñānasamudāgamau, avikalpena sarvadharmālambanam,	AsAdita puNya jQAna samudAgamO, avikalpena sarva Darma Alambanam,
   dharmadhātusvabhāvabodhisattvādhāraḥ,	DarmaDAtu svaBAva boDisattva ADAraH,
   praṇidhānādiṣaṭpāramitāparisamāptihetusambhāraḥ, kalyāṇamitropāyena	praNiDAna Adi zaz pAramitA pari samApti hetu samBAraH, kalyANa mitra upAyena
   saṃparigrahaḥ, abhiniveśānāsvāda iti ṣoḍaśātmakaḥ yathākramaṃ	saMparigrahaH, aBiniveSa anAsvAdaH iti zoxaSa AtmakaH yaTAkramam
   duḥkhādisatyakṣaṇānāṃ viśeṣaḥ, yena śrāvakādimārgebhyo bodhisattvādīnāṃ	duHKa Adi sati akzaNAnAm viSezaH, yena SrAvaka Adi mArgeByaH boDisattva AdInAm
   mārgajñatādidvaye viśeṣamārgo viśiṣyate / atasteṣāṃ yathoktaviśeṣavikalo	mArga jQa tA Adi dvaye viSeza mArgaH viSizyate / atas tezAm yaTA ukta viSeza vikalaH 
   'bhiniveśādyutpādanalakṣaṇatvena sugamatvānnoktaḥ /	aBiniveSa Adi utpAdana lakzaNa tvena sugama tvAt na uktaH /
   viśeṣalakṣaṇenāvacchinnānāṃ kiṃ kāritramiti antaraślokadvayena	viSeza lakzaNena avacCinnAnAm kim kAritram iti antaraSloka dvayena
   kāritralakṣaṇamāha  	kAritra lakzaNam Aha  
   hitaṃ sukhaṃ ca trāṇaṃ ca śaraṇaṃ layanaṃ nṛṇām /	hitam suKam ca trANam ca SaraNam layanam nRNAm /
   parāyaṇa ca dvīpaṃ ca pariṇāyakasaṃjñakam // Abhis_4.27 //	parAyaNa ca dvIpam ca pariNAyaka saMjQakam // ABiH _4.27 //
   anābhogaṃ tribhiryānaiḥ phalāsākṣātkriyātmakam /	anABogam triBiH yAnEH Pala asAkzAt kriyA Atmakam /
   paścimaṃ gatikāritramidaṃ kāritralakṣaṇam // Abhis_4.28 //	paScimam gati kAritram idam kAritra lakzaNam // ABiH _4.28 //
   iti / anāgatahita aihikasukhaḥ duḥkharahitāvipākadharmatopasthāpanārthena	iti / anAgata hita  Ehika suKaH duHKa rahitA vipAka Darma tA upasTApana arTena
   hitāditrayaṃ sarvajñatākāritram /	hita Adi trayam sarvajQa tA kAritram /
   ātyantikahita duḥkhahetunivartana saṃsāranirvāṇa samatādhigama svaparārthādhigamādhārabhāva parārthapratipati anābhogapravṛttasattvārtha yānatrayaniryāṇaphalāsākṣātkārā	Atyantika hita  duHKa hetu nivartana  saMsAra nirvANa  samatA aDigama  sva para arTa aDigama ADAra BAva  para arTa pratipati anABoga pravRtta sattva arTa
   iti yathākālamupasaṃhārārthena śaraṇādīni sapta mārgajñatākāritrāṇi /	iti yaTAkAlam upasaMhAra arTena SaraNa AdIni sapta mArga jQa tA kAritrANi /
   sarvākārajñatayā sarvadharmadaiśikatvena sarvākārajñatāyā ekameva	sarva AkAra jQa tayA sarva Darma dESika tvena sarva AkAra jQa tAyAH ekam eva
   gatikāritram / kāritrākārairevaṃ yathāvad sarvajñatātrayasya prayogā	gati kAritram / kAritra AkArEH evam yaTAvat sarvajQa tA trayasya prayogA
   lakṣyanta iti kāritralakṣaṇam /	lakzyante iti kAritra lakzaNam /
   kāritralakṣaṇenāvacchinnānāṃ kaḥ svabhāva iti antaraślokatrayeṇa	kAritra lakzaNena avacCinnAnAm kaH svaBAvaH iti antaraSloka trayeNa
   svabhāvalakṣaṇamāha  	svaBAva lakzaNam Aha  
   kleśaliṅganimittānāṃ vipakṣapratipakṣayoḥ /	kleSa liFga nimittAnAm vipakza pratipakzayoH /
   viveko duṣkaraikāntāvuddeśo 'nupalambhakaḥ // Abhis_4.29 //	vivekaH duzkara ekAntO= uddeSaH anupalamBakaH // ABiH _4.29 //
   niṣiddhābhiniveśaśca yaścālambanasaṃjñakaḥ /	nizidDa aBiniveSaH ca yaH ca Alambana saMjQakaH /
   vipratyayo 'vighātī ca so 'padāgatyajātikaḥ // Abhis_4.30 //	vipratyayaH aviGAtI ca saH apadAgatyajAtikaH // ABiH _4.30 //
   tathatānupalambhaśca svabhāvaḥ ṣoḍaśātmakaḥ /	taTatA anupalamBaH ca svaBAvaH zoxaSa AtmakaH /
   lakṣīva lakṣyate ceti caturthaṃ lakṣaṇaṃ matam // Abhis_4.31 //	lakzI iva lakzyate ca iti caturTam lakzaNam matam // ABiH _4.31 //
   iti /	iti /
   rāgādikleśa talliṅgakāyadauṣṭhulya tannimittāyoniśomanasikārādirāgārāgādivipakṣapratipakṣāṇāṃ	rAga Adi kleSa  tad liFga kAya dOzWulya  tad nimitta ayaH ni SomanasikAra Adi rAga ArAga Adi vipakza pratipakzANAm
   śūnyatvena sarvajñatāvivekasvabhāvacatuṣṭayam /	SUnya tvena sarvajQa tA viveka svaBAva catuzwayam /
   paramārthāsatsattvaparinirvāṇaduṣkarakāraka anyayānāpātalakṣaṇaikāntika cirasādhyottamoddeśa bhāvyabhāvakadharmānupalambha samastabhāvābhiniveśaniṣedhā	parama arTa asat sattva parinirvANa duzkara kAraka  anya yAnApAta lakzaNa ekAntika cira sADya uttama uddeSa  BAvya BAvaka Darma anupalamBa  samasta BAvA
   ityete pañca mārgajñatāsvabhāvāḥ /	iti ete paQca mArga jQa tA svaBAvAH /
   sarvajñatāmārgajñatāsaṅgṛhītavastuviśeṣālambanam,	sarvajQa tA mArga jQa tA saFgRhIta vastu viSeza Alambanam,
   lokapratipattigrahaṇādiviparītanirdeśāt vipratyayaḥ, rūpādyavighātijñānam,	loka pratipatti grahaNa Adi viparIta nirdeSAt vipratyayaH, rUpa Adi aviGAti jQAnam,
   jñānajñeyānupalambhena apratiṣṭham, tathatayā agatiḥ,	jQAna jQeyAn upalamBena apratizWam, taTatayA agatiH,
   rūpādiniḥsvabhāvatvena ajātikaḥ, bhāvābhāvādisvabhāvatrayānupalambha iti	rUpa Adi niHsvaBAva tvena ajAtikaH, BAva aBAva Adi svaBAva traya anupalamBaH iti
   ete sarvākārajñatāyāḥ sapta svabhāvāḥ / ityevaṃ ṣoḍaśabhiḥ	ete sarva AkAra jQa tAyAH sapta svaBAvAH / iti evam zoxaSaBiH
   svabhāvairyathāvat trisarvajñatāprayogā lakṣīva lakṣyante iti caturthaṃ	svaBAvEH yaTAvat tri sarvajQa tA prayogAH lakzi iva lakzyante iti caturTam
   svabhāvalakṣaṇaṃ matam / ityevaṃ sāmānyena ekatra kṛtāni ekanavatiḥ	svaBAva lakzaNam matam / iti evam sAmAnyena ekatra kRtAni ekanavatiH
   lakṣaṇāni bhavanti /	lakzaNAni Bavanti /
   6   mokṣabhāgīyam	6  mokza BAgIyam
   yathoktaprayogaparijñānaṃ mokṣabhāgīyakuśalamūlavataḥ eva bhavatīti	yaTA ukta prayoga parijQAnam mokza BAgIya kuSala mUlavataH eva Bavati iti
   mokṣabhāgīyamāha  	mokza BAgIyam Aha  
   animittapradānādisamudāgamakauśalam /	animitta pradAna Adi samudAgama kOSalam /
   sarvākārāvabodhe 'smin mokṣabhāgīyamiṣyate // Abhis_4.32 //	sarva AkAra avaboDe asmin mokza BAgIyam izyate // ABiH _4.32 //
   iti / animittālambanajñānākāreṇa dānādipāramitā ārabhya	iti / animitta Alambana jQAna AkAreNa dAna Adi pAramitA AraBya
   sarvākārajñatāparyantaṃ svasantāne samudāgame kauśalamevāsmin	sarva AkAra jQa tA paryantam sva santAne samudAgame kOSalam eva asmin
   sarvākārābhisambodhe mokṣabhāgīyamiṣṭam /	sarva AkAra aBisamboDe mokza BAgIyam izwam /
   kiñca tatkauśalamiti taddarśanāyāntaraślokau āha  	kiQca tat kOSalam iti tad darSanAya antara SlokO Aha  
   buddhādyālambanā śraddhā vīryaṃ dānādigocaram /	budDa Adi AlambanA SradDA vIryam dAna Adi gocaram /
   smṛtirāśayasampattiḥ samādhiravikalpanā // Abhis_4.33 //	smRtiH ASaya sampattiH samADiH avikalpanA // ABiH _4.33 //
   dharmeṣu sarvairākārairjñānaṃ prajñeti pañcadhā /	Darmezu sarvEH AkArEH jQAnam prajQA iti paQcaDA /
   tīkṣṇaiḥ subodhā sambodhirdurbodhā mṛdubhirmatā // Abhis_4.34 //	tIkzNEH su boDA samboDiH durboDAH mRduBiH matA // ABiH _4.34 //
   iti / anindriyasvabhāvāḥ śraddhāvīryasmṛtisamādhiviśiṣṭaprajñāḥ	iti / anindriya svaBAvAH SradDA vIrya smRti samADi viSizwa prajQAH
   yathāsaṃkhyaṃ	yaTAsaMKyam
   buddha dāna āśayasampatti avikalpa sarvadharmasarvākāraparijñādiṣu	budDa dAna a ASaya sampatti  avikalpa  sarva Darma sarva AkAra parijQa Adizu
   pañcavidhaviṣayeṣu kauśalam / evamapi na sarvairanuttarā samyaksambodhiḥ	paQcaviDa vizayezu kOSalam / evam api na sarvEH anuttarA samyaksamboDiH
   prāpyā / dharmateyaṃ yato 'dhimātraiḥ śraddhādibhiḥ samyaksambodhiḥ	prApyAH / DarmatA iyam yatas aDimAtrEH SradDA AdiBiH samyaksamboDiH
   subodhā, mṛdubhistaireva durbodhetyarthādidamākṣiptam / madhyaiḥ	su boDA, mRduBiH tEH eva durboDa iti arTAt idam Akziptam / maDyEH
   pratyekabuddhabodhirmṛdubhiḥ śrāvakabodhiścādhigamyata iti //	pratyekabudDa boDiH mRduBiH SrAvaka boDiH ca aDigamyate iti //
   7   nirvedhabhāgīyam	7  nirveDa BAgIyam
   utpannamokṣabhāgīyasyotsāhino nirvedhabhāgīyamutpadyata ityāha  	utpanna mokza BAgIyasya utsAhinaH nirveDa BAgIyam utpadyate iti Aha  
   ālambanaṃ sarvasattvā ūṣmaṇāmiha śasyate /	Alambanam sarva sattvAH UzmaNAm iha Sasyate /
   samacittādirākārasteṣveva daśadhoditaḥ // Abhis_4.35 //	sama citta AdiH AkAraH tezu eva daSaDA uditaH // ABiH _4.35 //
   svayaṃ pāpānnivṛttasya dānādyeṣu sthitasya ca /	svayam pApAt nivRttasya dAna Adyezu sTitasya ca /
   tayorniyojanānyeṣāṃ varṇavādānukūlate // Abhis_4.36 //	tayoH niyojanAni ezAm varNa vAda anukUlate // ABiH _4.36 //
   mūrdhagaṃ svaparādhāraṃ satyajñānaṃ tathā kṣamā /	mUrDa gam sva para ADAram satya jQAnam taTA kzamA /
   tathāgradharmā vijñeyāḥ sattvānāṃ pācanādibhiḥ // Abhis_4.37 //	taTA agra DarmAH vijQeyAH sattvAnAm pAcana AdiBiH // ABiH _4.37 //
   iti / asyāṃ sarvākārābhisambodhau	iti / asyAm sarva AkAra aBisamboDO
   samamaitrahitāpratighāviheṭhanācittākāraiḥ	sama mEtra hita apratiGA viheWanA citta AkArEH
   pañcabhirmātāpitṛcittabhrātṛbhaginīcittaputraduhitṛcittamitrāmātyacittajñātisālohitacittākāraiḥ	paQcaBiH mAtA pitR citta BrAtR BaginI citta putra duhitR citta mitra amAtya citta jQAti sAlaH hita citta AkArEH
   ānyaiḥ pañcabhiḥ sattvālambane ūṣmagatimiṣyate /	AnyEH paQcaBiH sattva Alambane Uzma gatim izyate /
   saṃkṣepato 'kuśalakuśalayoryathāsaṃkhyaṃ hānopādānābhyāṃ svayaṃ nivṛttasya	saMkzepataH akuSala kuSalayoH yaTA saMKyam hAna upAdAnAByAm svayam nivRttasya
   pravṛttasya ca, taddvārā anyeṣāṃ pāpānnivartanaṃ kuśale ca pravartanamiti	pravRttasya ca, tad dvArAH anyezAm pApAt nivartanam kuSale ca pravartanam iti
   dvāvākārau / tathaiva anyeṣāṃ svayampravṛttau varṇavādo 'nukūlatā ceti	dvO= AkArO / taTA eva anyezAm svayampravRttO varNa vAdaH anukUla tA ca iti
   dharmaprabhedadvaividhyena hi anantākārā iti sattvālambane mūrdhagato	Darma praBeda dvEviDyena hi ananta AkArAH iti sattva Alambane mUrDa gataH 
   bhavati /	Bavati /
   yathā mūrdhagate svaparādhiṣṭhānabhedena ālambanākārāḥ, tathā	yaTA mUrDa gate sva para aDizWAna Bedena Alambana AkArAH, taTA
   niyojanavarṇavādānukūlatādyākāraiḥ	niyojana varNa vAda anukUla tA Adi a AkArEH
   svaparādhiṣṭhānaduḥkhādisatyeṣvālambanameva kṣāntirbhavati /	sva para aDizWAna duHKa Adi satyezu Alambanam eva kzAntiH Bavati /
   pūrvavat svaparādhiṣṭhānapācanamocanādyākāraiḥ sattvālambanameva	pUrvavat sva para aDizWAna pAcana mocana Adi AkArEH sattva Alambanam eva
   agradharmā bhavantītyevaṃ nirvedhabhāgīyā bhavanti /	agra DarmAH Bavanti iti evam nirveDa BAgIyAH Bavanti /
   sarvākāramārgavastuvibhāvanābhedena yathākramaṃ sarvākārajñatāditrividhe	sarva AkAra mArga vastu viBAvanA Bedena yaTAkramam sarva AkAra jQa tA Adi triviDe
