   // śrīḥ //	// SrIH //
   // Āryamañjuśrīmūlakalpam /	// Ārya maQju SrI mUla kalpam /
   mahodadhitaṭe ramye medhyasthaṇḍilyamāśrite // Mmk_43.23 //	mahodaDi tawe ramye meDya sTaNxilyam ASrite // Mmc _43.23 //
   sarit kūpe puline vā devamandiraśobhane /	sarit kUpe puline vA deva mandira SoBane /
   mārārerbhavane cāpi vihārāvasatha mandire // Mmk_43.24 //	mAra areH Bavane ca api vihAra AvasaTa mandire // Mmc _43.24 //
   vijane siktasaṃsṛṣṭe puṣpaprakarabhūṣite /	vijane sikta saMsRzwe puzpa prakara BUzite /
   sugandhagandhodakāsikte sudhūpe dhūpadhūpite // Mmk_43.25 //	suganDa ganDa udaka Asikte su DUpe DUpa DUpite // Mmc _43.25 //
   prāṅmukhaḥ udaṅmukho vāpi śāntikapauṣṭikayoścāpi /	prAc muKaH udak muKaH vA api SAntika pOzwikayoH ca api /
   dakṣiṇe raudrakarmārthe taṃ jinairvarjitaṃ sadā // Mmk_43.26 //	dakziNe rOdra karma arTe tam jinEH varjitam sadA // Mmc _43.26 //
   śrīsaubhāgyavaśyārthamājaścāhetutaḥ sadā /	SrI sOBAgya vaSya arTam AjaH ca ahetutas sadA /
   paścānmukhaṃ tu badhnīyānmahāmudrabaraṃ param // Mmk_43.27 //	paScAt muKam tu baDnIyAt mahAmudra baram param // Mmc _43.27 //
   uccadṛṣṭi yadā buddhe uttiṣṭhaṃ dehasiddhaye /	ucca dRzwi yadA budDe uttizWam deha sidDaye /
   adhaḥ pātālaṃ gacchedasureśvaratāṃ vratī // Mmk_43.28 //	aDas pAtAlam gacCet asureSvara tAm vratI // Mmc _43.28 //
   (Vaidya 371)	(VEdyaH 371)
   śucidehasamācāraḥ śucimantrasamantravit /	Suci deha samAcAraH Suci mantra sa mantra vid /
   tadā mudravaraṃ yuñjya snātopaspṛśya japtadhīḥ // Mmk_43.29 //	tadA mudra varam yuQjya snAta upaspRSya japta DIH // Mmc _43.29 //
   ubhau ca hastau prakṣālyau mṛdgomayasugandhinam /	uBO ca hastO prakzAlyO mRd gomaya suganDinam /
   śucitoya sadā śuddhe kṛmijantuvivarjite // Mmk_43.30 //	Suci toya sadA SudDe kRmi jantu vivarjite // Mmc _43.30 //
   navārisrute śuce śauce ubhe haste 'tha pūjite /	navAri srute Suce SOce uBe haste aTa pUjite /
   sayojyetha muṣṭisthau sampuṭākāraceṣṭitau // Mmk_43.31 //	sa yojyeTa muzwi sTO sampuwa AkAra cezwitO // Mmc _43.31 //
   īṣicchuṣirau samantāt ṣaḍaṅgulau ucchritau /	Izit SuzirO samantAt zaz aFgulO ucCritO /
   ubhayāṅguṣṭhamadhyasthau kanyaṣṭhāṅlināmitau // Mmk_43.32 //	uBaya aFguzWa maDya sTO kanyazWA aFlinAmitO // Mmc _43.32 //
   kṛtvātha hṛdayoddeśe śuklavastrāvaguṇṭhite /	kRtvA aTa hRdaya uddeSe Sukla vastra avaguNWite /
   darśayet sarvakarmeṣuṃ sādhane + + + + + // Mmk_43.33 //	darSayet sarva karma izum sADane + + + + + // Mmc _43.33 //
   sarvabhūte vai kṣipraṃ kṛṣṭamātreṇa īpsitam /	sarva BUte vE kzipram kRzwa mAtreNa Ipsitam /
   eṣa mañjuravo mudraḥ sarvakarmārthasādhaka iti // Mmk_43.34 //	eza maQjuravaH mudraH sarva karma arTa sADakaH iti // Mmc _43.34 //
   bodhisattvapiṭakāvataṃsakānmahāyānavaipulyasūtrād āryamañjuśriyamūlakalpāt	boDisattva piwaka avataMsakAn mahAyAna vEpulya sUtrAt Arya maQju Sriya mUla kalpAt 
   ekacatvāriṃśattamaḥ paṭalavisarad dvitīyaḥ sarvakarmottamasādhanopayikaḥ	ekacatvAriMSattamaH pawala visarat dvitIyaH sarva karma uttama sADana upayikaH
   mahāmudrapaṭalavisaraḥ parisamāpta iti //	mahAmudra pawala visaraH parisamAptaH iti //
   (Vaidya 372)	(VEdyaH 372)
   Atha catuścatvāriṃśaḥ paṭalavisaraḥ /	ATa catuScatvAriMSaH pawala visaraH /
   atha khalu bhagavāṃ śākyamuniḥ punarapi śuddhāvāsabhavanamavalokya	aTa Kalu BagavAm SAkya muniH punar api SudDAvAsa Bavanam avalokya
   sarvatathāgatadharmavarotvacintyaguṇavyūhālaṅkārabhūtakoṭiniṣṭhāsaṅkhyeyajinamudrāmudritaṃ	sarva taTAgata Darma vara utu acintya guNa vyUha alaFkAra BUta kowi nizWA saFKyeya jina mudrA mudritam
   sarvasattvacihnabhūtaṃ mudrāpaṭalaparamaguhyatamaṃ	sarva sattva cihna BUtam mudrA pawala parama guhyatamam
   sarvalaukikalokottaraśreyasamantratantrakalpavikalpitaṃ sarvasattvaiḥ	sarva lOkika loka uttara Sreyasa mantra tantra kalpa vikalpitam sarva sattvEH
   paramārthadarśanapathapravṛttibhūtaṃ	parama arTa darSana paTa pravRtti BUtam
   sarvamantrasarvasaṃjñāsādhāraṇabhūtamihaiva janmani sarvasattvānāṃ	sarva mantra sarva saMjQA sADAraNa BUtam iha eva janmani sarva sattvAnAm
   sarvāśāpāripūrakaṃ	sarva ASApAripUrakam
   sarvabuddhabodhisattvānāmārādhanaparasukhahetukabodhisambhāraparipūraṇanimittam	sarva budDa boDisattvAnAm ArADana para suKa hetuka boDi samBAra paripUraNa nimittam
   āhvānanavisarjanagandhapuṣpadhūpasarvamālyopahārāvidyāvidyāveśanadarśanasarvakāryārthasādhanasarvadevanāgayakṣagandharvāsuragaruḍakinnaramahoragayakṣarākṣasapiśācakūṣmāṇḍaraudrasaumyabhāvadamakādhyakṣabhūtādhipatisarvakāryasandarśanajvalanākāśagamanāntarddhānavaśīkaraṇabodhisambhāranimittāścaryādbhutaṃ	Ahva Anana visarjana ganDa puzpa DUpa sarva mAlya upahAra avidyA avidyA veSana darSana sarva kArya arTa sADana sarva deva nAga yakza ganDarva asura garuxaki
   sarvamantratantrārtthānunītaṃ sarvavidyārājanamaskṛtaṃ sarvavidyāsādhakaṃ	sarva mantra tantra ArtTa anunItam sarva vidyA rAja namaskRtam sarva vidyA sADakam
   sarvabuddhamātrāmantritaṃ yathepsitārtthasattvamanorathāparipūrakaṃ	sarva budDa mAtrA mantritam yaTA Ipsita ArtTa sattva manoraTa aparipUrakam
   sarvāsāṃ sarvamantrāṇāṃ dṛṣṭadhārmikahetuniṣpādakaṃ saṃkṣepato yathā yathā	sarvAsAm sarva mantrANAm dRzwa DArmika hetu nizpAdakam saMkzepataH yaTA yaTA
   yujyate, yathā yathā sādhyate tathā tathā sādhayate / eṣā mañjuśrīḥ	yujyate, yaTA yaTA sADyate taTA taTA sADayate / ezA maQjuSrIH
   paramārtthapaṭalasarvabuddhānāṃ paramārtthaguhyatamaṃ bhāṣiṣye / pūrvaṃ	parama ArtTa pawala sarva budDAnAm parama ArtTa guhyatamam BAzizye / pUrvam
   bhāṣitavāṃ sarvabuddhaiḥ bhāṣiṣyante 'nāgatā buddhā bhagavantaḥ /	BAzitavAm sarva budDEH BAzizyante anAgatAH budDAH BagavantaH /
   etarhyahaṃ bhāṣiṣye, tacchrūyatāṃ mahāsattva bhāṣiṣye / tacchrūyatāṃ	etarhi aham BAzizye, tat SrUyatAm mahA sattva BAzizye / tat SrUyatAm
   mahāsattva bhāṣiṣye / sādhu ca suṣṭhu ca manasi kuru mañjurava	mahA sattva BAzizye / sADu ca suzWu ca manasi kuru maQjurava
   manojñapratibhānavāṃ vakṣye 'haṃ vakṣye 'hamiti //	manojQa pratiBAnavAm vakzye aham vakzye aham iti //
   śākyasiṃha naraśreṣṭho sambuddho ṛṣisattamaḥ /	SAkya siMha nara SrezWaH sambudDaH Rzi sattamaH /
   sattvamartthamabhijñāya paramārtthārtthadarśanam // Mmk_44.1 //	sattvam artTam aBijQAya paramArtTa ArtTa darSanam // Mmc _44.1 //
   guhyamātrārtthamudrā vai bhāṣase munipuṅgava /	guhya mAtra ArtTa mudrA vE BAzase muni puFgava /
   śuddhāvāsapure ramye śuddhasattvasamāśrite // Mmk_44.2 //	SudDAvAsa pure ramye SudDa sattva samASrite // Mmc _44.2 //
   samāparṣadvare śreṣṭhe vītarāgālaye tadā /	samAparzat vare SrezWe vIta rAga Alaye tadA /
   bhāṣite kalparāje tu mañjubhāgītatattvite // Mmk_44.3 //	BAzite kalparAje tu maQjuBAgIta tattvite // Mmc _44.3 //
   buddhaputraistadāmātyaiḥ paramārtthavidairvidaiḥ /	budDa putrEH tadA amAtyEH parama ARtTa vidEH vidEH /
   śākyasiṃhastadā āha śṛṇudhvaṃ parṣat kathe // Mmk_44.4 //	SAkya siMhaH tadA Aha SRNuDvam parzad kaTe // Mmc _44.4 //
   buddhaputrastathā jyeṣṭha mahāyānāgradharmiṇaḥ /	budDa putraH taTA jyezWa mahAyAna agra DarmiNaH /
   nāmnā samantabhadro vai ityuvāca girāṃ varām // Mmk_44.5 //	nAmnA samantaBadraH vE iti uvAca girAm varAm // Mmc _44.5 //
   bālarūpī mahārūpī kumārastvaṃ varṇyase jinaiḥ /	bAla rUpI mahA rUpI kumAraH tvam varNyase jinEH /
   śākyasya kulajo dakṣaḥ śrīmāṃ buddho nirīkṣyate // Mmk_44.6 //	SAkyasya kula jaH dakzaH SrImAm budDaH nirIkzyate // Mmc _44.6 //
   tvaṃ hi viśvamahāprājño lokānugrahakāmyayā /	tvam hi viSva mahA prAjQaH loka anugraha kAmyayA /
   tvadīyaṃ kalpavisaraṃ mudrāmudritaṃ tvidam // Mmk_44.7 //	tvadIyam kalpa visaram mudrA mudritam tu idam // Mmc _44.7 //
   adhyeṣaya mahāvīraṃ buddhaputra maharddhika /	aDyezaya mahA vIram budDa putra mahardDika /
   sārabhūtaṃ kalpasyāsya ... maharddhikam // Mmk_44.8 //	sAra BUtam kalpasya asya ... mahardDikam // Mmc _44.8 //
   (Vaidya 373)	(VEdyaH 373)
   evamuktastu vīreṇa buddhaputreṇa dhīmatā /	evam uktaH tu vIreNa budDa putreNa DImatA /
   mañjumāṃ tvarito jāta bālakrīḍābhinirmita // Mmk_44.9 //	maQjumAm tvaritaH jAta bAla krIxA aBinirmitaH // Mmc _44.9 //
   praṇamya sugataṃ nāthaṃ jagadekāntacakṣuṣam /	praNamya sugatam nATam jagat ekAnta cakzuzam /
   uvāca madhurāṃ vāṇīṃ karuṇārdramreḍitena tu // Mmk_44.10 //	uvAca maDurAm vANIm karuNA Ardramrexitena tu // Mmc _44.10 //
   kathayeyu bhagavāṃ buddhaḥ prajñābalatattvavit /	kaTayeyu BagavAm budDaH prajQA bala tattva vid /
   kathaṃ tu sarvamantrā vai siddhyanti japināṃ dhruvam // Mmk_44.11 //	kaTam tu sarva mantrAH vE sidDyanti japinAm Druvam // Mmc _44.11 //
   kathaṃ vai hyavikalpena amoghān gacchanti prāṇinām /	kaTam vE hi avikalpena amoGAn gacCanti prANinAm /
   siddhyeyuḥ kṣiptajaptābhiḥ sarvārttheṣu na yojitā // Mmk_44.12 //	sidDyeyuH kzipta japtABiH sarva ArtTezu na yojitA // Mmc _44.12 //
   ā bhavāgrācca saṃsārādā vīcyāntāśca nārakāḥ /	A Bava agrAt ca saMsAra AdAH vIcya antAH ca nArakAH /
   eteṣvāśritā ye ca prāṇinordhatridhātukā // Mmk_44.13 //	etezu ASritAH ye ca prANinA UrDa tri DAtukAH // Mmk _44.13 //
   āhūyante nigṛhyante āveśyante ca paśyatām /	AhUyante nigRhyante AveSyante ca paSyatAm /
   sarvakarmārtthayukte ca tuṣṭipuṣṭyarthakāraṇaiḥ // Mmk_44.14 //	sarva karma ArtTa yukte ca tuzwi puzwi arTa kAraNEH // Mmc _44.14 //
   daśabhūmyāśritā ye ca saugate vartmani sthitā /	daSa BUmi ASritAH ye ca sOgate vartmani sTitA /
   bodhisattvā vibuddhāśca pratyekāṃ vā bodhimāśritāḥ // Mmk_44.15 //	boDisattvAH vibudDAH ca pratyekAm vA boDim ASritAH // Mmc _44.15 //
   vītarāga mahātmana āhūyante supūjitā /	vIta rAga mahAtmanaH AhUyante su pUjitA /
   samayairmantribhiryuktā imairmudraiḥ samudritā // Mmk_44.16 //	samayEH mantriBiH yuktAH imEH mudrEH samudritAH // Mmc _44.16 //
   kathayanti yathābhūtaṃ svatantrā cāpi darśinam /	kaTayanti yaTABUtam svatantrA ca api darSinam /
   pūrvavṛttamavṛttaṃ vā vartamāne ca yoginaḥ // Mmk_44.17 //	pUrva vRttam avRttam vA vartamAne ca yoginaH // Mmc _44.17 //
   svargalokakathācintyā paradehāśritāpi vā /	svarga loka kaTA acintyA para deha ASritA api vA /
   anāgataṃ ca yathātatthyaṃ nidarśanaṃ cāpi varṇitam // Mmk_44.18 //	anAgatam ca yaTAtatTyam nidarSanam ca api varNitam // Mmc _44.18 //
   kathayanti yathānyāyaṃ mantramudrasamīritā /	kaTayanti yaTAnyAyam mantra mudra samIritAH /
   siddhiṃ cāpi tathā kṣipraṃ dadyānmudraiśca pūjitāḥ // Mmk_44.19 //	sidDim ca api taTA kzipram dadyAt mudrEH ca pUjitAH // Mmc _44.19 //
   mantrijñaiḥ mantribhiryuktaḥ balihomasupūjitāḥ /	mantri jQEH mantriBiH yuktaH balihoma su pUjitAH /
   kuryāt kṣiprataraṃ siddhiṃ buddhā buddhasutāstathā // Mmk_44.20 //	kuryAt kziprataram sidDim budDAH budDa sutAH taTA // Mmc _44.20 //
   arhanto 'pi mahātmānaḥ khaḍgiṇaḥ siddhidā sadā /	arhantaH api mahAtmAnaH KaxgiNaH sidDi dA sadA /
   laukikā ye ca mantrā vai tathā lokottarā pare // Mmk_44.21 //	lOkikAH ye ca mantrAH vE taTA lokottarA pare // Mmc _44.21 //
   ye ca siddhāstathā yakṣā gandharvā matha kinnarā /	ye ca sidDAH taTA yakzAH ganDarvAH maTa kinnarAH /
   asurā surā sadā sattvā sarvasattvā tridhā sthitā // Mmk_44.22 //	asurA surA sadA sattvA sarva sattvA triDA sTitAH // Mmk _44.22 //
   aparyanteṣu dikṣveṣu lokadhātvantareṣu ca /	aparyantezu dikzu ezu lokaDAtu antarezu ca /
   gatipañcasu ye sattvā yuktāyuktāśca sarvadā // Mmk_44.23 //	gati paQcasu ye sattvAH yukta ayuktAH ca sarvadA // Mmc _44.23 //
   siddhiṃ gaccheyu tat kṣipraṃ imairmudraiḥ sumudritā /	sidDim gacCeyu tat kzipram imEH mudrEH su mudritAH /
   eṣa vikhyātaḥ sugatairmantrajñaistu munibhiḥ vimalam // Mmk_44.24 //	eza viKyAtaH sugatEH mantra jQEH tu muniBiH vimalam // Mmc _44.24 //
   (Vaidya 374)	(VEdyaH 374)
   viṭakaṃ vidhivad jñeyaṃ visaraṃ paṭalottamam /	viwakam viDivat jQeyam visaram pawala uttamam /
   sarvabuddhaistathā loke śreyasārthamudāhṛtā // Mmk_44.25 //	sarva budDEH taTA loke Sreyasa arTam udAhRtA // Mmk _44.25 //
   mudrā pañcaśikhetyāhuḥ sarvabuddhaiḥ prakāśitā /	mudrA paQcaSiKA iti AhuH sarva budDEH prakASitA /
   śreyasārthaṃ hi bhūtānāṃ mañjughoṣasya dhīmate // Mmk_44.26 //	Sreyasa arTam hi BUtAnAm maQjuGozasya DImate // Mmc _44.26 //
   sarvataḥ śirajā jñeyā mūrdhnajāstu tathāgatām /	sarvatas Sira jAH jQeyAH mUrDnajAH tu taTAgatAm /
   sā tu sarvārthadā jñeyā dharmakośaprapūraṇī // Mmk_44.27 //	sA tu sarva arTa dA jQeyA Darma koSa prapUraNI // Mmc _44.27 //
   pūraṇārthaṃ tu mantrāṇāṃ mudrāṇāṃ ca maharddhikam /	pUraNa arTam tu mantrANAm mudrANAm ca mahardDikam /
   sarveṣāṃ lokottarāṃ śreṣṭhāṃ laukikānāṃ ca sarvadā // Mmk_44.28 //	sarvezAm lokottarAm SrezWAm lOkikAnAm ca sarvadA // Mmc _44.28 //
   mañjughoṣasya tantre tu agrā hyagratamā matā /	maQjuGozasya tantre tu agrA hi agratamA matA /
   prabhāvataḥ sarvakarmāṇi kṣipraṃ kuryārthanāmataḥ // Mmk_44.29 //	praBAvataH sarva karmANi kzipram kurya arTa nAmataH // Mmc _44.29 //
   śucirbhūtvā śucau deśe badhnīyānmudravaraṃ prabhum /	SuciH BUtvA SucO deSe baDnIyAt mudra varam praBum /
   ādau hastau tha kṛtvā vai suṣirākārasampuṭau // Mmk_44.30 //	AdO hastO Ta kRtvA vE suzira AkAra sampuwO // Mmc _44.30 //
   ākośaviralāṅguṣṭhau nyastāṅguṣṭhau tha sūcitau /	AkoSa virala aFguzWO nyasta aFguzWO Ta sUcitO /
   pañcasūcikavinyastau mudrā pañcaśikhā bhavet // Mmk_44.31 //	paQca sUcika vinyastO mudrA paQcaSiKA Bavet // Mmc _44.31 //
   śiraḥsthāne sadā nyastā ekasūcyātha aṅgulaiḥ /	SiraH sTAne sadA nyastAH eka sUcyA aTa aFgulEH /
   mudrā evacīrā tu mūrdhni sthāneṣu yojitā // Mmk_44.32 //	mudrA eva cIrA tu mUrDni sTAnezu yojitA // Mmc _44.32 //
   kanyasāṅgulivinyastā suśliṣṭā madhyamau tathā /	kanyasA aFguli vinyastA su SlizwA maDyamO taTA /
   ...... aṅguṣṭhau sūcitau ubhau // Mmk_44.33 //	...... aFguzWO sUcitO uBO // Mmc _44.33 //
   trisūcyākārasamāyogāt tṛśikhā mudramudāhṛtā /	trisUcI A AkAra samAyogAt tRSiKA mudram udAhRtA /
   sarvairaṅgulibhiryuktaiḥ ākośā suṣirasambhavaiḥ /	sarvEH aFguliBiH yuktEH AkoSA suzira samBavEH /
   śiraḥsthāne sadā nyastā mudrā śiravarā bhavet // Mmk_44.34 //	SiraH sTAne sadA nyastA mudrA Sira varA Bavet // Mmc _44.34 //
   sa eva ucchritāṅgulyau īṣit saṅkucitāgrakau /	saH eva ucCrita aFgulyO Izit saFkucita agrakO /
   mahāvīrā tu sā jñeyā mahāmudrā maharddhikā // Mmk_44.35 //	mahAvIrA tu sA jQeyA mahAmudrA mahardDikA // Mmc _44.35 //
   ete pañca mahāmudrā pūrvaṃ jinavaraistadā /	ete paQca mahAmudrA pUrvam jina varEH tadA /
   nirdiṣṭā sarvamudrāṇāṃ kathayanti manīṣiṇau // Mmk_44.36 //	nirdizwA sarva mudrANAm kaTayanti manIziNO // Mmc _44.36 //
   jyeṣṭhā mudramukhyanāṃ + + + + + + mudritām /	jyezWA mudra muKyanAm + + + + + + mudritAm /
   lokottarāṃ tu sarvā vai laukikānāṃ ca sarvataḥ // Mmk_44.37 //	lokottarAm tu sarvAH vE lOkikAnAm ca sarvatas // Mmc _44.37 //
   etā pañca mahāmudrāḥ prayogā siddhihetavaḥ /	etAH paQca mahAmudrAH prayogA sidDi hetavaH /
   susiddhā siddhatamā hyetā agrā jyeṣṭhāśca bhāṣitā /	su sidDA sidDatamAH hi etAH agrAH jyezWAH ca BAzitA /
   mañjughoṣasya mūrdhajā prabhāvātyadbhutaceṣṭitā // Mmk_44.38 //	maQjuGozasya mUrDajA praBAva ati adButa cezwitAH // Mmk _44.38 //
   yāvanti saugatā mudrā sarveṣāṃ siddhihetavaḥ /	yAvanti sOgatAH mudrA sarvezAm sidDi hetavaH /
   mudrā mudreti vikhyātā śrīmantaṃ kisalayodbhavam // Mmk_44.39 //	mudrA mudrA iti viKyAtA SrImantam kisalaya udBavam // Mmc _44.39 //
   (Vaidya 375)	(VEdyaH 375)
   mañjughoṣasya mūrdhajaṃ mahāpuṇyatamaṃ śivam /	maQjuGozasya mUrDajam mahA puNyatamam Sivam /
   yaṃ badhvā mahāsattvā niyataṃ bodhimavāpnuyāt // Mmk_44.40 //	yam baDvA mahAsattvAH niyatam boDim avApnuyAt // Mmc _44.40 //
   mahāmukhyāvataṃsaṃ taṃ śrāddham avikalendriyam /	mahAmuKya avataMsam tam SrAdDam avikala indriyam /
   sadā yajñaṃ prājñayuktaṃ ca vidhivat karmamācaret // Mmk_44.41 //	sadA yajQam prAjQa yuktam ca viDivat karmam Acaret // Mmc _44.41 //
   tādṛśena tu yuktena sattvenaiva suyojitā /	tAdRSena tu yuktena sattvena eva suyojitA /
   mudreyaṃ kurute hyarthāṃ yatheṣṭā cāpi puṣkalām // Mmk_44.42 //	mudrA iyam kurute hi arTAm yaTezwA ca api puzkalAm // Mmc _44.42 //
   upadeśāttu vidvāṃsaḥ matimanto 'rthasādhakāḥ /	upadeSAt tu vidvAMsaH matimantaH arTa sADakAH /
   ācāryasammatā loke śiṣyā grāhyāstu sarvadā // Mmk_44.43 //	AcArya sammatAH loke SizyAH grAhyAH tu sarvadA // Mmc _44.43 //
   vidhivat karmadṛṣṭena puruṣeṇeha bhaktitaḥ /	viDivat karma dRzwena puruzeNa iha BaktitaH /
   mahāyānagatairnityaṃ mudreyaṃ samprayujyate // Mmk_44.44 //	mahAyAna gatEH nityam mudrA iyam samprayujyate // Mmc _44.44 //
   sarveṣāṃ tu mudrāṇāṃ tridhā mantreṣu yojitām /	sarvezAm tu mudrANAm triDA mantrezu yojitAm /
   agrā hyagratamā loke ete mudrā prabhāvataḥ // Mmk_44.45 //	agrA hi agratamA loke ete mudrA praBAvataH // Mmc _44.45 //
   siddhyartthaṃ siddhikāmānāṃ tathā mantraiḥ suyojitām /	sidDi artTam sidDi kAmAnAm taTA mantrEH suyojitAm /
   kṣipramarthakarā hyete sarvasaukhyaphalapradāḥ // Mmk_44.46 //	kzipram arTa karAH hi ete sarva sOKya Pala pradAH // Mmc _44.46 //
   mañjughoṣaḥ svayaṃ tiṣṭhenmudrairetaiḥ samāhita /	maQjuGozaH svayam tizWet mudrEH etEH samAhita /
   yasmiṃ sthāne tu vaścaitāḥ svayaṃ mañjuravaḥ sadā // Mmk_44.47 //	yasmim sTAne tu vaH ca etAH svayam maQjuravaH sadA // Mmc _44.47 //
   rakṣā hyagrāṃ prakalpīta jinaputro maharddhikaḥ /	rakzA hi agrAm prakalpIta jinaputraH mahardDikaH /
   bālarūpī mahātmā vai viścarūpī maharddhikaḥ // Mmk_44.48 //	bAla rUpI mahAtmA vE viSca rUpI mahardDikaH // Mmc _44.48 //
   bahurūpī ca sattvānāṃ mudrārūpī tha dehinām /	bahu rUpI ca sattvAnAm mudrA rUpI Ta dehinAm /
   bāliśānāṃ tu sattvānāṃ saṃsārārṇavacāriṇām // Mmk_44.49 //	bAliSAnAm tu sattvAnAm saMsAra arNava cAriNAm // Mmc _44.49 //
   teṣāmarthakaraḥ kṣipraṃ mudrārūpeṇa tiṣṭhate /	tezAm arTa karaH kzipram mudrA rUpeNa tizWate /
   mañjughoṣasya śirajāḥ sarvamūrdhni pratiṣṭhitā // Mmk_44.50 //	maQjuGozasya SirajAH sarva mUrDni pratizWitA // Mmk _44.50 //
   sarvārthasampadā hyete japtamātraistu yojitā /	sarva arTa sampadA hi ete japta mAtrEH tu yojitA /
   mūlamantreṇa saṃyuktā hṛdayasyānugatena vā // Mmk_44.51 //	mUlamantreNa saMyuktAH hRdayasya anugatena vA // Mmc _44.51 //
   sarve saugatibhiśca mantraibhiśca suyojitā /	sarve sOgatiBiH ca mantra eBiH ca suyojitA /
   ye tu abjakule mantrā vajriṇe cāpi kapardine // Mmk_44.52 //	ye tu abja kule mantrAH vajriNe ca api kapardine // Mmc _44.52 //
   sarvaiśca laukikaiścāpi mudrairyuktārthaphalapradā /	sarvEH ca lOkikEH ca api mudrEH yukta arTa Pala pradA /
   ete pañca mahāmudrā mantrayuktārthaphalapradā // Mmk_44.53 //	ete paQca mahAmudrA mantra yukta arTa Pala pradA // Mmc _44.53 //
   vikalpyā mantragatāṃ tyajya mudrairvātha phalapradā /	vikalpyAH mantra gatAm tyajya mudrEH vA aTa Pala pradA /
   mahārakṣā mahāpuṇyā baddhamātreṇa dehinām // Mmk_44.54 //	mahArakzAH mahA puNyAH badDa mAtreNa dehinAm // Mmk _44.54 //
   smaritaihyebhirmahāmudrairmahārakṣā vidhīyate /	smarita Ehi eBiH mahAmudrEH mahArakzA viDIyate /
   kaḥ punarjaptamātraistu mantramudrāsamāśritaiḥ // Mmk_44.55 //	kaH punar japta mAtrEH tu mantra mudrA samASritEH // Mmc _44.55 //
   (Vaidya 376)	(VEdyaH 376)
   yāvad vā jāpinaḥ sarve niyataṃ bodhimāpnuyāt /	yAvat vA jApinaH sarve niyatam boDim ApnuyAt /
   apare tu mahāmudrāḥ śūlapaṭṭiśasambhavāḥ // Mmk_44.56 //	apare tu mahAmudrAH SUla pawwiSa samBavAH // Mmc _44.56 //
   mahāśūlo 'tha mudrāṇāṃ ghoradāruṇamucyate /	mahA SUlaH aTa mudrANAm Gora dAruNam ucyate /
   krodharājena mukhyena yamānteneha yojitā // Mmk_44.57 //	kroDa rAjena muKyena yama antena iha yojitA // Mmc _44.57 //
   karoti vividhāṃ karmāṃ dāruṇāṃ prāṇarodhinām /	karoti viviDAm karmAm dAruNAm prANa roDinAm /
   mahābhayapradāṃ mudrāṃ vipasyasyāpi mahātmane // Mmk_44.58 //	mahA Baya pradAm mudrAm vipasyasya api mahAtmane // Mmc _44.58 //
   duṣṭasattvāṃ vināśāya sṛṣṭāstṛbhavālaye /	duzwa sattvAm vinASAya sRzwAH tRBava Alaye /
   taireva yojitā mantrā vividhāṃ mudramāśṛtā // Mmk_44.59 //	tEH eva yojitAH mantrAH viviDAm mudram ASRtA // Mmk _44.59 //
   teṣāṃ vināśanāyaiva sṛṣṭā jinavaraiḥ sadā /	tezAm vinASanAya eva sRzwAH jina varEH sadA /
   mantracaryārtthayuktāyāḥ śāsanārthāya kalpitā // Mmk_44.60 //	mantra caryA ArtTa yuktAyAH SAsana arTAya kalpitAH // Mmk _44.60 //
   vihitā lokanāthaistu mudrā tantrārtthadarśanā /	vihitA lokanATEH tu mudrA tantra ArtTa darSanAH /
   duṣṭasattvaprayuktānāṃ garakilbiṣarogadām // Mmk_44.61 //	duzwa sattva prayuktAnAm gara kilbiza roga dAm // Mmc _44.61 //
   teṣāṃ nirnāśanārthaiva uktāṃ sarvāthakarmikām /	tezAm nirnASana arTA eva uktAm sarvATa karmikAm /
   yamaśāsananāśāya mṛtyupāśāya mokṣaṇāḥ // Mmk_44.62 //	yama SAsana nASAya mRtyu pASAya mokzaNAH // Mmc _44.62 //
   nityaṃ prāṇaharā mudrā prayuktā mantrayojitā /	nityam prANa harA mudrA prayuktA mantra yojitAH /
   yamadūtaharā puṇyā mṛtyurnāśanī smṛtā // Mmk_44.63 //	yama dUta harA puNyA mRtyuH nASanI smRtA // Mmk _44.63 //
   yamaśāsananītāmānetā prāṇadā smṛtā /	yama SAsana nItAmA anetA prANa dA smRtA /
   sarvaroganivāśārthaṃ yamasyāpi bhayapradā // Mmk_44.64 //	sarva roga nivASa arTam yamasya api Baya pradA // Mmc _44.64 //
   munimukhyaistathā yuktā prāṇasandhāraṇī hitā /	muni muKyEH taTA yuktA prANa sanDAraNI hitAH /
   śāsane 'smin prasannānāṃ hitā rakṣā vidhīyate // Mmk_44.65 //	SAsane asmin prasannAnAm hitA rakzA viDIyate // Mmc _44.65 //
   saphalā nāśanī duṣṭāṃ gītā mañjurave hitā /	saPalA nASanI duzwAm gItAH maQjurave hitAH /
   sarvārthaprāpaṇī devī mahāmudrā pragīyate // Mmk_44.66 //	sarva arTa prApaNI devI mahAmudrA pragIyate // Mmc _44.66 //
   mahāpraharaṇe tvāhuḥ aparā mudraparāvarā /	mahA praharaNe tu AhuH aparA mudra parAvarAH /
   tathaiva hastau saṃnyasya tarjanyau pāśasambhavau // Mmk_44.67 //	taTA eva hastO saMnyasya tarjanyO pASa samBavO // Mmc _44.67 //
   kanyasau sūcayennityaṃ muṣṭiyogena yojitau /	kanyasO sUcayet nityam muzwi yogena yojitO /
