   Sarva Tathāgata Tattva Saṅgrah	Sarva TaTAgataH Tattva SaFgrah
   svahṛdayādutpādya, sarvalokadhātuṣu	sva hRdayAt utpAdya, sarva loka DAtuzu
   sarvatathāgatākarṣaṇavaśīkaraṇānurāgaṇasarvakarmasiddhikāryakaraṇatāsanniyojanādīni	sarva taTAgata AkarzaNa vaSIkaraNa anurAgaNa sarva karma sidDi kArya karaNa tA sanniyojana AdIni
   sarvatathāgatarddhivikurvitāni kṛtvā, punarapi bhagavato vairocanasya	sarva taTAgata RdDi vikurvitAni kRtvA, punar api BagavataH vErocanasya
   vajradhātumahāmaṇḍalayogena caṇdramaṇḍalānyāśrityāvasthitā iti /	vajra DAtu mahA maNxala yogena caNdra maNxalAni ASritya avasTitAH iti /
   Delineation of the mandala	Delineation of Te mandala
   atha vajrapāṇirmahābodhisatva idaṃ	aTa vajrapANiH mahAboDisatvaH idam
   vajrakarmasamayavidhivistarakarmamaṇḍalamabhāṣat /	vajra karma samaya viDi vistara karma maNxalam aBAzat /
   athātaḥ saṃpravakṣyāmi karmamaṇḍalamuttamaṃ /	aTa atas saMpravakzyAmi karma maNxalam uttamam /
   vajradhātupratīkāśaṃ karmavajramiti smṛtaṃ // 1 //	vajra DAtu pratIkASam karma vajram iti smRtam // 1 //
   mahāmaṇḍalayogena sūtrayetsarvamaṇḍalaṃ /	mahA maNxala yogena sUtrayet sarva maNxalam /
   madhyamaṇḍalasaṃstheṣu buddhabimban niveśayet // 2 //	maDya maNxala saMsTezu budDa bimban niveSayet // 2 //
   buddhasya sarvapārśveṣu samayāgryo niveśayet /	budDasya sarva pArSvezu samaya agryaH niveSayet /
   vajravegaiḥ samākramya maṇḍalānāṃ catuṣṭaye // 3 //	vajra vegEH samAkramya maNxalAnAm catuzwaye // 3 //
   catvāro vajranāthādyā yathāvattu niveśayet /	catvAraH vajra nATa AdyAH yaTAvat tu niveSayet /
   teṣāṃ sarveṣu pārśveṣu mahāsatvyo niveśayed // 4 // iti //	tezAm sarvezu pArSvezu mahAsatvyaH niveSayet // 4 // iti //
   athātra karmamaṇḍale vajrakarmamudrā bhavanti /	aTa atra karma maNxale vajra karma mudrAH Bavanti /
   oṃ vajrasatvasiddhijñānasamaye huṃ jjaḥ // 1 //	om vajra satva sidDi jQAna samaye hum jjaH // 1 //
   oṃ vajrākarṣaṇakarmajñānasamaye huṃ jjaḥ // 2 //	om vajra AkarzaNa karma jQAna samaye hum jjaH // 2 //
   oṃ vajraratirāgakarmajñānasamaye huṃ jjaḥ // 3 //	om vajra rati rAga karma jQAna samaye hum jjaH // 3 //
   oṃ vajrasādhukarmajñānasamaye huṃ jjaḥ // 4 // //	om vajra sADu karma jQAna samaye hum jjaH // 4 // //
   oṃ vajrabhṛkuṭī vaśīkuru huṃ // 5 //	om vajraBRkuwI vaSIkuru hum // 5 //
   oṃ vajrasūryamaṇḍale vaśīkuru huṃ // 6 //	om vajra sUrya maNxale vaSIkuru hum // 6 //
   oṃ vajradhvajāgrakeyūre vaśīkuru huṃ // 7 //	om vajra Dvaja agra keyUre vaSIkuru hum // 7 //
   oṃ vajrāṭṭahāse vaśīkuru huṃ // 8 //	om vajra awwahAse vaSIkuru hum // 8 //
   oṃ vajrapadmarāge rāgaya huṃ // 9 //	om vajra padmarAge rAgaya hum // 9 //
   oṃ vajratīkṣṇarāge rāgaya huṃ // 10 //	om vajra tIkzNa rAge rAgaya hum // 10 //
   oṃ vajramaṇḍalarāge rāgaya huṃ // 11 //	om vajra maNxala rAge rAgaya hum // 11 //
   oṃ vajravāgrāge rāgaya huṃ // 12 //	om vajra vAc rAge rAgaya hum // 12 //
   oṃ vajrakarmasamaye pūjaya huṃ // 13 //	om vajra karma samaye pUjaya hum // 13 //
   oṃ vajrakavacabandhe rakṣaya huṃ // 14 //	om vajra kavaca banDe rakzaya hum // 14 //
   oṃ vajrayakṣiṇi māraya vajradaṃṣṭrāyā bhinda hṛdayamamukasya huṃ phaṭ //	om vajrayakziNi mAraya vajra daMzwrAyAH Binda hRdayam amukasya hum Paw //
   oṃ vajrakarmamuṣṭi siddhya siddhya huṃ phaṭ // 16 //	om vajra karma muzwi sidDya sidDya hum Paw // 16 //
   Ritual	Ritual
   athātra karmamaṇḍale yathāvad vidhivistaraṃ kṛtvā,	aTa atra karma maNxale yaTAvat viDi vistaram kRtvA,
   vajrakulakarmajñānānyutpādayet /	vajra kula karma jQAnAni utpAdayet /
   tatrādita eva śāntikarmādijñānaṃ śikṣayet /	tatra Aditas eva SAnti karma Adi jQAnam Sikzayet /
   samidbhirmadhurairagniṃ prajvālya susamāhitaḥ /	samidBiH maDurEH agnim prajvAlya su samAhitaH /
   vajrakrodhasamāpattyā tilāṃ hutvā aghāndahet // 1 //	vajra kroDa samApattyA tilAm hutvA aGAn dahet // 1 //
   taireva tu samidbhistu prajvālya tu hutāśanaṃ /	tEH eva tu samidBiH tu prajvAlya tu hutASanam /
   taṇḍulāṃstu juhvan nityaṃ gṛhapuṣṭirbhaved dhruvaṃ // 2 //	taNxulAn= tu juhvan nityam gRha puzwiH Bavet Druvam // 2 //
   samidbhirmadhuraiścāpi agniṃ prajvālya paṇḍitaḥ /	samidBiH maDurEH ca api agnim prajvAlya paNxitaH /
   dūrvāpravālāṃ saghṛtān juhvannāyuḥ pravardhate // 3 //	dUrvA pravAlAm sa GRtAn juhvan = AyuH pravarDate // 3 //
   taireva tu samidbhistu prajvālya tu hutāśanaṃ /	tEH eva tu samidBiH tu prajvAlya tu hutASanam /
   kuśapravālāṃstailena juhvan rakṣā tu śāśvatam // iti // 4 //	kuSa pravAlAn= tElena juhvan rakzA tu SASvatam // iti // 4 //
   athaiṣāṃ hṛdayamantrāṇi bhavanti /	aTa ezAm hRdaya mantrANi Bavanti /
   oṃ sarvapāpadahanavajrāya svāhā //	om sarva pApa dahana vajrAya svAhA //
   oṃ vajrapuṣṭaye svāhā //	om vajra puzwaye svAhA //
   oṃ vajāyuṣe svāhā //	om vaja Ayuze svAhA //
   oṃ apratihatavajrāya svāhā //	om apratihata vajrAya svAhA //
   samidbhiḥ kaḍakaiḥ pūrva vajrakrodhasamādhinā /	samidBiH kaxakEH pUrva vajra kroDa samADinA /
   agniṃ [prajvālya] kuñjaistu kaṇṭakairabhikarṣitaḥ // 1 //	agnim [prajvAlya] kuQjEH tu kaNwakEH aBikarzitaH // 1 //
   taireva tu samidbhistu prajvālyāgniṃ suroṣavān /	tEH eva tu samidBiH tu prajvAlya agnim surozavAn /
   raktapuṣpaphalān cāpi juhvan rāgayate jagat // 2 //	rakta puzpa PalAn ca api juhvan rAgayate jagat // 2 //
   sami[dbhirapi]kupito hyagniṃ prajvālya yogavān /	sami[dBiH api]kupitaH hi agnim prajvAlya yogavAn /
   ayorajāṃsi hi juhvan vajrabandho bhaviṣyati // 3 //	ayaH rajAMsi hi juhvan vajrabanDaH Bavizyati // 3 //
   taireva tu samidbhistu prajvālyāgniṃ samāhitaḥ /	tEH eva tu samidBiH tu prajvAlya agnim samAhitaH /
   juhet tiktaphalaṃ krodhān mārimutpādayetkṣaṇāt // 4 //	juhet tikta Palam kroDAt mArim utpAdayet kzaNAt // 4 //
   tatraiṣāṃ hṛdayāni bhavanti /	tatra ezAm hRdayAni Bavanti /
   huṃ vajrākarṣaya svāhā //	hum vajrAkarzaya svAhA //
   huṃ vajra rāgaya svāhā //	hum vajra rAgaya svAhA //
   huṃ vajra bandhāya svāhā //	hum vajra banDAya svAhA //
   huṃ vajra māraṇāya svāhā //	hum vajra mAraNAya svAhA //
   samidbhiramalaiḥ prajvālya ṛddho hutabhujaṃ budhaḥ /	samidBiH amalEH prajvAlya RdDaH hutaBujam buDaH /
   homamāmlaphalaiḥ puṣpairvaśīkaraṇamuttamaṃ // 1 //	homam Amla PalEH puzpEH vaSIkaraNam uttamam // 1 //
   taireva tu samidbhistu prajvālyāgniṃ samāhitaḥ /	tEH eva tu samidBiH tu prajvAlya agnim samAhitaH /
   juhuyātkāmaphalāṃ kuddhaḥ kāmarūpitvamāpnuyāt // 2 //	juhuyAt kAma PalAm kudDaH kAmarUpi tvam ApnuyAt // 2 //
   samidbhistādṛśaireva prajvālya tu hutāśanaṃ /	samidBiH tAdRSEH eva prajvAlya tu hutASanam /
   kāṇḍānyadṛśyapuṣpāṇāṃ juhvaṃ rucyā na dṛśyate // 3 //	kANxAni adRSya puzpANAm juhvam rucyA na dRSyate // 3 //
   taireva tu samidbhistu prajvālyāgniṃ samāhitaḥ /	tEH eva tu samidBiH tu prajvAlya agnim samAhitaH /
   ākāśavallīpuṣpāṇi juhvannākāśago bhaved // iti // 4 //	AkASavallI puzpANi juhvan= AkASa gaH Bavet // iti // 4 //
   tatraiṣāṃ hṛdayāni bhavanti /	tatra ezAm hRdayAni Bavanti /
   oṃ vajravaśaṃkarāya svāhā //	om vajra vaSaMkarAya svAhA //
   oṃ kāmarūpavajrāya svāhā //	om kAmarUpa vajrAya svAhA //
   oṃ adṛśyavajrāya svāhā //	om adRSya vajrAya svAhA //
   oṃ vajrakhacāriṇī svāhā //	om vajraKa cAriNI svAhA //
   samidbhistiktavīryaistu prajvālyāgniṃ samāhitaḥ /	samidBiH tikta vIryEH tu prajvAlya agnim samAhitaH /
   vajripuṣpā juhet kruddho vajramājñākaraṃ bhavet // 1 //	vajri puzpAH juhet krudDaH vajram AjQA karam Bavet // 1 //
   tairevaṃ tu samidbhistu prajvālyāgniṃ suroṣavān /	tEH evam tu samidBiH tu prajvAlya agnim surozavAn /
   yasya saure juhenmālyaṃ so 'pyājñākaratāṃ vajret // 2 //	yasya sOre juhet mAlyam saH api AjQAkara tAm vajret // 2 //
   samidbhistaistu saṃkruddhaḥ prajvālyāgniṃ samāhitaḥ /	samidBiH tEH tu saMkrudDaH prajvAlya agnim samAhitaH /
   vajrapāṇerjuhenmālyaṃ so 'pyājñākaratāṃ vrajet // 3 //	vajrapANeH juhet mAlyam saH api AjQAkara tAm vrajet // 3 //
   taireva tu samidbhistu prajvālyāgniṃ suroṣitaḥ /	tEH eva tu samidBiH tu prajvAlya agnim surozitaH /
   cīvarāṇi juhet buddho yātyājñākaratāṃ kṣaṇāt // 4 //	cIvarANi juhet budDaH yAti AjQAkara tAm kzaNAt // 4 //
   tatraiṣāṃ hṛdayāni bhavanti //	tatra ezAm hRdayAni Bavanti //
   huṃ vajravaśaṃkarāya svāhā //	hum vajra vaSaMkarAya svAhA //
   huṃ saurivaśaṃkaravajrāya svāhā //	hum sOrivaSaMkara vajrAya svAhA //
   huṃ vajrapāṇivaśaṃkarāya svāhā //	hum vajra pANi vaSaMkarAya svAhA //
   huṃ buddhavaśaṃkaravajrāya svāhā //	hum budDa vaSaMkara vajrAya svAhA //
   Mudra	Mudra
   tato rahasyakarmamudrājñānaṃ śikṣayet /	tatas rahasya karma mudrA jQAnam Sikzayet /
   priyayā tu striyā sārdha saṃvasaṃstu bhage 'ñjanaṃ /	priyayA tu striyA sa arDa saMvasan= tu Bage aQjanam /
   prakṣipya ghaṭṭayettatra tenāṃjyākṣī vaśaṃ nayet // 1 //	prakzipya Gawwayet tatra tena aMjya akzI vaSam nayet // 1 //
   manaḥśilāṃ bhaga vidhvā vajrabandhena tāṃ pighet /	manaHSilAm Baga viDvA vajra banDena tAm piGet /
   caturvidhairnimittaistu siddhiścāpi caturvidhā // 2 //	caturviDEH nimittEH tu sidDiH ca api caturviDAH // 2 //
   rocanāṃ tu bhage sthāpya guhyamuṣṭyā nipīḍayet /	rocanAm tu Bage sTApya guhya muzwyA nipIxayet /
   [sthā]pitaṃ jvālate tatra bhavedvajradharo samaḥ // 3 //	[sTA]pitam jvAlate tatra Bavet vajraDaraH samaH // 3 //
   kuṅkumaṃ tu bhage vidhvā tadbhagaṃ satvavajrayā /	kuFkumam tu Bage viDvA tad Bagam satu a vajrayA /
   cchāditaṃ jvālate tantu bhavedvajradharo sama // iti // 4 //	cCAditam jvAlate tantu Bavet vajraDaraH samaH // iti // 4 //
   tatraiṣāṃ hṛdayāni bhavanti /	tatra ezAm hRdayAni Bavanti /
   oṃ vajraguhya rativaśaṃkara sidhya huṃ //	om vajra guhya rati vaSaMkara siDya hum //
   oṃ vajraguhya sidhya huṃ //	om vajraguhya siDya hum //
   oṃ guhyavajra sidhya huṃ //	om guhyavajra siDya hum //
   oṃ vajradharaguhya sidhya huṃ //	om vajraDara guhya siDya hum //
   tato vajrakulakarmamahāmudrājñānaṃ śikṣayet /	tatas vajra kula karma mahAmudrA jQAnam Sikzayet /
   vajrakāryaprayogeṇa mahāmudrāḥ samāsataḥ /	vajra kArya prayogeNa mahAmudrAH samAsatas /
   vajrakrodhasamāpattyā vajramuṣṭiprayogataḥ // 1 // //	vajra kroDa samApattyA vajra muzwi prayogataH // 1 // //
   samayāgryastathaivehahuṃkārāṅgu liyogataḥ /	samaya agryaH taTA eva iha huMkAra aFgu liyaH gataH /
   dharmamudrāstathaiveha oṃkārādyai a akṣaraiḥ // 2 //	DarmamudrAH taTA eva iha oMkAra AdyE a akzarEH // 2 //
   karmamudrāḥ samāsena karmamuṣṭidvidhīkṛtā /	karma mudrAH samAsena karma muzwidviDIkRtAH /
   sarvasiddhikarā śuddhā vajrakarmaprayogataḥ // 3 //	sarva sidDi karA SudDAH vajra karma prayogataH // 3 //
   sarvatathāgatavajrasamayāt mahākalparājād	sarva taTAgata vajra samayAt mahA kalpa rAjAt 
   vajrakulakarmamaṇḍalavidhivistaraḥ samāptaḥ //	vajra kula karma maNxala viDi vistaraH samAptaH //
   CHAPTER 10 MAHA KALPA VIDHI VISTARA	CHA aPTER 10 MAHA Ka ALPA  VIDHI  VISTARA
   Emanation of deities form samadhi	Emanation of deitieH fA Urm samaDi
   atha bhagavān punarapi sarvatathāgatavajrasamayamudrādhiṣṭhānaṃ nāma	aTa BagavAn punar api sarva taTAgatavajra samayamudrA aDizWAnam nAma
   samādhiṃ samāpadyemāṃ sarvavidyottamamabhāṣat oṃ sarvatathāgatavajrasamaye	samADim samApadya imAm sarva vidyA uttamam aBAzat om sarva taTAgata vajra samaye
   hūṃ //	hUm //
   atha vajrapāṇirmahābodhisatva imāṃ svavajrasasayamudrāmabhāṣat huṃ vajri	aTa vajrapANiH mahAboDisatvaH imAm sva vajra sasaya mudrAm aBAzat hum vajri
   maṭ //	maw //
   atha vajragarbho bodhisatva imāṃ svaratnasamayamudrāmabhāṣat huṃ	aTa vajragarBaH boDisatvaH imAm sva ratna samayamudrAm aBAzat hum
   bhṛkuṭivajre raṭ //	BRkuwi vajre raz //
   atha vajranetro bodhisatvo mahāsatva imāṃ svadharmasamayamudrāmabhāṣat hūṃ	aTa vajra netraH boDisatvaH mahAsatvaH imAm svaDarma samaya mudrAm aBAzat hUm
   padmavajri triṭ //	padma vajri triw //
   atha vajraviśvo bodhisattvo mahāsatva imāṃ svakarmasamayamudrāmabhāṣat hūṃ	aTa vajra viSvaH boDisattvaH mahAsatvaH imAm sva karma samayamudrAm aBAzat hUm
   vajrakarmāgri kṛṭ //	vajrakarma agri kRz //
   Delineation of the mandala	Delineation of Te mandala
   atha vajrapāṇirmahābodhisatvaḥ punarapīdaṃ	aTa vajrapANiH mahAboDisatvaH punar api idam
   trilokavijayacaturmudrāmaṇḍalamabhāṣat /	triloka vijaya catur mudrA maNxalam aBAzat /
   athātaḥ saṃpravakṣyāmi mudrāmaṇḍalamuttamaṃ /	aTa atas saMpravakzyAmi mudrA maNxalam uttamam /
   vajradhātupratīkāśaṃ krodhavajramiti smṛtaṃ // 1 //	vajra DAtu pratIkASam kroDa vajram iti smRtam // 1 //
   mahāmaṇḍalayogena sūtrayet sarvamaṇḍalam /	mahA maNxala yogena sUtrayet sarva maNxalam /
   trilokavijayādyāṃstu likhedbuddhasya sarvata // iti // 2 //	triloka vijaya AdyAn= tu liKet budDasya sarvatas // iti // 2 //
   Mudra	Mudra
   athātra caturmudrāmaṇḍale mahāmaṇḍalayogenākarṣaṇādividhivistaraṃkṛtvā	aTa atra catur mudrA maNxale mahA maNxala yogena AkarzaNa Adi viDi vistaraMkRtvA
   praveśya caturmudrāmaṇḍalaṃ guhyamudrājñānaṃ śikṣayet /	praveSya catur mudrA maNxalam guhyamudrA jQAnam Sikzayet /
   svayaṃ likhya caturmudrāmaṇḍalaṃ śuddhadharmatāṃ /	svayam liKya catur mudrA maNxalam SudDa Darma tAm /
   uccārayaṃ striyā sārdhaṃ saṃvasaṃ siddhirāpyate // 1 //	uccArayam striyA sArDam saMvasam sidDiH Apyate // 1 //
   svayaṃ likhya caturmudrāmaṇḍalaṃ śuddhadharmatāṃ /	svayam liKya catur mudrA maNxalam SudDa Darma tAm /
   uccārayan rāgeṇa strīṃ nirīkṣaṃ siddhirāpyate // 2 //	uccArayan rAgeNa strIm nirIkzam sidDiH Apyate // 2 //
   svayaṃ likhya caturmudrāmaṇḍalaṃ śuddhadharmatāṃ /	svayam liKya catur mudrA maNxalam SudDa Darma tAm /
   pravartayaṃ striyaṃ kāntāṃ paricumbaṃstu sidhyati // 3 //	pravartayam striyam kAntAm paricumban= tu siDyati // 3 //
   svayaṃ likhya caturmudrāmaṇḍalaṃ śuddhadharmatāṃ /	svayam liKya catur mudrA maNxalam SudDa Darma tAm /
   uccārayaṃ samāliṅgetsarvasiddhiravāpyate // 4 //	uccArayam samAliFget sarva sidDiH avApyate // 4 //
   tatraitāḥ śuddhadharmatāmudrā bhavanti /	tatra etAH SudDa DarmatA mudrAH Bavanti /
   oṃ sarvatathāgataviśuddhadharmate hoḥ //	om sarva taTAgata viSudDa Darmate hoH //
   oṃ vajraviśuddhadṛṣṭi jjaḥ //	om vajra viSudDa dRzwi jjaH //
   oṃ svabhāvaviśuddhamukhe huṃ //	om svaBAva viSudDa muKe hum //
   oṃ sarvaviśuddhakāyavāṅmanaḥkarmavajri han //	om sarva viSudDa kAya vAc manaH karma vajri han //
   tataścaturmudrāmaṇḍalaguhyarahasyamudrāṃ śikṣayet /	tatas catur mudrA maNxala guhya rahasya mudrAm Sikzayet /
   praviśya maṇḍalamidaṃ pañcabhiḥ kāmasadguṇaiḥ /	praviSya maNxalam idam paQcaBiH kAma sat guNEH /
   ramayan paradārāṇi sutarāṃ siddhimāpnute //	ramayan para dArANi sutarAm sidDim Apnute //
   athāsyā hṛdayaṃ bhavati ho vajrakāma //	aTa asyAH hRdayam Bavati ho vajra kAmaH //
   tato yathāvad vajrākrāntitriśūlamudrādyāḥ catasraḥ samayamudrāḥ	tatas yaTAvat vajra AkrAnti triSUla mudrA AdyAH catasraH samaya mudrAH
   savidhivistarāḥ śikṣayitvā, tena caturmudrāprayogeṇa vajravādyatūryatālān	sa viDi vistarAH SikzayitvA, tena catur mudrA prayogeNa vajra vAdya tUrya tAlAn
   niryātya, vajrasatvasaṃgrahahṛdayagītiṃ gāyatā	niryAtya, vajra satva saMgraha hRdaya gItim gAyatA
   mudrāpratimudropamudrājñānamudrābhirnṛtyopahārapūjā kāryati /	mudrA pratimudrA upamudrA jQAna mudrABiH nRtya upahAra pUjA kAryati /
   tatreyaṃ nṛtyopahārapūjā bhavati /	tatra iyam nRtya upahAra pUjA Bavati /
   vajranṛtyaprayogeṇa vajrakrodhāṅgu lidvayaṃ /	vajra nRtya prayogeNa vajra kroDa aFgu lidvayam /
   vajrahuṃkāramudrāṃ tu hṛdye tu nibandhayet // 1 //	vajra huMkAra mudrAm tu hRdye tu nibanDayet // 1 //
   tathaiva nṛtyan vāmāṃ tu gṛhya dakṣiṇamuṣṭinā /	taTA eva nRtyan vAmAm tu gRhya dakziNa muzwinA /
   parivartya lalāṭo tu niveśyāgryā mukhena ta // 2 //	parivartya lalAwaH tu niveSya agryAH muKena te // 2 //
   tataiva nṛtyanmuktvā tu samakuḍmalasandhite /	tatA eva nRtyat muktvA tu sama kuxmala sanDite /
   agryāñjaliṃ hṛdi sthāpya namedāśayakampitaiḥ // 3 //	agrya aQjalim hRdi sTApya namet ASaya kampitEH // 3 //
   vajrakrodhāṅgulī samyaguttāramukhasandhite /	vajra kroDa aFgulI samyak uttAra muKa sanDite /
   parivartya tathoṣṇīṣe tu tarjanī mukhasusthitā // 4 // iti //	parivartya taTA uzNIze tu tarjanI muKa susTitAH // 4 // iti //
   II.6 Ekamudramandala	II.6 Eka mudra mandala
   a[tha vajrapā]ṇirmahābodhisatvaḥ punarapīmaṃ	a[Ta vajra pA]NiH mahA boDisatvaH punar api imam
   svavajrasamayakrodhasamayamabhāṣat huṃ //	sva vajra samaya kroDa samayam aBAzat hum //
   Delineation of the mandala	Delineation of Te mandala
   athāsya maṇḍalaṃ bhavati /	aTa asya maNxalam Bavati /
   athātaḥ saṃpravakṣyāmi guhyamaṇḍalamuttamaṃ /	aTa atas saMpravakzyAmi guhya maNxalam uttamam /
   vajradhātupratīkāśaṃ vajrahuṃkarasaṃjñitaṃ // 1 //	vajra DAtu pratIkASam vajra huMkara saMjQitam // 1 //
   mahāmaṇḍalayogena bāhyamaṇḍalamālikhet /	mahA maNxala yogena bAhya maNxalam AliKet /
   tasya madhye likhetsamyagvajriṇaṃ candramaṇḍale // 2 //	tasya maDye liKet samyak vajriNam candra maNxale // 2 //
   savajra vajrahuṃkāramahāmudrākaragrahaṃ /	sa vajra vajra huMkAra mahAmudrA kara graham /
   pratyālīḍhasusaṃsthānaṃ yathāvad varṇarūpiṇam // iti // 3 //	pratyAlIXa su saMsTAnam yaTAvat varNa rUpiNam // iti // 3 //
   Mudra	Mudra
   athātra guhyamaṇḍale sarvasiddhividhivistaraṃ kṛtvā,	aTa atra guhya maNxale sarva sidDi viDi vistaram kRtvA,
   vajrahuṃkāraguhyamudrājñānamudīrayet /	vajra huMkAra guhya mudrA jQAnam udIrayet /
   praviśya maṇḍalamidaṃ trilokavijayāṅgulīṃ /	praviSya maNxalam idam triloka vijaya aFgulIm /
   sādhaye tu bhage bidhvā sarvakarma susidhyati //	sADaye tu Bage biDvA sarva karma su siDyati //
   athāsya sādhanahṛdayaṃ bhavati huṃ vajrasamaya kṛta //	aTa asya sADana hRdayam Bavati hum vajra samaya kRtaH //
   tato vajrahuṃkārahasyasādhanamudrājñānaṃ śikṣayet /	tatas vajra huMkAra hasya sADana mudrA jQAnam Sikzayet /
   praviṣṭvā maṇḍalaṃ samyag mahāmudrāgrasaṃsthitaḥ /	pravizwvA maNxalam samyak mahAmudrA agra saMsTitaH /
   saṃvasan vajrahuṃkāraḥ sarvakarmakaro bhaved // iti //	saMvasan vajra huMkAraH sarva karma karaH Bavet // iti //
   tatrāsyāḥ sādhanahṛdayaṃ bhavati huṃ vajrasamaya huṃ //	tatra asyAH sADana hRdayam Bavati hum vajra samaya hum //
   tato yathāvan mudrābandhacatuṣṭayaṃ śikṣayet / tathaiva siddhayaḥ	tatas yaTAvat mudrA banDa catuzwayam Sikzayet / taTA eva sidDayaH
   saṃbhavantīti //	saMBavanti iti //
   yathā maṇḍale evaṃ paṭādiṣu likhitānāṃ sarvapratimāsvapi sāmānyā	yaTA maNxale evam pawa Adizu liKitAnAm sarva pratimAsu api sAmAnyA
   siddhiriti /	sidDiH iti /
   atha vajrapāṇiḥ sarvatathāgatānāhūyaivamāha / "adhitiṣṭhata bhagavantaḥ	aTa vajrapANiH sarva taTA AgatAn AhUyA evam Aha / "aDitizWata BagavantaH
   sarvatathāgatā mame[daṃ kulaṃ ye ca] sarvasatvā yathākāmakaraṇīyatayā	sarva taTAgatAH mama i[dam kulam ye ca] sarva satvAH yaTAkAma karaNIya tayA
   sarvasiddhīḥ prāpnuyur" iti //	sarva sidDIH prApnuyur" iti //
   atha bhagavantaḥ sarvatathāgatāḥ punaḥ samājamāgamyāsya	aTa BagavantaH sarva taTAgatAH punar samAjam Agamya asya
   trilokavijayakalpasyādhiṣṭhānāyedamūcuḥ /	triloka vijaya kalpasya aDizWAnAya idam UcuH /
   sādhu te vajrasatvāya vajraratnāya sādhu te /	sADu te vajra satvAya vajra ratnAya sADu te /
   vajradharmāya te sādhu sādhu te vajrakarmaṇe //	vajra DarmAya te sADu sADu te vajrakarmaNe //
   subhāṣitamidaṃ sūtraṃ vajrayānamanuttaraṃ /	suBAzitam idam sUtram vajrayAnam anuttaram /
   sarvatathāgataṃ guhyaṃ mahāyānābhisaṃgraham // iti //	sarva taTAgatam guhyam mahA yAna aBisaMgraham // iti //
   sarvatathāgatavajrasamayānmahākalparājān mahākalpavidhivistaraḥ samāptaḥ	sarva taTAgata vajra samayAt mahA kalpa rAjAn mahA kalpa viDi vistaraH samAptaH
   CHAPTER 11 TRILOKACAKRA MAHA MANDALA VIDHI VISTARA	CHA aPTER 11 TRILOKACA AKRA a MAHa a MANDALA VIDHI  VISTARA
   atha bhagavantaḥ sarvatathāgatāḥ punarapi samājamāpadya jānanneva	aTa BagavantaH sarva taTAgatAH punar api samAjam Apadya jAnan= eva
   vajrapāṇiṃ mahābodhisatvamevamāhuḥ / "pratipadyasva vatsa	vajrapANim mahAboDisatvam evam AhuH / "pratipadyasva vatsa
   sarvatathāgatājñākāritayai imaṃ maheśvarakāyamataḥ svapādatālāt mokṣum!"	sarva taTAgata AjQA kAritayE imam maheSvara kAyam atas sva pAda tAlAt mokzum!"
   iti / atha bhagavāṃ vajrapāṇistāṃstathāgatānevamāha / "ahaṃ bhagavadbhiḥ	iti / aTa BagavAm vajrapANiH tAn= taTAgatAn evam Aha / "aham BagavadBiH
   sarvaduṣṭadamakaḥ krodha ityabhiṣiktaḥ / tanmayāyaṃ vyāpāditaḥ,	sarva duzwa damakaH kroDaH iti aBiziktaH / tat mayA ayam vyApAditaH,
   tatkathamasya mokṣāmī?" ti /	tat kaTam asya mokza amI?" ti /
   atha sarvatathāgatā maheśvarasya sarvatrilokādhipateḥ śarīrasya	aTa sarva taTAgatAH maheSvarasya sarva tri loka aDipateH SarIrasya
   jīvitasaṃjananahetoridaṃ mṛtavijñānākarṣaṇahṛdayaṃ svahṛdaye[bhyo	jIvita saMjanana hetoH idam mRta vijQAna AkarzaNa hRdayam sva hRdaye[ByaH 
   niścaranti /] oṃ vajrasatva hūṃ jjaḥ //	niScaranti /] om vajra satva hUm jjaH //
   athāsya mudrābandho bhavati /	aTa asya mudrA banDaH Bavati /
   guhyāṅkuśī dṛḍhīkṛtya samāntyāsu prasāritā /	guhya aFkuSI dRXIkRtya samAntyAsu prasAritA /
   mṛtasya mūrdhni sandhāya [punarjīvitaṃ prāpsyata // iti //]	mRtasya mUrDni sanDAya [punar jIvitam prApsyata // iti //]
   athāsmin viniḥsṛtamātre sa bhagavān [bhasmeśvaranirghoṣas] tathāgato	aTa asmin viniHsRta mAtre sa BagavAn [Basma ISvara nirGozas] taTAgataH 
   bhasmacchatrāyā lokadhātor [āgamya, tasya] maheśvara[sya kāye praviṣṭvā,	Basma= CatrAyAH loka DAtoH [Agamya, tasya] maheSvara[sya kAye pravizwvA,
   idamudānamudānayāmāsa /]	idam udAnam udAnayAmAsa /]
   aho hi sarvabuddhānāṃ buddhājñānamanuttaraṃ /	aho hi sarva budDAnAm budDa ajQAnam anuttaram /
   yanmṛto 'pi hi kāyo 'yaṃ jīvadhātutvamāgata // iti //	yat mRtaH api hi kAyaH ayam jIva DAtu tvam AgataH // iti //
   [atha vajrapāṇir] mahābodhisatva idaṃ pādoccārannāma hṛdayamudājahāra oṃ	[aTa vajrapANir] mahA boDisatvaH idam pAda uccArat nAma hRdayam udAjahAraH om
   vajra muḥ //	vajra muH //
   athāsya mudrābandho bhavati /	aTa asya mudrA banDaH Bavati /
   vajrakrodhāṅgulī[mutthāpayitvāgrāsaṅgaṃ sthite /]	vajra kroDa aFgulI[m utTApayitvA agrAsaFgam sTite /]
   parivartya[dvayorvajrayoradhastātsamuddhared // iti //]	parivartya[ dvaya UH vajrayoH aDastAt samudDaret // iti //]
