   akarod brahmavittamaḥ KDA_465d	akarot brahma-vittamaH KDA_465d
   tasmāt krodhavināśāya KDA_404c	tasmAt kroDa-vinASAya KDA_404c
   tasmāt krodhāgniśāntyarthaṃ KDA_338a	tasmAt kroDa-agni-SAnti-arTam KDA_338a
   tasmāt krodho nivāryatām* KDA_373d	tasmAt kroDaH nivAryatAm* KDA_373d
   tasmāt krodho mahāripuḥ KDA_383d	tasmAt kroDaH mahA-ripuH KDA_383d
   tasmāt krodho mahāripuḥ KDA_384d	tasmAt kroDaH mahA-ripuH KDA_384d
   tasmāt krodho mahāripuḥ KDA_392d	tasmAt kroDaH mahA-ripuH KDA_392d
   tasmāt krodho mahāripuḥ KDA_395d	tasmAt kroDaH mahA-ripuH KDA_395d
   tasmāt putra ivātmanīva ca dayāṃ nītvā prakarṣaṃ jane KDA_419c	tasmAt putraH iva-Atmani-iva ca dayAm nItvA prakarzam jane KDA_419c
   tasmāt putra mayā proktaṃ KDA_63a	tasmAt putra mayA proktam KDA_63a
   tasmāt sarvaprayatnena KDA_72a	tasmAt sarva-prayatnena KDA_72a
   tasmāt sarvaprayatnena KDA_447a	tasmAt sarva-prayatnena KDA_447a
   tasmāt subhūtir ity eva KDA_28c	tasmAt suBUtiH iti eva KDA_28c
   tasmād apāsya kṛṣṇāni KDA_481a	tasmAt apAsya kRzNAni KDA_481a
   tasmād ahaṃ cariṣyāmi KDA_333a	tasmAt aham carizyAmi KDA_333a
   tasmād ācāramātreṇa KDA_236c	tasmAt AcAra-mAtreNa KDA_236c
   tasmād dayāṃ hṛdi sthāpya KDA_420c	tasmAt dayAm hRdi sTApya KDA_420c
   tasmād dharmatapaḥśīla- KDA_210a	tasmAt Darma-tapaH-SIla KDA_210a
   tasmād dhi brāhmaṇo naiva KDA_123c	tasmAt Di brAhmaNaH na-eva KDA_123c
   tasmād dhyānāt samutthāya KDA_354a	tasmAt DyAnAt samutTAya KDA_354a
   tasmād vāñchati yo brahma KDA_70a	tasmAt vAQCati yaH brahma KDA_70a
   tasmān na karmamātreṇa KDA_233a	tasmAt na karma-mAtreNa KDA_233a
   tasmān maitrī pradhīyatām* KDA_442d	tasmAt mEtrI praDIyatAm* KDA_442d
   tasmān maitrī prayatnena KDA_369c	tasmAt mEtrI prayatnena KDA_369c
   tasmān maitrī prasādhyatām+ KDA_441d	tasmAt mEtrI prasADyatAm+ KDA_441d
   tasmān maitrīṃ vibhāvaya KDA_274d	tasmAt mEtrIm viBAvaya KDA_274d
   tasmiṃś ca samaye buddhaḥ KDA_461a	tasmin ca samaye budDaH KDA_461a
   tasmai dānaṃ pradātavyam KDA_264c	tasmE dAnam pradAtavyam KDA_264c
   tasya kiṃ tapasā siddhe KDA_53c	tasya kim tapasA sidDe KDA_53c
   tasya kiṃ brahmacaryeṇa KDA_55c	tasya kim brahmacaryeNa KDA_55c
   tasya saṃjāyate brahma KDA_276c	tasya saMjAyate brahma KDA_276c
   tasya saṃjāyate brahma KDA_277c	tasya saMjAyate brahma KDA_277c
   tasyaiva tat phalaṃ dhruvam* KDA_478b	tasya-eva tat Palam Druvam* KDA_478b
   tasyaiva dharmatā śuddhā KDA_295a	tasya-eva DarmatA SudDA KDA_295a
   tasyaiva śāsane śuddhe KDA_464a	tasya-eva SAsane SudDe KDA_464a
   taṃ devā brāhmaṇaṃ viduḥ KDA_204d	tam devAH brAhmaNam viduH KDA_204d
   taṃ devā brāhmaṇaṃ viduḥ KDA_266d	tam devAH brAhmaNam viduH KDA_266d
   taṃ devā brāhmaṇaṃ viduḥ KDA_272d	tam devAH brAhmaNam viduH KDA_272d
   taṃ subhūtiṃ samāgamya KDA_290c	tam suBUtim samAgamya KDA_290c
   tāḍayanti ruṣānvitāḥ KDA_387d	tAxayanti ruzA-anvitAH KDA_387d
   tāḍitā tyajyate bhartrā KDA_385c	tAxitA tyajyate BartrA KDA_385c
   tādṛgdharmasamāhitaḥ KDA_21d	tAdRS-Darma-samAhitaH KDA_21d
   tādṛśī jātitā bhavet* KDA_195b	tAdRSI jAtitA Bavet* KDA_195b
   tān api saṃmukhaṃ ghnanti KDA_379c	tAn api saMmuKam Gnanti KDA_379c
   tān api saṃmukhaṃ duṣṭās KDA_387c	tAn api saMmuKam duzwAH KDA_387c
   tāni sarvāṇi jānīta KDA_446c	tAni sarvANi jAnIta KDA_446c
   tāni sarvāṇi jānīdhvaṃ KDA_411c	tAni sarvANi jAnIDvam KDA_411c
   tāni sarvāṇi duṣṭāni KDA_396c	tAni sarvANi duzwAni KDA_396c
   tāvat kiṃ tapasāpy etan KDA_336c	tAvat kim tapasA-api etat KDA_336c
   tāvat sadguṇayukto 'pi KDA_71c	tAvat sat-guNa-yuktaH api KDA_71c
   tāvan maitrī na bhāvyate KDA_368d	tAvat mEtrI na BAvyate KDA_368d
   tāṃ devatāṃ puraḥ sthitām* KDA_299d	tAm devatAm puras sTitAm* KDA_299d
   tiryagyonigateṣv api KDA_207b	tiryagyoni-gatezu api KDA_207b
   tiryagyonigateṣv api KDA_256b	tiryagyoni-gatezu api KDA_256b
   tiryagyonyudbhavāś cāpi KDA_436a	tiryagyoni-udBavAH ca-api KDAH-_436a
   tīkṣṇabuddhiḥ kṛtodyamaḥ KDA_84b	tIkzNa-budDiH kRta-udyamaH KDA_84b
   tīrthikair iti kalpitam* KDA_240d	tIrTikEH iti kalpitam* KDA_240d
   tṛṇauṣadhādiśasyānāṃ KDA_143a	tRNOzaDa-Adi-SasyAnAm KDA_143a
   tṛtīyaṃ brāhmalakṣaṇam* KDA_255d	tRtIyam brAhma-lakzaNam* KDA_255d
   te ca lokāḥ prabhāṣitāḥ KDA_482b	te ca lokAH praBAzitAH KDA_482b
   te te syur brāhmaṇāḥ kila KDA_234d	te te syuH brAhmaNAH kila KDA_234d
   te devā nirmalānandā KDA_99c	te devAH nirmala-AnandA KDA_99c
   te 'dhobhuvanasaṃjātā KDA_97e	te aDas-Buvana-saMjAtA KDA_97e
   te narā brāhmaṇāḥ khalu KDA_207d	te narAH brAhmaNAH Kalu KDA_207d
   tena sarve jitā duṣṭā KDA_398c	tena sarve jitA duzwA KDA_398c
   tena sarve dviṣo hatāḥ KDA_371d	tena sarve dvizaH hatAH KDA_371d
   tena saṃpadyate brahma KDA_274c	tena saMpadyate brahma KDA_274c
   tena saṃpadyate brahma KDA_275c	tena saMpadyate brahma KDA_275c
   tenādau cittakoṭarāt* KDA_70b	tena-AdO citta-kowarAt* KDA_70b
   tenāpy evaṃ suparṇānāṃ KDA_360a	tena-api evam suparNAnAm KDA_360a
   tenedānīṃ tathārhatvaṃ KDA_476c	tena-idAnIm taTA-arha-tvam KDA_476c
   tenaiva karmaṇā cādya KDA_470a	tena-eva karmaNA ca-adya KDA_470a
   tenaiva krodhinā sārdhaṃ KDA_33c	tena-eva kroDinA sArDam KDA_33c
   tenaiva tat prabhujyate KDA_459d	tena-eva tat praBujyate KDA_459d
   tenaiva pātakenaiva KDA_393c	tena-eva pAtakena-eva KDA_393c
   tenaiva pātakenaivaṃ KDA_474c	tena-eva pAtakena-evam KDA_474c
   tenaiva hetunā cādya KDA_340a	tena-eva hetunA ca-adya KDA_340a
   tenaiva hetunā cāhaṃ KDA_331c	tena-eva hetunA ca-aham KDA_331c
   tenaivaṃ prārthyamāno 'sau KDA_66a	tena-evam prArTyamAnaH asO KDA_66a
   tenaivābhidrutāḥ sarve KDA_361a	tena-eva-aBidrutAH sarve KDA_361a
   te 'pi ca manujā jainā KDA_193c	te api ca manujA jEnA KDA_193c
   te 'pi ca mānavā dhīrāḥ KDA_171c	te api ca mAnavAH DIrAH KDA_171c
   te 'pi ca mānavā bauddhāḥ KDA_192c	te api ca mAnavAH bOdDAH KDA_192c
   te 'pi ca mānavāḥ sarve KDA_194c	te api ca mAnavAH sarve KDA_194c
   te 'pi jātāḥ kurukṣetre KDA_108c	te api jAtAH kurukzetre KDA_108c
   te 'pi dhanyā dvijottamāḥ KDA_47d	te api DanyAH dvijottamAH KDA_47d
   te 'pi maitrīpracāriṇaḥ KDA_427d	te api mEtrI-pracAriNaH KDA_427d
   te 'pi maitryāḥ prabhāvataḥ KDA_426d	te api mEtryAH praBAvataH KDA_426d
   te 'pi sarve ruṣānvitāḥ KDA_390d	te api sarve ruzA-anvitAH KDA_390d
   te 'pi sarve ruṣāśrayāt* KDA_391d	te api sarve ruzA-ASrayAt* KDA_391d
   te 'pi syur brāhmaṇāś caivaṃ KDA_236a	te api syuH brAhmaNAH ca-evam KDA_236a
   te 'pi syur brāhmaṇāḥ khalu KDA_229d	te api syuH brAhmaNAH Kalu KDA_229d
   te 'pi hi paramarṣayaḥ KDA_46d	te api hi parama-RzayaH KDA_46d
   te lokā maitracittās tribhuvanasukhadāḥ kṣāntisaurabhyayuktāḥ KDA_486c	te lokAH mEtra-cittAH triBuvana-suKa-dAH kzAnti-sOraBya-yuktAH KDA_486c
   te viviktasukhaiṣiṇaḥ KDA_18b	te vivikta-suKa-eziNaH KDA_18b
   te śaivā manujā jñeyāḥ KDA_187c	te SEvAH manujAH jQeyAH KDA_187c
   teṣāṃ dhyānaratā ye vai KDA_18a	tezAm DyAna-ratAH ye vE KDA_18a
   teṣāṃ hi jātisāmānyād KDA_202a	tezAm hi jAti-sAmAnyAt KDA_202a
   te satvā bhūmisaṃjātā KDA_98c	te satvA BUmi-saMjAtA KDA_98c
   te hi brahmavidāṃ varāḥ KDA_48d	te hi brahma-vidAm varAH KDA_48d
   te hotāraś ca yajvāno KDA_173c	te hotAraH ca yajvAnaH KDA_173c
   tyaktakrūrasvabhāvas tu KDA_255a	tyakta-krUra-svaBAvaH tu KDA_255a
   tyaktadaṇḍo nirāmiṣaḥ KDA_253b	tyakta-daNxaH nirAmizaH KDA_253b
   tyaktamārābhigocarāḥ KDA_166b	tyaktamAra-aBi-gocarAH KDA_166b
   triratnaguṇavarṇanām* KDA_299b	tri-ratna-guNa-varNa-nAm* KDA_299b
   triratnaśaraṇaṃ gatvā KDA_297c	tri-ratna-SaraNam gatvA KDA_297c
   triratnaśaraṇaṃ gatvā KDA_302a	tri-ratna-SaraNam gatvA KDA_302a
   triratnasamayaṃ prāptum KDA_300c	tri-ratna-samayam prAptum KDA_300c
   traidhātukabhavālaye KDA_95b	trEDAtuka-Bava-Alaye KDA_95b
   trailokyabhartṛkā nāthāḥ KDA_443c	trElokya-BartRkAH nATAH KDA_443c
   trailokyādhipanāyakaḥ KDA_425b	trElokya-aDipa-nAyakaH KDA_425b
   tvadājñāṃ śirasā vahan* KDA_322d	tvad-AjQAm SirasA vahan* KDA_322d
   tvaṃ cāpi hi tathā matvā KDA_297a	tvam ca-api hi taTA matvA KDA_297a
   tvaṃ hi vidvān mahāvijñaḥ KDA_41c	tvam hi vidvAn mahAvijQaH KDA_41c
   dakṣiṇasyāṃ tathā kecit KDA_17a	dakziNasyAm taTA kecid KDA_17a
   dagdhā janapadāś cāpi KDA_375c	dagDAH janapadAH ca-api KDA_375c
   dadarśa jinabhāskaram* KDA_305b	dadarSa jina-BAskaram* KDA_305b
   dadāti piṇḍam ādarāt* KDA_435b	dadAti piNxam AdarAt* KDA_435b
   dadāha brahmajaṃ kāmaṃ KDA_376c	dadAha brahmajam kAmam KDA_376c
   dadau ca paṇasaṃ mudā KDA_115b	dadO ca paNasam mudA KDA_115b
   dayākrāntaṃ cittaṃ na bhavati paradroharabhasaṃ KDA_417a	dayA-AkrAntam cittam na Bavati para-droha-raBasam KDA_417a
   dayācittaṃ samālambya KDA_349a	dayA-cittam samAlambya KDA_349a
   dayām iṣṭaphalodayām* KDA_416b	dayAm izwa-Pala-udayAm* KDA_416b
   dayālur nodvegaṃ janayati pareṣām upaśamād KDA_418a	dayAluH na-udvegam janayati parezAm upaSamAt KDA_418a
   dayālur viśvāsyo bhavati jagatāṃ bāndhava iva KDA_418b	dayAluH viSvAsyaH Bavati jagatAm bAnDavaH iva KDA_418b
   dayālor hṛdaye jātā KDA_420a	dayAloH hRdaye jAtA KDA_420a
   dayāviyogato lokaḥ KDA_415a	dayA-viyogataH lokaH KDA_415a
   darśanīyaṃ subhadrāṅgaṃ KDA_25c	darSanIyam suBadrA-aFgam KDA_25c
   daśakuśalasaṃmatā KDA_295b	daSa-kuSala-saMmatA KDA_295b
   daśa varṣasahasrāṇi KDA_465a	daSa varza-sahasrANi KDA_465a
   daśākuśalanirbhuktā KDA_168a	daSa-akuSala-nirBuktA KDA_168a
   daśākuśalasaṃratāḥ KDA_168b	daSa-akuSala-saMratAH KDA_168b
   dahate sa parān api (Speyer: svaparān api) KDA_335d	dahate sa parAn api (Speyer: sva-parAn api) KDA_335d
   dahaty ātmānam evādau KDA_372c	dahati AtmAnam eva-AdO KDA_372c
   dahet krodhānalaḥ kṣaṇāt* KDA_337d	dahet kroDa-analaH kzaNAt* KDA_337d
   dānavā ghnanti devāṃś ca KDA_389a	dAnavAH Gnanti devAn ca KDA_389a
   dānaśīlādisaddharma- KDA_401a	dAna-SIla-Adi-sat-Darma KDA_401a
   dānaśīlādisādhanam* (Speyer: dharmasucaritaṃ) KDA_337b	dAna-SIla-Adi-sADanam* (Speyer: Darma-su-caritaM) KDA_337b
   dārakaṃ saṃprasādikam* KDA_25b	dArakam saMprasAdikam* KDA_25b
   dārakaḥ samajāyata KDA_24d	dArakaH samajAyata KDA_24d
   dideśaivaṃ savistaram KDA_310d	dideSa-evam sa-vistaram KDA_310d
   divyabhogānubhoktā ca KDA_374a	divya-Boga-anuBoktA ca KDA_374a
   durjanān mardayan sarvān KDA_430c	durjanAn mardayan sarvAn KDA_430c
   durvāgbāṇai ruṣā khalāḥ KDA_379d	durvAc-bANEH ruzA KalAH KDA_379d
   durvṛttiprabhavāni hi KDA_411b	durvRtti-praBavAni hi KDA_411b
   duṣṭabhārān vinirjaya (Speyer: duṣṭamārān) KDA_68b	duzwa-BArAn vinirjaya (Speyer: duzwa-mArAn) KDA_68b
   duṣṭamitropadeśena KDA_406c	duzwa-mitra-upadeSena KDA_406c
   duṣṭāñjetuṃ na śaknuyāḥ KDA_68d	duzwAn-jetum na SaknuyAH KDA_68d
   duṣṭā matsariṇaḥ śaṭhāḥ KDA_346b	duzwAH matsariNaH SaWAH KDA_346b
   dūṣayiṣyanti cittāni KDA_347a	dUzayizyanti cittAni KDA_347a
   dṛṣṭasatyo 'tha saṃbuddhaṃ KDA_319c	dRzwa-satyaH aTa saMbudDam KDA_319c
   dṛṣṭvā cainaṃ ca bālakam* KDA_27b	dRzwvA ca-enam ca bAlakam* KDA_27b
   dṛṣṭvā sarve janaughās te KDA_363c	dRzwvA sarve jana-oGAH te KDA_363c
   dṛṣṭvaiva sahasā cātha KDA_308a	dRzwvA-eva sahasA ca-aTa KDA_308a
   dṛṣṭvaiva suprasannena KDA_20c	dRzwvA-eva su-prasannena KDA_20c
   dṛṣṭvaivaṃ samacintayat* KDA_37d	dRzwvA-evam samacintayat* KDA_37d
   dṛṣṭvaivaṃ samacintayat* KDA_284d	dRzwvA-evam samacintayat* KDA_284d
   devamanuṣyanārīṇāṃ KDA_207a	deva-manuzya-nArINAm KDA_207a
   devamanuṣyanārīṇāṃ KDA_256a	deva-manuzya-nArINAm KDA_256a
   devā daityāś ca mānuṣāḥ KDA_93d	devAH dEtyAH ca mAnuzAH KDA_93d
   devānām api te mānyā KDA_45c	devAnAm api te mAnyA KDA_45c
   devāś ca ghnanti dānavān* KDA_389b	devAH ca Gnanti dAnavAn* KDA_389b
   devāsuramahānāgair KDA_8a	deva-asura-mahA-nAgEH KDA_8a
   devair api praśasyate KDA_421b	devEH api praSasyate KDA_421b
   deśayañ chubhayas sadā KDA_12d	deSayan CuBayaH sadA KDA_12d
   deśayanti sma saddharmaṃ KDA_16c	deSayanti sma sadDarmam KDA_16c
   deśe janapadeṣu ca KDA_344b	deSe janapadezu ca KDA_344b
   dehasaṃskāramātrataḥ KDA_123d	deha-saMskAra-mAtrataH KDA_123d
   dehasaṃsthānaliṅgaiś ca KDA_139c	deha-saMsTAna-liFgEH ca KDA_139c
   dravyavarṇādibhedatā KDA_149b	dravya-varNa-Adi-Beda-tA KDA_149b
   dvijātikulasaṃbhavaḥ KDA_340b	dvijAti-kula-saMBavaH KDA_340b
   dvitīyaṃ brāhmalakṣaṇam* KDA_254d	dvitIyam brAhma-lakzaNam* KDA_254d
   dveṣaśalye hṛdi sthite KDA_370d	dveza-Salye hRdi sTite KDA_370d
   dvau guṇau parikīrtitau KDA_102d	dvO guNO parikIrtitO KDA_102d
   dhakṣyati parvatāṃś cāpi KDA_286c	Dakzyati parvatAn ca-api KDA_286c
   dhanādivastusaṃgrahaiḥ KDA_179b	Dana-Adi-vastu-saMgrahEH KDA_179b
   dhanibhiḥ puravāsibhiḥ KDA_7b	DaniBiH pura-vAsiBiH KDA_7b
   dhanyās te bhikṣavaś caiva KDA_296a	DanyAH te BikzavaH ca-eva KDA_296a
   dhanyās te bhikṣavo hy ete KDA_21a	DanyAH te BikzavaH hi ete KDA_21a
   dhanyās te vītarāgā ye KDA_44a	DanyAH te vIta-rAgAH ye KDA_44a
   dhanyo 'yam ṛddhimān bhikṣur KDA_364a	DanyaH ayam RdDimAn BikzuH KDA_364a
   dhanyo 'si tvaṃ mahādhīra KDA_291c	DanyaH asi tvam mahADIra KDA_291c
   dharmakalpavikalpena KDA_130c	Darma-kalpa-vikalpena KDA_130c
   dharmakriyāviśeṣāt tu KDA_249c	Darma-kriyA-viSezAt tu KDA_249c
   dharmacaryānuvarṇinaḥ KDA_194d	Darma-caryA-anuvarNinaH KDA_194d
   dharmataḥ sukhino bhūtāḥ KDA_106a	DarmataH suKinaH BUtAH KDA_106a
   dharmabhedāt tataḥ karma- KDA_223c	Darma-BedAt tatas karma KDA_223c
   dharmamātā yato maitrī KDA_312c	DarmamAtA yatas mEtrI KDA_312c
   dharmarājas tathāgataḥ KDA_5b	DarmarAjaH taTAgataH KDA_5b
   dharmarājo yudhiṣṭhiraḥ KDA_250b	DarmarAjaH yuDizWiraH KDA_250b
   dharmavṛttipramāṇena KDA_129c	Darma-vRtti-pramANena KDA_129c
   dharmasaṃyamatatparaḥ KDA_83d	Darma-saMyama-tatparaH KDA_83d
   dharmasaṃskārajāḥ khalu KDA_198d	Darma-saMskAra-jAH Kalu KDA_198d
   dharmasaṃskārataḥ sarve KDA_129a	Darma-saMskArataH sarve KDA_129a
   dharmasaṃskṛtivṛttisthaḥ KDA_121a	Darma-saMskRti-vRtti-sTaH KDA_121a
   dharmaṃ sucaritaṃ puṇyaṃ KDA_337a	Darmam su-caritam puNyam KDA_337a
   dharmāṇāṃ tu kṣamā mūlaṃ KDA_412c	DarmANAm tu kzamA mUlam KDA_412c
   dharmānumodanaṃ kṛtvā KDA_450c	Darma-anumodanam kRtvA KDA_450c
   dharmārthakāmamokṣeṣu KDA_80a	Darma-arTa-kAma-mokzezu KDA_80a
   dharmārthakāmamokṣeṣu KDA_293a	Darma-arTa-kAma-mokzezu KDA_293a
   dharmārthī na tyajed asmād KDA_416a	Darma-arTI na tyajet asmAt KDA_416a
   dharmārthe yasya jīvitam* KDA_266b	Darma-arTe yasya jIvitam* KDA_266b
   dharmeṣu varṇavādinām* KDA_243b	Darmezu varNa-vAdi-nAm* KDA_243b
   dharme sthātuṃ na śaknuyāḥ KDA_69b	Darme sTAtum na SaknuyAH KDA_69b
   dhātudoṣāny abhijñāya KDA_183a	DAtu-dozAni aBijQAya KDA_183a
   dhātrīr vā snehapālinīḥ KDA_380b	DAtrIH vA sneha-pAlinIH KDA_380b
   dhātvannakṣiravikrayī KDA_214b	DAtu-annakzira-vikrayI KDA_214b
   dhānyādivrīhijātīnāṃ KDA_144a	DAnya-Adi-vrIhi-jAtInAm KDA_144a
   dhānyādivrīhisādhakāḥ KDA_178b	DAnya-Adi-vrIhi-sADakAH KDA_178b
   dhīracittasamāhitaḥ KDA_67d	DIra-citta-samAhitaH KDA_67d
   dhyānacaryām upāśrayat* KDA_281d	DyAna-caryAm upASrayat* KDA_281d
   dhyānaṃ saukhyārthasādhanam* KDA_353b	DyAnam sOKya-arTa-sADanam* KDA_353b
   na kartavyaḥ kadācana KDA_90d	na kartavyaH kadAcana KDA_90d
   na kulena na jātyā ca KDA_259a	na kulena na jAtyA ca KDA_259a
   na keśena na kaṛṇena KDA_155a	na keSena na kaRNena KDA_155a
   na kopāgniś citte jvalayati hi dayātoyaśiśire KDA_418d	na kopa-agniH citte jvalayati hi dayA-toya-SiSire KDA_418d
   na grīvayā na bāhunā KDA_155d	na grIvayA na bAhunA KDA_155d
   na ca dveṣasamaṃ pāpaṃ KDA_369a	na ca dveza-samam pApam KDA_369a
   na ca bālasya vacanāt KDA_153c	na ca bAlasya vacanAt KDA_153c
   na ca maitrīsamaṃ tapaḥ KDA_369b	na ca mEtrI-samam tapaH KDA_369b
   na cendriyeṣu nānātvaṃ KDA_196a	na ca-indriyezu nAnAtvam KDA_196a
   na jātir dṛśyate devaiḥ KDA_204a	na jAtiH dRSyate devEH KDA_204a
   na jātir dṛśyate rājan KDA_265a	na jAtiH dRSyate rAjan KDA_265a
   na jīvo brāhmaṇas tāvad KDA_91a	na jIvaH brAhmaNaH tAvat KDA_91a
   na jīvo brāhmaṇaḥ khalu KDA_118d	na jIvaH brAhmaNaH Kalu KDA_118d
   na jñānasya pramāṇatā KDA_230d	na jQAnasya pramANatA KDA_230d
   na tasya ko 'py abhūt suhṛt* KDA_31b	na tasya kaH api aBUt suhRt* KDA_31b
   na tāṃ kratusahasreṇa KDA_271c	na tAm kratu-sahasreNa KDA_271c
   natvā caiva kṛtāñjaliḥ KDA_319d	natvA ca-eva kRtAQjaliH KDA_319d
   natvā pādau muner dharmaṃ KDA_309c	natvA pAdO muneH Darmam KDA_309c
   na tv etair hi vinā vipraḥ KDA_210c	na tu etEH hi vinA vipraH KDA_210c
   na dviṣantaḥ kṣayaṃ yānti KDA_371a	na dvizantaH kzayam yAnti KDA_371a
   nananda sasabhājanaḥ KDA_485d	nananda sa-saBAjanaH KDA_485d
   nanandur anumoditāḥ KDA_482d	nananduH anumoditAH KDA_482d
   na naśyanti hi karmāṇi KDA_478c	na naSyanti hi karmANi KDA_478c
   na nidrāṃ na dhṛtiṃ yāti KDA_370c	na nidrAm na DRtim yAti KDA_370c
   na pṛṣṭhenodareṇa vā KDA_156b	na pRzWena-udareNa vA KDA_156b
   na prītisukham aśnute KDA_370b	na prIti-suKam aSnute KDA_370b
   na bhāryā bhaginī yuktā KDA_200c	na BAryA BaginI yuktA KDA_200c
   namas te bhagavan nātha KDA_320c	namaH te Bagavat nATa KDA_320c
   na mukhena na nāsāyā KDA_155c	na muKena na nAsAyAH KDA_155c
   na muditā na copekṣā KDA_442c	na muditA na ca-upekzA KDA_442c
   na yuktā bhaginī bhāryā KDA_248a	na yuktA BaginI BAryA KDA_248a
   narakān narakaṃ gatvā KDA_409c	narakAt narakam gatvA KDA_409c
   narakebhyas tam uddhartuṃ KDA_410c	narakeByaH tam udDartum KDA_410c
   narakeṣu sadā vaset* KDA_410b	narakezu sadA vaset* KDA_410b
   narāṇāṃ kiṃ viśeṣatā KDA_139d	narANAm kim viSeza-tA KDA_139d
   narāṇāṃ tu tathā na hi KDA_146d	narANAm tu taTA na hi KDA_146d
   narāṇāṃ nāsti bhedatā KDA_140d	narANAm na-asti Beda-tA KDA_140d
   nareṣu kiṃ viśeṣatā KDA_133d	narezu kim viSeza-tA KDA_133d
   na viśeṣo 'sti vai tathā KDA_134d	na viSezaH asti vE taTA KDA_134d
   na śarīrapramāṇatā KDA_219b	na SarIra-pramANa-tA KDA_219b
   na śīrṣeṇa na cakṣuṣā KDA_155b	na SIrzeNa na cakzuzA KDA_155b
   na satvā brahmaṇo jātāḥ KDA_201a	na satvAH brahmaNaH jAtAH KDA_201a
   na sarvāṃśair na maithunaiḥ KDA_157b	na sarva-aMSEH na mETunEH KDA_157b
   na saṃrambhakṣobhaḥ prabhavati dayādhīr ahṛdaye KDA_418c	na saMramBa-kzoBaH praBavati dayADIH ahRdaye KDA_418c
   na sādhur duṣṭajantuvat* KDA_54d	na sADuH duzwa-jantuvat* KDA_54d
   na svareṇa na varnena KDA_157a	na svareNa na varnena KDA_157a
   na hanti sarvabhūtāni KDA_253c	na hanti sarva-BUtAni KDA_253c
   na hi brāhmaṇa ākāśān KDA_136a	na hi brAhmaNaH AkASAn KDA_136a
   na hy ātmanaḥ samutkarṣāc KDA_197a	na hi AtmanaH samutkarzAt KDA_197a
   nāgapotaḥ samuddhṛtaḥ KDA_19b	nAgapotaH samudDRtaH KDA_19b
   nāgayonisamutpannas KDA_330c	nAga-yoni-samutpannaH KDA_330c
   nāgayonisamutpanno KDA_475a	nAga-yoni-samutpannaH KDA_475a
   nāgāś ca garuḍā api KDA_364d	nAgAH ca garuxAH api KDA_364d
   nāgāś ca garuḍā yateḥ KDA_449b	nAgAH ca garuxA yateH KDA_449b
   nāgāś ca garuḍāś ca te KDA_451b	nAgAH ca garuxAH ca te KDA_451b
   nāgāś ca garuḍās tathā KDA_366b	nAgAH ca garuxAH taTA KDA_366b
   nāgāḥ saṃtrasitās tataḥ KDA_357b	nAgAH saMtrasitAH tatas KDA_357b
   nāgnibhir dahyate karma KDA_479c	na-agniBiH dahyate karma KDA_479c
   nā jātyā dharmato dvijaḥ KDA_120b	nA jAtyA DarmataH dvijaH KDA_120b
   nādhitya caturo vedān KDA_270c	na-ADitya caturaH vedAn KDA_270c
   nānādeśasamāgataiḥ KDA_7d	nAnA-deSa-samAgatEH KDA_7d
   nāpi svācāramātreṇa KDA_233c	na-api su-AcAra-mAtreNa KDA_233c
   nāmnā bhavatu viśrutaḥ KDA_28d	nAmnA Bavatu viSrutaH KDA_28d
   nāradākhyo mahāmuniḥ KDA_127b	nArada-AKyaH mahA-muniH KDA_127b
   nāsti cendriyasaṃyamaḥ KDA_206b	na-asti ca-indriya-saMyamaH KDA_206b
   nināya jinamandiram* KDA_304d	ninAya jina-mandiram* KDA_304d
   niyukto 'yaṃ dvijottamaḥ KDA_288b	niyuktaH ayam dvijottamaH KDA_288b
   nirapekṣaḥ sutīkṣṇavāk* KDA_80b	nirapekzaH su-tIkzNa-vAk* KDA_80b
   nirapekṣāḥ svadehe 'pi KDA_166a	nirapekzAH sva-dehe api KDA_166a
   nirarthaṃ duḥkhahetave KDA_336d	nirarTam duHKa-hetave KDA_336d
   nirguṇo 'pi praśobhate KDA_422b	nirguNaH api praSoBate KDA_422b
   nirghṛṇo dṛkprabhānalaiḥ KDA_376b	nirGRNaH dRS-praBa-analEH KDA_376b
   nirdayas tāḍayan hanti KDA_383c	nirdayaH tAxayan hanti KDA_383c
   nirdayāḥ satvahiṃsakāḥ KDA_186b	nirdayAH satva-hiMsakAH KDA_186b
   nirdiṣṭaḥ sarvabhikṣūṇām KDA_455c	nirdizwaH sarva-BikzUNAm KDA_455c
   nirdiṣṭo bhavatā yena KDA_457c	nirdizwaH BavatA yena KDA_457c
   nirdiṣṭo 'yaṃ mayā khalu KDA_477b	nirdizwaH ayam mayA Kalu KDA_477b
   nirmadā nirahaṃkārās KDA_49c	nirmadAH nirahaMkArAH KDA_49c
   nirmamā nirahaṃkārā KDA_170c	nirmamA nirahaMkArA KDA_170c
   nirmamo niḥparigrahaḥ KDA_255b	nirmamaH niHparigrahaH KDA_255b
   nirmuktabhavacārakāḥ KDA_170b	nirmukta-Bava-cArakAH KDA_170b
   nirlobhāḥ satyavādinaḥ KDA_49b	nirloBAH satya-vAdinaH KDA_49b
   nirviśeṣo 'bhavad yataḥ KDA_195d	nirviSezaH aBavat yatas KDA_195d
   nirvṛtisukham āpnuyāḥ KDA_298d	nirvRti-suKam ApnuyAH KDA_298d
