   bhāmatī	BAmatI
   yo hi śyeno vṛkṣāgre vastuto 'sti sa ca tataḥ paro 'pyastyeva /	yaH hi SyenaH vRkza agre vastutas asti sa ca tatas paraH api asti eva /
   arvāgbhāgātiriktamapyaparabhāgasthasya tasyaiva vṛkṣātparato 'vasthānāt /	arvAc BAga atiriktam api apara BAga sTasya tasya eva vRkzAt paratas avasTAnAt /
   evaṃ ca bāhyadyubhāgātiriktaśārīrahārdadyubhāgasthasya brahmaṇo bāhyāt	evam ca bAhyadi uBAga atirikta SArIra hArdadyu BAga sTasya brahmaNaH bAhyAt 
   dyubhāgātparato 'vasthānamupapannam /	dyuBAgAt paratas avasTAnam upapannam /
   yadā tu maryādaiva mukhyatayā prādhānyena vivakṣitā tadā	yadA tu maryAdA eva muKya tayA prADAnyena vivakzitA tadA
   lakṣaṇayādhāratvaṃ vyākhyeyam /	lakzaNayA ADAra tvam vyAKyeyam /
   yathā gaṅgāyāṃ ghoṣa ityatra sāmīpyāditi /	yaTA gaFgAyAm GozaH iti atra sAmIpyAt iti /
   tadidamuktam apara āheti /	tat idam uktam  a paraH Aha iti /
   ata eva divaḥ paramapītyuktam //27//	atas eva divaH param api iti uktam //27//
   START BsVBh_1,1.11.28 30	START BsVBh_1,1.11.28 30
   prāṇas tathānugamāt | BBs_1,1.28 |	prANaH taTA anugamAt | BBH _1,1.28 |
   na vaktur ātmopadeśād iti ced adhyātmasaṃbandhabhūmā hy asmin | BBs_1,1.29	na vaktuH Atma upadeSAt iti ced aDyAtma saMbanDa BUmAH hi asmin | BBH _1,1.29
   śāstradṛṣṭyā tūpadeśo vāmadevavat | BBs_1,1.30 |	SAstra dRzwyA tu upadeSaH vAmadeva vat | BBH _1,1.30 |
   prāṇastathānugamāt /	prANaH taTA anugamAt /
   'anekaliṅgasaṃdohe balavatkasya kiṃ bhavet /	aaneka liFga saMdohe balavat kasya kim Bavet /
   liṅgino liṅgamityatra cintyate prāgacintitam //	liFginaH liFgam iti atra cintyate prAc acintitam //
   'mukhyaprāṇajīvadevatābrahmaṇāmanekeṣāṃ liṅgāni bahūni saṃplavante,	amuKya prANa jIva devatA brahmaNAm anekezAm liFgAni bahUni saMplavante,
   tatkatamadatra liṅgaṃ, liṅgābhāsaṃ ca katamadityatra vicāryate /	tat katamat atra liFgaM, liFga ABAsam ca katamat iti atra vicAryate /
   na cāyamarthaḥ 'ata eva prāṇaḥ'ityatra vicāritaḥ /	na ca ayam arTaH aatas eva prANaH aiti atra vicAritaH /
   syādetat /	syAt etat /
   hitatamapuruṣārthasiddhiśca nikhilabhrūṇahatyādipāpāparāmarśaśca	hitatama puruza arTa sidDiH ca niKila BrUNa hatyA Adi pApa aparAmarSaH ca
   prajñātmatvaṃ cānandādiśca na mukhye prāṇe saṃbhavanti /	prajQA Atma tvam ca Ananda AdiH ca na muKye prANe saMBavanti /
   tathā 'eṣa sādhu karma kārayati' 'eṣa lokādhipatiḥ'ityādyapi /	taTA aeza sADu karma kArayati a aeza loka aDipatiH aityAdi api /
   jīve tu prajñātmatvaṃ kathañcidbhaveditareṣāṃ tvasaṃbhavaḥ /	jIve tu prajQA Atma tvam kaTaQcid Bavet itarezAm tu asaMBavaH /
   vaktṛtvaṃ ca vākkaraṇavyāpāravattvaṃ yadyapi paramātmani svarūpeṇa na	vaktR tvam ca vAkkaraNa vyApAravat tvam yadi api paramAtmani svarUpeNa na
   saṃbhavati tathāpyananyathāsiddhabahubrahmaliṅgavirodhaparihārāya	saMBavati taTA api ananyaTA sidDa bahu brahma liFga viroDa parihArAya
   jīvadvāreṇa brahmaṇyeva kathañcidvyākhyeyaṃ jīvasya brahmaṇo 'bhedāt /	jIva dvAreNa brahmaNi eva kaTaQcid vyAKyeyam jIvasya brahmaNaH aBedAt /
   tathāca śrutiḥ 'yadvācānabhyuditaṃ yena vāgabhyudyate /	taTA ca SrutiH  ayat vAcA an aByuditam yena vAc aByudyate /
   tadeva brahma tvaṃ viddhi'iti vāgvadanasya brahma	tat eva brahma tvam vidDi aiti vAc vadanasya brahma
   kāraṇamityāha śarīrādhāraṇamapi yadyapi mukhyaprāṇasyaiva tathāpi	kAraNam iti Aha  SarIra ADAraNam api yadi api muKya prANasya eva taTA api
   prāṇavyāpārasya paramātmāyattatvātparamātmana eva /	prANa vyApArasya paramAtmA Ayatta tvAt paramAtmanaH eva /
   yadyapi cātrendradevatāyā vigrahavatyā liṅgamasti, tathāhi indradhāmagataṃ	yadi api ca atra indra devatAyAH vigrahavatyA liFgam asti, taTA hi indra DAma gatam
   pratardanaṃ pratīndra uvāca, 'māmeva vijānīhi'ityupakramya, 'prāṇo	pratardanam pratIndraH uvAca, amAm eva vijAnIhi aiti upakramya, aprANaH 
   'smiprajñātmā'ityātmani prāṇaśabdamuccacāra /	asmiprajQA AtmA aiti Atmani prANa Sabdam uccacAra /
   prajñātmatvaṃ cāsyopapadyate, devatānāmapratihatajñānaśaktitvāt /	prajQA Atma tvam ca asya upapadyate, devatAnAm a pratihata jQAna Sakti tvAt /
   sāmarthyātiśayāccendrasya hitatamapuruṣārthahetutvamapi /	sAmarTya atiSayAt ca indrasya hitatama puruza arTa hetu tvam api /
   manuṣyādhikāratvācchāstrasya	manuzya aDikAra tvAt SAstrasya
   devānpratyapravṛtterbhrūṇahatyādipāpāparāmarśasyopapatteḥ /	devAn pratyapravRtteH BrUNa hatyA Adi pApa aparAmarSasya upapatteH /
   lokādhipatyaṃ cendrasyalokapālatvāt /	loka ADipatyam ca indrasya lokapAla tvAt /
   ānandādirūpatvaṃ ca svargasyaivānandatvāt /	Ananda Adi rUpa tvam ca svargasya eva Ananda tvAt /
   'ābhūtasaṃplavaṃ sthānamamṛtatvaṃ hi bhāṣyate'iti smṛteścāmṛtatvamindrasya	aABUtasaMplavam sTAnam amRta tvam hi BAzyate aiti smRteH ca amRta tvam indrasya
   'tvāṣṭramahanam'ityādyā ca vigrahavattvena stutistatraivopapadyate /	atvAzwra mahanam aitya AdyA ca vigrahavat tvena stutiH tatra eva upapadyate /
   tathāpi paramapuruṣārthasyāpavargasya parabrahmajñānādanyato 'navāpteḥ,	taTA api parama puruza arTasya apavargasya para brahma jQAnAt anyatas anavApteH,
   paramānandarūpasya mukhyasyāmṛtatvasyājaratvasya ca brahmarūpāvyabhicārāt,	parama Ananda rUpasya muKyasya amRta tvasya ajara tvasya ca brahma rUpa avyaBicAra at,
   adhyātmasaṃbandhabhūmnaśca parācīndre 'nupapatteḥ, indrasya devatāyā	aDyAtma saMbanDa BUmnaH ca parAci indre anupapatteH, indrasya devatAyAH 
   ātmani pratibuddhasya caramadehasya vāmadevasyeva	Atmani pratibudDasya carama dehasya vAmadevasya iva
   prarabdhavipākakarmāśayamātraṃ bhogena kṣapayato brahmaṇa eva	prarabDa vipAka karma ASaya mAtram Bogena kzapayataH brahmaNaH eva
   sarvametatkalpata iti vigrahavadindrajīvaprāṇavāyuparityāgena brahmaivātra	sarvam etat kalpate iti vigraha vat indra jIva prANa vAyu parityAgena brahma eva atra
   prāṇaśabdaṃ pratīyata iti pūrvapakṣābhāvādanārabhyametaditi /	prANa Sabdam pratIyate iti pUrva pakza aBAvAt anAraByam etat iti /
   atrocyate 'yo vai prāṇaḥ sā prajñā yā vā prajñā sa prāṇaḥ saha hyetavasmin	atra ucyate  ayaH vE prANaH sA prajQA yA vA prajQA sa prANaH saha hi etavasmin
   śarīre vasataḥ sahotkrāmataḥ'iti yasyaiva prāṇasya prajñātmana	SarIre vasataH saha utkrAmataH aiti yasya eva prANasya prajQA Atmana
   upāsyatvamuktaṃ tasyaiva prāṇasya prajñātmanā sahotkramaṇamucyate /	upAsya tvam uktam tasya eva prANasya prajQA AtmanA saha utkramaNam ucyate /
   naca brahmaṇyabhede dvivacanaṃ, na sahabhāvaḥ na cotkramaṇam /	na ca brahmaNi aBede dvivacanan, na sahaBAvaH na ca utkramaNam /
   tasmādvāyureva prāṇaḥ /	tasmAt vAyuH eva prANaH /
   jīvaśca prajñātmā /	jIvaH ca prajQA AtmA /
   saha pravṛttinivṛttyā bhaktyaikatvamanayorupacaritaṃ 'yo vai	saha pravRtti nivRttyA BaktyA ekatvam anayoH upacaritam ayaH vE
   prāṇaḥ'ityādinā /	prANaH aityAdinA /
   ānandāmarājarāpahatapāpmatvādayaśca brahmaṇi prāṇe bhaviṣyanti /	Ananda amara ajara apa hata pApma tva AdayaH ca brahmaNi prANe Bavizyanti /
   tasmādyathāyogaṃ traya evātropāsyāḥ /	tasmAt yaTAyogam trayaH eva atra upAsyAH /
   na caiṣa vākyabhedo doṣamāvahati /	na ca eza vAkya BedaH dozam Avahati /
   vākyārthāvagamasya padārthāvagamapūrvakatvāt /	vAkya arTa avagamasya padArTa avagama pUrvaka tvAt /
   padārthānāṃ coktena mārgeṇa svātantryāt /	padArTAnAm ca uktena mArgeNa svAtantryAt /
   tasmādupāsyabhedādupāsātraividhyamiti pūrvaḥ pakṣaḥ /	tasmAt upAsya BedAt upAsAtrEviDyam iti pUrvaH pakzaH /
   siddhāntastu satyaṃ padārthāvagamopāyo vākyārthāvagamaḥ, natu	sidDAntaH tu  satyam padArTa avagama upAyaH vAkya arTa avagamaH, na tu
   padārthāvagamaparāṇyeva padāni, api tvekavākyārthāvagamaparāṇi /	padArTa avagama parANi eva padAni, api tu eka vAkya arTa avagama parANi /
   tameva tvekaṃ vākyārthaṃ padārthāvagamamantareṇa na śaknuvanti	tam eva tu ekam vAkya arTam padArTa avagamam antareNa na Saknuvanti
   kartumityantarā tadarthameva tamapyavagamayanti, tena padāni	kartum iti antarA tad arTam eva tam api avagamayanti, tena padAni
   viśiṣṭaikārthāvabodhanasvarasānyeva	viSizwa eka arTa avaboDana svarasAni eva
   balavadbādhakopanipātānnānārthabodhaparatāṃ nīyante /	balavat bADa kopanipAtAt nAnA arTa boDa para tAm nIyante /
   yathāhuḥ 'saṃbhavatyekavākyatve vākyabhedaśca neṣyate'iti /	yaTA AhuH  asaMBavati eka vAkya tve vAkya BedaH ca na izyate aiti /
   tena yathopāṃśuyājavākye jāmitādoṣopakrame tatpratisamādhānopasaṃhāre	tena yaTA upAMSu yAja vAkye jAmitA doza upakrame tad pratisamADAna upasaMhAre
   caikavākyatvāya 'prajāpatirupāṃśu yaṣṭavyaḥ'ityādayo na pṛthagvidhayaḥ	ca eka vAkya tvAya aprajApatiH upAMSu yazwavyaH aitya AdayaH na pRTagviDayaH
   kintvarthavādā iti nirṇītaṃ, tathehāpi 'māmeva vijānīhi'ityupakramya	kintu arTa vAdAH iti nirNItan, taTA iha api amAm eva vijAnIhi aiti upakramya
   'prāṇo 'smi prajñātmā'ityuktvānte 'sa eṣa prāṇa eva prajñātmānando 'jaro	aprANaH asmi prajQA AtmA aiti uktvA ante asaH eza prANaH eva prajQA Atma AnandaH ajaraH 
   'mṛtaḥ'ityupasaṃhārādbrahmaṇyekavākyatvāvagatau satyāṃ	amRtaH aiti upasaMhArAt brahmaNi eka vAkya tva avagatO satyAm
   jīvamukhyaprāṇaliṅge api tadanuguṇatayā netavye /	jIva muKya prANa liFge api tad anuguNa tayA netavye /
   anyathā vākyabhedaprasaṅgāt /	anyaTA vAkya Beda prasaFgAt /
   yatpunarbhedadarśanaṃ 'saha hyetau'iti, tajjñānakriyāśaktibhedena	yat punar Beda darSanam asaha hi etO aiti, tad jQAna kriyA Sakti Bedena
   buddhiprāṇayoḥ pratyagātmopādhibhūtayornirdeśaḥ	budDi prANayoH pratyagAtma upADi BUtayoH nirdeSaH
   pratyagātmānamevopalakṣayitum /	pratyak AtmAnam eva upalakzayitum /
   ata evopalakṣyasya pratyagātmasvarūpasyābhedamupalakṣaṇaṃ	atas eva upalakzyasya pratyagAtma svarUpasya aBedam upalakzaNam
   bhedenopalakṣayati 'prāṇa eva prajñātmā'iti /	Bedena upalakzayati  aprANaH eva prajQA AtmA aiti /
   'tasmādananyathāsiddhabrahmaliṅgānusārātaḥ /	atasmAt ananyaTA sidDa brahma liFga anusArAtaH /
   ekavākyabalātprāṇajīvaliṅgopapādanam'iti saṃgrahaḥ //28 // //29 // //30//	eka vAkya balAt prANa jIva liFga upapAdanam aiti saMgrahaH //28 // //29 // //30//
   START BsVBh_1,1.11.31	START BsVBh_1,1.11.31
   jīvamukhyaprāṇaliṅgān neti cen nopāsātraividhyādāśritatvād iha tadyogāt |	jIva muKya prANa liFgAt na iti ced na upAsAtra eviDyAt ASrita tvAt iha tad yogAt |
   BBs_1,1.31 |	BBH _1,1.31 |
   na brahmavākyaṃ bhavitumarhatīti /	na brahma vAkyam Bavitum arhati iti /
   naiṣa saṃdarbho brahmavākyameva bhavitumarhatīti, kintu tathāyogaṃ	na eza saMdarBaH brahma vAkyam eva Bavitum arhati iti, kintu taTA ayogam
   kiñcidatra jīvavākyaṃ, kiñcinmukhyaprāṇavākyaṃ,	kiQcid atra jIva vAkyan, kiQcid muKya prANa vAkyaM,
   kiñcidbrahmavākyamityarthaḥ /	kiQcid brahma vAkyam iti arTaH /
   prajñāsādhanaprāṇāntarāśrayatvāditi /	prajQA sADana prANa antara ASraya tvAt iti /
   prāṇāntarāṇīndriyāṇi, tāni hi mukhye prāṇe pratiṣṭhitāni /	prANa antarANi indriyANi, tAni hi muKye prANe pratizWitAni /
   jīvamukhyaprāṇayoranyatara ityupakramamātram /	jIva muKya prANayoH anyataraH iti upakrama mAtram /
   ubhāviti tu pūrvapakṣatattvam /	uBO= iti tu pUrva pakza tattvam /
   brahma tu dhruvam /	brahma tu Druvam /
   na brahmeti /	na brahma iti /
   na brahmaivetyarthaḥ /	na brahma eva iti arTaH /
   daśānāṃ bhūtamātrāṇāmiti /	daSAnAm BUta mAtrANAm iti /
   pañca śabdādayaḥ, pañca pṛthivyādaya iti daśa bhūtamātrāḥ /	paQca Sabda AdayaH, paQca pRTivI AdayaH iti daSa BUtamAtrAH /
   pañca buddhīndriyāṇi pañca buddhasya iti daśa prajñāmātrāḥ /	paQca budDIndriyANi paQca budDasya iti daSa prajQAmAtrAH /
   tadevaṃ svamatena vyākhyāya prācāṃ vṛttikṛtāṃ matena vyācaṣṭe athaveti /	tat evam sva matena vyAKyAya prAcAm vRtti kRtAm matena vyAcazwe aTavA iti /
   pūrvaṃ prāṇasyaikamupāsanamaparaṃ jīvasyāparaṃ brahmaṇa	pUrvam prANasya ekam upAsanam aparam jIvasya aparam brahmaNa
   ityupāsanātraividhyena vākyabhedaprasaṅgo dūṣaṇamuktam /	iti upAsana atrEviDyena vAkya Beda prasaFgaH dUzaNam uktam /
   iha tu brahmaṇa ekasyaivopāsātrayaviśiṣṭasya vidhānānna vākyabheda	iha tu brahmaNaH ekasya eva upAsA traya viSizwasya viDAnAt na vAkya Beda
   ityabhimānaḥ prācāṃ vṛttikṛtām /	iti aBimAnaH prAcAm vRtti kRtAm /
   tadetadālocanīyaṃ kathaṃ na vākyabheda iti /	tat etat AlocanIyam kaTam na vAkya BedaH iti /
   yuktaṃ 'somena yajeta'ityādau somādiguṇaviśiṣṭayāgavidhānaṃ,	yuktam asomena yajeta aityAdO soma Adi guNa viSizwa yAga viDAnaM,
   tadguṇaviśiṣṭasyāpūrvasya karmaṇo 'prāptasya vidhiviṣayatvāt /	tad guNa viSizwasya apUrvasya karmaNaH aprAptasya viDi vizaya tvAt /
   iha tu siddharūpaṃ brahma na vidhiviṣayo bhavitumarhati, abhāvārthatvāt /	iha tu sidDa rUpam brahma na viDi vizayaH Bavitum arhati, aBAva arTa tvAt /
   bhāvārthasya vidhiviṣayatvaniyamāt /	BAva arTasya viDi vizaya tva niyamAt /
   vākyāntarebhyaśca brahmavagateḥ prāptatvāttadanūdyāprāptopāsanā bhāvārtho	vAkya antareByaH ca brahma vagateH prApta tvAt tad anUdyA prApta upAsanAH BAva arTaH 
   vidheyastasya ca bhedādvidhyāvṛttilakṣaṇo vākyabhedo 'tisphuṭa iti	viDeyaH tasya ca BedAt viDya avRtti lakzaNaH vAkya BedaH ati sPuwaH iti
   bhāṣyakṛtā noddhāṭitaḥ, svavyākhyānenaivoktaprayatvāditi sarvaṃvadātam	BAzya kRtA na udDAwitaH, sva vyAKyAnena eva ukta prayatvAt iti sarvaMvadAtam
   iti śrīvācaspatimiśraviracite bhāṣyavibhāge bhāmatyāṃ prathamasyādhyāyasya	iti SrI vAcaspati miSravi racite BAzya viBAge BAmatyAm praTamasya aDyAyasya
   prathamaḥ pādaḥ //1//	praTamaH pAdaH //1//
   iti prathamasyādhyāyasya spaṣṭabrahmaliṅgaśrutisamanvayākhyaḥ prathamaḥ	iti praTamasya aDyAyasya spazwa brahma liFga Sruti samanvaya AKyaH praTamaH
   pādaḥ //	pAdaH //
   prathamādhyāye dvitīyaḥ pādaḥ /	praTama aDyAye dvitIyaH pAdaH /
   START BsVBh_1,2.1.1	START BsVBh_1,2.1.1
   atha dvitīyaṃ pādamāripsuḥ pūrvoktamarthaṃ smārayati	aTa dvitIyam pAdam AripsuH pUrva uktam arTam smArayati
   vakṣyamāṇopayogitayā prathame pāda iti /	vakzyamANa upayogi tayA  praTame pAdaH iti /
   uttaratra hi brahmaṇo vyāpitvanityatvādayaḥ siddhavaddhetutayopadekṣyante	uttaratra hi brahmaNaH vyApi tva nitya tva AdayaH sidDa vat hetu tayA upadekzyante
   na caite sākṣātpūrvamupapāditā iti kathaṃ hetubhāvena na śakyā	na ca ete sAkzAt pUrvam upapAditAH iti kaTam hetu BAvena na SakyA
   upadeṣṭumityata uktam samastajagatkāraṇasyeti /	upadezwum iti atas uktam  samasta jagat kAraNasya iti /
   yadyapyete na pūrvaṃ kaṇṭhata uktāstathāpi brahmaṇo	yadi api ete na pUrvam kaNWataH uktAH taTA api brahmaNaH 
   jagajjanmādikāraṇatvopapadānenādhikaraṇasiddhāntanyāyenopakṣiptā	jagat janma Adi kAraNa tva upapadAnena aDikaraNa sidDAnta nyAyena upakziptA
   ityupapannasteṣāmuttaratra hetubhāvenopanyāsa ityarthaḥ /	iti upapannaH tezAm uttaratra hetu BAvena upanyAsaH iti arTaH /
   arthāntaraprasiddhānāṃ ceti /	arTa antara prasidDAnAm ca iti /
   yatrārthāntaraprasiddhā evākāśaprāṇajyotirādayo brahmaṇi vyākhyāyante,	yatra arTa antara prasidDAH eva AkASa prANa jyotiH AdayaH brahmaNi vyAKyAyante,
   tadavyabhicāriliṅgaśravaṇāt /	tat avyaBicAri liFga SravaNAt /
   tatra kaiva kathā manomayādīnāmarthāntare prasiddhānāṃ padānāṃ	tatra kA eva kaTA manaH maya AdInAm arTa antare prasidDAnAm padAnAm
   brahmagocaratvanirṇayaṃ pratītyabhiprāyaḥ /	brahma gocara tva nirNayam prati iti aBiprAyaH /
   pūrvapakṣābhiprāyaṃ tvagre darśayiṣyāmaḥ /	pUrva pakza aBiprAyam tu agre darSayizyAmaH /
   sarvatra prasiddhopadeśāt | BBs_1,2.1 |	sarvatra prasidDa upadeSAt | BBH _1,2.1 |
   sarvatra prasiddhopadeśāt /	sarvatra prasidDa upadeSAt /
   idamāmnāyate /	idam AmnAyate /
   sarvaṃ khalvidaṃ brahmaḥ /	sarvam Kalu idam brahmaH /
   kutaḥ,tajjalāniti /	kutas ,tat jalAn iti /
   yatastasmādbrahmaṇo jāyata iti tajjaṃ, tasmiṃśca līyata iti tallaṃ,	yatas tasmAt brahmaNaH jAyate iti tad jaM, tasmin= ca lIyate iti tad laM,
   tasmiṃścāniti sthitikāle ceṣṭata iti tadanaṃ jagat tasmātsarvaṃ khalvidaṃ	tasmin= ca aniti sTiti kAle cezwataH iti tat anam jagat tasmAt sarvam Kalu idam
   jagadbrahma /	jagat brahma /
   ataḥ kaḥ kasminrajyate kaśca kaṃ dveṣṭīti	atas kaH kasmin rajyate kaH ca kam dvezwi iti
   rāgadveṣarahitaḥ śāntaḥ sannupāsīta /	rAga dveza rahitaH SAntaH san= upAsIta /
   atha khalu kratumayaḥ puruṣo yathākraturasmiṃlloke puruṣo bhavati tathetaḥ	aTa Kalu kratu mayaH puruzaH yaTAkratuH asmin= loke puruzaH Bavati taTA itas 
   pretya bhavati sa kratuṃ kurvīta manomayaḥ prāṇaśarīra ityādi /	pretya Bavati sa kratum kurvIta manaH mayaH prANa SarIraH ityAdi /
   tatra saṃśayaḥ kimiha manomayatvādibhirdharmaiḥ śārīra	tatra saMSayaH kim iha manaH maya tva AdiBiH DarmEH SArIra
   ātmopāsyatvenopadiśyate āhosvidbrahmeti /	Atma upAsya tvena upadiSyate Ahosvit brahma iti /
   kiṃ tāvatprāptam /	kim tAvat prAptam /
   śārīro jīva iti /	SArIraH jIvaH iti /
   kutaḥ /	kutas /
   'kratum'ityādivākyena vihitāṃ kratubhāvanāmanūdya 'sarvam'ityādivākyaṃ	akratum aityAdi vAkyena vihitAm kratu BAva nAmanUdya asarvam aitya Adi vAkyam
   śamaguṇe vidhiḥ /	Sama guNe viDiH /
   tathā ca 'sarvaṃ khalvidaṃ brahma'iti vākyaṃ	taTA ca asarvam Kalu idam brahma aiti vAkyam
   prathamapaṭhitamapyarthālocanayā parameva, tadarthopajīvitvāt /	praTama paWitam api arTa AlocanayA param eva, tad arTa upajIvi tvAt /
   evaṃ ca saṃkalpavidhiḥ prathamo nirviṣayaḥ sannaparyavasyanviṣayāpekṣaḥ	evam ca saMkalpa viDiH praTamaH nirvizayaH sanna paryavasyan vizaya apekzaH
   svayamanirvṛtto na vidhyantareṇopajīvituṃ śakyaḥ, anupapadākatvāt /	sva yamanirvRttaH na viDi antareNa upajIvitum SakyaH, anupapadAka tvAt /
   tasmācchāntatāguṇavidhānātpūrvameva 'manomayaḥ	tasmAt SAntatA guNa viDAnAt pUrvam eva amanaH mayaH
   prāṇaśarīraḥ'ityādibhirviṣayopanāyakaiḥ saṃbadhyate /	prANa SarIraH aityAdiBiH vizaya upanAyakEH saMbaDyate /
   manomayatvādi ca kāryakāraṇasaṃghātātmano jīvātmana eva nirūḍhamiti	manaH maya tva Adi ca kArya kAraNa saMGAta AtmanaH jIva AtmanaH eva nirUXam iti
   jīvātmanopāsyenoparaktopāsanā na paścāt brahmaṇā saṃbaddhumarhati,	jIvAtmanA upAsyena uparakta upAsanA na paScAt brahmaNA saMbadDum arhati,
   utpattiśiṣṭaguṇāvarodhāt /	utpatti Sizwa guNa avaroDAt /
   naca 'sarvaṃ khalvidam'iti vākyaṃ brahmaparamapi tu	na ca asarvam Kalu idam aiti vAkyam brahma param api tu
   śamahetuvannigadārthavādaḥ śāntatāvidhiparaḥ, 'śūrpeṇa juhoti' 'tena	Sama hetu vat nigadArTa vAdaH SAnta tA viDi paraH, aSUrpeNa juhoti a atena
   hyannaṃ kriyate'itivat /	hi annam kriyate aiti vat /
   na cānyaparādapi brahmāpekṣitatayā svīkriyata iti yuktaṃ,	na ca anya parAt api brahma apekzita tayA svIkriyate iti yuktaM,
   manomayatvādibhirdharmairjīve	manaH maya tva AdiBiH DarmEH jIve
   suprasiddhairjīvaviṣayasamarpaṇenānapekṣitatvāt /	su prasidDEH jIva vizaya samarpaNena anapekzita tvAt /
   sarvakarmatvādi tu jīvasya paryāyeṇa bhaviṣyati /	sarva karma tva Adi tu jIvasya paryAyeNa Bavizyati /
   evaṃ cāṇīyastvamapyupapannam /	evam ca aNIyaH tvam api upapannam /
   paramātmanastvaparimeyasya tadanupapattiḥ /	paramAtmanaH tu aparimeyasya tad anupapattiH /
   prathamāvagatena cāṇīyastvena jyāyastvaṃ tadanuguṇatayā vyākhyeyam /	praTama avagatena ca aNIyaH tvena jyAyaH tvam tad anuguNa tayA vyAKyeyam /
   vyākhyāṃ ca bhāṣyakṛtā /	vyAKyAm ca BAzya kRtA /
   evaṃ karmakartṛvyapadeśaḥ saptamīpraṇamāntatā cābhede 'pi jīvātmani	evam karma kartR vyapadeSaH saptamI praNama anta tA ca aBede api jIvAtmani
   kathañcidbhedopacāreṇa rāhoḥ śira itivaddraṣṭavyā /	kaTaQcid Beda upacAreNa rAhoH SiraH itivat drazwavyA /
   'etadbrahma'iti ca jīvaviṣayaṃ, jīvasyāpi dehādibṛṃhaṇatvena brahmātvāt /	aetat brahma aiti ca jIva vizayan, jIvasya api deha Adi bRMhaNa tvena brahmA tvAt /
   evaṃ satyasaṃkalpatvādayo 'pi paramātmavartino jīve 'pi saṃbhavanti,	evam satya saMkalpa tva AdayaH api paramAtma vartinaH jIve api saMBavanti,
   tadavyatirekāt /	tat avyatirekAt /
   tasmājjīva evopāsyatvenātra vivakṣitaḥ, na paramātmeti prāptam /	tasmAt jIvaH eva upAsya tvena atra vivakzitaH, na paramAtmA iti prAptam /
   evaṃ prāpte 'bhidhīyate 'samāsaḥ sarvanāmārthaḥ saṃnikṛṣṭamapekṣate /	evam prApte aBiDIyate  asamAsaH sarva nAma arTaH saMnikRzwam apekzate /
   taddhitārtho 'pi sāmānyaṃ nāpekṣāyā nivartakaḥ //	tad Dita arTaH api sAmAnyam na apekzAyAH nivartakaH //
   tasmādapekṣitaṃ brahma grāhyamanyaparādapi /	tasmAt apekzitam brahma grAhyam anya parAt api /
   tathā ca satyasaṃkalpaprabhṛtīnāṃ yathārthatā //	taTA ca satya saMkalpa praBRtInAm yaTArTa tA //
   'bhavedetadevaṃ yadi prāṇaśarīra ityadīnāṃ sākṣājjīvavācakatvaṃ bhavet /	aBavet etat evam yadi prANa SarIraH iti adInAm sAkzAt jIva vAcaka tvam Bavet /
   na tvetadasti /	na tu etat asti /
   tathā hi prāṇaḥ śarīramasyeti sarvanāmārtho bahuvrīhiḥ saṃnihitaṃ ca	taTA hi prANaH SarIram asya iti sarva nAma arTaH bahuvrIhiH saMnihitam ca
   sarvanāmārthaṃ saṃprāpya tadabhidhānaṃ paryavasyet /	sarva nAma arTam saMprApya tad aBiDAnam paryavasyet /
   tatra manomayapadaṃ paryamasitābhidhānaṃ tadabhidhānaparyavasānāyālaṃ,	tatra manaH maya padam paryamasita aBiDAnam tad aBiDAna paryavasAnAya AlaM,
   tadeva tu manovikāro vā manaḥpracuraṃ vā kimarthamityadyāpi na vijñāyate /	tat eva tu manaH vikAraH vA manaH pracuram vA kimarTam iti adya api na vijQAyate /
   tadyatraiṣa śabdaḥ samavetārtho bhavati sa samāsārthaḥ /	tat yatra eza SabdaH samaveta arTaH Bavati sa samAsArTaH /
   na caiṣa jīva eva samavetārtho na brahmaṇīti, tasya 'aprāṇo	na ca eza jIvaH eva samaveta arTaH na brahmaNi iti, tasya aaprANaH 
   hyamanāḥ'ityādibhistadvirahapratipādanāditi yuktam, tasyāpi	hi amanAH aitya AdiBiH tad viraha pratipAdanAt iti yuktam, tasya api
   sarvavikārakāraṇatayā, vikārāṇāṃ ca svakāraṇādabhedātteṣāṃ ca manomayatayā	sarva vikAra kAraNa tayA, vikArANAm ca sva kAraNAt aBedAt tezAm ca manaH maya tayA
   brahmaṇastatkāraṇasya manomayatvopapatteḥ /	brahmaNaH tad kAraNasya manaH maya tva upapatteH /
   syādetat /	syAt etat /
   jīvasya sākṣānmanomayatvādayaḥ, brahmaṇastu taddvārā /	jIvasya sAkzAt manaH maya tva AdayaH, brahmaNaH tu tad dvArA /
   tatra prathamaṃ dvārasya buddhisthatvāttadevopāsyamastu, na punarjaghanyaṃ	tatra praTamam dvArasya budDi sTa tvAt tat eva upAsyam astu, na punar jaGanyam
   brahma /	brahma /
   brahmaliṅgāni ca jīvasya brahmaṇo 'bhedājjīve 'pyupapatsyante /	brahma liFgAni ca jIvasya brahmaNaH aBedAt jIve api upapatsyante /
   tadetadatra saṃpradhāryam kiṃ brahmaliṅgairjīvānāṃ tadabhinnānāmastu	tat etat atra saMpraDAryam  kim brahma liFgEH jIvAnAm tad aBinnAnAm astu
   tadvattā, tathāca jīvasya manomayatvādibhiḥ	tadvat tA, taTA ca jIvasya manaH maya tva AdiBiH
