   %p. 58	%p. 58
   pūrvāparībhūtatvena |	pUrva-aparIBUta-tvena |
   tad yathā kiṃ kartavyaṃ? paktavyam, kathaṃkāraṃ juhoti? abhikrāmam, kiṃ	tat yaTA kim kartavyan? paktavyam, kaTaMkAram juhoti? aBikrAmam, kim
   kṛtvā juhoti? abhiṣutya, kiṃ kṛtavān? pakvavān, kiṃ	kRtvA juhoti? aBizutya, kim kRtavAn? pakvavAn, kim
   %p. 79	%p. 79
   kṛtam? pakvaṃ, kiṃkriyo devadattaḥ? paktā, keyaṃ kriyā? pākaḥ iti |	kRtam? pakvaM, kiMkriyaH devadattaH? paktA, kA-iyam kriyA? pAkaH iti |
   na ca karotisāmānādhikaraṇyātiriktam ākhyāteṣv api bhāvanāpramāṇaṃ vidyate	na ca karoti-sAmAnA-aDikaraNyA-atiriktam AKyAtezu api BAvanA-pramANam vidyate
   tasmād dhātavo 'pi bhāvanāṃ na muñcanti |	tasmAt DAtavaH api BAvanAm na muQcanti |
   tathā cāhuḥ karotir artheṣv iva sarvadhātūn iti |	taTA ca-AhuH karotiH arTezu iva sarva-DAtUn iti |
   yat tv asyāḥ prādhānyaṃ tat kāmaṃ tiṅābhidheyaṃ dyotyaṃ	yat tu asyAH prADAnyam tat kAmam tiFA-aBiDeyam dyotyam
   vānvayavyatirekābhyām astu, na svarūpam |	vA-anvaya-vyatirekAByAm astu, na sva-rUpam |
   nanv evam api yāgena iti dhātvarthe niṣkṛṣṭe tenaiva bhāvanāpy upātteti	nanu evam api yAgena iti DAtu-arTe nizkRzwe tena-eva BAvanA-api upAtta-iti
   bhāvayet iti punaḥ prayogo na prāpnoti |	BAvayet iti punar prayogaH na prApnoti |
   naiṣa doṣaḥ |	na-eza dozaH |
   tathā hi dvyarthasya dhātor bhedenārthe kathyamāne yāgena iti viśeṣarūpaṃ	taTA hi dvi-arTasya DAtoH Bedena-arTe kaTyamAne yAgena iti viSeza-rUpam
   karaṇātmanā niṣkṛṣṭam |	karaNa-AtmanA nizkRzwam |
   itarat tu bhāvanātmakaṃ sāmānyarūpaṃ śabdāntareṇa bhāvayet ity anena	itarat tu BAvanA-Atmakam sAmAnya-rUpam Sabda-antareNa BAvayet iti anena
   kathyate |	kaTyate |
   atha vā kecit karaṇāṃśakartṛsaṃkhyādayaḥ prakṛtipratyayayor bhedena vācyāḥ	aTa vA kecid karaNa-aMSa-kartR-saMKyA-AdayaH prakRti-pratyayayoH Bedena vAcyAH
   bhāvanā tu samudāyāvyabhicārāt samucitayor evārtha ity api śakyaṃ vaktum |	BAvanA tu samudAya-avi-aBicArAt samucitayoH eva-arTaH iti api Sakyam vaktum |
   tathā ca sūtrakārabhāṣyakārābhyāṃ bhāvārthāḥ karmaśabdāḥ iti	taTA ca sUtrakAra-BAzya-kArAByAm BAva-arTAH karma-SabdAH iti
   sāmānādhikaraṇyam evāśritam, na bhāvārthatvena pratyayāḥ kathitāḥ |	sAmAnADikaraNyam eva-ASritam, na BAva-arTa-tvena pratyayAH kaTitAH |
   śāstre tu sarvatra pratyayārtho bhāvaneti vyavahāraḥ |	SAstre tu sarvatra pratyaya-arTaH BAvanA-iti vyavahAraH |
   tatrāyam abhiprāyaḥ |	tatra-ayam aBiprAyaH |
   %p. 80	%p. 80
   pratyayārthaṃ saha brūtaḥ prakṛtipratyayau sadā /	pratyaya-arTam saha brUtaH prakRti-pratyayO sadA /
   prādhānyād bhāvanā tena pratyayārtho 'vadhāryate // 27 //	prADAnyAt BAvanA tena pratyaya-arTaH avaDAryate // 27 //
   yady apy anyad vivekakāraṇaṃ nāsti, tathāpi prādhānyaṃ pratyayārthadharmaṃ	yadi api anyat viveka-kAraNam nAsti, taTA-api prADAnyam pratyaya-arTa-Darmam
   dṛṣṭvā nūnam iyaṃ pratyayārthaḥ ity avagamyate |	dRzwvA nUnam iyam pratyaya-arTaH iti avagamyate |
   tathā kramavator nityaṃ prakṛtipratyayāśayoḥ /	taTA kramavatoH nityam prakRti-pratyaya-ASayoH /
   pratyayaśrutivelāyāṃ bhāvanātmāvagamyate // 28 //	pratyaya-Sruti-velAyAm BAvanA-AtmA-avagamyate // 28 //
   na kevalam etāv evānvayavyatirekau yau parasparaparityāgena lakṣyete |	na kevalam etO eva-anvaya-vyatirekO yO paraspara-parityAgena lakzyete |
   tasminn eva hi pade tadāgame hi tad dṛśyate ity anena nyāyena viveko	tasmin eva hi pade tad-Agame hi tat dRSyate iti anena nyAyena vivekaH-
   'vadhāryate |	avaDAryate |
   yat tv astyādiparaḥ pratyayo 'pi bhāvanāṃ jahātīti tulyaṃ	yat tu asti-Adi-paraH pratyayaH api BAvanAm jahAti-iti tulyam
   dhātusamudāyapakṣayor apy etat |	DAtu-samudAya-pakzayoH api etat |
   sarvathā yatra pratīyate, tatra tāvat pratyayārthatvaṃ niścīyate |	sarvaTA yatra pratIyate, tatra tAvat pratyaya-arTa-tvam niScIyate |
   anyatra tv ayaṃ vicāra eva nāsti |	anyatra tu ayam vicAraH eva na-asti |
   kvacid vyabhicārasya cottaram uktaṃ tadbhūtādhikaraṇe |	kvacid vyaBicArasya ca-uttaram uktam tad-BUta-aDikaraNe |
   atha vā naivātrāpi vyabhicāraḥ |	aTa vA na-eva-atra-api vyaBicAraH |
   kutaḥ |	kutas |
   astyādāv api kartraṃśe bhāvye 'sty eva hi bhāvanā /	asti-AdO api kartR-aMSe BAvye asti eva hi BAvanA /
   %p. 81	%p. 81
   anyatrāśeṣabhāvāt tu na tathā sā prakāśate // 29 //	anyatra-aSeza-BAvAt tu na taTA sA prakASate // 29 //
   yady api kartur aniṣpannatvād vyatiriktabhāvayitavyābhāvād astyādiṣu	yadi api kartuH anizpanna-tvAt vyatirikta-BAvayitavya-aBAvAt asti-Adizu
   prayojakavyāpāro nātīva lakṣyate, tathāpi pratyayasāmarthyāt tāvat	prayojaka-vyApAraH na-atIva lakzyate, taTA-api pratyaya-sAmarTyAt tAvat-
   bhāvayati ity avagamyate |	BAvayati iti avagamyate |
   kim? ity apekṣite cāniṣpanne kartari anyat kiṃcit ity akalpanād ātmānam	kim? iti apekzite ca-anizpanne kartari anyat kiMcid iti akalpanAt AtmAnam
   ity eva saṃbadhayte |	iti eva saMbaDayte |
   kena? bhāvanena, katham? avayavajananādirpakāreṇa iti |	kena? BAvanena, kaTam? avayava-jana-na-AdiH-pakAreNa iti |
   trayo 'pi tatra bhāvanāṃśā bhavanenaiva pūryante. vyāpārāntarāsaṃbhavāt |	trayaH api tatra BAvanA-aMSAH Bavanena-eva pUryante. vyApAra-antara-asaMBavAt |
   tatra kecid avayavā bhavanavyāprtāḥ prayujyante, kecit siddhabhavanāḥ	tatra kecid avayavAH Bavana-vyAprtAH prayujyante, kecid sidDa-BavanAH
   prayojakāḥ |	prayojakAH |
   siddhabhavanāsiddhabhavanavarti ca sāmānyam ubhayasaṃparkād bhāvanety	sidDa-Bavana-asidDa-Bavana-varti ca sAmAnyam uBaya-saMparkAt BAvanA-iti-
   ucyate |	ucyate |
   etena jāyate niṣpadyate sidhyati ityādīni vyākhyātāni |	etena jAyate nizpadyate siDyati ityAdIni vyAKyAtAni |
   astiḥ punar janisamānārthād bhavater uparitanīm avasthām abhilapan	astiH punar jani-samAna-arTAt BavateH uparitanIm avasTAm aBilapan
   sattayātmabhavanaṃ bhavad bhāvayatīty evam ākhyātapratyayaṃ labhate |	sattayA-Atma-Bavanam Bavat BAvayati-iti evam AKyAta-pratyayam laBate |
   tatrāpi tu kālakṛtabhedapūrvottarasāmānyasattārūpeṇa pūrvavad eva	tatra-api tu kAla-kRta-Beda-pUrva-uttara-sAmAnya-sattA-rUpeNa pUrvavat eva
   prayojyaprayojakavyāpārakalpanānusartavyā |	prayojya-prayojaka-vyApAra-kalpanA-anusartavyA |
   satyām api tv evamādiṣu bhāvanāyāṃ niṣpannacetanakartṛviṣayatvād	satyAm api tu evamAdizu BAvanAyAm nizpanna-cetana-kartR-vizaya-tvAt-
   vidhipratiṣedhayor asaṃbhavaḥ |	viDi-pratizeDayoH asaMBavaH |
   syād etat |	syAt etat |
   dṛṣṭo vidhir api tasmāt prāyaṇīyasyāhna ṛtvijā bhavi-	dRzwaH viDiH api tasmAt prAyaNIyasya-ahnaH RtvijA Bavi-
   %p. 82	%p. 82
   tavyam, rathaṃtaraṃ bhavati, atrādhvaryuḥ syāt, ihokthyāni syuḥ iti |	tavyam, raTaMtaram Bavati, atra-aDvaryuH syAt, iha-ukTyAni syuH iti |
   satyaṃ dṛśyate, na tv iha pūrveṇa tulyo bhavatyarthaḥ |	satyam dRSyate, na tu iha pUrveNa tulyaH Bavati-arTaH |
   siddho hi puruṣaḥ karmasaṃbandhanimittam ṛtviktvaṃ bhavad anyair eva	sidDaH hi puruzaH karma-saMbanDa-nimittam Rtvij-tvam Bavat anyEH eva
   parikrayaṇādibhir vyāpārair bhāvayed ity ucyate |	parikrayaNa-AdiBiH vyApArEH BAvayet iti ucyate |
   tathā rathaṃtarādiṣu saty api śrutyā bhavanavidhisaṃbandhe tatrāsaṃbhavād	taTA raTaMtara-Adizu sati api SrutyA Bavana-viDi-saMbanDe tatra-asaMBavAt-
   anumīyamānā bhāvanaiva vidhīyate |	anumIyamAnA BAvanA-eva viDIyate |
   yatra tu ihāmuko bhavet iti prayogas tatra bhavates tiṣṭhatyarthavācitvāt	yatra tu iha-amukaH Bavet iti prayogaH tatra BavateH tizWati-arTa-vAci-tvAt
   saṃbhavaty eva vyatiriktaṃ bhāvayitavyam ity evaṃ vijñāyate sthānenānyat	saMBavati eva vyatiriktam BAvayitavyam iti evam vijQAyate sTAnena-anyat-
   kiṃcid bhāvayet iti |	kiMcid BAvayet iti |
   tena bhūtabhaviṣyadvartamānāpadeśamātreṣv evāpāramārthikaṃ	tena BUta-Bavizyat-vartamAna-apadeSa-mAtrezu eva-apAramArTikam
   bhavitṛvyāpārasya bhāvanātvam, na vidhyādiṣu |	BavitRvyApArasya BAvanA-tvam, na viDi-Adizu |
   bhūtādikathane 'pi yadā samastaṃ vyāpāraṃ dhātur evopādatte	BUta-Adi-kaTane api yadA samastam vyApAram DAtuH eva-upAdatte
   nāvayavakālādikṛtabhedāśrayaṇam, tadā vispaṣṭād virodhād dhātvarthamātram	na-avayava-kAla-Adi-kRta-Beda-ASrayaNam, tadA vispazwAt viroDAt DAtu-arTa-mAtram
   kartṛsaṃkhyādayaś cākhyātapadārthatvenāvadhāryante, na bhāvanā |	kartR-saMKyA-AdayaH ca-AKyAta-padArTa-tvena-avaDAryante, na BAvanA |
   na ca bhāvanāvyabhicāreṇa doṣa ity uktam |	na ca BAvanA-vyaBicAreNa dozaH iti uktam |
   yat tu kṛdanteṣv api dhātavo bhāvanāṃ na vyabhicarantīti |	yat tu kRdantezu api DAtavaH BAvanAm na vyaBicaranti-iti |
   satyaṃ dhātvarthā na vyabhicaranti |	satyam DAtu-arTAH na vyaBicaranti |
   tair eva tu gamyamānatvād anabhidheyatvam api śakyaṃ vaktum |	tEH eva tu gamyamAna-tvAt anaBiDeya-tvam api Sakyam vaktum |
   tathā hi	taTA hi
   dhātvarthakārakair eva guṇabhūto 'vagamyate /	DAtu-arTa-kArakEH eva guNa-BUtaH avagamyate /
   %p. 83	%p. 83
   bhāvanātmā kṛdanteṣu tasmān naivābhidhīyate // 30 //	BAvanA-AtmA kRdantezu tasmAt na-eva-aBiDIyate // 30 //
   yathaiva bhāvapradhānatvād ākhyāte tatsambandhād eva	yaTA-eva BAva-praDAna-tvAt AKyAte tad-sambanDAt eva
   guṇabhūtakārakarpratītishiddher na kartṛkarmaṇor abhidhānaṃ bhaviṣyati,	guNa-BUta-kAra-karpratIti-shidDeH na kartR-karmaNoH aBiDAnam Bavizyati,
   evaṃ kartrādyabhidhānād eva tadanyathānupapattyā bhāvanāsiddher	evam kartR-Adi-aBiDAnAt eva tat-anyaTA-anupapattyA BAvanA-sidDeH-
   anabhidhānam |	anaBiDAnam |
   gamyamānāpekṣayaiva ca karotisāmānādhikaraṇyam, yathā pacatiśabdasya	gamyamAna-apekzayA-eva ca karoti-sAmAnADikaraNyam, yaTA pacati-Sabdasya
   devadattaśabdena |	devadatta-Sabdena |
   tathābhūtayaiva ca kārakasambandho 'py upapatsyate |	taTABUtayA-eva ca kAraka-sambanDaH api upapatsyate |
   atha vā bhāvanopasarjanadhātvarthaniṣpattyarthatvāt kārakāṇāṃ	aTa vA BAvanA-upasarjana-DAtu-arTa-nizpatti-arTa-tvAt kArakANAm
   dhātvarthenaiva saṃbandhasiddhiḥ |	DAtu-arTena-eva saMbanDa-sidDiH |
   sa eva hi tāni svasiddhyartham apekṣate |	saH eva hi tAni sva-sidDi-arTam apekzate |
   bhāvanāpi ca tathābhūtāny eva tāni gṛhṇātīty aviruddhaḥ sambandhaḥ |	BAvanA-api ca taTABUtAni eva tAni gRhNAti-iti avirudDaH sambanDaH |
   kṛtyānāṃ tu praiṣavācitvāt saty api bhāvanānabhidhāne tāvat	kRtyAnAm tu prEza-vAci-tvAt sati api BAvanA-anaBiDAne tAvat-
   svārthaparyavasānaṃ nāsti yāvad aṃśatrayaparipūrṇā bhāvanā na labdhā |	sva-arTa-paryavasAnam na-asti yAvat aMSa-traya-paripUrNA BAvanA na labDA |
   kutaḥ |	kutas |
   svavyāpāre hi puruṣaḥ kartṛtvena niyujyate /	sva-vyApAre hi puruzaH kartR-tvena niyujyate /
   praiṣais tasya ca kiṃ karma bhāvanāṃśatrayātmikā // 31 //	prEzEH tasya ca kim karma BAvanA-aMSa-traya-AtmikA // 31 //
   na hi puruṣaḥ svavyāpāraṃ muktvānyad anuṣṭhātuṃ śaktaḥ |	na hi puruzaH sva-vyApAram muktvA-anyat anuzWAtum SaktaH |
   praiṣāś cainam anuṣṭhāpayanti |	prEzAH ca-enam anuzWApayanti |
   te yadi tadvyāpāraṃ kathaṃcin nopādadyuḥ, na niyokutṃ śaknuyur ity evam	te yadi tat-vyApAram kaTaMcid na-upAdadyuH, na niyokutm SaknuyuH iti evam
   api bhāvanākṣepasiddhiḥ |	api BAvanA-Akzepa-sidDiH |
   yāvāṃś ca brāhmaṇagataḥ praiṣaḥ sa sarvaḥ prāptyabhāvād vidhir eva	yAvAn ca brAhmaNa-gataH prEzaH sa sarvaH prApti-aBAvAt viDiH eva
   bhavatīti vināpi smaraṇena	Bavati-iti vinA-api smaraNena
   % p. 84	% p. 84
   kṛtyānāṃ vidhāyaktvam |	kRtyAnAm viDAyaktvam |
   ayam eva ca vidhipraiṣayor viśeṣaḥ |	ayam eva ca viDi-prEzayoH viSezaH |
   pravartanasmṛtiḥ prāpte praiṣa ity abhidhīyate /	pravartana-smRtiH prApte prEzaH iti aBiDIyate /
   aprāptapraiṣaṇaṃ sarvaṃ vidhitvaṃ pratipadyate // 32 //	aprApta-prEzaNam sarvam viDi-tvam pratipadyate // 32 //
   tasmāt pratyayārtho bhāvanety upapannam |	tasmAt pratyaya-arTaH BAvanA-iti upapannam |
   %p. 85	%p. 85
   nanu ca yadi prayojakavyāpāro bhāvaneṣyate, tataḥ pacāv adhiśrayaṇādīni,	nanu ca yadi prayojaka-vyApAraH BAvanA-izyate, tatas pacO aDiSrayaNa-AdIni,
   yajau ca mānasaḥ saṃkalpa ityādīnāṃ bhāvanātvam, ta eva ca dhātvarthā iti	yajO ca mAnasaH saMkalpaH ityAdInAm BAvanA-tvam, te eva ca DAtu-arTAH iti
   dhātuvācyaiva bhāvanā syāt |	DAtu-vAcyA-eva BAvanA syAt |
   naiṣa doṣaḥ |	na-eza dozaH |
   dhātvarthavyatirekeṇa yady apy eṣā na lakṣyate /	DAtu-arTa-vyatirekeNa yadi api ezA na lakzyate /
   tathāpi sarvasāmānyarūpeṇānyāvagamyate // 33 //	taTA-api sarva-sAmAnya-rUpeNa-anya-avagamyate // 33 //
   sarvatra hy adhiśrayaṇādau karotīty api sāmānyavyāpārāṃśaḥ pratīyate |	sarvatra hi aDiSrayaNa-AdO karoti-iti api sAmAnya-vyApAra-aMSaH pratIyate |
   pacatyādivācyā viklittyadhiśrayaṇādayaḥ karmasthāḥ kartṛsthāś ca |	pacati-Adi-vAcyAH viklitti-aDiSrayaNa-AdayaH karma-sTAH kartR-sTAH ca |
   tatra yadaudāsīnyapracyutimātreṇa parispandarūpaṃ nirūpyate sā bhāvanā |	tatra yadA-OdAsIni-apracyuti-mAtreNa parispanda-rUpam nirUpyate sA BAvanA |
   ye tu tadanurañjanasamarthāḥ kartṛkarmagatā viśeṣās te tasyā eva	ye tu tad-anuraQjana-samarTAH kartR-karma-gatAH viSezAH te tasyAH eva
   karaṇetikartavyatāṃśayor niviśante |	karaNa-iti-kartavyatA-aMSayoH niviSante |
   evaṃ tarhi dhātvarthasāmānyaṃ bhāvanety etad āpannam |	evam tarhi DAtu-arTa-sAmAnyam BAvanA-iti etat Apannam |
   satyaṃ sādhyatayā sāmānyam, na tu gotvādirūpeṇa |	satyam sADya-tayA sAmAnyam, na tu go-tva-Adi-rUpeNa |
   katham |	kaTam |
   anyad eva hi yāgādau sāmānyaṃ karaṇātmakam /	anyat eva hi yAga-AdO sAmAnyam karaNa-Atmakam /
   anyac ca bhāvanā nāma sādhyatvena vyavasthitam // 34 //	anyat ca BAvanA nAma sADya-tvena vyavasTitam // 34 //
   bhāvanāyāṃ hi svayam eva pratipuruṣaṃ sāmānyaviśeṣau bhavataḥ |	BAvanAyAm hi svayam eva prati-puruzam sAmAnya-viSezO BavataH |
   tathā tatkaraṇabhūte yāgādau samavetaṃ bhāvanākaraṇāṃśāpekṣitaṃ	taTA tad-karaNa-BUte yAga-AdO samavetam BAvanA-karaNa-aMSa-apekzitam
   dhātvarthasāmānyaṃ nāma yat karmaśabdenābhi-	DAtvarTasAmAnyam nAma yat karma-Sabdena-aBi-
   %p. 86	%p. 86
   dhīyate |	DIyate |
   viśeṣaṇabhāvāc ca yāgādayo bhāvanāviśeṣā ity ucyante, na tadvyaktitvena |	viSezaNa-BAvAt ca yAga-AdayaH BAvanA-viSezAH iti ucyante, na tad-vyakti-tvena |
   śāstrapradeśe tu kriyākarmaśabdau kadācid dhātvarthe prayjyete, kadācid	SAstra-pradeSe tu kriyA-karma-SabdO kadAcid DAtu-arTe prayjyete, kadAcid-
   bhāvanāyām, kadācit tu pratyāsattyobhayatrāpi prayogaḥ, na	BAvanA-AyAm, kadAcid tu pratyAsattyaH-Bayatra-api prayogaH, na
   svarūpābhidhānena |	svarUpa-aBiDAnena |
   kutaḥ |	kutas |
   yādṛśī bhāvanākhyāte dhātvarthaś cāpi yādṛśaḥ /	yAdRSI BAvanA-AKyAte DAtu-arTaH ca-api yAdRSaH /
   nāsau tenaiva rūpeṇa kathyate 'nyaiḥ padaiḥ kvacit // 35 //	na-asO tena-eva rUpeNa kaTyate anyEH padEH kvacid // 35 //
   bhāvanāśabdo hi niṣpannātmikāṃ sattvarūpāpannāṃ liṅgasaṃkhyāyoginīm	BAvanA-SabdaH hi nizpanna-AtmikAm sattva-rUpa-ApannAm liFga-saMKyA-yoginIm
   abhidhatte |	aBiDatte |
   na cāsāv ākhyāte tādṛśy abhidhīyate |	na ca-asO AKyAte tAdRSI aBiDIyate |
   liṅgasaṃkhyārahitarūpeṇa gamyamānatvāt |	liFga-saMKyA-rahita-rUpeNa gamyamAna-tvAt |
   evaṃ dhātvartho 'pi veditavyaḥ |	evam DAtvarTaH api veditavyaH |
   tathā karoti bhāvayati ity etābhyām api śrutyā tāvad anyādṛg evārthaḥ	taTA karoti BAvayati iti etAByAm api SrutyA tAvat anyAdRS eva-arTaH
   pratīyate kṛñbhāvayatyarthakaraṇikā bhāvanā |	pratIyate kRQBa-avayati-arTa-karaNikA BAvanA |
   na caivaṃrūpāsau yajeta ityādiṣv astīty aparyāyatvam |	na ca-evaMrUpA-asO yajeta iti-Adizu asti-iti aparyAya-tvam |
   tatrānantarapratyayotthāpitabhāvanāntarabuddhim avivakṣitvārthasaṃvādaḥ	tatra-anantara-pratyaya-utTApita-BAvanA-antara-budDim avivakzitvA-arTa-saMvAdaH
   kartavyaḥ |	kartavyaH |
   tenādūraviprakaraṣamātreṇaiṣa prayogaḥ, nārthasāmyena---ity avasthitam	tena-adUra-viprakaraza-mAtreNa-eza prayogaH, na-arTa-sAmyena---iti avasTitam
   ananyaśabdavācyatvaṃ bhāvanāyāḥ |	ananya-Sabda-vAcya-tvam BAvanAyAH |
   %p. 87	%p. 87
   sā tu pratītamātraiva prādhānyād apekṣāntarānadhīnatvāc ca prathamaṃ tāvat	sA tu pratIta-mAtrA-eva prADAnyAt apekza-antara-anaDIna-tvAt ca praTamam tAvat-
   sādhyāṃśam apekṣate bhāvayet kim? iti |	sADya-aMSam apekzate BAvayet kim? iti |
   tatra yāvatī vidhyupetā bhāvanā tasyāṃ pūrvapratītam api vidhitvaṃ tāvan	tatra yAvatI viDi-upetA BAvanA tasyAm pUrva-pratItam api viDi-tvam tAvan
   nāśrīyate, yāvad aṃśatrayapūrṇā bhāvanānuṣṭhānayogyā na bhavati |	na-ASrIyate, yAvat aMSa-traya-pUrNA BAvanA-anuzWAna-yogyA na Bavati |
   vidhitvaprakramāc ca prathamam evaitaj jñāyate---yādṛśair aṃśaiḥ pūrṇeyaṃ	viDi-tva-prakramAt ca praTamam eva-etat jQAyate---yAdRSEH aMSEH pUrNeyam
   vidhānam arhati tādṛśaiḥ pūrayitavyā---iti |	viDAnam arhati tAdRSEH pUrayitavyA---iti |
   na ca buddhipūrvakārī puruṣaḥ puruṣārtharahitaṃ vyāpāraṃ vacanaśatenāpy	na ca budDi-pUrva-kArI puruzaH puruza-arTa-rahitam vyApAram vacana-Satena-api-
   ukto 'nutiṣṭhati |	uktaH anutizWati |
   na ca puruṣārthaḥ sādhyavyatiriktāṃśapātitvena kaiścit prārthyate |	na ca puruza-arTaH sADya-vyatirikta-aMSa-pAti-tvena kEScid prArTyate |
   tato 'bhyarhitatarasyānyasya sādhyasyāvidhyamānatvāt |	tatas aByarhitatarasya-anyasya sADyasya-aviDyamAna-tvAt |
   tatra yady asyāṃ bhāvanāyām apuruṣārthaḥ sādhyaḥ syāt, tataḥ puruṣeṣv	tatra yadi asyAm BAvanAyAm apuruza-arTaH sADyaH syAt, tatas puruzezu-
   apravartamāneṣu pratyayasya prayojakaśaktir bādhyeta |	apravartamAnezu pratyayasya prayojaka-SaktiH bADyeta |
   tena yady api samānapadopādānapratyāsatter dhātvarthaḥ	tena yadi api samAna-pada-upAdAna-pratyAsatteH DAtu-arTaH
   sādhyāṃśapūraṇāyopaplavate, tathāpy ayogyatvān nirākriyate |	sADya-aMSa-pUraNAya-upaplavate, taTA-api ayogya-tvAt nirAkriyate |
   na hi pratyāsattir evaikā saṃbandhakāraṇam, yogyatvādy api. tathā ca	na hi pratyAsattiH eva-ekA saMbanDa-kAraNam, yogya-tva-Adi api. taTA ca
   vakṣyati yasya yenārthasambandhaḥ iti |	vakzyati yasya yena-arTa-sambanDaH iti |
   kiñ ca---	kiQ ca---
   saṃbandhamātram uktaṃ ca śrutyā dhātvarthabhāvayoḥ /	saMbanDa-mAtram uktam ca SrutyA DAtu-arTa-BAvayoH /
   tad ekāṃśaniveśe tu vyāpāro 'syā na vidyate // 36 //	tat eka-aMSa-niveSe tu vyApAraH asyAH na vidyate // 36 //
   saṃbandhamātraṃ kṛtvā nivṛttavyāpārāyāṃ śrutāv anyatarāṃśaniveśo yogyatvād	saMbanDa-mAtram kRtvA nivRtta-vyApArAyAm SrutO anyatara-aMSa-niveSaH yogya-tvAt-
   āśrayitavyaḥ |	ASrayitavyaH |
   tad yadi sādhyāṃśād ekapratyayopāttena pratyāsannatareṇa vidhitvena	tat yadi sADya-aMSAt eka-pratyaya-upAttena pratyAsannatareNa viDi-tvena
   pracyāvyate,	pracyAvyate,
   %p. 88	%p. 88
   tato 'ṃśāntareṇa nūnaṃ saṃbhaṃtsyata ity evaṃ patīkṣyate |	tatas aMSa-antareNa nUnam saMBaMtsyate iti evam patIkzyate |
   kiñ ca	kiQ ca
   sādhyāṃśe purrṣāṇāṃ ca pratyayo na niyojakaḥ /	sADya-aMSe purrzANAm ca pratyayaH na niyojakaH /
   svayam eva hi jānanti kartavyaṃ puruṣāḥ sadā // 37 //	svayam eva hi jAnanti kartavyam puruzAH sadA // 37 //
   yatra hi śāstrādhīnā puruṣapravṛttiḥ, tatra tatsannikarṣaviprakarṣāv	yatra hi SAstra-aDInA puruza-pravRttiH, tatra tad-sannikarza-viprakarzO=-
   apekṣyete |	apekzyete |
   sādhyaṃ punaḥ svargapaśuputragrāmādi prāg eva śāstrāt sarve puruṣāḥ	sADyam punar svarga-paSu-putra-grAma-Adi prAk eva SAstrAt sarve puruzAH
   pratipadyante |	pratipadyante |
   tataś ca bhāvayet kim? ity apekṣitamātre vinaiva tāvac chāstreṇaitāvad	tatas ca BAvayet kim? iti apekzita-mAtre vinA-eva tAvat SAstreNa-etAvat-
   avagatam puruṣārthaḥ kaścit iti |	avagatam puruza-arTaH kaScid iti |
   tatra viśeṣamātream anavagatatvād apekṣyate |	tatra viSeza-mAtream anavagata-tvAt apekzyate |
   tad api ca na sādhyātmanā, kiṃ tarhi, etadbhāvanāviṣayatvena |	tat api ca na sADya-AtmanA, kim tarhi, etad-BAvanA-vizaya-tvena |
   tataś ca dūrasthasyāpi svargāder eva kṛtāspadasya saṃgatiḥ |	tatas ca dUra-sTasya-api svarga-AdeH eva kRta-Aspadasya saMgatiH |
   dhātvarthasambandhas tv anapekṣitaḥ kriyeta |	DAtu-arTa-sambanDaH tu anapekzitaH kriyeta |
   vidhyānarthakyāc ca bādhyetatarāṃ śrutiḥ |	viDyAnarTakyAt ca bADyetatarAm SrutiH |
   kiñ ca	kiQ ca
   bhavane yasya kartṛtvaṃ kathaṃcid avadhāritam /	Bavane yasya kartR-tvam kaTaMcid avaDAritam /
   svavākye vānyavākye vā sa sādhyatvaṃ prapadyate // 38 //	sva-vAkye vA-anya-vAkye vA sa sADya-tvam prapadyate // 38 //
   na cātra dhātvarthāder bhavanakriyāsaṃbandho 'vagataḥ |	na ca-atra DAtu-arTa-AdeH Bavana-kriyA-saMbanDaH avagataH |
   svargādīnāṃ tu kāmaśabdopabandhād bhavanasaṃbandho vijñāyate. kutaḥ |	svarga-AdInAm tu kAma-Sabda-upabanDAt Bavana-saMbanDaH vijQAyate. kutas |
   svargo me syād itītthaṃ hi svargādiḥ prārthyate bhavan /	svargaH me syAt iti-itTam hi svarga-AdiH prArTyate Bavan /
   tenāsau bhāvanāpekṣaḥ prayojyatvena gamyate // 39 //	tena-asO BAvanA-apekzaH prayojya-tvena gamyate // 39 //
   tato 'vadhṛtasvargādisādhyāṃśā bhāvanā kena bhāvayet? ity evaṃ karaṇam	tatas avaDRta-svarga-Adi-sADya-aMSAH BAvanA kena BAvayet? iti evam karaNam
   apekṣa-	apekza-
   %p. 89	%p. 89
   te |	te |
   tatra śāstrādhīnarpavṛttitvāt tatsannikarṣādāv āśrīyamāṇe (1)	tatra SAstra-aDInarpa-vRtti-tvAt tad-sannikarza-AdO ASrIyamANe (1)
   pramāṇāntarāc ca yogyāyogyatvayor ajñānāt, (2) vidhyavirodhāc	pramANa-antarAt ca yogya-ayogya-tvayoH ajQAna-at, (2) viDi-aviroDAt-
   cātyantapratyāsattyupasthitadhātvarthātikramakāraṇābhāvāt, (3)	ca-atyanta-pratyAsatti-upasTita-DAtu-arTa-atikrama-kAraNa-aBAva-at, (3)
   sarvaphalabhāvanānāṃ ca kenacid dhātvarthaviśeṣeṇa vinānupapatteḥ yāgena	sarva-Pala-BAvanAnAm ca kenacid DAtu-arTa-viSezeNa vinA-anupapatteH yAgena
   ity evaṃ vijñāyate |	iti evam vijQAyate |
