   Rādhā-kṛṣṇārcana-dīpikā	RADA--kRzNA-arcana-dIpikA
   govindam ādi-puruṣaṃ tam ahaṃ bhajāmi ||65|| iti |	govindam Adi-puruzam tam aham BajAmi ||65|| iti |
   tatra tābhiḥ śrī-gopībhir mantre (5.24) tac-chabda-prayogāt |	tatra tABiH SrI-gopIBiH mantre (5.24) tac--Sabda--prayogAt |
   ānanda-cin-maya-rasena prema-rasa-viśeṣeṇa praitbhāvitābhis	Ananda-cin-maya--rasena prema-rasa--viSezeNa prEtBAvita-aBis
   tat-pradhānābhir ity arthaḥ | hlādinī-sāra-vṛtti-viśeṣa-rūpatvāt |	tat--praDAnABiH iti arTaH | hlAdinI--sAra--vRtti-viSeza--rUpa-tvAt |
   kalātvenaiva nija-rūpatve siddhe punar nija-rūpatayoktiḥ prakaṭa-līlāyāṃ	kalA-tvena-eva nija--rUpa-tve sidDe punar nija--rUpatayA-uktiH prakawa--lIlAyAm
   (end page 17) parakīyābhāsatvasya vyavacchedārtham | yata uktaṃ tatraiva	(end page 17) parakIya-aBAsa-tvasya vyavacCeda-arTam | yatas uktam tatra-eva
   śriyaḥ kāntāḥ kāntaḥ parama-puruṣaḥ (5.56) iti | śrī-parama-puruṣayor	SriyaH kAntAH kAntaH parama--puruzaH (5.56) iti | SrI--parama--puruzayoH-
   aupapatyaṃ nāstīti yuktaṃ ca darśitavān | etad abhiprāyeṇaiva	Opapatyam na-asti-iti yuktam ca darSitavAn | etat aBiprAyeNa-eva
   svāyambhuvāgame 'pi śrī-bhū-līlā-śabdaiḥ tat-preyasī-viśeṣatvam upadiṣṭam	svAyamBuva-Agame api SrI--BU--lIlA--SabdEH tat--preyasI--viSeza-tvam upadizwam
   ataiva gopījanā vidyā-kalā-preraka ity atra tāpanī-vākye	atA-eva gopI-janA vidyA-kalA--prerakaH iti atra tApanI--vAkye
   śrīmad-daśākṣarastha-nāma-niruktau ye gopījanās te ā samyag yā vidyā	SrImat--daSa-akzara-sTa-nAma--niruktO ye gopI-janAH te A samyak yA vidyA
   parama-prema-rūpā tasyāḥ kalā-vṛtti-rūpā iti vyākhyeyam | rāja-vidyā	parama--prema--rUpA tasyAH kalA-vRtti--rUpA iti vyAKyeyam | rAja-vidyA
   rāja-guhyam ity ādi gītā-prakaraṇāt bhagavaty avidyā-saṃśleṣābhāvāt | tad	rAja--guhyam iti Adi gItA--prakaraNAt Bagavati avidyA--saMSleza-aBAvAt | tat-
   uktaṃ hlādinīty ādi | tatas tāsāṃ prerakas tat krīḍāyāṃ pravartakaḥ | sa	uktam hlAdinI-iti Adi | tatas tAsAm prerakaH tat krIxAyAm pravartakaH | sa
   ca patitva eva viśrāntaḥ | iti vallabha-śabdenaikārthyam eva |	ca patitvaH eva viSrAntaH | iti vallaBa--Sabdena-EkArTyam eva |
   janma-jarābhyāṃ bhinna ity ādau sa vo hi svāmī bhavati iti tasyām eva	janma--jarAByAm BinnaH iti AdO sa vaH hi svAmI Bavati iti tasyAm eva
   śrutau, tāḥ prati durvāsā-vākyāt | strī-sambandhe svāmī-śabdaḥ paatyāv eva	SrutO, tAH prati durvAsA--vAkyAt | strI--sambanDe svAmI--SabdaH paatyO eva
   rūḍhaḥ | svāmino devṛ-devarāv ity amara-koṣāt | pāda-nyāsair ity ādau [BhP	rUXaH | svAminaH devR-devarO iti amara-kozAt | pAda-nyAsEH iti AdO [BhP
   10.33.7] kṛṣṇa-vadhva iti śrī-śuka-vacanam | ṛṣabhasya jaguḥ kṛtyāni [BhP	10.33.7] kRzNa-vaDvaH iti SrI--Suka-vacanam | RzaBasya jaguH kRtyAni [BhP
   10.33.21] ity atra ṭīkā ca ṛṣabhasya patyuḥ iti | saṅgītaśāstre ca,	10.33.21] iti atra wIkA ca RzaBasya patyuH iti | saFgItaSAstre ca,
   gopīpatir ananto 'pi vaṃśadhvanivaśaṃ gataḥ iti. śrīmac-chaṅkarācārya-kṛte	gopIpatiH anantaH api vaMSa-Dvani-vaSam gataH iti. SrImac--SaFkara-AcArya-kRte
   yamunāstotre ca, vidhehi tasya rādhikādhavāṅghripaṅkaje ratim iti |	yamunA-stotre ca, viDehi tasya rADikA-Dava-aFGri-paFkaje ratim iti |
   uddhavaṃ prati śrī-bhagavatā ca -- ballavyo me madātmikāḥ [BhP 10.46.6]	udDavam prati SrI--BagavatA ca - ballavyaH me mad-AtmikAH [Bhj 10.46.6]
   iti | tad idaṃ gacchoddhava vrajaṃ saumya pitror naḥ prītim āvaha iti [BhP	iti | tat idam gacCa-udDava vrajam sOmya pitroH naH prItim AvahaH iti [BhP
   10.46.3] (end page 18) vallabhābhimānitām ātmani vyajya śrīkṛṣṇasya	10.46.3] (end page 18) vallaBa-aBimAnitAm Atmani vyajya SrI-kRzNasya
   vacanaṃ brāhmaṇasya mama brāhmaṇīty ādivat gopa-rūpasya mama gopī-rūpā ity	vacanam brAhmaNasya mama brAhmaNI-iti Adi-vat gopa--rUpasya mama gopI--rUpAH iti-
   arthaḥ | atas tāsām api tathaivābhimānaṃ tatraivoktam -- api bata	arTaH | atas tAsAm api taTA-eva-aBimAnam tatra-eva-uktam - api bata
   madhupuryāṃ āryaputro 'dhunāste iti (10.47.11) | tathaiva ca kumārīṇāṃ	maDupuryAm Arya-putraH aDunA-AH-te iti (10.47.11) | taTA-eva ca kumArINAm
   saṅkalpa-vacanam - nanda-gopa-sutaṃ devi patiṃ me kurute namaḥ iti	saFkalpa--vacanam  nanda-gopa--sutam devi patim me kurute namaH iti
   na kevalaṃ sādhāraṇa-rītyā dāmpatya-vyavahāras tābhir mama kintu	na kevalam sADAraNa--rItyA dAmpatya--vyavahAraH tABiH mama kintu
   mad-ātmikā mat-svarūpa-śaktaya ity arthaḥ | ātma-śabdasya manīvācakatvena	mad--a-AtmikA mat--svarUpa--SaktayaH iti arTaH | Atma--Sabdasya manIvAcaka-tvena
   tā man-manaskā (10.46.4) ity ādy uktaṃ punar uktaṃ syāt | uktaṃ ca tāsāṃ	tAH man-manaskA (10.46.4) iti Adi uktam punar uktam syAt | uktam ca tAsAm
   svarūpa-śaktitvaṃ śrī-śukadevena -	svarUpa--Sakti-tvam SrI--Sukadevena -
   tābhir vidhuta-śokābhir bhagavān acyuto vṛtaḥ |	tABiH viDuta-SokABiH BagavAn acyutaH vRtaH |
   vyarocatādhikaṃ tāta puruṣaḥ śaktibhir yathā || iti | (10.32.10)	vyarocata-aDikam tAta puruzaH SaktiBiH yaTA || iti | (10.32.10)
   tābhiḥ śaktibhir yathā yāvat tathā tatrātiśuśubhe tābhir bhagavān	tABiH SaktiBiH yaTA yAvat taTA tatra-ati-SuSuBe tABiH BagavAn
   devakī-sutaḥ ity ādi | cakāśa gopī-pariṣad-gato 'rcita ity ādi |	devakI-sutaH iti Adi | cakASa gopI--parizad---gataH arcitaH iti Adi |
   vyarocataiṇāṅka ivoḍubhir vṛta ity ādi | svarūpa-śaktitvād evādhikaṃ	vyarocata-eNa-aFkaH iva-uxuBiH vRtaH iti Adi | svarUpa--Sakti-tvAt eva-aDikam
   vyarocata ity ādy-uktam upapadyate | sva-śaktyeka-prakāśat śrī-bhagavataḥ	vyarocataH iti Adi--uktam upapadyate | sva-Sakti-eka--prakASat SrI--BagavataH
   | atas tāsāṃ lakṣmī-saṃjñatvam apy uktaṃ brahma-saṃhitāyāṃ	| atas tAsAm lakzmI--saMjQa-tvam api uktam brahma-saMhitAyAm
   lakṣmī-sahasra-śata-sambhrama-sevyamānam iti | śriyaḥ kāntāḥ kāntaḥ	lakzmI--sahasra--Sata--samBrama-sevyamAnam iti | SriyaH kAntAH kAntaH
   parama-puruṣa iti | śrī-daśame ca --	parama--puruzaH iti | SrI-daSame ca --
   (end page 19) gopyo labdhvācyutaṃ kāntaṃ śriya ekānta-vallabham iti	(end page 19) gopyaH labDvA-acyutam kAntam SriyaH ekAnta-vallaBam iti
   (10.33.14) gopya eva śriya kāntaṃ manoharaṃ ekānta-vallabhaṃ raho-ramaṇam	(10.33.14) gopyaH eva Sriya kAntam manoharam ekAnta-vallaBam rahaH--ramaNam
   | tasmāt nāyaṃ śriyo 'ṅga iti śukānuvādaḥ sāmānye lakṣmī-vijayaṃ vyanakti	| tasmAt na-ayam SriyaH aFgaH iti Suka-anuvAdaH sAmAnye lakzmI--vijayam vyanakti
   | lakṣmī-sahasreti viriñca-vāṇī lakṣmī-viśeṣatvam urīkaroti | kurutve 'pi	| lakzmI--sahasra-iti viriQca-vANI lakzmI--viSeza-tvam urIkaroti | kurutve api
   śrī-yudhiṣṭhirādīnāṃ pāṇḍava-saṃjñatvam | lakṣmītve 'pi vraja-devīnāṃ	SrI--yuDizWira-AdInAm pANxava--saMjQa-tvam | lakzmI-tve api vraja--devInAm
   gopī-saṃjñatvam iti | tasmāt tāsāṃ parama-lakṣmī-rūpatvena	gopI--saMjQa-tvam iti | tasmAt tAsAm param-a-lakzmI--rUpa-tvena
   tan-nitya-preyasītvaṃ siddham |	tan--nitya--preyasItvam sidDam |
   tathā ca gautamīya-tantre daśārṇa-vyākhyāyām (20-21) --	taTA ca gOtamIya-tantre daSArNa--vyAKyAyAm (20-21) --
   gopīti prakṛtiṃ vidyāj janas tattvasamūhakaḥ |	gopI-iti prakRtim vidyAt janaH tattva-samUhakaH |
   anayor āśrayo vyāptyā kāraṇatvena ceśvaraḥ ||67||	anayoH ASrayaH vyAptyA kAraNa-tvena ca-ISvaraH ||67||
   sāndrānandaṃ paraṃ jyotir vallabhatvena kathyate |	sAndra-Anandam param jyotiH vallaBa-tvena kaTyate |
   athavā gopī prakṛtir janas tadaṃśamaṇḍalam ||68||	aTavA gopI prakRtiH janaH tad-aMSa-maNxalam ||68||
   anayor vallabhaḥ proktaḥ svāmī kṛṣṇākhya īśvaraḥ|	anayoH vallaBaH proktaH svAmI kRzNa-AKyaH ISvaraH|
   kāryakāraṇayor īśaḥ śrutibhis tena gīyate||69||	kArya-kAraNayoH ISaH SrutiBiH tena gIyate||69||
   anekajanmasiddhānāṃ gopīnāṃ patir eva vā|	aneka-janma-sidDAnAm gopInAm patiH eva vA|
   nandanandana ity uktas trailokyānandavardhanaḥ||70|| iti.	nanda-nandanaH iti uktaH trElokya-Ananda-varDanaH||70|| iti.
   ataiva prathamā prakṛtiḥ pradhānaṃ | dvitīyā svarūpa-śaktiḥ | tattvāni	atA-eva praTamA prakRtiH praDAnam | dvitIyA svarUpa--SaktiH | tattvAni
   mahad-ādīni aṃśāḥ |	mahat--AdIni aMSAH |
   jñāna-śakti-balaiśvarya-vīrya-tejāṃsy aśeṣataḥ |	jQAna--Sakti-bala-ESvarya--vIrya--tejAMsi aSezatas |
   bhagavac-chabda-vācyāni vinā heyair guṇādibhiḥ ||71||	Bagavac--Sabda--vAcyAni vinA heyEH guNa-AdiBiH ||71||
   iti viṣṇu-purāṇoktāḥ (ViP 6.5.79) |	iti vizNu--purANa-uktAH (ViS 6.5.79) |
   atra anekajanmasiddhānāṃ iti, bahūni me vyatītāni (end page 20) janmāni	atra aneka-janma-sidDAnAm iti, bahUni me vyatItAni (end page 20) janmAni
   tava cārjuna [bg 4.5] itivat anādi-siddhatvam eva bodhayati | patir eva	tava ca-arjunaH [bj 4.5] iti-vat anAdi-sidDa-tvam eva boDayati | patiH eva
   ity eva-kāreṇa prakaṭa-līlāyām upapatitva-vyavahāras tu māyika evety	iti eva-kAreNa prakawa--lIlAyAm upapati-tva--vyavahAraH tu mAyikaH eva-iti-
   arthaḥ | sa cāgre darśayiṣyate | vā-śabdasyaivottara-pakṣatā-bodhanāya |	arTaH | sa ca-agre darSayizyate | vA--Sabdasya-eva-uttara--pakza-tA--boDanAya |
   [*NOTE: GCP 15.73-75]	[*NOTE: GCP 15.73-75]
   tad evam ādibhir viśiṣṭatvenaiva tad-ārādhanād āsāṃ nitya-preyasītvaṃ	tat evam AdiBiH viSizwa-tvena-eva tad--ArADanAt AsAm nitya--preya-sI-tvam
   siddham | tac-chṛtīnāṃ tad-ārādhānāṃ cānāghananatabhāvitvāt | sa hi mantre	sidDam | tac-SRtInAm tad--ArADAnAm ca-anAGana-nata-BAvi-tvAt | sa hi mantre
   caturdhā pratīyate | mantrasya kāraṇa-rūpatvena varṇa-samudāya-rūpatvena,	caturDA pratIyate | mantrasya kAraNa--rUpa-tvena varNa--samudAya---rUpa-tvena,
   adhiṣṭhātṛ-devatā-rūpatvena ārādhya-rūpatvena ca | atra kāraṇa-rūpatvaṃ	aDizWAtR-devatA--rUpa-tvena ArADya---rUpa-tvena ca | atra kAraNa--rUpa-tvam
   tad-adhiṣṭhātṛ-devatā-rūpatvaṃ coktaṃ brahma-saṃhitāyāṃ prakṛtyā puruṣeṇa	tad--aDizWAtR--devatA--rUpa-tvam ca-uktam brahma-saMhitAyAm prakRtyA puruzeNa
   ca iti (5.3) | prakṛtir mantrasya svarūpas trayam eva śrī-kṛṣṇaḥ	ca iti (5.3) | prakRtiH mantrasya svarUpaH trayam eva SrI--kRzNaH
   kāraṇa-rūpatvāt | tad evoktam ṛṣy-ādi-smaraṇe kṛṣṇaḥ prakṛtir iti | sa eva	kAraNa--rUpa-tvAt | tat eva-uktam Rzi--Adi--smaraNe kRzNaH prakRtiH iti | saH eva
   adhiṣṭhātṛ-devatā-rūpaḥ | varṇa-samudāya-rūpaṃ coktaṃ tatraiva - kāmaḥ	aDizWAtR-devatA--rUpaH | varNa--samudAya---rUpam ca-uktam tatra-eva  kAmaH
   kṛṣṇāyety (BrahmaS 5.24) ādinā | uktaṃ ca hayaśīrṣa-pañcarātre	kRzNAya-iti (BrahmaH 5.24) AdinA | uktam ca hayaSIrza--paQcarAtre
   vācyatvaṃ vācakatvaṃ ca devatā-mantrayor hi |	vAcya-tvam vAcaka-tvam ca devatA-mantrayoH hi |
   abhedenocyate grahma tattvavidbhir vicārataḥ || iti |	aBedena-ucyate grahma tattva-vidBiH vicArataH || iti |
   ārādhya-rūpatvaṃ ca tatraiva brahma-saṃhitāyāṃ -- īśvaraḥ paramaḥ kṛṣṇaḥ	ArADya---rUpa-tvam ca tatra-eva brahma-saMhitAyAm - ISvaraH paramaH kRzNaH
   saccidānanda-vigrahaḥ | anādir ādir ity ādinā (5.1) kvicid durgāyā	saccidAnanda-vigrahaH | anAdiH AdiH iti AdinA (5.1) kvicid durgAyAH-
   adhiṣṭhātṛtvaṃ tu śakti-śaktimator abheda-vivakṣayā | ata uktaṃ	aDizWAtR-tvam tu Sakti-SaktimatoH aBeda--vivakzayA | atas uktam
   gautamīya-kalpe - yaḥ kṛṣṇaḥ saiva durgā syād yā durgā kṛṣṇa eva sa iti |	gOtamIya-kalpe  yaH kRzNaH sA-eva durgA syAt yA durgA kRzNaH eva saH iti |
   yataḥ śrī-kṛṣṇas tatra svarūpa-śakti-rūpeṇa durgā nāma | tasmān neyaṃ	yatas SrI--kRzNaH tatra svarUpa--Sakti--rUpeNa durgA nAma | tasmAt na-iyam
   māyāṃśa-bhūtā durgā iti gamyate | niruktiś cātra duḥkhena (end page 21)	mAyA-aMSa--BUtAH durgAH iti gamyate | niruktiH ca-atra duHKena (end page 21)
   gurv-ārādhanādi-prayāsena gamyate jñāyate iti | tathā ca nārada-pañcarātre	guru--ArADana-Adi-prayAsena gamyate jQAyate iti | taTA ca nArada-paQcarAtre
   śruti-vidyā-saṃvāde -	Sruti-vidyA--saMvAde -
   jānāty ekā parā kāntaṃ saiva durgā tad-ātmikā |	jAnAti ekA parA kAntam sA-eva durgA tad--AtmikAH |
   yā parā parayā śaktir mahāviṣṇu-svarūpiṇī |	yA parA parayA SaktiH mahA-vizNu--svarUpiNI |
   yasyā vijñāna-mātreṇa parāṇāṃ paramātmanaḥ |	yasyAH vijQAna--mAtreNa parANAm paramAtmanaH |
   muhūrtād eva devasya prāptir bhavati nānyathā ||	muhUrtAt eva devasya prAptiH Bavati na-anyaTA ||
   ekeyaṃ prema-sarvasva-svabhāvā śrī-gokuleśvarī |	ekA-iyam prema--sarva-sva--svaBAvA SrI--gokuleSvarI |
   anayā sulabho jñeya ādi-devo 'khileśvaraḥ ||	anayA sulaBaH jQeyaH Adi-devaH aKila-ISvaraH ||
   bhaktir bhajana-sampattir bhajate prakṛtiḥ priyam |	BaktiH Bajana--sampattiH Bajate prakRtiH priyam |
   jñāyate 'tyanta-duḥkhena seyaṃ prakṛtir ātmanaḥ |	jQAyate atyanta--duHKena sA-iyam prakRtiH AtmanaH |
   durgeti gīyate sarvair akhaṇḍa-rasa-vallabhā ||	durgA-iti gIyate sarvEH aKaNxa--rasa-vallaBA ||
   asyā āvarikā śaktir mahāmāyā 'khileśvarī |	asyAH AvarikA SaktiH mahAmAyA aKileSvarI |
   yayā mugdhaṃ jagat sarvaṃ sarva-dehābhimāninaḥ || iti |	yayA mugDam jagat sarvam sarva-deha-aBimAninaH || iti |
   ataiva māyāṃ vyudasya cic-chaktyā kaivalye sthita ātmanīti prathamokteḥ |	atA-eva mAyAm vyudasya cic--SaktyA kEvalye sTitaH Atmani-iti praTama-ukteH |
   na yatra māyā kim utāpare harer iti dvitīyokteḥ	na yatra mAyA kim uta-apare hareH iti dvitIya-ukteH
   māyātīta-vaikuṇṭhāvaraṇa-kathane yathoktaṃ pādmottara-khaṇḍe -	mAyA-atIta--vEkuNWa-AvaraNa--kaTane yaToktam pAdma-uttara---KaNxe -
   satyācyutānanta-durgā-viṣvaksena-gajānanāḥ |	satya-acyuta-an-anta--durgA--vizvaksena--gaja-AnanAH |
   śaṅkha-padma-nidhī lokāś caturthāvaraṇaṃ smṛtam || ity ady uktvā -	SaFKa-padma--niDI lokAH caturTa-AvaraNam smRtam || iti adi uktvA -
   nityāḥ sarve pare dhāmni ye cānye 'pi divaukasaḥ |	nityAH sarve pare DAmni ye ca-anye api divOkasaH |
   te vai prākṛta-nāke 'sminn anityās tridiveśvarāḥ || (end 22)	te vE prAkRta-nAke asmin anityAH tridiva-ISvarAH || (end 22)
   iti teṣāṃ śrī-bhagavad-aṃśa-rūpatvam uktaṃ trailokya-sammohana-tantre --	iti tezAm SrI--Bagavat--aMSa--rUpa-tvam uktam trElokya--sammohana-tantre --
   sarvatra devadevo 'sau	sarvatra devadevaH asO
   gopa-veśa-dharo hariḥ |	gopa-veSa--DaraH hariH |
   kevalaṃ rūpa-bhedena	kevalam rUpa--Bedena
   nāma-bhedaḥ prakīrtitaḥ ||77||	nAma-BedaH prakIrtitaH ||77||
   ato nāma-mātra-sādhāreṇe 'nanya-bhaktair na vibhetavyaṃ kintu bhāgavatair	atas nAma--mAtra--sADAreNe ananya-BaktEH na viBetavyam kintu BAgavatEH-
   nitya-vaikuṇṭha-sevakatvāt viṣvaksenādivat sat-kāryā eva te | arcayitvā tu	nitya--vEkuNWa--sevaka-tvAt vizvaksena-Adi-vat sat-kAryAH eva te | arcayitvA tu
   govindaṃ tadīyān nārcayet tu yaḥ ity ādi-vacanena tad-asatkāre	govindam tadIyAt na-arcayet tu yaH iti Adi-vacanena tad--asatkAre
   doṣa-śravaṇāt | ataiva tān evoddiśya uktam ekādaśe -	doza--SravaNAt | atA-eva tAn eva-uddiSyaH uktam ekAdaSe -
   durgāṃ vināyakaṃ vyāsaṃ	durgAm vinAyakam vyAsam
   viṣvaksenaṃ gurūn surān |	vizvaksenam gurUn surAn |
   sve sve sthāne tv abhimukhān	sve sve sTAne tu aBimuKAn
   pūjayet prokṣaṇādibhiḥ ||78|| (BhP 11.27.29)	pUjayet prokzaNa-AdiBiH ||78|| (Bhj 11.27.29)
   atha prakṛtam anusarāmaḥ | sad eva śrī-gopīnāṃ svarūpa-śaktitve prasiddhe	aTa prakRtam anusarAmaH | sat eva SrI-gopInAm svarUpa--Sakti-tve prasidDe
   śrī-kṛṣṇasya nitya-preyasī-rūpatvaṃ siddham eva | tatas tābhiḥ saha tasya	SrI--kRzNasya nitya--preyasI--rUpa-tvam sidDam eva | tatas tABiH saha tasya
   pūjana āvaśyakatā svataḥ siddhā | atra punaḥ prativādī prāha, yadi tāḥ	pUjane AvaSyaka-tA svatas sidDAH | atra punar prativAdI prAha, yadi tAH
   kṛṣṇasya nitya-priyāḥ, tarhi kathaṃ parakīyārūpatvam | tatrāpi	kRzNasya nitya--priyAH, tarhi kaTam parakIyA-rUpa-tvam | tatra-api
   putrādi-saṃyoktṛtvaṃ śrūyate | satyaṃ tad-rūpatvaṃ māyikam iti	putra-Adi-saMyoktR-tvam SrUyate | satyam tat--rUpa-tvam mAyikam iti
   vaiṣṇava-toṣaṇī-nāmnyāṃ śrī-daśama-ṭippanyāṃ kṛṣṇa-sandarbhādau ca	vEzNava--tozaNI-nAmnyAm SrI-daSam-a-wippanyAm kRzNa--sandarBa-AdO ca
   pramitam iti vistara-bhayān nātra prapañcitam |	pramitam iti vistara--BayAt na-atra prapaQcitam |
   atha sāmānyataḥ śrī-kṛṣṇa-priyāḥ khalu dvidhā | nitya-siddhāḥ	aTa sAmAnyatas SrI-kRzNa--priyAH Kalu dviDA | nitya-sidDAH
   sādhana-siddhāś ca | tatra nitya-siddhāḥ pūrvoktiḥ | sādhana-siddhāś ca	sADana-sidDAH ca | tatra nitya-sidDAH pUrvoktiH | sADana-sidDAH ca
   trividhāḥ | ṛṣijāḥ śrutayo deva-kanyāś ca | tatra ṛṣijā yathā	triviDAH | Rzi-jAH SrutayaH deva-kanyAH ca | tatra Rzi-jAH yaTA
   pādmottara-khaṇḍe --	pAdma-uttara---KaNxe --
   (end 23)	(end 23)
   purā maharṣayaḥ sarve daṇḍakāraṇya-vāsinaḥ |	purA mahA-RzayaH sarve daNxaka-araNya--vAsinaH |
   dṛṣṭvā rāmaṃ hariṃ tatra bhoktum aicchan suvigraham ||79||	dRzwvA rAmam harim tatra Boktum EcCan su-vigraham ||79||
   te sarve strītvam āpannāḥ samudbhūtāś ca gokule |	te sarve strI-tvam ApannAH samudBUtAH ca gokule |
   hariṃ samprāpya kāmena tato muktā bhavārṇavāt ||80||	harim samprApya kAmena tatas muktAH Bava-arNavAt ||80||
   [*NOTE: BRS 1.2.301-2]	[*NOTE: BRH 1.2.301-2]
   na ca vaktavyaṃ gokula-jātānāṃ prāpañcika-dehāditvaṃ na sambhavatīti |	na ca vaktavyam go-kula-jAtAnAm prApaQcika--deha-Adi-tvam na samBavati-iti |
   avatāra-līlāyāḥ prāpañcika-miśratvāt | śrī-devakī devyām api	avatAra--lIlAyAH prApaQcika---miSra-tvAt | SrI--devakI devyAm api
   ṣaḍ-garbha-saṃjñakānāṃ janma śrūyate iti |	zaz--garBa--saMjQakAnAm janma SrUyate iti |
   śrutayo yathā bṛhad-vāmana-purāṇādiṣu śrūyante | yata eva tathā vyākhyātaṃ	SrutayaH yaTA bRhad-vAmana-purANa-Adizu SrUyante | yatas eva taTA vyAKyAtam
   striya urugendra-bhoga-bhuja-daṇḍa-viṣakta-dhiyo vayam apīti (BhP	striyaH uruga-indra---Boga--Buja--daNxa--vizakta-DiyaH vayam api-iti (BhP
   10.87.23) | gāyatrī ca tāsu jāteti pādme sṛṣṭi-khaṇḍe yathā brahmaṇā	10.87.23) | gAyatrI ca tAsu jAtA-iti pAdme sRzwi--KaNxe yaTA brahmaNA
   gopa-kanyāyā gāyatryā udvāhe gopeṣu śrī-viṣṇu-vākyam -	gopa--kanyAyAH gAyatryA udvAhe gopezu SrI--vizNu--vAkyam -
   mayā jñātvā tataḥ kanyā dattā caiṣāviriñcaye |	mayA jQAtvA tatas kanyA dattA ca-ezA-viriQcaye |
   yuṣmākaṃ ca kule cāhaṃ deva-kāryārtha-siddhaye |	yuzmAkam ca kule ca-aham deva--kArya-arTa--sidDaye |
   avatāraṃ kariṣyāmi mat-kāntā tu bhaviṣyati || iti |	avatAram karizyAmi mat-kAntA tu Bavizyati || iti |
   deva-kanyāś ca yathā śrī-daśame tat-priyārthaṃ sambhavantu sura-striya iti	deva-kanyAH ca yaTA SrI-daSame tat-priya-arTam samBavantu sura--striyaH iti
   (BhP 10.1.13) | ata sura-striyas tāsāṃ śrī-kṛṣṇa-priyāṇām upayogāyeveti	(Bhj 10.1.13) | atas sura--striyaH tAsAm SrI--kRzNa--priyANAm upayogAya-iva-iti
   gamyate | atas tat-priyārtham ity evoktaṃ, na tu tat-prīty-artham iti |	gamyate | atas tat-priya-arTam iti eva-uktaM, na tu tat--prIti--arTam iti |
   atas tāsāṃ caturvidhatvam uktaṃ pādme -	atas tAsAm caturviDa-tvam uktam pAdme -
   gopyas tu ṛṣijā gopa-kanyakāḥ śrutijāḥ parāḥ |	gopyaH tu Rzi-jAH gopa-kanyakAH Sruti-jAH parAH |
   deva-kanyāś ca rājendra na mānuṣyaḥ kadācana ||	deva-kanyAH ca rAja-indra na mAnuzyaH kadAcana ||
   (end page 24)	(end page 24)
   gopa-kanyā eva nityāḥ | na mānuṣaḥ kathañcaneti praākṛta-mānuṣya-niṣedhāt	gopa-kanyAH eva nityAH | na mAnuzaH kaTaQcanA-iti praAkRta-mAnuzya--nizeDAt-
   | atas tāsāṃ svarūpa-śaktitvād eva śrī-bhagavatas tābhiḥ saha riraṃsā jātā	| atas tAsAm svarUpa--Sakti-tvAt eva SrI--BagavataH tABiH saha riraMsA jAtA
   | yathā śrī-śukaḥ |	| yaTA SrI-SukaH |
   bhagavān api tā rātrīḥ śaradotphullamallikāḥ	BagavAn api tAH rAtrIH SaradA-utPulla-mallikAH
   vīkṣya rantuṃ manaścakre yogamāyām upāśritaḥ || (BhP 10.29.1)	vIkzya rantum manaH-cakre yoga-mAyAm upASritaH || (Bhj 10.29.1)
   tā rātrīr vīkṣya uddīpanatvenānubhūyeti kaumutyenālambana-rūpāṇāṃ tāsāṃ	tAH rAtrIH vIkzye uddIpana-tvena-anuBUya-iti kOmutyena-Alambana--rUpANAm tAsAm
   prema-mahimā darśitaḥ | ātmārāmāś ca munayaḥ ity ādau itthambhūta-guṇo	prema--mahimA darSitaH | Atma-ArAmAH ca munayaH iti AdO itTam-BUta--guNa-u
   harir itivat itthambhūta-guṇās tāḥ yena tādṛśy api tasya ramaṇcchā jāyate	hariH iti-vat itTam-BUta-guNAH tAH yena tAdRSI api tasya ramaNcCA jAyate
   iti | ataiva vyavahārārthaṃ tasya kaiśoram api mānitaṃ jātam iti	iti | atA-eva vyavahAra-arTam tasya kESoram api mAnitam jAtam iti
   śrī-viṣṇu-purāṇe darśitam |	SrI--vizNu-purANe darSitam |
   so 'pi kaiśoraka-vayo mānayan madhusūdanaḥ |	saH api kESoraka--vayaH mAnayan maDusUdanaH |
   reme tābhir ameyātmā kṣapāsu kṣaptāhitaḥ || (ViP 5.13.60) iti |	reme tABiH ameya-AtmA kzapAsu kzapta-ahitaH || (ViP 5.13.60) iti |
   harivaṃśe ca-	harivaMSe ca-
   yuvatīr gopa-kanyāś ca rātrau saṅkālya kālavit |	yuvatIH gopa-kanyAH ca rAtrO saFkAlya kAla-vid |
   kaiśorakaṃ mānayānaḥ saha tābhir mumoda ca || (HV 63.18) iti |	kESorakam mAnayAnaH saha tABiH mumoda ca || (HV 63.18) iti |
   atra kālavid ity asya vyākhyānaṃ tā rātrīr vikṣyeti | saha tābhir mumoda	atra kAla-vid iti asya vyAKyAnam tAH rAtrIH vikzya-iti | saha tABiH mumoda
   hetyasya sūcakaṃ rantuṃ manaś cakre iti | ity ālambana-kāla-deśānāṃ	heti-asya sUcakam rantum manaH cakre iti | iti Alambana--kAla--deSAnAm
   śrī-kṛṣṇāya parama-puruṣatvaṃ darśitaṃ tasmāt	SrI--kRzNAya parama--puruza-tvam darSitam tasmAt-
   hlādinī-śakti-vilāsa-lakṣaṇa-tat-prema-mayy evaiṣā riraṃsā | na tu	hlAdinI--Sakti-vilAsa--lakzaNa--tat--prema-mayi eva-ezA riraMsA | na tu
