   // Daśabhūmikasūtram //	// DaSa BUmika sUtram //
   notsṛjati / sa ekaikasmin kalpe ekaikasmin lokadhātuprasare anekān	na utsRjati / saH ekEkasmin kalpe ekEkasmin lokaDAtu prasare anekAn
   buddhān, anekāni buddhaśatāni ... peyālaṃ ... anekāni	budDAn, anekAni budDa SatAni ... peyAlam ... anekAni
   buddhakoṭīnayutaśatasahasrāṇi satkaroti gurukaroti mānayati pūjayati	budDa kowIn ayuta Sata sahasrANi satkaroti gurukaroti mAnayati pUjayati
   sarvākārapūjābhinirhāraṃ copasaṃharati / tāṃśca tathāgatān paryupāste,	sarva AkAra pUjA aBinirhAram ca upasaMharati / tAn= ca taTAgatAn paryupAste,
   lokadhātuvibhaktipūrvakaṃ ca dharmālokopasaṃhāraṃ pratīcchati / sa	lokaDAtu viBakti pUrvakam ca Darma Aloka upasaMhAram pratIcCati / sa
   bhūyasyā mātrayā tathāgatadharmakośaprāpto 'saṃhāryo bhavati	BUyasyA mAtrayA taTAgata Darma koSa prAptaH asaMhAryaH Bavati
   lokadhātuparipṛcchānirdeśeṣu / tāni cāsya kuśalamūlānyanekān	loka DAtu paripRcCA nirdeSezu / tAni ca asya kuSala mUlAni anekAn
   kalpānuttapyante ... / tadyathāpi nāma bho jinaputra tadeva jātarūpaṃ	kalpAn uttapyante ... / tat yaTA api nAma Bo jinaputra tat eva jAtarUpam
   supariniṣṭhitaṃ kuśalena karmāreṇa suparikarmakṛtaṃ jambūdvīpasvāminaḥ	su parinizWitam kuSalena karmAreNa su parikarma kRtam jambUdvIpa svAminaH
   kaṇṭhe śirasi vā ābaddhamasaṃhāryaṃ bhavati sarvajambūdvīpakānāṃ	kaNWe Sirasi vA AbadDam asaMhAryam Bavati sarva jambUdvIpakAnAm
   sattvānāmābharaṇavikṛtaiḥ, evameva bho jinaputra asyāmacalāyāṃ	sattvAnAm ABaraNa vikRtEH, evam eva Bo jinaputra asyAm acalAyAm
   bodhisattvabhūmau sthitasya bodhisattvasya tāni kuśalamūlānyasaṃhāryāṇi	boDisattva BUmO sTitasya boDisattvasya tAni kuSala mUlAni asaMhAryANi
   bhavanti sarvaśrāvakapratyekabuddhairyāvatsaptamībhūmisthitaiśca	Bavanti sarva SrAvaka pratyekabudDEH yAvat saptamI BUmi sTitEH ca
   bodhisattvaiḥ / imāṃ ca bhūmimanugatasya bodhisattvasya mahatī	boDisattvEH / imAm ca BUmim anugatasya boDisattvasya mahatI
   prajñājñānaprabhā sattvānāṃ kleśatamāṃsi praśamayati	prajQA jQAna praBA sattvAnAm kleSa tamAMsi praSamayati
   suvibhaktajñānamukhābhinirhāratayā / tadyathāpi nāma bho jinaputra	suviBakta jQAna muKa aBinirhAra tayA / tat yaTA api nAma Bo jinaputra
   sāhasriko mahābrahmā sāhasralokadhātuṃ (Dbh 48) maitryā spharitvā	sAhasrikaH mahA brahmA sAhasra lokaDAtum (DB 48) mEtryA sParitvA
   prabhayāvabhāsayati, evameva bho jinaputra bodhisattvo 'syāmacalāyāṃ	praBayA avaBAsayati, evam eva Bo jinaputra boDisattvaH asyAm acalAyAm
   bodhisattvabhūmau sthito	boDisattva BUmO sTitaH 
   yāvaddaśabuddhakṣetraśatasahasraparamāṇurajaḥsamān lokadhātūn mahatā	yAvat daSa budDa kzetra Sata sahasra paramANu rajaH samAn lokaDAtUn mahatA
   maitryavabhāsena spharitvā sattvānāṃ kleśaparidāhānanupūrveṇa praśamayati,	mEtrI avaBAsena sParitvA sattvAnAm kleSa paridAha ananupUrveNa praSamayati,
   āśrayāṃśca prahlādayati / tasya daśabhyaḥ pāramitābhyaḥ praṇidhānapāramitā	ASrayAn= ca prahlAdayati / tasya daSaByaH pAramitAByaH praNiDAna pAramitA
   atiriktatamā bhavati, na ca pariśeṣāsu na samudāgacchati yathābalaṃ	atiriktatamA Bavati, na ca pariSezAsu na samudAgacCati yaTAbalam
   yathābhajamānam / iyaṃ bhavanto jinaputrā bodhisattvasya acalā nāma aṣṭamī	yaTABajamAnam / iyam BavantaH jinaputrAH boDisattvasya acalA nAma azwamI
   bodhisattvabhūmiḥ samāsanirdeśataḥ / vistaraśaḥ	boDisattva BUmiH samAsa nirdeSataH / vistaraSaH
   punaraparyantakalpanirdeśaniṣṭhāto 'nugantavyā / yasyāṃ pratiṣṭhito	punar aparyanta kalpa nirdeSa nizWAtaH anugantavyA / yasyAm pratizWitaH 
   bodhisattvo bhūyastvena mahābrahmā bhavati sāhasrādhipatiḥ /	boDisattvaH BUyastvena mahA brahmA Bavati sAhasra aDipatiH /
   abhibhūranabhibhūto 'nvarthadarśī vaśiprāptaḥ kṛtī prabhuḥ sattvānāṃ	aBiBUH anaBiBUtaH anvarTa darSI vaSi prAptaH kRtI praBuH sattvAnAm
   sarvaśrāvakapratyekabuddhabodhisattvapāramitopadeśopasaṃhāreṣu asaṃhāryo	sarva SrAvaka pratyekabudDa boDisattva pAramitA upadeSa upasaMhArezu asaMhAryaH 
   lokadhātuvibhaktiparipṛcchānirdeśeṣu / yacca kiṃcit ... //	lokaDAtu viBakti paripRcCA nirdeSezu / yat ca kiMcid ... //
   acalā nāma aṣṭamī bhūmiḥ //	acalA nAma azwamI BUmiH //
   (Dbh 49)	(DB 49)
   9 sādhumatī nāma navamī bhūmiḥ /	9 sADumatI nAma navamI BUmiH /
   vajragarbho bodhisattva āha   yo 'yaṃ bhavanto jinaputrā bodhisattva	vajragarBaH boDisattvaH Aha  yaH ayam BavantaH jinaputrAH boDisattva
   evamapramāṇajñeyavicāritayā buddhyā bhūyaścottarān śāntān	evam apramANa jQeya vicAritayA budDyA BUyas ca uttarAn SAntAn
   vimokṣānadhyavasyan adhyālambamānaḥ bhūyaścottaraṃ tathāgatajñānaṃ	vimokza anaDyavasyan aDyAlambamAnaH BUyas ca uttaram taTAgata jQAnam
   susamāptaṃ vicārayan tathāgataguhyānupraveśaṃ cāvataran	su samAptam vicArayan taTAgata guhya anupraveSam ca avataran
   acintyajñānamāhātmyaṃ ca pravicinvan dhāraṇīsamādhipravicayaṃ ca	acintya jQAna mAhAtmyam ca pravicinvan DAraNI samADi pravicayam ca
   pariśodhayan abhijñāvaipulyaṃ cābhinirharan lokadhātuvibhaktiṃ cānugacchan	pariSoDayan aBijQA vEpulyam ca aBinirharan loka DAtu viBaktim ca anugacCan
   tathāgatabalavaiśādyāveṇikabuddhadharmāsaṃhāryatāṃ ca parikarmayan	taTAgata bala vESAdyA veNika budDa Darma asaMhArya tAm ca parikarmayan
   tathāgatadharmacakrapravartanavṛṣabhatāṃ cānukramamāṇaḥ	taTAgata Darma cakra pravartana vRzaBa tAm ca anukramamANaH
   mahākaruṇādhiṣṭhānapratilambhaṃ cānutsṛjan navamīṃ	mahA karuNa aDizWAna pratilamBam ca anutsRjat navamIm
   bodhisattvabhūmimākramati / so 'syāṃ sādhumatyāṃ bodhisattvabhūmau sthitaḥ	boDisattva BUmim Akramati / saH asyAm sADu matyAm boDisattva BUmO sTitaH
   kuśalākuśalāvyākṛtadharmābhisaṃskāraṃ ca yathābhūtaṃ prajānāti /	kuSala akuSala avya akRta Darma aBisaMskAram ca yaTABUtam prajAnAti /
   sāsravānāsravadharmābhisaṃskāraṃ ca ... /	sa AsravAnAsrava Darma aBisaMskAram ca ... /
   laukikalokottaradharmābhisaṃskāraṃ ca ... / cintyācintyadharmābhisaṃskāraṃ	lOkika loka uttara Darma aBisaMskAram ca ... / cintya acintya Darma aBisaMskAram
   ca ... / niyatāniyatadharmābhisaṃskāraṃ ca ... /	ca ... / niyata aniyata Darma aBisaMskAram ca ... /
   śrāvakapratyekabuddhadharmābhisaṃskāraṃ ca ... /	SrAvaka pratyekabudDa Darma aBisaMskAram ca ... /
   bodhisattvacaryādharmābhisaṃskāraṃ ca ... /	boDisattva caryA Darma aBisaMskAram ca ... /
   tathāgatabhūmidharmābhisaṃskāraṃ ca ... / saṃskṛtadharmābhisaṃskāraṃ ca..	taTAgata BUmi Darma aBisaMskAram ca ... / saMskRta Darma aBisaMskAram ca..
   / asaṃskṛtadharmābhisaṃskāraṃ ca yathābhūtaṃ prajānāti //	/ asaMskRta Darma aBisaMskAram ca yaTABUtam prajAnAti //
   sa evaṃjñānānugatayā buddhyā sattvacittagahanopacāraṃ ca yathābhūtaṃ	saH evaMjQAna anugatayA budDyA sattva citta gahana upacAram ca yaTABUtam
   prajānāti / kleśagahanopacāraṃ ca ... / karmagahanopacāraṃ ca ... /	prajAnAti / kleSa gahana upacAram ca ... / karma gahana upacAram ca ... /
   indriyagahanopacāraṃ ca ... / adhimuktigahanopacāraṃ ca ... /	indriya gahana upacAram ca ... / aDimukti gahana upacAram ca ... /
   dhātugahanopacāraṃ ca ... / āśayānuśayagahanopacāraṃ ca ... /	DAtu gahana upacAram ca ... / ASaya anuSaya gahana upacAram ca ... /
   upapattigahanopacāraṃ ca ... / vāsanānusaṃdhigahanopacāraṃ ca ... /	upapatti gahana upacAram ca ... / vAsanA anusaMDi gahana upacAram ca ... /
   trirāśivyavasthānagahanopacāraṃ ca yathābhūtaṃ prajānāti / sa sattvānāṃ	tri rASi vyavasTAna gahana upacAram ca yaTABUtam prajAnAti / sa sattvAnAm
   cittavaimātratāṃ ca yathābhūtaṃ prajānāti / cittavicitratāṃ ca	citta vEmAtra tAm ca yaTABUtam prajAnAti / citta vicitra tAm ca
   cittakṣaṇalaghuparivartabhaṅgabhaṅgatāṃ ca cittaśarīratāṃ ca	citta kzaNa laGu parivarta BaFga BaFga tAm ca citta SarIra tAm ca
   cittānantyasarvataḥprabhūtatāṃ ca cittaprabhāsvaratāṃ ca	citta Anantya sarvatas praBUta tAm ca citta praBAsvaratAm ca
   cittasaṃkleśaniḥkleśatāṃ ca cittabandhavimokṣatāṃ ca cittamāyāviṭhapanatāṃ	citta saMkleSa niHkleSa tAm ca citta banDa vimokza tAm ca citta mAyA viWa panatAm
   ca cittayathāgatipratyupasthānatāṃ ca yāvadanekāni cittanānātvasahasrāṇi	ca citta yaTA gati pratyupasTAna tAm ca yAvat anekAni citta nAnA tva sahasrANi
   yathābhūtaṃ prajānāti / sa kleśānāṃ dūrānugatatāṃ ca yathābhūtaṃ prajānāti	yaTABUtam prajAnAti / sa kleSAnAm dUra anugata tAm ca yaTABUtam prajAnAti
   / prayogānantatāṃ ca ... / sahajāvinirbhāgatāṃ ca ... /	/ prayoga ananta tAm ca ... / sahaja avinirBAga tAm ca ... /
   anuśayaparyutthānaikārthatāṃ ca ... / cittasaṃprayogāsaṃprayogatāṃ ca ...	anuSaya paryutTAna eka arTa tAm ca ... / citta saMprayoga asaMprayoga tAm ca ...
   / upapattisaṃdhiyathāgatipratyupasthānatāṃ ca ... / traidhātukavibhaktitāṃ	/ upapatti saMDi yaTAgati pratyupasTAna tAm ca ... / trEDAtuka viBaktitAm
   ca ... / tṛṣṇāvidyādṛṣṭiśalyamānamahāsāvadyatāṃ ca ... / trividhakarmaṇi	ca ... / tRzNA vidyA dRzwi SalyamAna mahAsAvadyatAm ca ... / triviDa karmaNi
   dānānupacchedatāṃ ca ... / samāsato	dAna anupacCeda tAm ca ... / samAsatas 
   yāvaccaturaśītikleśacaritanānātvasahasrānupraveśatāṃ (Dbh 50) ca	yAvat caturaSIti kleSa carita nAnA tva sahasra anupraveSa tAm (DB 50) ca
   yathābhūtaṃ prajānāti / sa karmaṇāṃ kuśalākuśalāvyākṛtatāṃ ca ... /	yaTABUtam prajAnAti / sa karmaNAm kuSala akuSala avyAkRta tAm ca ... /
   vijñaptyavijñaptitāṃ ca ... / cittasahajāvinirbhāgatāṃ ca ... /	vijQapti avijQapti tAm ca ... / citta sahajA vinirBAga tAm ca ... /
   svarasakṣaṇakṣīṇabhaṅgopacayāvipraṇāśaphalānusaṃdhitāṃ ca ... /	svara sa kzaNa kzINa BaFga upacaya avipraNASa Pala anusaMDitAm ca ... /
   vipākavipākatāṃ ca ...	vipAka vipAka tAm ca ...
   kṛṣṇaśuklākṛṣṇaśuklānekadeśakarmasamādānavaimātratāṃ ca ... /	kRzNa SuklA kRzNa Sukla aneka deSa karma sama AdAna vEmAtra tAm ca ... /
   karmakṣetrāpramāṇatāṃ ca ... / āryalaukikapravibhaktitāṃ ca ... /	karma kzetra apramANa tAm ca ... / Arya lOkika praviBakti tAm ca ... /
   lokottaradharmavyavasthānatāṃ ca ... / (sopādānānupādānatāṃ ca ... /	loka uttara Darma vyavasTAna tAm ca ... / (sA upAdAna anupAdAna tAm ca ... /
   saṃskṛtāsaṃskṛtatāṃ ca / ) dṛṣṭadharmopapadyāparaparyāyavedanīyatāṃ ca ...	saMskRta asaMskRta tAm ca / ) dRzwa Darma upapadya apara paryAya vedanIya tAm ca ...
   / yānāyānaniyatāniyatatāṃ ca ... / samāsato	/ yAna AyAna niyata aniyatatAm ca ... / samAsatas 
   yāvaccaturaśītikarmanānātvasahasrapravibhaktivicayakauśalyaṃ ca	yAvat caturaSIti karma nAnAtva sahasra praviBakti vicaya kOSalyam ca
   yathābhūtaṃ prajānāti / sa indriyāṇāṃ mṛdumadhyādhimātratāṃ ca ... /	yaTABUtam prajAnAti / saH indriyANAm mRdu maDya aDimAtra tAm ca ... /
   pūrvāntāparāntasaṃbhedāsaṃbhedatāṃ ca ... / udāramadhyanikṛṣṭatāṃ ca ... /	pUrva anta apara anta saMBeda asaMBeda tAm ca ... / udAra maDya nikRzwa tAm ca ... /
   kleśasahajāvinirbhāgatāṃ ca ... / yānāyānaniyatāniyatatāṃ ca ... /	kleSa sahaja avinirBAga tAm ca ... / yAna AyAna niyata aniyatatAm ca ... /
   yathāparipavkāparipakvavaineyikatāṃ ca ... /	yaTA paripavkA pa ripakva vEneyika tAm ca ... /
   indriyajālānuparivartanalaghubhaṅganimittagrahaṇatāṃ ca ... /	indriya jAla anuparivartana laGu BaFga nimitta grahaNa tAm ca ... /
   indriyādhipatyānavamardanīyatāṃ ca ... /	indriya ADipatyAnavamardanIya tAm ca ... /
   vivartyāvivartyendriyapravibhāgatāṃ ca ... /	vivartya avivartya indriya praviBAga tAm ca ... /
   dūrānugatasahajāvinirbhāganānātvavimātratāṃ ca, samāsato	dUra anugata sahajA vinirBAga nAnAtva vimAtra tAm ca, samAsatas 
   yāvadanekānīndriyanānātvasahasrāṇi prajānāti / so 'dhimuktīnāṃ	yAvat anekAni indriya nAnA tva sahasrANi prajAnAti / saH aDi muktInAm
   mṛdumadhyādhimātratāṃ ca ... yāvadanekānyadhimuktinānātvasahasrāṇi	mRdu maDya aDimAtra tAm ca ... yAvat anekAni aDimukti nAnA tva sahasrANi
   prajānāti / sa dhātūnāṃ ... . / sa āśayānāṃ ... . / so	prajAnAti / sa DAtUnAm ... . / saH ASayAnAm ... . / saH 
   'nuśayānāmāśayasahajacittasahajatāṃ ca ... . / cittasaṃprayogatāṃ ca ... /	anuSayAnAm ASaya sahaja citta sahajatAm ca ... . / citta saMprayoga tAm ca ... /
   viprayogavibhāgadūrānugatatāṃ ca ... / anādikālānuddhaṭitatāṃ ca ... /	viprayoga viBAga dUra anugata tAm ca ... / anAdi kAlAn udDawita tAm ca ... /
   sarvadhyānavimokṣasamādhisamāpattyabhijñāprasahyatāṃ ca /	sarva DyAna vimokza samADi samApatti aBijQA prasahya tAm ca /
   traidhātukasaṃdhisunibaddhatāṃ ca / anādikālacittanibandhasamudācāratāṃ ca	trEDAtuka saMDi su nibadDa tAm ca / anAdi kAla citta nibanDa samudAcAra tAm ca
   / āyatanadvārasamudayavijñaptitāṃ ca / pratipakṣālābhādravyabhūtatāṃ ca /	/ Ayatana dvAra samudaya vijQapti tAm ca / pratipakza alABA dravya BUta tAm ca /
   bhūmyāyatanasamavadhānāsamavadhānatāṃ ca / ananyāryamārgasamuddhaṭanatāṃ	BUmi Ayatana samavaDAna asamavaDAna tAm ca / ananya Arya mArga samudDawana tAm
   ca prajānāti / sa upapattinānātvatāṃ ca / yathākarmopapattitāṃ ca /	ca prajAnAti / saH upapattinAnAtva tAm ca / yaTA karma upapatti tAm ca /
   nirayatiryagyonipretāsuramanuṣyadevavyavasthānatāṃ ca /	niraya tiryagyoni preta asura manuzya deva vyavasTAna tAm ca /
   rūpārūpyopapattitāṃ ca / saṃjñāsaṃjñopapattitāṃ ca /	rUpArUpya upapatti tAm ca / saMjQA saMjQA upapatti tAm ca /
   karmakṣetratṛṣṇāsnehāvidyāndhakāravijñānabījapunarbhavaprarohaṇatāṃ ca /	karma kzetra tRzNA sneha avidyA anDakAra vijQAna bIja punarBava prarohaNa tAm ca /
   nāmarūpasahajāvinirbhāgatāṃ ca / bhavasaṃmohatṛṣṇābhilāṣasaṃdhitāṃ ca /	nAma rUpa sahajA vinirBAga tAm ca / Bava saMmoha tRzNA aBilAza saMDi tAm ca /
   bhoktukāmabhavitukāmasattvaratyanavarāgratāṃ ca /	Boktu kAma Bavitu kAma sattva rati anavara agra tAm ca /
   traidhātukāvagrahaṇasaṃjñāniṣkarṣaṇatāṃ ca prajānāti / sa	trEDAtuka avagrahaNa saMjQA nizkarzaNa tAm ca prajAnAti / sa
   vāsanānāmupacārānupacāratāṃ ca ... / yathāgatisaṃbandhavāsanāvāsitatāṃ ca	vAsanAnAm upacArAn upacAra tAm ca ... / yaTAgati saMbanDa vAsanA vAsita tAm ca
   / yathāsattvacaryācaraṇavāsitatāṃ ca / yathākarmakleśābhyāsavāsitatāṃ ca /	/ yaTA sattva caryA caraNa vAsita tAm ca / yaTA karma kleSa aByAsa vAsita tAm ca /
   kuśalākuśalāvyākṛtadharmābhyāsavāsitatāṃ ca / punarbhavagamanādhivāsitatāṃ	kuSala akuSala avya akRta Darma aByAsa vAsita tAm ca / punarBava gamana ADiva asita tAm
   ca ... / anupūrvādhivāsitatāṃ ca /	ca ... / anupUrva aDivAsita tAm ca /
   dūrānugatānupacchedakleśopakarṣaṇavikārānuddharaṇavāsitatāṃ ca /	dUra anugata anupacCeda kleSa upakarzaNa vikArAn udDaraNa vAsita tAm ca /
   dravyabhūtādravyabhūtavāsitatāṃ ca /	dravya BUta adravya BUta vAsita tAm ca /
   śrāvakapratyekabuddhabodhisattvatathāgatadarśanaśravaṇasaṃvāsavāsitatāṃ ca	SrAvaka pratyekabudDa boDisattva taTAgata darSana SravaNa saMvAsa vAsita tAm ca
   prajānāti / sa sattvarāśīnāṃ samyaktvaniyatatāṃ ca prajānāti	prajAnAti / sa sattva rASInAm samyaktva niyata tAm ca prajAnAti
   mithyātvaniyatatāṃ ca / ubhayatvāniyatatāṃ ca ... /	miTyAtva niyata tAm ca / uBaya tva aniyatatAm ca ... /
   samyagdṛṣṭisamyagniyatatāṃ ca mithyādṛṣṭimithyā ... niyatatāṃ ca /	samyak dRzwi samyak ni yatatAm ca miTyA dRzwi miTyA ... niyata tAm ca /
   tadubhayavigamādaniyatatāṃ ca pañcānantaryānyatamamithyādṛṣṭiniyatatāṃ ca	tad uBaya vigamAt aniyata tAm ca paQca anantaryA anyatama miTyA dRzwi niyata tAm ca
   ... / pañcendriyasamyagniyatatāṃ ca ... / aṣṭamithyātvamithyāniyatatāṃ ca	... / paQca indriya samyak ni yatatAm ca ... / azwa miTyA tva miTyA niyata tAm ca
   ... / samyaktvasamyagniyatatāṃ ca ... / apunaḥkāritatāṃ ca ... /	... / samyaktu a samyak ni yatatAm ca ... / apunar kArita tAm ca ... /
   mātsaryerṣyāghṛṇopacārāvinivṛttyā mithyāniyatatāṃ ca ... /	mAtsarya IrzyA GRNa upacAra avinivRttyA miTyA niyata tAm ca ... /
   āryānuttaramārgabhāvanopasaṃhārasamyaktvaniyatatāṃ ca ... /	Arya anuttara mArga BAvanA upasaMhAra samyaktva niyata tAm ca ... /
   tadubhayavigamādaniyatarāśyupadeśatāṃ ca prajānāti / iti hi bho jinaputra	tad uBaya vigamAt aniyata rASi upadeSa tAm ca prajAnAti / iti hi Bo jinaputra
   evaṃjñānānugato bodhisattvaḥ sādhumatyāṃ bodhisattvabhūmau pratiṣṭhita	evaMjQAna anugataH boDisattvaH sADu matyAm boDisattva BUmO pratizWita
   ityucyate //	iti ucyate //
   so 'syāṃ sādhumatyāṃ bodhisattvabhūmau sthita evaṃ caryāvimātratāṃ	saH asyAm sADu matyAm boDisattva BUmO sTitaH evam caryA vimAtra tAm
   sattvānāmajñāya tathaiva mokṣopasaṃhāramupasaṃharati / sa sattvaparipākaṃ	sattvAnAm ajQAya taTA eva mokza upasaMhAram upasaMharati / sa sattva paripAkam
   prajānāti / sattvavinayaṃ ca ... / śrāvakayānadeśanāṃ ca /	prajAnAti / sattva vinayam ca ... / SrAvaka yAna deSanAm ca /
   pratyekabuddhayānadeśanāṃ ca / bodhisattvayānadeśanāṃ ca /	pratyekabudDa yAna deSanAm ca / boDisattva yAna deSanAm ca /
   tathāgatabhūmideśanāṃ ca prajānāti / sa evaṃ jñātvā tathatvāya sattvebhyo	taTAgata BUmi deSanAm ca prajAnAti / saH evam jQAtvA taTatvAya sattveByaH 
   dharmaṃ deśayati / yathāśayavibhaktito yathānuśayavibhaktito	Darmam deSayati / yaTASaya viBaktitaH yaTA anuSaya viBaktitaH 
   yathendriyavibhaktito (Dbh 51) yathādhimuktivibhaktito	yaTA indriya viBaktitaH (DB 51) yaTA aDimukti viBaktitaH 
   yathāgocaravibhāgajñānopasaṃhārataḥ sarvagocarajñānānugamanato	yaTA gocara viBAga jQAna upasaMhArataH sarva gocara jQAna anugamana taH 
   yathādhātugahanopacārānugamanato	yaTADAtu gahana upacAra anugamana taH 
   yathāgatyupapattikleśakarmavāsanānuvartanato	yaTAgati upapatti kleSa karma vAsanA anuvartana taH 
   yathārāśivyavasthānānugamanato yathāyānādhimokṣavimuktiprāptito	yaTArASi vyavasTAna anugamanataH yaTAyAna aDimokza vimukti prAptitaH 
   'nantavarṇarūpakāyasaṃdarśanataḥ sarvalokadhātumanojñasvaravijñāpanataḥ	ananta varNa rUpa kAya saMdarSanataH sarva loka DAtu manojQa svara vijQApanataH
   sarvarutaravitaparijñānataḥ sarvapratisaṃvidviniścayakauśalyataśca dharmaṃ	sarva ruta ravita parijQAnataH sarva pratisaMvid viniScaya kOSalyataH ca Darmam
   deśayati //	deSayati //
   so 'syāṃ sādhumatyāṃ bodhisattvabhūmau sthitaḥ san bodhisattvo	saH asyAm sADu matyAm boDisattva BUmO sTitaH san boDisattvaH 
   dharmabhāṇakatvaṃ kārayati, tathāgatadharmakośaṃ ca rakṣati / sa	Darma BANaka tvam kArayati, taTAgata Darma koSam ca rakzati / sa
   dharmābhāṇakagatimupagato 'pramāṇajñānānugatena kauśalyena	Darma ABANaka gatim upagataH apramANa jQAna anugatena kOSalyena
   catuḥpratisaṃvidabhinirhṛtayā bodhisattvavācā dharmaṃ deśayati / tasya	catur pratisaMvid aBinirhRtayA boDisattva vAcA Darmam deSayati / tasya
   satatasamitamasaṃbhinnāścatasro bodhisattvapratisaṃvido 'nupravartante /	satata samitam asaMBinnAH catasraH boDisattva pratisaMvidaH anupravartante /
   katamāścatasraḥ? yaduta dharmapratisaṃvit arthapratisaṃvit	katamAH catasraH? yat uta Darma pratisaMvid arTa pratisaMvid 
   niruktipratisaṃvit pratibhānapratisaṃvit //	nirukti pratisaMvid pratiBAna pratisaMvid //
   sa dharmapratisaṃvidā svalakṣaṇaṃ dharmāṇāṃ prajānāti / arthapratisaṃvidā	sa Darma pratisaMvidA sva lakzaNam DarmANAm prajAnAti / arTa pratisaMvidA
   vibhaktiṃ dharmāṇāṃ prajānāti / niruktipratisaṃvidā asaṃbhedadeśanāṃ	viBaktim DarmANAm prajAnAti / nirukti pratisaMvidA asaMBeda deSanAm
   dharmāṇāṃ prajānāti / pratibhānapratisaṃvidā anuprabandhānupacchedatāṃ	DarmANAm prajAnAti / pratiBAna pratisaMvidA anuprabanDa an upacCedatAm
   dharmāṇāṃ prajānāti //	DarmANAm prajAnAti //
   punaraparaṃ dharmapratisaṃvidā abhāvaśarīraṃ dharmāṇāṃ prajānāti /	punar aparam Darma pratisaMvidA aBAva SarIram DarmANAm prajAnAti /
   arthapratisaṃvidā udayāstagamanaṃ dharmāṇāṃ prajānāti /	arTa pratisaMvidA udaya asta gamanam DarmANAm prajAnAti /
   niruktipratisaṃvidā sarvadharmaprajñaptyacchedanadharmaṃ deśayati /	nirukti pratisaMvidA sarva Darma prajQapti acCedana Darmam deSayati /
   pratibhānapratisaṃvidā yathāprajñaptyavikopanatāparyantatayā dharmaṃ	pratiBAna pratisaMvidA yaTA prajQapti avikopanatA paryanta tayA Darmam
   deśayati //	deSayati //
   punaraparaṃ dharmapratisaṃvidā pratyutpannavibhaktiṃ dharmāṇāṃ prajānāti /	punar aparam Darma pratisaMvidA pratyutpanna viBaktim DarmANAm prajAnAti /
   arthapratisaṃvidā atītānāgatavibhaktiṃ dharmāṇāṃ prajānāti /	arTa pratisaMvidA atIta anAgata viBaktim DarmANAm prajAnAti /
   niruktipratisaṃvidā atītānāgapratyutpannāsaṃbhedato dharmaṃ deśayati /	nirukti pratisaMvidA atIta anAga pratyutpanna asaMBedataH Darmam deSayati /
   pratibhānapratisaṃvidā ekaikamadhvānamārabhya aparyantadharmālokatayā	pratiBAna pratisaMvidA ekEkam aDvAnam AraBya aparyanta Darma AlokatayA
   dharmaṃ deśayati //	Darmam deSayati //
   punaraparaṃ dharmapratisaṃvidā dharmaprabhedaṃ prajānāti /	punar aparam Darma pratisaMvidA Darma praBedam prajAnAti /
   arthapratisaṃvidā arthaprabhedaṃ prajānāti / niruktipratisaṃvidā	arTa pratisaMvidA arTa praBedam prajAnAti / nirukti pratisaMvidA
   yathārutadeśanatayā dharmaṃ deśayati / pratibhānapratisaṃvidā	yaTA aruta deSana tayA Darmam deSayati / pratiBAna pratisaMvidA
   yathānuśayajñānaṃ deśayati //	yaTA anuSaya jQAnam deSayati //
   punaraparaṃ dharmapratisaṃvidā dharmajñānavibhaktyasaṃbhedakauśalyaṃ	punar aparam Darma pratisaMvidA Darma jQAna viBakti asaMBeda kOSalyam
   prajānāti / arthapratisaṃvidā anvayajñānatathātvavyavasthānaṃ prajānāti /	prajAnAti / arTa pratisaMvidA anvaya jQAna taTA tva vyavasTAnam prajAnAti /
   niruktipratisaṃvidā saṃvṛtijñānasaṃdarśanāsaṃbhedatayā nirdiśati /	nirukti pratisaMvidA saMvRti jQAna saMdarSana asaMBeda tayA nirdiSati /
   pratibhānapratisaṃvidā paramārthajñānakauśalyena dharmaṃ deśayati //	pratiBAna pratisaMvidA parama arTa jQAna kOSalyena Darmam deSayati //
   punaraparaṃ dharmapratisaṃvidā ekanayāvikopaṃ dharmāṇāṃ prajānāti /	punar aparam Darma pratisaMvidA ekanayA avikopam DarmANAm prajAnAti /
   arthapratisaṃvidā	arTa pratisaMvidA
   skandhadhātvāyatanasatyapratītyasamutpādakauśalyānugamamavatarati /	skanDa DAtu Ayatana satya pratItya samutpAda kOSalya anugamam avatarati /
   niruktipratisaṃvidā	nirukti pratisaMvidA
   sarvajagadabhigamanīyasumadhuragirinirghoṣākṣarairnirdiśati /	sarva jagat aBigamanIya su maDura giri nirGoza akzarEH nirdiSati /
   pratibhānapratisaṃvidā bhūyo bhūyo 'paryantadharmāvabhāsatayā nirdiśati //	pratiBAna pratisaMvidA BUyas BUyas aparyanta Darma avaBAsa tayA nirdiSati //
   punaraparaṃ dharmapratisaṃvidā ekayānasamavasaraṇanānātvaṃ prajānāti /	punar aparam Darma pratisaMvidA eka yAna samavasaraNa nAnA tvam prajAnAti /
   arthapratisaṃvidā pravibhaktayānavimātratāṃ prajānāti /	arTa pratisaMvidA praviBakta yAna vimAtra tAm prajAnAti /
   niruktipratisaṃvidā sarvayānānyabhedena nirdiśati / pratibhānapratisaṃvidā	nirukti pratisaMvidA sarva yAnAni aBedena nirdiSati / pratiBAna pratisaMvidA
