   akalaṅkavivekānāṃ KDarp_1.30c	akalaFka-vivekAnAm KDarp_1.30c
   nīto vasiṣṭhena ruṣābhiśaptaś KDarp_7.5c	nItaH vasizWena ruzA-aBiSaptaH KDarp_7.5c
   nīyate kāladhūmena KDarp_4.61c	nIyate kAlaDUmena KDarp_4.61c
   nīyate nyāyatāṃ yayā KDarp_3.29b	nIyate nyAyatAm yayA KDarp_3.29b
   nīyante yena pārthivāḥ KDarp_3.142d	nIyante yena pArTivAH KDarp_3.142d
   nīlapītādidarśanaiḥ KDarp_3.70b	nIla-pIta-Adi-darSanEH KDarp_3.70b
   nīlotpaladalāvalī KDarp_4.23d	nIlotpala-dala-AvalI KDarp_4.23d
   nṛttenāpsarasaḥ sarvā KDarp_4.18c	nRttena-apsarasaH sarvA KDarp_4.18c
   nṛtte nivṛtte jambhāriṃ KDarp_4.39c	nRtte nivRtte jamBArim KDarp_4.39c
   nṛtyanti paṭahaistasya KDarp_2.35c	nRtyanti pawahEH-tasya KDarp_2.35c
   nṛtyantī sā babhau hāra- KDarp_4.21a	nRtyantI sA baBO hAra KDarp_4.21a
   nṛpaśca tadvacaścintā- KDarp_4.71c	nRpaH-ca tad-vacaH-cintA KDarp_4.71c
   nṛpastatyāja dhīratām KDarp_5.40d	nRpaH-tatyAja DIra-tAm KDarp_5.40d
   nṛpaḥ pāpāddvijaḥ krodhāt KDarp_3.49c	nRpaH pApAt-dvijaH kroDAt KDarp_3.49c
   nṛpaistatpakṣipātibhiḥ KDarp_5.17d	nRpEH-tad-pakzi-pAtiBiH KDarp_5.17d
   nekṣante nidhanāvadhim KDarp_2.5b	na-Ikzante niDana-avaDim KDarp_2.5b
   netrāṇi vidyādharasundarīṇāṃ KDarp_7.40c	netrANi vidyADara-sundarINAm KDarp_7.40c
   netrotsavo 'bhūdgativighnabhūtaḥ KDarp_7.41d	netra-utsavaH aBUt-gati-viGna-BUtaH KDarp_7.41d
   naikaṃ padaṃ kālagatasya paścāt KDarp_2.1d	na-ekam padam kAlagatasya paScAt KDarp_2.1d
   naiva bhrātre cukopa saḥ KDarp_3.143b	na-eva BrAtre cukopa saH KDarp_3.143b
   naivārpayati yatpāṇau KDarp_4.36c	na-eva-arpayati yat-pANO KDarp_4.36c
   naiṣāṃ muktirbhavati tapasā kāyasaṃśoṣaṇena KDarp_7.69d	na-ezAm muktiH-Bavati tapasA kAya-saMSozaNena KDarp_7.69d
   nonnatyai kasya namratā KDarp_1.32d	na-unnatyE kasya namra-tA KDarp_1.32d
   nyāyaścānyāyatāṃ lobhāt KDarp_3.29c	nyAyaH-ca-anyAyatAm loBAt KDarp_3.29c
   nyāsaṃ śṛṅgārasarvasvam KDarp_4.30c	nyAsam SRFgAra-sarvasvam KDarp_4.30c
   pakvaṇe kuṇapākāras KDarp_2.80c	pakvaNe kuNapa-AkAraH KDarp_2.80c
   pakvaṇograpiśācānām KDarp_2.82c	pakvaNa-ugra-piSAcAnAm KDarp_2.82c
   pakṣāntavātairiva kampitānām KDarp_7.52b	pakza-anta-vAtEH-iva kampitAnAm KDarp_7.52b
   paṭhantyapi vihaṃgamāḥ KDarp_3.2b	paWanti-api vihaMgamAH KDarp_3.2b
   paṇḍitāḥ kavayaḥ śūrāḥ KDarp_2.30a	paNxitAH kavayaH SUrAH KDarp_2.30a
   paṇyasthāne prasāritā KDarp_3.7d	paNya-sTAne prasAritA KDarp_3.7d
   patantyetāḥ sujanmanaḥ KDarp_4.29b	patanti-etAH su-janmanaH KDarp_4.29b
   patitaḥ pātakecchayā KDarp_3.139d	patitaH pAtaka-icCayA KDarp_3.139d
   patitaḥ saṃbhramātkṣitau KDarp_3.121b	patitaH saMBramAt-kzitO KDarp_3.121b
   patitā sparśabhītyeva KDarp_3.94c	patitA sparSaBI-ityA-iva KDarp_3.94c
   patidarśananiścayau KDarp_4.39b	pati-darSana-niScayO KDarp_4.39b
   patnījanasya sutarāṃ vinivartane 'bhūt KDarp_7.66d	patnI-janasya sutarAm vinivartane aBUt KDarp_7.66d
   patnīvikārogranikāramūcuḥ KDarp_7.61c	patnI-vikAra-ugra-nikAram-UcuH KDarp_7.61c
   patnīvodghāṭitāṃśukā KDarp_3.30b	patnI-iva-udGAwita-aMSukA KDarp_3.30b
   patnyā śoṇitapātanam KDarp_2.20d	patnyA SoNita-pAtanam KDarp_2.20d
   patrasaṃcayasaṃbhāraiḥ KDarp_3.28c	patra-saMcaya-saMBArEH KDarp_3.28c
   pathā tenaiva gacchanti KDarp_3.142c	paTA tena-eva gacCanti KDarp_3.142c
   pathyaṃ vaktuṃ pracakrame KDarp_1.24d	paTyam vaktum pracakrame KDarp_1.24d
   padmopamānāṃ dinasundarāṇāṃ KDarp_4.1a	padma-upamAnAm dina-sundarANAm KDarp_4.1a
   papāta dṛṣṭiḥ sahasaiva tāsām KDarp_7.49d	papAta dRzwiH sahasA-eva tAsAm KDarp_7.49d
   papraccha svacchahṛdayastv KDarp_4.45c	papracCa su-acCa-hRdayaH-tu KDarp_4.45c
   papracchābhyetya sasmitaḥ KDarp_3.56d	papracCa-aByetya sa-smitaH KDarp_3.56d
   paraduḥkhaṃ na jānāti KDarp_1.54c	para-duHKam na jAnAti KDarp_1.54c
   paramātsaryaśalyena KDarp_3.38a	para-mAtsarya-Salyena KDarp_3.38a
   paralokamabhūdgṛham KDarp_2.15d	para-lokam-aBUt-gRham KDarp_2.15d
   parasūktāpahāreṇa KDarp_3.39a	para-sUkta-apahAreNa KDarp_3.39a
   parasparavilokane KDarp_4.30b	paraspara-vilokane KDarp_4.30b
   parārtiśamanaṃ vittam KDarp_6.7a	para-Arti-Samanam vittam KDarp_6.7a
   parāvasuḥ samāgacchan KDarp_3.130c	parAvasuH samAgacCan KDarp_3.130c
   parāśayanavajvaraścaritacandrabimbāmbudaḥ KDarp_1.41c	parASaya-navajvaraH-carita-candra-bimba-ambudaH KDarp_1.41c
   paripākojjvalaṃ phalam KDarp_3.24d	paripAka-ujjvalam Palam KDarp_3.24d
   parivartavivartanaiḥ KDarp_6.32d	parivarta-vivartanEH KDarp_6.32d
   pareṇa paribhūyate KDarp_3.40b	pareNa pariBUyate KDarp_3.40b
   pareṣāmārtiśamanaṃ KDarp_6.9c	parezAm-Arti-Samanam KDarp_6.9c
   pareṣāṃ guṇanindakaḥ KDarp_3.42b	parezAm guNa-nindakaH KDarp_3.42b
   parotkarṣaṃ samācchādya KDarp_3.33a	para-utkarzam samAcCAdya KDarp_3.33a
   paropakaraṇīkṛtā KDarp_3.10d	para-upakaraNIkRtA KDarp_3.10d
   paropatāpaḥ kriyate KDarp_3.48a	para-upatApaH kriyate KDarp_3.48a
   parjanyagarjitāmarṣī KDarp_5.24c	parjanya-garjita-amarzI KDarp_5.24c
   paryantarekhāṅgavibhāgahīna- KDarp_4.2a	paryanta-reKA-aFga-viBAga-hIna KDarp_4.2a
   paryante 'pyaprakāśena KDarp_2.7c	paryante api-aprakASena KDarp_2.7c
   paryante rājagāminyo KDarp_2.72c	paryante rAja-gAminyaH KDarp_2.72c
   paryante vapuṣaḥ karoti puruṣaḥ kiṃ śalyatulyairdhanaiḥ KDarp_2.64d	paryante vapuzaH karoti puruzaH kim Salya-tulyEH-DanEH KDarp_2.64d
   paryāyaśo yātyativaiparītyam KDarp_5.4d	paryAyaSaH yAti-ati-vEparItyam KDarp_5.4d
   palāyamānaḥ saṃprāptaḥ KDarp_3.120a	palAyamAnaH saMprAptaH KDarp_3.120a
   paścāttāpākulo 'bhavat KDarp_3.19d	paScAttApa-AkulaH aBavat KDarp_3.19d
   paścānmlānavapurvilolaśithilaḥ padmaḥ prakīrṇe 'nilais KDarp_4.73c	paScAt-mlAna-vapuH-vilola-SiTilaH padmaH prakIrNe anilEH KDarp_4.73c
   paśyannātmani sāsūyaḥ KDarp_3.19c	paSyan=-Atmani sa-asUyaH KDarp_3.19c
   paśya māmadhamāśayaḥ KDarp_1.50b	paSya mAm-aDama-ASayaH KDarp_1.50b
   pasparśotkampinīṃ pāda- KDarp_1.72c	pasparSa-utkampinIm pAda KDarp_1.72c
   pasya me dakṣiṇaṃ pārśvaṃ KDarp_6.47c	pasya me dakziNam pArSvam KDarp_6.47c
   pākakrameṇaiva vicitrakarmā KDarp_4.6a	pAka-krameNa-eva vicitrakarmA KDarp_4.6a
   pākakvāthakadarthitaḥ parijanaistandrībhayātkṣobhitaḥ KDarp_2.64b	pAka-kvATa-kadarTitaH parijanEH-tandrI-BayAt-kzoBitaH KDarp_2.64b
   pāṭhamātreṇa kevalam KDarp_3.31b	pAWa-mAtreNa kevalam KDarp_3.31b
   pāṇinā paṭapallavam KDarp_3.91d	pANinA pawa-pallavam KDarp_3.91d
   pāṇisthitaśyāmamayūrapicchacchāyācchaṭāvicchurito 'sya kaṇṭhaḥ	pANi-sTita-SyAma-mayUra-picCa=-CAyAt-CawA-vicCuritaH asya kaNWaH
   KDarp_7.33/a	KDarp_7.33/a
   pāṇḍuḥ priyākaṇṭhavilambibāhur KDarp_7.7a	pANxuH priyA-kaNWa-vilambi-bAhuH KDarp_7.7a
   pātakrūre ivāṃśumān KDarp_3.109d	pAtakrUre iva-aMSumAn KDarp_3.109d
   pātitasyāpathe viṭaiḥ KDarp_2.48b	pAtitasya-ApaTe viwEH KDarp_2.48b
   pātrāya pūjāṃ pratipadyate yaḥ KDarp_6.2b	pAtrAya pUjAm pratipadyate yaH KDarp_6.2b
   pātre dānena kiṃ madaḥ KDarp_6.8d	pAtre dAnena kim madaH KDarp_6.8d
   pādena kṣitimālikhanti samadāḥ kopoṣṇaniḥśvāsinas KDarp_1.46a	pAdena kzitim-AliKanti sa-madAH kopa-uzNa-niHSvAsinaH KDarp_1.46a
   pāpaśāntyai dhṛtavrataḥ KDarp_3.136b	pApa-SAntyE DRta-vrataH KDarp_3.136b
   pāpasaṃkalpamātreṇa KDarp_3.94a	pApa-saMkalpa-mAtreNa KDarp_3.94a
   pāpasaṃkhyāṃ karoti kaḥ KDarp_2.95d	pApa-saMKyAm karoti kaH KDarp_2.95d
   pāpastava suhṛtsutaḥ KDarp_3.107b	pApaH-tava suhRd-sutaH KDarp_3.107b
   pāpaṃ hi padamāpadām KDarp_2.92d	pApam hi padam-ApadAm KDarp_2.92d
   pāpāptena dhanena kim KDarp_2.49d	pApa-Aptena Danena kim KDarp_2.49d
   pārśvenaikena śobhitaḥ KDarp_6.31b	pArSvena-ekena SoBitaH KDarp_6.31b
   piṭakasyeva pūrṇasya KDarp_2.53a	piwakasya-iva pUrNasya KDarp_2.53a
   pitāmahī vā prapitāmahī vā KDarp_1.16b	pitAmahI vA prapitAmahI vA KDarp_1.16b
   pituḥ śrāddhadine mahān KDarp_2.84b	pituH SrAdDa-dine mahAn KDarp_2.84b
   pitṛghnaḥ samacintayat KDarp_3.137d	pitR-GnaH samacintayat KDarp_3.137d
   pitṛpraṇayalālitāḥ KDarp_3.18d	pitR-praNaya-lAlitAH KDarp_3.18d
   pitrā lobhāndhakāreṇa KDarp_2.19c	pitrA loBa-anDakAreNa KDarp_2.19c
   piśunānāṃ śunāmiva KDarp_3.44b	piSunAnAm SunAm-iva KDarp_3.44b
   pīḍanīyasya bhūbhujā KDarp_2.53b	pIxanIyasya BUBujA KDarp_2.53b
   pīḍyante tīvramārgaṇaiḥ KDarp_3.47b	pIxyante tIvra-mArgaNEH KDarp_3.47b
   pītā kṣaṇena sā tena KDarp_4.66c	pItA kzaNena sA tena KDarp_4.66c
   pīnāṃsamāsīnmukhapūrṇacandram KDarp_7.31d	pIna-aMsam-AsIt-muKa-pUrNa-candram KDarp_7.31d
   pīyūṣanavanītena KDarp_4.41c	pIyUza-navanItena KDarp_4.41c
   puṇyapuṇyena kevalam KDarp_4.50d	puNya-puNyena kevalam KDarp_4.50d
   puṇyaprāpyā matirnāma KDarp_2.17a	puNya-prApyA matiH-nAma KDarp_2.17a
   puṇyasāphalyaniḥśalya- KDarp_4.52c	puNya-sAPalya-niHSalya KDarp_4.52c
   puṇyairāste kiyacciram KDarp_4.38d	puNyEH-Aste kiyat-ciram KDarp_4.38d
   putradārādisaṃbandhaḥ KDarp_2.29a	putra-dAra-Adi-saMbanDaH KDarp_2.29a
   putra prayatnena vibodhito 'si KDarp_1.40a	putra prayatnena viboDitaH asi KDarp_1.40a
   putra prāptā tvayā vidyā KDarp_3.65a	putra prAptA tvayA vidyA KDarp_3.65a
   putra mithyābhimānena KDarp_1.25a	putra miTyA-aBimAnena KDarp_1.25a
   putrastejonidhirnāma KDarp_1.22c	putraH-tejoniDiH-nAma KDarp_1.22c
   putrasya vā guṇanidheḥ sahasā viyoge KDarp_2.61b	putrasya vA guNa-niDeH sahasA viyoge KDarp_2.61b
   putrasyādhyayane vyadhāt KDarp_3.112b	putrasya-aDyayane vyaDAt KDarp_3.112b
   putrāvabhūtāṃ raibhyasya KDarp_3.17a	putrO=-aBUtAm rEByasya KDarp_3.17a
   putrāsthāṃ jananī sthirām KDarp_2.81b	putra-AsTAm jananI sTirAm KDarp_2.81b
   putre durvyasanānvite KDarp_2.39b	putre durvyasana-anvite KDarp_2.39b
   punargṛhītavyavāharabhāram KDarp_7.10b	punar-gRhIta-vyavAhara-BAram KDarp_7.10b
   punarbhavābdhirjanako na yasya KDarp_1.82b	punarBava-abDiH-janakaH na yasya KDarp_1.82b
   punaḥ punaḥ sa tapasā KDarp_1.79a	punar punar sa tapasA KDarp_1.79a
   puraḥ prahārābhimukho babhūva KDarp_7.57d	puras prahAra-aBimuKaH baBUva KDarp_7.57d
   puraḥ sthitāpi śakrasya KDarp_4.34c	puras sTitA-api Sakrasya KDarp_4.34c
   purā kanakavarṣiṇaḥ KDarp_6.28b	purA kanaka-varziNaH KDarp_6.28b
   purā raibhyabharadvājau KDarp_3.16c	purA rEBya-BaradvAjO KDarp_3.16c
   purohitāya gurave KDarp_6.25a	purohitAya gurave KDarp_6.25a
   purohitena sahitas KDarp_4.55c	purohitena sahitaH KDarp_4.55c
   puṣpakālaḥ samāyayau KDarp_3.76d	puzpakAlaH samAyayO KDarp_3.76d
   puṣpyatprasūnaiḥ prasṛtasmitābhiḥ KDarp_7.50b	puzpyat-prasUnEH prasRta-smitABiH KDarp_7.50b
   puṃsaścitramayūracāruvapuṣaḥ kiṃ tasya rūpaśriyā KDarp_4.15d	puMsaH-citra-mayUra-cAru-vapuzaH kim tasya rUpa-SriyA KDarp_4.15d
   puṃsāmavasthātritayatribhāge KDarp_4.8a	puMsAm-avasTA-tritaya-tri-BAge KDarp_4.8a
   puṃsāṃ dhananibandhanaḥ KDarp_2.29b	puMsAm Dana-nibanDanaH KDarp_2.29b
   puṃsāṃ ni kiṃjalkamivāmbujānām KDarp_4.17d	puMsAm ni kiMjalkam-iva-ambujAnAm KDarp_4.17d
   puṃsāṃ paratreha ca durnimittam KDarp_2.113d	puMsAm paratra-iha ca durnimittam KDarp_2.113d
   pūjāpraṇayapātratām KDarp_4.53d	pUjA-praNaya-pAtra-tAm KDarp_4.53d
   pūjāmādāya niryayau KDarp_2.101d	pUjAm-AdAya niryayO KDarp_2.101d
   pūjāvyagrakaraṃ puraḥ KDarp_2.103b	pUjA-vyagra-karam puras KDarp_2.103b
   pūjyapūjāmahotsavaḥ KDarp_4.51b	pUjya-pUjA-mahA-utsavaH KDarp_4.51b
   pūjyapūjāsu lajjase KDarp_1.25d	pUjya-pUjAsu lajjase KDarp_1.25d
   pūrṇāyābhyarthya dīyate KDarp_6.12b	pUrNAya-aByarTya dIyate KDarp_6.12b
   pūrṇārthamalasaṃcayāt KDarp_2.108b	pUrNa-arTa-mala-saMcayAt KDarp_2.108b
   pūrvāpakārasmṛtijātalajjaṃ KDarp_7.35c	pUrva-apakAra-smRti-jAta-lajjam KDarp_7.35c
   pṛcchantaṃ rabhasena tam KDarp_5.32b	pRcCantam raBasena tam KDarp_5.32b
   pṛthuḥ prasādaḥ prathamāgateṣu KDarp_7.23a	pRTuH prasAdaH praTama-Agatezu KDarp_7.23a
   pṛṣṭā sā tena śāpitā KDarp_1.61b	pRzwA sA tena SApitA KDarp_1.61b
   pṛṣṭau purohiteneti KDarp_4.58c	pRzwO purohitena-iti KDarp_4.58c
   prakampaśiñjānavibhūṣaṇānāṃ KDarp_7.41c	prakampa-SiQjAna-viBUzaNAnAm KDarp_7.41c
   prakīrṇayūkāmalakālakāyas KDarp_4.10c	prakIrNa-yUka-amala-kAla-kAyaH KDarp_4.10c
   praklinnakāyavikale KDarp_2.90c	praklinna-kAya-vikale KDarp_2.90c
   prakṣaratkṣatajokṣitaḥ KDarp_1.48d	prakzarat-kzataja-ukzitaH KDarp_1.48d
   prakṣaratkṣatajokṣitaḥ KDarp_2.88b	prakzarat-kzataja-ukzitaH KDarp_2.88b
   prakṣālya na parīkṣyante KDarp_3.8c	prakzAlya na parIkzyante KDarp_3.8c
   pracakraturvidrumabālavallī- KDarp_7.30c	pracakratuH-vidruma-bAla-vallI KDarp_7.30c
   prajñāprakarṣaḥ paravañcanāya KDarp_2.9b	prajQA-prakarzaH para-vaQcanAya KDarp_2.9b
   prajñāprabhāvaṃ vibhavaṃ vapuśca KDarp_4.17b	prajQA-praBAvam viBavam vapuH-ca KDarp_4.17b
   prajvalanmanyunā muniḥ KDarp_3.109b	prajvalat-manyunA muniH KDarp_3.109b
   praṇataṃ caraṇālīnaṃ KDarp_2.103a	praNatam caraNa-AlInam KDarp_2.103a
   praṇamya yayaturbhuvam KDarp_4.39d	praNamya yayatuH-Buvam KDarp_4.39d
   pratasthe kharamāruhya KDarp_1.47c	pratasTe Karam-Aruhya KDarp_1.47c
   pratikṣaṇaṃ dehabhṛtāmalakṣyaḥ KDarp_4.6b	pratikzaNam dehaBRtAm-alakzyaH KDarp_4.6b
   pratipattipradarśitam KDarp_6.15b	pratipatti-pradarSitam KDarp_6.15b
   pratibhābhaṅgasaṅgādyā KDarp_3.43c	pratiBA-BaFga-saFga-AdyA KDarp_3.43c
   pratīkāraparo 'bhavat KDarp_3.113d	pratIkAra-paraH aBavat KDarp_3.113d
   pratyakṣameṣāṃ manaso vikāraṃ KDarp_7.27a	pratyakzam-ezAm manasaH vikAram KDarp_7.27a
   pratyakṣeṇopalakṣyate KDarp_2.27b	pratyakzeNa-upalakzyate KDarp_2.27b
   pratyabdamekadivase hy KDarp_1.80c	pratyabdam-eka-divase hi KDarp_1.80c
   pratyāvṛttasya vahnayaḥ KDarp_3.123b	pratyAvRttasya vahnayaH KDarp_3.123b
   pratyāsannaraṇotsavau KDarp_5.35d	pratyAsanna-raNa-utsavO KDarp_5.35d
   pradānaṃ haraṇāyate KDarp_1.34b	pradAnam haraNAyate KDarp_1.34b
   pradīptajvalanākāraiḥ KDarp_5.40a	pradIpta-jvalana-AkArEH KDarp_5.40a
   pradūṣitā yena maharṣijuṣṭā KDarp_7.62c	pradUzitA yena mahA-Rzi-juzwA KDarp_7.62c
   pradveṣadoṣoṣṇamameyamāyaṃ KDarp_7.11c	pradveza-doza-uzNam-ameya-mAyam KDarp_7.11c
   prabhāvabhavanastambha KDarp_5.29a	praBAva-Bavana-stamBa KDarp_5.29a
   prabhāvādudgataṃ bhuvaḥ KDarp_2.102b	praBAvAt-udgatam BuvaH KDarp_2.102b
   prabhudṛṣṭiprahṛṣṭasya KDarp_2.43c	praBu-dRzwi-prahRzwasya KDarp_2.43c
   prabhubhrūbhaṅgabhītena KDarp_2.87a	praBu-BrU-BaFga-BItena KDarp_2.87a
   prabhūtabhārasaṃbhāraṃ KDarp_6.16a	praBUta-BAra-saMBAram KDarp_6.16a
   prabhūtalābhalobhena KDarp_2.44a	praBUta-lABa-loBena KDarp_2.44a
   pramūḍhaśaktiḥ kṛpayā vimuktaḥ KDarp_5.12b	pramUXa-SaktiH kRpayA vimuktaH KDarp_5.12b
   prayacchati guṇastavaiḥ KDarp_6.4b	prayacCati guNa-stavEH KDarp_6.4b
   prayacchasi kimarthibhyas KDarp_2.28a	prayacCasi kimarTiByaH KDarp_2.28a
   prayayau tena nāparaḥ KDarp_2.83d	prayayO tena na-aparaH KDarp_2.83d
   prayātyalpamanalpatām KDarp_6.7d	prayAti-alpam-analpa-tAm KDarp_6.7d
   prayānti vīrāḥ sukṛtāmṛtādrair KDarp_5.45c	prayAnti vIrAH sukRta-amRta-adrEH KDarp_5.45c
   prayuktārthasya sarvataḥ KDarp_2.44b	prayukta-arTasya sarvatas KDarp_2.44b
   pravardhamānena dhanodayena KDarp_2.113b	pravarDamAnena Dana-udayena KDarp_2.113b
   praviveśa tadāśramam KDarp_3.79d	praviveSa tad-ASramam KDarp_3.79d
   praviśatyavikalpena KDarp_3.140c	praviSati-avikalpena KDarp_3.140c
   praviśannijamāśramam KDarp_3.122b	praviSat-nijam-ASramam KDarp_3.122b
   pravṛttaṃ śakyate roddhuṃ KDarp_3.87c	pravRttam Sakyate rodDum KDarp_3.87c
   pravṛttānyakṣaṇocitā KDarp_4.66d	pravRttAni-akzaNa-ucitA KDarp_4.66d
   pravṛtte vidhivattasya KDarp_3.129a	pravRtte viDivat-tasya KDarp_3.129a
   pravṛtte 'sminmahādāne KDarp_6.36a	pravRtte asmin-mahA-dAne KDarp_6.36a
   pravrajyātyaktagehasya KDarp_2.47a	pravrajyA-tyakta-gehasya KDarp_2.47a
   praśamavimalaṃ vyoma vyāpya priyāmavadatsmaya- KDarp_7.67c	praSama-vimalam vyoma vyApya priyAm-avadat-smaya KDarp_7.67c
   praśamāmṛtasekāya KDarp_1.2c	praSama-amRta-sekAya KDarp_1.2c
   praśamāya pitā snehāt KDarp_1.24c	praSamAya pitA snehAt KDarp_1.24c
   praśamena tavānena KDarp_3.145a	praSamena tava-anena KDarp_3.145a
   praśaśaṃsaturāścarya- KDarp_4.44c	praSaSaMsatuH-AScarya KDarp_4.44c
   praśāntāśeṣavighnāya KDarp_1.1a	praSAnta-aSeza-viGnAya KDarp_1.1a
   praśānto 'ntastṛṣṇāviṣamaparitāpaḥ śamajalair KDarp_7.73a	praSAntaH antar-tRzNA-vizama-paritApaH Sama-jalEH KDarp_7.73a
   prasannāste vayaṃ mune KDarp_3.145b	prasannAH-te vayam mune KDarp_3.145b
   prasabhaṃ bhujyamānena KDarp_2.49c	prasaBam BujyamAnena KDarp_2.49c
   prasṛtahasitastasmādeśātkrameṇa tirohitaḥ KDarp_7.67b	prasRta-hasitaH-tasmAt-eSAt-krameNa tirohitaH KDarp_7.67b
   prāgjanmapremabandhanam KDarp_3.85d	prAc-janma-prema-banDanam KDarp_3.85d
   prāṇabhādhāya dehinām KDarp_5.22d	prANa-BADAya dehinAm KDarp_5.22d
   prāṇādhikasya suhṛdastaruṇījanasya KDarp_2.61a	prANa-aDikasya suhRdaH-taruNI-janasya KDarp_2.61a
   prātarjarājīrṇatanuḥ sa eva KDarp_4.7d	prAtar-jarA-jIrNa-tanuH saH eva KDarp_4.7d
   prātarbālataro 'tha kudmalatayā kāntākucābhaḥ śanair KDarp_4.73a	prAtar-bAlataraH aTa kudmala-tayA kAntAkuca-ABaH SanEs KDarp_4.73a
   prātastatrābavījjanaḥ KDarp_2.74d	prAtar-tatra-abavIt-janaH KDarp_2.74d
   prātaḥ prātaḥ pradhāvatām KDarp_2.3b	prAtar prAtar praDAvatAm KDarp_2.3b
   prādhānyena manuṣyāṇāṃ KDarp_1.4c	prADAnyena manuzyANAm KDarp_1.4c
   prāpuḥ prayātāḥ kṣitimakṣamālā KDarp_7.58c	prApuH prayAtAH kzitim-akzamAlA KDarp_7.58c
   prāptavidyaḥ sa sotsāhas KDarp_3.63a	prApta-vidyaH sa sa-utsAhaH KDarp_3.63a
   prāptaśrīrapi mā kṛthāḥ KDarp_1.38b	prApta-SrIH-api mA kRTAH KDarp_1.38b
   prāptastatparṇakuṭikām KDarp_6.46c	prAptaH-tad-parNa-kuwikAm KDarp_6.46c
   prāptā prītiḥ kimucyate KDarp_4.48d	prAptA prItiH kim-ucyate KDarp_4.48d
   prāptuṃ svargavarāṅganāstanataṭasparśātiriktaṃ sukhaṃ KDarp_6.27a	prAptum svarga-vara-aFganA-stana-tawa-sparSa-atiriktam suKam KDarp_6.27a
   prāptena bhūbhujā dṛṣṭvā KDarp_6.34a	prAptena BUBujA dRzwvA KDarp_6.34a
   prāpnotu svasutādvadham KDarp_3.125d	prApnotu sva-sutAt-vaDam KDarp_3.125d
   prāṃśuvaṃśasamudbhavā KDarp_1.21b	prAMSu-vaMSa-samudBavA KDarp_1.21b
   priyabhogaviyoginī KDarp_1.70b	priya-Boga-viyoginI KDarp_1.70b
   prītiḥ kasya na bhūtaye KDarp_1.32b	prItiH kasya na BUtaye KDarp_1.32b
   prekṣavāpte jane jinaḥ KDarp_2.97b	prekzava-Apte jane jinaH KDarp_2.97b
   provāca pṛthivīpatim KDarp_3.139b	provAca pRTivIpatim KDarp_3.139b
   provāca praṇato munim KDarp_3.115d	provAca praNataH munim KDarp_3.115d
   phenāvaśeṣairiva kīrṇakeśaḥ KDarp_7.37d	Pena-avaSezEH-iva kIrNa-keSaH KDarp_7.37d
   phenena śakraḥ sa jaghāna vṛtram KDarp_5.6d	Penena SakraH sa jaGAna vRtram KDarp_5.6d
   badaryāśramasaṃsaktau KDarp_5.34a	badaryASrama-saMsaktO KDarp_5.34a
   baddhā jarāsaṃdhanṛpeṇa pūrvam KDarp_5.11b	badDA jarAsaMDa-nRpeNa pUrvam KDarp_5.11b
   bandhakīlābhalobhena KDarp_5.25c	banDakI-lABa-loBena KDarp_5.25c
   bandhūnāṃ mukhamāturaḥ KDarp_2.7d	banDUnAm muKam-AturaH KDarp_2.7d
   bandheneva dhanena kim KDarp_2.47d	banDena-iva Danena kim KDarp_2.47d
   babandha vāsanālīnaḥ KDarp_2.81c	babanDa vAsanAlInaH KDarp_2.81c
   babhāṣe bhagavānprīto KDarp_2.103c	baBAze BagavAn-prItaH KDarp_2.103c
   babhūva durnimittolkā- KDarp_3.109c	baBUva durnimitta-ulkA KDarp_3.109c
   babhūva bhūrisaṃbhāra- KDarp_2.73c	baBUva BUri-saMBAra KDarp_2.73c
   babhūva vallabhā patnī KDarp_1.21c	baBUva vallaBA patnI KDarp_1.21c
   babhūvārthisamūhānna- KDarp_2.84c	baBUva-arTi-samUhAn-na KDarp_2.84c
   babhūvotkrāntamaryādaḥ KDarp_3.82c	baBUva-utkrAnta-maryAdaH KDarp_3.82c
   babhau sa kāntaḥ kuṭilāsitena KDarp_7.36a	baBO sa kAntaH kuwila-asitena KDarp_7.36a
   balādānena tena kim KDarp_6.14d	bala-AdAnena tena kim KDarp_6.14d
   bāṇastryakṣeṇa kaṃsāri- KDarp_5.15a	bANaH-tri-akzeNa kaMsAri KDarp_5.15a
   bālastapasvī kimato 'sti hāsyaṃ KDarp_7.15a	bAlaH-tapasvI kim-atas asti hAsyam KDarp_7.15a
   bālastṛṇe ca kanake ca samānadṛṣṭir KDarp_2.60a	bAlaH-tRNe ca kanake ca samAna-dRzwiH KDarp_2.60a
   bālasya śauryaṃ kusumopamasya KDarp_5.3a	bAlasya SOryam kusuma-upamasya KDarp_5.3a
   bālaḥ prabhāte madhyāhne KDarp_4.69a	bAlaH praBAte maDyAhne KDarp_4.69a
   bāṣpadānena tena kim KDarp_6.24d	bAzpa-dAnena tena kim KDarp_6.24d
   bibhrato 'ntargatarasāṃ KDarp_3.93a	biBrataH antargata-rasAm KDarp_3.93a
   bṛsīṃ samutkṣipya sakampabāhuś KDarp_7.56a	bRsIm samutkzipya sa-kampa-bAhuH KDarp_7.56a
   bṛhadyumnasya bhūpateḥ KDarp_3.128b	bRhadyumnasya BUpateH KDarp_3.128b
   brahmanka eṣa nirbandhas KDarp_3.57a	brahman-kaH eza nirbanDaH KDarp_3.57a
