   tṛtīya ucchvāsaḥ	tRtIyaH ucCvAsaH
   kharjūrapuṭasamudgakagarbhīkṛtabhikṣākapālakena	KarjUra-puwa-samudgaka-garBIkRta-BikzA-kapAlakena
   dāravaphalakatrayatrikoṇatriyaṣṭiniviṣṭakamaṇḍalunā	dArava-Palaka-traya-trikoNa-tri-yazwi-nivizwaka-maNxalunA
   bahurupapāditapādukāvasthānena sthūladaśāsūtraniyantritapustikāpūlakena	bahuH-upapAdita-pAdukA-avasTAnena sTUla-daSA-sUtra-niyantrita-pustikA-pUlakena
   vāmakaradhṛtena yogabhārakeṇādhyāsitaskandham, itarakaragṛhītavetrāsanaṃ	vAma-kara-DRtena yoga-BArakeNa-aDyAsita-skanDam, itara-kara-gRhIta-vetra-Asanam
   maskariṇamadrākṣīt /	maskariNam-adrAkzIt /
   kṣitipatirapyugapatamucitena cainamādareṇānvagrahīt /	kzitipatiH-api-ugapatam-ucitena ca-enam-AdareNa-anvagrahIt /
   āsīnaṃ ca papraccha--"kva bhairavācāryaḥ?' iti /	AsInam ca papracCa--"kva BErava-AcAryaH?-a iti /
   sādaranarapativacanamuditamatistu parivrāṭ tamupanagaraṃ	sa-Adara-nara-pati-vacana-mudita-matiH-tu parivrAj tam-upanagaram
   sarasvatītaṭavanāvalambini śūnyāyatane sthitamācacakṣe /	sarasvatI-tawa-vana-avalambini SUnya-Ayatane sTitam-Acacakze /
   bhūyaścābabhāṣe--"arcayati hi mahābhāgaṃ bhagavānāśīrvatacasā' ityuktvā	BUyas-ca-AbaBAze--"arcayati hi mahABAgam BagavAn-ASIrvatacasA-a iti-uktvA
   copaninye yogabhārakādākṛṣya bhairavācāryaprahitāni ratnavanti	ca-upaninye yoga-BArakAt-AkRzya BErava-AcArya-prahitAni ratnavanti
   bahalālokaliptāntaḥ purāṇi pañca rājatāni puṇḍarīkāṇi /	bahala-Aloka-lipta-antar purANi paQca rAjatAni puNxarIkANi /
   narapatistu priyajanapraṇayabhaṅgakātaro dākṣiṇyamanurudhyamāno	narapatiH-tu priya-jana-praNaya-BaFga-kAtaraH dAkziNyam-anuruDyamAnaH-
   grahaṇalāghavaṃ ca laṅghayitumasamartho dolāyamānena manasā sthitvā ciraṃ	grahaNa-lAGavam ca laFGayitum-asamarTaH dolAyamAnena manasA sTitvA ciram
   kathakathamapyatisaujanyanighnastāni jagrāha /	kaTa-kaTam-api-ati-sOjanya-niGnaH-tAni jagrAha /
   jagāda ca--"sarvaphalaprasavahetuḥ śivabhaktiriyaṃ no manorathadurlabhāni	jagAda ca--"-sarva-Pala-prasava-hetuH Siva-BaktiH-iyam naH manoraTa-durlaBAni
   phalati phalāni /	Palati PalAni /
   yenaivamasmāsu prīyate tatrabhagavānbhuvanagururbhairavācāryaḥ /	yena-evam-asmAsu prIyate tatraBagavAn-Buvana-guruH-BErava-AcAryaH /
   śvo draṣṭāsmi bhagavantam' ityuktvā ca maskariṇaṃ vyasarjayat /	Svas drazwAsmi Bagavantam-a iti-uktvA ca maskariNam vyasarjayat /
   anayā ca vārtayā parāṃ mudamavāpa /	anayA ca vArtayA parAm mudam-avApa /
   aparedyuśca prātarevotthāya vājinamadhiruhya samucchritaśvetātapatraḥ	aparedyus-ca prAtar-eva-utTAya vAjinam-aDiruhya samucCrita-Sveta-AtapatraH
   samuddhūyamānadhavalacāmarayugalaḥ katipayaireva rājaputraiḥ parivṛto	samudDUyamAna-Davala-cAmara-yugalaH katipayEH-eva rAja-putrEH parivRtaH-
   bhairavācāryaṃ savitāramiva śaśī draṣṭuṃ pratasthe /	BErava-AcAryam savitAram-iva SaSI drazwum pratasTe /
   gatvā ca kiñcidantaraṃ tadīyamevābhimukhamāpatantamanyatamaṃ	gatvA ca kiQcid-antaram tadIyam-eva-aBimuKam-Apatantam-anyatamam
   śiṣyamadrāśrīt /	Sizyam-adrASrIt /
   aprākṣīcca--"kva bhagavānāste?' iti /	aprAkzIt-ca--"kva BagavAn-Aste?-a iti /
   so 'kathayat--"asya jīrṇamātṛguhasyotareṇa bilvavāṭikāmadhyāste' iti /	saH akaTayat--"asya jIrNa-mAtR-guhasya-utareNa bilva-vAwikAm-aDyAste-a iti /
   gatvā ca taṃ pradeśamavatatāra turagāt /	gatvA ca tam pradeSam-avata-tAra turagAt /
   praviveśa ca bilvavāṭikām /	praviveSa ca bilva-vAwikAm /
   atha mahataḥ kārpaṭhikavṛndasya madhye prātareva snātam, taddāṣṭapuṣpikam,	aTa mahataH kArpaWika-vRndasya maDye prAtar-eva snAtam, tat-dA-azwa-puzpikam,
   anuṣṭhitāgnikāryam, kṛtabhasmarekhāparihāraparikare	anuzWita-agni-kAryam, kRta-Basma-reKA-parihAra-parikare
   haritagomayopaliptakṣititalavitate vyāghracarmaṇyupaviṣṭam,	harita-gomaya-upalipta-kziti-tala-vitate vyAGra-carmaNi-upavizwam,
   kṛṣṇakambalaprāvaraṇanibhenāsuravivarapraveśāśaṅkayā	kRzNa-kambala-prAvaraNa-niBena-asura-vivara-praveSa-ASaFkayA
   pātālāndhakārāvāsamivābhyasyantam, unmiṣitā vidyutkapilenātmatejasā	pAtAla-anDakAra-AvAsam-iva-aByasyantam, unmizitA vidyut-kapilena-Atma-tejasA
   mahāmāṃsavikrayakrītena manaḥ śilāpaṅkeneva śiṣyalokaṃ limpantam,	mahAmAMsa-vikraya-krItena manaH SilA-paFkena-iva Sizya-lokam limpantam,
   jayākṛtaikadeśalambamānarudrākṣaśaṅkhaguṭikenordhvabaddhena śikhāpāśena	jaya-akRta-eka-deSa-lamba-mAna-rudrAkza-SaFKa-guwikena-UrDva-badDena SiKA-pASena
   badhnantamiva, vidyāvalepadurvidagdhānuparisaṃcarataḥ siddhān,	baDnantam-iva, vidyA-avalepa-durvidagDa-anupari-saMcarataH sidDAn-,
   dhavalakatipayaśiroruheṇa vayasā vañcapañcāśataṃ varṣāṇyatikrāmantam,	Davala-katipaya-SiroruheNa vayasA vaQca-paQcASatam varzANi-atikrAmantam,
   khālityakṣīyamāṇaśaṅkalomaleśam, lomaśakarṇaśaṣṭalīpraheśam,	KAlitya-kzIyamANa-SaFka-loma-leSam, lomaSa-karNa-SazwalI-praheSam,
   pṛthulalāṭataṭam, tiraśyāmabhasmalaṭikā bahuśaḥ	pRTu-lalAwa-tawam, tiraSya-Ama-Basma-lawikAH bahuSas-
   śirorghatadandhaguggulusaṃtāpasphuṭitakapālāsthipāṇḍurarāja ṅkāmiva	SirorGata-danDa-guggulu-saMtApa-sPuwita-kapAla-asTi-pANxura-rAja FkAm-iva
   janayantam, sahajalalāṭabalibhaṅgasakocitakūrcabhāgāṃ bamrubhāsaṃ	janayantam, sahaja-lalAwa-bali-BaFga-sa-kocita-kUrca-BAgAm bamru-BAsam
   bhrūsaṃgatyā nirantarāmāyāminīmekāmiva bhrūlekhāṃ bibhrāṇam,	BrU-saMgatyA nirantarAm-AyAminIm-ekAm-iva BrU-leKAm biBrANam,
   riṣatkācarakanīnikena raktāpāhganigantaṃśupratānena	rizat-kAcaraka-nInikena rakta-apAhga-nigantaMSu-pratAnena
   madhyadhvalabhāsendrāyudhenevātidīrgheṇa locanayugalena parito	maDya-Dvala-BAsa-indrAyuDena-iva-ati-dIrGeNa locana-yugalena paritas-
   mahāmaṇḍalamivānekavarṇarāgamālikhantam, sitapītalohita paṭākāvaliśbalam,	mahA-maNxalam-iva-aneka-varNa-rAgam-Ali-Kantam, sita-pIta-lohita pawAkA-valiH-balam,
   śivanalīmiva dikṣu vikṣipantam, tārkṣyatuṇḍakoṭikubjāgraghoṇam,	Siva-nalIm-iva dikzu vikzipantam, tArkzya-tuNxa-kowi-kubja-agra-GoNam,
   dūravidīrṇasṛkkasaṃkṣiptakapolam,	dUra-vidIrNa-sRkka-saMkzipta-kapolam,
   kiñciddanturatayāsadāhṛdayasaṃnihitaharaṇaulicandrātapeneva nirgacchatā	kiQcid-dantura-tayA-asadA-hRdaya-saMnihita-haraNa-oli-candra-Atapena-iva nirgacCatA
   dantālokena dhavala yantaṃ diśaṃ jālam,	danta-Alokena Davala yantam diSam jAlam,
   jihvāsrasthitasarvaśaivasaṃhitātibhāraṇeva manākpralambitauṣṭham,	jihvA-asra-sTita-sarva-SEva-saMhitA-ati-BAraNA-iva manAk-pralambita-ozWam,
   pralambaśravamapālīpreṅkhitābhyāṃ sphāṭikakaṇḍalābhyā	pralamba-Sravam-apAlI-preFKitAByAm sPAwika-kaNxalAByA
   śukrabṛhaspatibhyāmiva surāsuravijayavidyāsiddhiśradvayānubadhyamānam,	Sukra-bRhaspatiByAm-iva sura-asura-vijaya-vidyA-sidDiSra-dvaya-anubaDyamAnam,
   baddhavivi ghauṣadhimantrasūtrapaṅktinā sarohavalayene prakaṣṭh śaṅkhaṇḍaṃ	badDa-vivi Ga-ozaDi-mantra-sUtra-paFktinA sa-roha-valayene prakazW SaFKaNxam
   pūṣṇao dantatamiva bhagavatā bhavena bhagne bhaktyā bhṛṣaṇīkṛtaṃ	pUzNaaH dantatam-iva BagavatA Bavena Bagne BaktyA BRzaNIkRtam
   kalayantam, akhilarasakūpodañcanaghaṭīyantramālāmiva rudrākṣamālāṃ	kalayantam, aKila-rasa-kUpa-udaQcana-GawI-yantra-mAlAm-iva rudrAkza-mAlAm
   dakṣiṇena pāṇinā bhramayantam, urasi dolāyamānenāpiṅgalāgreṇa	dakziNena pANinA Bramayantam, urasi dolAyamAnena-apiFgala-agreNa
   kūṭakacakalāpena saṃmārjayantamivāntargataṃ nijarajonikaram,	kUwa-kaca-kalApena saMmArjayantam-iva-antargatam nija-rajaH-nikaram,
   atinibiḍanīlalomamaṇḍalavicitaṃ ca dhyānalabdhena jyotiṣā dagdhamiva	ati-nibixa-nIla-loma-maNxala-vicitam ca DyAna-labDena jyotizA dagDam-iva
   hṛdayadeśaṃ dadhānarm, iṣatpraśithilavalibalayabadhyamānatundam,	hRdaya-deSam daDAnarm, izad-praSiTila-vali-balaya-baDyamAna-tundam,
   upayamānasphiṅmāṃsapiṇḍakam, pāṇḍurapavitrakṣaumāvṛkaupīnam,	upayamAna-sPic-mAMsa-piNxakam, pANxura-pavitra-kzOma-avRkOpInam,
   sāvaṣṭhambhaparyaṅkabandhamaṇḍalitenāmṛtaphenaśvetarucā yogapaṭṭakena	sa-avazWamBa-paryaFka-banDa-maNxalitena-amRta-Pena-Sveta-rucA yoga-pawwakena
   vāsukinevāpratihatā nekamantraprabhāvāvirbhūtena pradakṣiṇīkriyamṇam,	vAsukineva-apratihatA neka-mantra-praBAva-AvirBUtena pradakziNI-kriyamNam,
   aruṇatābharasasukumārataratalasya pādayugalasya	aruNa-tA-ABa-rasa-sukumAratara-talasya pAda-yugalasya
   nirmalainaikhamayūkhajālakairjarjarayantamiva mahānighānoddharaṇarasena	nirmalEna-eKa-mayUKa-jAlakEH-jarjarayantam-iva mahA-niGAna-udDaraNa-rasena
   rasātalam, toyakṣālitaśucinā śautapādukāyugale haṃsamithuneneva	rasAtalam, toya-kzAlita-SucinA SOta-pAdukA-yugale haMsa-miTunena-iva
   bhāghīrathītīrthayātrāparicayāgatenāmucchamānacaraṇāntikam, śikhara	BAGIraTI-tIrTa-yAtrA-paricaya-Agatena-AmucCamAna-caraNa-antikam, SiKara
   nikhātakubjakālāyasakaṇṭakena vaiṇavena viśākhikādaṇḍena	niKAta-kubja-kAla-Ayasa-kaNwakena vENavena viSAKikA-daNxena
   sarvavidyayayāsiddhivighnavināyakāpanayanāṅkuśeneva satatapārśvavartinā	sarva-vidyayayA-sidDi-viGna-vinAya-kApa-nayana-aFkuSena-iva satata-pArSva-vartinA
   virājamānam, abahubhāṣiṇaṃ mandahāsinaṃ sarvopakāriṇaṃ	virAjamAnam, abahu-BAziNam manda-hAsinam sarva-upakAriNam
   kumārabrahnacāriṇam, atitapasvinam, mahāmanasvinaṃ sṛtakrodhan,	kumAra-brahna-cAriNam, ati-tapasvinam, mahAmanasvinam sRta-kroDan,
   akṛśānurodham, mahānagaramivādīnaprakṛtiśobhitam, merumiva	akRSa-anuroDam, mahA-nagaram-iva-AdIna-prakRti-SoBitam, merum-iva
   kalpatarupaccavarāśisukumāracchāyam, kailāsamiva	kalpa-taru-pacca-varASi-sukumAra=-CAyam, kElAsam-iva
   paśupaticaraṇarajaḥpavitritaśirasam, śivalokamiva māheśvaragaṇānuyātam,	paSupati-caraNa-rajaH-pavitrita-Sirasam, Siva-lokam-iva mAheSvara-gaNa-anuyAtam,
   jalanidhimivānekanadanadīsahasraprakṣālitaśarīram, jāṅnavīpravāhamiva bahu	jalaniDim-iva-aneka-nada-nadI-sahasra-prakzAlita-SarIram, jAFnavI-pravAham-iva bahu
   puṇyatīrthasthānaśūcim, dhāma dharmasya, tīrthaṃ tathyasya, kośaṃ	puNya-tIrTa-sTAna-SUcim, DAma Darmasya, tIrTam taTyasya, koSam
   kuśalasya, pattanaṃ pūtatāyāḥ śālā śolasya, kṣetraṃ kṣamāyāḥ śāleyaṃ	kuSalasya, pattanam pUta-tAyAH SAlA Solasya, kzetram kzamAyAH SAleyam
   śalīnatāyāḥ, pattanaṃ pūtatāyāḥ, śālā śolasya, kṣetraṃ kṣamāyāḥ śāleyaṃ	SalIna-tAyAH, pattanam pUta-tAyAH, SAlA Solasya, kzetram kzamAyAH SAleyam
   śālīnatāyāḥ, sthānaṃ sthiteḥ, ādhāraṃ dhṛteḥ ākaraṃ karuṇāyāḥ, niketana	SAlInatAyAH, sTAnam sTiteH, ADAram DRteH Akaram karuNAyAH, niketana
   kautukasya, ārāmaṃ rāmaṇeyakamya, pāsādaṃ prasādasya, āgāraṃ gauravasya,	kOtukasya, ArAmam rAmaNeya-kamya, pAsAdam prasAdasya, AgAram gOravasya,
   samāja saujanyasya, saṃbhavaṃ sadbhāvasya, kālaṃ kaleḥ, bhagavantaṃ	samAja sOjanyasya, saMBavam sadBAvasya, kAlam kaleH, Bagavantam
   sakṣādiva virūpākṣaṃ bhairavācāryaṃ dadarśa /	sakzAt-iva virUpAkzam BErava-AcAryam dadarSa /
   bhairavācāryastu dūrādeva rājānaṃ dṛṣṭvā śaśinamiva jalanidhiścacāla /	BErava-AcAryaH-tu dUrAt-eva rAjAnam dRzwvA SaSinam-iva jalaniDiH-cacAla /
   prathamatarotthitaśiṣyalokaścotthāya pratyujjagāma /	praTamatara-utTita-Sizya-lokaH-ca-utTAya pratyujjagAma /
   samarpitaśrīphalopāyanaścajahnukarṇasamudgīryamāṇagaṅgāpravāhahradagambhīrayā	samarpita-SrIPala-upAyanaH-cajahnu-karNa-samudgIryamANa-gaFgA-pravAha-hrada-gamBIrayA
   girā svastiśabdamakarot /	girA svasti-Sabdam-akarot /
   narapatirapi prītivistāryamāṇadhavalimnā cakṣuṣā pratyarpayanniva	narapatiH-api prIti-vistAryamANa-Dava-limnA cakzuzA pratyarpayan=-iva
   bahutarāṇi puṇḍarīkavanāni lalāṭapaṭṭaparyastena codaṃsunā śikhāmaṇinā	bahutarANi puNxarIka-vanAni lalAwa-pawwa-paryastena ca-udaMsunA SiKAmaNinA
   maheśvaraprasādamiva	maheSvara-prasAdam-iva
   tṛtīyanayanodgamenaprakāśayannāvarjitakaṇpallavapalāyamānamadhukaraḥ	tRtIya-nayana-udgamena-prakASayan=-Avarjita-kaNpallava-palAyamAna-maDukaraH
   śivasevāsamunmūlitāśeṣapāpalavamucyamāna iva dūrādavanataḥ	Siva-sevA-samunmUlita-aSeza-pApa-lava-m-ucyamAnaH iva dUrAt-avanataH
   praṇāmamabhinavaṃ cakāra /	praNAmam-aBinavam cakAra /
   ācāryo 'pi--"āgaccha atropaviśa' iti śārdūlacarmātmīyamadarśayat /	AcAryaH api---"AgacCa atra-upaviSa-a iti SArdUla-carma-AtmIyam-adarSayat /
   upadarśitapraśrayastu rājā mattahasakalagadgadasvarasubhagāṃ	upadarSita-praSrayaH-tu rAjA mattahasakala-gadgada-svara-suBagAn
   madhurasamayīṃ mahānadīmiva pravartayanvācaṃ vyājahāra--"bhagavan! nārhasi	maDu-rasamayIm mahA-nadIm-iva pravartayan-vAcam vyAjahAra---"Baga-van! na-arhasi
   māmanyanṛpaskhalitaiḥ khalīkartum /	mAm-anya-nRpa-sKalitEH KalIkartum /
   aśeṣarājakopekṣitāyā hatalakṣmyāḥ khalvayaṃ śīlāparādho draviṇadaurātmyaṃ	aSeza-rAja-kopekzitAyAH hata-lakzmyAH Kalu-ayam SIla-aparADaH draviNa-dOrAtmyam
   vā yadevamācarati mayi guruḥ /	vA yat-evam-Acarati mayi guruH /
   abhūmirayamupacārāṇām /	aBUmiH-ayam-upacArANAm /
   alamatiyantraṇayā /	alam-ati-yantraNayA /
   dūrasthito 'pi manorathaśiṣyo 'yaṃ jano bhavatām /	dUra-sTitaH api manoraTa-SizyaH ayam janaH BavatAm /
   mānanīyaṃ ca guruvannollaṅghanamarhati gurorāsanam /	mAnanIyam ca guru-vat-nollaFGanam-arhati guroH-Asanam /
   āsatāṃ ca bhavanta evātra' iti vyāhṛtyā parijanopanīte vāsasi niṣasāda /	AsatAm ca BavantaH eva-atra-a iti vyAhRtyA parijana-upanIte vAsasi nizasAda /
   bhairavācāryo 'pi prītyānatikramaṇīyaṃ nṛpavacanamanuvartamānaḥ	BErava-AcAryaH api prItyA-anatikramaNIyam nRpa-vacanam-anuvartamAnaH
   pūrvavattadeva vyāghrājinamabhajata /	pUrvavat-tat-eva vyAGra-ajinam-aBajata /
   āsīne ca sarājake parijane śiṣyajane ca samucitamardhyādikaṃ cakre /	AsIne ca sa-rAjake parijane Sizya-jane ca samucita-marDya-Adikam cakre /
   krameṇa ca nṛpamādhuryahṛtāntaḥkaraṇaḥ śaśikaranikaravimalā daśanadīdhitīḥ	krameNa ca nRpa-mADurya-hRta-antaHkaraNaH SaSi-kara-nikara-vimalAH daSana-dIDitIH
   sphurantīḥ śivabhaktīriva sākṣād draśayannuvāca-"tāta! atinamrataiva te	sPurantIH Siva-BaktIH-iva sAkzAt draSayan=-uvAca--"tAta! ati-namra-tA-eva te
   kathayati guṇānāṃ gauravam /	kaTayati guNAnAm gOravam /
   sakalasaṃpatpātramasi /	sakala-saMpad-pAtram-asi /
   vibhavānurūpāstu pratipattayaḥ /	viBava-anurUpAH-tu pratipattayaH /
   janmanaḥ prabhatyadattadṛṣṭirevāsmi svāpateyeṣu /	janmanaH praBati-adatta-dRzwiH-eva-asmi svApateyezu /
   yataḥ sakaladoṣakalāpānalendhanairdhanairavikrītaṃ kvaciñccharīrakamasti /	yatas sakala-doza-kalApa-anala-inDanEH-DanEH-avikrItam kvaciQt-SarIrakam-asti /
   bhaikṣarakṣitāḥ santi prāṇāḥ /	BEkza-rakzitAH santi prANAH /
   durgṛhītāni katicidvidyante vidyākṣarāṇi /	durgRhItAni katicid-vidyante vidyA-akzarANi /
   bhagavacchivabhaṭṭārakapādasevayā samupārjitāḥ kiyatyo 'pi saṃnihitāḥ	Bagavat-Siva-BawwAraka-pAda-sevayA samupArjitAH kiyatyaH api saMnihitAH
   puṇyakaṇikāḥ /	puNya-kaNikAH /
   svīkriyatāṃ yadatropayogārham /	svIkriyatAm yat-atra-upayoga-arham /
   pratanuguṇagrāhyāṇi kusumānīva hi bhavanti satāṃ manāṃsi /	pratanu-guNa-grAhyANi kusumAni-iva hi Bavanti satAm manAMsi /
   api ca, vidbatsaṃmatāḥ śrūyamāṇā api sādhavaḥ śabdā iva sudhore 'pi hi	api ca, vidbatsaMmatAH SrUyamANAH api sADavaH SabdAH iva su-Dore api hi
   manasi yaśāṃsi kuvaṃnti /	manasi yaSAMsi kuvaMnti /
   vivaraṃ viśataḥ kutūhalasya phenadhavarlaḥ srotobhirivāpahriyamāṇo	vivaram viSataH kutUhalasya PenaDavarlaH srotoBiH-iva-apahriyamANaH-
   guṇagaṇairānoto 'smi kalyāṇinā' iti /	guNa-gaNEH-AnotaH asmi kalyANinA-a iti /
   rājā tu taṃ pratyavādīt--"bhagavan! anurakteṣvapi śarīrādiṣa sādhūnāṃ	rAjA tu tam pratyavAdIt--"Baga-van! anuraktezu-api SarIra-Adiza sADUnAm
   svāmina eva praṇayinaḥ /	svAminaH eva praNayinaH /
   yuṣmaddarśanādupārjitameva cāparimitaṃ kuśalajātam /	yuzmad-darSanAt-upArjitam-eva ca-aparimitam kuSala-jAtam /
   anenaivāgamanena spṛhaṇīyaṃ padamāropito 'smi guruṇā' iti vividhābhiśca	anena-eva-Agamanena spRhaNIyam padam-AropitaH asmi guruNaH-a iti viviDABiH-ca
   kathābhiściraṃ sthitvā gṛhamagāt /	kaTABiH-ciram sTitvA gRham-agAt /
   anyasmindivase bhairavācāryo 'pi rājānaṃ draṣṭuṃ yayau /	anyasmin-divase BErava-AcAryaH api rAjAnam drazwum yayO /
   tasmai ca rājā sāntaḥpuraṃ saparijanaṃ sakoṣamātmānaṃ niveditavān /	tasmE ca rAjA sa-antaHpuram sa-parijanam sa-kozam-AtmAnam niveditavAn /
   sa ca vihasyāvāca--"tāta! kva vibhavāḥ, kva ca vayaṃ vanavardhitāḥ?	sa ca vihasya-avAca---"tAta! kva viBavAH, kva ca vayam vana-varDitAH?
   dhanoṣmaṇā mlāyatyalaṃ lateva manasvitā /	Dana-UzmaNA mlAyati-alam latA-iva manasvi-tA /
   khadyotānāmivāsmākamiyamaparopatāpinī rājate tejasvitā /	KadyotAnAm-iva-asmAkam-iyam-apara-upatApinI rAjate tejasvi-tA /
   bhavādṛśā eva bhājanaṃ bhūteḥ' iti sthitvā ca kañcitkālaṃ jagāma /	BavAdRSAH eva BAjanam BUteH-a iti sTitvA ca kaQcid-kAlam jagAma /
   parivrāṭ tenaiva krameṇa pañca pañca rājatāni puṇḍarīkāṇyupāyanīcakāra /	parivrAj tena-eva krameNa paQca paQca rAjatAni puNxarIkANi-upAya-nIcakAraH /
   ekadā tu śvetakarpaṭāvṛtaṃ kimapyādāya prāviśat /	ekadA tu Sveta-karpawa-AvRtam kim-api-AdAya prAviSat /
   upaviśya ca pūrvavatsthitvā muhūrtamabravīt--"mahābhāga! bhavantamāha	upaviSya ca pUrvavat-sTitvA muhUrtam-abravIt--"-mahABAga! Bavantam-Aha
   bhagavānyathāsmacchiṣyaḥ pātālasvāmināmā brāhnaṇaḥ /	BagavAn-yaTA-asmad-SizyaH pAtAlasvAmi-nAmA brAhnaNaH /
   tena brahnarākṣasahastādapahṛto mahāsiraṭṭahāsanāmā /	tena brahna-rAkzasa-hastAt-apahRtaH mahAsirawwa-hAsa-nAmA /
   so 'yaṃ bhavadbhujayogyo gṛhyatām' ityabhidhāyāpahṛtakarpaṭāvacchādanāt	saH ayam Bavat-Buja-yogyaH gRhyatAm-a iti-aBiDAya-apahRta-karpawa-avacCAdanAt-
   parivārādācakarṣa śaradgaganatalamiva piṇḍatāṃ nītam, kālindīpravāhamiva	parivArAt-Acakarza Sarad-gagana-talam-iva piNxa-tAm nItam, kAlindI-pravAham-iva
   stambhitajalam, nandakajigīṣayā kṛṣṇakopitaṃ kāliyamiva kṛpāmatāṃ gatam,	stamBita-jalam, nandaka-jigIzayA kRzNa-kopitam kAliyam-iva kRpAmatAm gatam,
   lokavināśāya prakāśitadhārāsāraṃ pralayakālameghakhaṇḍamiva nabhastalāt	loka-vinASAya prakASita-DArA-sAram pralaya-kAla-meGa-KaNxam-iva naBastalAt-
   patitam, dṛśyamānavikaṭadantamaṇḍalaṃ hāsamiva hiṃsāyāḥ, haribāhudaṇḍamiva	patitam, dRSyamAna-vikawa-danta-maNxalam hAsam-iva hiMsAyAH, hari-bAhu-daNxam-iva
   kṛtadṛḍhamuṣṭigraham, sakalabhuvanajīvitāpaharaṇakṣameṇa kālakūṭeneva	kRta-dRXa-muzwi-graham, sakala-Buvana-jIvita-apaharaNa-kzameNa kAlakUwena-iva
   nirmitam, kṛtāntakopānalataptenevāyasā ghaṭitam, atitīkṣṇatayā	nirmitam, kRtAnta-kopa-anala-taptena-iva-ayasA Gawitam, ati-tIkzNa-tayA
   pavanasparśenāpi ruṣeva kvaṇantam	pavana-sparSena-api ruzA-iva kvaNantam
   maṇisabhākuṭṭimapatatpratibimbaccajhanātmānamapi dvidheva pāṭayantam,	maNi-saBA-kuwwim-apatat-pratibimbat-caJana-AtmAnam-api dviDA-iva pAwayantam,
   ariśiraśchedalagnaiḥ kacairiva kiraṇaiḥ karālitadhāram,	ari-SiraH-Ceda-lagnEH kacEH-iva kiraNEH karAlita-DAram,
   muhurmuhustaḍidunmeṣataralaiḥ prabhācakracchuritairjarjaritātapam,	muhur-muhur-taxit-unmeza-taralEH praBA-cakra=-CuritEH-jarjarita-Atapam,
   khaṇḍaśaśchindantamiva divasam, kaṭākṣamiva kālarātreḥ, karṇotpalamiva	KaNxaSas-Cindantam-iva divasam, kawAkzam-iva kAlarAtreH, karNa-utpalam-iva
   kālasya, oṅkāramiva krauyasya alakāramahaṅkārasya, kulamitraṃ kopasya,	kAlasya, oFkAram-iva krOyasya alakAram-ahaFkArasya, kula-mitram kopasya,
   dehaṃ darpasya, susahāyaṃ sāhasasya, apatyaṃ mṛtyoḥ, āgamanamārgaṃ	deham darpasya, su-sahAyam sAhasasya, apatyam mRtyoH, Agamana-mArgam
   lakṣmyāḥ, nirgamanamārgaṃ kīrteḥ, kṛpāṇam /	lakzmyAH, nirgamana-mArgam kIrteH, kRpANam /
   avanipatistu taṃ gṛhītvā kareṇāyudhaprītyā pratimānibhenālihganniva	avanipatiH-tu tam gRhItvA kareNa-AyuDa-prItyA pratimAniBena-Alihgan=-iva
   suciraṃ dadarśa /	su-ciram dadarSa /
   saṃdideśa ca-"vaktavyo bhagavān paradravyagrahaṇāvajñādurvidagdhamapi hi	saMdideSa ca-"-vaktavyaH BagavAn para-dravya-grahaNa-avajQA-duH-vidagDam-api hi
   me mano yuṣmadviṣaye na śaknoti vacanavyatikramavyabhicāramācaritum' iti /	me manaH yuzmad-vizaye na Saknoti vacana-vyatikrama-vyaBicAram-Acaritum-a iti /
   paribrāṭ tu gṛhīte tasmin parituṣṭaḥ "svasti bhavate /	paribrAj tu gRhIte tasmin parituzwaH "svasti Bavate /
   sādhayāmaḥ' ityuktvā nirayāsīt /	sADayAmaHa iti-uktvA niraya-AsIt /
   nṛpaśca prakṛtyā vīrarasānurāgī tena kṛpāṇenāmanyata karatalavartinī	nRpaH-ca prakRtyA vIra-rasa-anurAgI tena kRpANena-amanyata kara-tala-vartinI
   medinīm /	medinIm /
   atha bajatsu divaseṣvakadā bhairavācāryo rājānamupaṅvare	aTa bajatsu divasezu-akadA BErava-AcAryaH rAjAnam-upaFvare
   sopagrahamavādīt--"tāta! svārthālasāḥ paropakāradakṣāśca prakṛtayo	sa-upagraham-avAdIt---"tAta! sva-arTa-alasAH para-upakAra-dakzAH-ca prakRtayo
   bhavanti bhavyānām /	Bavanti BavyAnAm /
   bhavādṛśāṃ cārthidarśanaṃ mahotsavaḥ	BavAdRSAm ca-arTi-darSanam mahA-utsavaH
   praṇayanamārādhanamarthagrahaṇamupakāraḥ /	praNayanam-ArADanam-arTa-grahaNam-upakAraH /
   bhūmirasi sarvalokamanorathānām /	BUmiH-asi sarva-loka-manoraTAnAm /
   yenābhidhīyase /	yena-aBiDIyase /
   śrūyatām /	SrUyatAm /
   bhagavato mahākālahṛdayanāmno mahāmantrasya	BagavataH mahAkAla-hRdaya-nAmnaH mahA-mantrasya
   kṛṣṇasragambarānulepanenākalpena kalpakathitena mahāśmaśāne japakoṭyā	kRzNa-sraj-ambara-anulepanena-akalpena kalpa-kaTitena mahA-SmaSAne japa-kowyA
   kṛtapūrvasevo 'smi /	kRta-pUrva-sevaH asmi /
   tasya ca vetālasādhanāvasānā siddhiḥ /	tasya ca vetAla-sADana-avasAnA sidDiH /
