   vāyavīyasaṃhitā	vAyavIya saMhitA
   yaccānyadasti tatsarvaṃ tasyāḥ kāryaṃ na saṃśayaḥ // ŚivP_7.2,7.4cd/	yat ca anyat asti tat sarvam tasyAH kAryam na saMSayaH // Śivj _7.2,7.4cd/
   sā śaktissarvagā sūkṣmā prabodhānaṃdarūpiṇī // ŚivP_7.2,7.5ab/	sA Saktissarva gA sUkzmA praboDa AnaMda rUpiNI // ŚivS _7.2,7.5ab/
   śaktimānucyate devaśśivaśśītāṃśubhūṣaṇaḥ // ŚivP_7.2,7.5cd/	SaktimAn ucyate devaH SivaH SItAMSu BUzaNaH // Śivj _7.2,7.5cd/
   vedyaśśivaśśivā vidyā prajñā caiva śrutiḥ smṛtiḥ // ŚivP_7.2,7.6ab/	vedyaH SivaH SivA vidyA prajQA ca eva SrutiH smRtiH // ŚivS _7.2,7.6ab/
   dhṛtireṣā sthitirniṣṭhā jñānecchākarmaśaktayaḥ // ŚivP_7.2,7.6cd/	DRtiH ezA sTitiH nizWA jQAna icCA karma SaktayaH // ŚivS _7.2,7.6cd/
   ājñā caiva paraṃ brahma dve vidye ca parāpare // ŚivP_7.2,7.7ab/	AjQA ca eva param brahma dve vidye ca para apare // ŚivS _7.2,7.7ab/
   śuddhavidyā śuddhakalā sarvaṃ śaktikṛtaṃ yataḥ // ŚivP_7.2,7.7cd/	SudDavidyA SudDa kalA sarvam Sakti kRtam yatas // Śivj _7.2,7.7cd/
   māyā ca prakṛtirjīvo vikāro vikṛtistathā // ŚivP_7.2,7.8ab/	mAyA ca prakRtiH jIvaH vikAraH vikRtiH taTA // ŚivS _7.2,7.8ab/
   asacca sacca yatkiṃcittayā sarvamidaṃ tatam // ŚivP_7.2,7.8cd/	asat ca sat ca yat kiMcid tayA sarvam idam tatam // ŚivS _7.2,7.8cd/
   sā devī māyayā sarvaṃ brahmāṃḍaṃ sacarācaram // ŚivP_7.2,7.9ab/	sA devI mAyayA sarvam brahma aMxam sa carAcaram // ŚivS _7.2,7.9ab/
   mohayatyaprayatnena mocayatyapi līlayā // ŚivP_7.2,7.9cd/	mohayati aprayatnena mocayati api lIlayA // ŚivS _7.2,7.9cd/
   anayā saha sarveśaḥ saptaviṃśaprakārayā // ŚivP_7.2,7.10ab/	anayA saha sarva ISaH saptaviMSa prakArayA // ŚivS _7.2,7.10ab/
   viśvaṃ vyāpya sthitastasmānmuktiratra pravartate // ŚivP_7.2,7.10cd/	viSvam vyApya sTitaH tasmAt muktiH atra pravartate // ŚivS _7.2,7.10cd/
   mumukṣavaḥ purā kecinmunayo brahmavādinaḥ // ŚivP_7.2,7.11ab/	mumukzavaH purA kecid munayaH brahma vAdinaH // ŚivS _7.2,7.11ab/
   saṃśayāviṣṭamanaso vismṛśaṃti yathātatham // ŚivP_7.2,7.11cd/	saMSaya Avizwa manasaH vismRSaMti yaTAtaTam // ŚivS _7.2,7.11cd/
   551b	551b
   kiṃ kāraṇaṃ kuto jātā jīvāmaḥ kena vā vayam // ŚivP_7.2,7.12ab/	kim kAraNam kutas jAtAH jIvAmaH kena vA vayam // ŚivS _7.2,7.12ab/
   kutrāsmākaṃ saṃpratiṣṭhā kena vādhiṣṭhitā vayam // ŚivP_7.2,7.12cd/	kutra asmAkam saMpratizWA kena vA aDizWitAH vayam // ŚivS _7.2,7.12cd/
   kena vartāmahe śaśvatsukheṣvanyeṣu cāniśam // ŚivP_7.2,7.13ab/	kena vartAmahe SaSvat suKezu anyezu ca aniSam // ŚivS _7.2,7.13ab/
   avilaṃghyā ca viśvasya vyavasthā kena vā kṛtā // ŚivP_7.2,7.13cd/	avilaMGyA ca viSvasya vyavasTA kena vA kRtA // ŚivS _7.2,7.13cd/
   kālasya bhāvo niyatiryadṛcchā nātra yujyate // ŚivP_7.2,7.14ab/	kAlasya BAvaH niyatiH yadRcCA na atra yujyate // ŚivS _7.2,7.14ab/
   bhūtāni yoniḥ puruṣo yogī caiṣāṃ paro 'tha vā // ŚivP_7.2,7.14cd/	BUtAni yoniH puruzaH yogI ca ezAm paraH aTa vA // ŚivS _7.2,7.14cd/
   acetanatvātkālādeścetanatvepi cātmanaḥ // ŚivP_7.2,7.15ab/	acetana tvAt kAla AdeH cetana tvepi ca AtmanaH // ŚivS _7.2,7.15ab/
   sukhaduḥkhāni bhūtatvādanīśatvādvicāryate // ŚivP_7.2,7.15cd/	suKa duHKAni BUta tvAt anISa tvAt vicAryate // ŚivS _7.2,7.15cd/
   taddhyānayogānugatāṃ prapaśyañchaktimaiśvarīm // ŚivP_7.2,7.16ab/	tad DyAna yoga anugatAm prapaSyan Saktim ESvarIm // ŚivS _7.2,7.16ab/
   pāśavicchedikāṃ sākṣānnigūḍhāṃ svaguṇairbhṛśam // ŚivP_7.2,7.16cd/	pASa vicCedikAm sAkzAt nigUXAm sva guNEH BRSam // ŚivS _7.2,7.16cd/
   tayā vicchinnapāśāste sarvakāraṇakāraṇam // ŚivP_7.2,7.17ab/	tayA vicCinna pASAH te sarva kAraNa kAraNam // ŚivS _7.2,7.17ab/
   śaktimaṃtaṃ mahādevamapaśyandivyacakṣuṣā // ŚivP_7.2,7.17cd/	SaktimaMtam mahAdevam apaSyan divya cakzuzA // ŚivS _7.2,7.17cd/
   yaḥ kāraṇānyaśeṣāṇi kālātmasahitāni ca // ŚivP_7.2,7.18ab/	yaH kAraNAni aSezANi kAla Atma sahitAni ca // ŚivS _7.2,7.18ab/
   aprameyo 'nayā śaktyā sakalaṃ yo 'dhitiṣṭhati // ŚivP_7.2,7.18cd/	aprameyaH anayA SaktyA sakalam yaH aDitizWati // ŚivS _7.2,7.18cd/
   tataḥ prasādayogena yogena parameṇa ca // ŚivP_7.2,7.19ab/	tatas prasAda yogena yogena parameNa ca // ŚivS _7.2,7.19ab/
   dṛṣṭena bhaktiyogena divyaḥ gatimavāpnuyuḥ // ŚivP_7.2,7.19cd/	dRzwena Bakti yogena divyaH gatim avApnuyuH // ŚivS _7.2,7.19cd/
   tasmātsaha tathā śaktyā hṛdi paśyaṃti ye śivam // ŚivP_7.2,7.20ab/	tasmAt saha taTA SaktyA hRdi paSyaMti ye Sivam // ŚivS _7.2,7.20ab/
   teṣāṃ śāśvatikī śāṃtirnaitareṣāmiti śrutiḥ // ŚivP_7.2,7.20cd/	tezAm SASvatikI SAMtiH na etarezAm iti SrutiH // ŚivS _7.2,7.20cd/
   na hi śaktimataśśaktyā viprayogo 'sti jātucit // ŚivP_7.2,7.21ab/	na hi SaktimataH SaktyA viprayogaH asti jAtucit // ŚivS _7.2,7.21ab/
   tasmācchakteḥ śaktimatastādātmyānnirvṛtirdvayoḥ // ŚivP_7.2,7.21cd/	tasmAt SakteH SaktimataH tAdAtmyAt nirvRtiH dvayoH // ŚivS _7.2,7.21cd/
   kramo vivakṣito nūnaṃ vimuktau jñānakarmaṇoḥ // ŚivP_7.2,7.22ab/	kramaH vivakzitaH nUnam vimuktO jQAna karmaNoH // ŚivS _7.2,7.22ab/
   prasāde sati sā mūrtiryasmātkaratale sthitā // ŚivP_7.2,7.22cd/	prasAde sati sA mUrtiH yasmAt kara tale sTitAH // ŚivS _7.2,7.22cd/
   devo vā dānavo vāpi paśurvā vihago 'pi vā // ŚivP_7.2,7.23ab/	devaH vA dAnavaH vA api paSuH vA vihagaH api vA // ŚivS _7.2,7.23ab/
   kīro vātha kṛmirvāpi mucyate tatprasādataḥ // ŚivP_7.2,7.23cd/	kIraH vA aTa kRmiH vA api mucyate tad prasAdataH // ŚivS _7.2,7.23cd/
   garbhastho jāyamāno vā bālo vā taruṇo.pi vā // ŚivP_7.2,7.24ab/	garBa sTaH jAyamAnaH vA bAlaH vA taruNaH .pi vA // ŚivS _7.2,7.24ab/
   vṛddho vā mriyamāṇo vā svargastho vātha nārakī // ŚivP_7.2,7.24cd/	vRdDaH vA mriyamANaH vA svarga sTaH vA aTa nArakI // ŚivS _7.2,7.24cd/
   patito vāpi dharmātmā paṃḍito mūḍha eva vā // ŚivP_7.2,7.25ab/	patitaH vA api Darma AtmA paMxitaH mUXaH eva vA // ŚivS _7.2,7.25ab/
   prasāde tatkṣaṇādeva mucyate nātra saṃśayaḥ // ŚivP_7.2,7.25cd/	prasAde tad kzaNAt eva mucyate na atra saMSayaH // ŚivS _7.2,7.25cd/
   ayogyānāṃ ca kāruṇyādbhaktānāṃ parameśvaraḥ // ŚivP_7.2,7.26ab/	ayogyAnAm ca kAruNyAt BaktAnAm parameSvaraH // ŚivS _7.2,7.26ab/
   prasīdati na saṃdeho vigṛhya vividhānmalān // ŚivP_7.2,7.26cd/	prasIdati na saMdehaH vigRhya viviDAn malAn // ŚivS _7.2,7.26cd/
   prasadādeva sā bhaktiḥ prasādo bhaktisaṃbhavaḥ // ŚivP_7.2,7.27ab/	prasadAt eva sA BaktiH prasAdaH Bakti saMBavaH // ŚivS _7.2,7.27ab/
   avasthābhedamutprekṣya vidvāṃstatra na muhyati // ŚivP_7.2,7.27cd/	avasTA Bedam utprekzya vidvAn= tatra na muhyati // ŚivS _7.2,7.27cd/
   prasādapūrvikā yeyaṃ bhuktimuktividhāyinī // ŚivP_7.2,7.28ab/	prasAda pUrvikA yA iyam Bukti mukti viDAyinI // ŚivS _7.2,7.28ab/
   naiva sā śakyate prāptuṃ narairekena janmanā // ŚivP_7.2,7.28cd/	na eva sA Sakyate prAptum narEH ekena janmanA // ŚivS _7.2,7.28cd/
   anekajanmasiddhānāṃ śrautasmārtānuvartinām // ŚivP_7.2,7.29ab/	aneka janma sidDAnAm SrOta smArta anuvartinAm // ŚivS _7.2,7.29ab/
   viraktānāṃ prabuddhānāṃ prasīdati maheśvaraḥ // ŚivP_7.2,7.29cd/	viraktAnAm prabudDAnAm prasIdati maheSvaraH // ŚivS _7.2,7.29cd/
   prasanne sati deveśa paśau tasminpravartate // ŚivP_7.2,7.30ab/	prasanne sati deveSa paSO tasmin pravartate // ŚivS _7.2,7.30ab/
   asti nātho mametyalpā bhaktirbuddhipurassarā // ŚivP_7.2,7.30cd/	asti nATaH mama iti alpAH BaktiH budDi purassarAH // ŚivS _7.2,7.30cd/
   tapasā vividhaiśśaivairdharmaissaṃyujyate naraḥ // ŚivP_7.2,7.31ab/	tapasA viviDEH Sa evEH DarmEH saMyujyate naraH // ŚivS _7.2,7.31ab/
   tatra yoge tadabhyāsastato bhaktiḥ parā bhavet // ŚivP_7.2,7.31cd/	tatra yoge tad aByAsaH tatas BaktiH parA Bavet // ŚivS _7.2,7.31cd/
   parayā ca tayā bhaktyā prasādo labhyate paraḥ // ŚivP_7.2,7.32ab/	parayA ca tayA BaktyA prasAdaH laByate paraH // ŚivS _7.2,7.32ab/
   prasādātsarvapāśebhyo muktirmuktasya nirvṛtiḥ // ŚivP_7.2,7.32cd/	prasAdAt sarva pASeByaH muktiH muktasya nirvRtiH // ŚivS _7.2,7.32cd/
   552a	552a
   alpabhāvo 'pi yo martyasso 'pi janmatrayātparam // ŚivP_7.2,7.33ab/	alpa BAvaH api yaH martyassaH api janma trayAt param // ŚivS _7.2,7.33ab/
   nayoniyaṃtrapīḍāyai bhavennaivātra saṃśayaḥ // ŚivP_7.2,7.33cd/	nayoniyaMtra pIxAyE Bavet na eva atra saMSayaH // ŚivS _7.2,7.33cd/
   sāṃgā 'naṃgā ca yā sevā sā bhaktiriti kathyate // ŚivP_7.2,7.34ab/	sAMgA anaMgA ca yA sevA sA BaktiH iti kaTyate // ŚivS _7.2,7.34ab/
   sā punarbhidyate tredhā manovākkāyasādhanaiḥ // ŚivP_7.2,7.34cd/	sA punar Bidyate treDA manaH vAc kAya sADanEH // ŚivS _7.2,7.34cd/
   śivarūpādiciṃtā yā sā sevā mānasī smṛtā // ŚivP_7.2,7.35ab/	Siva rUpa Adi ciMtA yA sA sevA mAnasI smRtAH // ŚivS _7.2,7.35ab/
   japādirvācikī sevā karmapūjādi kāyikī // ŚivP_7.2,7.35cd/	japAdiH vAcikI sevA karma pUjA Adi kAyikI // ŚivS _7.2,7.35cd/
   seyaṃ trisādhanā sevā śivadharmaśca kathyate // ŚivP_7.2,7.36ab/	sA iyam tri sADanA sevA Siva DarmaH ca kaTyate // ŚivS _7.2,7.36ab/
   sa tu pañcavidhaḥ proktaḥ śivena paramātmanā // ŚivP_7.2,7.36cd/	sa tu paQcaviDaH proktaH Sivena paramAtmanA // ŚivS _7.2,7.36cd/
   tapaḥ karma japo dhyānaṃ jñānaṃ ceti samāsataḥ // ŚivP_7.2,7.37ab/	tapaH karma japaH DyAnam jQAnam ca iti samAsatas // ŚivS _7.2,7.37ab/
   karmaliṅgārcanādyaṃ ca tapaścāndrāyaṇādikam // ŚivP_7.2,7.37cd/	karma liFga arcana Adyam ca tapaH cAndrAyaNa Adikam // ŚivS _7.2,7.37cd/
   japastridhā śivābhyāsaścintā dhyānaṃ śivasya tu // ŚivP_7.2,7.38ab/	japaH triDA Siva aByAsaH cintA DyAnam Sivasya tu // ŚivS _7.2,7.38ab/
   śivāgamoktaṃ yajjñānaṃ tadatra jñānamucyate // ŚivP_7.2,7.38cd/	Siva Agama uktam yat jQAnam tat atra jQAnam ucyate // ŚivS _7.2,7.38cd/
   śrīkaṃṭhena śivenoktaṃ śivāyai ca śivāgamaḥ // ŚivP_7.2,7.39ab/	SrI kaMWena Sivena uktam SivAyE ca Siva AgamaH // ŚivS _7.2,7.39ab/
   śivāśritānāṃ kāruṇyācchreyasāmekasādhanam // ŚivP_7.2,7.39cd/	Siva ASritAnAm kAruNyAt SreyasAm eka sADanam // ŚivS _7.2,7.39cd/
   tasmādvivardhayedbhaktiṃ śive paramakāraṇe // ŚivP_7.2,7.40ab/	tasmAt vivarDayet Baktim Sive parama kAraNe // ŚivS _7.2,7.40ab/
   tyajecca viṣayāsaṃgaṃ śreyo 'rthī matimānnaraḥ // ŚivP_7.2,7.40cd/	tyajet ca vizaya AsaMgam SreyaH arTI matimAn naraH // ŚivS _7.2,7.40cd/
   oṃ iti śrīśivamahāpurāṇe saptamyāṃ vāyavīyasaṃhitāyāmuttarakhaṇḍe	om iti SrI Siva mahApurANe saptamyAm vAyavIya saMhitAyAm uttara KaNxe
   śivatattvakathanaṃ nāma saptamo 'dhyāyaḥ	SivatattvakaTanam nAma saptamaH aDyAyaH
   Chapter 8	ChapteH 8
   kṛṣṇa uvāca	kRzNaH uvAca
   bhagavañchrotumicchāmi śivena paribhāṣitam // ŚivP_7.2,8.1ab/	Bagavan Srotum icCAmi Sivena pariBAzitam // ŚivS _7.2,8.1ab/
   vedasāre śivajñānaṃ svāśritānāṃ vimuktaye // ŚivP_7.2,8.1cd/	veda sAre Siva jQAnam sva ASritAnAm vimuktaye // ŚivS _7.2,8.1cd/
   abhaktānāmabuddhīnāmayuktānāmagocaram // ŚivP_7.2,8.2ab/	aBaktAnAm abudDInAm ayuktAnAm agocaram // ŚivS _7.2,8.2ab/
   arthairdaśardhaiḥ saṃyuktaṃ gūḍhamaprājñaniṃditam // ŚivP_7.2,8.2cd/	arTEH daSarDEH saMyuktam gUXam aprAjQa niMditam // Śivj _7.2,8.2cd/
   varṇāśramakṛtairdharmairviparītaṃ kvacitsamam // ŚivP_7.2,8.3ab/	varNa ASrama kRtEH DarmEH viparItam kvacid samam // ŚivS _7.2,8.3ab/
   vedātṣaḍaṃgāduddhṛtya sāṃkhyādyogācca kṛtsnaśaḥ // ŚivP_7.2,8.3cd/	vedAt zaz aMgAt udDRtya sAMKyAt yogAt ca kRtsnaSas // Śivj _7.2,8.3cd/
   śatakoṭipramāṇena vistīrṇaṃ graṃthasaṃkhyayā // ŚivP_7.2,8.4ab/	Sata kowi pramANena vistIrNam graMTa saMKyayA // ŚivS _7.2,8.4ab/
   kathitaṃ parameśena tatra pūjā kathaṃ prabhoḥ // ŚivP_7.2,8.4cd/	kaTitam parameSena tatra pUjA kaTam praBoH // Śivj _7.2,8.4cd/
   kasyādhikāraḥ pūjādau jñānayogādayaḥ katham // ŚivP_7.2,8.5ab/	kasya aDikAraH pUjA AdO jQAna yoga AdayaH kaTam // ŚivS _7.2,8.5ab/
   tatsarvaṃ vistarādeva vaktumarhasi suvrata // ŚivP_7.2,8.5cd/	tat sarvam vistarAt eva vaktum arhasi suvrataH // Śivj _7.2,8.5cd/
   upamanyuruvāca	upamanyuH uvAca
   śaivaṃ saṃkṣipya vedoktaṃ śivena paribhāṣitam // ŚivP_7.2,8.6ab/	SEvam saMkzipya veda uktam Sivena pariBAzitam // ŚivS _7.2,8.6ab/
   stutiniṃdādirahitaṃ sadyaḥ pratyayakāraṇam // ŚivP_7.2,8.6cd/	stuti niMdA Adi rahitam sadyas pratyaya kAraNam // Śivj _7.2,8.6cd/
   guruprasādajaṃ divyamanāyāsena muktidam // ŚivP_7.2,8.7ab/	guru prasAda jam divyam anAyAsena mukti dam // ŚivS _7.2,8.7ab/
   kathayiṣye samāsena tasya śakyo na vistaraḥ // ŚivP_7.2,8.7cd/	kaTayizye samAsena tasya SakyaH na vistaraH // Śivj _7.2,8.7cd/
   sisṛkṣayā purāvyaktācchivaḥ sthāṇurmaheśvaraḥ // ŚivP_7.2,8.8ab/	sisRkzayA purA vyaktAt SivaH sTANuH maheSvaraH // ŚivS _7.2,8.8ab/
   satkāryakāraṇopetassvayamāvirabhūtprabhuḥ // ŚivP_7.2,8.8cd/	satkArya kAraNa upeta ssvayam AviraBUt praBuH // ŚivS _7.2,8.8cd/
   janayāmāsa ca tadā ṛṣirviśvādhikaḥ prabhuḥ // ŚivP_7.2,8.9ab/	janayAmAsa ca tadA RziH viSva aDikaH praBuH // ŚivS _7.2,8.9ab/
   devānāṃ prathamaṃ devaṃ brahmāṇaṃ brahmaṇaspatim // ŚivP_7.2,8.9cd/	devAnAm praTamam devam brahmANam brahmaNaspatim // Śivj _7.2,8.9cd/
   brahmāpi pitaraṃ devaṃ jāyamānaṃ nyavaikṣata // ŚivP_7.2,8.10ab/	brahmA api pitaram devam jAyamAnam nyavEkzata // ŚivS _7.2,8.10ab/
   taṃ jāyamānaṃ janako devaḥ prāpaśyadājñayā // ŚivP_7.2,8.10cd/	tam jAyamAnam janakaH devaH prApaSyat AjQayA // ŚivS _7.2,8.10cd/
   dṛṣṭo rudreṇa devo 'sāvasṛjadviśvamīśvaraḥ // ŚivP_7.2,8.11ab/	dRzwaH rudreNa devaH asO= asRjat viSvam ISvaraH // ŚivS _7.2,8.11ab/
   varṇāśramavyavasthāṃ ca cakāra sa pṛthakpṛthak // ŚivP_7.2,8.11cd/	varNa ASrama vyavasTAm ca cakAra sa pRTak pRTak // ŚivS _7.2,8.11cd/
   somaṃ sasarja yajñārthe somāddyaussamajāyata // ŚivP_7.2,8.12ab/	somam sasarja yajQa arTe somAt dyOssamajAyata // ŚivS _7.2,8.12ab/
   dharā ca vahniḥ sūryaśca yajño viṣṇuśśacīpatiḥ // ŚivP_7.2,8.12cd/	DarA ca vahniH sUryaH ca yajQaH vizNuH SacI patiH // ŚivS _7.2,8.12cd/
   552b	552b
   te cānye ca surā rudraṃ rudrādhyāyena tuṣṭuvuḥ // ŚivP_7.2,8.13ab/	te ca anye ca surAH rudram rudrADyAyena tuzwuvuH // ŚivS _7.2,8.13ab/
   prasannavadanastasthau devānāmagrataḥ prabhuḥ // ŚivP_7.2,8.13cd/	prasanna vadanaH tasTO devAnAm agratas praBuH // ŚivS _7.2,8.13cd/
   apahṛtya svalīlārthaṃ teṣāṃ jñānaṃ maheśvaraḥ // ŚivP_7.2,8.14ab/	apahRtya sva lIlA arTam tezAm jQAnam maheSvaraH // ŚivS _7.2,8.14ab/
   tamapṛcchaṃstato devāḥ ko bhavāniti mohitāḥ // ŚivP_7.2,8.14cd/	tam apRcCan= tatas devAH kaH BavAn iti mohitAH // ŚivS _7.2,8.14cd/
   so 'bravīdbhagavānrudro hyahamekaḥ purātanaḥ // ŚivP_7.2,8.15ab/	saH abravIt BagavAn rudraH hi aham ekaH purAtanaH // ŚivS _7.2,8.15ab/
   āsaṃ prathamamevāhaṃ vartāmi 1 ca surottamāḥ // ŚivP_7.2,8.15cd/	Asam praTamam eva aham vartAmi 1 ca sura uttamAH // ŚivS _7.2,8.15cd/
   bhaviṣyāmi ca mattonyo vyatirikto na kaścana // ŚivP_7.2,8.16ab/	BavizyAmi ca mattonyaH vyatiriktaH na kaScana // ŚivS _7.2,8.16ab/
   ahameva jagatsarvaṃ tarpayāmi svatejasā // ŚivP_7.2,8.16cd/	aham eva jagat sarvam tarpayAmi sva tejasA // ŚivS _7.2,8.16cd/
   matto 'dhikaḥ samo nāsti māṃ yo veda sa mucyate // ŚivP_7.2,8.17ab/	mattaH aDikaH samaH na asti mAm yaH veda sa mucyate // ŚivS _7.2,8.17ab/
   ityuktvā bhagavānrudrastatraivāṃtaradhatta sa // ŚivP_7.2,8.17cd/	iti uktvA BagavAn rudraH tatra eva aMtara Datta saH // ŚivS _7.2,8.17cd/
   apaśyaṃtastamīśānaṃ stuvaṃtaścaiva sāmabhiḥ // ŚivP_7.2,8.17ef/	apaSyaMtaH tam ISAnam stuvaMtaH ca eva sAmaBiH // ŚivS _7.2,8.17ef/
   vrataṃ pāśupataṃ kṛtvā tvatharvaśirasi sthitam // ŚivP_7.2,8.18ab/	vratam pASupatam kRtvA tu aTarva Sirasi sTitam // ŚivS _7.2,8.18ab/
   bhasmasaṃchannasarvāṃgā babhūvuramarāstadā // ŚivP_7.2,8.18cd/	Basma saMCanna sarva aMgAH baBUvuH amarAH tadA // ŚivS _7.2,8.18cd/
   atha teṣāṃ prasādārthaṃ paśūnāṃ patirīśvaraḥ // ŚivP_7.2,8.19ab/	aTa tezAm prasAda arTam paSUnAm patiH ISvaraH // ŚivS _7.2,8.19ab/
   sagaṇaścomayā sārdhaṃ sānnidhyamakarotprabhuḥ // ŚivP_7.2,8.20ab/	sa gaNaH ca umayA sArDam sAnniDyam akarot praBuH // ŚivS _7.2,8.20ab/
   yaṃ vinidrā jitaśvāsā yogino dagdhakilbiṣāḥ // ŚivP_7.2,8.20cd/	yam vinidrAH jita SvAsAH yoginaH dagDa kilbizAH // ŚivS _7.2,8.20cd/
   hṛdi paśyaṃti taṃ devaṃ dadṛśurdevapuṃgavāḥ // ŚivP_7.2,8.21ab/	hRdi paSyaMti tam devam dadRSuH deva puMgavAH // ŚivS _7.2,8.21ab/
   yāmāhuḥ paramāṃ śaktimīśvarecchānuvartinīm // ŚivP_7.2,8.21cd/	yAm AhuH paramAm Saktim ISvara icCA anuvartinIm // ŚivS _7.2,8.21cd/
   tāmapaśyanmaheśasya vāmato vāmalocanām // ŚivP_7.2,8.22ab/	tAm apaSyat maheSasya vAmatas vAma locanAm // ŚivS _7.2,8.22ab/
   ye vinirdhūtasaṃsārāḥ prāptāḥ śaivaṃ paraṃ padam // ŚivP_7.2,8.22cd/	ye vinirDUta saMsArAH prAptAH SEvam param padam // ŚivS _7.2,8.22cd/
   nityasiddhāśca ye vānyaṃ te ca dṛṣṭā gaṇeśvarāḥ // ŚivP_7.2,8.23ab/	nitya sidDAH ca ye vA anyam te ca dRzwAH gaNeSvarAH // ŚivS _7.2,8.23ab/
   atha taṃ tuṣṭuvurdevā devyā saha maheśvaram // ŚivP_7.2,8.23cd/	aTa tam tuzwuvuH devAH devyA saha maheSvaram // ŚivS _7.2,8.23cd/
   stotrairmāheśvarairdivyaiḥ śrotaiḥ paurāṇikairapi // ŚivP_7.2,8.24ab/	stotrEH mAheSvarEH divyEH SrotEH pOrANikEH api // ŚivS _7.2,8.24ab/
   devo 'pi devānālokya ghṛṇayā vṛṣabhadhvajaḥ // ŚivP_7.2,8.24cd/	devaH api devAn Alokya GRNayA vRzaBaDvajaH // ŚivS _7.2,8.24cd/
   tuṣṭo 'smītyāha suprītassvabhāvamadhurāṃ giram // ŚivP_7.2,8.25ab/	tuzwaH asmi iti Aha su prItassvaBAva maDurAm giram // ŚivS _7.2,8.25ab/
   atha suprītamanasaṃ praṇipatya vṛṣadhvajam // ŚivP_7.2,8.25cd/	aTa su prIta manasam praNipatya vRzaDvajam // ŚivS _7.2,8.25cd/
   arthamahattamaṃ devāḥ papracchurimamādarāt // ŚivP_7.2,8.25ef/	arTa mahattamam devAH papracCuH imam AdarAt // ŚivS _7.2,8.25ef/
   devā ūcuḥ	devAH UcuH
   bhagavankena mārgeṇa pūjanīyo 'si bhūtale // ŚivP_7.2,8.26ab/	Bagavan kena mArgeNa pUjanIyaH asi BU tale // ŚivS _7.2,8.26ab/
   kasyādhikāraḥ pūjāyāṃ vaktumarhasi tattvataḥ // ŚivP_7.2,8.26cd/	kasya aDikAraH pUjAyAm vaktum arhasi tattvataH // ŚivS _7.2,8.26cd/
   tataḥ sasmitamālokya devīṃ devavaroharaḥ // ŚivP_7.2,8.27ab/	tatas sa smitam Alokya devIm deva varaH haraH // ŚivS _7.2,8.27ab/
   svarūpaṃ darśayāmāsa ghoraṃ sūryātmakaṃ param // ŚivP_7.2,8.27cd/	svarUpam darSayAmAsa Goram sUrya Atmakam param // ŚivS _7.2,8.27cd/
   sarvaiśvaryaguṇopetaṃ sarvatejomayaṃ param // ŚivP_7.2,8.28ab/	sarva ESvarya guNa upetam sarva tejaH mayam param // ŚivS _7.2,8.28ab/
   śaktibhirmūrtibhiścāṃgairgrahairdevaiśca saṃvṛtam // ŚivP_7.2,8.28cd/	SaktiBiH mUrtiBiH ca aMgEH grahEH devEH ca saMvRtam // ŚivS _7.2,8.28cd/
   aṣṭabāhuṃ caturvaktramardhanārīkamadbhutam // ŚivP_7.2,8.29ab/	azwa bAhum catur vaktram arDa nArIkam adButam // ŚivS _7.2,8.29ab/
   dṛṣṭvaivamadbhutākāraṃ devā viṣṇupurogamāḥ // ŚivP_7.2,8.29cd/	dRzwvA evam adButa AkAram devAH vizNu purogamAH // ŚivS _7.2,8.29cd/
   buddhvā divākaraṃ devaṃ devīṃ caiva niśākaram // ŚivP_7.2,8.30ab/	budDvA divAkaram devam devIm ca eva niSAkaram // ŚivS _7.2,8.30ab/
   pañcabhūtāni śeṣāṇi tanmayaṃ ca carācaram // ŚivP_7.2,8.30cd/	paQcaBUtAni SezANi tad mayam ca carAcaram // ŚivS _7.2,8.30cd/
   evamuktvā namaścakrustasmai cārghyaṃ pradāya vai // ŚivP_7.2,831ab/	evam uktvA namaH cakruH tasmE ca arGyam pradAya vE // ŚivS _7.2,831ab/
   siṃdūravarṇāya sumaṇḍalāya suvarṇavarṇābharaṇāya tubhyam //	siMdUra varNAya su maNxalAya suvarNa varNa ABaraNAya tuByam //
   ŚivP_7.2,8.32ab/	ŚivS _7.2,8.32ab/
   padmābhanetrāya sapaṃkajāya brahmendranārāyaṇakāraṇāya // ŚivP_7.2,8.32cd/	padma ABa netrAya sa paMkajAya brahma indra nArAyaNa kAraNAya // ŚivS _7.2,8.32cd/
   suratnapūrṇaṃ sasuvarṇatoyaṃ sukuṃkumādyaṃ sakuśaṃ sapuṣpam //	su ratna pUrNam sa suvarNa toyam sukuMkuma Adyam sa kuSam sa puzpam //
   ŚivP_7.2,8.33ab/	ŚivS _7.2,8.33ab/
   pradattamādāya sahemapātraṃ praśastamarghyaṃ bhagavanprasīda //	pradattam AdAya sa hema pAtram praSastam arGyam Bagavan prasIda //
   ŚivP_7.2,8.33cd/	Śivj _7.2,8.33cd/
   namaśśivāya śāṃtāya sagaṇāyādihetave // ŚivP_7.2,8.34ab/	namaH SivAya SAMtAya sa gaNAya Adi hetave // ŚivS _7.2,8.34ab/
   1 parasmaipadamārṣam	1 parasma epadam Arzam
   rudrāya viṣṇave tubhyaṃ brahmaṇe sūryamūrtaye // ŚivP_7.2,8.34cd/	rudrAya vizNave tuByam brahmaNe sUrya mUrtaye // ŚivS _7.2,8.34cd/
