   saṅkalpa-kalpa-druma	saFkalpa--kalpa-druma
   spṛśati diśati vāñchati prayāti praṇayati mandati nandati bravīti |	spRSati diSati vAQCati prayAti praNayati mandati nandati bravIti |
   iti bahuvidhalālanāṃ dadhānā sutam anu sā jananī na tṛptim āpa ||112||	iti bahuviDa-lAlanAm daDAnA sutam anu sA jananI na tRptim ApaH ||112||
   atha guruvanitāgaṇena mātrāpy anusaraṇād avarodha5setum āptaḥ |	aTa guru-vanitA-gaNena mAtrA-api anusaraNAt avaroDa5-setum AptaH |
   praṇayaviṣarabandhatas tu dāmodarapadavīṃ punar eṣa śaśvad āpa ||113||	praNaya-vizara-banDataH tu dAmodara-padavIm punar eza SaSvat ApaH ||113||
   atha harigamane krameṇa siddhe harijananī nijageham eva gatvā |	aTa hari-gamane krameNa sidDe hari-jananI nija-geham eva gatvA |
   gṛhakṛtikalanān nināya kālaṃ vṛṣaravijā caritāni tu smarāmi ||114||	gRha-kRti-kalanAt ninAya kAlam vRza-ravijA caritAni tu smarAmi ||114||
   yadavadhi harir eti mātṛpārśvaṃ tadavadhi sā ca parāś ca jālarandhrāt |	yat-avaDi hariH eti mAtR-pArSvam tat-avaDi sA ca parAH ca jAla-ranDrAt |
   harim avakalayanti yatra sarvā muhur api moham ayanti saṃharanti ||115||	harim avakalayanti yatra sarvAH muhur api moham ayanti saMharanti ||115||
   1. (a) mūrdhā; 2. (b) uttamayāma; 3. (a) puragamaṃ; 4. (a) puredhrio; 5.	1. (a) mUrDA; 2. (b) uttamayAma; 3. (a) pura-gaman; 4. (a) pureDrio; 5.
   (b) avarodhio	(b) avaroDiaH-
   yad anupadam iyaṃ tadāryapatnyāṃ dayitakṛte vinidhāya divyam annam |	yat anupadam iyam tad-A-Arya-patnyAm dayita-kRte viniDAya divyam annam |
   sukham anubhavati sma tat tu māṃ ca kṣipati sudhājaladhāv aho kva yāmi	suKam anuBavati sma tat tu mAm ca kzipati suDA-jalaDO aho kva yAmi
   tadaśanam anu yad vihāsajalpaṃ harikṛtam anvadhita svakarṇayugmam |	tad-aSanam anu yat vihAsa-jalpam hari-kRtam anvaDita sva-karNa-yugmam |
   smitanayanayugaṃ tathā nijālīḥ prati tad idaṃ mama cittam āvṛṇoti ||117||	smita-nayana-yugam taTA nijAlIH prati tat idam mama cittam AvRNoti ||117||
   harir ahaha tadā vanaṃ prayātuṃ nijatanum āstṛta divyavastralakṣmyā |	hariH ahaha tadA vanam prayAtum nija-tanum AstRta divya-vastra-lakzmyA |
   iyam asahanamānasā sapatnyām iva nidadhe sakaṭākṣam akṣi tasyām ||118||	iyam asahana-mAnasA sapatnyAm iva nidaDe sa-kawAkzam akzi tasyAm ||118||
   sa vipinagataye yadāpy udasthād adhita dhṛtiṃ nahi tarhi khañjanākṣī |	sa vipina-gataye yadA-api udasTAt aDita DRtim na-hi tarhi KaQjana-akzI |
   vapur iva jahatā svacetasā taṃ prasajati sā sma vanāya nirgamāya ||119||	vapuH iva jahatA sva-cetasA tam prasajati sA sma vanAya nirgamAya ||119||
   sarasijadṛg athāṅgane 'vatīrṇaḥ smitam amṛtaṃ vicakāra yarhi dikṣu |	sarasija-dRS aTa-aFgane avatIrNaH smitam amRtam vicakAra yarhi dikzu |
   iyam atularuciḥ sakhīṣu guptā svanayanam añjalim ācacāra tarhi ||120||	iyam atula-ruciH saKIzu guptA sva-nayanam aQjalim AcacAra tarhi ||120||
   murajiti nirite varāvarodhād guruvanitāsu nivṛtya cāgatāsu |	murajiti nirite vara-avaroDAt guru-vanitAsu nivRtya ca-AgatAsu |
   iyam atha lalitādibhiḥ svagehaṃ prati gamitāgamayat klamena kālam ||121||	iyam aTa lalita-AdiBiH sva-geham prati gamita-agamayat klamena kAlam ||121||
   prathamam ajitam īkṣate gavākṣāt tad anu ca varṇayati priyābhir eṣā |	praTamam ajitam Ikzate gavAkzAt tat anu ca varNayati priyABiH ezA |
   iha muhur api tarṣadharṣam asyāḥ puru dadhad akṣiyugaṃ na śāntim eti	iha muhur api tarza-Darzam asyAH puru daDat akzi-yugam na SAntim eti
   sṛjati harikṛte sahāramālyādy atulam iyaṃ nijasaṅginīsahāyā |	sRjati hari-kRte sahAra-mAlya-Adi atulam iyam nija-saFginI-sahAyAH |
   hariguṇagaṇagānaṃ apy apūrvaṃ mṛdu vidadhāti tathāpi naiti śāntim ||123||	hari-guNa-gaNa-gAnam api apUrvam mRdu vidaDAti taTA-api na-eti SAntim ||123||
   mṛgamadatilakā sa1nīlaratnaśrutiyugalābharaṇā ghanābhavastrā |	mRgamada-tilakA sa1nIla-ratna-Sruti-yugala-ABaraNAH Gana-aBavaH-trA |
   harivasanasanābhikāntir eṣā svakaratidīpanatāṃ svayaṃ jagāma ||123	hari-vasana-sanABi-kAntiH ezA sva-karati-dIpana-tAm svayam jagAma ||123
   jagur iha harirāgi rādhikāyāś caritam anūtanam ālayaḥ prasajya |	jaguH iha hari-rAgi rADikAyAH caritam anUtanam AlayaH prasajya |
   svayam iyam api tatra tāsu kasyāścid api jagāv anurāgipūrvarāgam ||1242	svayam iyam api tatra tAsu kasyAScid api jagO anurAgi-pUrva-rAgam ||1242
   murajiti jananīgṛhāt prayāte vanam anu varṣavarān susakhyadigdhān |	murajiti jananI-gRhAt prayAte vanam anu varza-varAn su-saKya-digDAn |
   avasaram anu veṣabhaṅgibhāṣādiṣu vadhupuṃstulitān dideśa subhrūḥ ||125	avasaram anu veza-BaFgi-BAzA-Adizu vaDu-puMstulitAn dideSa suBrUH ||125
   "pratinidhitanavaḥ stha yūyam asmākam iti nijaprabhunā samaṃ prayāta |	"pratiniDi-tanavaH sTa yUyam asmAkam iti nija-praBunA samam prayAtaH |
   prabhum api tam upetya madvidhārhaṃ paricaraṇaṃ kuruta vyatiprasajya ||	praBum api tam upetya madviDa-arham paricaraNam kuruta vyatiprasajya ||
   muhur atha ca bhavādṛg eka ekaḥ sucaritam asya nirīkṣya naḥ sametu |"	muhur aTa ca BavAdRS ekaH ekaH su-caritam asya nirIkzya naH sametu |"
   iti tad anumataḥ sa sakramāt taṃ muhur anubhūya jagāda tām upetya ||127||	iti tat anumataH sa sa-kramAt tam muhur anuBUya jagAda tAm upetya ||127||
   atha harir agamat pituḥ sabhāyāṃ divijagaṇastutabhāvabhāvitāyām |	aTa hariH agamat pituH saBAyAm divija-gaNa-stuta-BAva-BAvitAyAm |
   paśupatiparipūjyapāśupatyavrajajanabhāskārabhāsitāmbarāyām ||128||	paSupati-paripUjya-pASupatya-vraja-jana-BAskAra-BAsita-ambarAyAm ||128||
   dvijakalakalapoṣavedaghoṣaprakarajamaṅgalasaṅgatiṃ vrajantyām |	dvija-kalakala-poza-veda-Goza-prakara-ja-maFgala-saFgatim vrajantyAm |
   diśi diśi kavisūtamāgadhādiprakararavastavavistaraṃ bhajantyām ||	diSi diSi kavi-sUta-mAgaDa-Adi-prakara-rava-H-tava-vistaram BajantyAm ||
   bharatavivṛtagītavādyanṛtyapracayabhidādividāṃ mudāṃ3 dharaṇyām |	Barata-vivRta-gIta-vAdya-nRtya-pracaya-BidA-Adi-vidAm mudAM3 DaraNyAm |
   nijapitṛkulamātṛvaṃśatattadvivahanapuṇyayujāṃ pramodakhanyām ||130||	nija-pitR-kula-mAtR-vaMSa-tattad-vivahana-puNya-yujAm pramoda-KanyAm ||130||
   bala4sakhisahitaḥ sa sarvacakṣustatiṣu vavarṣa sudhām ivāṅgakāntim |	bala4saKi-sahitaH sa sarva-cakzuH-tatizu vavarza suDAm iva-aFga-kAntim |
   jayajayajayakāravārasāraḥ samajani yena tadānaśe jagac ca ||131||	jaya-jaya-jaya-kAravArasAraH samajani yena tadAnaSe jagat ca ||131||
   [caturbhiḥ]	[caturBiH]
   1. (b) suo; 2. this verse missing from (b); 3. (b) mudā; 4. (a) margin:	1. (b) suo; 2. TiH verse missinc from (b); 3. (b) mudA; 4. (a) margin:
   svakao	sva-kaaH-
   api varaguravas tam āśu dṛṣṭvā nijanijapīṭhavarā upetavantaḥ |	api vara-guravaH tam ASu dRzwvA nija-nija-pIWa-varAH upetavantaH |
   jalanidhim iva rāgitānadī tān prasabham amuṃ vahatīti tac ca yuktam	jalaniDim iva rAgitA-nadI tAn prasaBam amum vahati-iti tat ca yuktam
   kramamanu sa gurūn varān anaṃsīd yugapad atha praṇanāma kāṃścid anyān	kramam-anu sa gurUn varAn anaMsIt yugapad aTa praNanAma kAMScid anyAn
   samagamad aparān natān bhujābhyāṃ karakamalena tathā dṛśā parāṃs tu ||	samagamat aparAn natAn BujAByAm kara-kamalena taTA dRSA parAn tu ||
   vrajam anu paramā varādibhedā davaratayā yad api sphuranti lokāḥ |	vrajam anu paramAH vara-Adi-BedAH davara-tayA yat api sPuranti lokAH |
   tadapi vidhir ajalpad atra mitraṃ padam iti hārdam amuṣya vakti suṣṭhu1 ||	tat-api viDiH ajalpat atra mitram padam iti hArdam amuzya vakti suzWu1 ||
   harir asitamaṇipravekamūrtir lasati balaḥ pṛthupūrtihīramūrtiḥ |	hariH asita-maNi-praveka-mUrtiH lasati balaH pRTu-pUrti-hIra-mUrtiH |
   nijanidhir iti puṇyajātalabdhaḥ svayam iti sakramam ākali vrajena ||135	nija-niDiH iti puNya-jAta-labDaH svayam iti sa-kramam Akali vrajena ||135
   vrajanṛpatir atha svabāṣpanīrasthagitagalaḥ kṣamate sma nāpi vaktum |	vraja-nRpatiH aTa sva-bAzpa-nIra-sTa-gita-galaH kzamate sma na-api vaktum |
   tadapi harir avetya tasya hṛdyaṃ smitanayanāmbuvṛtām uvāca vācam ||136	tat-api hariH avetya tasya hRdyam smita-nayana-ambu-vRtAm uvAca vAcam ||136
   "ayi pitṛcaraṇā na cāsti kiñcid vrajavipine bhayadaṃ purāvad atra |	"ayi pitR-caraNAH na ca-asti kiQcid vraja-vipine Baya-dam purAvat atra |
   svayam api dhavalā vanād upeyus tadapi vayaṃ khalu khelituṃ vrajāmaḥ ||"	svayam api DavalAH vanAt upeyuH tat-api vayam Kalu Kelitum vrajAmaH ||"
   tam avadad upanandamukhyavṛndaṃ	tam avadat upananda-muKya-vRndam
   "vrajasadasām asavaḥ pitā tavāyam |	"vraja-sadasAm asavaH pitA tava-ayam |
   tvam asi tad asavas tad atra vācyaṃ	tvam asi tat asavaH tat atra vAcyam
   kim iva bhaven nikhilaṃ tvam eva vetsi ||138	kim iva Bavet niKilam tvam eva vetsi ||138
   vrajapatir atha yācakān samīkṣya svasutasukhāya punar dade bahūni |	vrajapatiH aTa yAcakAn samIkzya sva-suta-suKAya punar dade bahUni |
   vrajapatisutam aṇv amī yad āśīstatim adadur na sa tatra sāmyam āpa ||139	vrajapati-sutam aNu amI yat ASIH-tatim adaduH na sa tatra sAmyam ApaH ||139
   atha vanagataye 'ñjaliṃ dadhāne murajiti tadgatitarṣam ūhamānāḥ |	aTa vana-gataye aQjalim daDAne murajiti tad-gati-tarzam UhamAnAH |
   śrutibhaṇitaśubhān dvijān anuprāggati tam amī dhavalāntikāya ninyuḥ ||140	Sruti-BaNita-SuBAn dvijAn anuprAggati tam amI Dava-la-antikAya ninyuH ||140
   svayam asavidhataḥ samīkṣya dhenūr2	svayam asaviDataH samIkzya DenUr2
   na yayur amī prayayus tu kṛṣṇamukhyāḥ |	na yayuH amI prayayuH tu kRzNa-muKyAH |
   rabhasavaśam amūr amūṃs tu vīkṣyā-	raBasa-vaSam amUH amUn tu vIkzyA-
   tmajasadṛśānu samaṃ samaṃ praṇeduḥ ||141	tmaja-sadRSa-anu samam samam praNeduH ||141
   atha jihi jihi kārataḥ samastā vidadhur amī dhavalā vanāya nunnāḥ |	aTa jihi jihi kArataH samastAH vidaDuH amI DavalAH vanAya nunnAH |
   harisurabhim amūs tu vindamānā harim anugamya muhur nivṛttim āpuḥ ||	hari-suraBim amUH tu vindamAnAH harim anugamya muhur nivRttim ApuH ||
   tadapi gurugaṇe sthite haris tu vigatamanaḥsthitisūcanāṃ cakāra |	tat-api guru-gaNe sTite hariH tu vigata-manaH-sTiti-sUcanAm cakAra |
   harimatim avabudhya bāṣpakaṇṭhaḥ sa ca katham apy apasaryaṇaṃ babhāja |	harimatim avabuDya bAzpa-kaNWaH sa ca kaTam api apasaryaNam baBAja |
   vacanavadanamārjanānuśikṣādyanugatim ujjahad apy amuṣyatātaḥ |	vacana-vadana-mArjana-anuSikza-Adi-anugatim ujjahat api amuzya-tAtaH |
   amum anunayanānuvṛtticaryāṃ na tu śithilām iva kartum īśitāsīt ||144	amum anunayana-anuvRtti-caryAm na tu SiTilAm iva kartum ISitA-AsIt ||144
   katham api vinivṛtya sadma yāti vrajadharaṇīśitari vraje ca kṛtsne |	kaTam api vinivRtya sadma yAti vrajaDaraNI-Sitari vraje ca kRtsne |
   harim anu vinivṛtya dṛṣṭir asmān na vighaṭituṃ ghaṭate sma tasya tasya ||	harim anu vinivRtya dRzwiH asmAt na viGawitum Gawate sma tasya tasya ||
   murajid atha viśan vanāntarālaṃ gurukulasannatikṛd vidūrato 'pi |	murajit aTa viSan vana-antarAlam guru-kula-sannati-kRt vidUrataH api |
   gurubhir atitarāṃ tadāśīstatibhir apuṣyata tuṣyad akṣilakṣmi ||146	guruBiH atitarAm tadA-ASIH-tatiBiH apuzyata tuzyat akzi-lakzmi ||146
   atha harir aṭavīm aṭan suhṛdbhiḥ sahajavareṇa ca gāḥ sthirīvibhāvya |	aTa hariH awavIm awan suhRdBiH sahaja-vareNa ca gAH sTirI-viBAvya |
   abhirucitapathaḥ prayāṇayuktā samavalayan mṛdugānarītihūti ||147	aBirucita-paTaH prayANa-yuktA samavalayan mRdu-gAnarItihUti ||147
   1. (a) sa sma [?]; 2. (b) gāvaḥ;	1. (a) sa sma [?]; 2. (b) gAvaH;
   atha vanam agamad balādisaṅgaṃ paramasukhapradam eṣa manyamānaḥ |	aTa vanam agamat bala-Adi-saFgam parama-suKa-pradam eza manyamAnaH |
   vividhatarulatāsu1 kokilādidvijamṛgasaṅgītam āviśat parantu ||148	viviDa-taru-latA-asu1 kokila-Adi-dvija-mRga-saFgItam AviSat parantu ||148
   madhupapikaśikhipradhānapakṣiplavagarurupriyakādijantubhedān |	maDu-papika-SiKi-praDAna-pakzi-plava-garuru-priyaka-Adi-jantu-BedAn |
   dhvanitanaṭakalābhir anvakurvann ajitabalādi2mudām udārabālyāḥ2 ||149	Dvanita-nawa-kalABiH anvakurvan ajita-bala-Adi2mudAm udAra-bAlyAH2 ||149
   iti bahuvidhakhelayā mukundaṃ sukhayati bāndhavavṛndam etam eva |	iti bahuviDa-KelayA mukundam suKayati bAnDava-vRndam etam eva |
   nijanijavividhasvabhāvataś ca pramadayati pratidiṣṭam iṣṭamiṣṭam ||149	nija-nija-viviDa-svaBAvataH ca pramadayati pratidizwam izwam-izwam ||149
   sthirataravarabuddhayaḥ sakhāyaḥ sacivacaritratayā hariṃ bhajanti |	sTiratara-vara-budDayaH saKAyaH saciva-caritra-tayA harim Bajanti |
   capalamatimiladvidūṣakārhaprahasana3kāvyagiraḥ prahāsayanti ||150	capalam-atimilat-vidUzaka-arha-prahasana3-kAvya-giraH prahAsayanti ||150
   ṛjutamacaritaprayuktayuktasthitigatirītisamāḥ sabhājayanti |	Rjutama-carita-prayukta-yukta-sTiti-gati-rIti-samAH saBAjayanti |
   pratimuhur api vāmatāyamānasvacaracitajalpakalāvikalpayanti ||1514	pratimuhuH api vAma-tAyamAna-sva-caracita-jalpa-kalA-vikalpayanti ||1514
   atulakulajaśīlamīladugraprakṛtikagīrmṛdulāḥ sadārdrayanti |	atula-kula-ja-SIla-mIlat-ugra-prakRti-kagIH-mRdulAH sat-A-Ardrayanti |
   girigiri ca vitaṇḍayāticaṇḍaprabharacanaprabhavo vicitrayanti ||152	girigiri ca vitaNxayA-ati-caNxa-praBa-racana-praBavaH vicitrayanti ||152
   iti nikhilagaṇā vicitratattadguṇaguṇitapraṇayaprakarṣacittāḥ |	iti niKila-gaNAH vicitra-tad-tad-guNa-guNita-praNaya-prakarza-cittAH |
   bahuvidhavidhayaḥ pare pare te sukhadam amuṃ satataṃ sukhāyayanti ||153	bahuviDa-viDayaH pare pare te suKa-dam amum satatam suKAyayanti ||153
   kvacid api divase samitya govardhanam iha mānasasañjñitāṃ ca gaṅgām |	kvacid api divase samitya govarDanam iha mAnasa-saQjQitAm ca gaFgAm |
   raviduhitaram atra cāhni līlāḥ sthalagalagā vidadhe tvadīyakāntaḥ ||154	ravi-duhitaram atra ca-ahni lIlAH sTala-gala-gAH vidaDe tvadIyaka-antaH ||154
   kvacana ca sakhībhiḥ sameti bhāṇḍīrakam adhiyojanam asti yaḥ prasajya |	kvacana ca saKIBiH sameti BANxIrakam aDiyojanam asti yaH prasajya |
   sthalavanayamunādi kelim asmin vividhavidhaṃ vidadhāti kṛṣṇacandraḥ ||155	sTala-vana-yamunA-Adi kelim asmin viviDaviDam vidaDAti kRzNa-candraH ||155
   ayi tava dayitaḥ kalena veṇoś calayati devagaṇāṃs tathā pataṅgān |	ayi tava dayitaH kalena veNoH calayati deva-gaNAn taTA pataFgAn |
   idam api ghaṭatāṃ parantu citraṃ sa hi dhunute nirasūn acetanāṃś ca |156	idam api Gawa-tAm parantu citram sa hi Dunute nirasUn acetanAn ca |156
   hvayati ca dhavalājanāya yarhi tvadadhipatir madhureṇa śabditena |	hvayati ca Dava-lAjanAya yarhi tvad-aDipatiH maDureNa Sabditena |
   jalam api karakāyamāṇam āsāṃ mṛdu mṛdu carvaṇayā5 rasaṃ bibharti ||157	jalam api kara-kAyamANam AsAm mRdu mRdu carvaNayA5 rasam biBarti ||157
   nirudakagirisānugāḥ kadācid bahudhavalāḥ śavalās tṛṣā nirīkṣya |	nirudaka-giri-sAnugAH kadAcid bahu-DavalAH SavalAH tRzA nirIkzya |
   dhvanayati muralīṃ patis tavāsmāddharaṇidharadravatā hi tāḥ piparti6 ||158	Dvanayati muralIm patiH tava-asmAt-haraNiDara-dravatAH hi tAH piparti6 ||158
   kalayati yamunādisañjñayā tāḥ śuṣirakalāśritayā sa eṣa dhenūḥ |	kalayati yamunA-Adi-saQjQayA tAH Suzira-kalA-ASritayA saH eza DenUH |
   iha nijanijanāmabuddhinadyaḥ kim ayur amuṃ kim u vā kalāntakṛṣṭi ||159	iha nija-nija-nAma-budDi-nadyaH kim ayuH amum kim u vA kalA-anta-kRzwi ||159
   kvacana ca divase nidāghamādhyāhnikasamaye vigatā vṛṣṭi7pradeśe |	kvacana ca divase nidAGam-ADyAhnika-samaye vigatAH vRzwi7-pradeSe |
   dadhad atha muralīkalaṃ payodāṃś cyutasalilān vidadhāti goṣu goṣu ||160	daDat aTa muralI-kalam payodAn cyuta-salilAn vidaDAti gozu gozu ||160
   kvacana ca divase samārdracittaḥ kalayati veṇukalaṃ tathā yathānu |	kvacana ca divase samArdra-cittaH kalayati veNu-kalam taTA yaTA-anu |
   dravati girigaṇe padāṅkamudrā jahati śilā na kadāpi tatra teṣām ||161	dravati giri-gaNe pada-aFka-mudrA jahati SilA na kadApi tatra tezAm ||161
   racayati muralīṃ kadāpi nāvaṃ sariti paśūn paśupāṃś ca tārayan saḥ |	racayati muralIm kadApi nAvam sariti paSUn paSupAn ca tArayan saH |
   madhurakalatayā yadā tu tasyā ghaṭayati tāṃ kaṭhināṃ kutūhalena ||162	maDura-kalatayA yadA tu tasyAH Gawayati tAm kaWinAm kutUhalena ||162
   kvacid api kavayaḥ śilādravādyaṃ bata kavayanti kavipracāravṛttyā |	kvacid api kavayaH SilA-drava-Adyam bata kavayanti kavi-pracAra-vRttyA |
   1. (a) olatālio; 2. (a) margin: mude mudā vayasyāḥ; 3. (b) prahasanaṃ; 4.	1. (a) ola-tAlio; 2. (a) margin: mude mudA vayasyAH; 3. (b) prahasanan; 4.
   this verse absent from (b); 5. (a) ca varṇayā; 6. (a) piparttiḥ; 7. (b)	TiH verse absent from (b); 5. (a) ca varNayA; 6. (a) piparttiH; 7. (b)
   vigatāvṛtio	vigata-AvRtio
   dadhati sarasatāṃ ca tatra vijñā harim anu tat tu nijaṃ kim atra varṇyam	daDati sarasa-tAm ca tatra vijQA harim anu tat tu nijam kim atra varNyam
   sakhivṛṣamahiṣān mudā yudhā tān valayati saṃvalate ca tatra tatra |	saKi-vRza-mahizAn mudA yuDA tAn valayati saMvalate ca tatra tatra |
   kva ca vijayaparājayāv abhīkṣya prahasitam añcati yuṣmadīyakāntaḥ ||164||	kva ca vijaya-parAjayO aBIkzya prahasitam aQcati yuzmadIyaka-antaH ||164||
   kvacana ca racanāñcivastrayugmaṃ kvaca satirīṭam1 akuñcakāntarīyam |	kvacana ca raca-nAQci-vastra-yugmam kva-ca sa-tiH-Iwam1 akuQcaka-antarIyam |
   kvaca naṭarucibhṛtpaṭaṃ kvacāpi pravalitamallatulaṃ sa vaṣṭi veṣam ||165||	kva-ca nawa-ruci-BRt-pawam kvacApi pravalita-malla-tulam sa vazwi vezam ||165||
   kvacid api vidadhāti mallalīlāṃ kvacid api nṛtyakalāṃ suhṛdbhir eṣaḥ |	kvacid api vidaDAti malla-lIlAm kvacid api nRtya-kalAm suhRdBiH ezaH |
   dvayam api bhidayā mṛśāmi nedaṃ gatir aticitratamā samā dvaye 'pi ||166||	dvayam api BidayA mRSAmi na-idam gatiH aticitratamA samAH dvaye api ||166||
   hariṇaviharaṇaṃ satuṇḍayuddhaṃ nayananimīlanśālinarmagāliḥ |	hariNa-viharaNam sa-tuNxa-yudDam nayana-nimIlan-SAli-narmagAliH |
   iti bahuvidhakhelanāptavelaṃ svam aśanam apy aniśaṃ visasmarus te ||167||	iti bahuviDa-Kelana-Apta-velam svam aSanam api aniSam visasmaruH te ||167||
   atha bahuvihṛtiṃ vicitracaryāṃ sa racitavān sakhibhiḥ sukhaṃ niṣaṇṇaḥ |	aTa bahu-vihRtim vicitra-caryAm sa racitavAn saKiBiH suKam nizaNNaH |
   śayanam anugataś ca vījanādyaiḥ paricaritaḥ sukham eti tad dadāti ||168||	Sayanam anugataH ca vIjana-AdyEH paricaritaH suKam eti tat dadAti ||168||
   iti haricarite tu tena tena śravasi cite muralīninādaramye |	iti hari-carite tu tena tena Sravasi cite muralI-ninAda-ramye |
   sapadi tadavadhānam ādadhānā muhur abhajanta daśām amūm amūś ca ||169||	sapadi tad-avaDAnam AdaDAnAH muhur aBajanta daSAm amUm amUH ca ||169||
   adhi harimuralisvapūrvarāgasphuraṇadaśāvaśāpurāvadīhaḥ2 |	aDi hari-murali-sva-pUrva-rAga-sPuraNa-daSA-vaSA-pura-avadIhaH2 |
   vṛṣaravitanayāmukhāḥ suduḥkhās tadamilanān mumuhur muhurmuhuś ca ||170||	vRza-ravitanayA-muKAH su-duHKAH tad-amilanAt mumuhuH muhur-muhur ca ||170||
   iti sati sacivāyamānarāmā jagadur "aho katham atra vihvalāḥ stha? |	iti sati sacivAyamAna-rAmAH jagaduH "aho kaTam atra vihvalAH sTa? |
   vrajanṛpagṛhiṇīnideśavaryaṃ katham atha vismṛtam ārtibhiḥ kurudhve ||171	vraja-nRpa-gRhiNI-nideSa-varyam kaTam aTa vismRtam ArtiBiH kuruDve ||171
   adiśata sadayā hareḥ prasūr yad dvividaripor api sā vidhāya yuktim |	adiSata sa-dayA hareH prasUH yat dvivida-ripoH api sA viDAya yuktim |
   tad anusarata kāntarāgaśāntasmṛtitatayas tad upāyam ātanudhvam ||172	tat anusarata kAnta-rAga-SAnta-smRtitatayaH tat upAyam AtanuDvam ||172
   prathamam aśanam īśituḥ prabhāte sphuṭam aparaṃ pratibhāti sārdhayāme |	praTamam aSanam ISituH praBAte sPuwam aparam pratiBAti sArDa-yAme |
   avaram api turīyayāmālambhe param atha rātrimukhe vyatītamātre ||173	avaram api turIyayAm-AlamBe param aTa rAtri-muKe vyatIta-mAtre ||173
   prathamam aśanam arpyate jananyā tadaparam āvriyate suhṛdgaṇena |	praTamam aSanam arpyate jananyA tad-aparam Avriyate suhRd-gaNena |
   pitṛmukhagurubhir vriyeta turyaṃ bhavadupayuktam atas tṛtīyam eva ||174	pitR-muKa-guruBiH vriyeta turyam Bavat-upayuktam atas tRtIyam eva ||174
   vrajataṭam aṭataḥ murāriśatror abhigamanaṃ bhavatībhir atra yuktam |	vraja-tawam awatas murAri-SatroH aBigamanam BavatIBiH atra yuktam |
   sa hi miṣam upadhāya yuṣmadīyaṃ parisaram eṣyati dhāsyate ca śarma ||175	sa hi mizam upaDAya yuzmadIyam parisaram ezyati DAsyate ca SarmaH ||175
   tvaritam iha tu kāntabhojyavaryaṃ kuruta kim apy adhunā tu tāḥ prayānti	tvaritam iha tu kAnta-Bojya-varyam kuruta kim api aDunA tu tAH prayAnti
   vrajanarapatinā samaśnatā yā vyadhiśata dāpayituṃ sutāya bhojyam" ||176	vraja-narapatinA samaSnatA yA vyaDiSata dApayitum sutAya Bojyam" ||176
   iti harivanitāsu susthitāsu vrajapatigīrvaśataḥ purandhrimukhyāḥ |	iti hari-vanitAsu susTitAsu vraja-pati-gIrva-SataH puranDri-muKyAH |
   bahuvidham aśanaṃ vidhāya śīrṣṇi pramadabharaṃ manasi vrajāntam īyuḥ ||	bahuviDam aSanam viDAya SIrzNi pramada-Baram manasi vraja-antam IyuH ||
   atha nijanijakulyabālasaṅghā kutukaparītatayā dravann amūbhiḥ |	aTa nija-nija-kulya-bAla-saFGA kutuka-parIta-tayA dravan amUBiH |
   kvacid api purataḥ kvacic ca paścāt kvacid api dakṣiṇavāmataḥ prasajya |8	kvacid api puratas kvacid ca paScAt kvacid api dakziNa-vAmataH prasajya |8
   vanalasadaśanapradhānakhelākutukakulaṃ bata citta tasya paśya |	vana-lasa-daSana-praDAna-KelA-kutuka-kulam bata citta tasya paSya |
   tvam asi kila kiyan munīndravaryān api yad idaṃ nijavandinaḥ karoti	tvam asi kila kiyan muni-indra-varyAn api yat idam nija-vandinaH karoti
   ka iha bata bhavanti te munīndrāḥ svayam api yacchravaṇe 'pi rādhikā sā |	kaH iha bata Bavanti te muni-indrAH svayam api yat-SravaNe api rADikA sA |
   1.(b) sakirīṭam; 2. (b) oīhāḥ	1.(b) sa-kirIwam; 2. (b) oIhAH
   ajitam api guṇena mohayantī muhur api moham upaiti tatra kas tvam? |180||	ajitam api guNena mohayantI muhur api moham upEti tatra kaH tvam? |180||
   hariharisuhṛdaḥ sphuradvihārā dadṛśur amūr amukān amūś ca tatra |	hari-hari-suhRdaH sPurat-vihArAH dadRSuH amUH amukAn amUH ca tatra |
   tadapi tad ubhayaṃ kulaṃ na bhogaṃ prati viviveca vihāramagnabuddhi |181||	tat-api tat uBayam kulam na Bogam prati viviveca vihAra-magna-budDi |181||
   katham api madhumaṅgalas tu paśyann atha viviveca javād uvāca tatra |	kaTam api maDumaFgalaH tu paSyan aTa viviveca javAt uvAca tatra |
   "dhṛtavihṛtimadā na cet puras tātkṛtam api paśyatha kā kṣudhā varākī?" ||	"DRta-vihRti-madA na ced puras tAtkRtam api paSyaTa kA kzuDA varAkI?" ||
   jagadur atha dhṛtasmitaṃ sakhāyaḥ "kvacid api cen na bhavet prayojanāya |	jagaduH aTa DRta-smitam saKAyaH "kvacid api ced na Bavet prayojanAya |
   prakaṭataram ajāgalastanasya pratimadaśāṃ dvija eṣa saṃvaleta ||183	prakawataram ajAgala-stanasya pratima-daSAm dvijaH eza saMvaleta ||183
   iti bahuhasitaṃ vidhāya tasmin sthalavalaye viniviśya kṛṣṇamukhyāḥ |	iti bahu-hasitam viDAya tasmin sTala-valaye viniviSya kRzNa-muKyAH |
   caraṇakaramukhaṃ viśadya vārbhiḥ samaśanaśarmakṛte dhṛteham āsan ||184||	caraNa-kara-muKam viSadya vArBiH samaSana-Sarma-kRte DRtA-iham Asan ||184||
