   Toḍalatantra, Prathamaḥ paṭalaḥ	Toxala-tantra, PraTamaH pawalaH
   duradṛṣṭavaśād devi nīlakaṇṭhastavādikam /	duradRzwa-vaSAt devi nIlakaNWa-stava-Adikam /
   karoti kārayedvāpi mama hatyāṃ karoti saḥ // ToT_5.9 //	karoti kArayet-vA-api mama hatyAm karoti saH // ToT_5.9 //
   ata eva maheśāni sa pāpiṣṭho na cānyathā /	atas eva maheSAni sa pApizWaH na ca-anyaTA /
   niṣiddhācaraṇaṃ pāpaṃ karoti yadi pāmaraḥ // ToT_5.10 //	nizidDa-AcaraNam pApam karoti yadi pAmaraH // ToT_5.10 //
   putradārādhanaṃ tasya nāśameti na saṃśayaḥ /	putra-dArADanam tasya nASam-eti na saMSayaH /
   kaṇṭhe tu garalaṃ devi yadi pūjāparo bhavet // ToT_5.11 //	kaNWe tu garalam devi yadi pUjA-paraH Bavet // ToT_5.11 //
   ihaloke daridraḥ syān mṛte śūkaratāṃ vrajet /	ihaloke daridraH syAt mRte SUkara-tAm vrajet /
   nīlakaṇṭhasya yanmantraṃ yadi kuryāt puraskriyām // ToT_5.12 //	nIlakaNWasya yat-mantram yadi kuryAt puraskriyAm // ToT_5.12 //
   pakṣāntare maheśāni tasya mṛtyurna cānyathā /	pakza-antare maheSAni tasya mRtyuH-na ca-anyaTA /
   śṛṇu devi pravakṣyāmi pārthivaṃ śivapūjanam // ToT_5.13 //	SRNu devi pravakzyAmi pArTivam Siva-pUjanam // ToT_5.13 //
   tatrādau parameśāni gurudevaṃ namet sudhīḥ /	tatra-AdO parameSAni guru-devam namet suDIH /
   oṃ harāya namaskāraṃ mṛttikāmāharet sudhīḥ // ToT_5.14 //	om harAya namaskAram mRttikAm-Aharet suDIH // ToT_5.14 //
   maheśvarāya namaskāraṃ liṅgaṃ nirmāya yatnataḥ /	maheSvarAya namaskAram liFgam nirmAya yatnatas /
   śūlapāṇe ihoccārya susaṃpratiṣṭhito bhava // ToT_5.15 //	SUlapANe iha-uccArya su-saMpratizWitaH Bava // ToT_5.15 //
   anena manunā devi jīvanyāso vidhīyate /	anena manunA devi jIva-nyAsaH viDIyate /
   śakāraṃ bindusaṃyuktaṃ dīrghamuktaṃ ṣaḍaṅgakam // ToT_5.16 //	SakAram bindu-saMyuktam dIrGam-uktam zaxaFgakam // ToT_5.16 //
   tasya dhyānaṃ pravakṣyāmi śṛṇuṣva susamāhitā /	tasya DyAnam pravakzyAmi SRNuzva su-samAhitAH /
   oṃ dhyāyennityaṃ maheśaṃ rajatagirinibhaṃ cārucandrāvataṃsaṃ	om DyAyet-nityam maheSam rajata-giri-niBam cAru-candra-avataMsam
   ratnākalpojjvalāṅgaṃ paraśumṛgavarābhītihastaṃ prasannam /	ratna-Akalpa-ujjvala-aFgam paraSu-mRga-vara-aBIti-hastam prasannam /
   padmāsīnaṃ samantāt stutam amaragaṇair vyāghrakṛttiṃ vasānaṃ viśvādyaṃ	padmAsInam samantAt stutam amara-gaNEH vyAGra-kRttim vasAnam viSva-Adyam
   viśvabījaṃ nikhilabhayaharaṃ pañcavaktraṃ trinetram // ToT_5.17 //	viSva-bIjam niKila-Baya-haram paQcavaktram trinetram // ToT_5.17 //
   puṣpaṃ śirasi saṃdhārya mānasaiḥ pūjanaṃ caret /	puzpam Sirasi saMDArya mAnasEH pUjanam caret /
   punardhyātvā maheśāni śive puṣpaṃ nidhāya ca // ToT_5.18 //	punar-DyAtvA maheSAni Sive puzpam niDAya ca // ToT_5.18 //
   pinākadhṛgiti coccārya ihāgaccha dvayaṃ vadet /	pinAkaDRk-iti ca-uccArya iha-AgacCa dvayam vadet /
   iha tiṣṭha tato dvaṃdvaṃ saṃnidhehi dvayam iha // ToT_5.19 //	iha tizWa tatas dvaMdvam saMniDehi dvayam iha // ToT_5.19 //
   iha sanni tato ruddha- svaśabdaṃ ca tato vadet /	iha sanni tatas rudDa sva-Sabdam ca tatas vadet /
   yāvat pūjāṃ samuccārya tataścaivaṃ karomyaham // ToT_5.20 //	yAvat pUjAm samuccArya tatas-ca-evam karomi-aham // ToT_5.20 //
   snānīyaṃ ca paśupatiṃ ṅeyuktaṃ ca namaścaret /	snAnIyam ca paSupatim Feyuktam ca namaH-caret /
   vedādyaṃ yojayeddevi brāhmaṇaḥ sādhakottamaḥ // ToT_5.21 //	veda-Adyam yojayet-devi brAhmaNaH sADaka-uttamaH // ToT_5.21 //
   etat pādyaṃ maheśāni ṣaḍakṣaramanuṃ tataḥ /	etat pAdyam maheSAni zaz-akzara-manum tatas /
   namaskāraṃ samuccārya sarvaṃ dadyād vicakṣaṇaḥ // ToT_5.22 //	namaskAram samuccArya sarvam dadyAt vicakzaNaH // ToT_5.22 //
   pūjayitvā maheśāni cāṣṭamūrtiṃ prapūjayet /	pUjayitvA maheSAni ca-azwamUrtim prapUjayet /
   śarvo bhavastathā rudra ugro bhīmaḥ paśoḥ patiḥ // ToT_5.23 //	SarvaH BavaH-taTA rudraH ugraH BImaH paSoH patiH // ToT_5.23 //
   mahādevaṃ ca īśānaṃ ṅeyutaṃ kuru yatnataḥ /	mahAdevam ca ISAnam Feyutam kuru yatnatas /
   kṣitiṃ jalaṃ tathā cāgniṃ vāyuṃ cākāśameva ca // ToT_5.24 //	kzitim jalam taTA ca-agnim vAyum ca-AkASam-eva ca // ToT_5.24 //
   yajamānaṃ tathā somaṃ sūryaṃ ca mūrtinā saha /	yajamAnam taTA somam sUryam ca mUrtinA saha /
   sarvatra ṅeyutaṃ kṛtvā pūjayet sādhakottamaḥ // ToT_5.25 //	sarvatra Feyutam kRtvA pUjayet sADaka-uttamaH // ToT_5.25 //
   praṇavādinamo'ntena vāmāvartena pūjayet /	praNava-Adi-namaH-antena vAma-Avartena pUjayet /
   mūrtayo'ṣṭau śivasyaitāḥ pūrvādikramayogataḥ // ToT_5.26 //	mUrtayaH-azwO Sivasya-etAH pUrva-Adi-krama-yogataH // ToT_5.26 //
   āgneyyāntāḥ prapūjyātha vidyāṃ liṅgiśivaṃ yajet /	AgneyyA-antAH prapUjya-aTa vidyAm liFgi-Sivam yajet /
   aṣṭottarasahasraṃ vā śataṃ vā prajapettataḥ // ToT_5.27 //	azwottarasahasram vA Satam vA prajapet-tatas // ToT_5.27 //
   guhyātiguhyagoptā tvaṃ gṛhāṇāsmatkṛtaṃ japam /	guhya-ati-guhya-goptA tvam gRhANa-asmat-kRtam japam /
   siddhirbhavatu me deva tvatprasādānmaheśvara // ToT_5.28 //	sidDiH-Bavatu me deva tvad-prasAdAt-maheSvara // ToT_5.28 //
   tatastoyaṃ samādāya japaṃ caiva samarpayet /	tatas-toyam samAdAya japam ca-eva samarpayet /
   mukhavādyaṃ tataḥ kṛtvā cāṣṭāṅgaṃ praṇamet sudhīḥ // ToT_5.29 //	muKavAdyam tatas kRtvA ca-azwAFgam praNamet suDIH // ToT_5.29 //
   saṃhāreṇa mahādeva kṣamasveti visarjayet /	saMhAreNa mahAdeva kzamasva-iti visarjayet /
   evaṃ pūjā prakartavyā śaktimantrān yajed yadi // ToT_5.30 //	evam pUjA prakartavyA Sakti-mantrAn yajet yadi // ToT_5.30 //
   prāsādādīn mahāmantrān yadi dīkṣāparo bhavet /	prAsAda-AdIn mahA-mantrAn yadi dIkzA-paraH Bavet /
   śaktidīkṣā na kartavyā kadācidapi mohataḥ // ToT_5.31 //	Sakti-dIkzA na kartavyA kadAcid-api mohataH // ToT_5.31 //
   sa śaiva iti vikhyātaḥ sarvatantreśvaro bhavet /	sa SEvaH iti viKyAtaH sarva-tantreSvaraH Bavet /
   athātaḥ sampravakṣyāmi sūtraṃ paramagopanam // ToT_5.32 //	aTa-atas sampravakzyAmi sUtram parama-gopanam // ToT_5.32 //
   haro maheśvaraścaiva śūlapāṇiḥ pinākadhṛk /	haraH maheSvaraH-ca-eva SUlapANiH pinAkaDRk /
   paśupatiḥ śivaścaiva mahādeva iti kramāt // ToT_5.33 //	paSupatiH SivaH-ca-eva mahAdevaH iti kramAt // ToT_5.33 //
   aṣṭamūrtis tato devi pūjayet sādhakottamaḥ /	azwamUrtiH tatas devi pUjayet sADaka-uttamaH /
   tato japenmaheśāni mukhavādyaṃ tataḥ param // ToT_5.34 //	tatas japet-maheSAni muKavAdyam tatas param // ToT_5.34 //
   etadanyanna kartavyaṃ śaktidīkṣāparo yadi /	etat-anyat-na kartavyam Sakti-dIkzA-paraH yadi /
   niṣiddhācaraṇāddevi pāpabhāg jāyate naraḥ // ToT_5.35 //	nizidDa-AcaraNAt-devi pApa-BAj jAyate naraH // ToT_5.35 //
   nyūnādhikaṃ mahādevi yadi pūjādikaṃ caret /	nyUna-aDikam mahAdevi yadi pUjA-Adikam caret /
   sa guruṃ cāpi śiṣyaṃ ca śivahatyāṃ prayacchati // ToT_5.36 //	sa gurum ca-api Sizyam ca Siva-hatyAm prayacCati // ToT_5.36 //
   nyūnādhikaṃ maheśāni yadi caikākṣaraṃ bhavet /	nyUna-aDikam maheSAni yadi ca-eka-akzaram Bavet /
   varṇasaṃkhyā maheśāni brahmahatyā bhaviṣyati // ToT_5.37 //	varNa-saMKyA maheSAni brahmahatyA Bavizyati // ToT_5.37 //
   ata eva sa pāpiṣṭhaḥ satyaṃ satyaṃ sureśvari /	atas eva sa pApizWaH satyam satyam sureSvari /
   evaṃ pūjāṃ vidhāyādau tataścānyaṃ prapūjayet // ToT_5.38 //	evam pUjAm viDAya-AdO tatas-ca-anyam prapUjayet // ToT_5.38 //
   ādau śivaṃ pūjayitvā śaktipūjā tataḥ param /	AdO Sivam pUjayitvA Sakti-pUjA tatas param /
   yat kiṃcid upacāraṃ hi tasya kiṃcinnivedayet // ToT_5.39 //	yat kiMcid upacAram hi tasya kiMcid-nivedayet // ToT_5.39 //
   anyathā mūtravat sarvaṃ gaṅgātoyaṃ bhaved yadi /	anyaTA mUtra-vat sarvam gaFgA-toyam Bavet yadi /
   ata eva maheśāni ādau liṅgaṃ prapūjayet // ToT_5.40 //	atas eva maheSAni AdO liFgam prapUjayet // ToT_5.40 //
   śivasnānodakaṃ devi mūrdhni saṃdhārayed yadi /	Siva-snAna-udakam devi mUrDni saMDArayet yadi /
   satyaṃ satyaṃ maheśāni śivatulyo na saṃśayaḥ // ToT_5.41 //	satyam satyam maheSAni Siva-tulyaH na saMSayaH // ToT_5.41 //
   śivarūpī svayaṃ bhūtvā devīpūjāṃ samācaret /	Siva-rUpI svayam BUtvA devI-pUjAm samAcaret /
   śaivavaiṣṇavadaurgārka- gāṇapatyaindradīkṣitaḥ // ToT_5.42 //	SEva-vEzNava-dOrga-arka gANapatya-Endra-dIkzitaH // ToT_5.42 //
   ādau liṅgaṃ pūjayitvā yadi cānyat prapūjayet /	AdO liFgam pUjayitvA yadi ca-anyat prapUjayet /
   tatphalaṃ koṭiguṇitaṃ satyaṃ satyaṃ na saṃśayaḥ // ToT_5.43 //	tat-Palam kowi-guNitam satyam satyam na saMSayaH // ToT_5.43 //
   anyadevaṃ pūjayitvā śivaṃ paścād yajed yadi /	anyadevam pUjayitvA Sivam paScAt yajet yadi /
   tasya pūjāphalaṃ caiva bhujyate yakṣarākṣasaiḥ // ToT_5.44 //	tasya pUjA-Palam ca-eva Bujyate yakza-rAkzasEH // ToT_5.44 //
   iti te kathitaṃ kānte tantrāṇāṃ sāramuttamam /	iti te kaTitam kAnte tantrANAm sAram-uttamam /
   bahu kiṃ kathyate devi bhūyaḥ kiṃ śrotumicchasi // ToT_5.45 //	bahu kim kaTyate devi BUyas kim Srotum-icCasi // ToT_5.45 //
   Toḍalatantra, ṣaṣṭhaḥ paṭalaḥ	Toxala-tantra, zazWaH pawalaH
   śrīdevī uvāca	SrI-devI uvAca
   śrutaṃ mahākālikāyā mantraṃ paramagopanam /	Srutam mahA-kAlikAyAH mantram parama-gopanam /
   saṃkṣepaṃ kathitaṃ nātha vāsanāṃ vada māṃ prati // ToT_6.1 //	saMkzepam kaTitam nATa vAsanAm vada mAm prati // ToT_6.1 //
   śrīśiva uvāca	SrI-SivaH uvAca
   śṛṇu devi mahāmantra- vāsanāṃ sarvasiddhidām /	SRNu devi mahA-mantra vAsanAm sarva-sidDi-dAm /
   yasyāḥ śravaṇamātreṇa mantrāḥ siddhā bhavanti hi // ToT_6.2 //	yasyAH SravaNa-mAtreNa mantrAH sidDAH Bavanti hi // ToT_6.2 //
   kakārasyordhvakoṇeṣu prāṇo vāyuḥ pratiṣṭhitaḥ /	kakArasya-UrDva-koNezu prANaH vAyuH pratizWitaH /
   apāno vāyukoṇe ca samāno madhyadeśataḥ // ToT_6.3 //	apAnaH vAyu-koNe ca samAnaH maDyadeSataH // ToT_6.3 //
   udāno 'ṅkuśakoṇe ca mātrāyāṃ vyāna eva ca /	udAnaH aFkuSa-koNe ca mAtrAyAm vyAnaH eva ca /
   bījaṃ tu kālikārūpaṃ prakāraṃ śṛṇu pārvati // ToT_6.4 //	bIjam tu kAlikA-rUpam prakAram SRNu pArvati // ToT_6.4 //
   kalābhāge jaṭājūṭaṃ keśaṃ ca parameśvari /	kalA-BAge jawA-jUwam keSam ca parameSvari /
   bindumastakabhālaṃ tu nāsā netraṃ ca pārvati // ToT_6.5 //	bindu-mastaka-BAlam tu nAsA netram ca pArvati // ToT_6.5 //
   śrotrayugmaṃ tathā vaktraṃ skandanād avyavasthitam /	Srotra-yugmam taTA vaktram skandanAt avyavasTitam /
   caturbāhuṃ tathā dehaṃ stanadvaṃdvaṃ kaṭidvayam // ToT_6.6 //	catur-bAhum taTA deham stana-dvaMdvam kawi-dvayam // ToT_6.6 //
   hṛdayaṃ jaṭharaṃ pādaṃ tathā sarvāṅguliḥ śive /	hRdayam jaWaram pAdam taTA sarva-aFguliH Sive /
   brahmarūpaṃ kakāraṃ ca sarvāṅgaṃ tanusaṃśayaḥ // ToT_6.7 //	brahma-rUpam kakAram ca sarva-aFgam tanu-saMSayaH // ToT_6.7 //
   śakāraṃ kāmarūpaṃ ca yonirūpaṃ na cānyathā /	SakAram kAmarUpam ca yoni-rUpam na ca-anyaTA /
   candrasūryāgnirūpaṃ ca rephaṃ paramadurlabham // ToT_6.8 //	candra-sUrya-agni-rUpam ca rePam parama-durlaBam // ToT_6.8 //
   sarvāṅgadyotanaṃ tejo jagadānandarūpakam /	sarva-aFga-dyotanam tejaH jagadAnanda-rUpakam /
   bindunirvāṇadaṃ nādaṃ mahāmokṣapradaṃ sadā // ToT_6.9 //	bindu-nirvANa-dam nAdam mahAmokza-pradam sadA // ToT_6.9 //
   sarvavighnaharaṃ devi kakāraṃ toyarūpakam /	sarva-viGna-haram devi kakAram toya-rUpakam /
   sarvapāpaharaṃ rephaṃ tasmād vahnirna cānyathā // ToT_6.10 //	sarva-pApa-haram rePam tasmAt vahniH-na ca-anyaTA // ToT_6.10 //
   īkāraṃ parameśāni śaktiṃ cāvyayarūpiṇīm /	IkAram parameSAni Saktim ca-avyaya-rUpiNIm /
   mahāmokṣapradā devī tasmānmāyā prakīrtitā // ToT_6.11 //	mahAmokza-pradA devI tasmAt-mAyA prakIrtitAH // ToT_6.11 //
   kakāraṃ brahmarūpaṃ ca makāraṃ viṣṇurūpakam /	kakAram brahma-rUpam ca makAram vizNu-rUpakam /
   rephaḥ saṃhārarūpatvāc chivarūpo na cānyathā // ToT_6.12 //	rePaH saMhAra-rUpa-tvAt Siva-rUpaH na ca-anyaTA // ToT_6.12 //
   brahmaviṣṇuśivaḥ sākṣāt kakāraṃ parameśvari /	brahma-vizNu-SivaH sAkzAt kakAram parameSvari /
   anuccāryaṃ tadeva syād vinā māyāyutaṃ śive // ToT_6.13 //	anuccAryam tat-eva syAt vinA mAyA-yutam Sive // ToT_6.13 //
   māyāyuktaṃ yadā devi tadā muktipradaṃ mahat /	mAyA-yuktam yadA devi tadA mukti-pradam mahat /
   ata eva maheśāni māyāśaktirnigadyate // ToT_6.14 //	atas eva maheSAni mAyA-SaktiH-nigadyate // ToT_6.14 //
   kakāraṃ dharmadaṃ devi īkāraścārthadāyakam /	kakAram Darma-dam devi IkAraH-ca-arTa-dAyakam /
   rakāraṃ kāmadaṃ kānte makāraṃ mokṣadāyakam // ToT_6.15 //	rakAram kAma-dam kAnte makAram mokza-dAyakam // ToT_6.15 //
   ekatroccāraṇāddevi nirvāṇamokṣadāyinī /	ekatra-uccAraNAt-devi nirvANa-mokza-dAyinI /
   māhātmyaṃ devadeveśi kiṃ vaktuṃ śakyate mayā // ToT_6.16 //	mAhAtmyam devadeveSi kim vaktum Sakyate mayA // ToT_6.16 //
   jihvākoṭisahasreṇa vaktrakoṭiśatena ca /	jihvA-kowi-sahasreNa vaktra-kowi-Satena ca /
   janmāntarasahasreṇa varṇituṃ naiva śakyate // ToT_6.17 //	janma-antara-sahasreNa varNitum na-eva Sakyate // ToT_6.17 //
   vidhivallakṣajāpena puraścaraṇam ucyate /	viDivat-lakza-jApena puraScaraNam ucyate /
   etadrūpaṃ mahāmāyāṃ kūrcabījaṃ tu sundari // ToT_6.18 //	etat-rUpam mahAmAyAm kUrca-bIjam tu sundari // ToT_6.18 //
   vāgbhavaṃ praṇavaṃ devi etadrūpaṃ na saṃśayaḥ /	vAc-Bavam praNavam devi etat-rUpam na saMSayaH /
   agnijāyā mahāvidyā etadrūpaṃ na saṃśayaḥ // ToT_6.19 //	agnijAyAH mahAvidyAH etat-rUpam na saMSayaH // ToT_6.19 //
   drutasiddhipradā vidyā vahnijāyā parā manuḥ /	druta-sidDi-pradA vidyA vahnijAyA parA manuH /
   sambodhanapadenaiva sadā saṃnidhikāriṇī // ToT_6.20 //	samboDana-padena-eva sadA saMniDi-kAriNI // ToT_6.20 //
   atha vakṣye mahāvidyā- puraścaraṇam uttamam /	aTa vakzye mahAvidyA puraScaraNam uttamam /
   kathitaṃ mantrarājasya tripuraścaraṇaṃ śṛṇu // ToT_6.21 //	kaTitam mantrarAjasya tripuraScaraNam SRNu // ToT_6.21 //
   divā lakṣaṃ japenmantraṃ haviṣyāśī jitendriyaḥ /	divA lakzam japet-mantram havizya-ASI jita-indriyaH /
   divyavīramate devi rātrau lakṣaṃ japet sudhīḥ // ToT_6.22 //	divya-vIra-mate devi rAtrO lakzam japet suDIH // ToT_6.22 //
   atha ṣaḍakṣarasyāsya śṛṇu devi puraskriyām /	aTa zaz-akzarasya-asya SRNu devi puraskriyAm /
   divyavīramatenaiva viṃśatyekena pārvati // ToT_6.23 //	divya-vIra-matena-eva viMSati-ekena pArvati // ToT_6.23 //
   tathā ca tryakṣaraṃ mantraṃ prajapet sādhakāgraṇīḥ /	taTA ca tri-akzaram mantram prajapet sADaka-agraNIH /
   dhyānapūjādikaṃ sarvaṃ samānaṃ vīravandite // ToT_6.24 //	DyAna-pUjA-Adikam sarvam samAnam vIra-vandite // ToT_6.24 //
   etasyāḥ sadṛśī vidyā phaladā nāsti yogini /	etasyAH sadRSI vidyA Pala-dA na-asti yogini /
   sarvamantrasya caitanyaṃ śṛṇu pārvati sādaram // ToT_6.25 //	sarva-mantrasya cEtanyam SRNu pArvati sa-Adaram // ToT_6.25 //
   sahasrāre mahāpadme bindurūpaṃ paraṃ śivam /	sahasrAre mahApadme bindu-rUpam param Sivam /
   kuṇḍalinīṃ samutthāpya haṃsena manunā sudhīḥ // ToT_6.26 //	kuNxalinIm samutTApya haMsena manunA suDIH // ToT_6.26 //
   nāsāgre yā sthirā dṛṣṭir jāyate parameśvari /	nAsA-agre yA sTirA dRzwiH jAyate parameSvari /
   tadaiva mantracaitanyaṃ kuṇḍalīcakragaṃ bhavet // ToT_6.27 //	tadA-eva mantra-cEtanyam kuNxalI-cakra-gam Bavet // ToT_6.27 //
   sahasrāre mahāpadme kuṇḍalyā sahitaṃ gurum /	sahasrAre mahApadme kuNxalyA sahitam gurum /
   bhāvayet sarvamantrāṇāṃ caitanyaṃ jāyate priye // ToT_6.28 //	BAvayet sarva-mantrANAm cEtanyam jAyate priye // ToT_6.28 //
   tadaiva prajapenmantraṃ siddhidaṃ nātra saṃśayaḥ /	tadA-eva prajapet-mantram sidDi-dam na-atra saMSayaH /
   śrīdevī uvāca	SrI-devI uvAca
   idānīṃ tāriṇīmantra- vāsanāṃ vada śaṃkara /	idAnIm tAriNI-mantra vAsanAm vada SaMkara /
   kālikā mokṣadā nityā tāriṇī bhavavāridhau // ToT_6.29 //	kAlikA mokza-dA nityA tAriNI Bava-vAriDO // ToT_6.29 //
   śrīśaṃkara uvāca	SrI-SaMkaraH uvAca
   kalākeśaṃ maheśāni bindumastakamīritam /	kalA-keSam maheSAni bindu-mastakam-Iritam /
   nādaṃ ca vaktraṃ bhālaṃ ca nāsāṃ netraṃ ca pārvati // ToT_6.30 //	nAdam ca vaktram BAlam ca nAsAm netram ca pArvati // ToT_6.30 //
   bhujacatuṣṭayaṃ dehaṃ stanadvaṃdvaṃ ca vakṣasam /	Buja-catuzwayam deham stana-dvaMdvam ca vakzasam /
   makāreṇa tu deveśi pṛṣṭhaṃ caiva kaṭidvayam // ToT_6.31 //	makAreNa tu deveSi pRzWam ca-eva kawi-dvayam // ToT_6.31 //
   takāreṇa yonideśaṃ gudaṃ pādadvayaṃ tathā /	takAreNa yoni-deSam gudam pAda-dvayam taTA /
   sarvāṅgulīr nakhaṃ caiva bhāvayet sādhakottamaḥ // ToT_6.32 //	sarva-aFgulIH naKam ca-eva BAvayet sADaka-uttamaH // ToT_6.32 //
   candrasūryātmakaṃ rephaṃ vahnibījaṃ na cānyathā /	candra-sUrya-Atmakam rePam vahnibIjam na ca-anyaTA /
   sarvā nāḍyastathā jyotī romaṃ ca bhūṣaṇādikam // ToT_6.33 //	sarvAH nAxyaH-taTA jyotiH romam ca BUzaNa-Adikam // ToT_6.33 //
   śakāraṃ ca mahāmāyā śaktirūpaprakāśinī /	SakAram ca mahAmAyA Sakti-rUpa-prakASinI /
   mūrdhādipādaparyantaṃ śaktibījaṃ sudurlabham // ToT_6.34 //	mUrDa-Adi-pAda-paryantam Sakti-bIjam su-durlaBam // ToT_6.34 //
   asya mantrasya māhātmyaṃ kiṃ mayā kathyate'dhunā /	asya mantrasya mAhAtmyam kim mayA kaTyate-aDunA /
   aśvamedhasahasrāṇi vājapeyaśatāni ca // ToT_6.35 //	aSvameDa-sahasrANi vAjapeya-SatAni ca // ToT_6.35 //
   kāśyāditīrthaṃ deveśi sārdhakoṭibhuvātmakam /	kASi-Adi-tIrTam deveSi sArDa-kowi-Buva-Atmakam /
   pūrṇāṃ śasyena deveśi saptadvīpāṃ vasuṃdharām // ToT_6.36 //	pUrNAm Sasyena deveSi sapta-dvIpAm vasuMDarAm // ToT_6.36 //
   merutulyasuvarṇaṃ tu brāhmaṇe vedapārage /	meru-tulya-suvarNam tu brAhmaNe vedapArage /
   sadakṣiṇaṃ vrataṃ sarvaṃ caturvedasuvistaram // ToT_6.37 //	sa-dakziNam vratam sarvam catur-veda-su-vistaram // ToT_6.37 //
   gāṃ caiva bhūmisaṃsthaṃ ca hastyaśvaṃ ca tathaiva ca /	gAm ca-eva BUmi-saMsTam ca hasti-aSvam ca taTA-eva ca /
   balidānaṃ maheśāni pitṛyajñaṃ tathaiva ca // ToT_6.38 //	bali-dAnam maheSAni pitR-yajQam taTA-eva ca // ToT_6.38 //
   vihitaṃ ca mahāpuṇyaṃ yaduktaṃ śāstravedibhiḥ /	vihitam ca mahA-puNyam yat-uktam SAstra-vediBiH /
   sakṛjjapānmaheśāni kalāṃ nārhanti ṣoḍaśīm // ToT_6.39 //	sakRt-japAn-maheSAni kalAm na-arhanti zoxaSIm // ToT_6.39 //
   ekoccāreṇa deveśi kiṃ punarbrahma kevalam /	eka-uccAreNa deveSi kim punar-brahma kevalam /
   sṛṣṭisthitilayādīnāṃ kartāro nātra saṃśayaḥ // ToT_6.40 //	sRzwi-sTiti-laya-AdInAm kartAraH na-atra saMSayaH // ToT_6.40 //
   saguṇaṃ nirguṇaṃ sākṣāt nirākāraṃ ca mūrtimat /	sa-guNam nirguNam sAkzAt nirAkAram ca mUrtimat /
   vaikharīyaṃ mahāvidyā varṇāśritā suniścalā // ToT_6.41 //	vEKarIyam mahAvidyA varNa-ASritA su-niScalAH // ToT_6.41 //
   yato nirakṣaraṃ vastu atastārā prakīrtitā /	yatas nirakzaram vastu atas-tArA prakIrtitA /
   brahmavidyāsvarūpeyaṃ bhogamokṣaphalapradā // ToT_6.42 //	brahma-vidyA-svarUpA-iyam Boga-mokza-Pala-pradA // ToT_6.42 //
   janmakoṭisahasreṇa varṇituṃ naiva śakyate /	janma-kowi-sahasreNa varNitum na-eva Sakyate /
   pañcavaktreṇa deveśi kiṃ mayā kathyate'dhunā // ToT_6.43 //	paQcavaktreNa deveSi kim mayA kaTyate-aDunA // ToT_6.43 //
   ekākṣarī mahāvidyā triṣu lokeṣu pūjitā /	ekAkzarI mahAvidyA trizu lokezu pUjitAH /
   ekākṣarīvihīno yo mantraṃ gṛhṇāti pārvati // ToT_6.44 //	eka-akzarI-vihInaH yaH mantram gRhNAti pArvati // ToT_6.44 //
   kalpakoṭisahasreṇa tasya siddhirna jāyate /	kalpa-kowi-sahasreNa tasya sidDiH-na jAyate /
   sakāro viṣṇurūpaśca takāraśca prajāpatiḥ // ToT_6.45 //	sakAraH vizNu-rUpaH-ca takAraH-ca prajApatiH // ToT_6.45 //
   rephaḥ saṃhārarūpatvāc chivaḥ sākṣānna saṃśayaḥ /	rePaH saMhAra-rUpa-tvAt SivaH sAkzAt-na saMSayaH /
   yā cādyā paramā vidyā sā māyā paramā kalā // ToT_6.46 //	yA ca-AdyA paramA vidyA sA mAyA paramA kalA // ToT_6.46 //
   nirākāraṃ paraṃ jyotir binduṃ cāvyayasaṃjñakam /	nirAkAram param jyotiH bindum ca-avyaya-saMjQakam /
   binduśabdena śūnyaṃ syāt tathā ca guṇasūcakam // ToT_6.47 //	bindu-Sabdena SUnyam syAt taTA ca guNa-sUcakam // ToT_6.47 //
   binducakrāmṛtā devi plavantī cārdhamātrayā /	bindu-cakra-amRtA devi plavantI ca-arDa-mAtrayA /
   ardhamātrākṛtirnādo vyāpako viśvapālakaḥ // ToT_6.48 //	arDa-mAtra-AkRtiH-nAdaH vyApakaH viSva-pAlakaH // ToT_6.48 //
   yatheyaṃ vaikharī vidyā kūrcavidyā tathaiva ca /	yaTA-iyam vEKarI vidyA kUrca-vidyA taTA-eva ca /
   māhātmyaṃ caiva pūjāyāṃ bhedo nāsti sureśvari // ToT_6.49 //	mAhAtmyam ca-eva pUjAyAm BedaH na-asti sureSvari // ToT_6.49 //
   satāraṃ ca tathā binduṃ māyā pañcākṣarī parā /	sa-tAram ca taTA bindum mAyA paQcAkzarI parA /
   vibhakte cākṣare caiva kriyate mūrtikalpanā // ToT_6.50 //	viBakte ca-akzare ca-eva kriyate mUrti-kalpanA // ToT_6.50 //
   sārdhapañcākṣarī vidyā tāriṇī mūrtimat svayam /	sArDa-paQcAkzarI vidyA tAriNI mUrtimat svayam /
   tadrūpaṃ pakṣirūpaṃ hi vāgbhavaśca haripriyām // ToT_6.51 //	tad-rUpam pakzi-rUpam hi vAc-BavaH-ca haripriyAm // ToT_6.51 //
   praṇavaṃ kāmabījaṃ tu gaganaś ca śivaṃ śive /	praNavam kAmabIjam tu gaganaH ca Sivam Sive /
   astrabījaṃ tadeva syād vahnijāyāṃ sureśvari // ToT_6.52 //	astra-bIjam tat-eva syAt vahnijAyAm sureSvari // ToT_6.52 //
   sambodhanapadenaiva sadā saṃnidhikāriṇī /	samboDana-padena-eva sadA saMniDi-kAriNI /
   pañcākṣareṇa deveśi tāriṇī kāmarūpiṇī // ToT_6.53 //	paQcAkzareNa deveSi tAriNI kAmarUpiNI // ToT_6.53 //
