   viṣayādhyāyaḥ	vizaya-aDyAyaH
   samānakarmayoge buddheḥ prādhānyaṃ lokavallokavat | KapSs_2.47 |	samAna-karma-yoge budDeH prADAnyam loka-vat-loka-vat | KapSs_2.47 |
   (karaṇeṣu gauṇamukhyabhāvavyavasthā)	(karaNezu gONa-muKya-BAva-vyavasTA)
   vairāgyādhyā	vErAgya-ADyA
   aviśeṣāt viśeṣārambhaḥ | KapSs_3.1 |	aviSezAt viSeza-AramBaH | KapSs_3.1 |
   (pañcatanmātrebhyaḥ saṃsṛtibījasthūlasṛṣṭiḥ)	(paQca-tanmAtreByaH saMsRti-bIja-sTUla-sRzwiH)
   tasmāccharīrasya | KapSs_3.2 |	tasmAt-SarIrasya | KapSs_3.2 |
   (pañcatanmātrebhyaḥ saṃsṛtibījasthūlasṛṣṭiḥ)	(paQca-tanmAtreByaH saMsRti-bIja-sTUla-sRzwiH)
   tadījāt saṃsṛtiḥ | KapSs_3.3 |	tadIjAt saMsRtiH | KapSs_3.3 |
   (pañcatanmātrebhyaḥ saṃsṛtibījasthūlasṛṣṭiḥ)	(paQca-tanmAtreByaH saMsRti-bIja-sTUla-sRzwiH)
   āvivekācca pravartanamaviśeṣāṇāṃ | KapSs_3.4 |	AvivekAt-ca pravartanam-aviSezANAm | KapSs_3.4 |
   (saṃsṛteḥ vivekaparyantatvaṃ)	(saMsRteH viveka-paryanta-tvaM)
   upabhogāditarasya | KapSs_3.5 |	upaBogAt-itarasya | KapSs_3.5 |
   (saṃsṛteḥ vivekaparyantatvaṃ)	(saMsRteH viveka-paryanta-tvaM)
   samprati parimukto dvābhyāṃ | KapSs_3.6 |	samprati parimuktaH dvAByAm | KapSs_3.6 |
   (saṃsṛteḥ vivekaparyantatvaṃ)	(saMsRteH viveka-paryanta-tvaM)
   mātāpitṛjaṃ sthūlaṃ prāyaśaḥ itaranna tathā | KapSs_3.7 |	mAtA-pitR-jam sTUlam prAyaSas itarat-na taTA | KapSs_3.7 |
   (sthūlanadinara śarīrayoḥ bhedaḥ)	(sTUla-nadinara SarIrayoH BedaH)
   pūrvotpattestatkāryatvaṃ bhogādekasya netarasya | KapSs_3.8 |	pUrva-utpatteH-tad-kArya-tvam BogAt-ekasya na-itarasya | KapSs_3.8 |
   (sthūlanadinara śarīrayoḥ bhedāḥ)	(sTUla-nadinara SarIrayoH BedAH)
   saptadaśaikaṃ liṅgaṃ | KapSs_3.9 |	saptadaSa-ekam liFgam | KapSs_3.9 |
   (liṅgaśarīraṃ tatkāryaṃ ca)	(liFga-SarIram tat-kAryam ca)
   vyaktibhedaḥ karmaviśeṣāt | KapSs_3.10 |	vyakti-BedaH karma-viSezAt | KapSH-_3.10 |
   (liṅgaśarīraṃ tatkāryaṃ ca)	(liFga-SarIram tat-kAryam ca)
   tadadhiṣṭhānāśraye dehe tadvādattadvādaḥ | KapSs_3.11 |	tad-aDizWAna-ASraye dehe tad-vA-adat-tad-vAdaH | KapSs_3.11 |
   (liṅgaśarīrādhiṣṭhānasūkṣmadehāśrayatvaṃ sthūladehasya)	(liFga-SarIra-aDizWAna-sUkzma-deha-ASraya-tvam sTUla-dehasya)
   na svātantryāttadṛte chāyāvaccitravacca | KapSs_3.12 |	na svAtantryAt-tad-Rte CAyAvat-citra-vat-ca | KapSs_3.12 |
   (liṅgaśarīrādhiṣṭhānasūkṣmaśarīrasattvāvaśyakatā)	(liFga-SarIra-aDizWAna-sUkzma-SarIra-sattva-AvaSyaka-tA)
   mūrtatve 'pi na saṅghātayogāt taraṇivat | KapSs_3.13 |	mUrta-tve api na saFGAta-yogAt taraNi-vat | KapSs_3.13 |
   (liṅgaśarīrādhiṣṭhānasūkṣmaśarīrasattvāvaśyakatā)	(liFga-SarIra-aDizWAna-sUkzma-SarIra-sattva-AvaSyaka-tA)
   aṇuparimāṇaṃ tatkṛtiśruteḥ | KapSs_3.14 |	aNu-parimANam tad-kRti-SruteH | KapSs_3.14 |
   (liṅgaśarīraparimāṇaṃ)	(liFga-SarIra-parimANaM)
   tadannamayatvaśruteśca | KapSs_3.15 |	tad-anna-maya-tva-SruteH-ca | KapSs_3.15 |
   (liṅgaśarīraparimāṇaṃ)	(liFga-SarIra-parimANaM)
   puruṣārthaṃ saṃsṛtiḥ liṅgānāṃ sūpakāravadrājñaḥ | KapSs_3.16 |	puruza-arTam saMsRtiH liFgAnAm sUpakAra-vat-rAjQaH | KapSs_3.16 |
   (liṅgaśarīrasaṃsṛteḥ puruṣārthatvaṃ)	(liFga-SarIra-saMsRteH puruza-arTa-tvaM)
   pāñcabhautiko dehaḥ | KapSs_3.17 |	pAQcaBOtikaH dehaH | KapSs_3.17 |
   (sthūlaśarīrasvarupaviṣaye mata bhedāḥ)	(sTUla-SarIra-svarupa-vizaye mata BedAH)
   cāturbhautikamityeke | KapSs_3.18 |	cAturBOtikam-iti-eke | KapSs_3.18 |
   (caitanyasya bhūtadharmatvā bhāvaḥ)	(cEtanyasya BUta-Darma-tvAH BAvaH)
   aikabhautikamityapare | KapSs_3.19 |	Eka-BOtikam-iti-apare | KapSs_3.19 |
   (caitanyasya bhūtadharmatvā bhāvaḥ)	(cEtanyasya BUta-Darma-tvAH BAvaH)
   na sāṃsiddhikaṃ caitanyaṃ pratyekādṛṣṭeḥ | KapSs_3.20 |	na sAMsidDikam cEtanyam pratyekAdRzweH | KapSs_3.20 |
   (caitanyasya bhūtadharmatvā bhāvaḥ)	(cEtanyasya BUta-Darma-tvAH BAvaH)
   prapañcamaraṇādyabhāvaśca | KapSs_3.21 |	prapaQca-maraNa-Adi-aBAvaH-ca | KapSs_3.21 |
   (caitanyasya bhūtadharmatvā bhāvaḥ)	(cEtanyasya BUta-Darma-tvAH BAvaH)
   madaśaktivaccet pratyekaparidṛṣṭe sāṃhatye tadudbhavaḥ | KapSs_3.22 |	mada-Sakti-vat-ced pratyeka-paridRzwe sAMhatye tad-udBavaH | KapSs_3.22 |
   (caitanyasya bhūtadharmatvā bhāvaḥ)	(cEtanyasya BUta-Darma-tvAH BAvaH)
   jñānānmuktiḥ | KapSs_3.23 |	jQAnAt-muktiH | KapSs_3.23 |
   (jñānaviparyayābhyāṃ muktibandhau)	(jQAna-viparyayAByAm mukti-banDO)
   bandho viparyayāt | KapSs_3.24 |	banDaH viparyayAt | KapSs_3.24 |
   (jñānaviparyayābhyāṃ muktibandhau)	(jQAna-viparyayAByAm mukti-banDO)
   niyatakāraṇatvānna samuccayavikalpau | KapSs_3.25 |	niyata-kAraNa-tvAt-na samuccaya-vikalpO | KapSs_3.25 |
   (tatvajñānamātrasya muktihetutvaṃ)	(tatva-jQAna-mAtrasya mukti-hetu-tvaM)
   svapnajāgarābhyāmiva māyikāmāyikābhyāṃ nobhayormuktiḥ puruṣasya |	svapna-jAgarAByAm-iva mAyikA-mAyikAByAm na-uBayoH-muktiH puruzasya |
   KapSs_3.26 |	KapSs_3.26 |
   (tatvajñānamātrasya muktihetutvaṃ)	(tatva-jQAna-mAtrasya mukti-hetu-tvaM)
   itarasyāpi nātyantikaṃ | KapSs_3.27 |	itarasya-api na-Atyantikam | KapSs_3.27 |
   (upāsanātmakajñānasya muktihetutvābhāvaḥ)	(upAsana-Atmaka-jQAnasya mukti-hetu-tva-aBAvaH)
   saṅkalpite 'pyevaṃ | KapSs_3.28 |	saFkalpite api-evam | KapSs_3.28 |
   (upāsanātmakajñānasya muktihetutvābhāvaḥ)	(upAsana-Atmaka-jQAnasya mukti-hetu-tva-aBAvaH)
   bhāvanopacayāt śuddhasya sarvaṃ prakṛtivat | KapSs_3.29 |	BAvanA-upacayAt SudDasya sarvam prakRti-vat | KapSs_3.29 |
   (upāsanāphalaṃ)	(upAsana-aPalaM)
   rāgopahatiḥ dhyānaṃ | KapSs_3.30 |	rAga-upahatiH DyAnam | KapSs_3.30 |
   (dhyānasya muktisādhanajñānasādhanatvaṃ)	(DyAnasya mukti-sADana-jQAna-sADana-tvaM)
   vṛttinirodhāt tatsiddhiḥ | KapSs_3.31 |	vRtti-niroDAt tad-sidDiH | KapSs_3.31 |
   (dhyānasiddhyupāyaḥ)	(DyAna-sidDi-upAyaH)
   dhāraṇāsanasvakarmaṇā tatsiddhiḥ | KapSs_3.32 |	DAraNa-Asana-sva-karmaNA tad-sidDiH | KapSs_3.32 |
   (dhyānasādhanāni, teṣāṃ lakṣaṇāni ca)	(DyAna-sADanAni, tezAm lakzaNAni ca)
   nirodhaḥ chardividhāraṇābhyāṃ | KapSs_3.33 |	niroDaH Cardi-viDAraNAByAm | KapSs_3.33 |
   (dhyānasādhanāni, teṣāṃ lakṣaṇāni ca)	(DyAna-sADanAni, tezAm lakzaNAni ca)
   sthirasukhamāsanaṃ | KapSs_3.34 |	sTira-suKam-Asanam | KapSs_3.34 |
   (dhyānasādhanāni, teṣāṃ lakṣaṇāni ca)	(DyAna-sADanAni, tezAm lakzaNAni ca)
   svakarma svāśramavihitakarmānuṣṭhānaṃ | KapSs_3.35 |	sva-karma sva-ASrama-vihita-karma-anuzWAnam | KapSs_3.35 |
   (dhyānasādhanāni, teṣāṃ lakṣaṇāni ca)	(DyAna-sADanAni, tezAm lakzaNAni ca)
   vairāgyāt abhyāsācca | KapSs_3.36 |	vErAgyAt aByAsAt-ca | KapSs_3.36 |
   (mukhyādhikāriṇaḥ yamādipañcakāpekṣābhāvaḥ)	(muKya-aDikAriNaH yama-Adi-paQcaka-apekzA-BAvaH)
   viparyayabhedāḥ pañca | KapSs_3.37 |	viparyaya-BedAH paQca | KapSs_3.37 |
   (bandhahetuviparyayavibhāgaḥ)	(banDa-hetu-viparyaya-viBAgaH)
   aśaktiraṣṭaviśatidhā tu | KapSs_3.38 |	aSaktiH-azwa-viSatiDA tu | KapSH-_3.38 |
   (viparyayahetūnāṃ aśaktīnāṃ bhedāḥ)	(viparyaya-hetUnAm aSaktInAm BedAH)
   tuṣṭirnavadhā | KapSs_3.39 |	tuzwiH-navaDA | KapSs_3.39 |
   (buddhyaśakti saṃpādakayoḥ tuṣṭisiddhyoḥ vibhāgaḥ)	(budDi-aSakti saMpAdakayoH tuzwi-sidDyoH viBAgaH)
   siddhiraṣṭadhā | KapSs_3.40 |	sidDiH-azwaDA | KapSs_3.40 |
   (buddhyaśakti saṃpādakayoḥ tuṣṭisiddhyoḥ vibhāgaḥ)	(budDi-aSakti saMpAdakayoH tuzwi-sidDyoH viBAgaH)
   avāntarabhedāḥ pūrvavat | KapSs_3.41 |	avAntara-BedAH pUrvavat | KapSs_3.41 |
   (viparyayāśaktituṣṭisiddhīnāṃ kiñcidvivaraṇaṃ)	(viparyayA-Sakti-tuzwi-sidDInAm kiQci-d-vivaraNaM)
   evamitarasyāḥ | KapSs_3.42 |	evam-itarasyAH | KapSs_3.42 |
   (viparyayāśaktituṣṭisiddhīnāṃ kiñcidvivaraṇaṃ)	(viparyayA-Sakti-tuzwi-sidDInAm kiQci-d-vivaraNaM)
   ādhyatmikādi bhedāt navadhā tuṣṭiḥ | KapSs_3.43 |	ADyatmikA-Adi BedAt navaDA tuzwiH | KapSs_3.43 |
   (viparyayāśaktituṣṭisiddhīnāṃ kiñcidvivaraṇaṃ)	(viparyayA-Sakti-tuzwi-sidDInAm kiQci-d-vivaraNaM)
   ūhādibhiḥ siddhiraṣṭadhā | KapSs_3.44 |	UhA-AdiBiH sidDiH-azwaDA | KapSs_3.44 |
   (viparyayāśaktituṣṭisiddhīnāṃ kiñcidvivaraṇaṃ)	(viparyayA-Sakti-tuzwi-sidDInAm kiQci-d-vivaraNaM)
   netarāditarahānena vinā | KapSs_3.45 |	na-itarAditara-hAnena vinA | KapSs_3.45 |
   (tapa ādi siddheḥ tāttvikasiddhitvābhāvaḥ)	(tapaH Adi sidDeH tAttvika-sidDi-tva-aBAvaH)
   daivādiprabhedā | KapSs_3.46 |	dEva-Adi-praBedAH | KapSs_3.46 |
   (daivādisṛṣṭiprabhedāḥ tadavadhayaśca)	(dEva-Adi-sRzwi-praBedAH tad-avaDayaH-ca)
   ābrahmastambaparyantaṃ tatkṛte sṛṣṭiḥ āvivekāt | KapSs_3.47 |	Abrahma-stamba-paryantam tad-kRte sRzwiH AvivekAt | KapSH-_3.47 |
   (daivādisṛṣṭiprabhedāḥ tadavadhayaśca)	(dEva-Adi-sRzwi-praBedAH tad-avaDayaH-ca)
   ūrdhvaṃ satvaviśālā | KapSs_3.48 |	UrDvam satva-viSAlA | KapSs_3.48 |
   (guṇaprabhedena sṛṣṭibhedāḥ)	(guNa-praBedena sRzwi-BedAH)
   tamoviśālāmūlataḥ | KapSs_3.49 |	tamaH-viSAlA-mUlataH | KapSs_3.49 |
   (guṇaprabhedena sṛṣṭibhedāḥ)	(guNa-praBedena sRzwi-BedAH)
   madhye rajoviśālā | KapSs_3.50 |	maDye rajaH-viSAlA | KapSs_3.50 |
   (guṇaprabhedena sṛṣṭibhedāḥ)	(guNa-praBedena sRzwi-BedAH)
   karmavaicitryāt pradhānaceṣṭā garbhadāsavat | KapSs_3.51 |	karma-vEcitryAt praDAna-cezwA garBa-dAsa-vat | KapSs_3.51 |
   (vicitrasṛṣṭīnāṃ nimittaṃ)	(vicitra-sRzwInAm nimittaM)
   āvṛttisttatrāpyuttarottarayogāddheyaḥ | KapSs_3.52 |	AvRttiH-ttatra-api-uttarottara-yogAt-heyaH | KapSs_3.52 |
   (āmukti sṛṣṭīnāṃ heyatvaṃ)	(A-mukti sRzwInAm heya-tvaM)
   samānaṃ jarāmaraṇādinaṃ duḥkhaṃ | KapSs_3.53 |	samAnam jarA-maraNa-Adinam duHKam | KapSs_3.53 |
   (āmukti sṛṣṭīnāṃ heyatvaṃ)	(A-mukti sRzwInAm heya-tvaM)
   na kāraṇalayāt kṛtakṛtyatā magnavadutthānāt | KapSs_3.54 |	na kAraNa-layAt kRtakRtya-tA magna-vat-utTAnAt | KapSs_3.54 |
   (prakṛtilayasyāpi ātyantikamuktirūpatvābhāvaḥ)	(prakRti-layasya-api Atyantika-mukti-rUpa-tva-aBAvaH)
   akāryatve 'pi tadyogaḥ pāravaśyāt | KapSs_3.55 |	akArya-tve api tad-yogaH pAravaSyAt | KapSs_3.55 |
   (prakṛtilayasyāpi ātyantikamuktirūpatvābhāvaḥ)	(prakRti-layasya-api Atyantika-mukti-rUpa-tva-aBAvaH)
   sa hi sarvavit sarvakartā | KapSs_3.56 |	sa hi sarva-vid sarva-kartA | KapSs_3.56 |
   (prakṛtilayasyāpi ātyantikamuktirūpatvābhāvaḥ)	(prakRti-layasya-api Atyantika-mukti-rUpa-tva-aBAvaH)
   īdṛśeśvarasiddhiḥ siddhā | KapSs_3.57 |	IdRSa-ISvara-sidDiH sidDAH | KapSs_3.57 |
   (prakṛtilīnasyaiva janyeśvaratvaṃ)	(prakRti-lInasya-eva janyeSvara-tvaM)
   pradhānasṛṣṭiḥ parārthaṃ svato 'pyabhoktṛtvāt | KapSs_3.58 |	praDAna-sRzwiH para-arTam svatas api-aBoktR-tvAt | KapSs_3.58 |
   (pradhānakartṛkasṛṣṭeḥ upapāttiḥ prayojanaṃ ca)	(praDAna-kartRka-sRzweH upapAttiH prayojanam ca)
   uṣṭrakuṅkumavahanavat | KapSs_3.59 |	uzwra-kuFkuma-vahana-vat | KapSs_3.59 |
   (pradhānakartṛkasṛṣṭeḥ upapāttiḥ prayojanaṃ ca)	(praDAna-kartRka-sRzweH upapAttiH prayojanam ca)
   acetanatve 'pi kṣīravacceṣṭitaṃ pradhānasya | KapSs_3.60 |	acetana-tve api kzIra-vat-cezwitam praDAnasya | KapSH-_3.60 |
   (pradhānakartṛkasṛṣṭeḥ upapāttiḥ prayojanañca)	(praDAna-kartRka-sRzweH upapAttiH prayojanaQca)
   karmavat dṛṣṭervā kālādeḥ | KapSs_3.61 |	karma-vat dRzweH-vA kAla-AdeH | KapSs_3.61 |
   (pradhānakartṛkasṛṣṭeḥ upapāttiḥ prayojanañca)	(praDAna-kartRka-sRzweH upapAttiH prayojanaQca)
   svabhāvācceṣṭitamanabhisandhānāt bhṛtyavat | KapSs_3.62 |	svaBAvAt-cezwitam-anaBisanDAnAt BRtya-vat | KapSs_3.62 |
   (pradhānakartṛkasṛṣṭeḥ upapāttiḥ prayojanañca)	(praDAna-kartRka-sRzweH upapAttiH prayojanaQca)
   karmākṛṣṭervānāditaḥ | KapSs_3.63 |	karma-AkRzweH-vA-nAditaH | KapSs_3.63 |
   (pradhānakartṛkasṛṣṭeḥ upapāttiḥ prayojanañca)	(praDAna-kartRka-sRzweH upapAttiH prayojanaQca)
   viviktabodhāt sṛṣṭinivṛttiḥ pradhānasya sūdavat pāke | KapSs_3.64 |	vivikta-boDAt sRzwi-nivRttiH praDAnasya sUda-vat pAke | KapSs_3.64 |
   (sṛṣṭinivṛttihetuḥ)	(sRzwi-nivRtti-hetuH)
   itaraitaravattaddoṣāt | KapSs_3.65 |	itarEtara-vat-tad-dozAt | KapSs_3.65 |
   (sṛṣṭinivṛttihetuḥ)	(sRzwi-nivRtti-hetuH)
   dvayorekatasya vaudāsīnyamapavargaḥ | KapSs_3.66 |	dvayoH-ekatasya vOdAsInyam-apavargaH | KapSs_3.66 |
   (sṛṣṭinivṛttihetuḥ)	(sRzwi-nivRtti-hetuH)
   anyasṛṣṭyuparāge 'pi na virajya (ma) te prabuddharajjutatvasyevoragaḥ |	anya-sRzwi-uparAge api na virajya (ma) te prabudDa-rajju-tatvasya-iva-uragaH |
   KapSs_3.67 |	KapSs_3.67 |
   (sṛṣṭiviśeṣanivṛtteḥ sṛṣṭyantarapravṛttyupaghātakatvābhāvaḥ)	(sRzwi-viSeza-nivRtteH sRzwi-antara-pravRtti-upaGAtaka-tva-aBAvaH)
   karmanimittayogācca | KapSs_3.68 |	karma-nimitta-yogAt-ca | KapSs_3.68 |
   (sṛṣṭiviśeṣanivṛtteḥ sṛṣṭyantarapravṛttyupaghātakatvībhāvaḥ)	(sRzwi-viSeza-nivRtteH sRzwi-antara-pravRtti-upaGAtaka-tvIBAvaH)
   nairapekṣye 'pi prakṛtyupakāre 'viveko nimittaṃ | KapSs_3.69 |	nErapekzye api prakRti-upakAre avivekaH nimittam | KapSs_3.69 |
   (prakṛtipravṛttinivṛttyoḥ niyāmakopapādanaṃ)	(prakRti-pravRtti-nivRttyoH niyAma-kopa-pAdanaM)
   nartakīvat pravṛttasyāpi nivṛttiḥ cāritārthyāt | KapSs_3.70 |	nartakI-vat pravRttasya-api nivRttiH cAritArTyAt | KapSH-_3.70 |
   (prakṛtipravṛttinivṛttyoḥ niyāmakopapādanaṃ)	(prakRti-pravRtti-nivRttyoH niyAma-kopa-pAdanaM)
   doṣabodhe 'pi nopasarpaṇaṃ pradhānasya kulavadhūvat | KapSs_3.71 |	doza-boDe api na-upasarpaNam praDAnasya kula-vaDU-vat | KapSs_3.71 |
   (prakṛtipravṛttinivṛttyoḥ niyāmakopapādanaṃ)	(prakRti-pravRtti-nivRttyoH niyAma-kopa-pAdanaM)
   naikāntato bandhamokṣau puruṣasya avivekādṛte | KapSs_3.72 |	na-ekAntataH banDa-mokzO puruzasya avivekAt-Rte | KapSs_3.72 |
   (bandhamokṣayoḥ ātmagatatvābhāvaḥ)	(banDa-mokzayoH Atma-gata-tva-aBAvaH)
   prakṛterāñjasyāt sasaṅgatvāt paśuvat | KapSs_3.73 |	prakRteH-AQjasyAt sa-saFga-tvAt paSu-vat | KapSs_3.73 |
   (bandhamokṣayoḥ ātmagatatvābhāvaḥ)	(banDa-mokzayoH Atma-gata-tva-aBAvaH)
   rūpaiḥ saptabhiḥ ātmānaṃ badhnāti pradhānaṃ kośakāravadvimocayetyekarūpeṇa	rUpEH saptaBiH AtmAnam baDnAti praDAnam koSakAra-vat-vimocaya-iti-eka-rUpeNa
   | KapSs_3.74 |	| KapSs_3.74 |
   (bandhamokṣanimittāni)	(banDa-mokza-nimittAni)
   nimittatvamavivekasya na dṛṣṭahāniḥ | KapSs_3.75 |	nimitta-tvam-avivekasya na dRzwa-hAniH | KapSs_3.75 |
   (bandhamokṣanimittāni)	(banDa-mokza-nimittAni)
   tatvābhyāsānneti netīti tyāgāt vivekasiddhiḥ | KapSs_3.76 |	tatvA-aByAsAt-na-iti na-iti-iti tyAgAt viveka-sidDiH | KapSs_3.76 |
   (tattvābhyāsasyaiva vivekahetutvaṃ)	(tattva-aByAsasya-eva viveka-hetu-tvaM)
   adhikāriprabhedānna niyamaḥ | KapSs_3.77 |	aDikAri-praBedAt-na niyamaH | KapSs_3.77 |
   (tattvābhyāsasyaiva vivekahetutvaṃ)	(tattva-aByAsasya-eva viveka-hetu-tvaM)
   bādhitānuvṛttyā madhyavivekato 'pyupabhogaḥ | KapSs_3.78 |	bADita-anuvRttyA maDya-vivekataH api-upaBogaH | KapSs_3.78 |
   (vivekaviśeṣasyaiva nistāropāyatvaṃ)	(viveka-viSezasya-eva nistAra-upAya-tvaM)
   jīvanmuktaśca | KapSs_3.79 |	jIvanmuktaH-ca | KapSs_3.79 |
   (vivekaviśeṣasyaiva nistāropāyatvaṃ)	(viveka-viSezasya-eva nistAra-upAya-tvaM)
   upadeśyopadeṣṭṛtvāttatsiddhiḥ | KapSs_3.80 |	upadeSya-upadezwR-tvAt-tad-sidDiH | KapSs_3.80 |
   (jīvanmuktisādhanaṃ)	(jIvanmukti-sADanaM)
   śrutiśca | KapSs_3.81 |	SrutiH-ca | KapSs_3.81 |
   (jīvanmuktisādhanaṃ)	(jIvanmukti-sADanaM)
   itarathā andhaparamparā | KapSs_3.82 |	itaraTAH anDa-paramparA | KapSs_3.82 |
   (jīvanmuktisādhanaṃ)	(jIvanmukti-sADanaM)
   cakrabhramaṇavat dhṛtaśarīraḥ | KapSs_3.83 |	cakra-BramaNa-vat DRta-SarIraH | KapSs_3.83 |
   (jīvanmuktisādhanaṃ)	(jIvanmukti-sADanaM)
   saṃskāraleśataḥ tatsiddhiḥ | KapSs_3.84 |	saMskAra-leSataH tad-sidDiH | KapSs_3.84 |
   (jīvanmuktisādhanaṃ)	(jIvanmukti-sADanaM)
   vivekānniḥ śeṣaduḥkhanivṛttau kṛtakṛtyo netarānnetarāt | KapSs_3.85 |	vivekAt-niH Seza-duHKa-nivRttO kRtakRtyaH na-itarAt-na-itarAt | KapSs_3.85 |
   (puruṣe vivekasyaiva kṛtakṛtyatāhetutvaṃ)	(puruze vivekasya-eva kRtakRtya-tA-hetu-tvaM)
   ākhyāyikā	AKyAyikA
   rājaputravat tatvopadeśāt | KapSs_4.1 |	rAja-putra-vat tatva-upadeSAt | KapSs_4.1 |
   (tattvopadeśasya vivekahetutvaṃ)	(tattva-upadeSasya viveka-hetu-tvaM)
   piśācavadanyārthopadeśe 'pi | KapSs_4.2 |	piSAca-vat-anyA-arTa-upadeSe api | KapSs_4.2 |
   (tattvopadeśasya vivekahetutvaṃ)	(tattva-upadeSasya viveka-hetu-tvaM)
   āvṛttirasakṛdupadeśāt | KapSs_4.3 |	AvRttiH-asakRt-upadeSAt | KapSs_4.3 |
   (tattvopadeśasya vivekahetutvaṃ)	(tattva-upadeSasya viveka-hetu-tvaM)
   pitāputravadubhayordṛṣṭatvāt | KapSs_4.4 |	pitAputra-vat-uBayoH-dRzwa-tvAt | KapSs_4.4 |
   (kvacidanumānāt dehasya bhaṅguratājñānopapattiḥ)	(kvacid-anumAnAt dehasya BaFgu-ra-tA-jQAna-upapattiH)
   śyenavat sukhaduḥkhī tyāga viyogābhyāṃ | KapSs_4.5 |	Syena-vat suKa-duHKI tyAga viyogAByAm | KapSs_4.5 |
   (jñānaniṣpattyaṅga manodharmoḥ)	(jQAna-nizpatti-aFga manaH-DarmoH)
   ahinirlvayinīvat | KapSs_4.6 |	ahi-nirlvayinI-vat | KapSs_4.6 |
   (jñānaniṣpattyaṅga manodhamoḥ)	(jQAna-nizpatti-aFga manaH-DamoH)
   chinnahastavadvā | KapSs_4.7 |	Cinna-hasta-vat-vA | KapSs_4.7 |
   (jñānaniṣpattyaṅga manodharmoḥ)	(jQAna-nizpatti-aFga manaH-DarmoH)
   asādhanānucintanaṃ bandhāya bharatavat | KapSs_4.8 |	asADana-anucintanam banDAya Barata-vat | KapSs_4.8 |
   (jñānaniṣpattyaṅga manodharmoḥ)	(jQAna-nizpatti-aFga manaH-DarmoH)
   bahubhiryoge virodhaḥ rāgādibhiḥ kumārī kaṅkaṇa (śaṅkha) vat | KapSs_4.9 |	bahuBiH-yoge viroDaH rAga-AdiBiH kumArI kaFkaNaH (SaFKa) vat | KapSs_4.9 |
   (jñānaniṣpattyaṅga manodharmoḥ)	(jQAna-nizpatti-aFga manaH-DarmoH)
   dvābhyāmapi tathaiva | KapSs_4.10 |	dvAByAm-api taTA-eva | KapSs_4.10 |
   (jñānaniṣpattyaṅga manodharmoḥ)	(jQAna-nizpatti-aFga manaH-DarmoH)
   nirāśaḥ sukhī piṅgalāvat | KapSs_4.11 |	nirASaH suKI piFgalA-vat | KapSs_4.11 |
   (jñānaniṣpattyaṅga manodharmoḥ)	(jQAna-nizpatti-aFga manaH-DarmoH)
   anārambhe 'pi paragṛhe sukhī sarpavat | KapSs_4.12 |	anAramBe api para-gRhe suKI sarpa-vat | KapSs_4.12 |
   (jñānaniṣpattyaṅga manodharmoḥ)	(jQAna-nizpatti-aFga manaH-DarmoH)
   bahuśāstra gurūpāsane 'pi sārādānaṃ ṣaṭpadavat | KapSs_4.13 |	bahu-SAstra guru-upAsane api sAra-AdAnam zawpada-vat | KapSs_4.13 |
   (sāragrahaṇāvaśyakatā)	(sAra-grahaNO=-aSyaka-tA)
   iṣukāravannaikacittasya samādhihāniḥ | KapSs_4.14 |	izu-kAra-vat-na-eka-cittasya samADi-hAniH | KapSs_4.14 |
   (ekāgratāvaśyakatā)	(ekAgra-tAvaSyaka-tA)
   kṛtaniyamalaṅghanādānarthakyaṃ lokavat | KapSs_4.15 |	kRta-niyama-laFGanAt-AnarTakyam loka-vat | KapSs_4.15 |
   (śāstravihitaniyamānullaṅghanāvaśyakatā)	(SAstra-vihita-niyamAnullaFGana-AvaSyaka-tA)
   tadvismaraṇe 'pi bhekīvat | KapSs_4.16 |	tad-vismaraNe api BekIvat | KapSs_4.16 |
   (śāstravihitaniyamasmaraṇāvaśyakatā)	(SAstra-vihita-niyama-smaraNa-AvaSyaka-tA)
   nopadeśaśravaṇe 'pi kṛtakṛtyatā parāmarśādṛte virocanavat | KapSs_4.17 |	na-upadeSa-SravaNe api kRtakRtya-tA parAmarSAt-Rte virocana-vat | KapSs_4.17 |
   (śrutārthamananāvaśyakatā)	(Sruta-arTam-ananA-vaSyaka-tA)
   dṛṣṭastayorindrasya | KapSs_4.18 |	dRzwaH-tayoH-indrasya | KapSH-_4.18 |
   (śrutārthamananāvaśyakatā)	(Sruta-arTam-ananA-vaSyaka-tA)
   praṇatibrahmacaryopasarpaṇāni kṛtvā siddhiḥ bahukālāt tadvat | KapSs_4.19	praNati-brahmacarya-upasarpaNAni kRtvA sidDiH bahu-kAlAt tadvat | KapSs_4.19
   (gurusevā)	(guru-sevA)
   na kālaniyamo vāmadevavat | KapSs_4.20 |	na kAla-niyamaH vAmadeva-vat | KapSs_4.20 |
   (jñānaniṣpatteḥ kāladeśādiniyamābhāvaḥ)	(jQAna-nizpatteH kAla-deSa-Adi-niyama-aBAvaH)
   adhyastarūpopāsanāt pāramparyeṇa yajñopāsakānāmiva | KapSs_4.21 |	aDyasta-rUpa-upAsanAt pAramparyeNa yajQa-upAsakAnAm-iva | KapSs_4.21 |
   (jñānaniṣpatteḥ kāladeśādiniyamābhāvaḥ)	(jQAna-nizpatteH kAla-deSa-Adi-niyama-aBAvaH)
