   LiP, 1, 1	Li P, 1, 1
   sāyudhā dvādaśaivaite rākṣasāśca yathākramam /	sa AyuDAH dvAdaSa eva ete rAkzasAH ca yaTAkramam /
   dhātāryamā pulastyaś ca pulahaś ca prajāpatiḥ // LiP_1,55.45 //	DAtA aryamA pulastyaH ca pulahaH ca prajApatiH // LiS _1,55.45 //
   urago vāsukiścaiva kaṅkaṇīkaś ca tāvubhau /	uragaH vAsukiH ca eva kaFkaNIkaH ca tO= uBO /
   tumburur nāradaścaiva gandharvau gāyatāṃ varau // LiP_1,55.46 //	tumburuH nAradaH ca eva ganDarvO gAyatAm varO // LiS _1,55.46 //
   kṛtasthalāpsarāścaiva tathā vai puñjikasthalā /	kRta sTalA apsarAH ca eva taTA vE puQjikasTalA /
   grāmaṇī rathakṛccaiva rathaujāścaiva tāvubhau // LiP_1,55.47 //	grAmaNI raTakRt ca eva raTOjAH ca eva tO= uBO // LiS _1,55.47 //
   rakṣohetiḥ prahetiś ca yātudhānāvudāhṛtau /	rakzohetiH prahetiH ca yAtuDAnO= udAhRtO /
   madhumādhavayoreṣa gaṇo vasati bhāskare // LiP_1,55.48 //	maDu mADavayoH eza gaNaH vasati BAskare // LiS _1,55.48 //
   vasanti grīṣmakau māsau mitraś ca varuṇaś ca ha /	vasanti grIzmakO mAsO mitraH ca varuNaH ca ha /
   ṛṣiratrirvasiṣṭhaś ca takṣako nāga eva ca // LiP_1,55.49 //	RziH atriH vasizWaH ca takzakaH nAgaH eva ca // LiS _1,55.49 //
   menakā sahajanyā ca gandharvau ca hāhāhūhūḥ /	menakA sahajanyA ca ganDarvO ca hAhA hUhUH /
   subāhunāmā grāmaṇyau rathacitraś ca tāvubhau // LiP_1,55.50 //	subAhu nAmA grAmaNyO raTacitraH ca tO= uBO // LiS _1,55.50 //
   pauruṣeyo vadhaścaiva yātudhānāvudāhṛtau /	pOruzeyaH vaDaH ca eva yAtuDAnO= udAhRtO /
   ete vasanti vai sūrye māsayoḥ śuciśukrayoḥ // LiP_1,55.51 //	ete vasanti vE sUrye mAsayoH Suci SukrayoH // LiS _1,55.51 //
   tataḥ sūrye punaścānyā nivasantīha devatāḥ /	tatas sUrye punar ca anyAH nivasanti iha devatAH /
   indraścaiva vivasvāṃś ca aṅgirā bhṛgureva ca // LiP_1,55.52 //	indraH ca eva vivasvAn ca aFgirAH BRguH eva ca // LiS _1,55.52 //
   elāpatras tathā sarpaḥ śaṅkhapālaś ca tāvubhau /	elApatraH taTA sarpaH SaFKapAlaH ca tO= uBO /
   viśvāvasūgrasenau ca varuṇaś ca rathasvanaḥ // LiP_1,55.53 //	viSvAvasu ugrasenO ca varuNaH ca raTa svanaH // LiS _1,55.53 //
   pramlocā caiva vikhyātā anumlocā ca te ubhe /	pramlocA ca eva viKyAtA anumlocA ca te uBe /
   yātudhānās tathā sarpo vyāghraścaiva tu tāvubhau // LiP_1,55.54 //	yAtuDAnAH taTA sarpaH vyAGraH ca eva tu tO= uBO // LiS _1,55.54 //
   nabhonabhasyayoreṣa gaṇo vasati bhāskare /	naBaH naBasyayoH eza gaNaH vasati BAskare /
   parjanyaścaiva pūṣā ca bharadvājo 'tha gautamaḥ // LiP_1,55.55 //	parjanyaH ca eva pUzA ca BaradvAjaH aTa gOtamaH // LiS _1,55.55 //
   dhanañjaya irāvāṃś ca suruciḥ saparāvasuḥ /	DanaQjayaH irAvAn ca suruciH sa parAvasuH /
   ghṛtācī cāpsaraḥśreṣṭhā viśvācī cātiśobhanā // LiP_1,55.56 //	GRtAcI ca apsaraH SrezWA viSvAcI ca ati SoBanA // LiS _1,55.56 //
   senajicca suṣeṇaś ca senānīr grāmaṇīś ca tau /	senajit ca suzeNaH ca senAnIH grAmaNIH ca tO /
   āpo vātaś ca tāvetau yātudhānāvubhau smṛtau // LiP_1,55.57 //	ApaH vAtaH ca tO= etO yAtuDAnO= uBO smRtO // LiS _1,55.57 //
   vasantyete tu vai sūrye māsa ūrja iṣe ca ha /	vasanti ete tu vE sUrye mAse Urje ize ca ha /
   haimantikau tu dvau māsau vasanti ca divākare // LiP_1,55.58 //	hEmantikO tu dvO mAsO vasanti ca divAkare // LiS _1,55.58 //
   aṃśurbhagaś ca dvāvetau kaśyapaś ca kratuḥ saha /	aMSuH BagaH ca dvO= etO kaSyapaH ca kratuH saha /
   bhujaṅgaś ca mahāpadmaḥ sarpaḥ karkoṭakas tathā // LiP_1,55.59 //	BujaFgaH ca mahApadmaH sarpaH karkowakaH taTA // LiS _1,55.59 //
   citrasenaś ca gandharva ūrṇāyuścaiva tāvubhau /	citrasenaH ca ganDarvaH UrNAyuH ca eva tO= uBO /
   urvaśī pūrvacittiś ca tathaivāpsarasāvubhe // LiP_1,55.60 //	urvaSI pUrvacittiH ca taTA eva apsarasO= uBe // LiS _1,55.60 //
   tārkṣyaścāriṣṭanemiś ca senānīr grāmaṇīś ca tau /	tArkzyaH ca arizwanemiH ca senAnIH grAmaNIH ca tO /
   vidyuddivākaraścobhau yātudhānāvudāhṛtau // LiP_1,55.61 //	vidyut divAkaraH ca uBO yAtuDAnO= udAhRtO // LiS _1,55.61 //
   sahe caiva sahasye ca vasantyete divākare /	sahe ca eva sahasye ca vasanti ete divAkare /
   tataḥ śaiśirayoścāpi māsayor nivasanti vai // LiP_1,55.62 //	tatas SESirayoH ca api mAsayoH nivasanti vE // LiS _1,55.62 //
   tvaṣṭā viṣṇurjamadagnir viśvāmitrastathaiva ca /	tvazwA vizNuH jamadagniH viSvAmitraH taTA eva ca /
   kādraveyau tathā nāgau kambalāśvatarāvubhau // LiP_1,55.63 //	kAdraveyO taTA nAgO kambala aSvatarO= uBO // LiS _1,55.63 //
   dhṛtarāṣṭraḥ sagandharvaḥ sūryavarcāstathaiva ca /	DRtarAzwraH sa ganDarvaH sUryavarcAH taTA eva ca /
   tilottamāpsarāścaiva devī raṃbhā manoharā // LiP_1,55.64 //	tilottamA apsarAH ca eva devI raMBA manoharAH // LiS _1,55.64 //
   rathajitsatyajiccaiva grāmaṇyau lokaviśrutau /	raTajit satyajit ca eva grAmaNyO loka viSrutO /
   brahmopetas tathā rakṣo yajñopetaś ca yaḥ smṛtaḥ // LiP_1,55.65 //	brahmopetaH taTA rakzaH yajQopetaH ca yaH smRtaH // LiS _1,55.65 //
   ete devā vasantyarke dvau dvau māsau krameṇa tu /	ete devAH vasanti arke dvO dvO mAsO krameNa tu /
   sthānābhimānino hyete gaṇā dvādaśa saptakāḥ // LiP_1,55.66 //	sTAna aBimAninaH hi ete gaNAH dvAdaSa saptakAH // LiS _1,55.66 //
   sūryamāpyāyayantyete tejasā teja uttamam /	sUryam ApyAyayanti ete tejasA tejaH uttamam /
   grathitaiḥ svairvacobhistu stuvanti munayo ravim // LiP_1,55.67 //	graTitEH svEH vacoBiH tu stuvanti munayaH ravim // LiS _1,55.67 //
   gandharvāpsarasaścaiva nṛtyageyairupāsate /	ganDarva apsarasaH ca eva nRtya geyEH upAsate /
   grāmaṇīyakṣabhūtāni kurvate 'bhīṣusaṃgraham // LiP_1,55.68 //	grAmaNIyakza BUtAni kurvate aBIzu saMgraham // LiS _1,55.68 //
   sarpā vahanti vai sūryaṃ yātudhānā anuyānti vai /	sarpAH vahanti vE sUryam yAtuDAnAH anuyAnti vE /
   vālakhilyā nayantyastaṃ parivāryodayādravim // LiP_1,55.69 //	vAlaKilyAH nayanti aH tam parivArya udayAt ravim // LiS _1,55.69 //
   eteṣāmeva devānāṃ yathā tejo yathā tapaḥ /	etezAm eva devAnAm yaTA tejaH yaTA tapaH /
   yathāyogaṃ yathāmantraṃ yathādharmaṃ yathābalam // LiP_1,55.70 //	yaTAyogam yaTAmantram yaTADarmam yaTAbalam // LiS _1,55.70 //
   tathā tapatyasau sūryas teṣāmiddhastu tejasā /	taTA tapati asO sUryaH tezAm idDaH tu tejasA /
   ityete vai vasantīha dvau dvau māsau divākare // LiP_1,55.71 //	iti ete vE vasanti iha dvO dvO mAsO divAkare // LiS _1,55.71 //
   ṛṣayo devagandharva  pannagāpsarasāṃ gaṇāḥ /	RzayaH deva ganDarva pannaga apsarasAm gaNAH /
   grāmaṇyaś ca tathā yakṣā yātudhānāś ca mukhyataḥ // LiP_1,55.72 //	grAmaNyaH ca taTA yakzAH yAtuDAnAH ca muKyatas // LiS _1,55.72 //
   ete tapanti varṣanti bhānti vānti sṛjanti ca /	ete tapanti varzanti BAnti vAnti sRjanti ca /
   bhūtānāmaśubhaṃ karma vyapohantīha kīrtitāḥ // LiP_1,55.73 //	BUtAnAm aSuBam karma vyapohanti iha kIrtitAH // LiS _1,55.73 //
   mānavānāṃ śubhaṃ hyete haranti ca durātmanām /	mAnavAnAm SuBam hi ete haranti ca durAtmanAm /
   duritaṃ supracārāṇāṃ vyapohanti kvacit kvacit // LiP_1,55.74 //	duritam su pracArANAm vyapohanti kvacid kvacid // LiS _1,55.74 //
   vimāne ca sthitā divye kāmage vātaraṃhasi /	vimAne ca sTitAH divye kAma ge vAta raMhasi /
   ete sahaiva sūryeṇa bhramanti divasānugāḥ // LiP_1,55.75 //	ete saha eva sUryeNa Bramanti divasa anugAH // LiS _1,55.75 //
   varṣantaś ca tapantaś ca hlādayantaś ca vai dvijāḥ /	varzantaH ca tapantaH ca hlAdayantaH ca vE dvijAH /
   gopāyantīha bhūtāni sarvāṇi dyāmanukṣayāt // LiP_1,55.76 //	gopAyanti iha BUtAni sarvANi dyAm anukzayAt // LiS _1,55.76 //
   sthānābhimāninām etat sthānaṃ manvantareṣu vai /	sTAna aBimAninAm etat sTAnam manvantarezu vE /
   atītānāgatānāṃ vai vartante sāṃprataṃ ca ye // LiP_1,55.77 //	atIta anAgatAnAm vE vartante sAMpratam ca ye // LiS _1,55.77 //
   ete vasanti vai sūrye saptakāste caturdaśa /	ete vasanti vE sUrye saptakAH te caturdaSa /
   caturdaśasu sarveṣu gaṇā manvantareṣviha // LiP_1,55.78 //	caturdaSasu sarvezu gaNAH manvantarezu iha // LiS _1,55.78 //
   saṃkṣepādvistarāccaiva yathāvṛttaṃ yathāśrutam /	saMkzepAt vistarAt ca eva yaTAvRttam yaTASrutam /
   kathitaṃ muniśārdūlā devadevasya dhīmataḥ // LiP_1,55.79 //	kaTitam muni SArdUlAH devadevasya DImataH // LiS _1,55.79 //
   ete devā vasantyarke dvau dvau māsau krameṇa tu /	ete devAH vasanti arke dvO dvO mAsO krameNa tu /
   sthānābhimānino hyete gaṇā dvādaśa saptakāḥ // LiP_1,55.80 //	sTAna aBimAninaH hi ete gaNAH dvAdaSa saptakAH // LiS _1,55.80 //
   ityeṣa ekacakreṇa sūryastūrṇaṃ rathena tu /	iti eza eka cakreNa sUryaH tUrNam raTena tu /
   haritairakṣarairaśvaiḥ sarpate 'sau divākaraḥ // LiP_1,55.81 //	haritEH akzarEH aSvEH sarpate asO divAkaraH // LiS _1,55.81 //
   ahorātraṃ rathenāsāv ekacakreṇa tu bhraman /	ahorAtram raTena asO eka cakreNa tu Braman /
   saptadvīpasamudrāṅgāṃ saptabhiḥ sarpate divi // LiP_1,55.82 //	sapta dvIpa samudra aFgAm saptaBiH sarpate divi // LiS _1,55.82 //
   iti śrīliṅgamahāpurāṇe pūrvabhāge sūryarathanirṇayo nāma pañcapañcāśattamo	iti SrI liFga mahApurANe pUrva BAge sUryaraTanirNayaH nAma paQca paQcASat tamaH 
   'dhyāyaḥ	aDyAyaH
   LiP, 1, 56	Li P, 1, 56
   sūta uvāca	sUtaH uvAca
   vīthyāśrayāṇi carati nakṣatrāṇi niśākaraḥ /	vITi ASrayANi carati nakzatrANi niSAkaraH /
   tricakrobhayato 'śvaś ca vijñeyastasya vai rathaḥ // LiP_1,56.1 //	tri cakra uBayatas aSvaH ca vijQeyaH tasya vE raTaH // LiS _1,56.1 //
   śatāraiś ca tribhiścakrair yuktaḥ śuklairhayottamaiḥ /	SatArEH ca triBiH cakrEH yuktaH SuklEH haya uttamEH /
   daśabhistvakṛśair divyair asaṃgais tair manojavaiḥ // LiP_1,56.2 //	daSaBiH tu akRSEH divyEH asaMgEH tEH manojavEH // LiS _1,56.2 //
   rathenānena devaiś ca pitṛbhiścaiva gacchati /	raTena anena devEH ca pitRBiH ca eva gacCati /
   somo hyambumayair gobhiḥ śuklaiḥ śuklagabhastimān // LiP_1,56.3 //	somaH hi ambu mayEH goBiH SuklEH Sukla gaBastimAn // LiS _1,56.3 //
   kramate śuklapakṣādau bhāskarātparamāsthitaḥ /	kramate Sukla pakza AdO BAskarAt param AsTitaH /
   āpūryate parasyāntaḥ satataṃ divasakramāt // LiP_1,56.4 //	ApUryate parasya antar satatam divasa kramAt // LiS _1,56.4 //
   devaiḥ pītaṃ kṣaye somam āpyāyayati nityaśaḥ /	devEH pItam kzaye somam ApyAyayati nityaSas /
   pītaṃ pañcadaśāhaṃ tu raśminaikena bhāskaraḥ // LiP_1,56.5 //	pItam paQcadaSa aham tu raSminA ekena BAskaraH // LiS _1,56.5 //
   āpūrayan suṣumnena bhāgaṃ bhāgamanukramāt /	ApUrayan suzumnena BAgam BAgam anukramAt /
   ityeṣā sūryavīryeṇa candrasyāpyāyitā tanuḥ // LiP_1,56.6 //	iti ezA sUrya vIryeNa candrasya ApyAyitA tanuH // LiS _1,56.6 //
   sa paurṇamāsyāṃ dṛśyeta śuklaḥ sampūrṇamaṇḍalaḥ /	sa pOrNamAsyAm dRSyeta SuklaH sampUrNa maNxalaH /
   evamāpyāyitaṃ somaṃ śuklapakṣe dinakramāt // LiP_1,56.7 //	evam ApyAyitam somam Sukla pakze dina kramAt // LiS _1,56.7 //
   tato dvitīyāprabhṛti bahulasya caturdaśīm /	tatas dvitIyA praBRti bahulasya caturdaSIm /
   pibantyambumayaṃ devā madhu saumyaṃ sudhāmṛtam // LiP_1,56.8 //	pibanti ambu mayam devAH maDu sOmyam suDA amRtam // LiS _1,56.8 //
   saṃbhṛtaṃ tvardhamāsena hy amṛtaṃ sūryatejasā /	saMBRtam tu arDa mAsena hi amRtam sUrya tejasA /
   pānārthamamṛtaṃ somaṃ paurṇamāsyāmupāsate // LiP_1,56.9 //	pAna arTam amRtam somam pOrNamAsyAm upAsate // LiS _1,56.9 //
   ekarātriṃ surāḥ sarve pitṛbhistvṛṣibhiḥ saha /	eka rAtrim surAH sarve pitRBiH tu RziBiH saha /
   somasya kṛṣṇapakṣādau bhāskarābhimukhasya ca // LiP_1,56.10 //	somasya kRzNa pakza AdO BAskara aBimuKasya ca // LiS _1,56.10 //
   prakṣīyante parasyāntaḥ pīyamānāḥ kalāḥ kramāt /	prakzIyante parasya antar pIyamAnAH kalAH kramAt /
   trayastriṃśacchatāścaiva trayastriṃśattathaiva ca // LiP_1,56.11 //	trayastriMSat SatAH ca eva trayastriMSat taTA eva ca // LiS _1,56.11 //
   trayastriṃśatsahasrāṇi devāḥ somaṃ pibanti vai /	trayastriMSat sahasrANi devAH somam pibanti vE /
   evaṃ dinakramātpīte vibudhaistu niśākare // LiP_1,56.12 //	evam dina kramAt pIte vibuDEH tu niSAkare // LiS _1,56.12 //
   pītvārdhamāsaṃ gacchanti amāvāsyāṃ surottamāḥ /	pItvA arDa mAsam gacCanti amAvAsyAm sura uttamAH /
   pitaraścopatiṣṭhanti amāvāsyāṃ niśākaram // LiP_1,56.13 //	pitaraH ca upatizWanti amAvAsyAm niSAkaram // LiS _1,56.13 //
   tataḥ pañcadaśe bhāge kiṃcicchiṣṭe kalātmake /	tatas paQcadaSe BAge kiMcid Sizwe kalA Atmake /
   aparāhṇe pitṛgaṇā jaghanyaṃ paryupāsate // LiP_1,56.14 //	aparAhNe pitR gaNAH jaGanyam paryupAsate // LiS _1,56.14 //
   pibanti dvikalaṃ kālaṃ śiṣṭā tasya kalā tu yā /	pibanti dvi kalam kAlam SizwA tasya kalA tu yA /
   nisṛtaṃ tadamāvāsyāṃ gabhastibhyaḥ svadhāmṛtam // LiP_1,56.15 //	nisRtam tat amAvAsyAm gaBastiByaH svaDA amRtam // LiS _1,56.15 //
   māsatṛptimavāpyāgryāṃ pītvā gacchanti te 'mṛtam /	mAsa tRptim avApya agryAm pItvA gacCanti te amRtam /
   pitṛbhiḥ pīyamānasya pañcadaśyāṃ kalā tu yā // LiP_1,56.16 //	pitRBiH pIyamAnasya paQcadaSyAm kalA tu yA // LiS _1,56.16 //
   yāvattu kṣīyate tasya bhāgaḥ pañcadaśastu saḥ /	yAvat tu kzIyate tasya BAgaH paQcadaSaH tu saH /
   amāvāsyāṃ tatastasyā antarā pūryate punaḥ // LiP_1,56.17 //	amAvAsyAm tatas tasyAH antarA pUryate punar // LiS _1,56.17 //
   vṛddhikṣayau vai pakṣādau ṣoḍaśyāṃ śaśinaḥ smṛtau /	vRdDi kzayO vE pakza AdO zoxaSyAm SaSinaH smRtO /
   evaṃ sūryanimittaiṣā pakṣavṛddhirniśākare // LiP_1,56.18 //	evam sUrya nimittA ezA pakza vRdDiH niSAkare // LiS _1,56.18 //
   iti śrīliṅgamahāpurāṇe pūrvabhāge somavarṇanaṃ nāma ṣaṭpañcāśattamo	iti SrI liFga mahApurANe pUrva BAge somavarNanam nAma zawpaQcASat tamaH 
   'dhyāyaḥ	aDyAyaH
   LiP, 1, 57	Li P, 1, 57
   sūta uvāca	sUtaH uvAca
   <chariots of other planets>	<SariotH of oTeH planet s>
   aṣṭabhiś ca hayairyuktaḥ somaputrasya vai rathaḥ /	azwaBiH ca hayEH yuktaH somaputrasya vE raTaH /
   vāritejomayaścātha piśaṅgaiścaiva śobhanaiḥ // LiP_1,57.1 //	vAri tejaH mayaH ca aTa piSaFgEH ca eva SoBanEH // LiS _1,57.1 //
   daśabhiścākṛśairaśvair nānāvarṇai rathaḥ smṛtaḥ /	daSaBiH ca akRSEH aSvEH nAnA varNEH raTaH smRtaH /
   śukrasya kṣmāmayairyukto daityācāryasya dhīmataḥ // LiP_1,57.2 //	Sukrasya kzmA AmayEH yuktaH dEtya AcAryasya DImataH // LiS _1,57.2 //
   aṣṭāśvaścātha bhaumasya ratho haimaḥ suśobhanaḥ /	azwa aSvaH ca aTa BOmasya raTaH hEmaH su SoBanaH /
   jīvasya haimaścāṣṭāśvo mandasyāyasanirmitaḥ // LiP_1,57.3 //	jIvasya hEmaH ca azwa aSvaH mandasya Ayasa nirmitaH // LiS _1,57.3 //
   ratha āpomayairaśvair daśabhistu sitetaraiḥ /	raTaH ApaH mayEH aSvEH daSaBiH tu sitetarEH /
   svarbhānorbhāskarāreś ca tathā cāṣṭahayaḥ smṛtaḥ // LiP_1,57.4 //	svarBAnoH BAskara areH ca taTA ca azwa hayaH smRtaH // LiS _1,57.4 //
   sarve dhruvanibaddhā vai grahāste vātaraśmibhiḥ /	sarve Druva nibadDAH vE grahAH te vAta raSmiBiH /
   etena bhrāmyamāṇāś ca yathāyogaṃ vrajanti vai // LiP_1,57.5 //	etena BrAmyamANAH ca yaTAyogam vrajanti vE // LiS _1,57.5 //
   yāvantyaścaiva tārāś ca tāvantaścaiva raśmayaḥ /	yAvantyaH ca eva tArAH ca tAvantaH ca eva raSmayaH /
   sarve dhruvanibaddhāś ca bhramanto bhrāmayanti tam // LiP_1,57.6 //	sarve Druva nibadDAH ca BramantaH BrAmayanti tam // LiS _1,57.6 //
   alātacakravadyānti vātacakreritāni tu /	alAta cakra vat yAnti vAta cakra IritAni tu /
   yasmādvahati jyotīṃṣi pravahastena sa smṛtaḥ // LiP_1,57.7 //	yasmAt vahati jyotIMzi pravahaH tena sa smRtaH // LiS _1,57.7 //
   nakṣatrasūryāś ca tathā grahatārāgaṇaiḥ saha /	nakzatra sUryAH ca taTA graha tArA gaNEH saha /
   unmukhābhimukhāḥ sarve cakrabhūtāḥ śritā divi // LiP_1,57.8 //	unmuKa aBimuKAH sarve cakra BUtAH SritAH divi // LiS _1,57.8 //
   dhruveṇādhiṣṭhitāścaiva dhruvameva pradakṣiṇam /	DruveNa aDizWitAH ca eva Druvam eva pradakziNam /
   prayānti ceśvaraṃ draṣṭuṃ meḍhībhūtaṃ dhruvaṃ divi // LiP_1,57.9 //	prayAnti ca ISvaram drazwum meXI BUtam Druvam divi // LiS _1,57.9 //
   navayojanasāhasro viṣkambhaḥ savituḥ smṛtaḥ /	nava yojana sAhasraH vizkamBaH savituH smRtaH /
   triguṇastasya vistāro maṇḍalasya pramāṇataḥ // LiP_1,57.10 //	triguNaH tasya vistAraH maNxalasya pramANataH // LiS _1,57.10 //
   dviguṇaḥ sūryavistārād vistāraḥ śaśinaḥ smṛtaḥ /	dviguNaH sUrya vistArAt vistAraH SaSinaH smRtaH /
   tulyastayostu svarbhānur bhūtvādhastātprasarpati // LiP_1,57.11 //	tulyaH tayoH tu svarBAnuH BUtvA aDastAt prasarpati // LiS _1,57.11 //
   uddhṛtya pṛthivīchāyāṃ nirmitāṃ maṇḍalākṛtim /	udDRtya pRTivI CAyAm nirmitAm maNxala AkRtim /
   svarbhānostu bṛhatsthānaṃ tṛtīyaṃ yat tamomayam // LiP_1,57.12 //	svarBAnoH tu bRhat sTAnam tRtIyam yat tamaH mayam // LiS _1,57.12 //
   candrasya ṣoḍaśo bhāgo bhārgavasya vidhīyate /	candrasya zoxaSaH BAgaH BArgavasya viDIyate /
   viṣkambhānmaṇḍalāccaiva yojanācca pramāṇataḥ // LiP_1,57.13 //	vizkamBAt maNxalAt ca eva yojanAt ca pramANataH // LiS _1,57.13 //
   bhārgavātpādahīnastu vijñeyo vai bṛhaspatiḥ /	BArgavAt pAda hInaH tu vijQeyaH vE bRhaspatiH /
   pādahīnau vakrasaurī tathāyāmapramāṇataḥ // LiP_1,57.14 //	pAda hInO vakra sOrI taTA AyAma pramANataH // LiS _1,57.14 //
   vistārānmaṇḍalāccaiva pādahīnastayorbudhaḥ /	vistArAt maNxalAt ca eva pAda hInaH tayoH buDaH /
   tārānakṣatrarūpāṇi vapuṣmantīha yāni vai // LiP_1,57.15 //	tArA nakzatra rUpANi vapuzmanti iha yAni vE // LiS _1,57.15 //
   budhena tāni tulyāni vistārānmaṇḍalādapi /	buDena tAni tulyAni vistArAt maNxalAt api /
   prāyaśaścandrayogīni vidyādṛkṣāṇi tattvavit // LiP_1,57.16 //	prAyaSas candra yogIni vidyAt RkzANi tattva vid // LiS _1,57.16 //
   tārānakṣatrarūpāṇi hīnāni tu parasparam /	tArA nakzatra rUpANi hInAni tu parasparam /
   śatāni pañca catvāri trīṇi dve caiva yojane // LiP_1,57.17 //	SatAni paQca catvAri trINi dve ca eva yojane // LiS _1,57.17 //
   sarvopari nikṛṣṭāni tārakāmaṇḍalāni tu /	sarva upari nikRzwAni tArakA maNxalAni tu /
   yojanadvayamātrāṇi tebhyo hrasvaṃ na vidyate // LiP_1,57.18 //	yojana dvaya mAtrANi teByaH hrasvam na vidyate // LiS _1,57.18 //
   upariṣṭāttrayasteṣāṃ grahā ye dūrasarpiṇaḥ /	uparizwAt trayaH tezAm grahAH ye dUra sarpiNaH /
   sauro 'ṅgirāś ca vakraś ca jñeyā mandavicāriṇaḥ // LiP_1,57.19 //	sOraH aFgirAH ca vakraH ca jQeyAH manda vicAriNaH // LiS _1,57.19 //
   tebhyo 'dhastāttu catvāraḥ punaranye mahāgrahāḥ /	teByaH aDastAt tu catvAraH punar anye mahA grahAH /
   sūryaḥ somo budhaścaiva bhārgavaścaiva śīghragāḥ // LiP_1,57.20 //	sUryaH somaH buDaH ca eva BArgavaH ca eva SIGra gAH // LiS _1,57.20 //
   tāvantyastārakāḥ koṭyo yāvantyṛkṣāṇi sarvaśaḥ /	tAvantyaH tArakAH kowyaH yAvanti RkzANi sarvaSas /
   dhruvāt tu niyamāccaiṣām ṛkṣamārge vyavasthitiḥ // LiP_1,57.21 //	DruvAt tu niyamAt ca ezAm Rkza mArge vyavasTitiH // LiS _1,57.21 //
   saptāśvasyaiva sūryasya nīcoccatvamanukramāt /	saptASvasya eva sUryasya nIca ucca tvam anukramAt /
   uttarāyaṇamārgastho yadā parvasu candramāḥ // LiP_1,57.22 //	uttarAyaNa mArga sTaH yadA parvasu candramAH // LiS _1,57.22 //
   uccatvāddṛśyate śīghraṃ nātivyaktairgabhastibhiḥ /	ucca tvAt dRSyate SIGram na ati vyaktEH gaBastiBiH /
   tadā dakṣiṇamārgastho nīcāṃ vīthimupāśritaḥ // LiP_1,57.23 //	tadA dakziNa mArga sTaH nIcAm vITim upASritaH // LiS _1,57.23 //
   bhūmirekhāvṛtaḥ sūryaḥ paurṇimāvāsyayos tadā /	BUmi reKA AvRtaH sUryaH pOrNimOvAsyayoH tadA /
   dadṛśe ca yathākālaṃ śīghramastamupaiti ca // LiP_1,57.24 //	dadRSe ca yaTAkAlam SIGram astam upEti ca // LiS _1,57.24 //
   tasmāduttaramārgastho hy amāvāsyāṃ niśākaraḥ /	tasmAt uttara mArga sTaH hi amAvAsyAm niSAkaraH /
   dadṛśe dakṣiṇe mārge niyamāddṛśyate na ca // LiP_1,57.25 //	dadRSe dakziNe mArge niyamAt dRSyate na ca // LiS _1,57.25 //
   jyotiṣāṃ gatiyogena sūryasya tamasā vṛtaḥ /	jyotizAm gati yogena sUryasya tamasA vRtaH /
   samānakālāstamayau viṣuvatsu samodayau // LiP_1,57.26 //	samAna kAla astamayO vizuvatsu sama udayO // LiS _1,57.26 //
   uttarāsu ca vīthīṣu vyantarāstamanodayau /	uttarAsu ca vITIzu vyantara astamana udayO /
   paurṇimāvāsyayor jñeyau jyotiścakrānuvartinau // LiP_1,57.27 //	pOrNima AvAsyayoH jQeyO jyotiScakra anuvartinO // LiS _1,57.27 //
   dakṣiṇāyanamārgastho yadā carati raśmivān /	dakziNAyana mArga sTaH yadA carati raSmivAn /
   grahāṇāṃ caiva sarveṣāṃ sūryo 'dhastāt prasarpati // LiP_1,57.28 //	grahANAm ca eva sarvezAm sUryaH aDastAt prasarpati // LiS _1,57.28 //
   vistīrṇaṃ maṇḍalaṃ kṛtvā tasyordhvaṃ carate śaśī /	vistIrNam maNxalam kRtvA tasya UrDvam carate SaSI /
   nakṣatramaṇḍalaṃ kṛtsnaṃ somādūrdhvaṃ prasarpati // LiP_1,57.29 //	nakzatra maNxalam kRtsnam somAt UrDvam prasarpati // LiS _1,57.29 //
   nakṣatrebhyo budhaścordhvaṃ budhādūrdhvaṃ tu bhārgavaḥ /	nakzatreByaH buDaH ca UrDvam buDAt UrDvam tu BArgavaH /
   vakrastu bhārgavādūrdhvaṃ vakrād ūrdhvaṃ bṛhaspatiḥ // LiP_1,57.30 //	vakraH tu BArgavAt UrDvam vakrAt UrDvam bRhaspatiH // LiS _1,57.30 //
   tasmācchanaiścaraścordhvaṃ tasmātsaptarṣimaṇḍalam /	tasmAt SanEScaraH ca UrDvam tasmAt saptarzi maNxalam /
   ṛṣīṇāṃ caiva saptānāṃ dhruvasyordhvaṃ vyavasthitiḥ // LiP_1,57.31 //	RzINAm ca eva saptAnAm Druvasya UrDvam vyavasTitiH // LiS _1,57.31 //
   taṃ viṣṇulokaṃ paramaṃ jñātvā mucyeta kilbiṣāt /	tam vizNu lokam paramam jQAtvA mucyeta kilbizAt /
   dviguṇeṣu sahasreṣu yojanānāṃ śateṣu ca // LiP_1,57.32 //	dviguNezu sahasrezu yojanAnAm Satezu ca // LiS _1,57.32 //
   grahanakṣatratārāsu upariṣṭādyathākramam /	graha nakzatra tArAsu uparizwAt yaTAkramam /
   grahāś ca candrasūryau ca yutau divyena tejasā // LiP_1,57.33 //	grahAH ca candra sUryO ca yutO divyena tejasA // LiS _1,57.33 //
   nityamṛkṣeṣu yujyante gacchanto 'harniśaṃ kramāt /	nityam Rkzezu yujyante gacCantaH aharniSam kramAt /
