   Ratnāvalī / (NRa)	Ratna AvalI / (NRa)
   kaḥ paśyatīti ceccittaṃ vyahāreṇa kathyate /	kaH paSyati iti ced cittam vyahAreNa kaTyate /
   na hi caittaṃ vinā cittaṃ vyarthatvānna saheṣyate // NRa_4.64 //	na hi cEttam vinA cittam vyarTa tvAt na saha izyate // NRaH _4.64 //
   vyarthamevaṃ jaganmatvā yāthābhūtyānnirāspadaḥ /	vyarTam evam jagat matvA yATA BUtyAt nirAspadaH /
   nirvāti nirupādāno nirupādānavanhivat // NRa_4.65 //	nirvAti nirupAdAnaH nirupAdAna van hivat // NRaH _4.65 //
   bodhisattvo 'pi dṛṣṭaivaṃ saṃbodhau niyato mataḥ /	boDisattvaH api dRzwa evam saMboDO niyataH mataH /
   kevalaṃ tasya kāruṇyādā bodherbhavasaṃtatiḥ // NRa_4.66 //	kevalam tasya kAruNyAdA boDeH Bava saMtatiH // NRaH _4.66 //
   bodhisattvasya saṃbhāro mahāyāne tathāgataiḥ /	boDisattvasya saMBAraH mahAyAne taTAgatEH /
   nirdiṣṭaḥ sa tu saṃmūḍhaiḥ pradviṣṭaścaiva nindyate // NRa_4.67 //	nirdizwaH sa tu saMmUXEH pradvizwaH ca eva nindyate // NRaH _4.67 //
   guṇadoṣānabhijño vā doṣasaṃjñī guṇeṣu vā /	guNa doza anaBijQaH vA doza saMjQI guNezu vA /
   athavāpi guṇadveṣī mahāyānasya nindakaḥ // NRa_4.68 //	aTavA api guNa dvezI mahAyAnasya nindakaH // NRaH _4.68 //
   paropaghātino doṣān parānugrāhiṇo guṇān /	para upaGAtinaH dozAn para anugrAhiNaH guNAn /
   jñātvocyate guṇadveṣī mahāyānasya nindakaḥ // NRa_4.69 //	jQAtvA ucyate guNa dvezI mahAyAnasya nindakaH // NRaH _4.69 //
   yatsvārthanirapekṣatvāt parārthaikarasapriyam /	yat sva arTa nirapekza tvAt para arTa eka rasa priyam /
   guṇākaraṃ mahāyānaṃ taddviṣī tena dahyate // NRa_4.70 //	guNAkaram mahAyAnam tad dvizI tena dahyate // NRaH _4.70 //
   śrāddho 'pi durgṛhītena dviṣyāt kruddho 'thavetaraḥ /	SrAdDaH api durgRhItena dvizyAt krudDaH aTa vA itaraH /
   śrāddho 'pi dagdha ityuktaḥ kā cintā dveṣābandhure // NRa_4.71 //	SrAdDaH api dagDaH iti uktaH kA cintA dveza abanDure // NRaH _4.71 //
   viṣeṇāpi viṣaṃ hanyādyathaivoktaṃ cikitsakaiḥ /	vizeNa api vizam hanyAt yaTA eva uktam cikitsakEH /
   duḥkhenāpyahitaṃ hanyādityukte kiṃ virudhyate // NRa_4.72 //	duHKena api ahitam hanyAt iti ukte kim viruDyate // NRaH _4.72 //
   manaḥpūrvaṃgamā dharmā manaḥśreṣṭhā iti śruteḥ /	manaH pUrvaMgamAH DarmAH manaH SrezWAH iti SruteH /
   hitaṃ hitamanāḥ kurvan duḥkhenāpyahitaṃ katham // NRa_4.73 //	hitam hita manAH kurvan duHKena api ahitam kaTam // NRaH _4.73 //
   (Vaidya 309)	(VEdyaH 309)
   duḥkhamapyāyatīpathyaṃ kāryaṃ kimu sukhaṃ hitam /	duHKam api AyatI paTyam kAryam kimu suKam hitam /
   ātmanaśca pareṣāṃ ca dharma eṣā sanātanaḥ // NRa_4.74 //	AtmanaH ca parezAm ca DarmaH ezA sanAtanaH // NRaH _4.74 //
   mātrāsukhaparityāgāt paścāccedvipulaṃ sukham /	mAtrA suKa parityAgAt paScAt ced vipulam suKam /
   tyajenmātrāsukhaṃ dhīraḥ saṃpaśyan vipulaṃ sukham // NRa_4.75 //	tyajet mAtrA suKam DIraH saMpaSyan vipulam suKam // NRaH _4.75 //
   na mṛśyate ca yadyetat kaṭubhaiṣajyadāyinaḥ /	na mRSyate ca yadi etat kawu BEzajya dAyinaH /
   tataścikitsakādyāśca hatā naivaṃ ca yujyate // NRa_4.76 //	tatas cikitsaka AdyAH ca hatAH na evam ca yujyate // NRaH _4.76 //
   apathyamapi yaddṛṣṭaṃ tatpathyaṃ paṇḍitaiḥ kvacit /	apaTyam api yat dRzwam tat paTyam paNxitEH kvacid /
   utsargaścāpavādaśca sarvaśāstreṣu śasyate // NRa_4.77 //	utsargaH ca apavAdaH ca sarva SAstrezu Sasyate // NRaH _4.77 //
   karuṇāpūrvakāḥ sarve niṣyandā jñānanirmalāḥ /	karuNA pUrvakAH sarve nizyandAH jQAna nirmalAH /
   uktā yatra mahāyāne kastannindetsacetanaḥ // NRa_4.78 //	uktAH yatra mahAyAne kaH tat nindet sa cetanaH // NRaH _4.78 //
   atyaudāryātigāmbhīryādviṣaṇṇairakṛtātmabhiḥ /	ati OdArya ati gAmBIryAt vizaNNEH akRtAtmaBiH /
   nindyate 'dya mahāyānaṃ mohāt svaparavairibhiḥ // NRa_4.79 //	nindyate adya mahAyAnam mohAt sva para vEriBiH // NRaH _4.79 //
   dānaśīlakṣamāvīryadhyānaprajñākṛpātmakam /	dAna SIla kzamA vIrya DyAna prajQA kRpa Atmakam /
   mahāyānamatastasmin kasmāddurbhāṣitaṃ vacaḥ // NRa_4.80 //	mahAyAna m atas tasmin kasmAt durBAzitam vacaH // NRaH _4.80 //
   parārtho dānaśīlābhyāṃ kṣāntyā vīryeṇa cātmanaḥ /	para arTaH dAna SIlAByAm kzAntyA vIryeNa ca AtmanaH /
   dhyānaṃ prajñā ca mokṣāya mahāyānārthasaṃgrahaḥ // NRa_4.81 //	DyAnam prajQA ca mokzAya mahAyAna arTa saMgrahaH // NRaH _4.81 //
   parā[tmahita]mokṣārthāḥ saṃkṣepādbuddhaśāsanam /	parA[tma hita ]mokza arTAH saMkzepAt budDa SAsanam /
   te ṣaṭpāramitāgarbhāstasmād bauddhamidaṃ vacaḥ // NRa_4.82 //	te zaz pAramitA garBAH tasmAt bOdDam idam vacaH // NRaH _4.82 //
   puṇyajñānamayo yatra buddhairbodhermahāpathaḥ /	puNya jQAna mayaH yatra budDEH boDeH mahApaTaH /
   deśitastanmahāyānamajñānādvai na dṛśyate // NRa_4.83 //	deSitaH tat mahAyAnam ajQAnAt vE na dRSyate // NRaH _4.83 //
   khamivācintyaguṇatvādukto 'cintyaguṇo jinaḥ /	Kam iva acintya guNa tvAt uktaH acintya guNaH jinaH /
   mahāyāne yato buddhamāhātmyaṃ kṣamyatāmidam // NRa_4.84 //	mahAyAne yatas budDa mAhAtmyam kzamyatAm idam // NRaH _4.84 //
   āryaśāradvatasyāpi śīlamātre 'pyagocaraḥ /	Arya SAradvatasya api SIla mAtre api agocaraH /
   yasmāt tadbuddhamāhātmyamacintyaṃ kiṃ na mṛṣyate // NRa_4.85 //	yasmAt tat budDa mAhAtmyam acintyam kim na mRzyate // NRaH _4.85 //
   anutpādo mahāyāne paresāṃ śūnyatā kṣayaḥ /	anutpAdaH mahAyAne paresAm SUnyatA kzayaH /
   kṣayānutpādayośrcaikyamarthataḥ kṣamyatāṃ yataḥ // NRa_4.86 //	kzaya an utpAdaya uSrca Ekyam arTataH kzamyatAm yatas // NRaH _4.86 //
   śūnyatā buddhamāhātmyamevaṃ yuktyānupaśyatām /	SUnyatA budDa mAhAtmyam evam yuktyA anupaSyatAm /
   mahāyānetaroktāni na sameyuḥ kathaṃ satām // NRa_4.87 //	mahAyAna itara uktAni na sameyuH kaTam satAm // NRaH _4.87 //
   tathāgatābhisaṃdhyoktānyasukhaṃ jñātumityataḥ /	taTAgata aBisaMDyA ukta ani asuKam jQAtum iti atas /
   ekayānatriyānoktādātmā rakṣya upekṣayā // NRa_4.88 //	ekayA anatriyAna uktAt AtmA rakzyaH upekzayA // NRaH _4.88 //
   upekṣayā hi nāpuṇyaṃ dvesātpāpaṃ kutaḥ śubham /	upekzayA hi na apuNyam dvesAt pApam kutas SuBam /
   mahāyāne yato dveṣo nātmakāmaiḥ kṛto 'rhati // NRa_4.89 //	mahAyAne yatas dvezaH na Atma kAmEH kRtaH arhati // NRaH _4.89 //
   (Vaidya 310)	(VEdyaH 310)
   na bodhisattvapraṇidhirna caryāpariṇāmanā /	na boDisattva praNiDiH na caryA pariNAmanAH /
   uktāḥ śrāvakayāne 'smādbodhisattvaḥ kutastataḥ // NRa_4.90 //	uktAH SrAvaka yAne asmAt boDisattvaH kutas tatas // NRaH _4.90 //
   adhiṣṭhānāni noktāni bodhisattvasya bodhaye /	aDizWAnAni na uktAni boDisattvasya boDaye /
   buddhairanyatpramāṇaṃ ca ko 'sminnarthe jinādhikaḥ // NRa_4.91 //	budDEH anyat pramANam ca kaH asmin= arTe jina aDikaH // NRaH _4.91 //
   adhiṣṭhānāryasatyārthabodhipakṣopasaṃhitāt /	aDizWa anAri a satya arTa boDi pakza upasaMhitAt /
   mārgācchāvakasāmānyādbauddhaṃ kenādhikaṃ phalam // NRa_4.92 //	mArgAt SAvaka sAmAnyAt bOdDam kena aDikam Palam // NRaH _4.92 //
   bodhicaryāpratiṣṭhārtha na sūtre bhāṣitaṃ vacaḥ /	boDi caryA pratizWA arTa na sUtre BAzitam vacaH /
   bhāṣitaṃ ca mahāyāne grāhyamasmādvicakṣaṇaiḥ // NRa_4.93 //	BAzitam ca mahAyAne grAhyam asmAt vicakzaNEH // NRaH _4.93 //
   yathaiva vaiyākaraṇo mātṛkāmapi pāṭhayet /	yaTA eva vEyAkaraNaH mAtRkAm api pAWayet /
   buddho 'vadattathā dharmaṃ vineyānāṃ yathākṣamam // NRa_4.94 //	budDaH avadat taTA Darmam vineyAnAm yaTAkzamam // NRaH _4.94 //
   keṣāṃcidavadaddharmaṃ pāpebhyo vinivṛttaye /	kezAMcid avadat Darmam pApeByaH vinivRttaye /
   keṣāṃcitpuṇyasiddhayarthaṃ keṣāṃcidū dvayaniśritam // NRa_4.95 //	kezAMcid puNya sidDayarTam kezAMcidU dvaya niSritam // NRaH _4.95 //
   dvayāniśritamekeṣāṃ gambhīraṃ bhīrubhīṣaṇam /	dvayAniSritam ekezAm gamBIram BIru BIzaNam /
   śūnyatākaruṇāgarbhamekeṣāṃ bodhisādhanam // NRa_4.96 //	SUnyatA karuNA garBam ekezAm boDi sADanam // NRaH _4.96 //
   iti sadbhirmahāyāne kartavyaḥ pratighakṣayaḥ /	iti sadBiH mahAyAne kartavyaH pratiGa kzayaH /
   prasādaścādhikaḥ kāryaḥ samyaksaṃbodhisiddhaye // NRa_4.97 //	prasAdaH ca aDikaH kAryaH samyaksaMboDi sidDaye // NRaH _4.97 //
   mahāyānaprasādena taduktācaraṇena ca /	mahAyAna prasAdena tad ukta AcaraNena ca /
   prāpyate 'nuttarā bodhiḥ sarvasaukhyāni cāntarā // NRa_4.98 //	prApyate anuttarA boDiH sarva sOKyAni ca antarA // NRaH _4.98 //
   dānaṃ śīlaṃ kṣamā satyaṃ gṛhasthasya viśeṣataḥ /	dAnam SIlam kzamA satyam gRhasTasya viSezataH /
   dharma uktaḥ kṛpāgarbhaḥ sa sātmīkriyatāṃ dṛḍham // NRa_4.99 //	DarmaH uktaH kRpA garBaH sa sAtmIkriyatAm dRXam // NRaH _4.99 //
   atha lokasya vaidharmyādrājyaṃ dharmeṇa duṣkaram /	aTa lokasya vEDarmyAt rAjyam DarmeNa duzkaram /
   tato dharmayaśorthaṃ te pravrajyādhigamaḥ kṣamaḥ // NRa_4.100 //	tatas Darma yaSorTam te pravrajyA aDigamaH kzamaH // NRaH _4.100 //
   ratnāvalyāṃ rājavṛttopadeśo nāma caturthaḥ paricchedaḥ //	ratna AvalyAm rAjavRtta upadeSaH nAma caturTaH paricCedaH //
